-0.0033089+0.00055602i,-0.0034137-0.00022382i,-0.0042453-0.0010592i,-0.0027784-0.0014774i,-0.0014572-0.00093005i,-0.0010198+0.00010307i,1.2993e-05+0.0010202i,0.00084384+0.0010354i,0.00083916+0.0012439i,0.00048663+0.0013863i,0.00056364+0.00025276i,0.00026439-0.00062394i,-0.0003338-7.1806e-05i,-0.00053061+0.00053515i,-0.00013832+0.00013783i,9.4533e-05-9.582e-05i,-0.00036567+0.00011816i,0.00032916+0.00059119i,0.00093059+0.0012057i,0.00042721+0.0010629i,-2.0474e-06+0.00032455i,-0.00026181-0.00036799i,-0.00048288-6.4798e-05i
0.0024054-0.0007496i,0.0020594-0.00091116i,0.0014596-0.0015171i,0.0013902-0.001423i,0.00091706-0.00069129i,0.00066943+0.00045133i,7.2657e-06+9.5251e-05i,-2.223e-05-0.00036294i,0.00019002-0.00062745i,-8.7988e-05-0.0005621i,0.00022747+4.5784e-05i,1.7666e-05+6.6574e-05i,-0.00056927-0.00048999i,7.4261e-05-0.00060057i,-0.00017137-0.00050679i,8.5796e-06-0.00046991i,0.00068419-0.00080189i,-9.5995e-05-0.00083785i,-0.001301-0.00079362i,-0.0005946-0.00088501i,0.00047438-0.00053726i,0.0010811+0.00010979i,0.00082776+0.00020902i
0.0026774-0.00079103i,0.002921-0.0014982i,0.0029771-0.0011282i,0.0023991-0.0014386i,0.0011291-0.0017699i,0.00033558-0.0017722i,-2.1413e-06-0.0012731i,-0.0005114-0.00058523i,-0.00054221-0.00046714i,-0.0007517-0.00048429i,-0.0010238-0.00059699i,3.9751e-05-0.00089643i,0.00035607-0.0004511i,-0.00032491-6.816e-06i,-0.00058251+5.8032e-05i,-0.00014577+0.00022724i,4.9025e-05+0.00059163i,-0.00012568+0.00063066i,-0.00010373+0.00028579i,1.4198e-05+0.00032053i,-0.0003715+8.632e-05i,-0.0013365-0.00028438i,-0.0010115-5.7948e-07i
-0.00030766+0.001091i,-0.00055238+0.0013837i,0.00020493+0.0014015i,0.00022245+0.00025201i,0.00011026-0.0010004i,-0.00010976-0.0012774i,-0.00067496-0.00092686i,-0.00051107-0.00020658i,-0.00031122+0.00067004i,-0.00040372+0.00060902i,-0.00035225-0.00024553i,0.00017541-0.00097523i,0.00059826-0.00098907i,0.00086431-0.00083737i,0.00066979+9.6382e-05i,3.5228e-06+0.00049189i,0.00017182-0.00023527i,0.00035346-0.00063802i,0.0010882-0.0012272i,0.0014757-0.00092188i,0.0011119-6.3961e-05i,0.00038697-0.00036911i,-7.8265e-07-0.00064476i
-0.00022882-0.00023405i,-0.00046022+3.4583e-05i,0.00022299-0.00025192i,0.0005673-0.0004198i,0.0004502-0.0010159i,0.00044592-0.0012811i,0.00023028-0.00079134i,-0.00053903+0.00017676i,-0.0015584+0.0010401i,-0.0016706+0.00069822i,-0.00044892+0.00056084i,0.00087148+0.00094676i,0.0010054+0.00077065i,0.00049994+0.000337i,0.00043504+0.00052962i,0.00099907+0.00048177i,0.0011447+0.00056662i,0.00010298+0.00042021i,0.00012847-0.00032235i,0.00055905-0.00029916i,-6.4493e-05-2.1489e-05i,-0.0011669+0.00026327i,-0.0019324+0.00012467i
0.00025938+0.002162i,-0.00010349+0.0014188i,-0.00016449+0.00094432i,-0.00082456+0.00035255i,-0.0016786-0.00048552i,-0.0012402-0.00067298i,-0.00030688-0.00022542i,-0.00026218+0.00028437i,-0.00049224+0.00044874i,-0.00030278+5.5317e-07i,-8.7135e-05-0.00010045i,-0.00013841+0.00024936i,0.00034248+0.00036176i,0.0012118+0.00074241i,0.00083435+0.00098914i,6.419e-05+0.00031398i,0.00012202-1.523e-05i,0.000454+0.00019061i,0.00012802+0.00031567i,-4.2284e-05+0.00012951i,0.00029736-0.00016503i,0.00051716+0.00012796i,0.00038084+0.00068641i
-0.00064545-0.0015665i,-0.00089241-0.00087055i,-0.00096872-0.00061893i,-0.00053065-0.00080424i,0.00053935-0.00081849i,0.0016097-0.00048689i,0.00082585+7.0029e-05i,-0.0010452+0.0007985i,-0.0013024+0.00051798i,-0.00092587+3.7056e-05i,-0.0010003+0.00021818i,-0.00061823-0.00045247i,-8.8974e-05-0.0010546i,0.00017544-0.00087742i,0.00046932-7.9757e-05i,0.00069998+0.00023332i,0.00054483-0.00045357i,0.00068792-0.0013887i,0.0005077-0.00033003i,-5.2247e-05+0.00029177i,2.3279e-05-0.00048517i,1.0698e-05-0.00067828i,-0.00034004-0.00080448i
-0.0016566-0.00016374i,-0.00091769-0.0001975i,-0.00033711+0.00038906i,0.00045147+0.00088189i,0.0013057+0.00070118i,0.0023192+0.00032606i,0.0014322-0.0006938i,-0.00045885-0.001092i,-0.00056507-0.00069826i,-0.00036224-0.0005349i,-0.00066276-0.00061376i,-0.0010416-0.00069343i,-0.0011515-0.00048025i,-0.00036227-1.1377e-05i,0.0001333+0.00023551i,0.00027742+0.00040096i,0.0012683+0.0002646i,0.0011905-7.2681e-05i,0.00044263-0.00038811i,-0.00026318-0.0008475i,-0.001048-0.0010519i,-0.00092114-0.00058923i,-0.00048134+0.00019351i
0.00044637-0.00018548i,0.00054584-0.00036809i,0.00052362-0.00076999i,0.00026507-0.0013083i,-4.9239e-05-0.00071766i,-0.00017103+8.4631e-05i,-0.00015562+0.00063904i,8.8874e-06+0.00020624i,-0.00047664-0.0012728i,-0.00076482-0.0016204i,-0.0003153-0.00083388i,-0.00018501-0.00019978i,0.00035709+0.00045177i,0.0010615+0.00039246i,0.00057906-0.00055036i,0.00021278-0.0012585i,0.00056416-0.00068597i,0.00054189+0.00033974i,-2.884e-05-8.293e-05i,-0.00010541-0.0003606i,-0.00043078+0.00028604i,-0.00064837+0.0004673i,-0.00013375+0.00015381i
0.00072082+0.00068224i,0.00022951+0.00068276i,0.00095335-0.00022432i,0.0010248-0.0004639i,0.00045863-0.00042608i,-0.00017339-0.00069515i,0.00010596-0.00098343i,0.00081326-0.00076579i,0.0001809-0.00014074i,-0.00060637+0.00039747i,-0.0012111+0.00041097i,-0.00056925+5.1356e-05i,9.6638e-05+0.00041015i,0.0001239+0.0010686i,0.0004015+0.0011604i,9.0726e-05+0.0006172i,0.00027901+0.00066301i,0.00093589+0.00081119i,0.00091942+0.00035388i,0.00067979-0.00061171i,0.00071307-0.00077265i,0.00061771-6.005e-05i,-0.00013521+0.00028795i
-0.00071325+0.0015751i,1.9854e-05+0.0015102i,0.00076087+0.0015485i,0.0014115+0.0010378i,0.0014683-0.00043792i,0.0010203-0.0012713i,0.00011055-0.0018191i,-0.00044101-0.0018198i,-0.00085563-0.00080333i,-0.0010627-0.0008055i,-0.00024248-0.00047781i,4.4689e-05+0.00076947i,-0.00010544+0.0012202i,0.00028293+0.00053372i,0.0001573+0.0004872i,-7.2236e-05+0.00057419i,-8.8078e-05+0.00017901i,-0.00056798+8.6785e-05i,-0.00064867-0.00010461i,-0.00038544-0.00049869i,-0.00028856-0.00035704i,-0.00044748+0.0006629i,-0.0010755+0.0010454i
0.00011837-0.00046847i,0.00050208-0.00020949i,0.0011702-0.0017078i,0.0023617-0.001165i,0.00184+2.2948e-05i,0.00090402+0.00014243i,0.00033684-0.00041728i,-0.00024389-0.0012539i,2.4939e-05-0.0012124i,-0.00035183-0.001089i,-0.00061422-0.00042679i,-0.00034795+0.00047031i,-8.2901e-05+0.00028092i,0.00028868+0.00072305i,0.00044517+0.00096088i,0.00075149+0.00045644i,0.0009755+0.00018936i,0.00072578+0.00053838i,-0.00020881+0.00071963i,-0.00092102+0.00033582i,-0.0011666-0.00047802i,-0.00083825-0.00072653i,0.00028564-0.00041883i
-0.0012761-0.002658i,-0.0019403-0.0021446i,-0.0012523-0.0030984i,-0.00064127-0.0026445i,-0.0012307-0.0013321i,-0.0010483-0.00084884i,-0.00015354-0.00024129i,-0.00045815-6.543e-05i,-0.0012079-0.00035724i,-0.0012946+5.1816e-06i,-0.0013335+0.00059501i,-0.00021154+0.00094188i,7.8149e-05+0.00030186i,1.1272e-05-0.00037252i,0.00046557-0.00060053i,0.00018133-0.0001527i,-0.00014156+0.00081327i,0.00013541+0.0015578i,0.00020873+0.00076773i,-1.8623e-05-0.00042204i,-7.8733e-05-0.00059281i,-0.00011447-0.00067014i,-0.00049451-0.00030736i
-0.0012194+0.00029984i,-0.0022764-0.0002502i,-0.0025445-0.00085867i,-0.0013276-0.00096595i,-0.00057959-0.00065492i,0.00017038-0.00022699i,0.00061798-4.4391e-05i,4.4087e-06+0.00017205i,-0.00064751+0.0013119i,-0.00075962+0.0013347i,-0.00052941+0.00041875i,-9.0344e-05+0.00077172i,0.00030147+0.00045234i,4.1065e-05+0.00011516i,7.4483e-05+0.00011231i,0.00015575-0.00010271i,-0.00016063+7.0519e-05i,-0.00068123+0.00019408i,-0.00057857+9.6054e-05i,0.00023232+0.00047502i,-0.00014822+0.00056218i,-0.0005681+0.00052933i,-0.00069299+0.00035546i
-0.00084653+0.0010933i,-0.0012472+0.001601i,-0.00026283+0.0026251i,0.00079695+0.001944i,0.00061933+0.0004377i,0.00035588+0.00048791i,0.00014353-0.00016138i,-5.5909e-05-0.00099238i,-0.00023646-0.00087604i,-0.00099007-0.00081919i,-0.0013156-0.00023774i,-0.0010395+0.0004634i,-0.00043401+0.00042705i,-0.00018884+9.9642e-05i,-0.00025405-0.00036955i,0.00052535-0.00095725i,0.0010145-0.00064676i,0.00060169-0.0002737i,2.3581e-05-0.001099i,-0.00021784-0.00024208i,-0.00067249+0.00039301i,-0.0006088-0.00056145i,-0.00066669-0.00060925i
-0.0010797-7.7959e-05i,-0.0010481+0.00070915i,-0.00097299+0.00045478i,-0.00028627+0.00080229i,0.00078846+0.00027504i,0.00019693-0.00072132i,0.00012955-0.00090189i,-3.156e-05-0.00063807i,-0.00081673-0.00051868i,-0.00042979-0.00032114i,-0.00011004-0.00040789i,0.00032714-0.0003785i,0.00059297+0.00047203i,0.00030613+0.00072092i,-9.9897e-05+0.00022008i,0.00013535+0.00035864i,-0.00014926+0.00038544i,-0.00023447-0.00037898i,0.00033575-0.00064734i,0.00075097-0.0003438i,0.00075391-0.00011092i,2.5096e-05-0.00065268i,-0.00038955-0.0007156i
-0.0002879+0.0016397i,0.00036273+0.00053696i,0.00041898-0.00095084i,0.00075198-0.0012581i,0.0014321-0.00055723i,0.0011505-0.00027552i,6.5448e-05-0.00015289i,-0.00037962-0.0007226i,-0.0001049-0.00041923i,-2.576e-05-0.00011821i,-7.1081e-05-0.00012903i,-0.00037262+0.00055548i,5.9299e-05+0.0008511i,-4.0673e-05+0.00057032i,-0.0011004+0.00052234i,-0.00055052+0.00070974i,-8.5797e-05+0.00068857i,-0.00014306+0.00034854i,-0.00020778-0.00021639i,-0.00057975-0.00039937i,-0.00083076-0.00047424i,-0.00065509-0.00054427i,-0.00041699-0.00035321i
-0.0026609+0.00025924i,-0.0028224+0.0014591i,-0.0024553+0.0017249i,-0.00019683+0.0017476i,0.00087294+0.0016769i,0.00094441+0.00082588i,0.00021286-0.00025999i,-0.00042515-0.00063339i,-0.00052169-0.0001689i,-0.00081634+0.00036711i,-0.0010209+0.00044583i,-0.001243+0.00030507i,-0.00113+0.0011169i,-0.00024625+0.0011442i,0.00016927+0.00063117i,-9.0791e-05+0.00023794i,0.00010644-0.00056687i,0.00022471-0.00037969i,0.00015528+0.00075836i,4.1281e-05+0.00090127i,-0.00057627+0.00031097i,-0.0010126+0.00046475i,-0.00064388+0.00011912i
0.00097454+0.00013948i,0.0016418+0.00054121i,0.0017594+0.00037412i,0.0011171-0.0011983i,0.00041675-0.0016058i,-0.00021861-0.00089689i,-0.0005229-0.00010962i,-8.0106e-05-0.0005497i,0.00025551-0.00072111i,-4.6065e-05-0.00013746i,-0.00057541-9.1328e-05i,-0.00086478+3.8853e-05i,-9.667e-05+0.00017932i,0.00086603+9.1376e-05i,0.00052925-9.1943e-05i,0.00034383-0.00026988i,-0.00025523-0.00033321i,-0.00089221-0.0008113i,-0.00045475+3.709e-05i,5.118e-05+0.00087421i,0.00032484+0.00055123i,0.00048012+0.0003421i,0.00013961+0.00069i
0.00047997-0.00057694i,7.6323e-05-0.00091395i,0.0002625-0.0020216i,5.6747e-05-0.0026809i,0.00018997-0.0020001i,0.00020676-0.00012561i,-0.00045816+0.00033193i,-0.00060875-0.00041195i,-0.00081775-0.0006851i,-0.00057985-0.00071786i,0.00016732-0.00073509i,0.00054542-0.00035659i,0.00026605+9.4253e-05i,-0.00033685+6.8829e-05i,-0.00073435+0.00045049i,-0.00093316+0.00015122i,-0.00085334-0.00038253i,-0.00037805-0.00028992i,-0.00014938-0.00029428i,0.00029033-0.00056755i,-0.00016487-0.00042164i,-0.00083933+8.2566e-05i,-0.00031369-0.00040619i
-0.0007753-0.0008486i,0.00064574-0.00066285i,0.00029065-2.1191e-05i,0.00051356-0.00036242i,0.00098777-0.00053025i,0.00097734-0.00027055i,0.00040631-0.00052981i,-0.000379-0.00069349i,-0.001244-0.0003619i,-0.0021328+0.00037993i,-0.0015852+0.00067594i,-0.00040711+4.1961e-05i,0.00063228-0.00019267i,0.00027996+0.00019145i,-0.00051391+0.00019386i,-0.00019423-0.00055049i,0.00036421-0.00061819i,0.00023939-0.00069084i,-1.9919e-06+5.3566e-05i,-9.0106e-06+0.00040272i,0.00077337-0.00060227i,0.0013231-0.00079224i,0.00053172-0.0011114i
