-0.0019991-1.2307e-06i,-0.0022339-0.00068244i,-0.0020075-0.00053819i,-0.0018687-0.00056446i,-0.0022625+8.8745e-05i,-0.0023911+0.0013181i,-0.0019287+0.0015196i,-0.00060801+0.0017647i,0.0010803+0.0018426i,0.001106+0.0014841i,0.00061965+0.00073791i,0.00083242-3.5517e-05i,0.00040137+0.00012719i,-0.00019983+0.00055301i,-0.00065574+0.0010163i,-0.0008531+0.0009658i,-0.00092385+0.00029112i,-0.00032393-0.00036942i,0.0008162-0.00028507i,0.0016999-0.00021511i,0.0011476-0.00074821i,0.00047089-0.0010552i,-6.2458e-05-0.00044397i
0.0015568+0.00025339i,0.00146+0.00043106i,0.0019259-0.00016761i,0.0015612-0.0003946i,0.00018988-0.00045842i,-0.00071343-0.0010509i,-0.00075087-0.0005834i,5.3948e-05-0.00037383i,0.00011254-0.00049715i,-0.0004256-0.00035727i,-6.4976e-05-0.00053581i,0.00020045-0.00076756i,-3.4864e-05-0.00064289i,0.00036185-2.6217e-05i,0.00052253+0.0003512i,0.0007891+8.1882e-05i,0.0011602+0.0003078i,0.00056158+0.00011226i,5.1779e-05-0.00082434i,-0.00021382-0.00062659i,0.00021272+9.2122e-06i,0.00023753+0.00029796i,-0.00049776+0.00045772i
-0.00077274+0.00048614i,-0.00050552-0.00013885i,-0.00074714+0.00031447i,-0.00038632+0.00074168i,0.00017028+0.00079231i,0.00016639+8.1356e-05i,2.8611e-05-0.00052174i,0.00017507+0.00016069i,0.00031355+0.00060002i,0.00017641+0.00021132i,9.2409e-05+0.00072973i,1.4268e-05+0.00079184i,-7.0638e-05+0.00044896i,0.0002031+0.00076803i,0.0005586+0.00030007i,0.0008122-8.8336e-05i,0.00050662+0.00051026i,-5.5083e-05+0.00035336i,0.00038003+0.0002253i,0.00066994+0.00029135i,0.00038485+6.2221e-05i,0.00038133+0.00021158i,0.00025155+0.00049543i
0.0006795+0.0012309i,0.0015282+0.0013235i,0.0021297+0.00078442i,0.0015365+0.00016597i,0.00053818+0.0001926i,0.00014013+0.00043816i,0.0004711+0.00062865i,0.00027081+0.00093142i,-0.00056224+0.0009119i,-0.0013606+0.00019808i,-0.00080883-0.00026817i,-0.00042575-5.2002e-05i,-0.00075628+0.00033429i,-0.000477+0.00078351i,-0.00032298+0.00098771i,0.00044481+0.00057611i,0.0011751+0.00043242i,0.00084163+0.00046695i,0.00056756+0.00018028i,0.00064317+0.00031518i,0.00060707+0.00028277i,0.0005475-3.8777e-05i,0.00062141-0.00037812i
-0.0015943+0.0014834i,-0.002059+0.0013242i,-0.00096377+0.00099028i,0.00031005+0.00093551i,4.8476e-06+0.00036875i,-1.3707e-05-0.00036214i,-0.00020107+6.3005e-05i,-0.00032684+0.00051157i,-0.00010562+0.0004907i,0.00053565+0.00022405i,0.0011048+0.00018956i,0.00023054-7.193e-05i,9.6857e-05-0.00027046i,0.0006885+0.00019653i,0.00055553+0.0010877i,0.00081333+0.00099445i,0.0010943-1.8039e-05i,0.00063355+0.00016119i,-0.00073955+0.00041205i,-0.0015507-2.7797e-05i,-0.00056207+4.3448e-05i,0.00010249+0.00021811i,0.00018429+0.00027355i
0.00095938-0.00088916i,0.00038602-0.0015387i,0.0005885-0.0011999i,0.00035109-0.00020507i,0.00046178-0.00043041i,0.00057454+8.7547e-06i,0.00078599+0.00056457i,0.00096753+0.00037754i,0.0006671-0.0001106i,0.00056315+0.00040872i,0.00055468+0.0012718i,0.00073283+0.0011464i,0.00087441+0.00054647i,0.00085566-1.6603e-05i,0.0009573-0.00054865i,0.00058826+3.5106e-05i,-0.00019378+0.00031087i,-0.00039679-0.00022169i,-0.00016051-3.0568e-05i,-0.00021553+0.00054671i,-0.00050917+0.00047638i,-0.00052899+7.6622e-05i,-0.00078681-0.00071681i
0.0014149+0.0017453i,0.00078145+0.0011733i,-1.9611e-05-7.6492e-05i,0.00040944-0.00072225i,0.0005616-0.00021234i,0.00065734+0.00087579i,0.00049828+0.00071078i,-0.00010855-0.00033748i,-0.00042502-0.00042417i,-0.00033097-0.00036868i,-0.00025108-0.00054831i,-0.00039096-0.00052073i,-0.00025883-0.00022203i,0.00028945-6.6109e-05i,0.00037844-0.00025152i,0.00059776+0.00010664i,0.0011839+8.5048e-06i,0.0011849-0.0003654i,0.0005394-0.00029337i,0.00012533-8.5218e-05i,-9.2649e-05+0.00039891i,-0.00011324+0.0010649i,0.0001492+0.0010126i
-0.00017992-0.0025098i,-0.0005826-0.0022298i,-0.00063134-0.0016938i,-0.00052385-0.0016997i,-0.00050948-0.00070836i,-0.00086889+0.00012073i,-0.00049693-0.00047894i,-0.00039413-0.00010391i,6.2896e-06+1.788e-05i,0.00078572+0.00019085i,0.00019135+0.00011253i,-0.0002152-8.6523e-06i,-0.00010878+0.00049754i,-0.00042429+0.00041628i,-0.00054359+0.00037414i,0.00045717+0.00057775i,0.00099057+0.00031727i,0.00091827-0.00037863i,0.00072018-0.00025207i,0.00028265+0.00027493i,0.00011707+0.00057963i,0.00042342+0.00068921i,0.00063744+0.00070047i
0.00088248-0.0026765i,-0.0002444-0.0022429i,-0.0017619-0.0017898i,-0.0018746-0.0014666i,-0.0012307-0.00097175i,-0.0010316-0.00028742i,-3.7162e-05+0.00060644i,0.0011145+0.00056512i,0.00038581+4.252e-05i,-0.00045719+7.8793e-05i,1.3063e-05-6.744e-05i,0.00040917-0.00059285i,-0.00019019-0.00056i,0.00021193+0.00025453i,0.0010131+0.0007022i,0.0010906+0.00019883i,0.00090782+0.00017849i,0.00092566+0.00012305i,0.00087144-0.00028419i,0.00053869-0.0003197i,0.00037481+0.00029768i,0.0001489+0.00061495i,-3.9265e-05+0.0004103i
0.0016704+0.001251i,0.001963+0.0011592i,0.0015917-0.00044068i,-9.9425e-05-0.0011919i,-0.0010352-0.000439i,-0.00055251+0.0003855i,-0.00046215+0.00077998i,-2.9741e-05+0.00055814i,0.00030735-0.00014244i,5.6662e-06-0.00028973i,-0.00017857+0.00065092i,6.88e-06+0.0010478i,-9.5859e-05+5.5074e-05i,0.00017438-0.00036024i,0.00036998+0.00018694i,8.2206e-05+0.00034988i,0.00050899+0.00034032i,0.0012988+0.00049088i,0.00099132+0.00082809i,-0.00018109+0.00099519i,-0.00029425+0.00058931i,0.00028542-5.2331e-05i,0.00029004+0.0002577i
-0.0019394-0.0020126i,-0.0023956-0.00057996i,-0.0027525-0.00042547i,-0.0022412+0.00018356i,-0.00084495+0.0014125i,0.00042059+0.00057502i,0.00026699-0.00081931i,0.00022012-0.0010106i,0.00060536-0.00052991i,0.00012482-0.00023196i,-0.001007+0.00064878i,-0.0019428+0.00039695i,-0.0014289-0.00038878i,-0.00054796-0.00023922i,0.00010929-0.00014962i,0.00028546-0.00017365i,-5.2677e-05-0.00035291i,0.00020645-0.0003918i,0.00052387+8.9533e-05i,0.00040078+0.00051434i,0.00070113+0.00037685i,0.00093016+0.00024187i,0.00056315+0.00095492i
0.0005043-0.0011092i,0.00052025-0.00095115i,0.00013405-0.0009383i,-7.6091e-05-0.001246i,-0.00011162-0.0010832i,0.00034245-0.00039532i,0.00082691+1.5006e-05i,0.0012209+0.00038765i,0.001178+0.00069353i,0.00029495+0.00032284i,-0.00049093+0.00072672i,-0.00040313+0.0011968i,-3.7774e-05+0.00074613i,0.00011244+0.00032408i,0.0006514+2.9467e-06i,0.00079057+0.00015637i,0.00080868+0.00020273i,0.00078938-5.135e-05i,-0.00013116-9.2765e-05i,-0.00066226-0.00047002i,-0.00016876-0.0002432i,0.00020492+0.0005802i,0.00021482+0.00010698i
-0.00035449+0.00057047i,6.1058e-05-0.00072595i,0.00029195-0.0018231i,0.00010787-0.0015267i,-0.00024532-0.0010585i,-0.00087494-0.0011016i,-0.0007837-0.00048768i,-0.00080606+0.00072115i,-0.00099462+0.00065618i,-0.00051259+0.00024776i,-9.3359e-06+0.00043774i,0.00033078+0.00051866i,0.00049431+0.00014367i,0.0002491-0.00010687i,0.00035059+0.00026874i,0.00055333-4.6447e-05i,0.00076042-6.1489e-05i,0.0010083+0.0008739i,0.00083274+0.0010543i,0.00016694+0.00048369i,-0.00036791-7.9513e-06i,-0.00047751-5.9038e-05i,-0.0002038-0.00048042i
-0.0013841+0.00080097i,-0.0011946+0.0013271i,8.3835e-05+0.0012095i,0.00090849+0.00050449i,0.00060501+0.00012176i,0.00052968-9.4554e-05i,0.00040764+0.00028182i,2.3962e-05+0.00068695i,-0.00041852+0.00011527i,-0.00060528-0.00041887i,-0.00059783-0.00013847i,-0.00039468-0.00046278i,0.00016493-0.00054332i,-9.208e-05-0.00012552i,-0.00029556-0.00049078i,0.00040021-0.00043016i,0.00097433+0.00073468i,0.00086346+0.0016707i,2.5902e-05+0.0010941i,-0.00064444-7.6061e-05i,-0.00053798-0.00023081i,-0.00026358+0.00015091i,-0.00084793-0.00062623i
0.00059759+7.044e-05i,7.8582e-05-0.00048088i,0.00086666-5.2934e-06i,0.0015264-0.00012091i,0.0013615-0.00067072i,-5.726e-06-0.00018892i,-0.00037835+9.7951e-05i,-0.00043165-0.00071121i,-0.00060617-0.00035207i,-0.00062575+0.00049859i,0.00023687-0.00023814i,0.00066738-0.00052081i,7.4828e-05+0.00022074i,-0.00043399+0.00083707i,-0.00053054+0.00085079i,-6.0874e-05+0.00054256i,0.00029395+0.00068294i,0.00054941+0.00035395i,0.00037039-4.4115e-05i,-0.0003767+8.1923e-05i,-0.00085899-1.5629e-05i,-0.00066063-0.00036207i,-0.00016311-0.00015646i
0.0015484-0.0024436i,0.0010628-0.0014884i,-0.00059941-0.0019036i,-0.0014953-0.001293i,-0.0015498-0.00013286i,-0.0013135+0.00046674i,-0.00051728+0.00023261i,6.071e-05-0.00039293i,-4.5825e-05-9.933e-05i,-0.00077672+0.00045235i,-0.0007612+0.00024418i,0.00027096-0.00028561i,0.00030862-0.00031097i,0.00046302+1.2682e-05i,0.0012091+0.00029961i,0.001277+0.00041217i,0.00098961+0.00046259i,0.00030803+1.8446e-05i,-0.00044757-0.00044779i,-0.00071807-0.00014099i,-0.00084618+0.00066918i,-0.0010748+0.00084153i,-0.00092437+0.00058375i
-0.0015198+0.0044337i,0.00023473+0.0046842i,0.00098422+0.0042332i,0.0021184+0.0024915i,0.0028724+0.00049266i,0.002224-7.693e-05i,0.00079258+0.00018731i,1.3277e-05+2.653e-05i,0.00039452-0.0002473i,0.00048737-0.00021238i,0.00052359-0.00021973i,0.00050724+0.00011282i,0.00082561+0.00024892i,0.00076856+0.00021872i,0.00053945+0.00022002i,0.00062024-9.3896e-05i,0.00079452-0.00072282i,0.0010544-0.00014893i,0.00041006+9.0979e-06i,3.6396e-05-7.9322e-05i,-9.9964e-05+0.00061744i,-0.00027559+0.00026715i,0.00015798-0.00070976i
-0.0015005+0.0005411i,-0.0020129-0.00053451i,-0.0027098-0.001281i,-0.0026334-0.00082285i,-0.001525+0.00092513i,-0.0010425+0.002269i,-0.00045146+0.0016422i,0.000209+0.00032812i,-9.468e-05-9.9521e-05i,0.00034719+0.00013424i,0.00042003+0.00054249i,-0.00015097+0.00048336i,-0.00040602+0.00018679i,-0.00082011-0.00038454i,-0.00090068-0.00063877i,0.00017701+0.00013998i,0.00099868+0.00087863i,0.00031461+0.00078154i,-0.00039682+0.00052942i,-0.0005947+0.0012584i,-0.00078719+0.0013083i,-0.00041997+0.00047161i,0.00034191-0.00053663i
0.00031925-0.0006547i,0.00041421-0.00077582i,0.0012703-0.00088601i,0.00091239-0.00098581i,0.00043457-0.00010175i,0.00050461+0.00085339i,-0.00018383+0.00023765i,-0.00042835+3.7417e-05i,2.0221e-05+0.00010568i,-0.00018818-0.00022944i,-0.00017902+0.00045903i,0.00060567+0.0012411i,0.00017229+0.00076198i,-6.6572e-05-0.0001326i,0.0011499-0.00010962i,0.0016148-0.0001347i,0.0014524-0.00018825i,0.00089702+0.00048523i,0.00060651+0.00049483i,0.00066067+0.00011728i,0.0010343+0.00015353i,0.0010117+0.00053482i,7.6222e-05+0.00063167i
0.0029821+0.0003233i,0.0022966-0.00024967i,0.002391-0.0014938i,0.0024322-0.0017697i,0.0015227-0.0014294i,0.00039409-0.0012882i,-0.00053724-0.00060883i,-0.00064651+0.00034091i,5.4039e-05+0.0008023i,0.0007688+9.1143e-05i,0.001272-0.0005596i,0.00065745-0.00024998i,-7.574e-05-0.00013113i,0.00045844-9.8875e-05i,-4.7974e-05-5.9345e-05i,-0.00063528-1.5706e-05i,0.00012342+0.00013407i,0.00087812-0.00013286i,0.00068309-0.0006973i,-0.0001642-0.0004337i,-0.00053868+0.00064474i,0.00019676+0.00072085i,0.00016499+0.00044339i
-0.00013552+0.0015335i,-6.5938e-05+0.0027534i,0.00034958+0.0019803i,0.00083649+0.00085934i,5.0609e-05+0.00060953i,-0.0012239+7.6766e-05i,-0.00096299-0.00013824i,-0.0002875-0.00041289i,0.00024775-0.0010288i,0.0004152-0.00059519i,-8.9083e-06-0.00019756i,3.7136e-05-0.00042179i,0.00014703-0.00066042i,0.00036576-0.00054144i,0.00062585-1.337e-05i,0.0010681+0.00025943i,0.0019645+0.00022187i,0.0015693-1.6464e-05i,0.00078172-6.3542e-05i,0.00012952+8.482e-05i,-0.00049325+0.00046037i,-0.00015513+0.00041922i,7.7178e-05-0.00019641i
6.2405e-05+0.001408i,0.00023608+0.00093083i,0.00066528-0.00011831i,0.0019433-0.00028045i,0.0020755+3.6612e-05i,0.0012533-0.00058571i,0.0011167-9.4847e-05i,0.0011032+0.00060899i,0.00039964+0.00048227i,6.3116e-05+0.0001063i,0.00049548+0.00055168i,0.00036814+0.00090742i,-0.0003449+0.0015574i,-0.00036522+0.0016445i,-8.9346e-05+0.00081948i,0.00062338+0.0004453i,0.00090099+6.1256e-05i,0.00020644-0.00072123i,0.00058967-0.0011059i,0.00077468-0.001165i,0.00026544-0.00103i,0.00016764-0.00057515i,-0.00022633+8.8332e-05i
0.0014488-0.0017366i,0.0005589-0.002031i,-0.00056291-0.0020003i,-0.0013-0.0012188i,-0.0011203-0.00031499i,-0.00067039+0.00029172i,-0.00069421+0.0001211i,-0.00056832+0.00026395i,-0.00044134+7.2728e-05i,-0.000119-0.00030819i,6.9284e-05+7.731e-06i,-0.00034866+0.00045402i,-0.00041761+0.0013311i,0.00017904+0.00076959i,0.00062606-0.00024128i,0.00024925-0.00067446i,-7.3306e-06-0.00063411i,0.00038252-0.000309i,0.00085183-0.00017107i,0.00081044-0.00014704i,0.00058473+0.00017469i,0.00026152-0.00015404i,-0.00029982-0.00022502i
-0.0021148+0.00117i,-0.0011394-0.00020255i,0.0006321-0.00019219i,0.0017192+0.0013951i,0.0014689+0.0023862i,0.00025969+0.0010889i,-5.3921e-05-0.00032918i,0.00013199-0.00011126i,0.00021871-0.00030635i,0.00054791-0.00031565i,0.00022106+0.00037861i,0.00037184+0.00067442i,0.00040696+0.00075114i,0.00054528+0.00023572i,0.0011711-2.094e-05i,0.0010589+0.00041614i,0.00091376+0.0012545i,0.00096031+0.0012745i,0.00074346+4.7339e-05i,0.00058752-0.00045867i,0.0005781-0.00058691i,0.00070816-0.00056894i,0.00019476-6.1156e-05i
0.0018472+0.00046796i,0.0018659+5.0021e-06i,0.0015249+0.00032699i,0.00078524+8.9609e-05i,7.0436e-05-0.00026215i,-0.00078201+0.0003261i,-0.0010933+0.0012099i,-0.00067074+0.0010267i,0.00031307+0.00038715i,0.00029373+0.00058315i,0.00026213+0.00041251i,0.00066287-0.00019545i,0.00029097-0.00050644i,-0.00018573-0.00053725i,0.00037416+4.7573e-05i,0.00061812+0.00041749i,0.00031541+0.00036398i,0.00038764-3.8518e-05i,0.00025942-0.00045583i,0.00045564-0.00010267i,0.00053586+0.00060121i,0.00051485+0.0006719i,0.00041446+0.00067145i
0.0014557+0.00056666i,0.0016383+0.00042044i,0.0018585-0.0015675i,0.0026483-0.0024775i,0.0027769-0.001565i,0.0016601-0.00068384i,0.0012027-0.00010048i,0.0011328+0.00049038i,0.0010167+0.00039169i,0.0012603+0.00025115i,0.00078711+0.00031143i,0.00014968-0.0007362i,7.6288e-06-0.0014512i,-0.00025678-0.001065i,2.4487e-05-0.00054893i,0.00078691-0.00030152i,0.00087284-0.00052239i,0.00099372-0.00055674i,0.00058962+4.8264e-05i,0.00016465+0.00036211i,-0.0003545-0.00022819i,-0.00085942-0.0011207i,-0.00054587-0.0011022i
-0.00049585+0.00028452i,-0.00039002+0.0018134i,1.3115e-05+0.001534i,2.6969e-06+0.000635i,-0.00022215+0.00010155i,-0.00017802+7.9165e-05i,0.0006267+0.00038346i,0.0015501+0.00029237i,0.0015822+0.00055905i,0.000864+0.00017759i,0.00075594-0.00050553i,0.00049304-0.00046759i,0.00088188-0.00061395i,0.0012454-0.00067255i,0.00090898-0.00026942i,4.5906e-05-0.00042024i,-0.00057801-0.00071809i,-0.00053084-0.00063988i,-0.00086147-9.1568e-05i,-0.00073793+0.0006264i,-0.00012045+0.00055201i,3.3604e-05-0.00048741i,-0.0005992-0.001019i
-0.0012809-0.00029769i,-0.00086938-0.0014724i,0.00027828-0.0017264i,0.00029413-0.0012557i,-0.0014972-0.00075501i,-0.002142-8.6211e-05i,-0.0012047+0.00025925i,-0.00042742+8.0135e-05i,-0.00048294-0.00010242i,-2.3269e-05-0.00037578i,0.00056804-0.00025685i,4.3288e-05-0.00038285i,-0.00097182-0.00057923i,-0.00092232-0.00039911i,-0.00061154+0.00011413i,-0.00069234+0.0003663i,-0.00027679+0.00041567i,-3.1982e-06+0.00031912i,0.00041711+4.4568e-05i,0.0007069+6.1203e-06i,0.00020123+0.00023268i,-0.00047323-9.3372e-05i,-0.00060507-0.00047379i
0.00051956-0.0024754i,0.00092816-0.0022901i,0.00031991-0.0023328i,-0.00082685-0.0017801i,-0.0010041-0.00059043i,-0.00033611-0.00029873i,0.00042357-0.00063143i,0.00080792-0.00023074i,0.00078352+8.5813e-05i,0.00037617+0.00035206i,-0.00047722+8.0154e-05i,-0.00086101-0.00046827i,-0.00064247-0.00019712i,-0.00033022+0.0009396i,0.00033017+0.0011954i,0.00065024+0.00011053i,0.00057146-0.00026413i,0.00054811-0.00014412i,0.00067171-0.00056673i,-6.2539e-05-0.00076492i,-0.00044391-0.00031565i,-0.00063963+0.00023418i,-0.00067537+0.00073126i
-0.0012159-0.00072465i,-0.00113+0.0007i,-0.0017761+0.00094292i,-0.001601-4.4788e-05i,-0.001544-0.00013181i,-0.0010796+0.00011326i,-0.00017973-0.00025188i,0.00012053+5.5847e-05i,0.00027883+0.00059762i,0.00078967+0.00087803i,0.0011872+0.00043382i,0.00076446+0.00034131i,-0.00028692+9.2621e-05i,-0.00058138-0.00042106i,8.5329e-05-1.6384e-05i,0.00032833+0.00051744i,0.00046256+0.00022067i,0.00077888-0.00016355i,0.0010402-0.00036774i,0.00076021+0.00019422i,0.00083977+0.00076307i,0.00073169+0.00084081i,5.2977e-05+0.00084219i
-0.0019818+0.00055912i,-0.0019984-0.00049564i,-0.00078081-0.00072745i,-0.00010264-0.0001136i,-0.00020625+0.0010917i,-0.00020541+0.0017977i,-0.00025176+0.00010096i,-0.00022367-0.0010146i,7.0678e-06-0.00056777i,0.00018327-0.0011544i,-3.424e-05-0.0013649i,0.00037375-0.0008784i,0.0003229+0.00015357i,0.00046309+0.00072254i,0.0014013+0.00074295i,0.0010067+0.00093095i,-0.00013915+0.00033026i,-8.2979e-05-0.00033783i,-0.00026094-0.00035693i,-0.0005617+0.00061534i,0.00028235+0.0013783i,0.00014582+0.00046468i,-0.00031067-0.00045641i
0.00021141-0.0017691i,-0.00014508-0.0016217i,-0.00093347-0.0013163i,-0.001062-0.0010746i,-0.00084972-0.00065585i,-0.0008881-0.00013073i,-0.00026972-0.00013593i,-0.0002446-0.00013736i,-0.00071938-0.00016064i,-0.0013089-0.00053715i,-0.0018339-0.00054454i,-0.0012284-7.1333e-06i,-0.00020871+0.00077656i,0.00011448+0.00068131i,0.0003387+0.0003655i,0.00025253+0.00028093i,0.00072761+0.00091669i,0.001168+0.0010557i,0.00094563+0.00029679i,0.00010389+0.00011905i,-0.00061387+3.9685e-05i,-0.00038652-0.00020238i,-0.00052722-0.00033215i
0.0034659+0.0010746i,0.0039421-7.0535e-05i,0.0034642-0.0011518i,0.0017479-0.001345i,0.00012109-0.00092231i,-0.00066161-0.00086249i,-0.00057579-0.0006149i,0.00015505-3.7941e-05i,0.00030229-1.9486e-05i,0.00013389-4.3476e-05i,0.00045112-0.00014473i,0.00073162-0.00039049i,0.00092126-0.00050303i,0.0011045+1.902e-05i,0.00084824+0.00039021i,0.00051157+0.00029291i,0.00079666-0.00039414i,0.0013581-0.00056417i,0.0010538-0.0002026i,0.00068249-0.0001139i,0.00037727+0.0001779i,-0.00014842-2.0805e-05i,-0.00049725-0.00028845i
