0.00025945-0.00019677i,-0.00097317-0.00065791i,-0.0010501-0.0010089i,-0.001631-0.00021913i,-0.0017116+0.00019683i,-0.00083338+0.0004402i,-7.6142e-05+0.00050798i,9.9751e-05-0.00041276i,-0.00046334-0.00068804i,-0.00075842-0.00046898i,-0.00051493-0.00016831i,-0.0002644-0.00016737i,0.00014637-0.00013914i,0.00078419-6.9659e-05i,0.00045427-0.00046874i,0.0001029-0.00044756i,0.00022535-0.00022354i,0.00010178-6.8665e-05i,0.00012611-4.4189e-05i,-0.00010395+0.0002221i,-5.4081e-05+0.00050804i,0.0011088+0.00057405i,0.0011002+0.00069354i
-0.0010097-0.00083144i,-0.0021498-0.0010605i,-0.0031673-0.00094485i,-0.0018857-0.00055194i,-0.00093753+1.2041e-05i,-0.00035659+0.00026294i,0.00065275+0.00036668i,0.00012307-0.0003376i,-0.00072194-0.00089897i,-0.001705-0.00040365i,-0.00168+0.00042218i,-0.00051716+0.00043786i,7.218e-06-0.00014238i,-0.00032832-0.00031176i,0.00010361-0.0003367i,0.00015969+0.00021117i,0.00012614+0.00069233i,0.00047778+0.00091613i,0.0008904+0.00094722i,0.00095785+0.00069199i,0.00059292+0.00050516i,0.00011406+0.00041983i,-8.1291e-05-6.8844e-05i
-0.0018808+0.00076622i,-0.0014081+0.00075007i,0.00057744+0.0011367i,0.001643+0.0012858i,0.0015557+0.00062872i,0.00061359+0.00037158i,0.00028038-0.00023357i,0.00023127-0.0006822i,-0.00031192-0.00039229i,-0.00078242+0.00027359i,-0.000834+0.00058084i,-0.00059391+5.7494e-05i,-7.7017e-05-0.00073116i,0.00017436-0.0010705i,-0.00022327-0.0011499i,-0.00080038-0.00068411i,-0.0015192+0.00022203i,-0.0015725-0.00014i,-0.0011089-0.00041239i,-0.00028425+0.000297i,0.00033157+0.00071329i,0.00088515+0.00090593i,0.00068848+0.00081193i
0.0019742+0.00086863i,0.0020972+0.00086276i,0.002488+0.00036813i,0.0022295-0.0002773i,0.001257-0.00078568i,0.00023589+6.9497e-06i,-0.00053597+0.0013507i,-0.00076821+0.0010855i,-0.00047121+0.00017511i,-0.0005953+0.00016855i,-0.0013197+8.9999e-05i,-0.0014596-0.00068016i,-0.0017078-0.00075467i,-0.0013642-0.00027568i,-0.00066574+0.00027613i,-0.00044642-0.00024606i,-0.0005275-3.2094e-05i,-0.0012034+0.00067168i,-0.00071493+0.0004382i,1.9618e-05+0.00045308i,0.00052813+0.00055869i,0.0010456+0.00061255i,0.00034465+0.00035094i
0.00033006+0.0015848i,3.1281e-05+0.00096739i,3.2525e-05+0.00017146i,0.00071955-8.0048e-05i,0.0010957-0.00037533i,0.00043249-0.00042663i,4.055e-05-0.00064003i,0.00036638-0.00025563i,-0.00031447-0.00013977i,-0.0010302-3.301e-05i,-0.00055943+0.00038506i,0.00024301+0.00025312i,0.00013218-3.6418e-05i,-0.00036616-0.00018128i,1.3014e-05-0.00023459i,0.00074893+2.3827e-05i,0.00095829+8.389e-05i,7.8735e-05+0.00017048i,-0.0010849+0.00020223i,-0.0012702-0.00012346i,-0.00075653-0.00031061i,-0.00024523-0.00073975i,-0.00013896-0.0015385i
-0.0017922+0.00060934i,-0.0015031+0.00092343i,-0.0015619+0.001241i,-0.0013425+0.0014798i,-0.00088454+0.00085975i,-0.0003932+0.00072719i,-0.00082053+0.0011812i,-0.0013566+0.00060473i,-0.0012173+0.00027964i,-0.00096338+0.00032284i,-0.00060909+0.00063689i,0.00027076+0.00081076i,0.00012924-0.00012189i,-0.00027315-0.0012466i,-0.00066009-0.0014842i,-0.0011801-0.00041393i,-0.00085878+0.00016173i,7.7869e-05-2.7953e-06i,0.0011353-0.00029657i,0.0016325-0.00013593i,0.0010363-0.00032547i,-1.6559e-05-0.00060397i,-0.0011086+0.0002178i
-0.00086405-7.8019e-05i,-0.00026343-0.00023587i,0.0012492+0.00060637i,0.0019958+0.00048751i,0.0015527+0.00022651i,0.00031726+0.00023783i,-0.00055055+3.2946e-05i,-0.00057647-0.00027912i,-4.9383e-05-0.0011565i,-3.426e-05-0.00034073i,0.00023848+0.0011848i,-0.00016298+0.00065226i,-0.00041995-0.00024522i,7.1289e-05-0.00083897i,5.8507e-06-0.00080954i,-0.00014369-4.5045e-05i,-0.00028331+0.00050925i,-0.00029317+0.0003922i,-0.00075782+0.00040729i,-0.0006338+0.00053611i,-8.428e-05+0.00089363i,0.00039326+0.0010811i,0.00013889+0.000842i
0.0028976-0.0013646i,0.0019599-0.0014598i,0.00053443-0.0015573i,-3.0317e-05-0.0021084i,-0.00089499-0.0022094i,-0.00166-0.0011932i,-0.00088444+8.2986e-05i,0.00027111-0.00021542i,0.00026911-0.00056167i,-0.0004659-0.00077101i,-0.0012581-0.00032827i,-0.0013709+0.00079538i,-0.00099472+0.00091652i,-0.00020616+0.00032153i,0.00052314+8.5612e-05i,0.00021366-0.00029988i,0.00050927-0.00059621i,0.0002575-0.0004182i,-0.00028069-3.3078e-05i,-1.7582e-05+0.00048996i,0.00027803+0.00029137i,0.00022875+0.00064117i,-0.00026476+0.0011273i
0.00039764+9.3222e-06i,-0.0017085+0.00082858i,-0.0032898+0.00032174i,-0.0023198+0.00048731i,-0.00071608+0.001006i,-0.00025288+0.0010482i,6.2011e-05+0.00092357i,4.8694e-05+0.00032631i,-0.00027285+8.2702e-05i,-0.0008091-2.5938e-05i,8.9406e-05-0.00078911i,0.00069589-0.00045734i,7.3962e-05+0.00059343i,-0.00030409+0.00022595i,-0.00013555-0.00070182i,-0.0002279-0.00050531i,-0.00082344+8.3253e-07i,-0.00055707-7.0185e-05i,-0.00050055-0.00021903i,-0.00071513+0.00012836i,-0.00021776+0.00056229i,-0.00015684+0.0001139i,-0.00034525-0.00024195i
0.00035302+0.00075436i,0.00016316+0.00056024i,0.00090049+0.00092677i,0.0013233+0.00029711i,0.00011019-0.00055893i,-0.0011363-0.00063379i,-0.00062609-0.0003301i,-6.3814e-05-0.00034698i,-0.00024008-0.00044318i,-0.00019678-0.00055124i,0.00036674-0.0006463i,0.00021758-0.00050186i,-0.00083462-0.00055916i,-0.00087911+0.00013732i,2.3632e-05-0.0004215i,-4.0327e-05-0.0014145i,-0.00014045-0.00046271i,-3.2134e-05+0.00028326i,-0.00056521-0.00031913i,-0.00025117-0.00011825i,0.0006266+0.00072272i,0.00061659+0.00065762i,0.00041963+0.00034442i
-0.0028216-0.0016959i,-0.0035165-0.000409i,-0.0044462+0.0015399i,-0.0026586+0.0025173i,0.00021721+0.0025439i,0.0014748+0.0013936i,0.0011751-0.00030697i,0.00019945-0.00053234i,-0.0014644+7.278e-05i,-0.0020962+0.00025758i,-0.00067096-0.00029474i,0.00033242-0.00048287i,-0.00011382-2.5552e-05i,-0.00074308-6.2988e-05i,-0.00058032-0.0010921i,-0.00053636-0.0019852i,-0.00033815-0.001009i,0.00015561-4.3505e-05i,-7.5273e-06-0.00055311i,-0.00042294-0.00064515i,-0.00051005-0.00026242i,0.00027804-0.00018468i,0.00028428+0.00028563i
0.0011169-0.0021711i,0.0001818-0.0020871i,-0.00094905-0.001958i,-0.0011109-0.00074094i,-0.00056816+0.00051539i,-0.00061558+0.00044909i,0.00029767-0.00016343i,0.0012922-0.00013101i,0.00067593-3.7399e-05i,-0.00034172+0.00046089i,-0.0007193+0.0011175i,-0.00092915+0.0010022i,-0.00091709+0.00066773i,-0.00067305+0.00051054i,-0.00016054+0.00059014i,3.158e-05-3.3218e-05i,0.00020018-0.00014845i,0.00046244-0.00013611i,0.00018714-0.00048368i,5.0345e-05-0.00065095i,-1.4222e-05-3.759e-05i,-9.8309e-05+0.0003872i,0.00011617+1.5124e-05i
