-0.0020766+0.0016275i,-0.0018097+0.0011855i,-0.0029784+0.00092465i,-0.0024553+0.00087737i,-0.0011759+0.0021996i,-6.6522e-05+0.0031643i,-0.0002641+0.0020719i,-0.00033987+0.0018929i,0.00085558+0.0019497i,0.0015992+0.001213i,0.0018899+0.00045876i,0.0014514-6.5836e-05i,0.00051857-0.000544i,0.00056211-0.00026784i,0.00088562-4.4613e-05i,0.00044927-0.0005399i,-0.00073443-0.00047653i,-0.00075305+0.00018011i,0.00045566-7.6287e-05i,0.0010487-0.0009345i,0.00071115-0.00097666i,0.00062119-2.2339e-05i,0.00039793-0.00012804i
-0.00035431+0.00018875i,-0.00074703+0.0001229i,-0.00085492-0.0005514i,-0.0010662-0.00060991i,-0.00092979+8.4705e-05i,-0.001045+0.00054009i,-0.00063979-0.00012967i,-0.00049104-0.00080497i,-0.00045593-0.00087826i,-0.00044233+3.9003e-05i,-0.0007277+0.000913i,-0.00052137+0.0004555i,0.00017635-2.0366e-05i,0.00018952-0.00056579i,-0.00040251+4.4836e-05i,-0.00089966+0.00090703i,-0.0003894+0.00085294i,0.0003842+0.00018007i,0.00024886-0.00038152i,-0.0007011-0.00075572i,-0.0011285-0.00063204i,-0.0011846+0.00035199i,-0.001055+0.00036507i
-0.0019108-0.0015557i,-0.0021382-0.0010046i,-0.003003-0.0005552i,-0.0025817-0.00040374i,-0.00098137+0.00013233i,-0.00026639-0.00051913i,-0.00052302-0.0011462i,-0.00074367-0.0009483i,-0.00011392-0.0011029i,0.00043578-0.00045391i,-0.000256+0.00071092i,-0.00082629+0.0010202i,-0.00056416+0.00094635i,-0.00055928+0.0012148i,-0.00095062+0.0013117i,-0.00037347+0.00050486i,-0.00024701-0.00048053i,-0.00037192-0.00060074i,0.00012153-0.00036652i,-6.4229e-05-0.00015652i,-0.00084557+0.00017474i,-0.0013754+0.00035745i,-0.00093467+0.00020571i
0.00042889+0.0011163i,0.00098805+0.0021569i,0.00026574+0.0026815i,0.00015405+0.002256i,0.00092925+0.0011832i,0.00045346+0.00055997i,-0.00085308+0.00023122i,-0.0006928+0.0003125i,0.00015497+0.0008381i,-3.7943e-05+0.00024399i,0.00021085-0.00038398i,-6.7709e-05-2.2972e-05i,-0.00066792+0.00064959i,-0.00038927+0.0013191i,-0.00019763+0.00090635i,-0.00074828+0.0004107i,-0.0010206-0.000179i,-0.0002716-0.00037769i,0.00070254+0.00053861i,0.00073936+0.00081677i,0.00047159+0.0002433i,0.00039104-2.5328e-05i,8.4913e-05-0.00042494i
-0.00047301-0.0011635i,-0.00045046-0.0011148i,-0.0010035-0.0024394i,-0.00065821-0.0022691i,7.4656e-06-0.00037529i,-7.2684e-05+0.00049908i,-0.00027169+0.00030587i,-0.00043942-4.2634e-05i,-0.00067539+0.00029754i,-0.00089373+0.00017105i,-0.00057157-0.00020309i,-0.00086616+5.0389e-05i,-0.0016135-0.00027716i,-0.00071978-0.00083769i,0.00017755-0.00039424i,-0.0002781+0.00049457i,-0.00032375+0.00011933i,0.00021549-0.00067835i,4.0665e-05-0.00065436i,-0.00032987-0.00035699i,-0.00016116-0.00045699i,0.00014277-0.00033973i,-0.00025963+0.00066611i
-0.00084336-0.00016046i,-0.00087073+0.00018096i,-0.0017987+0.00065793i,-0.0017957+0.0010716i,-0.0011867+0.0010383i,-0.00067225+0.00095982i,-0.001036+0.00043318i,-0.0015246+0.00032357i,-0.0007422+0.0006887i,0.00017396+0.00023657i,0.0011889-0.0002707i,0.0018926-8.9383e-05i,0.0015927+0.00014934i,0.00041752+0.00016367i,-0.00070479+0.00034172i,-0.00084838+2.3722e-05i,-0.00082023+4.9175e-05i,-0.0010142+8.9123e-05i,-0.00047562-0.00028787i,6.716e-05+0.00033091i,9.7238e-05+0.00089096i,-0.00052834+0.00020691i,-0.0006372-0.00091866i
-0.0011285-0.00049174i,-0.0012694+0.00042586i,-0.0010861+0.001034i,-0.00012511+0.00088133i,4.9546e-05+0.00077323i,0.00028857+0.00055216i,4.3789e-05+0.00056721i,-0.00082397+9.6748e-05i,-0.00031818-0.00016147i,0.00035563+0.00041404i,0.00050591+0.00090557i,0.00091654+0.00087966i,0.00010767+0.00086134i,-0.00060309+0.0012837i,-0.00081768+0.00088619i,-0.0009669+0.00060236i,-0.00086295+0.00063204i,-0.00078483+0.0010789i,-0.000856+0.00086034i,-0.00063118-0.00047893i,-0.0002639-9.1029e-05i,6.6576e-06+0.00093182i,1.5374e-05+0.00025643i
-0.0013329+0.0008222i,-0.00084437+0.00070875i,0.00045553+0.0010823i,-0.00041708+0.00074113i,-0.00090622+0.00039258i,-0.00052366+0.00046635i,-0.001431+0.00077242i,-0.0016381+0.0010658i,-0.00064385+0.0010347i,0.00022032+0.00089095i,0.0015855+0.00095415i,0.0015708+0.00057095i,0.000591-0.00012562i,0.0012327-0.00043313i,0.00075126+0.00012467i,-0.00047717+0.00045937i,-0.00043192+0.00023085i,-1.2983e-05+4.3283e-05i,0.00042325+0.00050962i,0.00057554+0.00051972i,0.00052647-0.00029565i,0.00072931-0.00066156i,0.00070285-0.0003938i
0.00090409+0.00034553i,0.00037402+0.00065872i,-0.00020105+0.00025919i,-0.00091939-0.00015208i,-0.00070218+0.00012392i,-0.00064788+0.00069338i,-0.0003353+0.00081954i,-0.00027652+0.0011814i,-0.00070186+0.0012647i,-0.00033864+0.00071457i,-0.00015808-0.00019752i,-0.00013451-0.00062044i,-0.00047572-0.00049588i,-0.0005313+0.00014505i,-5.2954e-05+6.5053e-05i,0.00036701-0.00084902i,0.00019438-0.00049242i,-9.0779e-05-6.9142e-05i,-0.00055348-0.00040279i,-0.00070975-0.00055485i,-0.00049484-0.00024243i,-0.00011477-0.00023655i,-9.8871e-06-6.5489e-05i
-0.00022824+0.00086163i,-0.00020558+0.0018578i,-0.00036327+0.0011127i,-0.00041394+0.00011423i,-0.00022544+0.00038536i,-0.00083485+0.00096641i,-0.0014896+0.00051626i,-0.0014186+0.000163i,-0.00093238+0.00036355i,-0.0002772+0.00062469i,5.5175e-05+0.00041323i,0.00061032+0.00033302i,0.00064813+0.00028619i,0.00066331-0.00020312i,0.00052999-0.00026229i,-0.00028983+0.00052846i,-0.00093452+0.00023863i,-3.3601e-06-1.7287e-06i,0.00078409+0.00044864i,-4.756e-05+0.0003651i,-0.00074176+0.00019171i,-0.00062104+0.00014351i,-0.00016689-0.00017585i
-0.0007703+0.0013139i,-0.00035485+0.00046736i,-0.00035264+4.1959e-05i,0.00038166-5.5749e-05i,0.00087627-0.00029903i,0.0010877+0.00029281i,0.00095199+0.00037068i,-0.00012652+0.00027977i,-0.00083017+0.00027333i,-0.00093719-0.00031183i,-0.00089857-0.00047934i,4.4449e-05-4.7987e-05i,0.00066867+7.7474e-05i,0.00054312-0.00051117i,0.00078597-0.00062373i,0.00072428-0.00012844i,0.0005387-7.8191e-05i,0.00034833+0.00037418i,-0.00022806+0.00016765i,-0.00093348-0.00064257i,-0.0011491-0.00045523i,-0.0009906-0.00035053i,-0.00080986-0.00085495i
-0.00010252-0.0013915i,-0.00051563-0.00086445i,-0.0011143-0.00070257i,-0.000234-0.00081747i,0.00018365+0.00026244i,-0.00019299+0.00058914i,-0.00020807+0.00017814i,0.00015153+1.5007e-05i,0.00014446+0.00023089i,-0.00015923+0.00027054i,4.1986e-05-5.6239e-05i,0.00041853+0.00041778i,0.00033955+0.0010942i,-1.221e-06+0.0013302i,3.5192e-05+0.0009882i,0.00030759+9.6648e-05i,1.0578e-05-0.00092459i,0.00051961-0.00085382i,0.0003709+0.00015831i,-0.00012934+0.00051751i,-3.4168e-05+0.00081469i,-0.00081151+0.0007633i,-0.0010926+3.8064e-05i
-0.00026876-0.002441i,-0.00058114-0.002415i,-0.00012831-0.0025823i,-0.00083087-0.0015146i,-0.0016375-0.0010243i,-0.0016353-0.0010643i,-0.0010438-0.0005121i,-0.00083804-0.00013545i,-0.00095291+0.00058907i,-0.00039817+0.00047249i,-0.00019534+0.00055723i,-0.00079349+0.00069331i,-0.00046429+0.00035911i,0.00058273+0.00020196i,0.00025843-0.00023776i,3.4884e-06-0.00035688i,-0.00025057-0.00026325i,-0.00039454+0.00014164i,-0.00014319+0.0002881i,-0.00040266+0.00045944i,0.00010508+0.00014407i,0.00028063-0.00043273i,4.095e-05-0.00065355i
-0.0014394+0.0015766i,-0.0011218+0.001772i,-0.0013745+0.0024678i,-0.0004804+0.0015019i,0.00017167+0.00074661i,-0.0003854+0.0009787i,-0.0016395+0.00039015i,-0.0015836+0.00052354i,-0.00085057+0.0013203i,-0.0003099+0.0013161i,0.00022558+0.0011516i,0.00058519+0.00088487i,9.0839e-05+0.0012226i,-0.000622+0.0011448i,-0.0001778-0.00015738i,0.0005518+0.00018215i,0.00098761+0.0010113i,0.00066114+0.00023048i,8.4628e-05-9.7234e-05i,1.0166e-05+0.00047912i,-0.00053084+0.00050797i,-0.0012072-0.00025336i,-0.00045849+0.00030854i
-0.00017427+0.0027478i,0.00030488+0.0023302i,-0.00016885+0.0017237i,-0.00033613+0.0008076i,0.0001279+0.00082231i,0.00045667+0.00057194i,-0.00015164-0.00027166i,-0.00064623-7.3161e-05i,-0.00033008+0.00073805i,0.00033643+0.00082407i,0.00038371+0.00056392i,0.00025943+0.00036127i,0.00092736-0.000155i,0.00094501+0.00021741i,0.00042051+0.00056576i,-0.00018754+0.00057906i,-0.00042931+4.8843e-05i,-2.9337e-05-0.000295i,-0.00032073-2.8513e-05i,-0.00026021+0.00050547i,-2.4091e-05+0.00093137i,4.3654e-05+0.00053359i,0.0002745-6.3305e-06i
-0.0019642+0.0019208i,-0.0023984+0.0014004i,-0.0023852+0.0017901i,-0.00062627+0.0020653i,0.00074982+0.001372i,5.9264e-05+0.00079813i,-0.00041157+0.00040376i,0.00055009+5.1747e-05i,0.00057988+0.00049821i,-0.00055283+0.00095646i,-0.00057286+0.00099356i,-1.8195e-05+0.00089626i,7.9098e-05+0.0014381i,9.4786e-05+0.0011415i,4.2347e-05+7.8215e-05i,2.9945e-05+5.3826e-05i,-0.00041723+0.00041915i,-0.0012874+0.00047535i,-0.0013641+0.00043728i,-0.00050144+6.771e-06i,-1.1116e-05-0.00044318i,-0.00022353-0.0005359i,8.1245e-06-0.00055295i
0.0013532+0.00049657i,0.0013917+0.00015767i,0.0015281+0.0001758i,0.0011488-0.00053672i,0.00068132-0.00010201i,0.00017655+0.00041568i,-0.00054073+0.00025889i,-0.0011672+0.00042329i,-0.00097253+0.00092571i,-0.00048951+0.00099374i,-0.00030511+0.00095181i,-0.00040613+0.00081444i,3.4079e-05+0.00013171i,0.00051223+0.00030539i,0.00021662+0.0001082i,0.00077887-1.4979e-05i,0.00049977+0.00013658i,-3.6517e-06-0.00028649i,-8.6806e-05-0.00029806i,0.00068077+0.00021398i,0.0007757+0.00051001i,-9.2799e-05+0.00027196i,-0.00049056-5.4582e-05i
0.00025303-0.0013594i,-2.2313e-05-0.0013752i,0.00011665-0.0011245i,-0.00059015-0.00014573i,-0.0015803+0.00063445i,-0.0017486+0.00067261i,-0.00098295+0.0009024i,-0.00058928+0.0013913i,-0.00026177+0.0010256i,4.229e-05+0.0010886i,0.00037863+0.0007389i,0.0010613+0.00022463i,0.00077362+0.00022939i,-7.5457e-05+0.00028669i,-9.5943e-05+0.000752i,0.00029635+0.0010721i,-4.6862e-05+0.00095344i,-0.00019801+0.00018027i,-7.4493e-05-4.207e-06i,0.00024357+0.00039078i,0.00074006+0.00058413i,0.00089002+0.00082617i,0.00030449+0.00032424i
0.00013184-0.00048439i,-0.00039531+0.00022152i,-0.00036877+0.00096337i,-0.00010326+0.00061929i,0.00077961+0.00036781i,0.00033892+0.00093854i,-0.00088512+0.0011061i,-0.00085986+0.0011463i,-2.9652e-05+0.0010997i,0.00039456+0.00065549i,0.00012377+0.00066756i,-0.00038488+0.00048108i,-0.00070673+0.00037951i,-0.00034672+0.0010767i,0.00020821+0.0014037i,-0.00015124+0.0009865i,-0.00034027+0.0007524i,-0.00041275+0.00067897i,0.00022959-0.00045544i,0.00091416-0.0001088i,0.00032845+0.0010202i,-0.00061142+0.0010585i,-0.00061156+0.00085253i
0.00099559-0.00028413i,0.00011577-0.00047765i,-0.00031117-0.0015536i,-0.00029162-0.0020585i,-0.00071911-0.0014191i,-0.0012163-0.00064414i,-0.0010236-0.00028762i,-0.00078301+0.00010329i,-0.00035656+0.00041555i,0.00015896+0.00041027i,-0.00022749+0.00020121i,-0.00071128+0.00026422i,0.00013459+0.00073368i,0.00023126+0.00070275i,-0.00026141-0.00015918i,-0.00027767-0.00097682i,-0.00084455-0.00091771i,-0.00063557-0.00060403i,1.3263e-05-0.00016215i,1.8405e-06+0.00010554i,-6.9005e-05+0.00031745i,2.1616e-05-0.00017691i,0.00050489-0.00083674i
0.0016996+0.00088178i,0.0024762-0.0002868i,0.0030768-0.00060584i,0.0012572-0.00085468i,-0.00017963-0.00029576i,0.00014276-0.00021518i,-0.00028363-0.00038562i,-0.0011643+0.00012086i,-0.00060647+0.00037097i,-0.00030502+0.00089061i,-0.00053477+0.00037179i,-0.00020196-0.00031765i,0.00015549+0.00026861i,0.0003766-0.00024813i,0.00088232-0.0010161i,0.0011504-0.00080975i,0.00018175-0.00022216i,-0.00072868+0.00031529i,-0.0011017+0.00030461i,-0.000615+0.00015588i,0.00025978+0.00015205i,0.00046476+7.0337e-05i,-0.00045855+0.00016008i
0.00056443-0.0012129i,0.00075567-0.0012434i,6.5729e-05-0.00053621i,-0.00059255+0.00049215i,-0.00077599+0.0019726i,-0.0014985+0.0023197i,-0.0016015+0.0014459i,-0.00052763+0.0015757i,-0.00051299+0.00087792i,-0.00027172-0.00010159i,-3.3789e-05+3.2549e-05i,-0.00019533+0.00022148i,-0.00017159+0.00058166i,-0.00024486+0.00065896i,0.00047412+0.00026066i,0.00073046+0.00069126i,-0.00020264+0.0012797i,0.00021873+0.00050329i,0.00031687+0.00071164i,-0.00044988+0.00096437i,-0.00080421+0.00067504i,-0.00064859+2.4349e-05i,-0.00053216-0.00029717i
-0.0009972-0.00039344i,-0.00036979-0.0011352i,-7.781e-05-0.0011085i,-0.00018966+0.0002296i,-0.00019829+0.0012516i,-0.0007882+0.00088581i,-0.0011353+0.0006262i,-0.00074273+0.001057i,-0.00024289+0.0017704i,-0.00049161+0.0015268i,-0.00069598+0.00049153i,-0.00034544-0.00022111i,-6.8057e-05-0.00062191i,0.00063366-0.0002219i,0.00049812+0.00070417i,-0.0003261+0.0012756i,-0.00067375+0.0012042i,-0.00084504+0.00062616i,-0.0011466+0.00018088i,-0.0014945-0.0002351i,-0.00051383+0.00025159i,0.00025386-0.00011538i,0.00061552-0.0012885i
-0.00018181-0.00033936i,-0.00015065-0.0003495i,-0.00041395-0.00019558i,0.00032699-0.000599i,0.00080959-0.00079164i,-0.00018145+0.00043129i,-0.0014157+0.0011855i,-0.0017479+0.001366i,-0.0013047+0.0010636i,-0.00082779+0.0007282i,-0.00022659+0.00042968i,0.00053786+9.039e-05i,0.00028508+0.00037543i,-0.00052495+0.00081647i,-0.00060683+8.2018e-05i,-0.00021041-0.0005026i,-7.1583e-05-0.00036826i,0.0001917-0.00050011i,0.00020663-0.00046078i,-0.00016531-0.00027428i,-0.0002484-1.49e-05i,-0.00020313+0.00045724i,-8.0157e-05+0.00071713i
-0.00036379+0.00079463i,0.00070797+0.00077075i,0.00070464+0.00058401i,0.00029663+0.00016358i,0.00047126+3.1591e-05i,-0.00029932+0.00050896i,-0.0010696+0.00063501i,-0.00090074+0.00059215i,-0.0004923+0.0008832i,-0.00016479+0.0011764i,-0.00044515+0.00063821i,-0.00068118+0.00028886i,9.1178e-05+0.00037748i,0.00077611+0.00010503i,0.00043298-6.3365e-05i,8.0752e-05-9.8192e-05i,0.00019758-0.00034533i,0.00041589-0.0005795i,0.00016486-0.00024125i,-0.00060618-0.00012561i,-0.00091502+0.00037107i,-0.00072624+0.00044608i,-0.00028328+0.00026907i
3.9264e-06-0.00038281i,0.00040174-0.0020689i,0.0010877-0.0019983i,0.0012836-0.00061486i,-0.00020586-0.00021437i,-0.0012419-0.0007819i,-0.001254-0.00078553i,-0.0013355-9.0868e-05i,-0.00064502+0.00013133i,-0.00026749+0.00013741i,-0.00041011-0.00044175i,-0.00049677-0.0010397i,-0.00054399-0.00051699i,-0.00041901+0.00021102i,-0.00063012-6.3387e-05i,-0.0005505-0.00033079i,7.6021e-06-6.4088e-05i,-0.00015835-7.0212e-05i,-0.00078383-0.0010213i,-0.00061611-0.00073606i,-0.00038419+0.00035292i,-0.00034177+0.00037589i,2.5448e-05-0.0007508i
0.0010524+0.0018903i,0.00073616+0.0013767i,0.0016673+0.0014623i,0.002494+0.0015093i,0.0023719+0.0018419i,0.0014905+0.0017166i,1.4e-05+0.00018638i,-0.00029715+0.00040326i,9.6572e-05+0.001268i,-4.1576e-05+0.00084237i,-0.00025125+0.00051866i,9.0015e-06+0.00054827i,0.00068145+7.8137e-05i,0.001003-0.00031158i,0.00036085-0.00035787i,-0.00035418-0.00034513i,-1.4149e-05+0.00025699i,-0.00011661+0.00048884i,-0.0010763-0.00032316i,-0.0013109-0.00065812i,-0.00089444+5.283e-05i,-5.6403e-05+0.0003574i,7.4577e-05+0.00022121i
-0.0026285-0.0003561i,-0.002195+0.00038058i,-0.0016806+0.00081309i,-0.0018805+0.00065299i,-0.0013187+0.00021467i,-0.00010847-0.00032246i,-0.00034369+0.00048925i,-0.00076443+0.001165i,-0.00051057+0.00084731i,-0.00018202+0.0013396i,-0.0001477+0.0023244i,-0.00045041+0.002737i,-0.00035456+0.0016517i,-0.00024801+0.0004741i,-0.00063643-6.3885e-05i,-0.00050949+2.6786e-06i,0.00023846+0.00048979i,0.00063744+0.0004214i,0.00013476+7.8848e-05i,5.2056e-05-0.00038822i,0.00014548-0.00064637i,-0.00019105-0.00021463i,-0.00020109+2.3719e-05i
0.00010938-0.0034064i,0.00056359-0.0033348i,0.00048268-0.0030455i,-0.00044156-0.0026219i,-0.00026476-0.0012586i,0.0004517+2.4347e-05i,0.00044051+0.00030603i,7.7642e-05+0.00081137i,-0.00092771+0.00099411i,-0.0013006+0.00052597i,-0.0012314+0.00070158i,-0.0014348+0.0010963i,-0.0010986+0.00099374i,-0.0010134+0.00048891i,-0.0012376-0.00024283i,-0.0014885-0.00067497i,-0.0012731-0.00072129i,-0.00047701-0.00063517i,0.00021011+0.00016431i,0.0010599+0.00078784i,0.00097763+0.00074854i,0.00014916+0.00042184i,-0.00022164+0.00045077i
0.0011635+0.00041285i,6.1156e-05+0.0008677i,-0.00022857-7.5145e-05i,0.00040094-0.00030638i,5.0834e-05+0.00082895i,-0.00088425+0.0010909i,-0.0017306+0.00059405i,-0.0020228-3.6984e-06i,-0.0014449+0.00019493i,-0.00036089+0.00038183i,7.5163e-05-2.6542e-06i,-0.00010159+7.7074e-05i,-0.00022614-0.00012481i,-0.00036517+2.3911e-05i,-0.00066497+0.0006468i,0.00041908+0.00034465i,0.0011068-0.00010115i,0.00053551-0.00025012i,5.6271e-05+0.00037085i,-0.00055042+0.00047084i,-0.00043468+0.00047237i,-8.8195e-05+0.00037525i,9.4704e-05+0.00035962i
-0.001279-0.00068059i,-0.00070333-0.00058496i,0.00017758-0.00069284i,-0.00042116+0.00098142i,-0.0013558+0.0022169i,-0.0010771+0.0018141i,-0.00069296+0.0010378i,-0.00094209+0.00037199i,-0.000514+0.00038776i,0.00019336+0.00070375i,0.0010814+0.00090511i,0.0012256+0.00086957i,0.00034988+0.00040579i,0.00011312+0.00039776i,0.00030146+0.001177i,0.00057268+0.00068031i,0.00032254-0.0005828i,-0.00033935-0.00057521i,-0.00054614+8.1979e-05i,-0.00074951-6.5376e-05i,-0.00023282+0.00053973i,0.00012742+0.0009758i,-0.00038758+0.00043799i
0.00054289+0.0004879i,0.00091656+0.00050441i,0.0020166+0.0002007i,0.0015114-0.00024148i,0.0015238-0.00058026i,0.0012283-0.00014006i,-0.00020729-0.00011258i,-0.0006189-4.6055e-05i,-9.149e-05+0.00011974i,0.0002982+0.00064768i,0.00031298+0.00084047i,0.00034931+0.00072224i,0.00084789+0.00012596i,0.00065397-0.00056009i,0.00015998-0.00049895i,-7.344e-05-0.00013043i,-0.00041642-0.00038239i,0.00037193+2.0253e-05i,0.00074965+0.00081855i,0.00043371+0.00066179i,0.0002888-0.0002362i,0.00013242-0.00037645i,0.00045914-9.2683e-06i
