-0.00052085-0.00015247i,-0.00016193-0.0011126i,-0.0016077-0.0029969i,-0.0026952-0.0030423i,-0.00272-0.0014077i,-0.0021465+0.00072666i,-0.00095628+0.0015333i,-8.3908e-05+0.00084588i,0.00092323+0.00083399i,0.0011894+0.0009246i,0.00014868+6.3436e-06i,0.00024993-0.00042669i,0.00072604-4.7139e-05i,2.6456e-06-0.00075613i,-0.00056054-0.00075829i,-0.00038173+0.00012043i,0.00018998+0.00058428i,0.00040057+0.0003677i,0.0005621-0.00062157i,-2.871e-05-0.00029458i,-0.00058179+0.00053466i,-0.00035137+0.00036866i,-0.00037713+0.00017389i
0.0010742+0.00083556i,0.0018246-0.00022054i,0.0006383-0.0016971i,-0.0012081-0.001899i,-0.0014259-0.00061725i,-0.00078475+5.9369e-05i,-0.00010675+0.00014446i,0.0008314+0.00076812i,0.00067044+0.00077297i,-0.00029454-0.00021985i,-0.0010089-0.00091039i,-0.00087887-0.00027869i,-0.00043005+0.00046362i,0.00011931+0.00055923i,-3.2684e-05+0.00073917i,-0.00036408+0.00011068i,2.0064e-05-0.00026265i,0.00015556+0.00011429i,0.00020381+0.00012196i,0.00024918+0.00088923i,-0.00031074+0.00092625i,-5.2719e-05-0.00024591i,0.00037861-0.00074545i
0.0013355-0.00052434i,0.00098035-0.0020511i,0.0010241-0.0035618i,0.0009038-0.0034104i,0.00034985-0.0021032i,-0.00015464-0.00077658i,-0.00021438-0.00014321i,-0.00023309-0.00068053i,-0.00033707-0.00082578i,-0.0010132-0.00024776i,-0.0014038-0.00067087i,-0.00034668-0.00047498i,0.0001631+0.00056063i,-0.00045743+0.00078776i,-0.00029073+0.00011214i,-0.00021786+0.000631i,-0.00024703-0.0002156i,0.00025088-0.0011828i,0.00028581-0.00055974i,-0.00017013-9.5039e-05i,-0.00048983-0.00037516i,-0.00075701-0.00087016i,-0.00032905-0.0004245i
-0.00069715+0.00054066i,-0.00024444+0.00048843i,0.0011868-0.00067135i,0.000661-0.0010332i,-0.00056101-0.00067489i,-0.00055753-0.0010231i,-0.00024462-0.00047397i,-0.00032454-8.21e-05i,-9.8238e-05-6.9548e-05i,0.00058946+0.00034904i,0.00053965+0.0011352i,-0.00032503+0.001107i,-0.00029279+0.00038237i,0.00062119+0.00034387i,0.00028983+0.00027455i,0.00012863-0.00021116i,0.00067916-0.00051487i,0.0009554-0.00047134i,0.00037966-0.00048664i,-0.00023369-0.00016071i,-0.00023939+0.00012848i,-7.9211e-05+0.00012031i,-7.4867e-06+2.5068e-05i
-0.0012252+0.0011539i,-0.00048855+0.0014675i,0.00042314+0.0015098i,-0.00028248+0.0013723i,-0.000562+0.0013371i,0.00069796+0.0010943i,0.0009987+3.1117e-05i,0.00017339-0.00064558i,-0.00025577-8.6951e-05i,0.00049432+0.00045774i,0.00073563+0.0007144i,0.00056385-0.00013054i,0.0011886-0.0008663i,0.0016464-0.00052874i,0.00087374-0.00025518i,0.00042605-0.00022321i,0.00062611-1.1643e-05i,0.00031285-0.00013585i,-5.7947e-05-7.1902e-05i,0.00045099+0.00058923i,0.00093434+0.00061547i,0.00071211-0.00025632i,-0.00083676-0.00085671i
0.0005385-0.00094071i,0.000862-0.0013754i,0.001094-0.0014409i,0.0010098-0.0014104i,0.00085365-0.00084845i,0.00077679-0.00054803i,0.00049551-0.00078873i,0.00053898-0.0010306i,9.3102e-05-0.0013144i,-0.00098593-0.0007615i,-0.00085897+0.00046882i,-0.00016855+0.00064751i,-0.00078723-0.00027279i,-0.0014283-0.00030047i,-0.0006297-4.941e-05i,0.00018807+0.00010824i,0.00047494-0.00035458i,0.00046389-0.0012893i,0.00053742-0.00050931i,0.00015406+0.00074595i,-0.00017287+0.00086495i,-0.0002857+0.00051058i,-0.00059196-0.0001073i
-0.00011928-0.00036955i,0.00070552-0.00040525i,-0.00020842-0.00049192i,-0.0010255-0.00025511i,-0.00035431-0.00010274i,-5.4438e-05+3.2071e-05i,-0.00089966-0.00036713i,-0.00062522-0.00065933i,-0.00020619+5.6921e-05i,-0.00062841+0.00072254i,-0.00075897+0.00087689i,-8.5725e-05+0.00041338i,-6.1541e-05-9.8043e-05i,-0.00041565-0.000456i,0.00026853+0.00023521i,0.00096311+0.00027593i,0.00076147-0.00086232i,0.00020129-0.00025827i,-0.00010616+0.00046506i,-0.0004927+0.00020793i,-0.00085848-8.0777e-05i,-0.00079047+3.412e-05i,-0.00049949+0.00036944i
0.0016571+0.00086428i,0.001744+0.00035274i,0.00070899+5.8409e-05i,-0.00040533+0.00068945i,-0.00085084+0.0017057i,0.00013509+0.0018568i,0.0005497+0.00098697i,-0.00026776+0.00034732i,-0.00018481+0.00011862i,0.00037698-0.00042732i,0.00073421-0.00053716i,0.00066113+0.00013962i,0.00085621+2.0374e-05i,0.001137-0.00033753i,0.00095995-0.00059179i,0.00058187-0.00051447i,0.00063047+0.00041014i,0.00018253+0.00077555i,-0.0004615+0.00066865i,-0.00023017+0.00015113i,0.00033242-0.00023849i,0.00050138-0.00021976i,0.00028403-0.00016121i
-0.00017167+0.00086521i,-0.00020295+0.00052286i,0.00020571+0.00032008i,0.00056712+2.1332e-05i,5.5416e-05-0.00038738i,-0.00036703-0.00087925i,-2.5306e-05-0.0010536i,0.00038331-0.0006938i,-1.2515e-05-0.00045366i,-0.00049617-0.00016564i,-0.00016347+0.00024031i,0.00018201+3.3034e-05i,0.00032335-4.4503e-05i,0.00071443-0.0005586i,0.0010319-0.0015331i,0.00193-0.0011888i,0.001926-0.00012746i,0.0003297+0.00076616i,0.00019952+0.00083637i,0.00064303+0.00064316i,-1.8816e-05+0.00036772i,-0.00081062-0.00030825i,-0.00044465-3.7723e-05i
0.0016074+0.00033973i,0.0015398-9.107e-05i,-0.00011819-0.00185i,-0.0023358-0.0020078i,-0.0022562-0.00045454i,-0.00064405+0.00066055i,0.000832-4.4957e-05i,0.0015763-5.4006e-05i,0.00086162+0.00016858i,-0.00027968+0.00050851i,-0.00088864+0.00044068i,-0.00022967-0.00031745i,0.0008861-0.00012022i,0.0012131+0.0011051i,-0.0002038+0.0015084i,-0.00060874+0.00013682i,0.00041611+1.6321e-05i,0.00052235+0.00062709i,0.0003549+0.00058082i,0.00063097-0.00021901i,0.0010232-0.00068807i,0.0005195+0.00030318i,-0.0011774+0.00096113i
-0.00035313+0.0023779i,0.00068929+0.0013572i,0.0012374-0.001097i,0.00086903-0.0013352i,0.00055855-0.00013235i,0.0012238+0.00025725i,0.0013568+0.00016584i,0.0011017-0.00067438i,0.00096011-0.00021696i,0.00087036+0.000933i,0.00078555+0.001082i,0.00048666+0.00074278i,1.1737e-05+0.00041907i,2.3667e-05+0.00019654i,0.00072093-0.00039989i,0.00096503-0.00032596i,0.00024965+0.00045815i,-0.00069649+0.00042373i,-0.00033471+0.00026797i,0.00048356+0.00013672i,0.00064464+0.0001541i,-0.00041178+0.00026307i,-0.00033551-0.00034072i
-0.00094781-0.0011001i,-0.00065769-0.0010066i,-0.00064941-0.00083108i,-0.00090711-0.00027759i,-0.00094077+0.00049139i,-0.00027051+0.00017318i,-0.00013096-0.00045601i,-0.00042551-0.00077799i,-0.00058331-0.00075943i,-7.4873e-05+0.0002196i,7.3536e-05+0.001443i,0.00011399+0.0014069i,0.00016296+0.00068822i,0.0001692+9.9724e-05i,0.00042612+3.5576e-05i,0.00046273+0.00013876i,0.00034792-0.00011573i,7.0066e-05-0.00054308i,-0.00013701-0.00019944i,-0.00038283+0.00064205i,-0.00063993+0.0006232i,-0.00067303+0.00045024i,-0.00030923+0.00046767i
0.00083014-0.00044187i,0.0010778-0.0024711i,0.00027755-0.0030839i,-0.0010512-0.0024176i,-0.0015821-0.00075158i,-0.0011355-0.00052372i,-0.00081365-0.0011342i,-0.00030939-0.0012103i,-5.0839e-05-0.0007462i,1.285e-06+4.2348e-06i,-0.0002138+0.00048054i,-2.9021e-05+0.0010312i,0.00028616+0.00057192i,-0.00077128+0.00078141i,-0.00058679+0.0010264i,0.00062987+0.0010673i,0.0003989+0.0013152i,-0.00021863+0.00051558i,0.00019045-0.00010718i,0.00038193+0.00026048i,0.00012375+0.00056113i,0.00058173+0.00021899i,0.0005665-0.00014892i
0.0026083+0.00030006i,0.0034318-0.0012822i,0.0032727-0.0024813i,0.0019627-0.0029938i,0.00070629-0.0017271i,0.00067577-6.3034e-05i,0.00053432+0.00085935i,-3.5302e-05+0.00095591i,-0.00042149-0.00035815i,-0.00037078-0.00039073i,-0.00019751+0.00052456i,-0.00037118-6.2838e-05i,-0.00077785-0.0006129i,-0.00082618-0.00010578i,-0.00015683+8.8283e-05i,0.0003164-9.7425e-05i,0.00054277+0.00022655i,0.00065206+0.00031959i,0.00021966-9.611e-05i,0.00025197-3.2206e-05i,0.00054995+0.00022146i,0.00037962+0.000107i,5.446e-05+5.0309e-05i
0.00024306-0.0016364i,0.00015516-0.0022259i,-0.00084827-0.001291i,-0.0012906-4.0547e-05i,-0.00061403+0.00084985i,0.00014949+0.0010842i,8.8438e-05+0.00031777i,-0.00026114+3.5203e-05i,0.00023588+4.1411e-05i,0.00034664+0.00047447i,-0.00042415+0.00050972i,-0.00066808-0.00029947i,-6.8059e-05-0.00042094i,0.0010457+0.00012841i,0.0014763+0.00033967i,0.0015164+0.00065726i,0.00015191+0.00058543i,-0.0011571-8.1466e-05i,-0.00025279-0.00027707i,-0.00010296+3.0696e-06i,-0.00034156-0.0002955i,-0.000104-0.00051193i,-0.00030273+0.00030639i
0.00068725+0.0013372i,0.0010283+0.00077109i,0.00091296-2.3317e-05i,-0.00020995-0.00052381i,-0.00015526-0.00026662i,0.00056816+0.00032509i,-0.00012531+0.00056293i,-0.001156-0.00010921i,-0.0011253-0.00013019i,-0.00038025+0.00036515i,0.00025407+5.5462e-05i,-0.00023033-0.00032077i,-0.00032419+0.00046667i,-0.00014734+0.0014373i,-0.00057907+0.00064835i,-0.00033062+0.00056897i,-9.4574e-05+0.00061425i,-0.00037748+4.0849e-05i,-0.00016837+0.00025109i,0.00039646+0.00038554i,0.00059487+0.0001857i,0.00049437+0.00026733i,-0.00086724-0.00032856i
0.00033512-0.00022271i,0.00088161-0.00023761i,0.0020051-0.0017463i,0.00092686-0.0019054i,-0.00037944-6.2661e-05i,-0.00010423+0.0014482i,0.0001634+0.0013175i,0.00017513+0.00069265i,-0.00048333+0.00025144i,-0.0011197-7.4028e-05i,-0.00066202-7.6064e-05i,-0.00035027-0.00056132i,-0.00034263-0.00061631i,-0.00021199+1.0458e-05i,-0.00058017+0.00065154i,-0.00044191+0.00027635i,0.0002656-0.00023967i,0.00027932-1.9324e-05i,-0.0003407+0.00055732i,-0.00066211+0.00075283i,-0.00036538+0.00052108i,0.00070174+0.00095306i,0.00055178+0.00048998i
0.00079356-0.00059276i,0.0017497-0.00062707i,0.00018341-0.00081813i,-0.0018351-0.001302i,-0.0017407-0.00072958i,9.434e-05-0.00019814i,0.00062345-0.0013427i,-0.00015881-0.0014448i,-0.00058608-0.00021124i,-0.00077281+0.00010766i,-0.00084171-7.9571e-05i,-0.00023453+0.00016263i,0.00060825+0.00050505i,0.00083732-0.00010477i,0.00082815-4.7957e-05i,0.00035229+0.00051482i,-0.00020489+7.9095e-05i,-0.00039053+0.00041387i,-0.00017307+0.00077117i,-0.0001041+0.00062976i,-0.00043002+0.00024983i,-0.00034297+3.3985e-05i,-0.0009764+0.00052215i
-0.00023042+0.00030886i,0.00041108+0.0008376i,-0.00029732+0.0009316i,-0.00016703+0.0014548i,0.000792+0.0014044i,0.0011314+0.00095723i,0.00056546+0.00026746i,0.00034046-0.00012816i,0.00041827+0.00062133i,-0.00015878+3.2125e-05i,-0.00042315-0.0012474i,0.00026149-0.000849i,0.00090252+4.0612e-05i,0.00054972+0.00018777i,0.00082991-0.00037794i,0.0011625-0.00080274i,0.00040362-0.00079882i,-0.00044624-0.00040262i,-0.00048595-6.8346e-05i,-0.00034039-0.00027092i,1.4712e-05+0.00023643i,0.000251-6.7218e-05i,0.00086648-0.00029433i
0.00092999+0.0013149i,0.002067+0.0001156i,0.0022824-0.00056227i,0.00095159-0.00093828i,-0.00037398-0.00049948i,-0.00030481+0.0003973i,0.00021004+0.00043921i,-0.00051735-0.00070696i,-0.0010117-0.0010849i,-0.00080269-0.0002279i,-0.00087996+0.00023359i,-0.00095661+0.00024745i,-0.0010547+0.00011738i,-0.0015526-6.3436e-05i,-0.0012794-0.00025927i,-8.9827e-05+0.00016298i,0.00067081+0.00068906i,0.00045735+0.00075385i,-8.8126e-05+0.00054063i,-0.00034366-0.00034457i,-0.00022023-0.00016537i,-8.787e-05+0.00051287i,-0.00018163+0.00018232i
0.00099982-0.00099918i,0.0007286-0.001663i,-0.00061226-0.0027991i,-0.00062576-0.0027707i,-0.00074181-0.00019553i,-0.0010002+0.0008009i,-0.00023319-0.00060891i,-0.00036092-0.0010392i,-0.00077653-0.00030848i,-0.0010489-0.00011633i,-0.00092894-6.0062e-05i,-0.00018739+0.00060002i,0.000231+0.00062065i,0.0001703-1.8953e-05i,-0.00028467-0.00023754i,-0.00032677-0.00010387i,8.0011e-05-0.00029907i,0.00034766-0.00063805i,0.00022298-0.00062279i,7.3001e-05-0.00049968i,-0.00051143-0.00040795i,-0.00057085-0.00045323i,4.0807e-05-0.00012629i
0.0030029+0.0012684i,0.0027407-0.00018805i,0.002077-0.0019923i,-0.00032334-0.0020711i,-0.0014531-0.00049914i,-0.00065108-0.00056748i,-0.00021085-0.0007414i,-0.00022955-0.0002229i,-0.00012276-0.00048779i,-0.00017279-0.00072608i,-9.7164e-05-0.00072054i,-7.2254e-05+0.00014753i,5.1837e-05+0.00088334i,-0.00029843+0.00046494i,-0.00064685+0.00076773i,-0.00048511+0.0011752i,-3.1206e-06+0.000266i,-4.8555e-05-0.00052004i,-0.00071754+0.0001414i,-0.00065665+0.00047524i,-2.28e-05+0.00084875i,3.0433e-06+0.00079742i,-0.0001009-0.00010498i
0.00059983+0.0030975i,0.0024075+0.0013486i,0.0037117-0.00057753i,0.0031884-0.001327i,0.0014123-0.00035313i,2.4503e-05-7.5763e-05i,-0.00080985+0.00023663i,-0.00063499+0.00045225i,0.00018784+0.000229i,-3.2558e-05+2.3844e-05i,-0.00058197-0.00017223i,-0.00021755-0.00047269i,-0.00070314-0.00012128i,-0.0016158+0.00088067i,-0.0010021+0.00046929i,0.000178-0.00012158i,5.572e-05-0.00027501i,-0.00010486+0.00017242i,0.00055111+0.00085227i,0.0004488+0.00046902i,-1.6624e-05+0.00062288i,-0.00019918+0.0010287i,-0.00077129+0.00063897i
-0.00019446-0.00091311i,0.0013554-0.0013333i,0.0012758-0.0021087i,7.9789e-05-0.0015006i,0.00015558-0.00011991i,0.0013162+0.00076229i,0.00081912-8.0006e-05i,-0.0004786-0.00063523i,-0.00094594+0.00031915i,-0.00081489+0.00087389i,-0.00039818+0.00056314i,-1.8404e-05+0.00051771i,0.00024407+0.00076725i,0.0004128-0.00011701i,0.00028485-0.00094323i,0.00010477-0.00093395i,-0.00021916-0.00048883i,-0.00022328-5.9192e-05i,0.0001841+0.00021464i,0.00040657+0.0011656i,0.00017555+0.00096443i,0.00043286+0.00020975i,0.00096777+0.00077393i
0.0012064+0.0011553i,0.0019941+0.00029734i,0.0018839-0.0011392i,0.00057255-0.0026883i,-0.00049563-0.0012134i,-0.00036526+0.0008681i,0.00030106+0.00066078i,0.00041667-8.6751e-05i,5.0634e-06+0.00030341i,-0.00044645+0.00039696i,-0.0001871+0.00036213i,-2.4479e-05+0.00093321i,0.00015012+0.0012314i,-0.0003006+0.0008087i,-0.0016532+0.00066907i,-0.0015711-0.00035863i,-0.00057795-0.0011328i,-0.00035325-0.00046793i,-0.00051765-0.00017673i,-0.001048-0.00057009i,-0.0012104-0.00061899i,-0.00068583-0.00017373i,-0.00042605-0.00078172i
0.0004456-0.0017981i,0.00041848-0.00096916i,4.8993e-05-0.00032913i,-0.00048003+7.5097e-05i,-0.00014158+0.0011447i,0.00077053+0.001163i,0.0012038+0.00022256i,0.0011943-0.00032626i,0.0006021-0.00051984i,0.00041067-0.00011019i,9.4473e-05+0.00055506i,-0.00048801+0.00037021i,-0.00059129+0.00022552i,-0.00095564-0.0002833i,-0.00045668-0.00094425i,0.00074187-0.00029037i,0.0003427+1.5976e-05i,-0.0003549-0.00032846i,-0.00011342-0.00035898i,5.4304e-06-9.5429e-05i,-0.00011699+2.4869e-05i,-0.00016059+0.00022382i,-0.00021506+0.00031201i
