-0.0030314+0.0018319i,-0.0027027+0.0014259i,-0.0032131+0.0010109i,-0.0014851+0.0010058i,0.00064785+0.00092261i,0.0015083+0.00025657i,0.00027897+0.00084911i,-0.00021045+0.0014092i,0.00070121+0.0010351i,0.0011044+0.000682i,0.00097114+0.00028999i,0.00080243-0.00057598i,9.7803e-05-0.0012745i,3.8696e-05-0.0010535i,0.00014178-0.00025036i,3.1967e-05+0.0006379i,-9.8161e-05+0.00071377i,-0.00011058+0.00068043i,-0.00010063+0.00072859i,0.00034757+0.00076184i,0.00057134+0.00037666i,0.00012432+6.2977e-05i,7.0955e-05+3.9041e-05i
-0.00022174-0.00055315i,-0.00069272-0.00031357i,-0.0015161-0.0014028i,-0.00020718-0.0013261i,0.00089917-0.00036557i,0.00031869-0.00048892i,-3.6033e-05-0.00065982i,-0.00017179-0.00010644i,-0.00024017-0.00064429i,3.8956e-05-0.00044622i,0.00040052-3.1233e-05i,0.00090403+9.8344e-05i,0.00085942-5.7676e-05i,-0.00022054-0.00022111i,-0.00071645-0.0003702i,-0.00024015-0.00057587i,0.00047767-0.0006315i,0.00056486-0.00029961i,-7.9136e-05-0.00027035i,0.00035136-0.00064675i,0.00076082-0.00024449i,0.00052137+0.00013405i,4.1908e-05+9.39e-05i
-0.00015289-0.0035203i,-0.0019626-0.0028285i,-0.0032601-0.0024244i,-0.0022688-0.00016598i,-0.0017196+0.001345i,-4.2283e-05+0.00068859i,0.0012394-7.5472e-05i,0.00091617-0.00027375i,0.000483-0.00052608i,0.00015648-0.0006091i,0.00039109+0.00014681i,0.00079919+0.00074293i,0.0004609+0.00087243i,0.00030807+0.00024133i,0.00069795-0.00025662i,0.00014869-0.00064074i,-0.00044143-0.00045293i,0.00012548+0.00080243i,0.0004077+0.0010999i,-0.00016487+0.00030074i,-0.00042671-0.00033089i,-0.0003288-0.00027172i,-0.00043597+8.5752e-05i
0.00060659+0.0006096i,-0.00093115+0.0014449i,-0.0019086+0.0016743i,-0.00060599+0.0010183i,0.0014295+0.00023178i,0.0020733+2.0824e-05i,0.0012709-0.00014596i,5.1524e-05+6.7448e-05i,-0.00058451+0.00098129i,-0.00081642+0.00049402i,-0.0011964+5.6665e-05i,-0.001152+0.00018344i,-0.0012023+5.6489e-05i,-0.00083906-0.00019029i,-0.00030874+7.5545e-05i,-0.00015275+0.00023701i,0.00013329-6.4037e-05i,0.000762-0.00010904i,0.0006484-6.356e-05i,0.00044615+3.8591e-05i,0.00060375-0.00021868i,0.0004018-0.00061371i,0.00015812-0.00087211i
0.001123+0.0019567i,0.0011977+0.00065553i,0.0012027-0.00043937i,0.0016691-0.00066219i,0.0019815-0.0011692i,0.001051-0.0015518i,-3.2187e-05-0.00082905i,-0.0002013-0.00040951i,-0.00018528-0.00023692i,-0.00010798-0.00040272i,0.00015748-0.0007369i,-8.5503e-05-0.00091151i,-0.0008192-0.00090591i,-0.0011199-0.00081453i,-0.00011482-0.00043502i,0.00096613+0.00011454i,0.0010164+0.00012698i,0.00070949-0.00038295i,0.0010281-0.00057815i,0.00051805-0.000269i,-0.00088179-6.5313e-07i,-0.00077109-0.00013366i,-5.4033e-05-0.00069083i
-0.0019829-0.0010898i,-0.0028899-0.00026931i,-0.0025497+0.00021828i,-0.0011863+0.0010268i,-0.00067861+0.0012664i,1.9064e-05+0.00034026i,0.00089513-0.00010401i,0.00029403-7.3199e-05i,0.00011693-0.00015326i,0.00016011-0.00038045i,-0.00027178-0.00072608i,-0.00083233-0.00086516i,-0.0007123-0.00039056i,0.00037294-6.876e-05i,0.0007813-0.00010489i,0.00061554+0.00066374i,0.00040066+0.0014843i,0.00033882+0.00077385i,0.00012513+0.00011815i,2.716e-05+0.00045075i,0.00047296+0.00032086i,0.00036483-0.00022285i,0.00032192+1.1341e-05i
0.001047+0.0016593i,0.0014142+0.00027116i,0.0019081-0.0011672i,0.0021314-0.00098539i,0.0015528-0.00058828i,0.00048334-0.00055228i,5.801e-05-0.00072006i,-7.8286e-05+0.00031925i,-0.00040177+0.0009695i,-8.8751e-06+0.00025543i,0.00044283+9.698e-06i,0.00062106+0.00062904i,-0.00029762+0.00080272i,-0.00093509+0.00060457i,-0.00067655+0.0008496i,-0.00058803+0.00028378i,5.408e-05-0.00020125i,-0.00028226+0.00034475i,-0.0010035+0.0005674i,-0.00039416-4.5477e-05i,-0.00023967+0.00053718i,-0.0002338+0.0004482i,0.00068242+0.00019121i
0.00063253+0.0012475i,0.00045383+0.0015871i,0.00021577+0.0019113i,0.00084982+0.0013487i,0.0020271+0.00052906i,0.0023101+0.0001027i,0.0016368-0.00013846i,0.00097079+6.9041e-06i,0.00070811-0.00020777i,0.00034556-0.00044857i,-0.00018281-0.00057853i,0.00031329-0.00080657i,0.0011363-0.00040434i,0.00051747-2.4002e-05i,-0.00055125-0.00036979i,-0.00080264-0.00027742i,-0.00016908-8.7629e-05i,0.00024572-0.00030412i,-5.7532e-05-0.0007363i,-0.00087642-0.00010686i,-0.0011589+0.0001216i,-0.00093799+0.00014919i,-0.00092013+0.0010287i
-0.00062043-0.00028908i,-0.0013318-0.00033121i,-0.0018616-0.00078165i,-0.0017126-0.0010864i,-0.0011262-0.00072308i,-0.00027281-0.00044098i,0.00066715-0.00037599i,0.00022333-0.00061834i,0.00040043-0.00064907i,0.0011646+0.00036279i,0.0001931+0.00067661i,-0.00082125-0.00021029i,-0.00074816+6.4005e-05i,-0.00015759+0.00023475i,0.00012912-9.6909e-05i,-5.3834e-06-0.00010438i,-0.00051666+0.00028929i,-0.0003572+0.00060421i,-0.00014495+1.5694e-05i,0.00019329-0.00022682i,0.00062618+6.479e-05i,0.00047008-0.00018419i,0.00058588-0.00021993i
-0.00062817-0.0010892i,-8.9091e-05-0.0013571i,-0.00034761-0.0013037i,-0.00066227-5.5842e-05i,-0.00011312+0.00139i,0.00047566+0.00091994i,-0.00020259+0.00026315i,-0.00061501+5.7218e-05i,2.1638e-05-0.00048387i,-0.00022021-0.0010652i,-0.00037747-0.00090118i,0.00021247-0.00033278i,0.00031365+0.00040693i,0.00011425-3.6603e-05i,0.00049196-0.00058833i,0.00052687-3.2292e-05i,0.00089607+0.00023819i,0.00092826+0.00025439i,0.00065399-0.00021856i,0.00035454-0.00055276i,0.00010364-0.0004812i,-0.00015141-0.0001355i,4.9315e-05-6.0126e-05i
0.0014323-0.00039992i,0.00087757-0.00029525i,-0.00017534-0.00032922i,-0.00042242-0.00039604i,-1.4135e-05-0.0012913i,0.00069609-0.0011928i,0.00031717-0.0002439i,-0.00044615+0.00017568i,0.00018425+0.00059841i,0.00060053+0.00043469i,-0.00027034+0.00012007i,-0.0004712+0.00011621i,-0.00034262-7.375e-05i,-0.00052564-0.00034925i,-2.2034e-05-0.00077596i,0.00050121-0.00070376i,0.00068527+0.00040289i,3.7833e-05+0.00056189i,-0.00027927-0.00038558i,0.00017622-0.00026074i,-0.00018306-0.00022069i,-0.0007833-0.0010469i,-0.0014111-0.0010959i
0.00123+0.00068518i,0.0013719+0.0014658i,0.0017033+0.00074749i,0.00083506+0.0009429i,0.00027715+0.00087954i,0.00075096-0.00013124i,0.00024012-0.0010379i,-0.00027139-0.00057399i,0.00013928+0.00023004i,0.00030484+8.7721e-06i,5.5239e-05+0.00010361i,5.9504e-05+0.00042415i,-0.00015822+6.4895e-07i,-0.0002807-0.00066175i,-0.00029353-0.00034885i,-6.6623e-05-0.00011833i,3.4014e-05-0.00019546i,-0.00022077+0.00042824i,-7.097e-05+0.00053703i,9.726e-06+0.00040903i,-0.00051537+0.00088233i,-0.00057052+0.00048641i,0.0007616-0.0006711i
-0.0035427+7.8918e-05i,-0.0036549-0.0008304i,-0.0040924-0.0010372i,-0.0017314+0.00019321i,0.00092696+0.0010156i,0.0013769+0.00059159i,0.00052301-0.00012978i,-0.00026351-0.00033337i,-0.00022429+0.00067555i,0.00047865+0.0010666i,0.00061085+0.00087682i,0.00017968+0.000596i,-0.00032172+0.00063244i,-0.00029471+0.00025781i,0.00017774-0.00020476i,-0.00011194-0.00056041i,-0.00032682-0.00063838i,0.00027959-0.000275i,0.00014702-0.00013879i,0.00011272+0.00017813i,0.00076269+0.00013397i,0.00068488-0.00085221i,-1.4112e-05-0.00058566i
-0.00028932-0.0026224i,-0.00045259-0.0026925i,-0.00047189-0.0017271i,-0.00088063-0.00056123i,-0.00036409+0.00042036i,0.00086192+3.0413e-05i,0.0009249-0.00071337i,0.00015532+0.00039864i,0.00028661+0.00084609i,0.00072244-1.8588e-05i,0.0004068+0.00032035i,0.00016846+0.00056838i,0.0006315-0.00012983i,0.00048861+0.00032919i,6.5831e-05+0.00071189i,-0.00010279-0.00013072i,-0.00030139-0.00047234i,-0.00043361-1.6295e-05i,-6.1388e-05+0.00059126i,0.00024605+0.00058998i,0.00070716-0.00079935i,0.0011679-0.0010686i,0.00072996-0.00072398i
0.00081722-0.00016133i,5.6642e-05+0.00014873i,-0.00092555+0.0015657i,-0.00094921+0.0016401i,-3.2702e-05+0.000458i,0.00034233-6.6588e-05i,0.00019628+0.00010541i,-0.00013188+0.00017936i,-0.00019978+0.00071775i,-0.00023828+0.00030466i,-0.00066179-0.00057751i,-0.00024145-0.0001742i,0.00010332+0.00093848i,-2.5303e-05+0.0013143i,0.00060649+0.00040418i,0.00095894-5.581e-05i,0.00053029+0.00029328i,-1.0586e-05+0.00068725i,0.00018538+0.00073321i,-0.0001727+0.00059125i,-0.00011691+0.0003131i,0.00070732-0.00044257i,0.00071154-0.00091009i
0.0004315+0.0026256i,0.00023271+0.0012424i,-0.0001432+0.00065813i,2.0978e-05+9.8532e-05i,0.0011984-0.00053049i,0.0019081-0.00071942i,0.0011809-6.045e-05i,0.00046825+0.00029645i,0.00012109+0.00017675i,-7.8959e-05+0.00051535i,0.00043091-4.9693e-05i,0.00069965-0.00040223i,-0.00016123-0.00023098i,-0.00079057-0.00051356i,-0.00029766-0.00026025i,4.0375e-06+0.00082754i,-4.326e-05+0.0010562i,-2.5498e-05+5.9561e-05i,0.00043006-0.00051351i,0.00042381-0.00036472i,-0.00040475-0.00053315i,-0.0005277+0.00021481i,-0.00067493+0.0004331i
-0.0020833+0.0011027i,-0.002666+0.0011766i,-0.0016622+0.00090975i,-0.00053108+0.0018658i,0.00041328+0.001056i,0.0013566-0.00048217i,0.00089908-0.00069428i,0.00028438-0.00034985i,-0.0004132-0.00028701i,-0.00084411-0.00030184i,-4.9244e-05+8.7687e-05i,-6.2745e-05-0.00012135i,-0.00026514-0.0001179i,0.00043102+0.00019267i,0.00024176+0.00053894i,-0.00084003+0.00013996i,-0.0010404-0.00018467i,0.00016762-6.4296e-06i,0.00062854-0.00081837i,-0.00018288-0.0012285i,-0.00014771-0.00048956i,2.0969e-05-0.00078322i,-0.00084525-0.0012206i
0.00022207-0.0043709i,-0.00021477-0.005092i,-0.0019591-0.0028696i,-0.0026336-2.6489e-05i,-0.001861+0.0013567i,-0.0007698+0.00037622i,-0.00037333-0.0011429i,-0.00034589-0.0010472i,-9.4823e-05+0.00069534i,-0.00011897+0.0012925i,-0.0010374+0.00035925i,-0.0015449+0.00051119i,-0.00095049+0.0010906i,-0.00031991+0.00096258i,0.00043873-3.081e-05i,0.00030935-0.00021123i,-0.00018993-0.00018693i,-0.00038885+5.3322e-05i,-0.00012766-0.00018822i,0.00010872-0.0005389i,0.0001509+0.00042026i,-1.8498e-05+0.00038679i,-0.00018924-0.00047866i
0.00043553-0.0016383i,-0.00071536-0.00040739i,-0.0011656+0.00029239i,-0.0014313+0.00034553i,-0.00043063+0.00043408i,0.001223+0.00050707i,0.0015287+0.00060547i,0.00092097+0.00077117i,0.00024585+0.00109i,-0.0004703+0.00082548i,-0.0008116+0.00055715i,-0.00086372+0.00037209i,-0.00032079-0.00043958i,0.00058105-0.00048537i,0.00041734+7.3043e-05i,-5.575e-06+6.6953e-05i,3.0781e-05-0.00082288i,-0.00053549-0.0013244i,-0.00090821-0.00080368i,-0.00071533-0.0010317i,-0.00012015-0.0012946i,0.00017963-0.00089536i,9.0149e-05-0.00072743i
-0.0012501+0.0018564i,-7.2606e-05+0.0013017i,-5.3275e-05+0.0018092i,0.00035892+0.001676i,0.0015523+0.00077066i,0.00086535+0.0003203i,-0.0005945-9.1754e-05i,-0.00078159+0.00030514i,-2.709e-05+0.00074898i,0.00059614+0.0002576i,0.00026038+0.00050871i,0.00012539+0.00056261i,-0.00018604+0.00030777i,-0.00087441+0.00028363i,-0.00064124+0.00055217i,-0.00060229+0.0011785i,-0.00031983+0.0013541i,-0.00010509+0.00080149i,-0.00036954+0.0004066i,-0.0002863+0.000454i,0.00017377+0.00045052i,0.00036345+0.00036527i,-1.5353e-05-0.00056707i
-5.5388e-05+0.00058385i,0.00030589-0.00022315i,0.00073503-0.0010041i,0.00019698-0.0017347i,-0.00020691-0.0015851i,0.00044805-0.00056147i,0.0010383+8.488e-05i,3.3557e-05+0.00064978i,-0.00059077+0.00042369i,-0.00072679+0.00016479i,-0.00063745+0.00058345i,-0.00033654+0.00053594i,-0.00066327+0.000487i,-0.000423+0.00064039i,-0.00032974+0.00083633i,-0.0004557+0.00029465i,-1.919e-05-0.00020008i,0.0003263-0.00012318i,0.00051905-0.0003172i,0.0010446+0.00019233i,0.00092606+0.00066774i,0.00096977+0.00022021i,0.0007833+0.00017898i
-0.0020532-0.0010412i,-0.0019772-0.00018729i,-0.0027872+0.0013773i,-0.0013487+0.0019677i,0.00054964+0.0011189i,0.0001754-0.00031569i,-0.00073811-0.00081918i,-0.00035154-0.00063399i,0.00039397-0.00076289i,0.00090152-0.00090085i,0.00076562-0.00029428i,0.00019958+0.00014442i,-3.4356e-05+0.00034945i,-0.00031799+0.00066256i,0.00023735+0.00024718i,0.00051437-1.4053e-05i,-0.0001963-0.00011875i,-0.00066999-0.0006593i,-0.00079702-0.00040339i,-0.0012873+0.0002654i,-0.0012067+0.00035717i,-0.00054231+0.00040209i,-0.00010901+6.9268e-05i
-0.0015235-0.0003793i,-0.0015346+0.00024045i,-0.0013175+0.0010023i,-0.00011395+0.0016177i,0.001461+0.0018945i,0.0023826+0.00071541i,0.0020064+8.9039e-05i,0.0010145+0.00037855i,0.00063773+0.00048432i,4.9091e-05+0.00048501i,-0.00052706+0.00022559i,-0.0006002-0.00012345i,-0.00031626-0.00012759i,-0.00017751-0.000425i,-0.0003333-0.00092454i,-0.00034645-0.00069002i,-0.00011337+0.00062153i,8.3618e-05+0.0011003i,3.9811e-05+4.6903e-05i,6.3188e-05-0.00016142i,0.00038455-0.00020477i,0.00044817-0.00037165i,0.00032736-7.1512e-05i
-0.00056888-0.00041405i,-0.0025055+0.0010131i,-0.0032701+0.0014765i,-0.0014406+0.0020155i,0.0013654+0.0016251i,0.002355+0.0004625i,0.0011312-0.0004377i,0.00055816-0.00048486i,0.0010554+4.9302e-05i,0.0015996+0.00013289i,0.0013312-0.00027177i,0.00083591-0.00076982i,0.00055236-0.00057042i,0.00047083-0.00049134i,0.00050785-0.0007575i,0.00037533-0.00027216i,-0.00014725+0.00059828i,-0.00047139+0.00075106i,-0.00077259+9.4523e-05i,-0.00064254-0.00017607i,0.00038451-0.00021503i,0.00053122-0.00059842i,7.4326e-05-0.00058821i
-0.0015326+0.00081236i,-0.00092016+0.00079714i,0.00043175+0.00068727i,0.00054978-0.00020701i,0.00096684-0.00079493i,0.001511-0.0016724i,0.0008032-0.0018126i,-0.00050839-0.0011994i,-0.0010023-0.00023394i,-0.0010358+0.00097059i,-0.00071029+0.00068968i,-4.7768e-05-0.00018027i,0.00011617-0.00035716i,-0.00032117-0.00023171i,-0.00033753+6.8794e-05i,0.00030449+0.0004027i,0.0005983+0.0003963i,0.00048178+0.00056816i,-0.00013814+0.00051088i,-9.5423e-05+0.00018927i,0.00053198-0.00042429i,0.00025809-0.00067712i,-3.2854e-05+0.00022938i
-4.2424e-05+0.0013771i,-0.00032781+0.0011371i,-0.00061902+0.0023501i,-0.00025855+0.0026699i,-0.00014326+0.0011643i,-0.00010164-0.00051212i,0.00029984-0.0018958i,-0.00025558-0.00094971i,-0.00051939+0.00014001i,1.8898e-05-0.000154i,0.00020221-0.00014282i,-9.6554e-05+6.5066e-05i,-0.00011032-0.00040166i,0.00013934-0.00038186i,5.4511e-05+0.00029036i,-0.00011468+0.00018978i,0.00034079-0.00016255i,0.00050034-0.00018264i,9.3651e-05+0.000499i,-4.8002e-05+0.00054782i,0.00017738-0.00045163i,0.00040142-0.0011791i,-0.00039109-0.0013049i
-0.0028258-0.0033427i,-0.002552-0.0024611i,-0.0031115+3.3274e-05i,-0.0025584+0.0022054i,-0.00090745+0.0022801i,0.0007348+0.00067511i,0.0013833-0.00045817i,0.0010237-0.00030371i,0.00011976-6.9775e-05i,-0.00061849+0.00068422i,-0.00050186+0.0011435i,0.00041+0.00089744i,0.00060458+0.00063808i,0.00030857-0.00017161i,0.00021975-0.00023767i,-0.00016259+0.00020945i,-0.00017488+1.1205e-05i,-0.00033989-0.00032544i,0.0001884-7.1621e-05i,0.00024236+0.00010173i,-0.00054476-0.00054356i,-0.00065778-0.00095906i,-0.0009081-0.00071913i
0.0019034+0.00066368i,0.0016004-3.9665e-05i,0.0011029+0.00010267i,0.0013718-7.7131e-05i,0.0016736-0.0009871i,0.0010067-0.0014433i,0.00086112-0.00088454i,0.0002361+2.3237e-05i,-7.3565e-05+0.0003836i,3.2545e-05+2.9006e-06i,0.00017434-3.7259e-05i,-4.1658e-05+0.00066149i,-0.00083393+0.00072599i,-0.00074512+0.00025792i,0.00035683+0.00055973i,0.00095158+0.00056675i,0.00065036+4.2613e-05i,6.6027e-05-0.00058385i,-0.00080166-0.00066506i,-0.0010931-3.7022e-05i,-0.00019198+0.00027817i,0.00039775+0.00067882i,0.00020246+0.00048179i
-0.0013207+0.00148i,-0.0018533+0.0017945i,-0.0016862+0.00093908i,-0.00071387+6.7909e-05i,0.00023236+8.9874e-05i,0.00022074-0.00043301i,0.00030828-0.00055599i,5.2357e-05-0.00023623i,-0.00061869-0.00024172i,-0.001073-5.0195e-05i,-0.00084187-2.0853e-05i,-0.00067597-0.00016817i,-0.0010336-0.00049527i,-0.0005383-0.00025407i,0.0001661+0.00041185i,0.00095232-8.8551e-05i,0.0014397-0.00065679i,0.00050975-0.00058071i,-0.00026163-0.00029437i,-2.3948e-05-0.00016154i,0.00058999+0.00017818i,-7.1573e-05+0.00044397i,-9.4384e-05-2.8404e-05i
0.00039309-0.00072969i,-0.0002058-0.00099993i,0.00046604-0.0012339i,0.00075202-0.0012049i,0.00046315-0.00077396i,0.0010779-0.00061311i,0.0012153-0.00036016i,0.0001812+9.6399e-05i,0.00026109-0.00015057i,0.00080621-0.00048197i,0.00042975-0.00019417i,-0.0003223-4.8479e-05i,-4.8205e-05+0.00018076i,0.00045894+0.00039666i,0.00028041+0.00052046i,0.00016411+0.00039038i,-7.8931e-05+0.00043749i,-0.00014364+0.00037379i,-0.00020886-4.4252e-05i,-0.00073945-0.00031181i,-0.00070665+0.00025081i,-0.00062536+0.00026193i,-0.00062784+0.0002827i
0.00071024+0.0017919i,0.00044191+0.0014624i,0.00028154+0.00076948i,0.00087883+0.00025313i,0.00086475-0.0001159i,0.00019702-0.00085851i,-0.00066653-0.0011041i,-0.00076438-0.00058475i,6.0826e-05-0.00011772i,0.0009019-9.4697e-05i,0.0005295+0.00039137i,0.0003468+0.00014753i,-0.0001338-0.00058231i,-0.00067164-0.00028924i,-0.00047689+3.3314e-05i,-0.00024662-2.9531e-05i,-0.000256-0.00030543i,0.00025895-0.00067638i,0.0007706-0.00057603i,0.00011803-0.0004315i,-0.00028664+8.9242e-05i,-7.2011e-05+0.00038957i,-8.6635e-05-0.0002314i
0.0014235-0.0028581i,0.00041527-0.0019791i,-0.00030773-0.0017128i,-0.00099196-0.0004533i,-0.00065856+0.00095394i,9.2389e-06+0.0010041i,6.6906e-06-1.1978e-05i,0.00030378-0.0004496i,0.00061642-4.3828e-05i,-0.00011929+0.00024038i,-0.00014001+0.00050791i,9.1956e-05+0.00047106i,7.7182e-05-0.00049651i,0.00048272-0.00020738i,0.00087519+0.00092121i,0.00059422+0.00042821i,6.3292e-05-0.00014595i,-0.000122+0.00041652i,-0.00016794+0.00070988i,-0.0007652+0.00060145i,-0.0018018+0.00012608i,-0.0016408-1.907e-05i,-0.0012199+0.00037161i
