-0.00074699+0.00023502i,-0.00085014+0.00079529i,-0.0010104+0.00071246i,-0.00081511+0.00036332i,-0.001104+0.00089894i,-0.00041779+0.00069927i,-0.00010365+0.00087319i,0.00023942+0.0014917i,0.0011289+0.0019347i,0.00092621+0.0006927i,0.00024922-0.00077665i,-0.00027746-0.0011986i,-0.00038719-0.00090316i,4.5967e-05-0.00045053i,0.0010093+0.00012563i,0.00062983+0.00069046i,-0.00046005+4.3735e-05i,-0.00071995-0.0007663i,0.0001015-0.0010736i,0.00086928-0.0008859i,0.0006721+4.3563e-05i,0.00060219+0.00026671i,0.00099014-4.7207e-06i
-0.0085038-0.00075795i,-0.0091446+0.0018702i,-0.0094168+0.0063335i,-0.0056006+0.007093i,0.00017698+0.0057802i,0.004631+0.0029637i,0.0035167-0.00054238i,0.0010633-0.002234i,-0.00033807-0.0015544i,-0.00062054+0.00070415i,0.00081987+0.0011303i,0.0011495+0.00027435i,0.0020781-0.0011617i,0.0037304-0.0027324i,0.0042184-0.0026775i,0.0027324-0.00063244i,0.00034352+0.00046995i,-0.00057333+2.7042e-05i,-0.00033653-0.00093835i,-0.00062369-0.0014433i,-0.00085773-0.0011186i,-0.00070515+0.000341i,-0.00051223+0.0014396i
-0.0029866-0.00098615i,-0.0034398-0.0010553i,-0.0019767+0.00070885i,0.00081922+0.0017706i,0.0010277+0.00077819i,-0.0007119-0.0011418i,-0.0014254-0.0017299i,-0.00031877-0.0011685i,0.00031007-3.4268e-05i,-3.0826e-05+0.00048974i,0.00086616+0.00011818i,0.0015499+0.00062055i,0.00085271+0.00050784i,0.00025685-0.00038086i,-0.00026867-0.00091178i,-0.0012658-0.00053867i,-0.0019398-0.00079453i,-0.0012297-0.00052742i,-0.00025815-0.00019726i,0.00015454+0.00027211i,0.00039393+0.0013996i,0.00068763+0.0010858i,0.00033733+9.7581e-05i
0.00067589+0.0010724i,0.00090583+0.0015755i,-0.00085293+0.0011937i,-0.0014402+0.0017038i,-0.00050855+0.0018578i,0.00010897+0.00055006i,-0.00082149-0.00032535i,-0.0024465-0.00085349i,-0.0022332-0.00072517i,-0.0010097+0.00031323i,-0.00024287+9.131e-05i,0.00041111-0.0006432i,0.00066344-0.00010168i,0.0010662+0.00045657i,0.00080118+0.00020154i,0.00017069+0.00021778i,-0.00020133+0.0005884i,-0.00071761+0.00090706i,-0.00017291+0.00052385i,3.7098e-07+0.00010799i,-0.0003763+0.00014669i,-0.00062455+3.7989e-05i,-0.0013319+0.00010307i
-0.00035862-0.0017386i,-0.0014084-0.0015209i,-0.0027983-0.0017553i,-0.0015769-0.0016199i,-0.00042383-0.000365i,-0.00064663-0.00012171i,-0.0003191-0.00047836i,-0.00011696-0.00031897i,-0.00079173+0.00038814i,-0.0010138+0.00048153i,-0.0014811-0.00020912i,-0.0015921-0.00013126i,-0.00060571+0.00014869i,0.00066245+0.00043168i,0.0011266+0.00079229i,0.0012264+0.00029207i,0.0011047+0.0005479i,0.00065905+0.0011278i,0.00019048+0.00081054i,-0.00010906+0.00043979i,7.5478e-05+0.00061432i,0.00035418-6.9569e-05i,0.00026012-0.00075716i
-0.0018031-0.00057332i,-0.0010163-0.00035922i,-0.001366+0.00023945i,-0.0020127+0.0010604i,-0.0016007+0.0013794i,-0.0006693+0.0014652i,8.3414e-05+0.00021976i,0.00026433-0.0012267i,0.00062061-0.00093818i,0.00071453-0.00032062i,0.00066249-2.7851e-05i,0.00065665-0.00014554i,0.00095288-0.00072782i,0.0011279-0.0013566i,0.0014035-0.0013028i,0.0012175-0.00023701i,0.00023998+0.00096962i,-4.0699e-06+0.0015564i,-0.00040492+0.00046575i,-0.00038579-0.00093185i,-0.00037593-0.0011957i,-4.5946e-05-0.00073993i,0.00032497-0.00045548i
-0.0020221-0.00035099i,-0.0026105+0.00014409i,-0.0023245+0.00081881i,-0.0021599+0.0014365i,-0.0012779+0.0007003i,-0.0003343-0.00070879i,-0.00035468-0.001022i,-0.0012001-0.00073619i,-0.001876-0.00035778i,-0.0014805+0.00042499i,-0.00078784+5.6461e-05i,-0.00030698-0.00010038i,0.00035224+0.00016202i,0.00068375-0.00048608i,-0.00017885-0.00045351i,-0.0010444-0.0001834i,-0.00083274-0.00049376i,-0.00036769-0.00034978i,-0.00026226+0.00021126i,-0.00035342-5.5745e-05i,-0.00076842-0.00070736i,-0.00093738-0.00058235i,-0.00037089-0.00044669i
-0.001098+3.2845e-05i,-0.00076612-0.00076153i,-0.000765-0.0005747i,-0.00080186+0.00038475i,-0.0010418+0.0011916i,-0.0011863+0.0010918i,-0.00073252-6.2285e-05i,-0.0002161-0.00073286i,-0.00035925-0.00028253i,-0.00095948-0.00022337i,-0.00059412-0.000642i,-0.00077499-0.00095546i,-0.0017466-0.00092434i,-0.0017209-0.00040187i,-0.00081898+0.00018513i,-0.00072987+0.00039456i,-0.0011861-0.00068877i,-0.001307-0.00094333i,-0.0014718-0.00073869i,-0.00089389-0.0012651i,-0.0003027-0.0013191i,-0.00014094-0.0011631i,-0.00045629-0.00093863i
-0.0010595-0.00056817i,-0.0022054+0.00078467i,-0.002723+0.0019044i,-0.0018175+0.0018811i,-0.0010192+0.001296i,-0.00042065+0.00083941i,0.00045343-6.3282e-05i,0.00048103-0.00083083i,0.00012988-0.00033289i,-0.00026104+0.00062258i,-0.00049868+0.0013771i,3.423e-06+0.0011356i,0.00088506+0.00076595i,0.0011323+0.00071434i,0.00015018+0.00036372i,-0.00056606-0.00019023i,-0.00073457+1.9911e-05i,-0.00021189+0.00058654i,0.00038283+4.0602e-05i,1.9448e-05-0.00011218i,-0.00049068+0.00017956i,0.00013688+0.00022817i,0.001028-0.00011012i
0.00017993+3.1062e-05i,0.00010046-0.0013535i,-0.00077167-0.0021916i,-0.00095376-0.0022833i,-0.0011881-0.0017575i,-0.0012872-0.00076667i,-0.00074369-0.00037866i,-0.00013123-0.00071746i,0.00054543-0.00076449i,0.00059137-0.00069634i,0.00030355-0.00095534i,0.00023966-0.0012372i,0.0003216-0.00086891i,0.00099906-0.00070719i,0.0011991-0.00032048i,0.0017042+0.00038596i,0.0019764+0.00037911i,0.0016019-0.00025031i,0.0010644-0.00030413i,0.00062159-0.00037268i,0.00017211+5.651e-06i,-0.00017359+0.00054446i,-0.00062872+0.00011496i
-0.00050707+0.0017364i,-0.00090844+0.0027484i,-0.0010244+0.0023916i,-0.0010833+0.0022018i,-0.0011157+0.0023404i,-0.00042633+0.0010546i,-0.0006727-0.0004312i,-0.0012554-0.00092969i,-0.00075972-0.00092783i,0.00025089-0.00026143i,-1.0099e-05+5.8152e-05i,-0.0011717-0.00021491i,-0.0011205-0.00054194i,-0.00085186-0.00055101i,-0.00087269-0.00058381i,-7.3124e-05-0.0009423i,0.00056382-0.00084361i,0.00020118-0.00060337i,-0.00029123-0.0007829i,-5.0654e-06-0.00055395i,0.00045084-0.00037598i,0.00014359-0.00057636i,1.5179e-06-0.0010056i
-0.00026582-3.0405e-05i,-0.00055164-0.00051588i,-0.0011722-0.0011121i,-0.00063952-0.0013548i,-0.00020154-0.0010738i,-0.00076823-4.4023e-05i,-0.0012144+0.00081127i,-0.00084833+0.0002356i,-0.00092071-0.00086575i,-0.00067876-0.00098621i,-0.00030997-0.00025095i,-0.00095405+0.00047244i,-0.0008846+0.00034225i,-0.00055457+7.3643e-05i,-0.00095351-0.00019645i,-0.00080615-0.00013862i,-0.00040074-0.0002957i,-5.0339e-05-0.0010782i,0.00012449-0.00066477i,0.00023598+0.00040831i,0.0001691+0.000575i,5.8892e-05+0.00010527i,0.0001953-0.0002448i
0.0003833+0.00071323i,0.00044568+0.0015671i,0.00062583+0.0010967i,4.7775e-05+0.00053213i,-0.0013187+0.00088547i,-0.0019718+0.0012797i,-0.00090104+0.00090856i,0.00065506+0.00047559i,0.00044967-3.0488e-05i,-0.00072258-0.00091125i,-0.00054767-0.0011425i,0.00015559-0.00015242i,2.5845e-05+0.0012168i,0.00020319+0.0019981i,5.3533e-05+0.0016079i,-0.00049559+0.00062686i,-0.00052371+0.00045979i,-5.2318e-05+0.00097345i,-2.1569e-05+0.00069324i,-6.1859e-05+0.00011679i,0.00053853+0.00016157i,0.00013944+0.00050348i,-0.0003394+0.00027629i
0.00099101+0.00084957i,0.00078624+1.0653e-05i,0.00024299-0.00076314i,-0.00034802-0.00071221i,-0.00039811-0.0010534i,0.00029619-0.001158i,0.00024194-0.00070684i,0.00037238-0.000455i,0.00058812-0.00016521i,-0.00041491-0.00010348i,-0.00088319-0.00026717i,-0.0010519+0.00021418i,-0.0013817+0.0010565i,-0.001763+0.00097754i,-0.0016618+0.00048578i,-0.0010688+0.00080634i,-0.00025275+0.00084949i,0.00069869+0.00034489i,0.00084938+0.00022242i,0.00074387+0.00016845i,-6.4676e-05+0.00056186i,-0.00090497+0.00064911i,-0.00039406-0.00014247i
-0.00013711+0.0015125i,-0.001053+0.002434i,-0.0018712+0.0017185i,-0.0027082+0.00080064i,-0.0037749+0.001414i,-0.0035644+0.0015548i,-0.0017731+0.0010447i,-0.00051017+0.00021047i,-0.00032954-0.00023491i,-0.0003765-0.00023756i,0.0002714-0.0012795i,0.00038618-0.0016921i,0.00024867-0.0010493i,0.00055566-0.00014548i,0.00033612+0.00025776i,-0.00037208+0.00037357i,-0.0011818+0.00057295i,-0.0015859-9.9017e-05i,-0.0010999-0.00086777i,-0.0001279-0.0014314i,0.00012575-0.0010194i,-0.00068565-0.00047197i,-0.00047892-0.00038398i
-0.0013562+0.00072411i,-0.0017999+0.0013069i,-0.00057349+0.0018495i,0.00094643+0.0025135i,0.0010508+0.0026206i,0.00085625+0.0014283i,6.7406e-05-0.00061356i,-0.000766-0.0020805i,-0.00061134-0.0024747i,2.7727e-05-0.0020886i,0.0004971-0.0010825i,0.000474-0.0007003i,-0.00039567-0.00091781i,-0.00039617-0.00086718i,-0.00012113-0.00048568i,-7.8878e-05-0.00014438i,-0.00039327-5.0224e-05i,-0.00080448-6.9953e-06i,-0.00063317+0.00013893i,0.00012153+9.2155e-05i,-0.0003274+0.00035599i,-0.00077195+2.2888e-05i,1.9681e-05-0.000222i
-0.00035059+0.0012415i,-0.0015694+0.0011428i,-0.0018424+0.00068533i,-0.0020482-0.00078179i,-0.0014165-0.0019424i,-0.001405-0.0012985i,-0.0016386-0.00069113i,-0.00078544-0.00023593i,-0.00036086-0.00034298i,-0.00045135-0.00082486i,-0.00050657-0.00081552i,-0.00069362-1.8236e-05i,-0.00076492-0.0003308i,-0.00027731-0.0011559i,-0.00017237-0.0013587i,-0.00018869-0.0014132i,4.1883e-06-0.00076833i,0.0011431-3.0251e-05i,0.0021243+8.0352e-05i,0.0017029+1.6365e-06i,0.00091695+0.00015386i,0.00019175-0.00025735i,-0.00023511-0.00081074i
-0.00022346-0.00138i,-0.00034833-0.0007933i,-0.00078897-0.000152i,-0.0020406+0.00085829i,-0.0024263+0.0029288i,-0.0010288+0.0036023i,1.7922e-05+0.0014126i,-0.00043987-0.00035866i,-0.00077052-0.00038535i,-0.0010379-0.00045889i,-0.001369-0.00078688i,-0.00036122-0.00022727i,0.00084109+0.00043509i,0.00043663+0.00072152i,-0.00055512+0.001052i,-0.00069511+0.00064975i,1.6348e-05+0.00032028i,0.00031272+0.00079459i,0.00035182+0.00051157i,0.00098126-0.00033906i,0.0013705-0.00049683i,0.0005747-0.00019396i,-0.00030709-0.00041797i
-0.0018198-0.0018032i,-0.0021619-0.0012404i,-0.0014981+0.00012922i,-0.00041112+0.0014036i,0.00024453+0.0014039i,0.00070722+1.6465e-05i,0.00030896-0.00090229i,2.1162e-05-0.00098743i,-1.7653e-05-0.0011444i,0.00012652-0.00094794i,0.00020331-0.00053727i,-0.00020368-0.00044243i,-0.00016543+5.0164e-06i,0.00019966+0.0003837i,6.0953e-05+0.00051449i,0.00038162+0.00076124i,0.00097113+0.00064824i,0.001142+0.00037764i,0.00066475+0.00031077i,0.0002441+7.2131e-05i,9.7751e-05-0.00047428i,-0.00013948-0.00077538i,-0.00030675-0.0011798i
0.00084432-0.0030827i,-0.0014443-0.0029553i,-0.0027783-0.0022245i,-0.0031637-0.00093298i,-0.0023041-0.00024208i,-0.00092486-3.5233e-05i,-0.00038397+0.00054658i,-0.00021737+0.00022364i,-0.00037133-0.00042131i,-0.00050735-0.00072337i,-9.925e-05-0.00095429i,-0.00011782-0.00056099i,-0.00032838+3.4324e-05i,0.0002272+0.00090755i,0.00079866+0.0010829i,0.00069901+0.00098289i,-0.00010489+0.00091253i,-0.00062357+0.00074071i,-0.00067909+0.00025651i,-8.3319e-05+0.00029799i,3.6736e-05+0.00034172i,-9.3171e-05+5.4007e-05i,-4.1891e-05+0.00034783i
0.0013914+0.00027905i,0.00052439+0.0002763i,0.00017307+0.00031513i,-2.9887e-05+0.00075366i,-0.00021682+0.0010972i,0.00037074+0.0013717i,0.00078385+0.0014624i,0.00028031+0.00061342i,-0.00029798-0.00022882i,-0.00052008+0.00010346i,-0.00080258+8.7746e-05i,-0.000269-0.00027148i,0.00039903-0.00017434i,0.00045178-0.00046452i,3.0002e-05-0.00071056i,-0.00016222-0.000753i,0.00022635-0.0011753i,-0.00031389-0.00076255i,-0.00061725-0.000159i,-6.2968e-05-0.00039572i,0.00019225-0.00063189i,4.3448e-05-0.00060165i,0.0004133-0.00015617i
0.00096001-0.00082541i,-0.00061307-4.3288e-05i,-0.0021088-3.2998e-05i,-0.0022525-0.00089473i,-0.0025629-0.00050678i,-0.0019096+0.00076486i,-0.00094518+0.0008964i,-0.00088655+0.0002618i,-0.0012519-0.00054005i,-0.0014631-0.00040519i,-0.00094375+0.00059586i,-0.00058707+0.00043779i,-0.00060138-0.00011296i,-0.0013276+0.00030936i,-0.0017274+0.00040829i,-0.0012254-8.512e-06i,-0.0003491-0.00074043i,3.2469e-05-0.00059131i,-2.3656e-05+0.00042132i,0.00094417+0.00035541i,0.0016112+0.00059655i,0.0011112+0.00080101i,-0.00013383-0.00043568i
0.00015824-0.00028667i,0.00049582-0.00039217i,0.00044189+0.00010437i,0.00012681+0.00084127i,-0.00012894+0.00051381i,0.00015897-4.4162e-05i,0.00036006+0.00042576i,0.00071774-0.00025833i,0.00082545-0.00074624i,0.00017125-0.00026881i,-0.0001872-0.0004824i,-9.4753e-05-0.00012839i,-0.0003633+0.00048726i,-0.00035883+0.00082577i,-0.00099583+0.00058403i,-0.0013834-0.00028898i,-0.00061312-0.00070825i,0.00016394-0.00030105i,0.00054696+9.7411e-05i,0.00052031+0.00039879i,0.00032474+0.0010921i,-0.00020097+0.0014907i,-0.00083873+0.00074174i
-0.0016537+0.00060876i,-0.001973+0.00060496i,-0.0015365+0.00098297i,-0.00055791+0.00098477i,0.00034331+0.00059159i,-0.00037299+0.00016206i,-0.00032079-0.0001535i,0.00056003-0.0010533i,0.00097631-0.0013308i,0.00064551-0.00054412i,0.00052614-6.3496e-05i,0.00013547+6.9214e-05i,0.00027873-0.00049101i,0.00063127-0.001074i,0.00056717-0.0012975i,-0.0003908-0.00047067i,-0.0012333+0.00010593i,-0.0003318+0.00015316i,0.00056021+0.00035278i,0.00067623-0.00011114i,0.00046652-0.00015865i,0.00033472-0.00028141i,0.00049171+9.9978e-05i
-0.00063778-0.0024917i,-0.0016035-0.0025033i,-0.0021088-0.0014094i,-0.0019097+4.8712e-05i,-0.0014664+0.00077691i,-0.00051731+0.00056425i,0.00057449-0.00015022i,-0.00015932-0.0010158i,-0.0010899-0.0012139i,-0.00087415-0.0006077i,-0.00039199-0.00048732i,-0.00044129-0.0007376i,-0.00048971-0.00061307i,-8.1494e-05-0.00022415i,0.0003459-0.0004697i,-8.6398e-05-0.00092712i,-9.2298e-05-0.00075073i,0.00047812-0.00012976i,0.0003386+7.6674e-05i,-0.00026236+0.00065777i,-0.00062863+0.00078973i,-0.00043173+0.00031876i,-0.0007351-2.685e-05i
-0.0012586+0.00041039i,-0.00049855-0.00063668i,-0.00049643+0.00018907i,-0.001+0.0007694i,-0.00039582-0.00027028i,-0.0002363-0.0011202i,-0.00038411-0.0010774i,-0.00016817-0.0009018i,-0.00029068-0.00056704i,-0.00033601-0.00042377i,-0.00038673-0.0010113i,8.0574e-05-0.0013032i,0.00075604-0.00074005i,0.00051715-0.00039538i,-4.8484e-05-0.00077267i,0.00019191-0.0010821i,7.4888e-05-0.00053559i,-0.00071274+9.4657e-05i,-0.00051841+0.00012024i,0.00047058+7.0676e-05i,-5.0378e-05+0.00047442i,-0.0007249+0.0012359i,-0.000271+0.00071966i
0.00049614+0.00070277i,0.00013489+0.0019345i,-0.001008+0.0020372i,-0.0021152+0.0021949i,-0.0015567+0.0024588i,0.00029354+0.0026275i,0.00071574+0.0016991i,1.7065e-05-4.8674e-05i,-0.00017971-0.00097269i,-8.4393e-05-0.00035309i,-0.00033237+0.00034649i,-0.00033573+0.00079155i,-9.4424e-05+0.0010625i,-0.00035605+0.0012461i,-0.00031609+0.0015104i,-5.8887e-05+0.00095338i,-0.00039865+0.00058359i,-0.00059601+0.0001659i,-0.00022172-0.00058386i,-0.00023703-0.0008378i,-0.00044888-0.0011167i,0.00090395-0.00058904i,0.0015653+0.00078317i
-0.00032859-0.0031364i,-0.00016448-0.00323i,-0.00091424-0.0021515i,-0.0020064-0.0017874i,-0.0019139-0.0018573i,-0.0015616-0.0010826i,-0.00077143+0.00022087i,-0.00061642+0.001089i,-0.00030467+0.0004795i,3.6564e-05+0.00020513i,8.5925e-06+0.00016602i,0.0003373+8.415e-05i,-0.00014154+0.00089208i,-0.00051129+0.0017574i,-0.00016123+0.0015344i,-9.9822e-05+0.001115i,-0.00044766+0.00072284i,-0.00038179+0.00044187i,4.3189e-05-0.00062816i,0.00087577-0.00093231i,0.0006029-0.00035697i,-0.00022897-0.00031096i,-5.499e-05-0.00056026i
0.0012839-0.0003887i,0.00073247+1.0708e-05i,0.0001313+0.00057718i,-0.0012373+0.00041192i,-0.002764+0.00044938i,-0.0026574+0.00010332i,-0.00048784-0.00016432i,0.00054098-0.001017i,0.00028901-0.0018514i,8.1748e-05-0.0021664i,-4.9165e-05-0.0019659i,0.00042853-0.00063937i,0.00047143+0.00032646i,-3.1553e-05+0.00014267i,-0.00023991-8.6812e-05i,-0.00041409+0.00066527i,-0.00063415+0.001145i,-0.00030119+0.00093649i,0.00027799+0.00088289i,-7.3194e-05+0.00027123i,-0.00071237-0.00024462i,-2.9773e-05-0.00057189i,0.00044118-0.0010813i
-0.0018359+0.001445i,-0.002536+0.0025612i,-0.0014544+0.0031183i,0.00015414+0.0020317i,0.002039+0.00067882i,0.0018422-0.00088026i,0.00061268-0.0021281i,0.00030885-0.0021398i,0.00034939-0.0014008i,0.00059584-0.0011236i,0.00068042-0.00082619i,0.00040557-0.00021094i,-0.00047678-0.00071759i,-0.00077992-0.0013407i,-0.00036346-0.0011958i,-0.00017752-0.00090371i,0.0001379+6.1174e-05i,-0.00025036+0.00040277i,-0.00012628-0.00015595i,0.00082384-0.00020477i,0.0008974+5.1051e-05i,0.00041679+1.1893e-05i,0.00015699-0.00060294i
-0.00074856+0.0010148i,-0.00086564+0.00085541i,-0.0010091+0.00044407i,-0.0018507+0.00033966i,-0.0028268-0.0007147i,-0.0022212-0.0011214i,-0.00056221-0.00073926i,-0.00027411-0.00045299i,-0.0010274-0.00085911i,-0.00095935-0.0011451i,-0.00013901-0.0011687i,2.5512e-05-0.0013698i,-0.00029642-0.00045883i,-0.0011247-4.4101e-05i,-0.00087129-0.00036095i,0.00037292-0.00053363i,0.0013801-0.00016302i,0.0014663+0.00085204i,0.00012975+0.0008892i,-0.00077934-0.00019548i,-0.0011376-0.00060429i,-0.00064115-0.00043741i,-0.00059319-0.00066295i
-0.003037+0.00048027i,-0.0022464+0.0010531i,-0.0016765+0.0022027i,-0.00050371+0.0028182i,0.0012246+0.0023463i,0.0014256+0.0011671i,0.0005009-0.00021534i,-0.0002687-0.00078304i,-0.00021594+0.00015313i,3.0479e-05+0.00072656i,-2.548e-05+0.00066946i,0.00044358+0.0011773i,0.00080533+0.00047877i,0.00045669-0.00059034i,0.00023944-0.00056031i,-0.00024286-9.8175e-05i,-0.00011457-0.00026711i,0.00017569+0.00010208i,-0.00061711+0.00061002i,-0.0010861+0.00032172i,-0.0004613-0.00017907i,-6.4453e-05-0.00086029i,-8.2609e-05-0.0008432i
0.00012939+0.00043157i,-0.0010108+0.0010389i,-0.0019515-2.7225e-05i,-0.0024973+7.3298e-05i,-0.00268+0.00075567i,-0.0024588+0.00031876i,-0.0014995-0.00036295i,-7.3598e-05-0.00066525i,0.00082541+0.00013204i,0.001446+0.00093324i,0.0021475+0.00083029i,0.0019859+0.00095403i,0.00079973+0.0011557i,0.00043175+0.0010035i,0.00093076+9.5524e-05i,0.0013748-0.0010104i,0.00066074-0.00047632i,-0.00060884-0.00049912i,-0.00094197-0.00083026i,-0.00038581-0.00054585i,8.3763e-05-0.00052431i,0.00011796+6.1215e-05i,0.00016276+0.0005476i
-0.00074005+0.00071591i,-0.0014754+4.6945e-05i,-0.0014267-9.3015e-05i,-0.0016183+0.00017484i,-0.0016348+0.00089431i,-0.0004622+0.0012522i,0.000491+0.00068393i,0.00064915-0.00066028i,0.00073958-0.0011784i,0.0015525-0.0015241i,0.0013264-0.0015143i,0.00028805-0.0013755i,-0.00030623-0.00091328i,-0.00060083-0.0010811i,0.00034516-0.0015927i,0.00060897-0.00042137i,0.00026728+0.00021962i,0.00041774+0.00018766i,8.527e-06+0.00047586i,-5.2465e-05+0.00043496i,0.00044115+6.9416e-05i,0.00081065+9.387e-05i,0.00099266-0.00054302i
-0.00077929+0.0011332i,-0.00059075-4.3924e-05i,4.7291e-05-0.00037029i,-0.00045861-0.0005273i,-0.0011523-0.00092404i,-0.0014931-0.00089406i,-0.001392-0.00076783i,-0.00055114-0.0016607i,3.7312e-05-0.0020822i,-0.00053285-0.0015772i,-0.00091996-0.0016874i,-0.00050702-0.0014344i,-1.6996e-05-0.00046576i,-8.3287e-05-0.0003576i,-0.0005491-0.00046966i,-8.6852e-05+0.00013008i,0.00046637+0.00030861i,-3.2953e-05+0.00028073i,-0.00035462+0.00027381i,0.00020329+0.00041816i,0.00059038+0.00051694i,-0.00014001+0.00041679i,-0.00066643+4.2526e-05i
0.0027829-0.0022257i,0.0019224-0.0026266i,0.00047407-0.0020842i,-0.0015762-0.00099429i,-0.0032576-0.00017895i,-0.0037821+0.00014005i,-0.0028089+0.00039709i,-0.0015233-0.00013006i,-0.0006607+0.00019428i,-9.5609e-05+0.00076932i,-9.1035e-05+0.00012317i,-0.00024526-0.00025537i,-9.5035e-05+9.2388e-05i,-0.00051301+0.00052878i,-0.0011097+0.00050492i,-0.0010847+0.00027257i,-0.0010199+0.00064835i,-0.00017321+0.00065322i,0.00061288+0.00060318i,-0.00012353-5.395e-05i,-0.00046798-0.00082855i,-0.00037365-0.00098516i,-0.00038175-0.00078229i
0.0013051+0.0017864i,0.0019725+0.001971i,0.0012393+0.0009872i,0.00050979-0.00028001i,-6.937e-05+0.0008264i,-5.2019e-05+0.0013317i,0.00020313+0.00042917i,-9.4937e-06-8.1034e-05i,-0.00053857-0.00027201i,-0.00013525-0.00023796i,0.00013167-0.00053617i,-7.2613e-05-0.0013601i,-4.2364e-05-0.00090347i,-0.00052707+0.00037909i,-0.0010943+0.00041459i,-0.00073721+4.7487e-05i,-0.000913+0.0002681i,-0.0010379+0.00081687i,-0.00073809+0.0011853i,-0.00089388+0.00082374i,-0.00064859+0.00054455i,0.00050641+0.00084831i,0.00021904+0.00025072i
-0.00054895-0.00086615i,-0.0019744-0.0005882i,-0.002985-0.0010945i,-0.0032739-0.0017857i,-0.0027917-0.0014112i,-0.0016115-0.00058264i,-0.00076097+0.00015789i,-0.00081527+0.00073762i,-0.0007161+0.00088391i,-0.00024895+0.00072821i,0.00091512+0.00057932i,0.00081941+0.00064706i,0.00048975+0.00073965i,0.00047035+0.0007735i,0.00028419+0.00079539i,0.00040512+0.00028526i,0.00084989-0.00057979i,0.00069327-0.00055895i,0.00040987+3.3802e-05i,0.00025981+0.00027268i,7.2826e-05+0.00072875i,0.00027933+0.001194i,0.00073751+0.0012776i
-0.0011+0.00043118i,-0.0012179+0.00035613i,-0.0012662+0.0017267i,-0.0010289+0.0017247i,-0.00096172+0.00013439i,1.2599e-06-0.00014541i,0.00042806-1.4071e-05i,-3.2426e-06-0.00065031i,0.00016409-0.00067977i,0.00024522-0.0007263i,0.00038816-0.00073272i,0.00094784-0.00055576i,0.00038022-0.00070465i,-0.00051196-0.00067564i,-0.00074506-0.00035519i,-0.00071563-0.00013891i,-0.00057701-0.00027515i,0.00011402-0.00057718i,0.00071566-0.00073283i,1.8698e-05-0.00030564i,-0.00057049+0.0002188i,-0.00081028+4.2554e-05i,-0.00057552-0.00043314i
-0.0025974+1.1861e-05i,-0.0030068+0.00069592i,-0.0033252+0.0016005i,-0.0027773+0.0027125i,-0.0016488+0.0024857i,-0.00060318+0.00028228i,3.1252e-05-0.0016291i,0.0007202-0.0018879i,0.00055453-0.0014472i,0.00035167-0.00051281i,0.00064217+1.7076e-05i,0.00016573+0.00039796i,0.00015922+0.00029519i,0.0006166-0.00047046i,0.00082531-0.00095874i,0.00015464-0.0013878i,-0.00013245-0.0017248i,0.00022995-0.0014921i,0.00086188-0.00109i,5.8272e-06-0.00067341i,-0.0012149-0.00034868i,-0.0010277+0.00012156i,-0.00018639+0.00069233i
-0.0011015-0.0024949i,-0.0017216-0.0016367i,-0.0025405-0.00013167i,-0.0026448+0.0014532i,-0.0013273+0.0022152i,-0.00027457+0.0014665i,0.00054875+0.0001723i,0.00076691-0.00068803i,-0.00014762-0.0011248i,-0.0012892-0.00080137i,-0.0015237-7.5666e-05i,-0.00083388-3.9974e-05i,-9.1874e-05-3.0382e-05i,-1.7447e-05+0.00046464i,0.00059929+0.00087881i,0.0013982+0.0009135i,0.00095181+0.00057882i,0.0010118-0.0001478i,0.00078923-0.00074091i,0.00048254-0.00045175i,-3.7048e-05+0.00017592i,-0.00066118-0.0001174i,-0.0011716-0.00053248i
0.00041209+0.0008454i,0.0010859+0.0011341i,0.0012234+0.00074732i,0.0012794+0.00017532i,0.00090781-0.0005052i,-0.00021936-0.00032283i,-0.00085706-0.00017878i,-0.0016147-0.00064136i,-0.0012195-0.00042759i,0.00014038-0.00019125i,0.0011776-0.0002477i,0.0013537-0.00079419i,0.00067625-0.0021965i,0.00032701-0.0021345i,0.00026392-0.00032038i,0.00035731+0.0003369i,0.00056473-9.3211e-05i,0.00038733-9.6007e-05i,0.000526+0.00056303i,0.00061078+0.00027631i,0.00022695-0.00047166i,-3.0751e-05+6.3464e-05i,-4.8024e-05+8.0994e-05i
-0.0019591-0.001192i,-0.0023911-0.00036031i,-0.0032819+0.00011069i,-0.0024629+0.00030825i,-0.0017459+0.0011644i,-0.0014536+0.0018346i,-0.0013866+0.0017657i,-0.00088978+0.00070526i,0.00015676-0.00016102i,0.00087404-0.00028339i,0.00044631+8.8085e-05i,0.00027137-1.8794e-05i,0.0007197-0.00012102i,0.00084423-0.00016926i,0.00083115+4.5984e-05i,0.00026846+0.0012946i,-7.0391e-05+0.00092384i,-9.2985e-05+0.00051448i,-0.00015245+0.0012627i,0.00029656-3.6704e-05i,0.00038036-0.00049116i,0.00021776+0.00022278i,0.00065943+1.9516e-05i
