-0.00074699+0.00023502i,-0.00085014+0.00079529i,-0.0010104+0.00071246i,-0.00081511+0.00036332i,-0.001104+0.00089894i,-0.00041779+0.00069927i,-0.00010365+0.00087319i,0.00023942+0.0014917i,0.0011289+0.0019347i,0.00092621+0.0006927i,0.00024922-0.00077665i,-0.00027746-0.0011986i,-0.00038719-0.00090316i,4.5967e-05-0.00045053i,0.0010093+0.00012563i,0.00062983+0.00069046i,-0.00046005+4.3735e-05i,-0.00071995-0.0007663i,0.0001015-0.0010736i,0.00086928-0.0008859i,0.0006721+4.3563e-05i,0.00060219+0.00026671i,0.00099014-4.7207e-06i
0.00077578+0.00017149i,-0.00051792+0.00022127i,-0.00070455-0.00039949i,0.00027459-0.0008839i,0.00022257+0.0003546i,-0.00038334+0.0012162i,-0.000174+0.00054643i,-0.00036182+0.00016693i,-0.00069727+8.08e-05i,-0.00076132+0.00033516i,-0.00053878+0.00015505i,-0.00065253-0.00031254i,-0.00072671+0.00017859i,-0.00075334+0.00035474i,-0.00037512-0.00017232i,-0.00021628+0.00025019i,0.00036581+0.0003271i,0.0010494-0.00018862i,0.00072906-0.00050025i,0.00042947-0.00055928i,0.00015214-0.00023794i,9.9507e-05-0.0001575i,3.6933e-05+0.00032667i
0.0020395-0.0011135i,0.0018607-0.0016786i,0.0011145-0.0019272i,-7.2785e-05-0.0013285i,-0.0013622+0.00023737i,-0.0019996+0.0015679i,-0.0017212+0.00081468i,-0.0011784+2.5771e-05i,-0.00073948-0.00020827i,-0.00019186-0.00013254i,2.8971e-05+0.00017556i,0.00013655+0.00033971i,-0.00061122+0.00049636i,-0.0012074+0.0002995i,-0.0010136-8.1663e-05i,-0.00099211-2.3484e-05i,-0.00046368+0.00024926i,0.00021029+0.00060222i,0.00052564+0.00025607i,0.00034032-0.00066052i,0.00014272-0.0003557i,3.9398e-05+0.00041481i,-0.00043423+9.0295e-05i
0.00062816+1.6134e-05i,-4.4267e-05+0.0011456i,0.00039648+0.0012258i,0.00055973+0.00013465i,0.00020092-5.2775e-05i,-0.00017798+0.00065114i,-0.0006283+0.00046008i,-0.00038707-0.00013391i,0.0007099-6.4166e-05i,0.0012989+0.00016456i,0.00047944+0.00038461i,-0.00050496+0.00097893i,-0.00043724+0.00042038i,-0.0001279-0.00035594i,0.00048397-0.00056842i,0.0005802-0.00045352i,-1.3383e-05-0.00011472i,0.00022075+0.00011548i,0.00098832+1.0081e-05i,0.0012844-0.00017903i,0.0013477+0.0001766i,0.00090469+6.557e-05i,-7.0161e-05-0.00054004i
-0.0014073+0.0013821i,-0.0015503+0.00036574i,-0.0014437+0.00043954i,2.0635e-05+0.0011844i,0.0007439+0.00079146i,0.00058609+0.0005479i,-3.1421e-05+0.00071164i,-0.00044627+0.00019368i,-1.9241e-05+7.3446e-05i,0.00047541+0.0002504i,0.0004092-0.00018268i,0.00057027-8.5558e-05i,0.00062379+0.00055049i,7.3794e-05+0.00040688i,-0.00049904-1.3822e-05i,-0.00070662+0.00038298i,-0.00035841+0.00026073i,0.00013479-0.00029012i,-0.00011693-0.00049644i,-0.00033461-0.00096465i,-0.00027851-0.00074i,-0.00030131-0.00015334i,-0.00016644-3.9192e-06i
-0.00014643-0.00031157i,-0.0013298+0.00075586i,-0.0012533+0.00098462i,-0.0011074+0.00098771i,-0.0013175+0.00082124i,-0.0010565+0.0010504i,8.5753e-05+0.00087657i,0.00086415+0.00013592i,0.0012921+0.0013118i,0.00094523+0.001381i,0.00021948+0.00018414i,-0.00036731+0.0003227i,-0.0002397+0.00056403i,7.3638e-05+0.00063664i,-0.00017171+0.00078444i,-0.00028662+0.00084252i,-0.00017964+0.00026055i,-0.00040785+0.0003473i,-0.00031553+0.00024762i,-0.00032052-0.00060126i,-0.00029509-0.00035621i,0.00012955+2.3299e-06i,0.00075691+5.7524e-06i
-0.0010018-0.00071348i,-0.0012271-0.00154i,-0.0018647-0.0014425i,-0.0020478-0.00042218i,-0.00078288-0.00013503i,0.00038125+0.00021864i,0.00031043+0.00011234i,0.00015282-0.00084892i,0.00016728-0.00039727i,-0.0003301+0.00018603i,-0.00054811+0.00024344i,-0.00024929+0.00037251i,-0.00020304+0.00028701i,-0.00066965+0.00034442i,-3.3796e-05-0.00013304i,0.00038324-0.00016334i,-0.00023173+0.00010309i,-0.00038659+0.0004208i,-0.00033969+0.00066267i,0.00023911-4.3497e-05i,0.00056884-0.00019899i,0.0002688-0.00028135i,-2.2426e-05-0.00034125i
-8.5705e-05+0.00031057i,0.00034131+0.00072194i,0.00062091+0.0014124i,0.00062302+0.0020921i,-9.7846e-06+0.0018554i,0.00026364+0.00060447i,0.00071691-0.00059638i,0.0005213-0.0010503i,1.4064e-05-0.00051939i,0.00061712+3.5694e-05i,0.00023626-0.00062478i,-0.00050472-0.00081035i,-2.0544e-05+0.00033546i,0.00036755+0.00059989i,0.0006807+0.00053305i,0.00078045+0.00086068i,0.00048043+0.00075351i,-9.8103e-05+0.00013138i,-0.00060177-0.00048526i,-0.00020157-0.00033235i,0.0003018-0.000854i,0.00045002-0.00064234i,1.0734e-06-0.00036269i
0.00048625+0.0005707i,-0.0008505+2.5929e-05i,-0.0021462-0.00053042i,-0.002005-0.0011227i,-0.0017681-0.00067877i,-0.0010604-0.00015745i,-2.6595e-05-0.00044622i,-0.00036266-0.00085133i,-0.00067484-0.00072919i,-0.00022798-0.00013567i,0.00038202-0.00016032i,5.6844e-05-5.3464e-05i,-0.00038419+0.00088931i,-7.0696e-05+0.00068303i,-0.00016373-0.00052134i,-0.00023915-0.00055242i,-0.00027726-3.1287e-07i,-0.00075099-1.3432e-05i,-0.00089148-0.00032172i,-0.00014916-5.3695e-05i,-8.9128e-05-0.00019953i,3.8442e-05-0.0010326i,0.00026837-0.0012886i
-8.3862e-06-0.001393i,-8.0597e-05-0.0013625i,-0.0012323-0.0012092i,-0.001231-0.0007396i,-0.00074652+0.00085052i,-9.7145e-05+0.0013057i,0.0010418-0.00010601i,0.00068967-0.00087274i,-0.00044752-0.0012261i,-0.00077652-0.001228i,-0.00083874-0.00023868i,-0.000846+0.00017884i,-0.0012832-0.00024358i,-0.00034724-0.00013378i,0.00076649+0.00099698i,0.00033581+0.0013025i,2.0701e-05+0.00047672i,-0.00020111-0.00049803i,-4.2419e-05-0.000375i,4.9242e-05+0.00042549i,-0.00035183+0.0006815i,-0.00043988+0.00087211i,-0.00010717+0.001235i
0.00056064+0.0014033i,0.00098279+0.0021164i,0.00054091+0.0020972i,-0.00041629+0.0016227i,-0.0014466+0.0014789i,-0.0016495+0.00091138i,-0.0013763+0.0001821i,-0.00092906-2.4134e-05i,-0.0002509+0.00011121i,-0.0005901-0.00026133i,-0.00066098-0.0008542i,-0.00034471-0.00063696i,0.00014325-0.00019124i,0.00042022-0.00023783i,0.00076696-0.00023793i,0.00047953-0.00048499i,-6.0646e-06-0.0011615i,8.8232e-06-0.0013788i,0.00041474-0.00087795i,0.001164-0.0005528i,0.00084474-0.00013836i,-0.00051013+0.00026401i,-0.0010578-0.00059055i
