0.00045043-0.00073213i,0.00072689+0.00065167i,0.00017009+0.0016461i,-0.00070255+0.001788i,-0.00043788+0.0013266i,-1.3419e-06+0.00081569i,-0.00029984+0.00073865i,-0.0004419+0.0007084i,-0.00023434+0.00051204i,-0.0005322+0.00087249i,-0.0009681-3.5402e-05i,-0.0001676-0.0011136i,0.0006099-0.00090926i,0.00090448-0.00042542i,0.00071592+0.00058365i,0.00016933+0.0012303i,-4.1136e-06+0.00059471i,0.00015997+4.9277e-05i,0.0011114+0.00069804i,0.0011472+0.00096374i,-5.5371e-05+0.00073757i,-0.00013273+0.00013355i,0.00061895+0.00024171i
-0.00029704+4.7573e-05i,-0.0011109+0.0010658i,-0.00097299+0.0015889i,-0.00040816+0.0005402i,0.00050433-0.00012853i,0.00015204-0.00043648i,-0.00043156-0.0011391i,-1.7439e-05-0.00080109i,0.00011414-0.0003627i,0.00021041-0.00033204i,0.00012448-0.00041582i,-0.000259-0.00060096i,0.00037683-0.00051453i,0.00061206+0.00016433i,1.1561e-05-0.00017259i,-0.0004381-2.4119e-05i,-0.00024574-6.6483e-05i,-0.00032685-0.00055023i,-0.00077658+0.00024432i,-0.00070566+0.00074249i,-0.00012587+0.00074868i,4.1527e-05+0.00061672i,-2.7234e-05+9.2043e-05i
-0.0032009+0.00072453i,-0.0024717+0.00070497i,-0.0013408+0.00157i,-0.00036484+0.002918i,0.00059191+0.0024791i,0.0013787+0.0013814i,0.00082947+0.0006749i,0.00061479-0.00020121i,6.8968e-05+0.00020306i,-0.00029298+0.00083964i,-8.3366e-05-0.00028474i,0.00039929-0.00096975i,0.00020102-0.00084489i,-0.00011832-0.001269i,-0.00063225-0.0008142i,-0.00086267+0.00020772i,-0.0001764+0.0010122i,0.00024785+0.0013849i,0.00056999+0.0011009i,0.00076101+0.00036566i,0.00078283-0.00011915i,0.00033811+4.7944e-05i,-0.00025845+0.00016251i
-0.0018197-0.00030131i,-0.00038712-0.00018136i,0.00095849+0.001255i,0.0011027+0.0030346i,0.00099694+0.0031782i,0.0020258+0.0012695i,0.0017335-0.00011831i,0.00059782-0.00036442i,-2.5024e-06-0.00049731i,0.00015472-0.00046165i,0.00075587-0.00065161i,0.0013357-0.00047709i,0.0011053-0.00038874i,0.00065249-0.00074076i,0.00032229-0.00049274i,-5.6256e-05+0.00015899i,-0.00017351+0.00034004i,-0.00058318+0.00046366i,-0.00041793+0.00016636i,2.7736e-05-0.0002584i,-0.00011219-0.00043869i,-0.00021872-0.00034363i,0.00012485-0.00027514i
0.00094102-0.00030754i,0.00074769-0.00044927i,0.00027141-0.00011648i,-0.0011215+0.00025099i,-0.0025049+0.00040777i,-0.0016504+0.00053272i,-0.00051461+0.00026686i,-0.00034425-0.00016417i,-6.1835e-05-0.00015566i,3.9967e-05+0.00032905i,0.00015551+0.00098394i,0.00042885+0.00035042i,0.00037588-0.00052081i,0.00024965+0.00015895i,-0.00010073+6.8276e-06i,-0.00028136-0.00012509i,-0.00076337+0.00028423i,-0.00088086+0.00026352i,-0.00099744+0.00015i,-0.00092945+2.0804e-05i,-0.00015459+5.6375e-05i,-0.00025696+2.2643e-05i,-0.00039526-0.00030265i
-0.0015254-0.0012293i,-0.0013511-0.00012885i,-0.0021046+0.00086662i,-0.0010747+0.001471i,0.0003746+0.0020576i,6.6232e-05+0.00095975i,-0.00036499-0.00033952i,-0.00038669-0.00062754i,-0.0004779-0.00045942i,4.6073e-05+0.00013266i,0.00049595+0.00040307i,0.0003434-0.00064492i,0.00063272-0.00073462i,-1.994e-05-0.00014112i,-0.001141-0.00043876i,-0.00029294-0.00068863i,-0.00043003-0.00049583i,-0.0013665-0.00028059i,-0.00084851-0.00035577i,-3.6077e-05-0.00048901i,0.00024986+6.409e-08i,-8.4789e-05-0.00069018i,-0.00022813-0.0010609i
-0.0023418-0.0013463i,-0.0022781-0.0022322i,-0.0025476-0.00057157i,-0.0020556+0.0011368i,-0.00019517+0.00099061i,0.00081889+0.00041183i,-0.0003421-0.000432i,-0.0011077-0.00048701i,-0.00079764+0.00036807i,-0.00012795+0.0011027i,0.00024234+0.0012844i,-0.00021429+0.001012i,-0.00074965+0.00091847i,-0.0011263+0.0001614i,-0.00095623-0.00080518i,-0.00019004-0.001327i,-0.00040276-0.00078988i,-0.0013055+0.00015487i,-0.0010942+0.00055414i,-0.00061049+0.00080206i,-4.8134e-05+0.00079252i,0.00013989+0.00030963i,0.00013889-0.00011397i
0.00071032-0.0023763i,0.00068995-0.0013875i,0.00044886-0.0019226i,0.00025641-0.001752i,-0.00060911-0.00071542i,-0.00058839-0.00033087i,-0.00010641-0.00032222i,5.6501e-05-0.00025367i,0.00033248+7.534e-05i,-0.0004459+0.00088689i,-0.00090132+0.0010525i,1.1543e-05+0.00047163i,0.0008653+0.00012096i,0.00053988+0.00036271i,-7.9581e-06+6.6298e-05i,6.5714e-05-0.00025689i,1.4481e-05+1.605e-05i,-0.00015656+0.00023748i,0.00041877+0.00041708i,0.0012594+0.00046468i,0.0013081+0.00011451i,0.00099213-3.4635e-06i,0.00082022-8.8216e-06i
0.0028308-0.00069489i,0.003435-0.00095147i,0.0034973-0.00045183i,0.0016277+0.00024106i,0.00017316+0.00030447i,-0.00026262+0.00010979i,0.0004471+1.2988e-05i,0.00089937+0.00017075i,0.00033432-0.00014565i,-0.00026982-0.00068794i,-0.00049227-0.00073915i,-0.00067481-0.00023713i,-0.00067056+0.00050614i,0.00042795+0.00092867i,0.00082193+0.00047874i,0.00086283+0.00034715i,0.0003182+0.00039492i,-0.0008863+0.00019332i,-0.001127-0.00014048i,-0.00036211-0.00045446i,0.00051934-0.00021718i,0.00035821-0.00047624i,0.00041866-0.0013994i
-0.00038091+0.0014983i,0.00025576+0.0016738i,0.001254+0.00086388i,0.0016325-0.00010446i,0.0012256-0.00073764i,0.00068769-0.00064528i,-4.3823e-06-0.0003465i,-0.00020925-0.00041058i,0.00016577-0.00026568i,0.00051321-0.00013241i,0.00028041-0.00054786i,0.000434-0.00040651i,-4.018e-05+0.00024028i,-0.00072686+0.00011357i,-0.00034182+2.6123e-05i,-0.00010595+0.00032143i,0.00019879+6.7908e-05i,0.00035015-0.00030157i,0.000201-0.00022101i,0.00022342-9.247e-05i,0.000553-0.00017386i,0.00089323+0.00037597i,0.0005643+0.00038907i
