-0.0041682+0.0014103i,-0.0048331+0.0022814i,-0.00462+0.0046912i,-0.0026776+0.0051911i,-0.00083827+0.0035337i,-0.00077942+0.0012919i,-0.0016469+0.0005763i,-0.00080658+0.00071084i,0.00037596+0.00093058i,0.0011246+0.0008036i,0.0013262-1.5119e-05i,0.00095345-0.00079969i,0.0006778-0.0010314i,0.00021199-0.00090019i,-0.00055174-0.00033482i,-0.00064677+0.0004479i,-0.0002676+0.0012738i,0.00010913+0.0012711i,0.00044415+0.00039132i,0.000171+0.00022663i,-4.5597e-05+0.00052307i,-0.00056813-0.00041032i,-0.00048482-0.00049434i
0.0028602-0.0031654i,0.0025571-0.0027357i,0.0012239-0.0026587i,-7.8879e-05-0.0029045i,-0.00088268-0.0036506i,-0.001143-0.0027126i,-0.0004116-3.3385e-05i,0.00066035+0.0023197i,0.0010856+0.0028425i,0.0013407+0.0017689i,0.00088217+0.00086105i,-0.00025323+0.00062711i,-0.0009868+0.00041881i,-0.00079895-0.00050319i,-0.00055787-0.0005832i,-0.00032493-0.00095443i,-0.00041264-0.0013143i,-0.0010004-0.00072031i,-0.00045474+3.411e-05i,0.00016145+7.7853e-05i,-4.3076e-05-0.00059876i,-0.00030094-0.00077653i,-0.00054975+0.00033692i
-0.003994-0.00045898i,-0.0052521+0.0014327i,-0.0043143+0.002557i,-0.0026589+0.002454i,-0.0011409+0.00028338i,0.00038816-0.0014111i,0.0011343-0.0013172i,0.0026125-0.00075067i,0.0035855-0.00088519i,0.0028422-0.00063956i,0.0021051+0.0001423i,0.00199-1.5455e-05i,0.0014142-0.00034884i,0.00065732-0.0010351i,0.00065153-0.0018333i,-0.00010097-0.0016389i,-0.0013732-0.0010944i,-0.00069979+0.00020321i,0.00036454+0.00046572i,0.0012822-0.00023216i,0.0013426-0.0005575i,1.15e-05-0.0011372i,-0.00035594-0.0010887i
-0.0014886-0.0017264i,-0.0017111-0.0028308i,-0.0018451-0.0027324i,-0.0016092-0.0020923i,-0.0016587-0.0020941i,-0.0024931-0.0020211i,-0.0018759-0.0019441i,2.8382e-05-0.0027251i,0.0010231-0.0031252i,0.0016364-0.0026053i,0.0027471-0.001564i,0.0018235-0.00054207i,-0.00011122-0.0001645i,0.00021239+0.00031475i,0.00064062+0.00021988i,0.0004103-0.000202i,0.00027926-9.984e-06i,0.0010149+0.00011361i,0.0018075-0.00010244i,0.0011392-0.0002416i,0.00035273-0.00010276i,-0.00021148-0.00015313i,-0.00029027-0.00068142i
0.00053708-0.00037284i,0.00079008+0.00039629i,-0.00034585-0.00035701i,-0.0011269-0.0017595i,-0.0009676-0.0012365i,-0.0012389-0.00090074i,-0.0024039-0.0017299i,-0.002418-0.0031965i,-0.0022349-0.0040656i,-0.0020393-0.0027836i,-0.00084926-0.00058495i,-0.00011591+0.00072904i,-0.00015472+0.0015217i,0.00025439+0.0019041i,0.00092175+0.0023821i,0.0010995+0.0026062i,0.00064558+0.0018522i,0.00080278+0.0014481i,0.00085024+0.00084851i,-4.6114e-05+0.00038335i,-0.00033106+0.00074017i,1.528e-05+0.00081516i,0.00040049+0.0004713i
0.00050574-0.00048413i,0.0001034-0.00085673i,0.00053046-0.0015534i,0.00039862-0.0022339i,9.7114e-05-0.0024276i,-0.0011479-0.0011703i,-0.0024761+0.0003072i,-0.0039184+0.0007833i,-0.0048182+0.0009126i,-0.0043231+0.00060842i,-0.0028525+0.00062242i,-0.0010386+0.00025282i,-0.00011721-0.00021804i,0.00048334-0.00027714i,3.1704e-05-0.00027368i,-0.00041227+0.00019873i,0.0005958+0.00070008i,0.00083982+0.00024409i,0.00030944+0.00027106i,6.8302e-05+0.00023277i,-0.00036311+0.00019908i,-0.00051308+0.00032559i,-0.00021834+0.00038715i
-0.00051284+0.00036346i,-0.0012893+0.0014892i,-0.0014695+0.0029902i,-0.00090466+0.0024006i,0.00016023-0.00020973i,-0.0003112-0.001562i,-0.0012033-0.00047218i,-0.00083704+0.0020064i,-0.0009208+0.0036866i,-0.0012592+0.0028207i,-0.00077955+0.00085529i,0.00026945-0.00047085i,0.00044185-0.00099852i,0.00011769-0.0013038i,0.00022225-0.0015964i,0.00017804-0.00080892i,8.364e-05-0.00024611i,-0.00036505+2.8274e-05i,-0.00075315-5.5702e-05i,-0.00068887-0.00055643i,0.00017334-0.00055941i,0.00040077-0.00068824i,-0.00075729-0.00074087i
0.0021525-0.0023174i,0.0016674-0.0013936i,-0.00035754-0.0017063i,-0.0028272-0.0031239i,-0.0035746-0.0037145i,-0.0024648-0.0021912i,-0.00095213+0.00025478i,0.001319+0.0014967i,0.0029506+0.001898i,0.0020825+0.002264i,0.0011484+0.0016461i,0.0014638+0.00057299i,0.0015163+0.00040924i,0.001504+0.00016205i,0.0010626+0.00022532i,0.00089851-0.00053784i,0.00031615-0.0021252i,-0.0010649-0.0017931i,-0.00061996-0.00062307i,0.00096764-0.0004684i,0.0012907-0.0004095i,0.00095111-0.00020058i,0.00023673+0.00037633i
-0.00083144+0.00078007i,-0.0006569+0.002315i,-0.00041085+0.0026598i,0.0011014+0.00072703i,0.0012688-0.00091722i,-0.00067183-0.0010768i,-0.0006344-0.00042129i,0.0021157-0.00054198i,0.0048225-0.0010464i,0.004479-0.00067555i,0.0024322+0.00023117i,0.0013828-4.6809e-05i,0.00093109-2.9711e-05i,0.00021512+0.00062398i,0.00035423+9.4893e-05i,0.00077546+0.00027587i,0.00069171+0.0011141i,-0.00013731+0.00055722i,2.227e-05+0.00022365i,0.00045422+0.00010932i,0.00056386+4.7828e-06i,0.00063238+0.00053951i,0.00069691+0.00063836i
-0.0013635+0.00022182i,-0.0016589+6.5984e-06i,-0.0022105-8.5285e-05i,-0.0022002-0.0012769i,-0.0016303-0.0022806i,-0.0010857-0.0027584i,-0.00082494-0.0034078i,-0.00060549-0.0040398i,0.00011449-0.0046211i,0.00089144-0.0037303i,0.0009948-0.0020278i,0.00088611-0.001044i,-1.9216e-05+0.00021897i,-0.00051185+0.0013408i,0.00014031+0.0013898i,-3.1266e-05+0.0011735i,0.00018475+0.0013261i,-9.5494e-05+0.0012978i,-0.00013287+0.0002421i,0.00034022-1.7506e-05i,-0.0003466+7.7017e-05i,-0.0009961-0.00023001i,-0.00083664-1.0407e-06i
0.0023749-0.0013886i,0.0021661-0.0017581i,0.0013029-0.0024006i,0.000204-0.0016148i,-0.0013139-0.0012121i,-0.0021706-0.0014248i,-0.0031823-0.0010386i,-0.003747-0.001522i,-0.0036444-0.0024985i,-0.0041114-0.0021314i,-0.0033728-0.0012365i,-0.0011469-0.0008856i,-9.0941e-06+0.00011709i,0.00016626+0.00048591i,0.00016704+0.00044761i,-0.00041582+1.3701e-06i,-0.00089501-1.732e-05i,-0.00063377+0.00011251i,-5.7823e-05-0.00050378i,-0.00064158-0.00019141i,-0.00097725+0.00010737i,-0.00048993+5.4042e-05i,-0.0010118-9.8677e-05i
-0.0028382-0.00088823i,-0.0033831-4.2824e-05i,-0.0034306-0.00069059i,-0.0032307-0.0020476i,-0.0024092-0.0027222i,-0.0018705-0.0027045i,-0.0018555-0.0011235i,-0.0026469+0.0010614i,-0.0035674+0.0019491i,-0.0032453+0.0015542i,-0.0015933+0.00041653i,0.00028688-0.00019423i,0.0020629-4.1137e-05i,0.0026378-0.00050552i,0.0015282-0.0013581i,0.00070343-0.0011941i,0.00037095-0.00054132i,-0.00015097-0.00075633i,-0.00050476-0.00085895i,-0.00035502-0.0001804i,4.8176e-05+0.00057028i,-8.2485e-05-0.00010109i,-3.4585e-05-0.00041525i
0.0039222-0.00034379i,0.0034434-0.0011223i,0.00067909-0.001389i,-0.0016323-0.0011538i,-0.0029497-0.001798i,-0.0025387-0.0013977i,-0.0012031+0.00041886i,-0.00060776+0.003108i,-0.00088665+0.004309i,-0.00041584+0.0034231i,0.00027439+0.0021562i,0.00079257+0.0016035i,0.0011303+0.0014612i,0.0010843+0.00071961i,0.0018325-8.2175e-05i,0.0022007-0.00084587i,0.0016689-0.0002295i,6.6748e-05+0.0004408i,-0.0011112+9.5125e-05i,-0.00035255-0.00031786i,0.0008339-0.00024854i,0.001019+0.00010814i,0.00067914+0.0004535i
0.00099124-0.0015853i,0.00033783-0.0019946i,-0.0010561-0.0029744i,-0.0018353-0.0032134i,-0.0017673-0.0018518i,-0.0014775-0.00026366i,0.0006678+0.0011398i,0.0028425+0.0021558i,0.0036539+0.0023253i,0.0030189+0.0017148i,0.0018017+0.0011765i,0.0010773+0.0014077i,-0.00020325+0.0014925i,-0.00041741+0.0008255i,0.00069826+0.00077106i,0.0016654+0.00059729i,0.0012876-0.00010005i,0.00020211+6.6768e-05i,-0.00028384+0.00089062i,8.4096e-06+0.0007989i,0.00072945+0.00037437i,0.00044146+0.00031116i,-8.5514e-05+0.0002091i
-0.0018758-0.0006061i,-0.0020183+0.00066354i,-0.00060939+0.001736i,0.00077795+0.0018627i,0.00049283-0.0001246i,-0.00052179-0.002019i,-7.509e-05-0.0016232i,0.0021131-0.0018362i,0.0036694-0.0028948i,0.0023321-0.0030027i,0.00094979-0.0018491i,0.00068813-0.00080763i,7.6933e-05-0.00091933i,-0.0013951-5.029e-05i,-0.001505+0.00084278i,-0.00085487+0.00050507i,-0.00016659-0.00011787i,0.00094397+0.00057985i,0.0012528+0.00080455i,0.00089478+0.00050992i,0.00014692+0.00038567i,-6.425e-05-4.2323e-05i,2.572e-05+0.00019608i
-0.0002713+0.0021007i,-0.00018777+0.0018179i,0.00042163+0.001022i,0.0010984-0.00095261i,0.00094113-0.0035035i,0.00029675-0.0046113i,-0.00048875-0.0041639i,-0.00072826-0.0043257i,-0.0007524-0.0053255i,-0.00068018-0.0046041i,0.00038706-0.0023081i,0.0008747-0.0010479i,0.00018817-0.00082095i,0.00042199-0.00081123i,0.00050217-0.0013108i,-0.00060652-0.0013732i,-0.0013335-0.00022764i,-0.00057455+0.00064421i,-6.393e-05+0.00063431i,-1.3737e-05+5.4989e-05i,0.00016829+3.9191e-06i,0.00039226+0.00028694i,0.00017248-0.00040342i
0.0018307+0.0012136i,0.0012064+0.0015426i,0.0011612+0.0010948i,0.0013522+5.3348e-06i,0.0002847-0.0014516i,-0.0015591-0.0019595i,-0.0029949-0.0013045i,-0.0036388-0.0013858i,-0.0039526-0.0022782i,-0.0023851-0.0022331i,-0.00011911-0.0019003i,0.00091567-0.0015391i,0.0010849-5.5195e-05i,0.0020858+0.0012603i,0.0027331+0.001174i,0.0018721+0.00025356i,0.0010478-0.00063529i,0.00037886-0.00048819i,-1.0281e-05-0.00034332i,-0.00039655-0.00019597i,0.0001592+0.00045324i,0.00077066+0.00076357i,0.00035596+0.00087697i
-0.0024851-0.0019024i,-0.0025206-0.0020719i,-0.0024167-0.0028161i,-0.0025142-0.0025409i,-0.0023987-0.0023413i,-0.0026882-0.0030137i,-0.0030241-0.0018531i,-0.0030226+0.00070741i,-0.0037577+0.0024778i,-0.003679+0.0026943i,-0.0020175+0.0017917i,-0.0005163+0.0010016i,0.0005335+0.00051152i,0.0018711+0.00047236i,0.0024921+0.00053453i,0.001873+0.00091289i,0.0010935+0.0015013i,0.00029439+0.0008467i,-0.00024871+0.00012304i,-0.00061555-0.00033057i,-0.00078554-0.00045041i,-0.00057407-3.1753e-05i,-0.00043897+0.0001791i
-0.001302-0.0012557i,-0.0015498-0.00016955i,-0.00078639+0.0021541i,-0.00046372+0.0027013i,-0.00096309+0.0017636i,-0.0014541+0.00020292i,-0.001634+0.00041672i,-0.0015223+0.0034139i,-0.00098835+0.0053413i,-0.00066726+0.0045387i,-0.00072799+0.0023362i,-0.00035046+0.0012194i,0.00022194+0.00034244i,-0.00036873-0.0010946i,-0.0015171-0.00068883i,-0.0019441+0.00078094i,-0.0018156+0.0009625i,-0.00067747+0.00022113i,0.00039452-0.00025214i,0.0003107-0.00050233i,-0.00038647-0.00081961i,-0.0011772-0.0010184i,-0.0011555-0.00039207i
-4.4482e-05+0.00068881i,-0.0015831+0.0012936i,-0.0022806+0.0017186i,-0.0017735+0.00027427i,-0.00046786-0.00086982i,-0.00027929-0.00058418i,-0.00019623+0.0011317i,0.0016895+0.0022432i,0.004118+0.002126i,0.0040766+0.00078667i,0.0023249-0.00020131i,0.00074443-0.00012892i,-0.00069338-0.00023506i,-0.0022355-0.00057182i,-0.0022568-0.00038973i,-0.001214+3.9914e-05i,-0.00078137-7.6371e-06i,-0.00027121-8.5965e-05i,0.00015645+0.00052405i,0.00045977+0.00026032i,0.00067268-0.0006554i,0.00034112-0.00053615i,0.00038918-0.0005041i
-0.0016907+0.00081472i,-0.0014904+0.00091027i,0.00017864+0.0021862i,0.0011234+0.0019989i,0.0013439-0.00091986i,0.0014023-0.0026449i,0.0025754-0.0022367i,0.0048572-0.0025176i,0.0050326-0.0036649i,0.0031164-0.0029949i,0.0016712-0.0011376i,0.0012362-0.00043044i,0.00075189-0.00058266i,4.4008e-05-0.00038384i,0.00056204-0.00046051i,0.0010014-0.0010804i,0.00077423-0.00074183i,0.0012727+0.00089524i,0.0011525+0.0012805i,0.00042524+0.00034786i,0.00024505+0.0004925i,0.0001913+0.00087101i,0.00019038+0.00047506i
0.0016505+0.00091034i,0.00089855-0.00095599i,0.0015202-0.0033087i,0.0014737-0.0060713i,1.3827e-06-0.0068088i,-0.0016093-0.0058252i,-0.0013005-0.0049763i,-0.00016266-0.0053854i,-0.00070737-0.0058498i,-0.0014104-0.0038933i,-0.00077056-0.00059977i,0.00046859+0.00036818i,5.7751e-05+0.0009462i,-0.00029918+0.0021232i,0.001392+0.0022711i,0.0026895+0.0017461i,0.0021595+0.00084852i,0.0015314-0.00014401i,0.00018455-0.00033155i,-0.0015291-0.00057265i,-0.0017932-0.00072651i,-0.00094954-0.00017077i,2.8415e-05+7.7471e-05i
0.001406+0.0017546i,0.0028251+0.002323i,0.0029313+0.0035003i,0.0013012+0.0021906i,-0.00074935-0.0015024i,-0.0027576-0.0033135i,-0.0037068-0.0034707i,-0.003891-0.0031128i,-0.0047265-0.0019478i,-0.0047946+0.00014747i,-0.002598+0.0011878i,-0.0013018+0.00086911i,-0.001232+0.00074375i,-4.9672e-05+0.00087542i,0.00096064+0.00051701i,0.0013579-0.00033588i,0.0015252-0.00020127i,0.0017206-0.0004409i,0.0012368-0.0010469i,0.00044006-0.001447i,0.00047863-0.0010397i,-0.00021031-0.00026206i,-0.00084107+6.8633e-05i
-0.0015933+9.0287e-05i,-0.0032575+0.00030419i,-0.0037604+0.00078047i,-0.0034863+0.00061602i,-0.0030021+9.2283e-05i,-0.0029292-0.0008574i,-0.0036948-0.001012i,-0.0046004+0.0010464i,-0.004104+0.003544i,-0.0019548+0.0032067i,-0.0002803+0.0015916i,8.3878e-05+0.00093365i,0.00020431-0.00020804i,0.0010244-0.001879i,0.00070818-0.002427i,-0.00050127-0.00076655i,-0.00088798+2.5892e-05i,-0.00044382-0.00053495i,0.00020154-0.00070919i,6.5722e-05-0.00020253i,0.00023899+0.00015602i,0.00064343+0.00049966i,0.00017806+0.0010101i
0.00063954+0.0008635i,0.0010311+0.00047229i,0.0011867+0.0014981i,0.00018851+0.0021832i,-0.0013011+0.0012559i,-0.0023277+0.00031205i,-0.0023999+0.0014161i,-0.0010915+0.0039942i,0.0012302+0.0057854i,0.0025642+0.0043359i,0.0017174+0.0015901i,0.00086142+0.0003277i,0.00063876-0.00060063i,-0.00015091-0.0017753i,-0.00045951-0.0021074i,0.00012913-0.0017823i,-0.00025165-0.00072423i,-0.0009159-8.8175e-05i,-0.00012169+0.00074738i,0.00088802+0.00092813i,0.00081268+7.2469e-05i,-5.545e-05-0.0008898i,-0.00044806-0.00056983i
-0.0016261-0.0021693i,-0.002103-0.0027245i,-0.0021547-0.0026617i,-0.0014354-0.0021914i,-0.00088696-0.0020145i,5.468e-05-0.0017535i,0.0017639+3.6272e-05i,0.0035838+0.0028688i,0.0046337+0.0033208i,0.0043533+0.0011611i,0.003124+5.7344e-05i,0.001092+0.00082761i,3.6291e-05+0.00067331i,-0.00033161+0.00030611i,6.4188e-05+0.0011178i,0.0013526+0.0017733i,0.0014281+0.0014227i,-6.4559e-05+0.00056218i,-0.00093339-0.00018668i,-0.00041052+8.3045e-05i,-0.00029829+0.00045847i,-0.00031863+0.00019851i,0.00012799+0.00044741i
0.00053527-0.0018413i,-0.00053831+0.0005584i,-0.0020867+0.0021541i,-0.0021934+0.0011899i,-0.0015946-0.001273i,-0.00071909-0.002774i,0.0015624-0.0021448i,0.0042451-0.0019985i,0.0035008-0.0035771i,0.00040227-0.0034571i,-0.00089165-0.0011325i,-0.00043028+8.5456e-05i,-0.0004322-8.0735e-05i,-0.00080405+0.00059999i,-0.00038193+0.0018867i,0.00025016+0.0015717i,0.00036013+0.00067793i,0.0001304+0.00027446i,-0.00033055-2.3504e-05i,-0.00024893+2.6943e-05i,0.00029912+0.00053327i,-4.6914e-05+0.0005451i,-0.00080463-0.00052713i
-0.001805+0.0019418i,-0.0011215+0.001425i,-0.00062384+0.00031i,-0.00044316-0.0015065i,-0.00055614-0.0036104i,-0.0014275-0.0045607i,-0.001337-0.004461i,-0.00050729-0.004898i,-0.0014073-0.0055008i,-0.0024572-0.004284i,-0.0023418-0.001989i,-0.0011059-0.00081475i,-0.00033069+8.5163e-05i,-0.00028176+0.0012427i,-0.00065427+0.0018557i,-0.0010081+0.0012813i,-0.00063694+0.00070443i,-0.00017091-0.00041143i,0.00014066-0.0013072i,-0.00026846-0.00070005i,-0.00084246-0.00033433i,-0.00067954-0.00039932i,-0.00054919+0.00010612i
0.0012245-0.00027508i,0.00051501-0.00056649i,0.00046765-0.0014982i,0.00027845-0.0016168i,-0.00094706-0.0019486i,-0.002264-0.0019017i,-0.0017169-0.0013408i,-0.0018293-0.0013429i,-0.004014-0.00018709i,-0.0047531+0.0015491i,-0.0025327+0.0020135i,-0.0012131+0.00056155i,-0.0012714-0.00010356i,0.00023019+4.3525e-05i,0.0014795-0.00076718i,0.00075085-0.0010285i,3.4304e-05-0.0012952i,0.00024507-0.0018407i,7.2578e-05-0.001807i,0.0001916-0.0016135i,0.0013011-0.0010168i,0.0015306-0.00060675i,0.00040428-0.00010976i
0.0022984+0.0015444i,0.0029549+0.0017731i,0.0032442-4.2741e-05i,0.0029222-0.0019997i,0.001821-0.0025736i,0.0005102-0.0017211i,-0.00068837-0.0010277i,-0.0021502+0.00044161i,-0.002541+0.0021054i,-0.0017133+0.0030704i,0.00031614+0.002923i,0.0011303+0.0018276i,0.00012643+0.00045587i,-0.0001726-0.00040694i,0.00028504-0.00049158i,0.0009764-0.00095109i,0.0017084-0.0014764i,0.0016942-0.00064443i,0.0010579+0.0005215i,0.00078976+0.00050584i,0.00085391-0.00019778i,0.00047633-0.00022672i,0.00035364+0.0009854i
-0.0026484+0.0033907i,-0.0042818+0.0037506i,-0.0033987+0.0047599i,-0.00069174+0.0035183i,0.0015324+0.00064921i,0.00085712-0.00074601i,-0.0012412+0.0010638i,-0.0013897+0.003194i,0.00016993+0.0044845i,0.0019475+0.0040103i,0.0026899+0.0025993i,0.0013725+0.0015985i,0.00080472+0.0001242i,0.00029543-0.00038788i,-0.00043708+0.00058974i,0.0002177+0.0016538i,0.0010296+0.0018175i,0.00095383+0.0016592i,-0.00018459+0.0014079i,-0.00026012+0.0012184i,0.00012719+0.00047528i,-0.0002845-0.0003711i,4.1987e-06-3.2631e-06i
-0.0014487-0.0024679i,-0.0026181-0.0042473i,-0.0024757-0.0054422i,-0.0020181-0.0046674i,-0.0012421-0.0029964i,-0.0019544-0.0022912i,-0.0024042-0.0010208i,0.00034708+0.00077159i,0.0032015+0.00085086i,0.0039007-0.00058387i,0.002988-0.0018682i,0.0013684-0.0013234i,-0.00040163+0.00023139i,-0.0018061+0.0012846i,-0.0022553+0.0016284i,-0.0020643+0.0023432i,-0.0012595+0.001898i,-0.00061375+0.00075417i,-0.00039324+0.00071956i,-0.00037266+0.00028822i,0.00023614+0.00052831i,0.00093304+0.00096333i,0.00088499+0.00051213i
-0.00046316+0.00018991i,0.00049711+0.0019026i,-0.00071143+0.0042569i,-0.0013836+0.0039458i,-0.00053027+0.0013338i,-0.00038219-0.0011207i,4.9386e-06-0.0015157i,0.0012789-0.0009184i,0.001621-0.0018509i,0.00071973-0.0026156i,3.4776e-05-0.0019414i,5.6483e-05-0.0010888i,3.2026e-05-0.0003246i,0.0004243+0.00021981i,0.001116-0.0001877i,0.00013961-0.0011337i,-0.001386-0.00069069i,-0.0010957+0.00015402i,-0.00012508-7.6749e-05i,-0.00021177-0.00056547i,-0.00026534-0.00047647i,0.00019389-8.5403e-05i,0.00085615-1.7811e-05i
-0.001123+0.0034312i,-0.0017533+0.0038705i,-7.2923e-05+0.002419i,0.00031218-0.0016522i,-0.00072513-0.0040556i,-0.0010445-0.0030855i,0.00041011-0.0019445i,0.00046818-0.0016805i,-0.0016227-0.002028i,-0.0025916-0.0015457i,-0.0017197-0.0010235i,-0.00034826-0.0009401i,0.00014318-0.00058i,0.0011243+1.5884e-05i,0.002048-0.00077238i,0.0018656-0.0019263i,0.0015544-0.0020247i,0.0019043-0.0016999i,0.0019618-0.0021148i,0.0011453-0.0019589i,0.00013812-0.00078586i,-0.00075924-0.00034711i,-0.00069079-0.00025937i
9.0253e-05-0.002572i,-0.0031397-0.0020822i,-0.0042302+0.00090541i,-0.0035746+0.0033329i,-0.0032529+0.00096617i,-0.0026312-0.00122i,-0.002767-0.0016521i,-0.0035857-0.0020085i,-0.00406-0.00030334i,-0.0038137+0.0024577i,-0.001984+0.0036256i,-0.0006728+0.0028381i,-0.00010666+0.001483i,0.00028872+0.00045198i,0.00052264-0.00025637i,0.0016115-0.00011556i,0.0018267+0.00087621i,0.0013893+0.00086842i,0.001391+0.00099709i,0.0012261+0.00070955i,0.00096146+0.00062885i,-0.00051049+0.00095384i,-0.0008957-0.00015991i
-7.7679e-05-0.0042917i,-0.00023073-0.0055962i,-0.00097965-0.0081553i,-0.0018086-0.0071052i,-0.0024719-0.0039802i,-0.0024163-0.0024477i,-0.0027193-0.0020487i,-0.002193-0.0014712i,-0.0010887+0.00014076i,-0.00041165+0.0016683i,-0.00010945+0.0024203i,0.00048811+0.0022689i,0.0005734+0.0012646i,-0.00012242+0.0005053i,-0.00078694+0.00012335i,-0.001369+0.00056642i,-0.0011705+0.0011895i,-0.00082891+0.00047173i,-0.0012297+0.00025555i,-0.0011972+0.0013252i,-0.00015416+0.0018185i,0.00064266+0.00069901i,0.00073435-0.00014403i
0.0034826+0.0051605i,0.0042044+0.0062719i,0.0046316+0.0063243i,0.0028539+0.0028717i,0.00059889-0.00132i,-0.0015946-0.0030001i,-0.0023692-0.0016218i,-0.00068122+0.000212i,0.001492+0.0013983i,0.0021399+0.00137i,0.0016863+0.00057771i,0.0011879-0.00018361i,-2.294e-05-0.00030381i,-0.0020359-0.00027698i,-0.0020566-0.00045103i,-0.0014014-0.00044341i,-0.0015754-0.00073164i,-0.001488-0.00037357i,-0.0017479+0.00034808i,-0.0017168-0.00019476i,-0.00082673-0.00017726i,-0.00011561+0.000852i,0.00018857+0.00065559i
-0.002407-0.0015633i,-0.0049741-0.0011712i,-0.0046726-0.0023554i,-0.0027538-0.0028219i,-0.0016591-0.0023997i,-0.0011592-0.00063297i,-0.0013942+0.0015078i,-0.00059644+0.0018629i,0.0010032+0.0003764i,0.0019487-0.002213i,0.0020068-0.0038676i,0.00082005-0.0030835i,-0.00027018-0.0018529i,-0.00040944-2.283e-05i,0.00029396+0.0011186i,0.0013384-0.00018814i,0.0012462-0.0017942i,0.00072174-0.002382i,0.00067559-0.0023119i,0.0015098-0.0018961i,0.0021645-0.0010253i,0.0014917-0.00021261i,0.00039435+0.00042223i
0.00073864-0.0012381i,-0.0003368-0.0026292i,-0.0011364-0.00090611i,-0.0010572-6.1636e-05i,-0.00027852-0.0016195i,-6.2139e-05-0.0015835i,0.00053814+0.0010953i,0.00040058+0.0018033i,-0.0011302-0.00050295i,-0.0021057-0.0026184i,-0.0013498-0.0026185i,2.3764e-06-0.0016474i,0.0002495+0.00021153i,0.00020541+0.001732i,0.00092207+0.0013007i,0.0011877+0.00069964i,0.00089251+0.00083458i,0.0012945+0.00060705i,0.0024408+0.00025582i,0.0027844-0.00067512i,0.001913-0.0013813i,0.00021882-0.0012732i,-0.00085779-0.0005088i
-0.00043599+0.0018538i,0.00092645+0.0024909i,0.00071378+0.0015844i,1.7981e-05-0.00051006i,-0.00069252-0.0029124i,-0.0012115-0.0044444i,-0.00053141-0.0037365i,-0.00075841-0.0021384i,-0.0021764-0.00073715i,-0.0028201+0.00041904i,-0.0026499+0.00093986i,-0.0014865+0.00066659i,0.00021911+0.00022751i,0.00042179-0.00032951i,-1.1912e-05-0.00038636i,-0.00052235+0.00016072i,-0.00042603+0.00063512i,0.00090633+0.0013643i,0.0009301+0.0019909i,-9.3632e-05+0.0013308i,0.00010836+0.00027236i,0.00032301-0.00045428i,-0.0002516-0.00068906i
0.00049669+0.00038229i,-0.00028224+0.0026305i,-0.00077919+0.0029511i,-0.00062673+0.002028i,-0.0004862-0.00014356i,-0.00062999-0.0015178i,9.5747e-05-0.0022946i,0.0011334-0.0013822i,0.00049399+0.0014066i,-0.0010845+0.0037472i,-0.001333+0.0037127i,-0.0012312+0.0019169i,-0.00088296-0.00022509i,0.00049566-0.0013567i,0.00073036-0.0010323i,-8.6089e-05-0.00010948i,-0.0005669+0.00054447i,-0.00031918+0.0010574i,-0.00074996+0.0010235i,-0.0017725+0.00049037i,-0.0015367+9.1206e-05i,0.00023799-0.00044155i,0.0012982-0.00027786i
-0.0033816+0.0017368i,-0.0043892+0.0011354i,-0.0022078+0.0010514i,0.001121-0.00092113i,0.0028068-0.0040949i,0.0020151-0.0049806i,0.00096037-0.0034789i,0.0018423-0.0013093i,0.0037965+0.0008167i,0.0037452+0.0016581i,0.0026168+0.00096266i,0.0017246+0.00040096i,0.0002564-0.0005026i,-0.0007735-0.00068023i,-0.00060879-0.00015371i,0.00048628-0.00018076i,0.0014013-0.00040736i,0.00083414-0.00048836i,-0.00037181-0.00017336i,-0.00082774+4.1732e-05i,-0.00053717+0.00043411i,-4.9517e-05+0.00071962i,0.00028966+0.00055102i
0.0023015-0.0044095i,0.0015766-0.0052382i,-0.00046339-0.0044727i,-0.0019657-0.0031943i,-0.0017362-0.003045i,-0.0020833-0.0023786i,-0.0036038-0.0002396i,-0.0033016-0.00027838i,-0.0012961-0.002142i,7.4878e-05-0.0027724i,0.0011283-0.0021615i,0.0011697-0.0015387i,-0.00053892-0.00050195i,-0.0016255+0.00085642i,-0.0011158+0.0013773i,0.00021928+0.0006771i,0.00079594-0.0013274i,0.00078584-0.0023324i,0.0012339-0.0017867i,0.001187-0.0015855i,0.00098508-0.001041i,0.00020452-0.00026255i,-0.00082338+8.2777e-05i
0.0018491+0.00144i,0.0019396+0.00036531i,-0.00017935-0.0011104i,-0.0022343-0.0019865i,-0.0030159-0.0023759i,-0.0033637-0.0021709i,-0.0034553-0.0010226i,-0.0038483-0.0010828i,-0.0036532-0.0032417i,-0.0024463-0.0046095i,-0.00069013-0.0028285i,-0.00088319-0.00044198i,-0.0018188+0.00079984i,-0.0011127+0.0014147i,0.00010072+0.00071268i,0.0007998-0.00095547i,0.00035895-0.0013538i,0.00022595-0.001487i,0.0013779-0.0010475i,0.0014408+0.00017646i,7.7989e-05+4.7597e-05i,-0.0010867-0.0011386i,-0.001235-0.0016118i
