-0.0054303+0.00030285i,-0.0043747+0.0016084i,-0.0040722+0.0030497i,-0.0016764+0.0026278i,0.00081498+0.0020866i,0.0013317+0.0013627i,0.00087133+0.001058i,0.00060364+0.0012146i,0.00094081+0.0007576i,0.0010345-0.00018098i,0.00097388-0.00056811i,0.00062026-0.00056178i,0.00025421-0.00094551i,0.00075673-0.0023232i,0.0016842-0.0030143i,0.001697-0.0018809i,0.0012576-0.00071081i,0.001172-0.00024503i,0.00046557-0.00031418i,-0.00012458-0.00034454i,-0.00011174-0.00018942i,0.00027589-0.00013457i,0.00059991+0.00023451i
0.0014927-0.00079374i,0.0015749-0.0012535i,0.0016195-0.0015383i,0.0010708-0.0015816i,0.00060443-0.0020216i,-0.00013078-0.001787i,0.00015218-0.0013499i,0.00083223-0.0004123i,0.0012826+0.00091492i,0.00092696+0.00085851i,0.00036661+5.618e-05i,-1.599e-05-0.00038235i,-0.00033141+0.00036657i,-0.0007006+0.00095284i,-0.00066023+0.00080405i,-0.00014192+0.00042171i,-4.7574e-05-3.7051e-05i,-0.00077916-0.00082022i,-0.0010198-0.00088924i,1.8768e-05+7.1718e-05i,0.00052292+0.00021393i,-0.00028791+0.00022442i,-0.00069194+0.00057357i
-0.0005868-0.00091824i,-0.001446-0.00073628i,-0.0013843-0.00028557i,-0.00084694+0.00043945i,-0.00014352+0.0010631i,0.00074162+0.0010176i,0.00093162-0.00023917i,-4.7246e-05-0.0016647i,-0.00077775-0.0011179i,-0.0009524+0.00017006i,-0.001219+0.00080441i,-0.00045352+0.00082646i,-9.6774e-05+5.0441e-05i,4.5361e-05-0.00014837i,0.00014163+0.00079634i,-0.000541+0.0010474i,-0.0011647+0.00062444i,-0.00043679-0.00045454i,0.0007808-0.00090397i,0.00069129-0.00019174i,-0.00023731+0.00026081i,-0.00040891+1.0835e-05i,4.068e-05+0.00014504i
-0.00050191+0.00098872i,-0.0010755+0.00096964i,-0.0012375+0.0006695i,-0.00022512-2.2801e-05i,0.0015346-0.0012926i,0.0014905-0.002252i,9.8174e-05-0.0016391i,-0.00024521-0.00080787i,-0.00030418+1.1215e-05i,-0.00034749+0.00033682i,-0.0004282-5.0959e-07i,-0.00023939+2.3895e-05i,-0.00025441+0.00069535i,-0.0010565+0.000426i,-0.00083051-0.00067825i,-0.00017074-0.00066289i,-0.00021475-0.00017415i,-0.00058954-0.00069242i,-0.00043488-0.0012345i,-0.00013881-0.0003138i,-5.8411e-05+0.00081793i,-0.00028943+0.00044637i,-0.00011788-0.00012921i
0.0015878+0.00043453i,0.0022668-0.00038062i,0.002642+0.00033171i,0.001906-1.0561e-06i,8.7458e-05-0.00083726i,-0.00059086-0.00034167i,-0.00051038-0.00026257i,-0.00031818+0.00027027i,-5.2626e-05+0.00079262i,-0.00038648+0.00041405i,-0.0006499+0.00075657i,-0.00029015+0.00083041i,-0.0001588+0.00026732i,-0.00059647+0.00027864i,-0.00077983+0.0001187i,-0.0011141+0.00011964i,-0.00083024-0.00043762i,-0.00051832-0.0011599i,-0.00077956-0.00038064i,-0.00040048+0.00040628i,6.801e-05-0.0007212i,9.7745e-05-0.0010319i,-0.00066197-4.9369e-05i
0.0010819-0.0009103i,0.00097338-0.00075908i,0.00057888-0.0011889i,0.00088529-0.00091022i,0.0010691-0.00048051i,0.00084411-0.00097923i,0.00026793-0.0017887i,-2.1179e-06-0.0010814i,0.0004702-0.00010282i,0.00054556-0.00011108i,0.0001283+0.00043907i,7.8737e-05+0.00072454i,3.8016e-05+0.00050313i,-0.00044+0.0007703i,0.00013413+0.00075753i,0.0013079+0.0002354i,0.0012895+0.00021218i,0.00036414+0.00053157i,-0.00057809+5.2496e-05i,-5.8902e-05-0.00037033i,0.00039015-0.0002846i,0.00056864-2.527e-05i,0.00030284-8.5284e-05i
-0.00089601+0.00038163i,0.0007212+0.001183i,0.0014679+0.0011164i,0.001176+0.001228i,0.00058292+3.2308e-05i,0.00021704-0.0014927i,0.00053233-0.002003i,0.00027942-0.0015809i,0.00028458-0.00077785i,-0.00012243+7.1783e-05i,-0.00052161+0.0010129i,-0.00018531+0.00065047i,-0.00015837-0.00040252i,-0.00058788-0.00023504i,-0.00072819+0.00028214i,-0.00019973+9.9616e-05i,0.00030617-0.0002053i,0.0005938-0.00029675i,0.00071015+0.00031945i,0.00054281+0.00030996i,0.0004174+0.00037748i,0.00036945+0.0010058i,0.00074838+0.00070308i
-0.00062977-0.00081913i,-0.0010964-0.00037534i,-0.00047744-7.3443e-05i,0.00053613+0.00019874i,0.0012743+0.00031504i,0.00089007-0.0003916i,0.00090377-0.0011808i,0.0012329-0.0013745i,0.00057604-0.00098721i,-8.9533e-05+2.7747e-05i,-0.00031894+0.000462i,-2.6939e-06+0.00034391i,0.00012129+0.00070906i,9.2014e-05+0.00065062i,0.00071976+0.00020298i,0.00075892-0.00021325i,6.3299e-05-7.1802e-05i,-7.3554e-05+7.9612e-05i,4.1325e-05-0.0009038i,0.00022399-0.00082959i,8.3743e-05-0.0001115i,0.00024531-0.00056054i,0.00016898-0.0004794i
0.0023827+0.0011301i,0.0023522+0.00061172i,0.0025407+0.00040954i,0.0026789-0.0002365i,0.001672-0.00035294i,0.0012423-0.00026324i,0.00070431-0.00044487i,-0.00039042+2.1404e-05i,-0.00035977+0.00016363i,-0.00028+0.00016139i,-0.00013338+0.00031666i,-0.00041778+3.8353e-05i,-0.00073924-0.00058407i,-0.00070872-0.00052355i,-0.0010343-0.00021421i,-0.0005627+3.3179e-05i,-9.0604e-05-5.5834e-06i,-0.00026593-0.00012819i,-0.00030564-0.00018276i,-0.00051844-0.00023979i,-0.0002986+0.0003755i,0.00036587+0.00070909i,0.00014606+0.00056376i
0.00060183-0.00059128i,0.0014725+0.00019672i,0.002019-0.00017761i,0.0016675-0.0007712i,0.00099265-0.00086518i,0.00041277-0.001608i,-4.5453e-05-0.0014613i,3.256e-05-0.00062263i,0.00025015-0.0004922i,9.1852e-05-0.00020857i,-0.00039012+0.00011951i,-0.00013542+0.00028645i,-0.00058835+0.00050319i,-0.0013552+0.00052528i,-0.0011228-0.00028249i,-0.00040918-0.00052024i,0.00014384-0.00019442i,-0.00028909-0.00020397i,-0.00077295-0.00054063i,-0.00057604-0.00081209i,3.0571e-05-0.00048056i,0.000257-0.00036088i,-0.00020992-0.00023726i
-0.001209-0.00062418i,-0.00025607+0.0001218i,-0.0005477+0.0010438i,-0.0007991+0.00091964i,-0.0006141+0.00079929i,0.00045599+0.00013608i,0.00099735-0.00072371i,0.00038262-0.0010258i,-0.00011547-0.00028678i,-0.0002824-0.00014324i,-0.00078191-0.0010054i,-0.0004098-0.00065539i,-9.6059e-06-0.00027427i,0.00026595-0.0010198i,0.0011374-0.0010511i,0.001359+0.0003489i,0.00095832+0.00081385i,-7.6399e-05+0.0003838i,-0.00088295-0.00022778i,-0.00077126-0.001378i,-9.3932e-05-0.0013287i,0.00034072-0.0001394i,-0.00014657+8.8738e-05i
