0.00050008+0.00094057i,0.00042658-0.0010545i,-3.8593e-05-0.0018037i,-0.00019138-0.0024451i,-0.00077208-0.0025046i,-0.0020565-0.0010805i,-0.0021215-0.00029491i,-0.00072919+0.00073797i,0.00059606+0.0010246i,0.00012267+0.00025477i,0.0002078+9.0834e-05i,0.00025842+0.00046768i,-0.00068898+0.00096804i,-0.00018002+0.0010266i,0.00062619+0.00056817i,0.00066068-0.00024047i,0.00046306-0.00039609i,0.00046699-0.00036723i,0.00027248-0.00046697i,-0.00035606-0.00060037i,-0.00083657-0.00091429i,-0.00046554-0.00060748i,2.5944e-05+0.00033919i
-8.0589e-05-0.0026019i,-0.00056941-0.0024165i,-0.0011775-0.002468i,-0.0011135-0.0016633i,-0.00096903-0.0012927i,-0.00066514-0.001027i,-0.0011023-0.0013954i,-0.001838-0.0019368i,-0.0023479-0.0017566i,-0.0023683-0.00079128i,-0.0021111+0.00038018i,-0.00078505+0.00066264i,0.0010473-0.00013419i,0.0018119-0.00075034i,0.0015431-6.9836e-05i,0.0011845+0.00086044i,0.00099635+0.00090358i,0.00086323+0.00051133i,0.00041438-6.5508e-05i,-5.0301e-05-0.00045721i,-2.7149e-05-0.00024435i,-0.00012919-7.7156e-05i,-0.00065281-0.00051576i
0.00021634-0.00067455i,-0.00032858-0.0012573i,-0.00011781-0.00082503i,-0.0004752+0.00022963i,-0.00062426+0.00055236i,-0.00063307+0.00088676i,-0.0012898-1.8516e-05i,-0.0020689-0.00083522i,-0.0028159-0.00050223i,-0.0027394+0.00017138i,-0.0014259+0.00052805i,0.00013808+0.00020208i,0.00068332+0.00052968i,0.00094078+0.00094347i,0.0017681+0.00042133i,0.0011624+0.00054341i,0.00021423+0.00066032i,0.00054264+0.00058499i,0.00043865+0.000205i,-0.00013677-0.00015594i,-6.2408e-05+0.00079362i,0.00017835+0.0010896i,0.00011306+0.00023439i
-0.0011418-0.00024337i,-0.00046489+3.4101e-05i,-0.0018253+0.00078868i,-0.0017303+0.0014665i,-0.00042226+0.0013968i,0.00076979+0.0007834i,0.00029611-0.00027717i,-0.00034707-0.00074713i,-0.00053752-0.00089232i,-0.0006919-0.00049326i,-0.00045465+0.00071149i,6.2613e-05+0.00061909i,0.00039013-0.00027356i,-0.00023281-0.00045817i,-0.00065486-0.00043828i,0.00021706+0.00012503i,0.001022+0.00061728i,0.00073913+0.00040535i,0.00023532-0.00017705i,-0.00020686-0.00025173i,-0.00030095-0.00015688i,-0.0008076-0.00027244i,-0.00064699+6.4065e-05i
-6.1675e-05-7.7691e-05i,0.00053482-0.00097959i,0.00096848-0.00035114i,0.00065552+0.00029164i,-0.00088992-0.00042649i,-0.0016265-0.00090401i,-0.0019696-0.00088929i,-0.0023455-0.00069413i,-0.0018848+4.3707e-05i,-0.0018117+0.00029452i,-0.0015764+5.1526e-06i,-0.00055282+0.00017559i,9.3405e-05+0.00091699i,3.5667e-05+0.0012292i,0.00028259+0.001127i,0.00065677+0.00078221i,0.00075577-0.00036691i,0.00056087-0.00088605i,-2.9915e-05-0.00046409i,-0.0005515-0.00011726i,-0.00060717-0.00021989i,-0.0007337-0.00025653i,-0.00046742-0.00025289i
0.00033394-0.00035753i,-0.00074005-0.0011529i,-0.0010748-0.00071003i,-0.0010184+0.00055524i,-0.0008478+0.00040573i,-0.00076265-0.00088272i,-0.00077565-0.0014593i,-0.00082354-0.00099969i,-0.0013012-0.00045734i,-0.0013071+0.0003286i,-0.0012172+0.001043i,-0.0007263+0.00080566i,-0.00014587+0.00069786i,-0.00011588+0.00042723i,0.00014859-0.00069129i,0.00038082-0.00055046i,0.00011123+0.00057453i,-0.00030094+0.00095729i,-4.0569e-06+0.00010896i,0.00034358+3.5885e-05i,-0.00010328-0.00026131i,-0.00033622-0.001059i,-0.0007179-0.00066974i
0.00077945+0.00081442i,0.0012666+0.00077902i,0.00056222+0.00060392i,0.00094332+0.00092464i,0.001365+0.00058288i,0.00070387-0.00024701i,-0.00045632-0.00036863i,-0.0011513-0.0001977i,-0.00094743-0.00068861i,-0.0006927-0.00069372i,-0.00036679+0.00035158i,0.00011113+0.0012309i,9.9455e-05+0.00087856i,-0.00017919-0.00018143i,0.00021398-0.00058774i,0.00054204+0.00024152i,0.00053144+0.00058489i,0.00038243-0.00052559i,5.0048e-05-0.00094981i,-0.00072583-0.000826i,-0.00071872-0.00055271i,-0.00050728-0.00035636i,-0.00065226-0.00021618i
0.0021834-0.0010266i,0.0014437+0.00015419i,0.0016473-0.00015223i,0.0015587-0.00050086i,-0.00032063-5.5959e-05i,-0.0020455+2.6557e-05i,-0.0019736-0.00072672i,-0.001111-0.00081351i,-0.0011818+0.00049753i,-0.0017039+0.0013138i,-0.0015061+0.0010397i,-0.00058617+0.00096687i,0.00023055+0.00064748i,0.0012669+0.00059877i,0.0011392+0.00025628i,0.00024035-0.00033795i,0.00044655+0.00029136i,0.0014018+0.00036662i,0.00099607-0.00068097i,6.6007e-05-9.4107e-05i,-0.00032431+0.0010858i,-0.00081558+0.00062914i,-0.00043685-0.00028078i
-0.0001867+0.00021195i,0.0001806+0.0001213i,-0.00067375+0.00017617i,-0.0013016+0.00065708i,-0.0014614+0.00055713i,-0.00088836-0.00046592i,-0.00056371-0.0010116i,-0.0011766-0.00057035i,-0.0013757-0.00057572i,-0.0014081-0.00069129i,-0.0011662+0.00041513i,0.0001052+0.00088076i,0.0016074+0.00015114i,0.0020746-0.00038586i,0.0020087-0.00034162i,0.0017337-0.00060416i,0.0012389-0.00055159i,0.00012158-0.00017869i,-0.00017933+0.00013342i,0.00023914+0.00021513i,9.0945e-05-0.00020236i,0.00022639-0.00024594i,0.00013034+0.00037551i
-0.0020097+0.0010411i,-0.0019283+0.00091376i,-0.0023479+0.0019634i,-0.00079661+0.0021023i,0.0013763+0.0012068i,0.0017074-0.00043288i,0.00066747-0.0016135i,-0.00036089-0.0015623i,-0.0010917-0.0011713i,-0.0016467-5.8434e-05i,-0.001616+0.0012584i,-0.00095931+0.0011637i,-0.00015705+0.00010185i,0.00051101-0.0003573i,0.00058583-0.00030098i,0.00056962+0.00028278i,0.00081359+0.0002394i,0.00090277+0.00011892i,0.00029667+0.00015592i,-0.00065328+0.00020441i,-0.00037031+1.7784e-05i,-0.00032852+7.2345e-05i,-0.00055551+0.0005508i
-4.4408e-05-0.0015681i,0.00020961-0.0019511i,-4.7495e-05-0.0022286i,-0.0014011-0.0013986i,-0.0024598-0.00093346i,-0.0014786-0.0010358i,0.00032619-0.00061253i,0.0004741-0.00060591i,-0.00027774-0.00033272i,-0.0012167+7.5792e-05i,-0.00093931+0.00058704i,0.0001582+0.00082919i,0.00078432+0.00033644i,0.00065833+0.00029509i,0.00021913+5.8405e-05i,0.00010427-0.0001913i,0.00027622-0.00035926i,0.0002765-4.8318e-05i,-0.00030938+0.00035543i,-0.00039684+0.00014505i,4.155e-05+6.3582e-06i,0.00040864-0.00033571i,0.00057169-0.00043406i
-0.00013638+0.00073057i,0.00048008-9.0169e-05i,0.00045239-0.00081539i,0.00061773-0.00079548i,0.00095939+0.00016369i,0.00026435-0.0003859i,-0.00094918-0.0012789i,-0.00084663-0.0012007i,-0.00081238-0.0011402i,-0.0014408-0.00055464i,-0.00089155+0.00091712i,0.00019218+0.0015077i,0.00036188+0.0014518i,-6.0878e-06+0.00065133i,-0.00026271+0.00039679i,-0.00022899+0.00098914i,0.00095236+0.0010351i,0.0012934+0.00016444i,0.00083948-0.00080456i,0.00063521-0.00042727i,-0.00010611-3.9503e-05i,-0.00044998-4.6263e-05i,-7.1445e-05+0.00017092i
0.0016042+0.0011932i,0.0016815+0.0010193i,0.0023461+0.00033772i,0.0025926+0.00020937i,0.001296+0.00014099i,0.00032655-0.00069623i,-0.00015062-0.00084101i,-0.0013403-0.00084996i,-0.0015252-0.0015701i,-0.00086095-0.0014569i,-0.00014538-0.00018297i,0.00020701+0.0011797i,0.00013824+0.0010906i,0.00062025-0.00031152i,0.0010533-0.00061495i,0.00055348+0.00052356i,0.00062059+0.00069892i,0.00080646-4.8926e-05i,0.00075836+7.7546e-05i,-0.00013405+0.00010501i,-0.00060797-0.00040297i,0.00036334-0.00032023i,0.00018561-0.00022491i
-0.0012333+0.0006729i,-0.00061061+0.0009311i,2.7848e-05+0.0016239i,0.00036036+0.0013614i,0.00053946+0.0015073i,0.00010363+0.00046973i,-0.0012186-0.0011799i,-0.0018828-0.0016436i,-0.0014836-0.0016146i,-0.001794-0.00079216i,-0.0015245-6.1716e-05i,-0.00032751+7.0061e-05i,0.00047399+5.414e-05i,0.00055016+0.00078719i,0.00076019+0.0015114i,-1.2624e-05+0.0011271i,-0.00030215+0.00065173i,0.00013299+8.0779e-05i,-5.172e-05-0.00034155i,-0.00022976-0.00025732i,-4.9511e-05+8.0452e-06i,-0.00036492+0.00044837i,-0.00063695+0.00016465i
-0.001092-0.0015039i,-0.0014021-0.00017215i,-0.0021067+0.0001404i,-0.0019415+0.00059998i,-0.00084177+0.00047559i,7.3846e-05+3.9753e-05i,-0.00015251-5.785e-05i,-0.00085701-0.00053876i,-0.00090084-0.00048673i,-0.00097235+0.00038116i,-0.00091768+0.0012337i,-0.00044487+0.0011828i,-0.00067663-9.9058e-05i,-0.0010281-0.00054722i,-0.00078195+0.00036239i,0.00026668+0.00010713i,0.0010768-0.00024045i,0.00063782-0.00038965i,-3.5111e-06-0.00069062i,-0.00050682-0.00066849i,-0.0014756-0.00045257i,-0.0010506-9.2968e-05i,0.00051566+0.00056851i
-0.00038101-0.0014322i,-0.00047026-0.00029753i,-0.00079925-0.00031161i,-0.00069781+0.0004567i,-0.0002868+0.0011625i,-3.326e-05+0.00049091i,-0.00062269-0.00016743i,-0.0012431-0.00023705i,-0.0013817-0.00069505i,-0.001274-0.0011338i,-0.00094994-0.00038282i,-0.00056286+0.00085784i,-2.3063e-05+0.0011354i,0.00045556+0.00048838i,0.00054361+0.00026991i,0.0003941+0.00052685i,0.0003947+0.00085005i,0.00035285+0.0012386i,0.00062511+0.0011863i,8.5179e-05+0.00085318i,-0.00024259+0.00024084i,0.00032161-0.00035922i,0.00010885+0.0001401i
-0.0012263-0.0011199i,-0.0010171-0.0010193i,-0.00066221-0.00087822i,-0.0014286+0.00016917i,-0.0015373-0.00019688i,-0.00103-0.00093127i,-0.0010273-0.00050684i,-0.0013442-0.00067597i,-0.0011017-0.00085531i,-0.00099035-0.0001356i,-0.00065832+0.00039676i,8.066e-05+0.00067384i,0.00042064+0.00093958i,0.00036233+0.00033678i,0.00032036-2.17e-05i,0.00050881+8.6453e-05i,0.0012951+0.00044623i,0.0012888+0.00088893i,-0.00046136+0.0011233i,-0.0010593+0.00041677i,7.2943e-06-0.00038597i,0.00028274-0.00065404i,0.00028959-0.0002768i
0.001146-0.0006594i,0.00094836-0.00018553i,0.00018555-0.00059996i,-0.00086306-0.00066205i,-0.0018134-0.0008091i,-0.0016334-0.00062277i,-0.0013946-0.00040082i,-0.0012484-0.0011724i,-0.00057554-0.0016152i,-0.0005697-0.0011019i,-0.00053152-8.574e-05i,0.00015178+0.00072772i,0.00042568+0.0008996i,0.0004919+0.0006676i,0.00075734+0.00097227i,0.00068733+0.00077954i,0.0003429+0.00053227i,0.0007078+0.00095553i,0.0012271+0.00028369i,0.00087953-0.00079369i,0.00035098-0.00089912i,8.0783e-05-0.00028433i,0.00011238-0.00010155i
0.00041154-0.00060762i,-0.00011346-0.00086045i,0.00016064-0.0011003i,-0.00026285-0.00067295i,-0.00067272-0.0007918i,-0.00043247-0.00077882i,-0.00025362-0.00078861i,-0.0005649-0.00042445i,-0.0011909-0.00016792i,-0.0011613-0.00042225i,-0.00037276+0.00017378i,0.00045478+0.0013176i,0.00065085+0.001131i,0.000284+0.00047606i,-0.00021023+0.00035351i,5.4011e-06+0.0001182i,5.4576e-05+9.8315e-05i,0.0003529+0.00064893i,0.00041301+0.00062937i,3.6158e-05-0.00029657i,0.00023235-0.0006908i,0.00029868-0.0006152i,3.3324e-05+0.00025434i
-0.0022389+0.0021709i,-0.00025505+0.0024103i,0.00057004+0.0016299i,0.00082661+0.0014846i,0.0011692+0.0017697i,0.00013946+0.00088168i,-0.00066536+0.00016893i,-0.00078629-4.9126e-05i,-0.00082828+0.00013678i,-0.00017551+0.00011972i,0.00027839-0.00012218i,0.0002502-0.00033852i,0.00017695-0.00054123i,9.0269e-05+0.000179i,-0.00012556+3.517e-05i,-0.00031352-0.00092571i,0.00055977-0.00039245i,0.00076778+0.00012949i,4.3817e-05+2.8375e-05i,-0.00019382+0.00039411i,-0.00053892+0.00056731i,-0.00061495+0.00012413i,0.00015964-3.2991e-05i
0.0010351-0.00099777i,0.00091555-0.0010043i,0.00083209-0.00048256i,0.00083709-4.7579e-05i,-2.8093e-05+0.00025298i,-6.1622e-05-3.1959e-05i,7.4992e-05-0.00061929i,-0.00026901-0.0012155i,-0.00059026-0.0011984i,-0.0011851-0.00030542i,-0.00045938+0.00033348i,0.0010899+3.2353e-05i,0.00092965+8.0275e-05i,0.0003276+4.301e-05i,0.00021205-0.00038216i,-0.00053047-0.0001818i,-0.00070363-4.9973e-05i,-3.3778e-05-0.00062476i,0.00032861-0.00096023i,0.00043107-0.00062387i,0.00058211-0.00074003i,0.00066358-0.0011295i,-5.0979e-06-0.00063349i
-0.001242-0.00073684i,-0.00075821-0.00057084i,-0.00050024+0.0010103i,-0.00071763+0.0013i,-0.00052852+0.00086422i,-0.00076104-1.9921e-05i,-0.0015537-0.00027087i,-0.0012675-0.00011874i,-0.00054832+0.00015375i,-0.00079908+0.00072901i,-0.0014014+0.00046401i,-0.00071172+0.00015654i,-4.7005e-05+6.6245e-05i,-0.00044854+0.00061425i,-0.00043586+0.00064174i,-0.00021241-0.00035411i,-2.4343e-05-6.4617e-05i,0.0001963+6.7702e-05i,3.3215e-05-0.00056598i,-0.00010232-0.00033768i,0.00029819+0.00015348i,0.00031164+0.00037033i,0.00043177+0.00060546i
-0.00062003-0.00012344i,-0.00024108+0.0010011i,-0.00017099+0.0018263i,-0.00054218+0.0013467i,-0.0006305-7.8924e-05i,-0.00046386-0.0010275i,-0.00063501-0.0015886i,-0.00036899-0.0014759i,5.8154e-05-0.00089909i,-0.0001613-0.0003971i,-0.00070187+0.00030698i,-0.00034124+3.6344e-05i,0.00054873-0.00019666i,0.0015968-0.0002685i,0.0015301-0.00054933i,0.00025718+0.00031043i,7.1966e-05+0.00069747i,0.00025584-0.00010582i,-0.00048321+8.0503e-05i,-0.00026771+0.00059291i,-0.00039765+0.00040079i,-0.00081193+0.00010633i,-0.00014415+0.00038022i
-7.8379e-05-0.00030597i,0.00023509-0.00021557i,-0.00023055+0.00019538i,0.0001177-2.742e-05i,0.0011332-0.00044664i,0.00094129-0.00027924i,0.00034073-0.00076416i,-0.00033798-0.001221i,-0.00077852-0.00095101i,-0.00063099-0.00030033i,-0.00087335+0.00020319i,-0.00080721+0.00052844i,-0.00022636+0.0011997i,0.00022392+0.0010913i,0.00063895+0.00052699i,0.00091634-4.7568e-05i,0.001055-0.00040859i,0.0010744-0.00052234i,0.00043517-0.00039684i,6.5181e-05-0.00032347i,0.00023238-0.00040749i,0.00088478-0.00037978i,0.00061803+0.00071378i
-0.0013416-0.0032518i,-0.0019295-0.0023979i,-0.0026657-0.002075i,-0.0029427+0.00028083i,-0.0022896+0.0020768i,-0.00069797+0.00091288i,0.00038443-0.0008776i,0.00013055-0.0002699i,-0.00097151+0.00070552i,-0.0012722+0.00026014i,-0.00062528+0.00065471i,0.00052348+0.0014811i,0.0013055+0.001272i,0.0011816+0.00028993i,0.00095903-0.0007707i,0.00034965-0.00077847i,-0.00037153-0.00021017i,-0.00057379-0.00020457i,-0.00046715+2.6226e-05i,-0.00055497+0.00033377i,-0.0006107+0.00050167i,-0.00070974+0.00022127i,-0.00090154-0.00074696i
-0.00017613+0.0006208i,0.00040895-7.9555e-06i,7.9254e-05+5.7987e-05i,-0.00073432+5.5392e-05i,-0.00070221-0.00070067i,-0.00056836-0.00094015i,-0.00045586-0.00093121i,-0.00037891-0.0015193i,-0.00053287-0.0012694i,-0.00095816-0.00016884i,-0.0013934+0.00093239i,-0.00082202+0.0010684i,0.00045735+0.00043036i,0.00090118+0.00037557i,0.00036367+0.001169i,0.00049088+0.0010658i,0.0017583+0.00071567i,0.0019952+0.00042584i,0.0006989+0.0001423i,0.0002029-0.00050047i,0.0007832-0.0012075i,0.00060371-0.00077117i,0.00039664-0.00036314i
-0.0011598+0.00060044i,-0.0006051+0.00083743i,-6.282e-06+0.0010624i,-7.7434e-05+0.0010876i,0.00015871+0.00036404i,0.0004397-0.00082279i,0.00021085-0.0015139i,4.4588e-05-0.0015841i,-0.00015647-0.00091254i,-0.00073328+0.00019137i,-0.00060545+0.00019074i,1.5375e-05+4.369e-05i,0.00025634+0.00050914i,0.00016606+0.00044942i,0.00031191+0.00026749i,0.00041764+0.00046484i,0.00034016+0.00033307i,0.00069955+0.00046095i,0.00049225+0.00054739i,-1.9007e-06+0.00049106i,-2.1357e-05+0.00045104i,-0.00043344+0.00023687i,-0.00088477+0.0003751i
-0.00054029+0.001349i,0.00019774+0.0017495i,-0.00012563+0.0014972i,-0.00011098+0.0010659i,-9.9389e-05+0.00058866i,-0.00044756-4.5976e-05i,-0.00085095-0.00067987i,-0.0010931-0.00073207i,-0.00030033-7.8079e-05i,0.00044112+0.00098377i,-6.2494e-05+0.0013138i,0.00080098+0.00021995i,0.0014343-0.00032394i,0.00072035-0.00022287i,0.00022791-0.00018017i,1.9324e-05+3.8526e-05i,0.00057727+0.00020233i,0.00072259+0.0005542i,-0.00022789+0.00056152i,-0.00079655-0.00010156i,-0.00066144-0.00040573i,-0.00042703-0.00055829i,-0.00069593-0.00039143i
-0.0002081+6.2212e-07i,-0.0006307-0.00079822i,-0.000551+8.305e-05i,0.0010174+0.00048862i,0.0011231+3.9552e-05i,0.00018122-0.00060774i,-0.00010079-0.00095639i,-0.00034655-0.0012403i,-0.00053869-0.0018293i,-0.00074691-0.00056371i,-0.00043014+0.0010778i,0.00035093+0.00073534i,-0.0001851+7.5294e-05i,-0.00093076-0.00017564i,3.2345e-05-0.00044438i,0.0001792-0.00095544i,-0.0009559-0.00085018i,-0.00083108-0.00029066i,-3.4605e-05-0.00025989i,0.00073329+3.8317e-05i,0.00074572+0.00058573i,0.00052489+0.00072952i,0.00048198+0.00077269i
-0.00077482-0.0015485i,-0.001472-0.0012821i,-0.0022608-0.0014514i,-0.0022806-0.00040672i,-0.0017576+0.00069791i,-0.00083961+0.00090679i,-0.00058783+0.00017791i,-0.00090621-0.00059642i,-0.0010471-0.0010877i,-0.0013026-0.0010447i,-0.0008194-0.00033799i,-0.00017943+0.00064519i,0.00052343+0.0011512i,0.0008178+0.001424i,-0.00026158+0.00068889i,4.0252e-05-0.00022531i,0.00095436+0.00046303i,0.00065065+0.00066842i,-0.00015148-1.1029e-05i,-0.00058837-0.00026832i,-0.00078295-0.00084272i,-0.00067281-0.00099204i,-0.00050532-0.00012159i
0.00077369-0.00048069i,0.00091186-0.0024214i,0.00073047-0.0028489i,3.5796e-05-0.0020116i,2.1051e-05-0.0013325i,-0.00022466-0.0013225i,-0.00095254-0.0015277i,-0.0013875-0.0012347i,-0.0013991-0.00039974i,-0.0017094+0.00048217i,-0.00094884+0.0015142i,-0.00029791+0.001695i,-0.0003105+0.00078673i,-0.00014426+0.00048343i,0.00047731+0.00021181i,0.0014502+0.00053773i,0.0010123+0.00069691i,-2.1551e-05-5.1713e-05i,-0.00035508-0.00090026i,0.0001283-0.00080812i,-2.8502e-05-0.00027762i,-0.0004723+0.00059641i,-0.00080729+0.0015011i
0.00091526+0.0012595i,0.0017126+0.00099332i,0.0025509+0.0012235i,0.0019457+0.0010663i,0.00050394+0.00063762i,-0.00010374-0.00030864i,-0.00035057-0.00077928i,-0.00087753-0.00018501i,-0.0010535-0.00068377i,-0.00092801-0.0005948i,-0.00033186+0.00072241i,0.00030833+0.0018557i,0.00037176+0.0019491i,0.00061419+0.0011073i,0.00098858+0.00045875i,0.0014358-0.00018671i,0.0012241-0.00032327i,0.00087882-0.00072042i,0.00060164-0.0008476i,8.2839e-06-0.00071049i,-0.00045581-8.0313e-05i,-0.00031328+0.00073143i,0.00059487+0.00032395i
