-0.0022027+0.00011286i,-0.0014401+0.00017063i,-0.00042872-8.9628e-05i,-8.689e-05+0.00010799i,-0.00096487+0.00073874i,-0.00097074+0.00096384i,-0.00048275+0.00048662i,-0.00018627-0.00030533i,-0.0006903+0.00025942i,-0.00029257+0.0011568i,0.00021312+0.00091291i,-0.00019619+0.00058237i,0.00017633+7.8867e-05i,0.0003277-1.0252e-05i,0.00029002+0.00029006i,0.00036703+0.0007242i,0.00023659+0.00073746i,-0.00013555+0.00043061i,-0.00096382+3.0783e-05i,-0.0010011+0.00031073i,-0.00037355+0.00025221i,-1.1582e-05-0.00024774i,-1.968e-05-0.00039109i
0.00029804+0.0019641i,0.00056579+0.00077385i,0.00025167+8.9125e-05i,2.9604e-05+0.00089585i,0.0003045+0.00080834i,0.00056386-0.00065372i,-9.2828e-05-0.0011399i,-0.00037702-0.00068293i,-0.00036955-0.0003773i,-0.00034089-0.00043494i,-0.00016283-0.0003584i,0.00032182+9.4142e-05i,0.00065775+0.00013384i,0.00028186-0.00016074i,-0.00063467-0.00014873i,-0.00073471+0.00026342i,-0.00011158+0.00059632i,0.00011356+0.00033027i,-0.00067395-0.00044357i,-0.001218-0.0011618i,-0.00068117-0.00067381i,-0.00036946-0.00049085i,-0.00017329-0.000207i
0.0017269+0.00020002i,0.0012806+0.0010651i,0.00050221+0.00092305i,9.6104e-05+0.00061436i,0.0007938+0.00036514i,0.0010623+0.00021841i,5.2822e-05-0.00029585i,-0.00066624-0.00083072i,-0.0010761-0.00049474i,-0.0013736+0.00017626i,-0.00091503-0.00017429i,1.1126e-06-0.00015664i,0.00045141+0.00068109i,0.00054105+0.00076202i,0.0005717+0.00038531i,0.0003131+0.00034237i,0.00033788-0.00013613i,0.001023-0.00064787i,0.00071781-0.00062037i,-0.00035226-0.0002638i,-0.00065008+0.00028819i,7.1065e-05+0.0006094i,0.00065198+0.00042186i
-0.00076693+0.0019721i,0.00035909+0.0016157i,0.0013267+0.0013713i,0.0012597+0.001747i,0.00067687+0.001963i,0.00080808+0.00020123i,0.00030114-0.0014264i,-0.00037441-0.0013229i,-0.00013491-5.1451e-06i,-0.00024282+0.00077259i,-0.00034851+0.00023568i,0.00044986-0.00051782i,0.0009807-0.00071927i,0.00037237-0.00048754i,-0.00033803-0.00040888i,-0.00073938-0.00018679i,-0.00071266+0.0001655i,-0.00016306+0.00051411i,-0.00040254-6.6099e-05i,-0.00031051-0.00066293i,0.00047407-0.00028832i,0.00080313+0.00031473i,0.00060154+0.0003209i
0.00058761+0.0007926i,0.00015236-0.00040318i,-0.00060328-0.0017878i,-0.0017218-0.0015485i,-0.0019524-0.00074962i,-0.0019884+0.00040845i,-0.0017181+0.00041405i,-0.0012035-9.7015e-06i,-0.0014372-0.00066341i,-0.001967-0.00049713i,-0.0012509+0.00053724i,-0.00072974+0.0006048i,-0.0006807+0.00072611i,0.00022118+0.00089523i,0.00075216+0.00070686i,0.0009158+0.00020257i,0.00072474-0.0001382i,0.00045044+9.8786e-05i,0.00016004+0.00081045i,-0.00016789+0.0010767i,-0.00042311+0.00074805i,-0.00038957+0.0010822i,0.0001683+0.0011692i
0.00094669+0.00029098i,0.00044054+0.00042847i,0.00071925-0.0011284i,-6.1154e-05-0.0015381i,-0.0014973-0.00022248i,-0.001172+0.00070635i,0.0005237+0.00072821i,0.0011874+8.4714e-05i,0.00065789-0.0012135i,0.00033506-0.0011967i,0.0003511-0.00016393i,0.00059708+0.00025923i,0.00072473+0.00021924i,0.00024563-0.000108i,-0.00034859-0.00036826i,-0.00018489-1.5619e-05i,0.00023103+0.00065962i,-0.00022732+0.00010193i,-0.0010202-0.00036938i,-0.0015617-0.00010248i,-0.0012473+7.0873e-05i,-0.00050638+8.3831e-05i,-0.00019781+0.0002747i
-0.00037317+0.0010769i,-0.00010082+0.00089846i,-0.00048568+0.00036817i,-0.00038844+0.00018337i,0.0001119-0.00014254i,-2.7681e-05-0.00033608i,-0.00031104-0.0010734i,-0.0002402-0.0018115i,3.0014e-05-0.0012442i,-0.00054117-0.00057573i,-0.00088261-0.00038522i,-0.00060549-0.00024526i,-0.00049514-0.00069882i,5.4312e-05-0.0010971i,3.4178e-05-0.00064798i,-0.00048724+0.00015946i,-0.00050714+0.00030367i,0.00016792+0.00038402i,0.00029724+0.00027918i,-0.00014612-0.0010434i,-3.1435e-05-0.0010936i,0.00069768-0.00024969i,0.001167+6.9954e-05i
-9.2826e-05+0.0011828i,-0.00063074+0.00087553i,-0.00030643+0.0013484i,0.00034456+0.00023657i,-2.0228e-05-0.0011281i,-0.00062166-0.00030615i,-0.0011954+0.00058465i,-0.00063668-0.00010232i,0.00033474-0.00059211i,0.00019973-0.0002774i,0.00031707-0.0004754i,0.00081099-0.0010968i,0.00066048-0.00027917i,0.00073778+0.00066813i,0.0002111+0.00037962i,-0.00077817+3.305e-05i,-0.00076781+0.00061224i,-0.0008011+0.001079i,-0.00067563+1.4065e-06i,-0.000382-0.00076167i,-0.00015079-0.00072769i,-0.00018292-0.00032893i,-0.00026773+0.00059371i
0.00073808+0.0013522i,0.00084758-0.00021325i,0.0014232-0.00086943i,0.0018938-0.00042273i,0.0017111-0.00013307i,0.0013008-0.00043795i,0.00027598-0.00084205i,-0.0012296-0.00075588i,-0.0017253+2e-08i,-0.0012505+0.00062553i,-0.00087623+0.0005794i,-0.0010119+0.00078232i,-0.00089556+0.0002087i,0.00024993-0.00024024i,0.00057651+0.00015116i,-0.00018907+0.00085918i,-0.00049243+0.00071486i,0.00039532-0.00046519i,0.00032967-0.00086983i,-0.00042868-0.001093i,-0.00070427-0.00066221i,-0.00051428+0.00023041i,-0.00017699+0.0008936i
7.4922e-05+0.00019701i,0.0001024-0.00033371i,-0.0015193-0.0011228i,-0.002948-0.0021156i,-0.0014908-0.0016968i,0.000393+0.00012554i,0.0010282+0.0008266i,0.00039308+0.00025802i,-0.00052448-0.00030738i,-0.00039016-0.00044492i,-0.00051134-0.00022205i,-0.00098612+0.00016352i,-0.00055436+0.00040391i,-0.00019081+0.00012901i,7.2923e-05-0.00041238i,0.00049708-0.0012619i,0.00049778-0.0012046i,-0.00028558-0.00068184i,-0.00076993-0.00081018i,-0.0010083-0.0011569i,-0.00049458-0.0010368i,0.00082439-0.00011176i,0.0012327+0.00047942i
-0.00096159+0.00080393i,-0.0016039+0.00067568i,7.149e-06+0.00065036i,0.0010053-0.00011773i,0.00056989-0.0013098i,0.00051784-0.0020836i,0.00060615-0.0013419i,8.6455e-05-0.00044754i,-0.00059492-0.00034569i,-0.00048867-0.00032821i,7.954e-05+0.00037207i,-0.00085696+0.00017098i,-0.0014395-0.0008583i,-0.00026279-0.00094586i,0.00071026-0.00045499i,0.00047358+0.00010518i,-0.00042807+0.00067734i,-0.00070729+0.00084786i,-0.00059742+0.00058219i,-0.00013802+0.00058i,0.00044875+0.00058838i,0.0011238+0.00090156i,0.00096566+0.00074071i
0.00054564+0.00065419i,0.0010692+0.00036968i,0.0018962-0.00088164i,0.001666-0.0019119i,0.00039166-0.0015394i,-0.00012341-0.00085257i,0.00022976-0.001042i,-0.00040001-0.00034853i,-0.00098593+7.5433e-05i,-0.00077107-9.8095e-05i,-0.00047396+5.33e-05i,-0.00037088+0.00041369i,-0.00016338+0.00057441i,-0.00039587+0.00030662i,-0.0004888+8.4148e-06i,-5.9009e-05-0.00052168i,-0.000178-0.00065066i,-0.00065144-0.00037264i,-0.00030973-0.00048225i,-5.915e-05-0.0005695i,0.00021726-0.00026358i,0.00046439-2.1576e-05i,0.00067545-0.00010288i
0.0011059-0.00079116i,0.00047711+0.00011631i,0.00034256-0.00098597i,0.00011513-0.0017632i,-0.00072843-0.0012479i,-0.00079679-0.00013815i,4.4296e-05+0.0003135i,0.00065788-0.0006905i,-0.00036249-0.0013548i,-0.00076115-0.00071265i,-0.00020448-0.00042332i,4.76e-05-0.00064008i,0.00012392-0.00066577i,-7.167e-05-0.00029212i,8.5902e-05+0.00030787i,0.00066237+0.0006427i,0.00044953+0.00024772i,-8.8928e-05-0.00049519i,0.00014569-0.0006781i,0.00030557-0.00021592i,0.00060902+6.6708e-05i,0.00090782+0.00045119i,0.00047807+0.00031815i
-0.00028198-0.00039921i,-0.00065554-0.00049308i,-0.00079857+0.00042079i,-0.00069571+0.00033106i,-0.0011674-0.00082951i,-0.00046319-0.00054488i,9.0037e-05-0.00019042i,-0.00042309-0.00079679i,-0.0012093-0.0012483i,-0.0014069-0.0011175i,-0.00076798-0.0013325i,-2.4478e-05-0.0011044i,0.001002-7.8529e-05i,0.0013863+0.00017641i,0.00026334+0.00039837i,-0.00024518+0.00061174i,-0.00081052-0.0001489i,-0.0013692-0.00063273i,-0.00045064-0.00029891i,-0.00013684+0.00015002i,-0.0009949+0.00057434i,-0.00069988+0.00089318i,0.00014489+0.00082186i
0.00088641+0.00095863i,0.0008889+0.001144i,-0.00037973+0.00024321i,-0.0004592-0.00038573i,-5.3445e-05-0.00058502i,-0.0001203-0.00049451i,-0.00020852-0.00039303i,-0.0006751-0.0006911i,-0.00085581+9.8455e-05i,-0.00066524+0.00037896i,-0.00039194-0.00017912i,-0.00022753-5.5021e-05i,-0.00011197-0.00029541i,0.00021958-0.0003851i,0.00071166+0.00015145i,0.00078583-0.00049612i,7.8359e-06-0.0010791i,-0.00035018-0.00052525i,-6.5322e-05-0.00071461i,0.00028588-0.00087871i,0.00050343-0.00059009i,0.00045185-0.00049988i,0.00036762-0.00072403i
-0.0013003-0.00034896i,-0.0011377+0.00023965i,0.00043104-0.00019499i,0.00061628-0.00090872i,-0.00035184-0.00084339i,-0.00045476-0.00044476i,-0.00062546+0.00049243i,-0.0005723+0.00033197i,-0.0005908-0.00076897i,-0.0011484-0.0012525i,-0.0010941-0.0003634i,-0.00031263+0.0010795i,-0.00014427+0.00072481i,-0.00045289+0.00023488i,-0.00021842-0.00015189i,-0.00016893-0.00086227i,-0.00048032-0.00017018i,-0.00038213+0.00032542i,-0.00041314+0.00028153i,-0.00022782+0.00021459i,0.00081543-0.00075042i,0.0010653-0.00045748i,0.00013125+0.00044629i
-0.00047225-0.0013483i,-0.0002696-0.0013568i,0.00031822-0.0012395i,0.0012894-0.0015581i,0.00091497-0.0011365i,1.0423e-05-0.00021569i,8.8991e-06-0.00017676i,-0.00035675-0.00042908i,-0.00046554-0.00043977i,0.00036637-0.00039726i,0.00018685+0.00038735i,0.00028602+0.0011127i,0.00013371+0.00021424i,-0.00069751+0.00029818i,-0.00014418+0.0011363i,0.00043982+0.00089811i,0.00027257+0.00087088i,-0.00026399+0.00099085i,-5.8014e-05+0.00076456i,0.00041079+0.00075521i,0.00023511+0.00035484i,0.00041202+0.00021655i,0.00069239+0.0002995i
0.0003525+0.00090713i,-0.00045432+0.0014641i,-0.000967+0.00098948i,-0.00053719+0.0001876i,-0.00056499-0.00019242i,-0.00065237-0.00045008i,-0.00025981-0.00066045i,0.0003337-0.00092182i,-0.00071291-0.00041548i,-0.0010523-0.00013459i,-0.00015006-0.00020888i,-0.00019099+0.00043269i,-8.7051e-05+0.00038286i,0.00056089+0.00029068i,0.001173+0.00058215i,0.0010742+0.00053821i,0.0005329+5.7542e-05i,0.00019645-0.00046983i,-0.00028076-0.00095925i,0.00019325-0.0009096i,0.00057949-0.00024247i,0.00079069+0.00038403i,0.0014936+5.9083e-05i
0.00045222+0.0015591i,-0.00031456+0.0016038i,0.00014591+0.0009519i,0.00029046+0.00079734i,-0.00039709+9.5926e-05i,-0.0014305-0.0007994i,-0.00092638-0.00082142i,7.1732e-05-0.00083871i,0.00025724-0.0011595i,0.00021909-0.0005493i,0.00041525+0.00015955i,0.00045943-5.7799e-05i,0.00097339-0.00085924i,0.00044302-0.00077518i,-0.0008927-0.00083653i,-0.00096515-0.0010905i,-0.0011789-0.0013614i,-0.0010669-0.00078331i,-0.00073644+5.9208e-05i,-0.00093171+0.00037856i,-0.0011477+0.00048805i,-0.0014109+0.00026669i,-0.0014719-0.00035947i
0.0003853+9.0606e-05i,0.00083556+0.0003916i,0.0016035-0.00016852i,0.0022033-0.0014965i,0.0017225-0.0019401i,0.00060391-0.00073045i,-0.0001797-8.8174e-05i,-0.0006877-0.00060364i,-0.0011454-0.00035229i,-0.00070455-2.1035e-05i,-0.00036097+0.00026942i,-0.00041384+0.00039488i,0.00038696+0.00039861i,0.00093097+0.00056826i,0.00017636+0.0010665i,-0.00017315+0.0016174i,4.0856e-05+0.0011957i,0.00028875+0.00097606i,-0.0001673+0.00076969i,-3.1231e-05+0.00025868i,0.00035541+0.00019806i,-0.00011451+0.00039832i,-7.6218e-05-0.00019541i
-0.00049615-0.00078414i,0.0001572-0.00063942i,0.0007254-0.00019998i,1.987e-06+0.00043245i,-0.0001943+0.00036617i,0.00038704-0.00021444i,0.00076602-0.0011799i,0.0002902-0.0014947i,-0.00024377-0.0016804i,-0.00026701-0.0010249i,-0.00042728-3.504e-06i,-0.00052894-0.00015493i,0.00012818-0.00021727i,0.00055661+9.5892e-05i,0.00021257+0.00036669i,4.1422e-05+0.00031582i,-0.00047665+0.00019972i,-0.0010353-4.5046e-05i,-0.0008466-0.0012158i,-0.0002019-0.001433i,0.00026259-0.00047234i,0.00017145+0.00022681i,-0.00029613+0.00033616i
0.00030876+0.0012728i,0.00028103+0.00072711i,0.00031317+0.0019225i,-0.000103+0.0026921i,0.00011639+0.0010965i,0.00067114-3.5262e-05i,0.00043877-0.00038482i,0.00025213-0.00057176i,0.00038134-0.0007007i,0.00071526-0.00090487i,0.0011553-0.00053013i,0.00040229+3.8427e-05i,-0.00029919-0.00042786i,-1.2604e-05-0.00081059i,-0.00036541-0.00081056i,-0.00049164-0.00043394i,0.00040422+0.00013978i,0.00058858+0.00047816i,8.5467e-05+0.000134i,-0.00045751-9.0007e-05i,-0.00031335+0.00038135i,0.00049103+0.00041128i,0.00042716+0.0002435i
-0.0014119+5.8571e-05i,-0.0011307+0.0001812i,-0.0011781-0.00055398i,-0.0002962-0.00082223i,0.00038603-0.0001886i,0.00021646+0.00043366i,-0.00025445+0.00040614i,-0.00037861+0.00027105i,-0.00084251+0.00029298i,-0.0012676-0.00012253i,-0.0010583+7.8223e-05i,-0.0005275+0.0013781i,0.00039796+0.0016269i,0.00053525+0.00066893i,7.5282e-05-0.00028954i,0.00012645-0.00035295i,-7.1356e-05+0.00021212i,4.4828e-05+0.00048191i,0.00022412+0.0014866i,-9.5385e-06+0.0015681i,0.00041351+3.6016e-05i,0.00078926+8.4093e-05i,0.00062029+0.00061342i
-0.0020747-0.0014079i,-0.0013905+6.0241e-05i,-0.00044813+0.0012974i,-2.8675e-05+0.0010134i,-0.00012157+0.00050153i,0.00012071-0.00019006i,0.00017094-0.00063549i,-0.00019005-0.00012168i,-0.00030953+0.00011565i,-1.4436e-05-2.9857e-05i,0.00037188+0.00018253i,0.00030484-0.00042354i,-7.1795e-06-0.0004346i,-0.00012474+8.7096e-05i,0.00022559+0.0002529i,-3.6583e-05+0.00081041i,-0.00058973+0.0012459i,-0.0012411+0.00043807i,-0.00086585-0.0001316i,-0.00031525-0.00017697i,0.00016313-0.00051913i,0.00084279+2.0759e-05i,0.00072506+0.00037388i
7.872e-05+0.00067797i,-0.0002229+4.6649e-05i,-0.00075752-0.00043094i,-0.00082529-0.00061884i,-0.00051591-0.00032996i,-0.00047397-9.567e-05i,-0.00011208-0.00033892i,-0.00025778-0.00051482i,-0.00072747+1.853e-05i,-0.00082065+0.00014277i,-0.0004395+0.0001662i,0.00038793+0.0003189i,0.00065262+0.00027166i,0.00046339+0.00017357i,0.00069508+0.00038382i,0.00026218+0.00016987i,-0.00048018-0.00024997i,-0.00069759-2.1205e-05i,-0.0012025+0.00017176i,-0.0008762+0.00042752i,-0.00012963+5.4925e-05i,0.00097769-0.0006572i,0.001115+0.00011383i
-9.0129e-05-0.0010941i,0.00048519-0.0010188i,-0.00032587-0.001231i,-0.0012369-0.00041939i,-0.00077361+0.0004955i,-0.00025189+0.00075935i,0.00027895-0.00019121i,0.00061922-0.00075482i,0.00023985-9.2429e-05i,-0.000546+0.00030637i,-0.00046753+0.00069099i,-0.00018275+0.00090405i,5.6243e-06+0.00046595i,0.00076467-0.00017056i,0.0013501-0.00084478i,-0.00022307-0.00058986i,-0.001652+0.00032889i,-0.0012588-0.00012072i,-0.00031884-0.00050433i,5.0847e-05-0.00017543i,0.000677+0.00023187i,0.00066814+0.00044332i,0.00058018+0.00023389i
-0.00024675+0.0022821i,-0.0002642+0.0012634i,0.00048837+0.00025948i,0.0010822-0.00046799i,0.0010211-0.00011537i,0.00056595+1.4426e-05i,0.00058108-0.00074782i,0.00013035-0.0010673i,-0.00037865-0.00076015i,-0.00078794-0.00069866i,-0.0007022-0.00080814i,-0.00054118-0.00010437i,-0.00014132+0.00064257i,0.00026621+0.00064298i,6.1968e-05+0.00072975i,-0.00028268+0.00070463i,-0.00043935+0.00057928i,-0.00070704+4.2598e-05i,-0.00058639-0.00075597i,-0.0005547-0.00041292i,-0.00019938+0.00012986i,-0.00032014-8.4402e-06i,-0.00048498-0.00020386i
-2.5144e-06-0.00077392i,-0.00046345-0.0011681i,-0.00068379-0.00014318i,-0.00053251+0.00081217i,-0.00055094+0.00073911i,0.00010844-0.00017841i,0.00049456-0.00076056i,0.00066355-0.00077319i,1.7794e-05-0.00089045i,-0.00033976-0.0013814i,0.00033204-0.00031432i,0.00045024+0.00077529i,-0.00011221+0.00063706i,-0.00027648+0.00067096i,0.00017598+0.00079073i,0.00025188+0.00043406i,-0.00040186-0.00020284i,-0.00035426-0.00080202i,0.00013076-0.00079926i,5.3842e-05-0.00018159i,-0.00031616+5.2958e-05i,0.00018685+0.00017673i,0.00038379+0.00055604i
0.0014902-0.00028888i,0.0019447+0.00024873i,0.0019511-0.0011135i,0.00042444-0.0017381i,-0.00012429-0.0015021i,0.0006642-0.0015756i,0.00055256-0.0012851i,-0.00037489-0.00083185i,-0.00076148-0.0011141i,-0.0007147-0.00060776i,-0.00085113+0.00042644i,-0.00079991+0.0002597i,-9.5926e-05+0.00042112i,0.00079113+4.0014e-05i,0.00061588-0.00036877i,-0.00043643-0.00020247i,-0.00050507-0.00053164i,-0.0003526-0.00079614i,0.00023487-0.0004393i,-1.3802e-05+3.0538e-05i,-0.00075253+4.1197e-05i,-0.00043726+0.00015437i,0.00010995+0.00039373i
-0.00065615-0.0008902i,-0.0010201-0.00080384i,-0.0019735-0.00080716i,-0.0020508-0.00039395i,-0.001596+0.0003409i,-0.00052136+0.0008317i,0.00053618+0.00084285i,-3.176e-06+0.00013875i,-0.00090126-0.00021871i,-0.00070602-0.00017291i,7.722e-05-4.0584e-05i,0.00080696+0.00079082i,0.0012825+0.0015585i,0.0012354+0.0010321i,-3.7562e-05+0.00017835i,-0.000777-5.843e-05i,-0.00016413+0.00012463i,4.0927e-05+0.00089457i,-0.00025564+0.00048194i,-0.00045918-2.4519e-05i,1.9655e-05+0.00051207i,0.00047883+0.00063168i,0.00018208-0.00018106i
-0.00033526+0.00085063i,-7.487e-06+0.0012862i,-0.00039568+0.0013802i,-0.00020111+0.00057549i,0.00014838-0.00088559i,0.00039488-0.00091707i,-0.00020878-7.5397e-05i,-0.00073776-0.00030409i,-0.00049991-0.00028051i,-0.00046877+0.00018902i,-0.000412-9.6709e-06i,-0.00035116-0.00024267i,-0.00011532+0.00011678i,-5.3572e-05+0.00030191i,0.00012103+0.00062856i,0.00022531+0.00049336i,-6.7356e-05+0.00018469i,-0.00027899-0.00024682i,-0.00027844-0.00092997i,-0.00072523-0.00071528i,-0.00073897-0.00027088i,-0.0001773-0.00017215i,-1.0375e-05-0.00059096i
-0.00086556+0.00091122i,-0.0012179+0.0001123i,-0.0008271+0.00033727i,-0.00039979+0.00079559i,0.00059192-6.0584e-05i,0.0014145-0.00079256i,0.0006537-0.00083124i,-0.00014497-0.00056693i,-0.00025263+0.00016912i,-0.00019396+0.00040258i,9.6246e-05+0.0007026i,0.00018396+0.0011245i,0.00010283+0.0004611i,2.7024e-05-0.00040475i,-9.7871e-05-0.00035988i,1.0062e-05-0.00012537i,0.00042669+9.0027e-05i,4.3631e-05+9.7542e-05i,2.6983e-05+0.00022527i,0.00048202+0.0005453i,0.00043293+0.00046615i,0.00027131+0.00041812i,0.00049472+0.00011375i
