-5.3467e-05-4.9488e-05i,0.00039503+0.00042186i,-0.00069746-0.00063251i,-0.0013949-0.0013275i,-0.0010431-0.0014876i,-0.00063693-0.00065017i,-0.00060354+0.0005454i,8.2989e-06+0.0015838i,0.00036237+0.0016026i,0.00042651+0.0011971i,-0.00033878+0.00096287i,-0.00098203+8.2405e-05i,-0.00096757-0.00049472i,-0.000638-0.00064883i,-7.658e-05-0.00059699i,9.8467e-05+0.00027133i,0.00036519+0.0013854i,4.0426e-06+0.00036251i,-0.00023395-0.00017078i,0.00035597+8.8095e-05i,0.0011162-2.5411e-05i,0.00068913+0.00040257i,-0.00053247+0.00076682i
0.0018756-2.0495e-05i,0.001285-0.00089225i,0.00089279-0.0012125i,0.00076907-0.00068359i,9.9751e-06-0.00055055i,-0.00056381-0.00071741i,-0.0005715-0.00036953i,-0.0003963+0.00019108i,-2.7129e-05+0.00075344i,4.1317e-05+0.00015823i,-0.00057153-0.00066408i,-0.00066719-0.00011508i,-0.00032843-6.442e-05i,-0.0005641-0.00018003i,-0.00040307+0.00039512i,-0.00035017+0.00039569i,-0.00013347+4.2574e-06i,0.00058674-0.00045897i,0.0010376-0.00027065i,0.0007285+0.00071062i,0.00047766+0.00041911i,-0.00024106+0.00017453i,-0.00089735-5.3074e-05i
-0.00013674-7.2351e-05i,0.00078518+0.0011995i,-7.8747e-07+0.0027974i,-0.00046468+0.0026843i,-0.0002637+0.0016514i,3.783e-05+0.0010631i,-0.00030321+0.0012207i,-0.0012386+0.00038005i,-0.00099649-0.00019065i,-0.00051952+0.0011322i,-6.4406e-05+0.0014122i,-0.00031895+0.0005532i,-0.00050332+0.00061975i,7.8457e-05+0.0012444i,0.00049055+0.0007668i,0.00073283+0.0004106i,0.00056909+0.00027834i,0.00035976-0.00011159i,-0.00024357+7.7354e-06i,5.8055e-05+0.00032892i,0.00062489+0.00050467i,1.9862e-05+0.00047354i,-0.00051981+0.00026357i
-0.000523+2.6977e-05i,-0.0018147+0.000422i,-0.0024893-0.00097223i,-0.0023008-0.0019794i,-0.0016413-0.0013664i,-0.00099655-0.0012727i,-0.0002657-0.0010179i,-0.00019917-3.5628e-05i,-0.00068971+0.000898i,-0.00065567+0.00070314i,-0.000642-0.00055309i,-0.00049097+1.9731e-05i,-0.00020052+0.00044065i,-0.000464+0.0001541i,-0.00014259+0.00022004i,0.0002668+0.00046853i,-0.00012977+0.00068655i,-0.0010845+0.00082998i,-0.00089279+0.00088979i,-0.00015279+0.00050495i,0.00033665+0.00026348i,0.00031564+0.00048133i,0.00012758+0.0001543i
-0.00035903-0.0013576i,-0.00030544-0.0014146i,-0.00028628-0.00088828i,-0.00053261-0.00057864i,-0.00042913-0.0015211i,-0.00024977-0.0016981i,-0.00035243-0.00075119i,-0.00010075+0.00023303i,7.5322e-05+0.0010141i,0.00027361+0.0008952i,-0.00018812+0.00013546i,-0.0006474-5.4833e-05i,-0.00036308+0.00021418i,-0.00056159+0.00016035i,-0.00054586-0.00035561i,0.0004646-0.00055168i,0.0012988-0.00035133i,0.00076521-0.00038112i,0.0001354+8.1611e-05i,0.00034644+0.00042289i,-0.00015951+0.00012111i,-0.00083859-8.0028e-05i,-0.0006117+8.9507e-05i
0.00037212+0.00088384i,-0.00027371+0.00077903i,-5.5869e-05+0.002337i,0.00065977+0.0016333i,0.0013256+0.00044752i,0.00081617-0.00027351i,-0.00056495-0.0006262i,-0.00097778+0.00016412i,-0.0012812+0.0011562i,-0.0011192+0.0019051i,-0.00082188+0.0013546i,-0.00063291+0.00018072i,-0.0004316+0.00079782i,7.5599e-05+0.0013532i,0.0002515+0.00037286i,-0.00055024-7.9136e-06i,-0.0006272+0.00035052i,0.00029461-0.00043342i,8.8159e-05-0.0012791i,0.00016599-0.00089583i,0.00030142-4.5138e-05i,0.00011434-6.8906e-05i,-0.00017786-0.00067872i
0.0013347+0.0010772i,0.00061988+0.0019284i,-0.00016775+0.001448i,-0.00059251+0.000571i,-0.00093169-0.00066185i,-0.001068-0.0013807i,-0.00080917-0.00097567i,-0.00095448-4.793e-05i,-0.0013913+0.00017314i,-0.00091096+0.00028438i,-0.00052795+0.00034153i,-0.00086579+0.00066724i,-0.00086825+0.0012185i,-0.00033039+0.00077675i,-0.00019549-0.00011986i,-0.00091609+0.00049427i,-0.0008946+0.0014995i,0.00010786+0.00076851i,0.00075735+0.00070212i,0.00081352+0.0012026i,0.00053898+0.00048689i,0.00022055-0.00029053i,-0.00049169-0.0003963i
0.00095684+0.0017644i,-0.0015231+0.0017484i,-0.0014844+0.0020671i,-0.00039556+0.0014757i,0.00038468-4.8377e-05i,0.00052862-0.0001232i,0.00014073+0.00044014i,-0.00037847+0.00087053i,0.000152+0.00090446i,0.00014105+0.0006968i,-3.9464e-05+0.00024555i,0.00011788+7.1214e-05i,0.00017546+0.00078034i,0.00013232+0.0007985i,0.00016772-6.799e-05i,0.0005903-0.00083174i,0.00086538-0.0007865i,0.0011728+4.4976e-05i,0.00062111+0.00013999i,-0.00057-0.00010976i,-0.00064522-0.00037162i,-0.00020227-0.00052917i,5.4026e-05-0.00023633i
-0.0013124+0.00057658i,-0.00056447+0.00013225i,-0.00055231+0.0006425i,-0.00026674+0.00072676i,0.0005762-3.9836e-05i,0.0002275-0.0012615i,-0.0005084-0.0021448i,-0.00012852-0.0010068i,-0.0002612+0.00094983i,-0.00067303+0.0012585i,-0.00026398+0.00029208i,0.0001502-6.5455e-05i,0.00033992+0.00027902i,-0.00040298+0.00056571i,-0.00082796+0.00061364i,-0.00081121+0.00012814i,-0.00085886+0.00010399i,-4.9914e-05-0.00021547i,-0.00025727-0.00051336i,-0.00010717-0.00029524i,-4.6868e-05-0.00033062i,-0.00067508-0.00046888i,-0.00028011+0.0001584i
0.00048078+0.00025609i,9.2968e-05+0.00069085i,-0.00020934+0.00040757i,-0.00024755+0.00082434i,-8.3011e-05+0.00038272i,0.00041925-0.00049374i,0.00082256+0.00016687i,0.00082405+0.00064875i,0.00096745+0.00077329i,0.00070763+0.0016634i,-0.00026285+0.0015825i,-0.00075246+0.00050274i,-1.7828e-05-5.4646e-05i,0.00056081-0.00038819i,0.0007095-0.00079152i,0.00059055-0.00037451i,0.00020185+0.00019897i,-0.00032516+0.00027169i,-0.0010164+0.00014028i,-0.00051815+0.00045307i,0.00013478+0.00079998i,-5.0963e-06+0.00090884i,-5.3538e-05+0.00060751i
-0.00031373-0.0005883i,-0.0013609-0.00089778i,-0.0018002+0.00029636i,-0.00082363+0.0011836i,0.000364+0.00095494i,8.8312e-05-0.00037181i,-0.00058274-0.00142i,-0.00040602-0.00059413i,-0.00063889+0.0004447i,-0.00088956+0.00097254i,-0.00025946+0.0012702i,0.00038864+0.00047476i,-3.4953e-05+3.0308e-05i,-0.00066709+0.00026862i,-0.00046374+0.00026087i,-0.00041005+0.00042379i,-0.00056133+0.00058641i,-0.00037087+0.00077782i,-8.9275e-05+0.00047538i,0.0001064-0.00036145i,-0.00022887-0.00028814i,-0.00062104+0.00041646i,-0.0005192+7.6069e-05i
3.5203e-05-0.00080089i,-0.00048302-0.0019861i,-0.0010538-0.0014688i,-0.001929+0.00052895i,-0.0013645+0.00032308i,-0.00030573-0.00091723i,0.00024692+0.00023235i,-0.00018178+0.0015755i,-0.00094919+0.0017428i,-0.00075185+0.0014918i,-0.00026297+0.00082989i,-0.00072395+0.00017349i,-0.00075657-0.00038571i,-4.7098e-05-0.00029015i,0.00041719-2.7107e-05i,0.00061611+4.3563e-05i,0.00051895+7.11e-05i,0.00089643-0.00022179i,0.00088334-8.3014e-06i,0.00017132+0.00051812i,-0.00023908+0.00075815i,-0.00017312+0.00098481i,5.2265e-05+0.0010581i
0.00018226-0.00054547i,0.00092959-0.0003228i,0.00038605-0.00014645i,-0.00026338-0.00021649i,0.00036234-0.00012991i,0.0012306+0.00051111i,0.00070718+0.00056609i,-0.00047254+0.00035046i,-0.00052588+0.00064624i,-0.0001265+0.00098978i,-0.00033443+0.0010609i,-9.7441e-05+0.00064681i,-0.00029019+0.00016103i,-0.00032983-0.00013352i,0.00074404-0.00044373i,0.00071167-0.00082121i,-0.0002832-0.00043255i,-0.00057616+7.8209e-05i,0.00016578+0.00018166i,-0.00021286+0.00030841i,-0.00037199+0.00027061i,0.00057799+0.00014121i,0.0012829+8.6391e-05i
0.00080578+0.0012113i,-0.00031413+0.0016493i,-0.0011817+0.001636i,-0.0013018+0.001383i,-0.00093669+0.00045917i,-0.00076693+0.00019225i,-0.00097072+0.00076579i,-8.5483e-05+0.00049175i,0.0010829-0.00028735i,0.00082731+0.00017789i,0.00029602+0.0009869i,-0.00035099+0.00077296i,1.7893e-06+9.0218e-05i,0.00091683-1.9111e-06i,0.00059111+4.7633e-05i,0.00037722+0.00015293i,0.0004375+9.2843e-05i,0.00014212+0.0003007i,-0.0002252+0.00073046i,-0.00022817+0.00017125i,2.4037e-05-0.00011965i,0.00076428+4.6632e-05i,0.00079616-0.0004728i
-0.0013703+3.9699e-06i,-0.0019055+4.5835e-05i,-0.0025226-0.00049137i,-0.0010134-0.00048197i,0.0005707-0.00071035i,0.00089174-0.0014539i,0.00080837-0.0013308i,0.00014057-0.00023518i,0.00032823+0.00097328i,0.00074242+0.001382i,0.00053744+0.00053722i,-6.7944e-05-0.00063655i,-0.00075194-0.00066319i,-0.00049406-3.3296e-06i,-0.00040371+0.0001648i,-0.00044698-4.8431e-05i,-0.00045441-0.00065535i,0.00016932-9.5596e-05i,0.00060434+0.00058209i,0.0009759+0.00022035i,0.00092413+5.2698e-05i,0.00067155+0.00012636i,0.0007645-0.00027621i
-0.00010298-0.0012855i,8.9517e-05-0.0016565i,-0.0006595-0.0018765i,-0.00049934-0.000448i,0.00027455+0.00084156i,0.00081938+0.0012726i,0.00079088+0.0011992i,0.00036558+0.00071364i,0.00025319+0.00044196i,0.00046357+0.00041751i,0.00088004+0.00037856i,5.3029e-05-6.8431e-05i,-5.1899e-05-0.00038033i,0.00033816-0.00039783i,0.00049281-0.00046018i,0.00061033+0.00010346i,-8.7809e-06+0.00042677i,-0.00033425+0.00044682i,-0.00069689+2.5191e-05i,-0.00069164-0.00029169i,-0.00055226-0.00024147i,-0.00021166-0.00050189i,7.9203e-05-0.00091688i
0.00050755-0.00058626i,0.00059222+6.9487e-05i,0.0010401+0.00037194i,-0.00015283+0.00022751i,-0.00089116-0.00059178i,-0.00038693-0.00020478i,-0.00036748+0.0003879i,-0.0010592+7.3356e-05i,-0.0011529+3.1392e-05i,-0.0005457+7.8081e-05i,0.00028776-0.00024059i,0.00013074-0.00042939i,-0.00048187-0.00049316i,-0.00013946-0.00044923i,0.00036892-0.00032813i,0.00052338-0.00017349i,0.00019624-0.00033725i,-0.00049236-0.00043531i,-0.00056551+0.00050491i,-0.00067339+0.00028927i,-0.00055545-0.0010878i,0.00045162-0.00028711i,0.00016534+0.00072402i
0.00032485+0.0024142i,-0.001063+0.0017189i,-0.00059158+0.0015049i,0.00010712+0.00059611i,0.00024523-0.00081156i,-0.00025885-0.0014797i,-0.0010395-0.00052489i,-0.0009579+0.00026352i,-0.0001361+0.0010395i,-0.00068956+0.0011165i,-0.0013285+0.00018019i,-0.0012308+0.00015728i,-0.00089073+0.00016629i,0.00058272+0.00015947i,0.0014975+0.00049417i,0.00075241+0.00064224i,0.00029506+0.00041421i,-0.00029-5.6074e-05i,-0.00077522-0.00014231i,-2.149e-05-0.00026952i,0.00016538-0.00060042i,0.00033701-0.00017437i,0.00064579-0.00043913i
-0.00128+0.00057361i,-0.0017249-0.00023827i,-0.0009698+0.000446i,-0.0002175+0.0011952i,-0.00026888+0.00089529i,-6.4944e-05+0.00075476i,0.00029048+0.0005576i,4.2227e-05+0.00059599i,-0.00020091+0.0015553i,-0.000615+0.0014792i,-0.00061942+1.1773e-05i,-0.00049636-0.00036757i,0.00011637+0.00075138i,0.00021915+0.00084154i,-5.3755e-05-8.8106e-05i,0.00021499+3.3821e-05i,0.00021455+5.4219e-05i,2.3205e-05+0.00011558i,0.00013815-4.8057e-05i,0.00039541-0.00013971i,0.00051385+0.00084529i,-3.6831e-05+0.00063951i,2.9775e-05+0.00021043i
0.0009937-0.00016736i,0.001094-0.00058604i,9.1261e-07-0.0014194i,-0.0010733-0.0012343i,-0.0013676-0.0010844i,-0.00096916-0.0014022i,-0.00020958-0.0011829i,-3.2579e-05-0.00054967i,-0.0004756+0.00033782i,-0.00088577+0.00082999i,-0.0012671+0.0002819i,-0.00085532+9.9235e-05i,-0.00059061+0.00037446i,-0.00016874-6.5819e-06i,-0.00012068-0.00057152i,-0.00053765-0.0002578i,-0.00011536+5.4404e-05i,0.0007785+0.00028106i,0.00098295-0.00017757i,0.00074618-0.00036071i,0.00034831-0.00031246i,-0.00021392-8.2853e-05i,-0.00069885+0.00030877i
0.0014533+0.00066327i,0.00049951+0.0022507i,0.00027379+0.0021976i,-0.00064805+0.0009094i,-0.0015824+0.00063835i,-0.0019701+0.00066526i,-0.0011665-3.2063e-05i,-0.00020013-0.00024707i,-0.00038509+0.00045581i,-0.0005487+0.00027221i,6.717e-05-0.00044722i,0.00029699-0.000328i,0.00019516-0.00023837i,0.00033075-0.00035548i,-5.6244e-05-0.00067781i,-0.00019805+0.00010549i,0.00029472+0.0006643i,0.0003219-0.00053994i,0.00049472-0.00056888i,-0.00011715+0.00049177i,-0.00062455+0.00064096i,-5.4411e-05+0.00073999i,0.00059361+0.00013985i
-0.00079986-0.00082459i,-0.00096955-0.0016073i,-0.0014084-0.00091437i,-0.00065842+1.9686e-05i,0.00073646+0.00051676i,0.00038495+0.00029489i,0.00027576+0.00042975i,0.00047895+0.0010704i,0.00017675+0.00080472i,-0.00058672+0.00098288i,-0.00056173+0.00083613i,4.7312e-05-0.00013851i,-0.00016198-0.00014916i,0.00024088-0.00031943i,0.0012127-0.00082106i,0.00060202-0.0008991i,-0.00062577-0.00063316i,-0.00022106-0.00024721i,0.00017802-0.00041132i,-4.3246e-05+0.00013174i,0.00070386+0.00048534i,0.001331-0.00020857i,0.00065142-0.00045217i
5.4716e-06-0.00014716i,0.0011592-0.0010813i,0.0013582-0.00085276i,0.00083385-0.00084107i,-5.8859e-05-0.0010343i,-0.00061069-0.0014959i,-4.0575e-05-0.0014555i,0.0002594-0.00031195i,-0.00011666-0.00017239i,0.0002012+0.00042676i,-0.00046783+0.00062145i,-0.00047849+9.9651e-05i,0.00028266+0.00027257i,-0.00020274-1.9034e-05i,0.00013898-9.0402e-05i,0.00016313+0.00013862i,-7.573e-05-6.3368e-05i,7.2726e-05+0.00030329i,0.00038459+0.00073805i,0.00051292+0.00060051i,-0.00037736+0.00038854i,-0.00035725-0.00020964i,2.5085e-05-0.00049852i
0.00040149+0.0011967i,0.0004087+0.0010451i,0.00036546+0.00049262i,0.00032265+0.00051683i,0.00079359-7.5587e-05i,0.00015222-0.0014908i,-0.00070248-0.0011936i,-0.0009832+0.00015732i,-0.0016129+0.0010245i,-0.0011815+0.0013374i,-0.00063792+0.00099906i,-0.0011689+0.00040135i,-0.00098389+5.4071e-05i,-0.00038904-0.00010927i,-0.00036992-0.00052815i,2.9576e-05-9.7348e-05i,-2.2764e-05+0.00077629i,-0.00016854+0.00092397i,9.0073e-06+0.00045004i,0.00011425+0.00048266i,0.00038353+0.00083327i,0.00025222+0.00028086i,-0.00019802+0.0001785i
