-0.0038337+0.0015635i,-0.0028167+0.00074061i,-0.0026691+0.00081283i,-0.0013279+0.00081101i,5.5973e-05+0.0011723i,-0.00057822+0.0019906i,-0.0010953+0.0027339i,-0.000339+0.0021736i,0.00023652+0.0010611i,0.00068266+2.1089e-05i,0.0011456+0.00014121i,0.00080517+0.00074349i,-0.00020615+9.1779e-05i,-0.00056067-0.0002545i,-0.00013553-0.00030302i,0.000805+6.9958e-05i,0.00070181+0.00059534i,0.00024193+0.00030635i,0.00043209-2.6715e-05i,0.00063946-0.00027982i,0.00011899-0.00071285i,0.00011276+4.6183e-05i,0.00037755+0.00079286i
0.00025166-0.00047771i,9.0876e-06-0.00012672i,-0.00016348-0.00029893i,0.00034076-0.00044163i,0.00045261-0.00012138i,-1.1405e-05+7.3401e-05i,-0.0001109-0.00034849i,-0.00013933+0.0004223i,-0.00055819+0.00089172i,-0.0017087-0.00080484i,-0.0015718-0.0013462i,-0.00034257-0.00096525i,-0.00031214-0.001225i,-0.0003279-0.0013514i,-9.36e-05-0.0014087i,-0.0002742-0.00080571i,-0.00028193-0.00039074i,-0.00068876-0.0007725i,-0.00075988-0.00048127i,-0.00031996+0.00013428i,-0.00037558+0.00027074i,-0.00010297+7.2434e-05i,0.00011226+0.00047124i
-0.0014027+0.0012021i,-0.00021343+0.0021866i,0.0014441+0.0016773i,0.0020748+0.00032251i,0.0016464-0.00016093i,0.0011045+0.00018362i,0.00044621+0.00049944i,-0.00032692+0.00025685i,-0.00061023-0.00096204i,0.00011157-0.0010592i,0.00017011+0.00042402i,-1.5774e-05+0.0011493i,0.00038702+0.00089998i,0.00049068-0.00048997i,0.00051187-0.00095399i,0.00025139-0.00012507i,-5.3209e-05+0.00065046i,-0.0001228-0.0004273i,0.00017525-0.0010695i,0.00040389-0.00024454i,0.00087536+0.00037796i,0.0010226+0.00057569i,0.00073518+0.00032665i
0.00050644+0.00075179i,-0.00053371+0.00010127i,0.00020144-0.0010186i,0.0022064-0.0011738i,0.0016536-0.00051703i,0.00061463+8.3994e-05i,0.00051823-3.3881e-05i,-0.00012503+2.2435e-05i,0.00011428+2.0256e-05i,0.00043277-0.00070161i,0.00063557-0.0011003i,0.00027181-0.00064785i,-0.00083007-0.0002601i,-0.00063311-0.00036627i,-0.00011695-0.00035869i,-0.00017832-0.0010731i,0.00020652-0.0010405i,7.2247e-05-0.00084554i,-0.00058414-0.00092283i,-0.00058138-6.4015e-05i,-0.00044485+0.0005681i,0.00020471+0.00040508i,0.00071435+0.00012874i
0.0015852+0.00055903i,0.0018558+0.0011595i,0.0019925+0.0015586i,0.0012095-0.00017227i,0.0010784-0.0010318i,0.0012141-0.00059127i,0.00039218-0.00050622i,0.00069781-0.00027815i,0.0013329-0.00063127i,0.00090764-0.00069798i,7.3019e-05-0.00014392i,-0.000128-0.00015096i,-0.00015858-0.00035203i,-0.00023145-0.00031371i,5.6786e-05+2.4256e-05i,9.1364e-05+0.00064871i,-0.00065708-0.00014569i,-0.00099761-0.0014318i,-0.00040331-0.001233i,-2.8325e-05-0.00021934i,-4.6222e-05+0.00117i,-1.6236e-05+0.0015246i,-0.000114+0.00044043i
-0.00062244-0.0016088i,-0.0014024-0.0026086i,-0.0018651-0.001428i,-0.0014758-0.00014208i,-0.0011387-0.00019098i,-0.00048642+6.0636e-05i,-0.00013559+0.00022853i,0.00035347+0.00013081i,4.9941e-05-5.0292e-05i,-0.00042098-0.00077834i,-0.00019958-0.0007051i,-0.00024363+1.5596e-05i,-0.00021868-3.1159e-05i,-0.00043052-0.00026591i,-0.0011596-0.00023789i,-0.0009172-0.00019235i,-0.00096222+0.00026864i,-0.0010383+0.00085734i,-0.0011916+0.00043189i,-0.00077786+0.00014086i,-0.00069916+0.0001385i,-0.00055357-4.1229e-05i,0.00016885+6.9868e-05i
-0.00082279+0.00028839i,-0.00040129-0.00018645i,-0.00022049-0.00038217i,0.00040487+0.00034144i,0.0013988+0.00089042i,0.001267+0.00083089i,0.00056412+0.00061888i,0.00020437+0.0010559i,-5.12e-05+0.0014837i,-0.00034073+0.0015241i,-0.00051172+0.00074003i,-9.5504e-06+7.1526e-05i,-0.00032982+0.00039126i,-0.00040936+0.00075585i,-0.00040471+9.3187e-05i,-0.0008871-0.00034497i,-0.00082014-0.00045253i,-0.0001188-0.0011353i,0.00028835-0.0010332i,0.00039352-0.00080279i,-0.00019612-0.00084132i,-0.00087719-0.00067317i,-0.0010194-0.00066578i
0.00062208-0.00060013i,-0.00042549-0.00026231i,-0.0022026+0.00051511i,-0.001316+0.00071548i,-7.51e-05-0.0001666i,-3.226e-05-0.00054771i,-0.00034836+7.8417e-05i,-0.000315-0.00019773i,5.055e-05-0.00093701i,0.00016786-0.00078649i,0.00035748+0.00010561i,0.00084413+0.00017029i,0.00066322-0.00053894i,0.00021807-0.00043416i,0.00039371+0.00022236i,0.00047047+0.00037722i,0.00013729+0.00011959i,-0.00055834-0.00011265i,-0.00093237-0.0002235i,-0.0013598-0.00013235i,-0.0011442+0.00027154i,-0.00048975+0.00096504i,-9.3996e-05+0.00052989i
-7.2913e-05+0.00096141i,0.00076673-0.00050849i,0.0015734-0.00047985i,0.0024489-0.00017i,0.0025764-0.00038358i,0.0014495-0.0012848i,0.00040742-0.0016016i,0.00026817-0.0006881i,0.00076918-0.00033923i,0.00082942-0.00078265i,0.00037218-0.00039568i,0.0006296-0.00043938i,0.00055527-0.00058609i,0.00030088-0.00014575i,0.00017161-7.6798e-05i,-0.00010992-0.00084244i,-4.3484e-05-0.00091864i,-0.00060982-0.00042632i,-0.0013479-0.0001026i,-0.00092386+0.00012736i,0.00020453+0.0002005i,0.00084642+1.6408e-05i,0.00092851-0.00036245i
0.0020091-0.0014298i,0.0011854-0.0013544i,0.00068445-0.0011861i,0.00015234-9.7369e-05i,-0.00043304+0.0010649i,-0.00030563+0.00070868i,-0.00044073+0.00074548i,-0.0010148+0.0008374i,-0.001151-0.0002467i,-0.001041-0.00018177i,-0.00044902+0.0004703i,-0.00023079-4.4352e-05i,-0.00044833-0.00038401i,0.00040216+8.7166e-06i,0.00044116-0.00025016i,-0.00014227-0.00087125i,-0.00010948-0.00059876i,-0.0010622-0.00016784i,-0.0014698-0.00025359i,-0.00051869-0.00098733i,0.00012588-0.00059518i,-0.00012557+0.00034791i,-0.00036032-5.2229e-05i
-0.001611-0.00043655i,-0.0018516-0.00015378i,-0.001239+0.00059189i,-0.0003913+0.00087536i,0.0014662+0.00019345i,0.002228+0.0002242i,0.00023708+0.00012288i,-0.001268+0.00010999i,-0.001018+0.00062909i,-0.00055453+0.00074133i,0.00021991+0.00040331i,0.00054965+0.00034102i,0.00032378-3.5983e-05i,0.00014726-0.00019309i,5.7036e-05-0.00032734i,-0.00023451-0.00031861i,-0.00023183-0.00014067i,2.9818e-06+0.00021001i,8.7611e-05+8.1124e-06i,0.00016669-3.2033e-05i,-2.897e-05+0.00011714i,-0.00047739-0.0001054i,-0.00059583-6.0405e-05i
0.0016795-8.3446e-05i,0.0011395-0.0011901i,0.0017085-0.0019523i,0.0022581-0.00062787i,0.0019839-0.00039994i,0.0016093-0.0010418i,0.00052069-0.00075505i,0.00038061-0.00011773i,0.00051643+0.0001005i,-0.0002384+0.00059697i,-0.00060245+0.0012118i,-0.00033595+0.00091089i,0.00013435+1.8281e-05i,0.00032633-0.00096364i,0.00071863-0.0011621i,0.0010883-0.00036823i,0.0004712-0.00015678i,-0.00015722-0.00041881i,-0.00052716-0.00033403i,-0.00071237-0.00065783i,-0.00052501-0.00086379i,-0.00039013-4.6973e-05i,-0.00070629+0.00024256i
0.00040408+0.00061082i,0.00029963+0.0015927i,0.00066569+0.0021203i,0.0012422+0.0014899i,0.0010378+0.00095033i,0.00065283-4.8331e-05i,0.00041045-0.0016496i,0.00037448-0.0013853i,-0.00024441-0.00055863i,-0.00074737-0.0012835i,-0.00049745-0.0012058i,-0.00058117-0.00027265i,-0.00064937-0.00017951i,-0.00074336-0.00017087i,-0.00084623-0.00010997i,-0.00062814-0.00016854i,-0.00054688-6.6863e-05i,-0.0006831-0.00036046i,-0.00024802-0.00080533i,8.0554e-05+3.8732e-05i,0.00047873+0.0006812i,0.00038708+0.00053454i,-0.00018231+0.00036765i
-0.00086525+8.2347e-05i,-0.00089684+0.00080729i,-0.00081769+0.0021082i,0.00057148+0.0019848i,0.0019514+0.00048657i,0.00089277-0.0012725i,-0.00054973-0.00138i,-0.00026868-0.00057179i,0.00062605+0.00015407i,0.00080079+0.00069806i,0.00055757+0.00055625i,0.00054332+0.00049191i,0.00080661+0.0016362i,0.00052336+0.0013712i,0.00017013+0.00015299i,0.00037783-0.00091653i,0.00075128-0.00082849i,0.00066525-0.00039198i,0.0010851-0.00059088i,0.00093085-0.0001549i,-5.8407e-06+0.00028477i,-0.00042308-0.00010527i,-0.0003989-0.00032621i
0.001086-0.00082628i,0.0023554-0.00014086i,0.0011458+0.00050725i,0.00059091+0.00084592i,0.00089279+0.00058077i,0.00090248+0.00069833i,0.00028561+0.00059497i,-0.00040563-9.4184e-05i,-0.0006353-0.00054886i,9.0172e-06-0.000238i,0.0010272-0.00024442i,0.0007085+0.00020598i,-0.00046285+0.00052124i,-0.0006464+0.00015995i,-0.0004909+0.00062189i,-0.001101+0.00069413i,-0.0015461+1.2023e-05i,-0.00088211-0.00024567i,-1.4705e-05-1.0911e-05i,0.00012276+0.0004924i,-0.00034808+0.00034118i,-0.00028686-0.00011594i,0.0002381+0.0001929i
-0.00061431-0.0018793i,-0.0012846-0.0014225i,-0.0011689-0.0016036i,4.4506e-05-0.0014848i,0.0011923-0.00060721i,0.00099702-9.6188e-05i,0.00054403-0.00039344i,0.00036278-0.0010278i,-0.0002063-0.0010931i,-0.00032348-0.00053996i,-0.00016971-1.843e-05i,0.00031023+3.5615e-05i,0.00032433-0.00043624i,-0.00027848-0.00064925i,-0.00052348+5.8408e-05i,-0.00061536+0.00048054i,-0.00040737-0.00057528i,-0.00076166-0.0014628i,-0.001717-0.0010347i,-0.0015478-3.3304e-05i,-0.00082156+0.00050722i,-0.0012021+0.00040559i,-0.0014134+0.00059709i
0.00069635+0.00020324i,0.001275+7.6926e-05i,0.0013955-0.00045358i,0.0011241-0.0011884i,0.0008437-0.00062217i,-2.4613e-05-5.2833e-05i,-0.0010579+5.2904e-05i,-0.00080049-0.00042792i,-0.00054756-0.00053232i,-0.00068476-0.00076181i,-0.00041289-0.00079383i,-0.00026751-0.00030508i,-5.5836e-06+9.5392e-05i,-0.0003398+0.00018746i,-0.00018226-0.0002269i,0.00020111-0.00061985i,6.8036e-05-0.00021438i,3.5478e-05+0.00035006i,0.00012069+0.00016749i,0.00092325+6.1138e-05i,0.0012863+0.00048471i,0.00074883+0.00028434i,0.0008438-0.00069247i
0.00043949+0.0003703i,0.00085804+0.00099948i,0.0014714+0.00045785i,0.0023337-0.00086805i,0.0025388-0.0012422i,0.00092408-0.00035791i,-0.0010099-0.00020021i,-0.00101-9.7803e-06i,-0.00054887+6.477e-05i,-0.00051225+0.00013401i,-0.00059397+0.00018029i,-0.0011796-0.00049444i,-0.00061235-0.001092i,0.0002241-0.00080544i,0.00023032-0.00021131i,0.00045113-0.00041637i,0.00019464-0.00032402i,-0.00040716-0.00039858i,-0.00046651-0.00047309i,-0.00020183-0.00018495i,-0.00012189-0.00045601i,-0.00031794-0.00025966i,-0.00020081+0.00029077i
-0.00023447+0.00069563i,-0.00044665+0.0011427i,0.00083013+0.0013419i,0.0020934+0.0016694i,0.0028289+0.0005753i,0.0030579-0.00076385i,0.0018535-0.00048968i,0.0003928-0.00030856i,0.0001396-0.00068236i,-0.00033486-0.00042982i,-0.0010483-0.00033406i,-0.0005654-0.00085691i,-0.00030325-0.0007988i,-0.00025405-0.00079074i,3.1858e-05-0.00039085i,-0.00013155+0.00046827i,-0.0004708-0.00011667i,-0.00057978-0.00054728i,0.00017615-0.0001732i,0.00080263+7.5757e-05i,0.0002069+0.00029988i,-0.00014362-0.00024503i,-7.3082e-05-0.00050055i
-0.0012221-0.00050243i,-0.0008984-0.00055582i,-0.00087859+0.0003274i,-0.00015488+0.00045299i,0.0010479+0.00015799i,0.0012454-0.00010068i,8.6e-05+0.00023029i,-0.00071644+7.8566e-05i,1.4014e-05-0.00098545i,0.00030587-0.00043584i,-0.0001279-0.00053766i,-0.00049155-0.00067308i,-0.00078636-0.00014077i,-0.00045648-0.00049099i,-0.00031742-0.00044064i,-0.00065955-0.00070146i,-0.00064807-0.0012942i,-0.00090284-0.0009153i,-0.0011491-0.00019137i,-0.0014335-0.00017134i,-0.0018188-0.00037325i,-0.0012102-0.00041075i,-0.00037411-0.00042077i
-0.00042915-0.00057939i,-0.00022403-0.00056286i,-0.00013953-0.00035603i,-0.000499+0.00025666i,-0.00019417-0.00012167i,0.00044633-0.00070405i,-0.00045976-0.00080012i,-0.0011412-0.00067325i,-0.00084144-0.0003398i,-0.00055509+0.00025629i,3.6444e-05+0.00042499i,0.0006372+0.00039555i,0.00020513+0.0010221i,0.00051232+0.00094681i,0.0013081+0.00024361i,0.0011354-9.7242e-05i,0.0005673-0.00018973i,-0.0001378-0.00020946i,-0.00078298-0.00012204i,-0.00085964-0.00022105i,-0.00059542-0.0003584i,0.00020791-0.00031335i,0.00061561+3.6456e-05i
-0.00092905-0.0014183i,0.00026321-0.00049274i,0.0002682+0.00067081i,0.00027064+0.00056896i,0.00098665+0.00044247i,0.0002294+0.00051107i,4.2675e-05-0.00063576i,0.00021773-0.0016719i,0.00016027-0.0012066i,0.00011772-0.00034153i,-0.00084892+0.00017453i,-0.00098657+0.00061905i,-5.8925e-05+0.00076335i,-4.7388e-05+0.00055263i,-0.00078335-0.00022714i,-0.0011273-0.00016516i,-0.00074468+7.0346e-05i,-0.00042059-0.00013181i,-0.00083449+0.00015344i,-0.00098066+6.1137e-05i,9.1758e-05-0.00012745i,0.00050402+0.00024608i,-0.00033825+7.3982e-05i
0.00033212+0.00046445i,0.00016856+0.0010278i,0.00077563+0.0013372i,0.0018014+0.00073861i,0.001937-0.00072679i,0.0018878-0.0017795i,0.0011127-0.0014069i,0.00084456-0.00042581i,0.00083627-0.00016914i,0.00055581+0.00033616i,0.00027069+0.00046361i,1.3352e-05-1.3011e-05i,-0.00037801-0.00053099i,-0.00043342-0.00060213i,0.00034405+8.3869e-05i,0.0010743+0.00089981i,0.0008808+0.00033508i,-3.0333e-05-0.00057284i,-0.00031533-0.0003271i,0.00013087+0.00015982i,-9.6063e-06+0.0002545i,-0.00076585+0.0004129i,-0.00018884+7.0738e-05i
0.00028884-0.0011956i,0.0011595-0.00058194i,0.00091456+0.00010908i,0.0012131+0.00031739i,0.00081205+0.00064899i,-0.00012424+0.00067672i,0.00072356+0.00029901i,0.00093747+0.00025587i,9.7856e-05+3.3467e-05i,2.2168e-05-0.0001055i,-0.00032725-0.00025743i,-0.00080377+7.0814e-05i,-0.0003419+0.00076393i,-0.00088181+0.00071543i,-0.00087725+0.00038883i,0.00019704+1.4853e-05i,0.00011158-0.00028563i,-0.00023812-0.00015066i,-0.00043847-0.00066834i,-0.00018382-0.00087583i,-0.00029788-0.00019317i,-0.00026082+0.00035326i,-8.2756e-05+0.00040647i
0.00031084-0.00017128i,0.0002987-0.00015713i,4.09e-05-0.00080761i,-0.00036995-0.0015942i,0.00020642-0.0014199i,0.0016864-0.0009643i,0.0021864-0.00054822i,0.0012782-0.00089562i,0.00052161-0.001027i,-9.5811e-05-0.00096931i,-0.00044133-0.0010046i,-0.00064847+0.0003919i,-0.00059485+0.0012488i,-0.00043296+0.00095266i,-0.00031386+0.00078465i,-0.00025873+0.00044153i,-0.00067367+0.00037788i,-0.0005722+0.00019015i,-0.00025695+0.00026962i,7.7318e-05+0.00013717i,0.00021551-0.00035418i,7.0768e-06+0.00026459i,-0.00035701-9.8235e-05i
-0.00035162+0.0013351i,-0.0004488+0.0012365i,0.00051483+0.0014395i,0.0014342+0.00095946i,0.00098847-0.00018584i,-3.6799e-05-0.00036085i,-0.00028128+0.00017966i,-0.00027226+0.00063656i,9.3772e-06+0.00049189i,0.00033242+0.00012452i,0.00016725+0.00037386i,0.00015793+0.00045596i,0.00092033+4.497e-05i,0.00091883-0.00011421i,0.00052639-0.00048801i,0.00067188-0.00054788i,0.00036356-7.3243e-05i,7.0808e-05-0.00030469i,-0.00034557+7.4507e-06i,-0.00057871+0.00048376i,-0.00025776+0.00034653i,-0.00033542+0.00015183i,-0.00031978+0.00059425i
0.0012317+7.5514e-05i,0.0017287-0.0005628i,0.0020953-0.0013746i,0.0020669-0.00098946i,0.0014036-0.00081606i,0.00060642-0.00037153i,0.00025734+0.00025301i,-0.00013006+1.5835e-05i,-0.00017518-0.00014622i,1.6851e-05+0.00011295i,0.00014674+0.00011812i,-0.00032089-4.9821e-05i,-0.0009048-0.00041221i,-0.00026877-9.8812e-05i,4.1583e-05-3.052e-05i,7.609e-05-0.00043289i,0.0002202-0.00066903i,0.00062273-0.00089416i,0.0014321-0.00017367i,0.0010379+0.00033975i,0.00034933+6.9382e-05i,-6.6647e-05+0.00041115i,-0.00026432+0.00084382i
0.0010448-0.0022529i,0.0020881-0.00039228i,0.0013666+0.00035758i,0.00074081-3.6125e-05i,0.00079315-0.00070152i,0.0010429-0.00073516i,0.00069077-0.00039994i,0.00047279-0.00045557i,0.0004565-0.00058998i,-0.00025175-0.00065198i,-0.0010936-0.00059618i,-0.00095974-0.00066937i,-0.00073682-0.00047408i,-0.00053775-1.2191e-05i,0.0005043+0.00034506i,0.00083798+0.00075194i,0.00021002+0.00038414i,-0.00045274+9.3145e-05i,-0.00084401+0.00061599i,-0.00060592+0.00089289i,-0.00027647+0.00078441i,-0.00020099-7.1937e-05i,-0.00038424-0.00023097i
-0.00019664+0.0016822i,-0.00076112+0.0019722i,-0.00071431+0.0019407i,0.00097174+0.0017866i,0.0017468+0.0011678i,0.00096843+0.00049133i,6.0799e-05+0.00043514i,-2.1647e-05+0.00029836i,0.0009742+6.3093e-05i,0.0012682-0.00030408i,0.00013723-0.00050042i,-0.00035997+0.00032609i,0.00019313+0.00050629i,5.3783e-05+6.4095e-05i,-0.00048995-0.00058105i,-0.00020206-0.00047266i,-0.00030477-0.00039493i,-0.00081875-0.00040543i,-0.00020386-0.00035998i,-3.139e-05-0.00047979i,-0.00039154+4.6325e-05i,-0.00035546+0.00058282i,0.00012915+0.00010224i
0.00097537-0.0011074i,0.0013944-0.0018522i,0.0012871-0.0017109i,0.0012485-0.00074629i,0.00071767-0.00041548i,0.00082281-0.00057932i,0.00093806-0.00043454i,0.00029989-0.00039155i,-0.00062026-0.00053532i,-0.0016625-0.00045144i,-0.0015221+0.00030405i,-0.0005546+0.00033251i,-0.00021379+7.8685e-05i,-0.00037832+0.00029652i,-0.00029647+0.00020778i,-9.8738e-05-0.00020896i,-0.00038722-0.00064461i,-0.00018427-0.0005266i,-0.00015878-0.00024609i,-0.00024974-0.00081701i,5.7309e-06-0.00098194i,0.0014398-0.0002672i,0.0018318+0.00026308i
0.00033481-0.0015793i,0.00040641-0.0021329i,-0.00047166-0.0020115i,-0.00023015-0.0011406i,0.00010122-0.00025757i,0.00068885+9.68e-05i,0.00094108-0.00047005i,3.0987e-05-0.00016397i,-0.000748+0.00013194i,-0.00050682-0.00066955i,-9.8474e-05-0.0007831i,-1.181e-05-0.00043441i,-0.00026698+0.00030706i,-0.00093235+0.00044446i,-0.00085522-0.0003115i,-2.8628e-05-0.0010797i,-5.3822e-05-0.001013i,-0.00039159+3.904e-05i,-0.0011443+4.3562e-06i,-0.001612-0.00020848i,-0.0013298-5.7807e-05i,-0.00066239-0.00023787i,2.6151e-05-0.00015202i
-0.0004476+0.00066973i,0.00055232+0.00065051i,0.0011151+0.0017081i,0.0015377+0.0017817i,0.0018858+0.0014268i,0.002155+0.00018688i,0.0017976+6.7409e-05i,0.00090493+0.00043131i,0.00083636+0.00040488i,0.00086095+0.00068268i,0.00047561+0.00032214i,-0.0002763+0.00025369i,-0.00032123+0.00033228i,0.00031223+0.00044843i,0.00040621-0.00016735i,0.00065418-0.0006701i,0.00093815-0.00061296i,0.00030202-0.00019519i,-0.00040284+0.0003734i,-0.0006204+0.00062138i,-0.00040245+0.0010129i,3.189e-05+0.0010052i,-0.00036678+1.3531e-05i
