-0.00099216+0.0034221i,-0.00085846+0.001256i,-0.0018183-0.00042881i,-0.0012142-0.0017124i,-0.0012489-0.0016686i,-0.0010726-0.001062i,-0.00074145+4.428e-05i,-0.00069043+0.0011475i,-3.069e-05+0.00080505i,0.0005908-0.00039141i,0.0010682-0.00043287i,0.00063677+0.00039585i,-0.00010215-3.1368e-05i,4.2953e-06-0.00027056i,0.00012832+0.00010149i,0.00023777+0.00030847i,-0.00013183+0.00027027i,-0.00025919+6.835e-06i,0.00012522-0.00063336i,0.00057928-0.00092547i,0.00013299-0.0004727i,-0.00065163-0.0007789i,-0.00041831-0.0009841i
0.00064208+0.0012627i,0.0010925+0.00047476i,0.0018041-0.00030759i,0.002597-0.0012579i,0.0020644-0.0025673i,0.00055687-0.002824i,-0.00010036-0.0018099i,-0.00016437-0.0010561i,-0.00063413-0.00024425i,-0.00091871+0.00018489i,-0.00081347-0.00015357i,-0.000631-0.0002931i,-0.00097703-0.00044011i,-0.00063129-0.00017113i,0.00062242+6.1904e-05i,0.0013407+0.00031588i,0.00090322+0.0010831i,-0.00033776+0.0014198i,-0.00085019+0.0008696i,0.00018092+0.00075326i,0.00060524+0.00080277i,-6.2015e-05-0.00043438i,-0.0003995-0.00088826i
0.0013848-0.0011771i,0.0023745-0.000753i,0.002723-0.00077369i,0.0021818-0.0018887i,0.0008115-0.0020378i,-3.6419e-05-0.00062842i,-0.00034487-0.00033103i,0.00017261+0.00021904i,0.00086004+0.00032764i,0.00027447+0.00059772i,-0.00099456+0.0012564i,-0.0014434+0.00062266i,-0.00069758+0.00031029i,-5.1912e-05+0.00054097i,-0.00017224+0.0003312i,-0.00077286+1.2924e-05i,-0.00073559+0.0004467i,-0.00013736+0.00054405i,-0.00056836-0.0001102i,-0.00096104-0.00099584i,-0.00093575-0.00071774i,-0.0008998+0.00055982i,-0.00043569+0.00065756i
-0.002289+0.00052479i,-0.0017736+0.0019269i,-0.0009011+0.0025487i,0.00032574+0.0013228i,0.0016788-3.9627e-05i,0.001738-0.0011239i,0.0012255-0.0010737i,0.00062774-0.000423i,0.00034465+9.1201e-05i,0.001277+0.00012757i,0.0017297+0.00051333i,0.0016552+0.00023763i,0.0016752+0.00015982i,0.00035543-0.00027917i,-0.00022048-0.0010433i,-0.00032051-0.00051158i,-0.0013537-0.00019509i,-0.0018432-0.00061786i,-0.001307-0.00070383i,-0.00019101-0.00015626i,0.00030753-0.00041318i,0.00028546-0.00097528i,0.00051223-0.00060602i
0.0013912+0.0031733i,0.0021603+0.0025731i,0.0024195+0.00028985i,0.0024915-0.001789i,0.0015224-0.0020891i,0.00057937-0.0014414i,0.0011883-0.00057078i,0.0020307-9.7039e-05i,0.0025632-0.00026481i,0.0027059-0.00064236i,0.0021458-0.00065098i,0.0010657-0.00035092i,0.00021857-1.2723e-05i,-0.00089233-2.1437e-05i,-0.0012062-0.00039641i,-0.00040329-0.00020957i,-9.7686e-05+0.00043458i,-0.0006475+0.00031513i,-0.0010551+0.00032872i,-0.00090972+0.00018191i,-4.7731e-05-7.0814e-05i,0.00042419-0.00040087i,5.6056e-05-0.00059966i
-0.00073558-0.00074575i,-0.00088589+0.00030484i,-0.00018217+0.0011942i,0.00022763+0.0003924i,0.00047315-0.00096813i,0.0011595-0.00069836i,0.0013788+0.00071346i,0.001181-4.1866e-05i,0.00056526-0.0012517i,-0.0001966-0.0015384i,-0.0010545-0.0013733i,-0.0013195+9.1223e-05i,-0.00070211+0.0016927i,5.1886e-05+0.001096i,0.00031099-0.00049472i,0.00047182-0.0015545i,0.0012314-0.0014402i,0.001205-0.0012063i,0.00096671-0.00085776i,0.0010043-0.00048874i,0.00040396-0.00047397i,-0.00018748-0.0003714i,0.00014969-8.387e-07i
0.0025559+0.00079877i,0.0040243-6.9348e-05i,0.00422-0.0011298i,0.0038602-0.0024398i,0.0026555-0.0038448i,0.0016907-0.0041002i,0.00097682-0.0021957i,0.00053963-0.0013152i,0.00055374-0.00099102i,0.00030801-0.00078093i,-0.00078231-0.00053632i,-0.0016732-0.00069741i,-0.0018781-0.0018074i,-0.0007428-0.0015219i,0.00090273-0.00093103i,0.001164-0.0009026i,0.00014766-0.00053817i,-0.0001948-0.0003857i,0.00044238-0.00018166i,0.00041835-6.0068e-05i,-0.00019775-2.6683e-05i,-0.00020474+0.00011341i,0.0005242+6.5627e-05i
0.0022482+0.004431i,0.002391+0.0028628i,0.0022087+0.002239i,0.0025414+0.00015689i,0.0026776-0.0021637i,0.0017367-0.002405i,0.00086111-0.0015374i,-0.00057672-0.00033483i,-0.0012588+0.00055145i,-0.00066907+0.00063422i,-0.00061757+0.00013235i,-0.0012004-0.00067797i,-0.001299-0.0015781i,-7.6945e-05-0.00099865i,0.00078177-0.00030451i,0.00036142-0.00054322i,2.2328e-05-0.00042017i,-0.00044617-2.5032e-05i,8.6179e-05+0.00067009i,0.000392+0.00025633i,0.0005308-0.00077161i,0.00043838-0.00097427i,-0.00053972-0.00017869i
3.3604e-05+0.0017481i,0.00017905+0.0010851i,0.0013401-0.0017813i,0.0015253-0.0038859i,0.0008745-0.0031657i,0.00022415-0.0014785i,2.8859e-05-0.0005996i,-7.1724e-05-0.00028622i,-0.00018937+0.00062155i,0.00014184+0.0011423i,0.00064471+0.00055932i,0.0012714+0.00034739i,0.0015113+0.00058861i,0.00055961+0.0010995i,-0.00072622+0.0011899i,-0.0010337+0.0010431i,-0.00058552+0.0003438i,-6.0393e-05+0.00048248i,-0.00038854+0.0007164i,-0.00058802-2.3521e-05i,-0.00032966-6.5111e-05i,0.00040861-0.0003381i,0.0008642-0.0012197i
-0.00054943+0.000465i,-0.0014532+0.00060646i,-0.0013028+0.0011099i,-2.7049e-05+0.00055343i,0.0011647-0.0011582i,0.0013941-0.0018286i,0.0010213-0.000743i,0.00046224-0.00024322i,0.00074406-0.000519i,0.0012684-0.00070706i,0.0012257-0.001431i,0.0012223-0.001386i,0.00073608-0.00051599i,-2.04e-05+0.00036057i,-0.00064146+0.0011274i,-0.00071548+0.0015713i,-0.00021475+0.0014653i,-0.00026771+0.0006001i,0.00034963+0.0001038i,0.00091541-0.00015707i,0.00079712-0.00021846i,0.00012521-0.00021672i,0.0006051-0.0004862i
0.00080683-0.0026044i,0.0006071-0.0024279i,0.00025631-0.0030344i,0.00063009-0.0023695i,-0.0002536-0.0012166i,-0.00019584+0.00027401i,0.00048869+0.0012849i,0.0010193+0.00062402i,0.0011954-0.00034544i,7.7604e-05+0.00011539i,-0.00047779+0.00072394i,-0.00027654+0.00068525i,-0.00023689+0.0011251i,-0.00055854+0.0005675i,-0.00082776-0.00056797i,-0.00081113-0.00068145i,-0.00068056-0.0002841i,-0.00018853-8.9418e-05i,-0.00010963-0.00078993i,0.00029149-0.00036415i,0.00013443+0.00023474i,-0.00015182-0.00021635i,0.00022294-0.00021478i
