-0.0002074+0.0017567i,-5.1957e-05+0.001083i,-0.00068789+0.0011188i,-9.7073e-05+0.00053974i,0.00054719-0.0011072i,0.00039778-0.0015955i,-0.00014507-0.0020643i,-0.00027445-0.0018612i,-0.00013445-0.0012178i,-0.00021848-0.0013788i,-0.00035549-0.0014377i,-0.0001566-0.00082379i,-0.00026439-0.00013811i,-0.00022095-0.00030313i,-7.7537e-05-0.00047734i,-0.00027793-0.00052169i,-0.00024139-0.0002753i,-0.00066638+6.2924e-05i,-0.00095812-3.2832e-05i,-0.00027916-0.00024774i,-0.00013399-0.00020806i,-7.8071e-06+4.0633e-05i,0.0004018+4.8036e-05i
0.001303+0.0033635i,0.001095+0.0029297i,0.00068649+0.0025517i,0.00058729+0.0020834i,0.00035457+0.00070424i,0.00027321-0.0001041i,0.00061054+4.5461e-05i,0.00062518-0.00070013i,0.00034153-0.0019131i,0.00011327-0.0018221i,-0.00040055-0.0011932i,-0.00035794-0.00053504i,-0.0002715+1.889e-05i,-0.00029717-0.00010448i,4.266e-05-0.00054939i,-6.4396e-07-0.00080116i,-0.00058622-0.00062387i,-0.00051411-0.00025881i,4.9672e-05+0.00020744i,5.1109e-05+0.00020369i,-7.4714e-05+0.00021737i,8.262e-05+0.00017084i,-0.00018822-0.00022689i
0.00023574-0.0011962i,-5.9511e-05-0.0025642i,-0.00046319-0.0034837i,-0.00096222-0.0022166i,-0.0016883-0.00047206i,-0.0015685-0.00019254i,-0.0010846-0.00075268i,-0.0013085-0.0014341i,-0.0017257-0.0018309i,-0.001586-0.0015523i,-0.0013205-0.0013544i,-0.00032966-0.0012187i,0.00016209-0.00096242i,-0.00066996-0.00052303i,-0.0012963+0.00037117i,-0.00053621+0.00067308i,0.00027123+0.00019774i,-0.00013199+0.00010011i,-0.00058205+0.00089719i,-0.00036887+0.00093427i,-0.0003615+0.00026286i,-0.00032004+6.6242e-05i,0.0003356+0.00056389i
0.0018193-0.0012038i,0.001196+8.3032e-05i,0.00050773+0.00030376i,0.00050659+0.00039989i,0.00025959+7.2482e-05i,-0.00015479-0.00038534i,-0.00010042-0.0003728i,-0.0002495-0.001001i,-0.00061935-0.0011709i,-0.00058032-0.00085704i,-0.0012245-0.00069351i,-0.0014949-0.00082295i,-0.0011128-0.00037231i,-0.00083902+0.00053472i,-0.00061932+0.00082995i,-0.00074425+0.00012564i,9.5271e-05-0.00031961i,0.00016655+0.00024053i,-0.00063935+0.00042692i,-0.00084543-7.3248e-05i,-0.0013828+3.5524e-06i,-0.0011325-0.00028093i,-0.00043063-0.00083585i
-0.0013458+5.5387e-05i,-0.0010917+0.00012189i,-0.0015326+0.00065744i,-0.0010127+0.0011356i,-0.0003545+0.0011246i,-0.00020795+0.00040011i,0.00029282-0.00034952i,0.00051574-0.00012386i,0.00025184-0.00019055i,4.6103e-05-0.00081756i,-0.00041161-0.00032688i,-0.00037193+0.00038352i,0.00026363+0.0011161i,0.00044686+0.00059722i,0.00058033-0.00023542i,0.00014838-0.00084711i,-0.00016953-0.00089753i,-0.0005131-0.0005315i,-0.00014784-0.00048518i,0.00034062+2.8255e-05i,0.0010065+0.00017793i,0.0013097+0.00020131i,0.00086634+0.00027117i
-0.0018858-0.0017863i,-0.0019408-0.0025204i,-0.0024454-0.0022494i,-0.0019283-0.00094117i,-0.0006112-0.00043134i,0.00013629-0.0003437i,0.00018767-0.00045375i,2.7732e-05-0.00044378i,-0.00035651-0.00064348i,-0.00042711-0.00052591i,-0.00062049-0.00034898i,-0.0010536+0.00033068i,-0.0010007+0.001215i,-0.00061565+0.0008275i,-0.0004292+0.00025119i,-0.00093437-0.00069959i,-0.0010568-0.00094567i,-0.00011761-0.000741i,-4.2247e-05-0.001178i,-0.00033096-0.0013765i,0.00036787-0.0012559i,0.00042363-0.00038934i,-0.00010915-5.1603e-05i
0.00059732-0.0013492i,0.0012182-0.00067324i,0.00020959+9.8249e-05i,-0.0015014+0.00050795i,-0.0015503+0.00091571i,0.00010614+0.0010482i,0.0011601+0.00029048i,0.00033475-0.00029474i,-0.00032414-0.00026525i,-0.00034647-0.00056328i,-0.00033565-0.0013446i,-0.00028769-0.00038808i,-0.00031603+0.0011477i,-0.00082387+0.0010323i,-0.0018821+0.00036603i,-0.0018593+1.195e-05i,-0.0009145+0.0005288i,-9.5011e-05+0.00020699i,0.00012462-0.00016142i,-0.00013075+0.00037372i,-0.00043355+0.00039437i,0.0005474+0.00047992i,0.00088167+0.00028894i
0.00037032+0.0014405i,0.00090921+0.0012371i,0.0016056+0.0011331i,0.0012011+0.00080868i,0.00089552-0.00013445i,0.00015809-0.0007329i,-0.000731-0.00095639i,-0.00036517-0.0009549i,-0.00026786-0.00072079i,-0.00026823-0.00032945i,-0.00060745+0.0004867i,-0.00080044+0.0003365i,-0.00050337-0.00033741i,-0.0006205-0.00052297i,-0.00019008-0.00067446i,0.00052988+8.5529e-05i,0.00010983+0.00020588i,-0.00057902-0.00060004i,-0.00048283-0.00054833i,7.9904e-05-0.00023356i,0.0002515-6.9902e-05i,0.00020517+9.8701e-05i,7.0882e-05-0.0001848i
0.00061962-0.0011744i,0.0014059-0.0019512i,0.0023446-0.0017485i,0.0017551+0.00014687i,-0.00060216+0.00057979i,-0.0014562+0.00013205i,-0.00059272-0.00049513i,-0.00030036-0.00078636i,-0.00036847-0.00075955i,-0.0011194-0.0013287i,-0.0016434-0.0016474i,-0.0011739-0.0010247i,-0.00050375-0.00018514i,-0.00016075+9.9161e-05i,0.00029445+0.00012368i,0.00042798+0.00042659i,3.0785e-05+0.00032031i,-0.0002052+0.00025973i,-0.00023969-9.4825e-06i,-6.999e-05-0.00023741i,-0.00011195-0.00088108i,0.00017948-0.00078963i,0.00035994-6.2588e-05i
-0.00056503+2.2283e-05i,-0.00075928-0.00039435i,-0.00074879+1.3208e-05i,-0.0011376+0.00052293i,-0.00079141+0.00035876i,4.1021e-06-1.8776e-05i,0.0006943-0.00090848i,0.00056353-0.0013338i,5.9075e-05-0.00086441i,2.8239e-05-0.00094798i,-0.00026842-0.00080693i,-0.00035454-0.00045847i,0.00046124-0.0006255i,-0.00036157-0.00041079i,-0.0012136-0.0007984i,-0.00057629-0.0015109i,0.00011169-0.0011512i,-0.00031199-0.00023441i,-0.00066288-5.9156e-05i,3.9826e-05-0.00030807i,-0.00011347-0.00072494i,4.8088e-05-0.00069962i,0.00020162-0.00030378i
