0.0002055+0.001719i,-0.0002358+0.00091742i,-0.00056255-0.00046831i,-0.00080669-0.0015534i,-0.0020972-0.00098123i,-0.0031101+0.00053289i,-0.0028707+0.00081681i,-0.00083698+0.00087149i,0.00086503+0.0011648i,0.0012165+0.00051351i,0.00049835-0.00015458i,-0.00052932-0.0004996i,-0.00042907-0.00061352i,-4.0504e-05-0.0010863i,3.4054e-05-0.0014193i,-0.00017576-0.00077351i,-0.00038011+0.00012089i,-0.00026364-0.00016837i,0.00031609-0.00054312i,0.00019078-4.9466e-05i,5.7059e-05+0.00035653i,-2.0837e-05-0.00013746i,-0.0005715-0.0002351i
-0.0012442-0.00053893i,-0.00093622-0.00084696i,-0.00048624-0.0010302i,0.00032864-0.00081293i,0.00042946-0.0005962i,0.00033833-0.00047724i,-0.00074311+0.00020992i,-0.0014352+0.00058662i,-0.00094016+0.00063599i,-0.00017665+0.00044222i,6.971e-05-0.00033753i,-0.00040527-0.00041324i,-7.521e-05-0.00016396i,-0.0002542-0.00030581i,-0.00022699-0.00022454i,-0.00040216+0.00059958i,-0.00090469+0.00053609i,-0.00056175+1.1717e-05i,0.00023987-5.5173e-05i,0.00078031+0.0002097i,-8.0632e-05+0.00053941i,-0.00099848-0.00023637i,-0.00071065-0.00017998i
0.00067349-0.0016926i,0.0007189-0.0014492i,5.965e-05-0.0019397i,-0.00027206-0.0021796i,-0.00053926-0.0015512i,-0.00079255-0.0011583i,-0.00057689-0.0011422i,-0.00074068-0.00060522i,-0.00037699+0.00031917i,0.00071807+0.00035012i,0.00067612+0.00052829i,-0.00033815+0.00093374i,-0.0003775+0.0013632i,-0.00011275+0.00076551i,-0.00019162-0.00056203i,5.3452e-05-9.9187e-05i,0.00017438+0.00086794i,-3.6136e-05+0.0010214i,-0.00010716+0.0014462i,-0.00016264+0.0015858i,0.0001432+0.00083742i,1.2519e-05+0.00013442i,-0.00025303+8.9847e-05i
0.0025796-0.00087401i,0.0018743-0.0012461i,0.0030737-0.00060971i,0.0028009-0.00017296i,0.00030464-0.0011913i,-0.00062846-0.0019363i,-0.00067103-0.0010999i,-0.0011157+0.00012847i,-0.00085878-0.00050294i,-0.00017915-0.00079585i,5.4345e-05-0.00037591i,-4.6463e-05-0.00065935i,0.00017319-0.00027885i,0.00022537-0.00024053i,-0.00055663-0.00037982i,-0.00068661+6.5272e-05i,0.00056718+0.00037793i,0.00097799+0.00051972i,0.000508+0.00088628i,0.00088898+0.0011844i,0.00059614+0.0011169i,-0.00014442+0.00054201i,-0.00031559+5.5124e-05i
-0.0024518-0.0036422i,-0.0028415-0.0035685i,-0.0035031-0.0037905i,-0.0032094-0.0028997i,-0.0027786-0.00214i,-0.0018897-0.001026i,-0.0011865-0.00035895i,-0.0012428-4.0518e-06i,-0.0017663+4.9118e-05i,-0.0019115-0.00022755i,-0.0015676+8.67e-05i,-0.00093925-0.00039644i,-0.00088191-0.00034453i,-0.0015716-0.00019913i,-0.0014613+0.00014705i,-0.0006246+0.0011289i,0.0001648+0.0010008i,0.00048506+0.00040346i,0.00081044+0.00029259i,0.00089017+8.0693e-06i,0.0006496-0.00079063i,0.00063547-0.00043769i,0.00070481+0.00024452i
0.0026379-0.00037322i,0.0033313-0.00012208i,0.0032548-0.00071691i,0.0026082-0.0021198i,0.0015019-0.0018862i,0.000272-0.001151i,0.00030246-0.00086753i,5.09e-05-0.00068955i,-0.00080734-0.0013523i,-0.00082847-0.00094256i,-0.00094929-4.501e-05i,-0.0014644-5.7018e-05i,-0.0014766+0.00038857i,-0.0013105+0.00051216i,-0.00073945+4.8317e-05i,-0.00060786+0.0003352i,-0.001213+0.00059625i,-0.001326+0.0007754i,-0.001163+0.00057137i,-0.0010943+9.5149e-05i,-0.00037819-0.00021292i,-0.00056461-0.00023522i,-0.001506-0.00017238i
0.0027902-0.00030413i,0.0028234+0.0010203i,0.0028482+0.0005175i,0.0021076-0.0011549i,0.00051447-0.0014191i,-0.00096104-0.00087859i,-0.00090477-0.00044419i,-1.732e-06-0.00037036i,3.8127e-05+3.6103e-05i,-0.00042044+0.00060069i,-0.00042274+0.00089317i,-0.00027679+6.2701e-05i,-0.00076711-0.00033711i,-0.0011732-9.9315e-05i,-0.00088997+6.8834e-05i,-0.00077914-0.00047836i,-0.00023973-0.0005646i,0.0006644+0.00014762i,0.00059025+0.00037877i,0.00013467+0.00062817i,-0.00035472+0.0010324i,-0.0011153+0.00095155i,-0.00050802-0.00011343i
-0.0010198-0.0018396i,-0.00086102-0.0021658i,-0.0016891-0.0010993i,-0.0012795-0.00025164i,-0.00087751-0.00082875i,-0.0011379-0.00039786i,-0.00050331+0.00018686i,0.00016802-0.00028884i,-0.00020432-0.00062276i,-0.00043416+0.0001001i,-0.00014779+0.00047773i,-3.7361e-05-0.00022716i,-8.8761e-05-0.00057851i,4.9359e-05-0.00014187i,0.00045917+7.3461e-05i,0.00044895+0.00050753i,0.00075578+0.0012109i,0.00070899+0.0011233i,0.00068665+0.00043501i,0.0010094+0.00086401i,0.00057318+0.0012931i,5.0804e-05+0.00021297i,5.1167e-05-0.00090852i
0.00069385+0.0015456i,0.0012807+0.0022393i,0.0011167+0.0030822i,0.0016861+0.0015629i,0.0014005-0.00022034i,0.00063905-0.0012746i,0.00010955-0.0018244i,3.9575e-05-0.0016739i,0.00021789-0.0014365i,0.00049269-0.00072324i,0.00045695-0.00063638i,-0.00019045-0.00078465i,-0.00053305-0.0003149i,-0.00072454-0.00012935i,-0.00069638-0.00046088i,-0.001002-0.00027556i,-0.00027726-0.00020811i,0.0010733-0.00066465i,0.0016698-0.0001114i,0.0013973+0.00086192i,0.00073328+0.0012646i,0.00081524+0.00072133i,0.0012053+0.00013819i
0.0011588+0.00039469i,0.0019074+0.0010601i,0.0020044+0.0010733i,0.0011015+0.00021905i,-9.5736e-05-0.00063625i,-0.0014441-0.00060355i,-0.0012176+3.2665e-06i,-0.00093833+0.00021912i,-0.0010824+9.1021e-05i,-0.001436+0.00029084i,-0.00081001-0.00046986i,0.00044049-0.00083404i,0.00078134-0.000383i,6.2881e-05+0.0003634i,-0.00016191+0.00061037i,-0.00013353+0.00043492i,-0.00065464+0.00079619i,-0.00090646+0.00028557i,-0.00032586-0.00039107i,-3.1844e-06-0.00075331i,0.00029772-0.0012574i,0.00077682-0.0012433i,0.0011264-0.00056588i
-0.00074525+0.00024157i,-0.0016507+0.00059473i,-0.0017983+0.00091567i,-0.0014207+6.9147e-06i,-0.0016294-0.0011516i,-0.0012908-0.0013483i,-0.00081121-0.00036374i,-0.00059653+0.0014438i,-0.00089019+0.0020557i,-0.0011484+0.0010716i,-0.0011196+0.00063997i,-0.0007453+0.00026999i,-0.0001852-0.00068658i,0.00038406-0.0010463i,0.00046643-0.001269i,0.00037698-0.00090677i,-0.00027322-3.5034e-05i,-0.0012943+0.0003222i,-0.0010823+0.00079904i,-0.00033314+0.00057134i,-0.00016751-0.00025694i,-0.00041849+0.00031818i,-0.00061297+0.0010061i
