-0.0041765+0.0011454i,-0.0034488+7.5968e-05i,-0.0043651-0.00074546i,-0.004431-0.0012774i,-0.0039262+0.00021289i,-0.0022734+0.0021431i,-0.00042272+0.0028635i,0.0010149+0.0029874i,0.0013108+0.001586i,0.0015348+0.00020599i,0.0015341+0.00018549i,0.00089135-0.00015668i,0.00023568+5.2697e-05i,-0.00069553+0.00012005i,-0.00055392+8.8428e-05i,0.00026805+0.00033952i,0.00043068+0.00015864i,-1.4056e-05-0.00012952i,-0.00049498-0.00010964i,-0.00061033-9.1952e-05i,-0.00092615-0.00022481i,-0.00052751-0.00013425i,0.00038003+1.7167e-05i
-0.000393-0.00092i,8.6802e-06-0.00032835i,7.9321e-05-0.00012164i,-0.00083067+0.00033022i,-0.0017505+0.0014398i,-0.0017058+0.001339i,-0.00073727+0.0010308i,0.00026114+0.00089133i,0.0010014+0.00051163i,0.0011834+0.0011211i,0.00060126+0.00062633i,0.00046181-0.0010934i,-0.00012295-0.000543i,-0.00047548+0.0014267i,-0.00026944+0.0019309i,-0.00011821+0.0011743i,0.00048178+0.00043795i,9.7244e-05-0.00034082i,-5.3119e-05-0.00070409i,4.332e-05-0.00035699i,0.00024512-0.00028434i,0.00060623+5.1134e-05i,0.00067346+0.00016085i
0.000612+0.0018419i,0.00040687+0.0023256i,-5.2206e-05+0.0023181i,-0.00057366+0.0015323i,-0.0010155+0.0011819i,-0.0019169+0.00030634i,-0.0011368-0.00033988i,0.00041319-0.00029568i,0.00037773+3.3097e-05i,-0.00023571+0.00027399i,0.0001078+0.00010657i,0.0007208-0.00030672i,0.00094656-0.00016734i,0.0010363+0.00036116i,0.00056735+0.00054119i,5.3251e-05+0.00074165i,-4.8588e-05+0.0010737i,0.0002903+0.00032253i,0.0002301-0.00055113i,0.00062576+0.00028741i,0.00075937+0.00096528i,0.00069562+0.00045044i,0.00058473-6.7578e-05i
0.00026535+0.00046633i,-0.00043702+0.0014043i,-0.0013966+0.001615i,-0.0015877+0.0018705i,-0.00098071+0.0023147i,0.00039091+0.002053i,0.0014847+0.00087302i,0.0011103+0.00047025i,0.0012282+0.00094353i,0.0019677+0.00091935i,0.0014986+0.00023082i,0.00024309-0.00048696i,-0.00031136-0.00042009i,0.00026515-9.344e-05i,0.00030208-3.7816e-05i,2.5002e-05-0.00014692i,0.00012976+2.5424e-06i,0.00058198+0.00025443i,0.0011767+0.00060061i,0.0014521+0.00077185i,0.00089964+0.0001136i,9.4369e-05-0.0004422i,-0.00034425-0.00017046i
0.00029182-0.00085304i,-0.00015909-0.00070359i,-0.00017834-0.0012534i,-0.00052081-0.0019856i,-0.0016058-0.0009971i,-0.001517+0.00081379i,-0.00067054+0.0018566i,0.00021543+0.0020101i,0.00081162+0.00099605i,0.00053184-0.00011186i,0.00076269-0.00039608i,0.0011882-0.00027275i,0.00070091+8.098e-06i,-0.00032619-1.0296e-05i,-0.0013404-0.0001746i,-0.0014315-8.7178e-06i,-0.0010122-0.00026296i,-0.00060377-0.00058121i,0.00051672-0.00058889i,0.0010562-0.00093758i,0.00033871-0.00062816i,-0.00048504+0.00028236i,0.00022701+0.00022351i
-0.00056308-0.0014466i,-0.00060838-0.0016909i,-0.00067808-0.0009955i,-0.001403-0.0009951i,-0.0016742-0.00069069i,-0.00069982+0.00082943i,-0.0001843+0.0014951i,1.5512e-06+0.0014039i,0.00047458+0.00048002i,0.0012432-0.00066245i,0.0014728-0.00087194i,0.00074224-9.5941e-05i,-0.00018674+0.00032551i,-1.3007e-05+0.00035157i,0.00058491+0.00065473i,0.00068562+0.0002518i,0.00034502-0.00046908i,0.00033098-0.00078869i,0.00074198-0.00043245i,0.00081889-0.00069659i,0.00056611-0.001005i,0.00084693-0.00022557i,0.00046561+0.00028586i
-0.0027729+0.0010874i,-0.0030967+0.0008908i,-0.003273+0.002391i,-0.0029448+0.0026977i,-0.0022153+0.0017973i,-0.00066307+0.0010294i,0.00075153+0.00079536i,0.0010776+0.0012935i,0.0010057+0.0017816i,0.0012578+0.001814i,0.00092123+0.0012969i,0.00063502+0.00090631i,-2.6235e-05+0.00093292i,7.4022e-05+0.0011013i,0.0010541+0.00061762i,0.00080143+0.00031196i,-0.00036693+0.00028722i,-0.00014605-0.00016933i,-1.8627e-05-0.00023837i,-0.00014444+2.3924e-05i,0.00012403-1.5654e-05i,0.0001477-0.00044867i,0.00031622-0.00049441i
-0.0022081-0.00035581i,-0.0030826-0.0010105i,-0.0033066-0.00072942i,-0.0019782+3.2108e-05i,-0.0016332+0.0012394i,-0.00097464+0.0017399i,5.908e-05+0.00084188i,0.00084165+0.00024891i,0.0010207+0.00013176i,0.00064868+0.00012608i,0.00068925+0.0004014i,0.00028745+0.00044063i,-0.00031352+1.2228e-05i,-0.00020557-0.00041045i,-4.6122e-05+0.00011023i,-0.0010333+0.00070565i,-0.00091691-7.3679e-05i,-0.00039466-0.00055444i,-0.00041414-6.8925e-05i,-0.0003298+0.00011556i,-0.00030515+8.6892e-05i,-0.00032869+4.4147e-06i,-0.0002192-0.00035338i
0.00040379-0.0033894i,0.0013747-0.0027269i,2.1468e-05-0.0023194i,-0.0029381-0.0021643i,-0.0034743-0.00077613i,-0.0025336+0.00013746i,-0.0015713+0.00093055i,-0.00021322+0.0010141i,0.00092552-1.2762e-05i,0.0011297-0.00073139i,0.00095838-0.00041628i,5.4059e-05+6.8527e-05i,-0.00052204+8.0309e-05i,-0.00022063+0.00045103i,0.00013812+0.00055529i,0.00063052+1.6469e-06i,0.00045159-0.00067709i,0.00018085-0.0011176i,0.00013701-0.0009487i,0.00019332-0.00021379i,-0.0005167+0.00032994i,-0.00080433+0.00078306i,-0.00014418+0.00036343i
-0.00047473+1.1571e-05i,-0.00065114-0.0003598i,-0.0019483+0.00047951i,-0.0017573+0.0017323i,-0.0014171+0.0021739i,-0.0010955+0.0019738i,-0.00020349+0.0011644i,0.00059648-0.00033027i,0.00089149+0.00019928i,0.00052321+0.00066634i,0.00099357-0.00030712i,0.0010288-0.0003618i,0.00074529+0.00028398i,0.00077824+0.00081007i,0.00031364+0.00052755i,-2.8765e-05-0.00015608i,0.00011625-0.00057806i,0.00052556-0.00057425i,0.00041184+0.00026766i,3.4111e-05+0.00030331i,-4.7787e-05+9.1729e-05i,-0.0001054+9.8937e-05i,0.00038733+0.00020995i
0.0018188-0.0015551i,0.001479-0.0019102i,0.0007196-0.0021659i,-0.00051903-0.0013049i,-0.0022627+2.9881e-05i,-0.0025264+0.0014802i,-0.00011335+0.0012767i,0.0014014+0.00076157i,0.00073694+0.0002775i,0.00059064+9.6106e-05i,0.00036108+0.00037008i,-0.00046712-5.4781e-05i,-0.0013153+0.00017126i,-0.0015411+9.8584e-05i,-0.00039908-2.0798e-05i,-0.00022012+0.00093741i,-0.00081553+0.00088556i,-0.00025874-0.00030614i,1.4138e-05-0.00031565i,-0.00021357+6.9575e-06i,0.00036451-0.00045977i,0.00038769-0.00084613i,-0.00034822+8.5561e-05i
-0.00058641-0.00071739i,-0.00077053-0.00088622i,-0.001878-0.000484i,-0.0020089+0.00018116i,-0.0014019+0.00014399i,-0.00035067+0.00068929i,0.00042976+0.0010003i,0.00023826+0.00035338i,0.00063023-0.00039358i,0.00097614-0.00052755i,0.00083336+3.1156e-05i,0.00016357+0.00038893i,-0.00049946+0.00064335i,-0.00048374+0.00060891i,-0.00045002+0.00053004i,-0.00020733+0.00066852i,-0.00019428+0.00062603i,-0.00040546+0.00011551i,-0.00069292-0.00025124i,-0.0011202-0.00075258i,-0.0013951-0.0015389i,-0.0005281-0.0014145i,0.00033632-0.00038328i
-0.000605-0.00025525i,0.00034329-0.00060338i,-0.00055363-0.001547i,-0.0015643-0.0024882i,-0.0020765-0.0022088i,-0.0019037-0.00080969i,-0.00015938+0.00036633i,0.00068252+0.00090108i,0.00049008+0.00083731i,0.0003531+0.00066487i,0.00073955-6.2458e-05i,0.0014443-0.0004027i,0.0007874-2.7989e-05i,-0.00023943+0.00024207i,0.00036746+0.0001964i,0.00078281-0.00018418i,0.00031225-0.00048379i,0.00019405-0.0012386i,0.00025981-0.001727i,7.7598e-05-0.0011779i,-0.00037996-0.00073173i,-0.00050149-0.00063347i,0.00012459+0.00010746i
0.0015752-0.0017073i,0.00058701-0.002034i,2.8291e-05-0.0019804i,-0.0014865-0.0014929i,-0.0031074-0.00036269i,-0.0023119+0.00069991i,-0.00083556+0.0011924i,-0.00065984+0.001232i,-0.0010294+0.00093346i,-0.00095468+0.00071009i,-0.0005773+0.00054571i,-0.00043734+0.000249i,-0.0004903-0.00030782i,-0.00029979-0.00067727i,-0.00051517-0.00049258i,-0.00073424-0.00019252i,-0.0002491-0.00051733i,-0.00042695-0.0018162i,-0.00079081-0.002454i,-0.00027604-0.0014685i,0.00031933-0.0003316i,-0.00026719+9.7393e-05i,-0.00078737+0.00020491i
0.00039199-0.0020678i,0.00066404-0.0018004i,-3.1435e-05-0.0012101i,-0.00067707-0.00027648i,-0.00090451+0.00097257i,4.4908e-05+0.0017439i,0.0008563+0.0010574i,0.0010533+0.00033102i,0.0012842+0.00011657i,0.00090123-0.00049224i,-0.00019762-0.0012494i,-0.000535-0.00085587i,-0.00088653+0.00012572i,-0.00096449+0.00016302i,-0.00070427+0.00036969i,-0.0010911+0.00084021i,-0.00079096+0.00024693i,-0.00090029-0.00015556i,-0.00054083+0.00027527i,-7.643e-05+0.00041356i,-0.000109+0.00033708i,-0.00015103+0.00048949i,-5.1335e-05+3.0226e-05i
-1.3383e-05+0.002004i,1.9874e-05+0.0026396i,0.00073788+0.0013487i,0.0004725+0.00023806i,-4.9588e-06+0.0010283i,0.00058703+0.0012682i,0.00092221+0.00038263i,0.00061169-4.5839e-05i,0.00084709+0.00028846i,0.0013611-0.00047974i,0.0013866-0.00074837i,0.00045373-3.8669e-05i,0.00035454-9.8662e-05i,0.0010959-0.00029324i,0.0011907-0.00017491i,0.0010156-6.3974e-06i,0.00070381-0.00028196i,0.00072379-0.00029998i,0.0014005-0.00012655i,0.0013057-0.00038918i,0.00066287-0.00044075i,0.0002713+0.00025385i,3.9383e-05+0.00068053i
8.3791e-05+0.00064656i,0.00036846+0.00071064i,0.00077922+0.00068961i,-0.00035418+0.00024804i,-0.0012169-0.00055849i,-0.00052686+0.00021934i,0.00012864+0.00080953i,0.0003127+0.00039977i,0.00065743+0.00023446i,0.00099733+0.00079957i,0.001091+0.00030176i,0.00097593-0.00047885i,5.8631e-05-0.00029183i,-0.0006599+5.9005e-05i,-0.0008596+0.00039317i,-0.00098023+0.00051408i,-0.00050817-0.00012636i,-0.00044818-0.00066816i,-0.00064057-0.00011974i,-0.00026295-5.0102e-05i,-0.00081777-0.00055089i,-0.00070622-0.00043605i,-4.6176e-05+0.00056562i
-0.0013739+0.0033876i,-0.0013151+0.0028943i,-0.001389+0.0024483i,-0.00048545+0.0012319i,0.00031486+5.1559e-05i,-0.00024146+0.00054938i,-0.00049355+0.000749i,0.00026934+0.00059742i,0.00083352+0.00066418i,0.0009794+0.0001517i,0.001024-0.00023898i,0.00089093+0.00036958i,0.00019507+0.00077952i,-0.00011226+6.752e-05i,0.0001447-0.00016287i,0.00037055-0.00026725i,0.00023875-0.00058453i,-0.00069314-6.126e-05i,-0.00018246-0.00048783i,0.00086052-0.0010234i,0.00033664-0.00016171i,0.0001034+0.00017177i,7.9394e-05+0.00012856i
0.0013112-0.0038282i,0.00092265-0.0042351i,-0.0011205-0.0039626i,-0.00364-0.0027419i,-0.0040643-0.001266i,-0.0017637-0.00063012i,0.00066016+0.00038895i,0.0010334+0.00097083i,0.00034419+0.00090623i,-0.00020282+0.0004884i,-7.6223e-05+8.8463e-07i,0.00030129+0.00019597i,0.00052556+0.00049754i,0.00022101+0.00060399i,0.00027204+0.00043304i,0.00049227-0.00017904i,0.00013659-0.00057608i,4.5792e-05+0.00051414i,0.00012566+0.00090769i,-7.0048e-05+0.00015529i,-0.00013545+0.0001729i,0.00017844+0.00045248i,-9.4391e-05+0.00084389i
0.0011042+0.0018162i,0.0013574+0.0025172i,0.0025609+0.0026228i,0.0025878+0.0015024i,0.00085073+0.001121i,-0.00099393+0.00067443i,-0.00019567+0.00021376i,0.00091752+0.00094699i,0.001072+0.0012795i,0.0010768+0.00059649i,0.0010358-0.00024177i,0.00093893-0.00011748i,0.00085435+0.00071798i,0.00052954+0.00091671i,0.00030616+0.00019975i,0.00042338+0.00032275i,0.00029667+0.00040767i,0.00042123-4.5208e-06i,0.00062158+0.00022897i,0.00036139+0.00021076i,5.0846e-05-0.0001585i,-0.0002903-0.00028088i,-4.1335e-05-7.5073e-06i
-0.00031336-0.0015751i,-0.00074181-0.0021978i,-0.0010679-0.0030763i,-0.00094948-0.0028596i,-0.0016238-0.00096591i,-0.0021713+0.0011048i,-0.0014305+0.0016352i,-8.6476e-05+0.00070675i,0.0012091-0.00034575i,0.0009451-0.00085363i,0.0002392-0.0010929i,0.00011026-0.0006849i,6.8596e-06-0.00016038i,-0.00079925+0.00023534i,-0.0013053+0.00016715i,0.00019108+0.00058101i,0.0010547+0.00050859i,0.001182-0.00064965i,0.00044004-0.00052406i,-0.00063523-0.00053864i,-0.00098588-0.0004632i,-0.00072597-0.00044711i,-0.0005033-0.00041488i
0.00036043+0.0016358i,8.6114e-05+0.0017053i,-0.00023825+0.00096688i,-0.00068864+0.00045793i,-0.00078263+0.00033445i,-0.00042396+0.00088481i,0.0002326+0.0010372i,0.00065001+0.0016049i,0.00026404+0.0010278i,0.00044207-0.00043849i,0.0010314-7.8294e-06i,0.00044296+0.00045671i,-0.00017658-0.00010634i,-0.00037619-7.1722e-05i,-0.00037509-0.00062364i,0.00058061-0.0010904i,0.00067591-0.0008932i,0.00056567-0.00039584i,0.00064465-0.00024885i,-0.0001373-0.00026772i,-0.0010679+8.5907e-05i,-0.0012522+0.00056876i,-0.00039127+0.001006i
-0.0019705-0.0011392i,-0.0010507-0.00050174i,-0.00086625-5.4472e-05i,-0.0011636-0.00037344i,-0.0020597-0.00016296i,-0.0020551-0.00027229i,-0.00039341-0.0010686i,9.366e-05-0.00086159i,9.2656e-05-0.00068873i,0.0013116-0.00093632i,0.001396-0.00071996i,0.00042397-0.00034308i,0.00032811-0.00010539i,0.00070711+0.00011416i,3.1725e-05+0.00045345i,-0.00060871+0.00078195i,-0.00053269+0.00066052i,-0.00029562-9.4107e-06i,-0.00040089-0.00060393i,-0.00033166-0.000865i,-0.00031412-0.00039644i,-0.00033478+0.00031204i,0.00014633+0.00013296i
-0.0010983+0.00013547i,-0.00076856-1.6343e-05i,-0.00088725+0.00027434i,-0.0017374+0.00030299i,-0.0013537+0.00043447i,-0.0003326+0.00034455i,-2.7377e-05+0.00019945i,-0.00030539+0.00029341i,-0.00040287-0.00035469i,0.00022264-0.00030809i,0.00081668+0.00036939i,0.00061611+0.00020746i,-9.266e-05+0.00032013i,-0.00043929+0.001216i,-0.00016969+0.0013636i,0.00013792-4.4981e-05i,0.00073198-0.001031i,0.00047596-0.0016513i,-0.00026653-0.0014623i,-0.00086584-0.00010268i,-0.00069522+0.00035578i,-0.00028449+0.00024533i,9.3463e-05+3.1112e-05i
-0.00075734-0.0017781i,-0.00098825-0.0021244i,-0.0016152-0.0025763i,-0.0028866-0.0016813i,-0.0033967+0.00029263i,-0.0018887+0.002176i,0.00021473+0.0016516i,0.0013976-0.00011697i,0.0013255-5.8223e-05i,0.00095126+0.00068151i,0.00036877+0.00068976i,-0.00021669-0.00032815i,-0.00062717-0.0004822i,-0.00060859+0.00050715i,-0.00025764+0.0010251i,3.7241e-07+0.00024889i,0.00017031-0.00053609i,0.00034129-0.00017772i,-0.00039545+0.00038978i,-0.0012934+0.00062116i,-0.00066448+0.00065634i,0.0001405+0.00031862i,1.7001e-06-7.6385e-05i
-8.2353e-05+0.00069884i,-0.00028525+0.00027758i,-0.00044111+0.00028617i,-0.0019246+7.0959e-05i,-0.0024677-0.00092176i,-0.0018707-0.00084469i,-0.00045668-0.00034866i,0.00037632-0.00016707i,0.0004761-0.00046943i,0.00067553-0.0010316i,0.00015278-0.00096426i,-0.00030465-0.00025616i,-0.00015287+0.00011079i,0.00033933+0.00020337i,0.00039021+0.00057059i,0.00046559-0.00040803i,0.00048587-0.00040385i,-0.00019557+0.00061127i,-0.00039744+0.00010281i,-0.00026293-0.00081922i,-8.8597e-05-0.00056932i,-0.00029362+0.0001545i,-0.00034699-0.00010371i
0.0025574-0.0019181i,0.0029172-0.0022596i,0.0023216-0.0023639i,0.0011434-0.0024132i,-1.2932e-05-0.0017967i,-0.00041009+5.9005e-05i,0.00044293+0.00075312i,0.0011451+0.00092295i,0.0017035+0.00064986i,0.0014125-6.3284e-05i,0.00042199-0.0010333i,-0.00034799-0.0014691i,-0.00057388-0.0012249i,-0.0010115-0.00069359i,-0.0016653+4.329e-05i,-0.00097525+0.00065574i,-0.0001454+0.00079597i,0.00034781-3.7095e-05i,0.00070441+0.00017215i,0.00036239+0.00092531i,0.00027877+0.0009647i,0.00020646+0.00096303i,-0.00013847+0.00072172i
-0.0024372+0.00066563i,-0.0026548+0.0011081i,-0.0022487+0.0012199i,-0.0014197+9.5102e-05i,-0.0013353+0.00038793i,-0.00093497+0.00090909i,0.00027809+0.0010126i,0.00063768-6.6092e-05i,-9.3555e-05-0.00033215i,-5.1496e-05+0.0003775i,0.00036134+0.00068003i,0.00066927+0.00061679i,0.00078742+0.00044851i,0.00015278+6.3818e-05i,-0.00011399+0.00014328i,-0.00049556+0.0001405i,-0.00096564-0.00077472i,-0.00072996-0.00066466i,-0.00062759-0.00044231i,-0.00048351-0.00063597i,-8.163e-05-0.00014697i,0.00042101+0.00024132i,0.00059395+0.00049309i
-0.0046519-0.0013729i,-0.0053969-0.0012008i,-0.0048306-0.00098483i,-0.0038881-0.00088098i,-0.0033079+0.0012167i,-0.001233+0.0027521i,0.00039165+0.0022998i,0.00053+0.0017041i,0.0005744+0.0012905i,0.00049531+0.00085973i,0.00063436+0.00096552i,0.00019648+0.0013077i,-0.00017539+0.0013401i,0.00018209+0.00076452i,0.00052999+0.00043342i,-0.00026785+0.00062681i,-0.00028512+0.00028791i,0.00015025+0.00031169i,-7.7376e-05+4.3504e-05i,0.00073971-0.00021192i,0.00046465+0.00043297i,-0.00031841+0.0006724i,-0.00020633+0.00034034i
0.00029632-4.752e-05i,0.00024988+2.8122e-06i,-0.00012001+0.00017618i,0.00033399+0.00024774i,0.00058598+0.00038092i,-0.0011251+0.001244i,-0.0010326+0.0014558i,0.00095291+0.00085056i,0.0014648+0.00077937i,0.00090466+0.00049511i,0.00040665-0.00041658i,-0.00077011-0.0014495i,-0.00093997-0.0011706i,-0.00064249-0.00061403i,-0.00037872-0.0009919i,0.00046381-0.00067053i,0.00061712-0.0002408i,-0.00024859-0.00018795i,-7.6842e-05+0.0003027i,0.00035305+0.00020575i,-0.00060419-0.000364i,-0.0013153-0.00018508i,-0.00034452-3.0635e-06i
0.00060068-0.00023854i,0.00055143-0.0010187i,0.00082911-0.0021884i,0.00021241-0.0016619i,-0.0010678+0.00061532i,-0.00060406+0.0021513i,0.00054148+0.0020785i,0.00028292+0.00042412i,-0.00018347-0.00012417i,-0.00013177+0.00052338i,-0.00020263+0.0006183i,-0.00050501+0.0003888i,-0.00096578+0.00027641i,-0.0009016+0.00058677i,-0.0008371+0.00037191i,-0.00088657-0.00023202i,0.00026872-0.00029559i,0.0010289-0.00011675i,0.00048272-0.00036474i,5.1295e-05-0.00051173i,-0.00035488-0.0004245i,-0.00038382+0.00026917i,-4.7262e-05+0.00087835i
-0.00046253+1.3971e-05i,-0.00073855+0.00037129i,-0.0013349-0.00073958i,-0.002076-0.00085145i,-0.0025644+0.00051591i,-0.0022019+0.0012067i,-0.00045216+0.00086104i,-0.00030097+2.6249e-05i,-0.00057368-6.0714e-06i,0.00019972+0.00038765i,0.00029093+0.00031112i,0.00018139+0.00037926i,0.00020243+0.00080361i,0.00012162+0.00092606i,-0.00010934+0.00048039i,-0.0006325+0.00025422i,-0.001264+0.00025158i,-0.0012147+0.00065584i,-0.0012496+0.00036761i,-0.00075205-0.00030756i,-0.00041515-0.00022329i,-0.001048-0.0002978i,-0.00061057-9.6804e-05i
-0.00021219-0.0029809i,0.0010015-0.0031784i,0.000276-0.0032737i,-0.00064608-0.0021941i,-0.0012299-0.00057913i,-0.0011429+0.00034744i,0.00013638+0.0011066i,0.00097531+0.0012585i,0.00090786+0.0010784i,0.0006613+0.0011435i,-0.00013417+0.00034097i,-0.00075603-0.00060952i,0.00031432-0.00027094i,0.0011935+0.00043011i,0.00020277+0.00067656i,-0.0011847+0.00044536i,-0.00099597+3.6184e-05i,-0.00069924+8.8903e-06i,-0.00056728-0.00035239i,-0.00033846-0.00079579i,-7.3307e-05-0.00069161i,0.0001722-0.00032047i,0.00035994+0.00036708i
