-0.0023102-0.00087198i,-0.0029926+0.00026524i,-0.0026938+0.00080007i,-0.0013772+0.00057106i,-0.0005454+0.00077177i,-0.0011789+0.00059257i,-0.0012404-0.00060714i,-0.00061482-0.00096694i,0.00035837-0.00031025i,0.0010996+0.00012312i,0.00086929+0.0002682i,0.00052447+0.00014636i,0.00065853-0.00058768i,0.00076483-0.00094046i,0.00033351-0.0010942i,-9.6926e-05-0.00096842i,-0.000886-0.00045199i,-0.00044333-0.00041994i,0.00057761-0.00057992i,3.314e-05-0.00056272i,-0.00064295-0.00046915i,-7.1803e-06+5.2792e-05i,-7.7463e-05-4.9143e-05i
-0.0006244-0.0010483i,-0.0012601-0.0012047i,-0.0013114-0.0013455i,-0.0013244-0.00086455i,-0.0011802+4.1005e-05i,-0.00010707+0.00053786i,0.00066763+0.00062059i,-4.2238e-05+0.0006577i,-0.00019051-0.00018063i,-1.4112e-05-0.00042273i,-0.00059785-0.00052949i,-0.00024936-0.0010363i,0.00019955-0.00066199i,-0.00015497-0.00028292i,0.00012982+0.00030814i,0.00083206+0.00077428i,0.00078424+0.00064579i,-5.1366e-05+0.00010422i,-0.00050505-0.00029996i,-0.00033166-0.00035223i,-0.00024915-0.00022677i,-0.00016675-0.00034555i,-9.5601e-05-0.00058798i
0.00034053+0.00087502i,0.00058444+0.0012601i,-0.00032027+0.0022784i,-0.0012159+0.0011736i,-0.00090352+0.00056974i,-0.00075676+0.0011137i,-0.0009571+0.00061194i,-0.00029027+0.00066999i,0.0001507+0.00094092i,0.00036205+0.00037146i,0.00098866-0.00039693i,0.0013041-0.00095125i,0.0012742-0.0014028i,0.00084158-0.0012311i,0.00050621+0.00017007i,0.00045158+0.0011075i,0.00034761+0.00082838i,9.896e-05+0.00058758i,-0.00011854+0.00036826i,0.00027248-0.00011355i,0.0004389-0.00037304i,0.00041911+0.0004393i,0.00051535+0.00072318i
-0.001131-0.0015874i,-0.0019955-0.0010118i,-0.0022847-0.00025643i,-0.0026278+0.00073742i,-0.002237+0.0010729i,-0.0017019+0.001131i,-0.00045473+0.00067313i,0.00052022+0.00059198i,0.0005071+0.0011613i,0.00090538+0.00076453i,0.0010703-0.00042515i,0.00057954-0.00069172i,0.00024118-0.00035577i,0.00044551-0.00050114i,0.00030213-0.0002113i,-0.00024305+0.00061429i,-0.00055523+0.00032956i,0.00024092+2.2946e-05i,0.00079746-4.6066e-06i,9.9334e-05-0.00023198i,-0.00036573-0.00074477i,-0.00047831-0.0011917i,-8.4198e-05-0.0012474i
-0.0029222+0.0016228i,-0.0024789+0.0026063i,-0.0019459+0.0025911i,-0.00091253+0.0018744i,3.9486e-05+0.00089643i,-0.0004288-0.0006827i,-0.00016528-0.0010766i,0.00059455+2.3846e-06i,0.00067093+0.00043368i,0.00073198+0.00063881i,0.00085406+0.00023877i,0.00065826-0.0006044i,-0.00062209-0.0012585i,-0.0011208-0.0016846i,-0.0004084-0.0017198i,-0.00029327-0.0011362i,-5.0429e-05-0.00049597i,0.00099712-0.00041042i,0.001187-0.00064048i,0.00057654-0.00030169i,0.00015881+9.7764e-05i,-0.00035218-0.00024292i,-0.00029683-0.00021795i
-1.3813e-05-0.0018183i,0.00055501-0.0024059i,-0.00020654-0.0017616i,-0.0012637-0.0017791i,-0.00081944-0.00085972i,-0.0013963+0.00037557i,-0.0012686-6.1185e-05i,-0.00022597-0.00037125i,-8.6179e-05-0.00011217i,-0.00033651-0.00058788i,-0.00017113-0.0011871i,0.0005598-0.0010332i,0.00048229-0.00050984i,0.00058427-0.00055984i,0.0010182-0.00056307i,0.00043357-0.00051095i,0.00011961-0.00038637i,0.00069031-0.00028057i,0.0011499+1.2225e-05i,0.00038193+0.00045166i,-0.00020351+0.0002338i,-3.2536e-05-0.00017835i,0.00061587+1.7568e-05i
0.00033706+0.00053208i,9.9688e-05+0.00092002i,-0.0011161+0.00078212i,-0.0018809+0.0008551i,-0.0019569+0.00071355i,-0.001359+0.00067765i,-0.0015668+0.00011963i,-0.0012683-0.00028039i,-0.00012485+0.00029854i,0.00094838+0.00032882i,0.0011298+0.0001502i,0.00066799-0.00020913i,0.00060311-0.00092376i,0.00065837-0.0012015i,0.00062218-0.00037685i,5.6679e-05+0.00031809i,-0.00068974+0.00026627i,-0.0005502-0.00028775i,0.0005978+1.6858e-06i,0.00060284+0.00040648i,4.9475e-05+0.00051049i,-0.00013631-0.00024622i,-0.00024377-0.00066747i
0.00051018-0.00083129i,0.00057615-0.0020351i,0.00057608-0.0032847i,0.00034308-0.0027686i,0.000134-0.0004507i,-0.00098056+0.00066258i,-0.0018145+0.00021279i,-0.0012447+0.0003079i,-0.00045704+0.00096423i,-0.00014874+0.0012688i,8.1145e-05+0.00059466i,0.0004405-0.00028661i,0.00063524-8.6108e-05i,9.1914e-05+5.9436e-05i,0.00037254+2.7571e-05i,0.00033871-0.00055405i,0.00053082-0.00097113i,0.00081599-0.00039145i,0.00040588-0.0003725i,2.8591e-05-0.00048517i,0.00023974-5.3207e-05i,0.00037005+0.00014937i,0.00036245+0.00022473i
0.00070528-0.00050366i,0.00099591+0.00016276i,0.0010957+0.00052703i,0.00099479+1.4474e-05i,0.00025099-0.00098395i,-0.00085407-0.0015211i,-0.0004902-0.0015476i,-0.00014694-0.00062645i,-0.00033777+0.00038938i,0.0001412-0.00011503i,0.00059195-0.0012812i,0.00051363-0.0017579i,0.00024337-0.0015396i,-0.00022834-0.00064311i,-0.00014589-0.00021303i,0.00047803-0.0003195i,0.00037986-0.00049461i,0.00039236-0.0006088i,0.00041221-0.000203i,0.00028073-0.00026768i,-0.00024552-0.00047644i,-0.00067368-3.8989e-05i,-0.00020237+0.00055688i
-0.00021555-0.0011895i,-0.001253-0.00077069i,-0.0022379-0.0015535i,-0.0026847-0.001567i,-0.0026313-0.00069919i,-0.0023306+0.00015326i,-0.0013355-0.00067117i,-0.0001414-0.00067257i,-9.7e-05+0.00076457i,0.00013861+0.0013962i,0.00058622+0.00046721i,0.00055805-0.00059613i,0.00085226-0.0011693i,0.0015699-0.0013893i,0.00096185-0.00054049i,-0.00028286-3.9474e-05i,-0.00058425-0.00022827i,-0.00065447-0.00010906i,-0.00051291-0.0002181i,0.00023454-0.00070572i,0.00022113-0.00011082i,0.00016585+0.00038268i,0.00044604-5.1224e-05i
