0.0015648-0.00064745i,0.0014997-0.001336i,-0.00018532-0.0034661i,-0.0019913-0.0031305i,-0.0015851-0.00070394i,0.00020154+0.00012936i,0.0013175-0.0012949i,0.0010426-0.0022817i,-0.0001177-0.0031767i,-0.0010982-0.0027523i,-0.0022448-0.0011866i,-0.0013625+0.00088616i,0.0013006+0.0017388i,0.0023919+0.000748i,0.0020638+0.00015238i,0.0011217-0.00021445i,-0.0001411-0.0013261i,0.00020512-0.0015751i,0.0010033-0.0010896i,0.00082571-0.00045894i,0.0003312-0.00036617i,0.00025904-0.0004997i,-0.00023162-0.00080331i
-0.0012019+0.0014283i,-0.0026618+0.00032451i,-0.0031228+0.00049226i,-0.0014541+0.0021238i,0.00039063+0.0023237i,0.0010845+0.0011533i,0.001768-0.00034394i,0.0021598-0.0026329i,0.0021639-0.0035174i,0.0015748-0.0025752i,-0.00010376-0.0024148i,-0.0023707-0.0020156i,-0.0035835-0.00098422i,-0.0031822-0.00069303i,-0.0017795-0.0010141i,-0.00017929-0.00081497i,0.00043456+0.00038606i,0.00022751+0.000584i,-0.00030767+4.8312e-05i,-0.0011837-0.00060887i,-0.0017044-0.0010546i,-0.0012467-0.00057944i,-0.00085609+0.0003684i
0.0011267-0.0013572i,0.002755-0.00095895i,0.0030748+0.00028835i,0.001004+0.00033739i,-0.00085151-0.0011805i,-0.00039621-0.0011096i,0.00059027-0.0013544i,0.0014209-0.0017059i,0.0019307-0.0015363i,0.0019292-0.00092762i,0.0020299+0.0015165i,0.0023356+0.0020779i,0.0025364-0.00035575i,0.0020731-0.0012359i,0.00070504-0.00061609i,-0.00046514-0.00048761i,-0.0002889-0.0011128i,-0.00054679-0.00097389i,-0.00074001-0.00038838i,0.00019078-0.00090209i,0.00040151-0.00082372i,0.00060809-0.00088896i,0.001632-0.00059231i
0.00089841+0.0003213i,0.00090107-0.00077208i,0.0012119-0.0020063i,0.00090742-0.0020792i,-0.00033097-0.0011021i,-0.00076829+0.000523i,0.00043471+0.0015026i,0.0022622+0.0010122i,0.0022032-0.00097104i,-0.00029196-0.0020459i,-0.0019331-0.0013123i,-0.0013599-0.00021622i,-0.0010482+0.00058917i,-0.00080701+0.00023163i,-0.00015301-0.00066193i,0.00030758-0.0013716i,0.00017692-0.0016425i,-8.52e-06-0.0011905i,0.00012383-0.00035374i,-0.00022462-0.00015733i,-0.00078018+0.00018073i,-0.00060566+0.00021883i,-0.0010757-0.00046064i
-0.0013775+0.00054316i,-0.0029599+0.0011469i,-0.0039389+0.0015768i,-0.0028991+0.0018805i,-0.00059481+0.0016415i,0.00073385+0.00029684i,0.00086426+1.4928e-05i,0.0019+0.00024432i,0.0028446-0.00078988i,0.002568-0.0023402i,0.0013532-0.0029126i,0.00074971-0.001963i,-3.2021e-05-0.0016075i,-0.0015312-0.0011869i,-0.00079686-0.00042851i,0.00044533-2.9784e-05i,0.00016384+0.00014159i,-5.1181e-05-8.1569e-05i,0.00057624-0.00053744i,0.00038988-0.00043728i,-0.00060182+0.00011133i,-0.00074887+0.00027656i,0.00025099-0.00032443i
0.00054718-0.00089018i,0.00082965-0.0025738i,0.0010819-0.0033764i,0.0013196-0.0021177i,0.00075332-0.00024695i,-0.00052235+0.00079385i,-0.00077599+0.00043669i,-0.00082934-0.00053584i,-0.00058618-0.0011572i,-0.00035482-0.00042048i,-0.00045106+0.00013077i,0.00026786-8.3391e-06i,0.0012611-0.00026649i,0.00063023-0.00073631i,-0.00021357-0.0013195i,-0.00021793-0.0011615i,-0.00052969-0.0012607i,-0.00058961-0.0017494i,3.972e-05-0.0018305i,0.00075493-0.0010243i,0.00069774-0.0002652i,-0.00025032-0.00012644i,-0.00054485-0.00019112i
0.00093188+3.8952e-05i,-0.0011966+2.6752e-05i,-0.0030715-0.0022379i,-0.002931-0.002962i,-0.0019379-0.0012697i,-0.0010159+0.00058416i,0.00045205+0.0010573i,0.00028364-0.00014221i,-0.00059084-0.0017323i,-0.0012093-0.0028365i,-0.0017786-0.0025937i,-0.0018421-0.0010613i,-0.0024072-0.00024972i,-0.0015675-0.00059413i,-0.00029107-0.0011065i,-0.0003477-0.0018129i,-0.00048936-0.0023588i,-0.00010806-0.0019868i,0.00014646-0.0010219i,-0.00029745-0.00066722i,-0.0013593-0.00090052i,-0.0017523-0.0013546i,-0.0013787-0.0016686i
-0.0010204-0.0016027i,-0.0007146-0.0010336i,-0.00069106-0.00041974i,-0.0014141-8.2366e-06i,-0.0014685+0.00041654i,6.8423e-05-0.00040501i,0.00096487-0.0015389i,0.00055568-0.0014473i,0.00056529-0.0027842i,0.0014411-0.004012i,0.0019263-0.002647i,0.0020216-0.0018333i,0.0017769-0.0018815i,0.0014153-0.0009689i,0.0014317-0.00015022i,0.0015914+0.00014059i,0.00088502+0.00090428i,-6.7178e-05+0.0011107i,-0.00014001+0.0012462i,-0.00035527+0.00046507i,-0.00063419-0.00072678i,-0.00033733-0.001374i,-2.4783e-05-0.0012478i
0.00022726+0.00068905i,-0.0010985+0.0012586i,-0.0021162+0.002495i,-0.0019285+0.0028274i,-0.0005941+0.0013662i,0.00044228+0.00051831i,0.0012185-1.1799e-05i,0.0014104-0.0005922i,0.00072465-0.00093018i,0.00070522+5.9404e-05i,0.00031147+0.0017001i,-9.4198e-06+0.0022083i,0.00010461+0.0013279i,-0.00022057+6.1333e-05i,-0.00090222-0.0010961i,-0.0012059-0.001504i,-0.0009849-0.0016401i,-0.00061987-0.0018631i,-0.00045262-0.00055637i,-0.00079181+0.0010047i,-0.0011994+0.0010984i,-0.0011101+0.0013329i,-0.00058363+0.0012766i
0.00093194+0.0020249i,0.0010529+0.001959i,0.00064849+0.00078929i,2.5851e-05+0.00017354i,4.9144e-05+0.00020048i,0.0006544+6.1739e-05i,0.0012804+0.00023675i,0.0023491+8.8692e-05i,0.0018924-0.00096077i,-0.00034907-0.0021182i,-0.0017269-0.0027954i,-0.0014335-0.0029457i,-0.0016699-0.0027596i,-0.0019716-0.002503i,-0.0011001-0.0019261i,-0.00053983-0.001629i,-0.00054977-0.0016992i,-0.00051735-0.0015187i,-4.1565e-05-0.0012305i,0.0003294-0.0016182i,-4.4108e-05-0.0016649i,-0.00063351-0.0011231i,-0.00043671-0.00094977i
