-0.0029923+0.00069891i,-0.0036397+0.00059708i,-0.0033936+0.0024311i,-0.00082384+0.0029646i,0.0010123+0.001569i,0.0010203+0.0013602i,-8.1233e-05+0.0029586i,-2.2577e-05+0.0035816i,0.0007406+0.0023995i,0.0009828+0.0012434i,0.00056117+0.00026152i,0.00054011-0.00091957i,0.00052373-0.0015057i,6.2299e-05-0.0013204i,-5.3802e-05-0.00019755i,9.021e-05+0.00069393i,0.00033939+0.00102i,-0.00022514+2.9134e-05i,-0.00036097-0.00052551i,0.00015527+0.00031698i,0.00012054-0.00056232i,0.00028708-0.00073206i,0.00026058+1.117e-06i
0.0010091+0.00080344i,0.00064606+0.00046867i,0.00078266-0.00028772i,0.0008061-0.0013272i,0.00072268-0.0020349i,0.00024496-0.0012335i,0.00036748+0.00035123i,0.00079735+0.00061737i,0.00011701+0.00052965i,0.00035072+0.00031242i,0.00024795-0.00053601i,0.00018294-0.00080681i,0.00035023-0.00055662i,-0.00020799-0.0011386i,-0.00017276-0.0011212i,0.00012855-0.00069136i,0.0001389-0.00090036i,-3.4773e-05-0.00026884i,-0.0005769-2.6747e-05i,-0.00066374-0.00034512i,-0.00061146+0.00044846i,-0.00050526+0.00037399i,0.0001896-0.00078792i
0.0010014+0.0014445i,0.0014285+0.001426i,0.0028103+0.00072959i,0.0029601-0.00070608i,0.0013193-0.001464i,-4.2275e-05-0.0016195i,-0.00018536-0.00056826i,0.00027401-4.2859e-05i,0.00048374-9.1098e-05i,-5.3612e-05+0.00068525i,-0.00048531+0.00078351i,-0.00078982+0.00048769i,-0.00034977+0.00016907i,-0.00034754-0.00027118i,-0.00077211-0.0005587i,-0.00025774-0.00029362i,-5.3439e-05+0.00025324i,-0.00075091+9.7799e-05i,-0.00022559-0.00012311i,0.00045127-4.1424e-05i,0.00047789-4.0537e-05i,0.00058683+0.00024365i,0.0003635+0.00055564i
-0.00046851+0.0017506i,-8.8219e-05+0.0016021i,-0.00057943+0.0010005i,-0.00014403-0.0001586i,-4.2173e-05-0.00073745i,-0.00035488-0.00058922i,0.0004497+0.00047401i,0.0014268+0.00043468i,0.0006536-2.1618e-05i,-0.0002879-0.00021992i,-0.00025618-8.0048e-05i,0.00076543+0.00010509i,0.00063047+0.00074556i,-0.00034343+0.00039003i,-0.0004661-0.00050124i,0.00022127-0.00012606i,0.00052662+0.00040635i,0.00031686+0.00012643i,0.00025006-0.0014417i,5.5035e-05-0.0022088i,-0.00030543-0.0010707i,-5.2816e-05+0.00032898i,0.00014506+0.0010474i
-0.00066598-0.00014947i,-0.00021603-6.2701e-05i,0.00082377+0.00014955i,0.00093181+4.9372e-05i,0.00077566-0.00075827i,0.00071467-0.00023452i,0.0010592+0.00053927i,0.00090198+0.00041125i,0.00034496+0.00042098i,0.00052485+0.00049692i,0.00075848+0.0010044i,0.00076764+0.00047177i,-9.4509e-05+3.5249e-05i,-0.00064877+0.00077457i,-0.00056318+0.0014329i,-0.00070872+0.0009069i,-0.00029816-0.00027094i,-9.1888e-05-0.00097082i,8.6292e-05-0.00084556i,0.0002492+3.7119e-05i,0.00018612-4.1359e-05i,-0.00046141+1.0962e-05i,-0.00066022+3.2934e-05i
0.0016964-0.0010894i,0.00173-0.00061679i,0.001623-0.00067493i,0.0016113-0.00069516i,0.0020121+3.313e-05i,0.0016101+0.00033814i,0.0012142+0.00066433i,0.00092125+0.0007307i,0.00043064+0.00053122i,0.00062353+0.00043423i,0.00038483+0.00043697i,-0.00082534+0.00021013i,-0.00067983+0.00023456i,0.00015703+0.00020504i,0.0002686-0.00030106i,0.00058795-0.00025959i,0.00081055+0.00032818i,0.00035208-0.00057069i,7.8454e-05-0.0011222i,1.1432e-05-1.9874e-05i,0.00039217+0.00073519i,-8.813e-05+0.00045679i,-0.00070981+0.00049359i
0.0013221+6.0176e-05i,0.0012373-8.3358e-05i,0.0012814-0.0011067i,0.00067442-0.002262i,0.0005777-0.0019327i,0.00012277-0.00061383i,-0.00011997+0.00017287i,0.00049056+0.00044217i,0.0009278+0.00023844i,0.00089036+7.0903e-05i,0.00072669+0.00017842i,1.2876e-05+0.00013112i,-0.00010677+8.508e-05i,-0.00017509-0.00052211i,0.00041611-0.0010796i,0.0012638-0.0007632i,-1.1756e-05-0.00057398i,-0.00073169-0.00083578i,0.00023928-0.00062762i,0.00061752+0.00018924i,0.000651+7.9651e-06i,0.00041304-0.00037754i,-9.2374e-06-0.00055587i
0.0024567+0.0011105i,0.002111-4.7066e-05i,0.0016056-0.0015851i,0.00069904-0.0016916i,-0.00046315-0.0013108i,-0.00021944-0.00027413i,0.00036235+0.00070508i,0.00093028+0.00047111i,0.00077491+8.1854e-05i,0.00012957+0.00013286i,0.00041829-0.00014993i,0.00064489-0.00041126i,0.00081438+7.8283e-05i,0.00053162-0.00012241i,0.00019329-0.00088968i,-6.4965e-05-0.00019268i,-1.7293e-05+0.00039841i,9.1037e-05+0.00018659i,0.00028319-9.461e-05i,0.00044043-0.00026146i,-0.00035344-0.00014712i,-0.00090696-0.00032583i,-0.0003713-0.00095676i
-0.00019935+0.00039491i,-0.00027158+0.00054259i,0.00074536+0.00059719i,0.0012126-0.00070058i,0.00031861-0.0012807i,-0.00081243-0.00040231i,-0.00044826+2.0957e-05i,0.00069394+0.00053418i,0.00092038+0.0014825i,0.0010224+0.00074171i,0.0012577+1.7229e-05i,0.00042629-0.00047175i,-1.403e-06-0.00088537i,0.00016642-0.0001851i,-0.00019108+0.00028316i,0.0001262-1.2147e-05i,-0.00019711-0.00034863i,-0.0012481-0.00038473i,-0.00089187+9.9215e-05i,0.00049984-0.00014739i,0.00090148-0.00044726i,-0.00011149-1.738e-05i,-0.00049248-0.00012348i
0.001107-0.00017208i,0.00071556-0.00017167i,0.00051952-0.00011043i,0.0004115-3.6361e-05i,0.00028731-6.0852e-05i,-0.00017215+0.00070296i,0.00022207+0.00097709i,-0.00013756+0.00097111i,-0.0012499+0.0011941i,-0.00090353+0.00091765i,-1.0043e-05+0.00058497i,0.00022628+0.00034955i,0.0005979+6.3351e-05i,0.0012613-0.00013127i,0.0007076-5.9014e-05i,0.00019089+0.00012267i,-7.4043e-05+0.00016937i,-0.00058122-0.00051909i,-4.1082e-05-0.00085233i,0.00045928-0.00050853i,0.00016426-0.00050115i,-0.00026469+0.00028123i,-0.00063446+0.00070055i
4.1783e-05-0.00029993i,-0.00025327-0.0010564i,0.00031077-0.0010149i,7.8117e-05-0.00045462i,0.00063907-0.00045923i,0.00057827-0.00023433i,-5.2163e-05+0.00090643i,0.00026981+0.0014919i,0.00056377+0.00091578i,0.00053594+0.00031104i,-4.3374e-05+8.2679e-05i,0.00020964-0.00041632i,0.00038985-0.00050483i,-0.00047441-0.00047273i,-0.00019365-0.00049786i,-9.0999e-05-7.8639e-05i,-0.0011269+0.00019692i,-0.0012637+0.00033401i,4.0791e-05-0.00035557i,0.00026933-0.00043362i,0.00028104-0.0001905i,0.00061181+0.00015619i,0.00027846+0.00064786i
-0.0023021-0.0016484i,-0.001934-0.00088941i,-0.00034483+0.0002952i,0.00052807-0.00012146i,0.0003093+0.00018797i,0.00074743+0.0012197i,0.00093447+0.0016367i,0.00034009+0.00086119i,0.00013842+0.00039595i,5.9834e-05+0.00044515i,-0.00028251+0.00033931i,5.4286e-05+0.00012775i,0.00076582-4.2726e-05i,0.00082224-0.00046299i,0.00012808-0.00050504i,0.00030528-0.00023656i,0.00033012+0.00012165i,-0.00034206-3.1664e-05i,-0.00064647-0.00017195i,-0.00062084+0.00056147i,-8.6988e-05+0.0013067i,0.00069453+0.0012915i,0.00093171-2.3084e-05i
0.00058176-0.00029356i,0.00024561+0.00028371i,0.00010037+0.00056972i,0.00086003+0.0003894i,0.0014218+5.9989e-05i,0.00078272+0.00026831i,0.00029469+0.0011052i,0.00052074+0.0016458i,0.00034254+0.0010778i,-0.00027763+0.00041145i,-0.00034124-2.8479e-05i,0.00010656-2.1146e-05i,0.00022096+0.00023416i,-0.00045936-0.00024557i,-0.00076924-0.00029307i,-0.00072539-3.2527e-05i,-0.00092405+0.00015536i,-0.00057352+7.9163e-05i,0.00047708+0.00034458i,0.00095149+0.00021732i,0.00047908-0.00036874i,-0.00043255+7.2806e-05i,-0.00058855+0.0004777i
-0.0010145+0.0012039i,-0.00090521+0.0014523i,-0.001049+0.0017047i,0.00060663+0.0020226i,0.001393+0.001825i,0.00061735+0.00094167i,0.00011783+0.00068965i,0.00013093+0.00031535i,0.00061289+0.00013629i,0.0010718+0.00055982i,0.0013229+0.00022737i,0.0012405-0.0003343i,0.00051958-0.00075465i,-0.00052071-0.0012108i,-0.0004073-0.00080209i,0.00037654+0.00018273i,0.00022705+0.00039069i,-0.00031217+3.8304e-05i,-8.2034e-05-0.00056546i,0.00029916-0.00048766i,0.00029152+0.00023978i,0.00060597+0.00084959i,0.00067814+0.00029899i
-0.0004162+0.00039975i,-0.00045847+0.00079903i,-0.00031488+0.0013589i,0.00025772+0.0009809i,0.00091285+0.00017231i,0.00076834-0.00031015i,0.00017032-0.00012075i,-0.00018568+0.00026156i,-0.00029201+0.00020397i,-0.00074352-0.00012051i,-0.0003048-0.00052471i,0.00032562-0.0008052i,0.00034397-0.00037691i,1.0995e-05+0.00075405i,-0.00066333+0.0010764i,-0.00072503+0.00087801i,-0.00075539+0.00070107i,-0.00023525-9.2838e-05i,0.00015939-0.00051657i,0.00035552-0.00083897i,0.001142-0.00065754i,0.00084715+0.00011311i,0.00011778+4.3145e-05i
0.0020523+0.00018764i,0.0024234-5.7861e-05i,0.0025613-0.00019385i,0.0014516-0.00095692i,0.00010313-0.0016989i,-0.0008819-0.00034686i,-0.00019324+0.00074287i,0.0015846+0.00073679i,0.0015747+0.00026286i,0.00011738-0.00084539i,-0.00083307-0.0011745i,-0.0014682-0.00060713i,-0.0013163-0.00045969i,-0.001019-0.00020068i,-0.0010455+0.00042613i,-0.00055725+0.00046471i,-0.00025909-0.00016606i,-6.775e-05-0.00060834i,0.00054689-7.3376e-05i,0.00032292+0.00054094i,-7.2446e-05+0.00036633i,0.00049373+0.0005043i,0.00084952+0.0005501i
0.0015428+0.00082361i,0.0017148+0.00052916i,0.0020567+0.00019243i,0.0018333-0.00041675i,0.0014549-0.00094859i,0.0013036-0.00082278i,0.00026433+0.00013958i,-0.00028738+0.00077297i,-0.00019455+0.00032983i,0.00087154+1.5816e-05i,0.0010707-0.00018122i,0.00059176+0.00045732i,0.00010765+0.0010888i,-0.00036128+0.00070325i,-0.00038906-4.2658e-05i,-0.00034274-0.00032594i,-0.00017344-0.00033543i,0.00030217-0.00053076i,0.00028061-0.00026973i,-0.00054377+0.00014449i,-0.00049491-0.00012799i,0.00047804-6.4785e-05i,8.447e-05-0.00014294i
0.00025998+0.00019691i,3.8813e-05+0.00039921i,0.0010434+0.00057827i,0.0011904-0.00079243i,0.00010375-0.00084109i,0.00019563+0.00016209i,0.00058897+0.00078116i,-0.00010719+0.0012903i,-0.00022486+0.0009906i,2.5278e-05+0.00065074i,0.00034064+1.2184e-05i,0.00087795-8.6345e-06i,0.00034354-0.00022853i,-0.00068287-0.00045328i,-0.00078619-0.0005066i,-0.00071596-0.00080409i,-0.00057119-0.00055053i,-6.2415e-05-0.00015726i,0.00034656-0.00059218i,0.00013819-0.00093312i,5.1375e-05-0.00054443i,0.00014828+0.00020105i,-9.9507e-06+0.0007926i
-0.0026637+0.0002705i,-0.0027849+0.00021799i,-0.0021128+0.0017532i,-0.0017878+0.0019034i,-0.0015281+0.0012218i,-0.0001932+0.0010146i,0.00027079+0.00086099i,-0.00040299+0.00061531i,-9.8814e-05+0.00032894i,0.00060645+0.00077575i,0.00074315+0.0010157i,0.00027442+0.00018279i,0.00017155-1.2286e-05i,-0.00024547+0.00072838i,-0.00018898+0.00037214i,0.00019434-0.00057342i,0.00027609-0.00089098i,0.0001049-0.00045161i,0.00018696+0.00056358i,-0.00016854+0.00084358i,3.6031e-05+0.00031829i,0.00031301-8.6992e-05i,-6.6458e-05-0.00061021i
0.00059297-0.0007781i,0.001096-0.0013717i,0.0011364-0.0019326i,0.00079562-0.0013845i,0.00028288-0.00010314i,0.00031358+0.00079836i,0.00032638+0.00069388i,0.00066855+4.1865e-05i,0.001033+9.7279e-05i,0.00043452+0.00082241i,-0.00048111+0.00073168i,-0.00013263+0.00076372i,0.00026216+0.00090835i,3.8664e-05+0.00088686i,1.8249e-06+0.00052795i,0.00037404-9.57e-05i,2.3029e-05-0.00024304i,0.00056952+1.4704e-05i,0.00094032+0.00024155i,0.00014876-9.083e-05i,-0.00021078+0.00013912i,0.00010073+0.00060978i,0.00032126+0.00032894i
-0.00010602-0.00010656i,-0.00040575-0.00033277i,7.1694e-06+0.00032242i,0.00070853+0.0002313i,0.00090976-0.00094628i,0.00063988-0.0007052i,0.00021919+0.00020842i,0.00019084+0.00060205i,-6.8694e-05+0.00070212i,8.7111e-05+0.00060448i,0.0012566+4.8088e-05i,0.0013449-0.00052131i,0.00086301-0.00019446i,0.00074611+8.2153e-05i,-3.104e-05+0.00026112i,-0.00056306+0.00017236i,2.3716e-05-0.00045378i,-8.8926e-05-0.00064964i,-0.00052501+0.00029467i,-0.00077729+0.00028024i,-6.4441e-05-0.00025055i,0.00071577+0.00013481i,0.00034939+0.00040574i
-0.0010025+0.0013359i,-0.00032842+0.0015547i,0.00046062+0.00091613i,0.001138-0.00061656i,0.0017-0.0014476i,0.001446-0.00081797i,0.0016021+9.7089e-05i,0.0014957+0.00097467i,0.00040974+0.00077639i,-0.00025589+0.00040344i,0.00022425+7.0765e-06i,0.00010714-0.00064388i,-0.0003128-0.00095673i,0.00044848-0.0011929i,0.00075778-0.00088321i,0.00050193+0.00025986i,0.00018796+0.00052934i,-0.00040508+0.00038758i,-0.0005933+0.00055524i,0.00046069-0.00016606i,0.00065017-0.00067115i,-0.00030962-0.00024805i,-0.00027554-0.00016891i
0.0011262-0.001052i,0.0016718-0.00087549i,0.0018671-0.00097869i,0.00057721-0.000741i,-0.00054381-0.00066764i,-0.00092606+0.00048454i,-0.00021238+0.0018913i,0.00067068+0.0017521i,0.00049776+0.0003746i,9.6908e-05-0.00063002i,-0.00027462-0.00057303i,-0.0001048-0.00022501i,-0.00017316+0.0002768i,-0.00082509+0.00029178i,-0.00029249+2.1255e-06i,0.00075277+0.00032227i,0.00043298+0.00025395i,-4.2842e-05-0.00083648i,0.00048977-0.00096073i,0.00071622+0.00024659i,0.00024952+0.00061498i,0.00037929+0.00051946i,0.00050066-0.0002712i
0.0012605-0.00022451i,0.0011481+0.00036176i,0.0010782+0.00045471i,-4.8127e-05-0.00066515i,-0.0013925-0.0015041i,-0.00046178-0.00063462i,0.00032486+0.00043099i,-0.00021821+0.00098378i,-0.00068052+0.00091996i,3.7947e-05+0.00033095i,0.00063418+0.00033056i,0.00053629+1.8176e-05i,0.00039424-0.00044416i,0.0001582+1.8375e-05i,-8.6151e-05+0.00032489i,-0.00026318+7.255e-05i,-0.00025649+0.00018574i,-0.00032602+0.00033154i,0.00029557+0.0006499i,-1.7909e-05+0.00067998i,-0.00074082+0.00048462i,-8.8587e-05+0.00094564i,-3.4343e-05+0.00036272i
0.0018673-0.00026978i,0.0016507+0.0002499i,0.0020833+0.00046658i,0.0014349-0.0002515i,0.00041323-0.00066671i,0.0002699+0.0005069i,0.00064682+0.0017042i,0.0010384+0.0014921i,0.001262+0.0011823i,0.00072712+0.00081085i,-7.8358e-05+0.00064925i,0.00034206+0.00085433i,-1.1581e-05+0.00073032i,-0.00049759+0.0006207i,0.00030094+0.00085062i,0.00064853+0.00015294i,0.00080036-0.0011502i,-3.9082e-05-0.0011413i,-0.00050302-0.00021169i,0.0004828-0.00025296i,0.0010121-0.00066249i,0.00096553-0.00096993i,0.0007044-0.00044438i
0.00013887-0.00073516i,0.00020641-0.0016486i,-0.0011036-0.0022582i,-0.0013804-0.0027049i,-0.0006752-0.0016788i,-0.00086289-0.00027513i,-0.00090518+0.00090275i,-0.00017318+0.00083407i,0.00035422-0.0003117i,-4.4329e-05-0.00015737i,0.00016935+0.00064996i,0.00086586+0.00071492i,0.0010808+0.00029057i,0.00072323+3.6068e-05i,0.00052791+4.644e-05i,0.00025946+0.00022683i,-0.00038938-0.00026706i,-0.00088581-0.0006169i,-0.00092747-0.00026295i,-0.00093862-9.2707e-05i,0.00010719-0.00012117i,0.00058092-0.00027452i,0.0006928-0.00022084i
0.0010299+0.0011956i,0.00078695+0.00047142i,0.0010006+0.0004872i,0.0015059+0.0010418i,0.0012953+0.00047778i,0.00055051+9.3487e-05i,-9.8904e-06+0.00059981i,-0.00079628+0.001082i,-0.001466+0.0009838i,-0.0012275+0.00010365i,-0.00033203-0.00024881i,-5.2606e-05-0.00064414i,0.00023604-0.0012394i,0.00051532-0.00067677i,0.00060322-0.00033715i,-0.00019195-0.00038565i,-0.00034124-0.0005615i,0.00045266-7.7894e-05i,0.00041818+0.00034509i,0.00031973-0.00017954i,0.00079544-0.00055191i,0.0010703-0.00019528i,6.4601e-05-0.00063128i
0.00040268+0.003153i,0.00099523+0.0029337i,0.0029679+0.0015661i,0.0032994-0.00046954i,0.0026717-0.0016519i,0.0017526-0.0015799i,0.00064311-6.9096e-05i,0.000333-4.8329e-05i,0.00082908-0.00044463i,0.0005874+7.1668e-05i,0.00080737+0.00046293i,0.001222+1.3077e-05i,0.00082282-0.00038926i,-0.00026562-0.00015297i,-2.8971e-05-6.9944e-05i,0.0010933-5.7976e-05i,0.00086984+7.9229e-05i,0.00038894+0.00015282i,-0.00018766+1.1231e-05i,0.00018901+0.00016592i,0.00070457+0.00077659i,0.00060017+0.00080935i,0.00087686+0.00082955i
-0.0010969+0.00097657i,-0.00088226+0.0012881i,1.9677e-05+0.0013942i,0.0017331+0.0013878i,0.0016013+0.00069869i,0.00078177+2.9121e-05i,0.00080895+0.00041016i,0.00059894+0.00072231i,0.00014072+0.00067212i,0.0001985+0.0010049i,0.00050017+0.00068219i,0.00020434-0.00025667i,4.4309e-06-0.00086041i,0.00010306-0.0014164i,-0.00020578-0.00089127i,-0.00034388-0.00028012i,0.00014392-0.00065686i,0.000576-0.0012412i,0.00022964-0.0007965i,-0.00043297-0.00074794i,-0.0001162-0.0014359i,0.00023571-0.0012257i,0.00016491+0.00042858i
0.0014432-0.00047764i,0.0019096+0.00029803i,0.0020295-0.0015799i,0.0012069-0.002967i,-0.00048941-0.0022531i,-0.0010781-0.00064869i,-0.000188+0.00056699i,0.00049487+0.00062265i,1.9131e-05+6.7926e-05i,-8.1427e-07-0.0003226i,0.0004256-0.00091695i,0.00086553-0.00080534i,0.00075458+0.00036536i,0.00014474+0.00068063i,-0.00049506+0.00069109i,-0.00044051-3.4924e-05i,0.00044785-0.0013818i,0.00019168-0.0013983i,0.0001846-0.00065437i,0.00044556+8.3133e-06i,0.00016142+0.00027043i,0.00011847-0.00045515i,-0.00062363-0.0011458i
-0.0010907+0.00026581i,-0.00073529-7.2234e-06i,-0.00012095-0.00041703i,0.00063316-0.00035589i,0.0012443-0.00036678i,0.00092145-0.00013764i,0.0004868+0.00069824i,0.00046393+0.0010693i,0.00022955+0.001008i,0.00042676+0.00064264i,0.001329+0.00061951i,0.001135+0.00088316i,0.0001781+4.2006e-05i,0.00021285-0.00057591i,-0.0002383+0.0001465i,-0.00043884+0.00020721i,6.2354e-05+0.00018119i,5.0407e-06-0.00029758i,0.00067554-0.0011164i,0.001381-0.00033382i,0.00097598+2.8607e-05i,0.00029153-0.00054017i,-0.00052724-0.00068789i
0.0010794+7.3089e-05i,0.0015317-0.0001178i,0.002194+0.00046726i,0.0017381+0.0009603i,0.00067875-2.6992e-05i,6.6586e-05-0.00043778i,0.00047955+5.6931e-05i,0.0010125+0.00026588i,0.00019952-0.00042226i,1.1755e-05-0.00067401i,-3.9149e-06-0.00020142i,-5.092e-05-0.00029257i,6.2134e-05-0.00077106i,-0.00041376-0.00063282i,-0.00029948-0.00052718i,-0.00044938-0.00073066i,-0.00030252-0.00052564i,4.2533e-05-0.00034263i,-4.3614e-05-0.00042797i,9.3867e-05-0.00030272i,0.00030624+0.00031169i,0.00050064-0.00018287i,0.00038861-0.0010394i
-0.00024685-0.00083502i,0.00037072-0.0010523i,0.00079131-0.00067358i,0.00042069+0.00023977i,0.00063673+0.00044988i,0.00060703+0.00057085i,6.4546e-05+0.00042757i,0.0002711+6.3842e-05i,-3.654e-05+0.00021759i,-0.00017522+0.00061561i,-0.00024911+0.0005546i,-0.00051012+0.00010674i,-0.00031418-0.00030605i,-0.00024503-0.00048844i,-0.00029963-0.0007339i,-0.00026282-0.00069352i,0.00040111-0.00071145i,0.00082337-0.00093028i,-2.0422e-05-0.0012396i,-0.00014502-0.00084083i,0.00052301-0.00025334i,8.586e-05-0.00041239i,3.9173e-05-0.00061003i
