-0.0029725+0.00049693i,-0.0019559+0.0010825i,-0.0018738+0.00020403i,-0.0016992-1.3868e-05i,-0.0010424+0.00054929i,-0.00049601+0.0010849i,0.00014901+0.0010396i,0.00018654+0.0006351i,0.00018883+0.00026157i,0.0004519+9.0302e-05i,0.00030171+0.00034229i,3.9254e-05+0.00032163i,-0.00020058+2.7872e-05i,-0.00045244+0.00036185i,-0.00021259+0.00049861i,0.00010192+0.00011555i,-0.00040491-0.00025975i,-0.00050373-0.0001307i,-0.0001668+0.00097549i,6.1541e-05+0.00058353i,0.00058573-0.00053292i,0.00034218-0.00040924i,0.00052512+0.00021143i
0.00088837-0.00060934i,0.00013707-0.0007777i,-0.00044709-0.00059719i,-0.00021079-0.00091309i,0.0004771-0.0011407i,-0.00026226-0.0009896i,-0.00051585-0.00079606i,0.00029769-0.00051854i,0.0003456-0.00029727i,-0.00063257+0.00017182i,-0.00099313-8.0132e-05i,-0.00060581-0.00036536i,-5.4908e-05+0.00021129i,-2.8489e-05+0.00082329i,-8.9171e-05+5.9704e-05i,0.00025217-0.00078829i,0.0006775-0.00075757i,0.00062184-0.0003608i,-4.9604e-06+0.00023431i,0.00021964+0.00066062i,0.00092689+0.0010672i,0.00043554+0.00052582i,1.8302e-05-0.00039454i
-0.00028016+0.00020728i,-0.00035044-8.814e-05i,-0.00098929+0.00064776i,0.00024059+0.0015909i,0.0016929+0.0015881i,0.0017516+0.00080547i,0.00115-3.2437e-05i,-9.0062e-05-0.00047939i,-0.00072327-0.00078081i,0.00068505-0.00037392i,0.00092368+8.2883e-06i,0.00037636-0.0003166i,0.00059022-0.0003447i,0.00073125-0.00096527i,0.000429-0.00069115i,0.00075013+0.00048484i,0.0012558+0.00052792i,0.0019994+0.00020437i,0.0020035+0.00016135i,0.0010986+0.00013767i,0.00075248-0.00022674i,0.0010036-0.00055296i,0.0015279-0.00015709i
9.126e-05+0.0020151i,0.0005997+0.0020415i,0.0014055+0.0019405i,0.0011806+0.0011396i,0.0011417+6.213e-05i,0.0012589-0.00057168i,0.0005581-0.00079295i,-0.00012094-0.00036476i,0.00012626-0.00022171i,0.00044688-0.00010597i,0.00061565+0.00015192i,0.00087066-0.00010159i,0.00076904-0.00035762i,0.00081219-0.0006593i,0.00020664-0.00071545i,-0.00056691-0.00020487i,-0.00035548+0.00043564i,0.00020847+0.00047825i,0.00035756+0.00041478i,0.0001627+0.00039398i,-0.00041606+0.00035845i,-0.00043081-0.00036971i,2.1756e-05-0.0011253i
-0.00075877+0.00013389i,-0.00070986+0.0010093i,-0.0004851+0.0014831i,0.00058327+0.0015471i,0.0012639+0.0014837i,0.00055747+0.00040853i,0.00028971-0.00014409i,0.00067998+0.00013281i,0.00018341+0.00010742i,0.00014457-0.00021361i,0.00084188-0.00023751i,0.00039966+0.00055069i,-4.0478e-05+0.0012326i,0.00037082+0.00090024i,0.00010667+0.00038631i,0.00022708+3.6674e-06i,0.0010262+4.6912e-05i,0.00079095-0.00019328i,0.00038198-0.00055764i,-0.00029199+1.1657e-05i,-0.0011236+0.00037892i,-0.0006431-0.00046123i,0.00034061-0.0005722i
0.0020993+0.0016319i,0.00080432+0.0010282i,0.00040648-0.00039687i,0.0017926-0.00083778i,0.0015811-0.00018443i,0.00036809+0.00035516i,-0.00017818-0.0002358i,-0.00079577-0.0013919i,-0.0011303-0.0015261i,-0.00086611+0.00018335i,-0.00013901+0.0012199i,0.00071294+0.001077i,0.0006892+0.0011022i,0.00043406+0.00061446i,0.00056318+0.00011859i,0.00033831+0.00011457i,-0.00021872+5.0242e-05i,0.00031989+0.00039244i,0.00031811-8.8875e-05i,-0.00024257-0.00057398i,-0.00013459-0.00032552i,-0.00013291-0.00016642i,0.00015345+2.0031e-05i
-0.00078507+0.00020812i,-0.00096473-0.00026724i,-0.00046484-0.00013902i,-0.0002265+0.00066203i,-0.00015208+0.00046042i,0.00026492+8.1295e-05i,7.6873e-05-0.0004464i,-0.00047583-0.00094877i,-0.00022612-0.0008987i,0.00027462-0.001065i,0.00077017-0.00020696i,0.0009644+0.00082495i,0.00060145+0.0010883i,-2.9877e-05+0.00084746i,-5.5142e-05+0.00019136i,0.00026633-0.00048473i,0.000139-0.00079967i,-7.114e-05-0.00011544i,-0.0004271+0.00058185i,-0.00088864+0.00029074i,-0.00057665-0.0002807i,-0.00013825+0.000143i,-7.7228e-05+0.00092429i
-0.00044524+9.4737e-05i,-0.00010219-0.00061415i,0.0001678-0.00062413i,0.00074922-0.00054303i,0.00091135-0.00024635i,-0.00024671-5.5481e-05i,-0.00058829-0.00032449i,-0.00040228+0.00023629i,-0.00042129+0.00055887i,-0.00061645+0.00021616i,-0.00011458-0.00014083i,0.00020881+0.0001545i,-0.00017097+0.00020551i,-0.00036362+0.00019216i,-0.0006031+0.00050631i,-0.00042168+0.00042569i,0.00012975+1.1204e-05i,0.00031895-0.00017198i,5.3239e-05-3.3864e-05i,-4.8659e-05+0.00029955i,-0.00012625+0.00074476i,-0.00040747+0.00028585i,-0.00047142-0.00043484i
0.00076064-0.0023372i,0.00061873-0.0013767i,0.0014823-0.0010623i,0.0016298-0.0003725i,0.0010457+7.0894e-05i,0.00045576+0.00033102i,-0.0003852+3.7915e-05i,-0.00017273-0.00030092i,0.00053661-0.0001813i,0.00021482-1.8302e-05i,-0.00049402-7.7852e-05i,7.407e-05+0.00020157i,0.00011364+0.00055234i,-0.00014529+0.00024716i,0.00047214+0.00020693i,0.0001495+0.00031197i,4.4449e-05+0.00072516i,-4.2392e-05+0.00090121i,-4.6205e-05+0.0010295i,0.000344+0.0010588i,0.00042405+0.0010837i,0.00026509+0.0010892i,-3.4307e-05+0.00023236i
-0.0025968-0.0026856i,-0.0019684-0.0023309i,-0.0024109-0.00067905i,-0.0016374+0.0013959i,-0.00018679+0.0027931i,0.00086819+0.0014872i,0.00061999-0.00051283i,-0.00062557-0.0017414i,-0.0013161-0.0017126i,-0.0012832-0.00044983i,-0.00063449+0.00078823i,-0.00040874+0.00053241i,-0.00089185-0.00035023i,-0.00066853-0.00032943i,-0.00032237+5.4733e-05i,-9.1407e-05+8.0143e-05i,-0.00027285-0.00012522i,-0.00077864-0.00021265i,-0.00012251-2.3086e-05i,0.00023991-0.00036271i,-0.00034352-0.00032387i,-0.00011913-0.00037992i,0.00030735-0.00045963i
0.0022232+0.00035974i,0.0022146+0.00022334i,0.0026504-0.00065761i,0.0023716-0.00094826i,0.0009924-0.0011217i,-0.0004875-0.0014661i,-0.00086348-0.00085497i,-0.0004111-0.00050359i,-3.4992e-05-0.0012639i,0.00061139-0.00092269i,0.00067779+0.00029232i,6.7435e-05+0.00074791i,-0.00039237-9.6085e-05i,-0.00046506-0.00070427i,0.00023162-0.00048722i,0.00073855+0.00019941i,0.00023019+0.00075094i,0.00014682+0.00086076i,0.00060379+0.00047393i,0.0010472-0.00014077i,0.0014286+0.0001063i,0.0011456+0.00086344i,0.00058901+0.00054409i
0.00080781+0.0013927i,0.0010519+0.00027866i,0.00041634+9.552e-05i,0.0011938+0.00065343i,0.0023039+0.00068273i,0.0014979+0.00029894i,0.00010854-0.00047455i,-0.00026635-0.00090263i,-0.00021411-0.0001158i,-0.00015803+0.00017686i,2.5395e-05-0.0006552i,-9.3454e-05-0.00097288i,-0.00028507-0.0005315i,-0.00026969-0.00031982i,0.00021826+0.00017708i,0.00021051+0.00063399i,-0.00032198+0.00049296i,0.00024824+0.0005893i,0.00053797+0.00095982i,0.00026675+0.00044645i,-0.00017532+0.0002779i,0.0001756+0.00035831i,0.00029978-0.00055058i
0.00029132+0.001539i,0.00087399+0.00098138i,0.00093428-0.0012385i,0.0016344-0.0017917i,0.001244-0.00092585i,0.00051653-0.00097161i,0.00028924-0.0019541i,-0.00047453-0.0016686i,-0.00073973-0.00059001i,-0.0003403+0.00032024i,0.00010671+0.0011064i,0.00076112+0.00096828i,0.00049081+0.00051486i,-0.00088033+0.00036111i,-0.001476+3.4445e-05i,-0.0006794+0.00019174i,2.5403e-05+0.00080769i,0.00052387+0.00085564i,0.00085505+0.00059123i,0.00042004+0.00041471i,-3.2093e-05-0.00012175i,5.0962e-05-0.00038193i,-0.00050638+0.0001018i
0.00056224+0.00062796i,0.00024849+0.0012423i,-0.00015643+0.00029111i,0.0004728-0.0010738i,0.0012811-0.0008704i,0.00054362-0.00017815i,-0.00097141-0.00016123i,-0.0013208-0.00028444i,-0.00066028-0.00018123i,0.00036635+1.5257e-05i,0.00082185-6.2135e-05i,0.00052472-2.5448e-05i,-0.00012095-9.6609e-05i,-0.00015629-0.00047359i,0.00015915-0.0006155i,-0.00051328-0.00026428i,-0.00069194-7.8778e-05i,4.0399e-05+1.497e-05i,0.00013667-0.00043042i,0.00019663-0.00075558i,-1.9451e-05-0.00011171i,-0.00049587+0.00015662i,9.9095e-05-0.00014718i
-0.0010386-0.00119i,-0.0012692-0.0012797i,-0.001103-0.0019976i,-0.0020188-0.00025151i,-0.0024002+0.0016392i,-0.0013292+0.0015269i,-0.00062294+0.00039122i,-0.00015017-0.00052518i,-0.00011855-0.0006702i,-0.00039339-0.00052643i,-0.00068022-0.00041866i,-0.00031724+8.079e-05i,-0.00020313+0.00063447i,-0.00075836+0.0002347i,-0.00042911+6.5854e-05i,-0.00023298+0.00019779i,0.00010841+0.00021223i,0.00014047+0.00028749i,0.00054783+0.00044001i,0.00097625+0.00061986i,0.00020725+0.00074981i,-0.00043661-6.1961e-05i,-0.0005902-6.981e-05i
0.0015207-0.0018372i,0.0014571-0.0016305i,0.0015302-0.0011921i,0.00086182-0.001205i,-0.00010223-0.00054391i,-4.5009e-05+0.00039217i,0.00032253+0.0002846i,7.0088e-05-0.00080106i,1.4296e-05-0.0011009i,0.00026855-0.0010523i,0.00040827-0.00032731i,0.00063578+0.00062575i,0.0008325+0.0006183i,0.00064768+3.3923e-05i,0.00044189-0.00019402i,0.00032935-0.00019034i,-0.00023922-0.00033543i,-0.00076912-0.00017492i,-0.00058538-0.00027648i,-0.00055072-9.296e-05i,-0.00024254-5.9311e-06i,2.2182e-05-0.00036983i,0.00069077-0.00029575i
0.00033443-0.0013863i,0.00060825-0.0019104i,0.00073938-0.0028526i,0.00021692-0.0020626i,-0.00061165-0.00094207i,-0.00055193-0.00052421i,0.00021172-0.0006177i,-5.3212e-05-0.00074064i,-0.00045826-0.00065355i,0.00032748-0.00050679i,0.00078705+1.1877e-05i,0.00020323+0.00024974i,-0.00037812+0.00074225i,-0.00025795+0.0011972i,0.0001952+0.00070742i,0.00022044+0.00014126i,-6.6959e-05+0.000474i,-0.00053207+0.00054182i,-0.00036384-6.725e-05i,0.00050288-0.00040658i,0.00045494-0.00041808i,0.0002556+0.00037768i,0.00077581+0.0012538i
0.0014177+4.5971e-05i,0.0010757-0.0006013i,0.00053379-0.00036372i,0.00024893-4.8008e-05i,0.00027377+7.4289e-05i,6.9214e-05-0.00030258i,7.8132e-05-0.00089354i,0.00059165-0.000461i,0.00066366+0.0004879i,0.00074238+0.0009057i,0.0010122+0.0004201i,0.00097416+0.00020786i,0.00032448+0.00033217i,-0.00070767-0.00037991i,-0.00093748-0.00066687i,-0.00091587-9.2582e-05i,-0.00068736-0.00046709i,-0.000489-0.00042796i,0.0002067+0.0004857i,0.00015601+0.00032775i,0.00013105+0.0003134i,0.00027006+0.00055635i,0.00028356+0.00061208i
0.0014079+0.00034508i,0.00011439-0.0007049i,-0.0018275-0.0022376i,-0.0016112-0.0025708i,-0.001318-0.0014587i,-0.00082612-0.0008914i,0.00027168-0.0011973i,0.00031906-0.0014263i,0.00073242-0.0013209i,0.00047006-0.00069827i,-0.00019587-5.3729e-05i,-0.00055265+0.00033955i,-0.00067443+0.0001748i,3.394e-06+0.00014441i,0.00049952+0.00042292i,0.0003548+0.00059072i,-0.00037237+0.00066597i,-0.00097993+0.00050055i,-0.00072706+0.00062487i,-0.00027993+0.00044765i,0.00061648-0.00017228i,0.0011323-0.00062192i,0.00063202-0.00058961i
0.00015813+0.00093216i,9.0612e-05+0.001244i,0.0011062+0.00050637i,0.0013476-0.0010111i,0.00071644-0.00066539i,2.2378e-05+0.00050201i,-0.00054547+0.00031358i,3.4295e-05+2.6088e-05i,0.0001403+9.1079e-05i,7.2095e-05-5.4717e-05i,0.0006735+0.00018964i,0.00082262+3.0936e-06i,0.00030286-0.00026277i,-0.00018387-8.6631e-05i,-0.00057178-0.0001929i,-0.00052019+3.3837e-05i,0.00010396+0.00072732i,-0.00014355+0.0004444i,-0.0005687-0.00074795i,-5.6358e-05-0.00090513i,0.00021258-0.00014222i,0.00017449+0.00041833i,-0.00024592-0.00011595i
-0.00069067-0.00041461i,-0.00074038+0.00063756i,-0.0012901+0.00049754i,-0.0013662+4.5281e-05i,-0.00071106+0.00038368i,8.221e-05-3.563e-05i,0.00043214-0.001473i,0.00022939-0.0022866i,-5.1485e-05-0.0017655i,-4.8739e-05-0.00062645i,0.00057461-5.8673e-05i,0.00058514+0.00042067i,2.6919e-05+0.00072536i,0.00041846+0.00066059i,0.0006761+0.0004697i,0.00043605+6.349e-05i,0.00045604+9.5161e-05i,0.00083722-7.055e-05i,0.0009486-0.00062338i,0.0006255-0.00029468i,0.00055086+7.2024e-05i,0.00063411-0.00018837i,0.00057203-0.00070533i
-0.0004109-0.00074872i,-0.0013788-0.00050844i,-0.0013506-1.7927e-05i,-0.00049989+0.00052364i,-9.9007e-05+0.00055294i,-0.00056865+0.00036652i,9.9242e-05+0.0004209i,0.00055435+0.00051767i,-9.1631e-05+0.00050162i,4.5801e-06+8.5137e-05i,-0.00018101-0.00028213i,-0.00066757-0.00047973i,-0.00032386+2.5243e-05i,-0.00055209+0.0010053i,-0.0005193+0.00031821i,0.00084984-0.00020009i,0.0010339+0.00026173i,0.00037369+0.00017046i,-0.00017607-0.00022184i,-0.00021065+0.00020442i,0.00047321+0.000569i,0.0010144+0.00070948i,0.0005482+0.00044629i
0.00058629-0.00065748i,-4.5652e-05-0.00011236i,-0.00073004+0.00064544i,0.00017935+0.00065433i,0.00087958-0.00019673i,0.0002161-0.00060826i,-0.00042047-0.00051731i,4.8981e-05-0.0002972i,0.00060402+0.0004171i,0.00075146+0.00069986i,3.7495e-05+0.00054796i,-0.00091182+0.00048504i,-0.00036108+0.00044261i,0.00067543+0.00053816i,0.00017557+0.00055258i,-0.0010784+0.00031209i,-0.0012015-0.00034836i,-0.00035263-0.00069966i,-5.3588e-05-0.0007194i,-0.00012529+1.8531e-05i,-0.00061486+0.00090851i,-0.0011277+0.0010321i,-0.00055009+0.0010005i
0.0012923-0.00061194i,0.00068783-0.0014052i,0.00057119-0.001343i,0.00061451-0.00070456i,0.00055165+0.00019586i,0.00048666+0.00034272i,0.00045973-0.00011846i,0.00093893-0.00066105i,0.0013073-0.0010637i,0.00042316-0.00082135i,-0.00017472-0.00021969i,-0.00019911+0.00011807i,9.2385e-05+8.4158e-05i,0.00028326+0.00050331i,-0.00018125+0.00044824i,-0.00059149+4.7668e-05i,-0.0004156+0.00053695i,-0.0001264+0.00080217i,0.00047915+0.00061303i,0.00088077+6.9127e-06i,0.00066095-0.00027832i,0.00042405-0.00010938i,0.00050169+0.00031334i
-0.00025587+0.00017463i,0.00062785+6.9564e-05i,2.6537e-05-0.00068771i,-0.00079687-0.00033776i,-0.00061564-0.00024341i,0.0003808-0.0010744i,0.00094323-0.0012641i,-0.00027196-0.00098722i,-0.00045786+0.00029098i,0.00081116+0.00045714i,0.0010804-0.00042811i,0.00057601-6.7642e-05i,0.00016868+0.00087921i,0.00030377+0.00022051i,0.00015421+0.0005221i,-0.00068546+0.0012993i,-0.00043005+0.00062737i,0.00023273-6.2184e-05i,0.00026597-0.00035177i,0.00046259-0.0002953i,0.00092889+0.00042637i,0.00063592+0.00068803i,1.4836e-05-8.3205e-05i
-0.00016687+2.9398e-05i,0.00040464-0.00031251i,0.00093508-0.00029183i,0.00065277+0.00026246i,0.0006501+0.0011242i,0.00089048+0.0011429i,3.4113e-05+0.00064843i,-0.00067697+0.00051549i,-0.00046203+6.3492e-05i,-7.2709e-05+0.00042382i,-5.2328e-05+0.00057901i,0.00083817-0.00027101i,0.00089317-0.00062053i,7.4838e-05+5.5791e-05i,-4.7368e-05+0.00010772i,0.00016048-0.00059813i,0.00032256-0.00057675i,0.00012841-0.00019908i,0.00011692-0.00010714i,9.073e-05-0.00064401i,0.00078875-0.00081694i,0.0010006-0.00090513i,0.00039942-0.00081575i
0.00047803+0.0014944i,0.00014354+0.0014619i,8.7151e-05-5.7446e-05i,0.00036235-0.00039249i,0.00015016-0.00063473i,0.00047105-0.0011219i,-9.2331e-06-0.00051685i,-0.00035321-9.1419e-05i,0.00073496-9.1357e-05i,0.0012245-0.0002144i,0.00068993+0.00034264i,0.00011305+0.0010725i,-0.00038991+0.00063124i,-0.0010416-0.00022188i,-0.00024812+0.00010568i,0.000311+0.00079097i,-0.00070962+0.00052135i,-0.0011172+5.6573e-05i,-0.00034561+6.6084e-05i,6.0995e-05+0.00034421i,-0.00027574+8.4389e-05i,5.723e-05-6.7086e-05i,0.00050773+0.00053802i
0.00049389+0.00068424i,-0.00022279+0.00062023i,0.00013052+0.00066787i,0.0009735+0.00049575i,0.00093658-0.0003529i,0.0006666-0.0011488i,0.00034048-0.00089419i,-0.00013307-0.00038486i,-0.00014913-0.00030884i,0.00068659+0.00025174i,0.00055067+0.0010261i,4.4829e-06+0.0015142i,0.0002141+0.00095299i,0.00030549+0.00091831i,6.0566e-05+0.00080664i,-0.00026797+0.0002361i,4.1958e-05+5.7652e-05i,0.00046639-0.00031049i,0.00062698+5.1868e-06i,0.0005595+0.00084952i,0.00021388+0.00039868i,0.00043741-0.0006043i,0.00024519-0.00045777i
-0.00078123-0.00075355i,-0.00035429-0.00013135i,0.00014103+0.00051415i,0.0010959+0.0010072i,0.0011981+0.00068864i,0.00072651-0.00020343i,-0.00034423-0.00024791i,-0.001073+0.0001029i,-0.00037188-0.00032587i,0.00046592-0.00045897i,0.00029584+2.9417e-05i,-9.5866e-05+0.00061622i,-0.0001454+0.00069191i,-0.00014184+0.00033732i,-0.0003798+0.00034226i,-0.00026841+7.2881e-05i,-2.5175e-05-0.00011291i,-0.00011132-0.00025759i,0.00012865-2.1432e-05i,0.00035082+0.00027637i,0.00023114+0.00062423i,-0.00041189+0.000806i,-0.00035295+0.00027427i
0.00014833-0.00035981i,-0.0013774-0.000744i,-0.00096835-0.0011051i,0.00064096-0.0011711i,0.0012298-0.0012974i,0.0013491-0.00070675i,0.001575-0.00010729i,0.0015154-0.00047393i,0.00051488-0.00010934i,-0.00010696+0.00081816i,0.00015527+0.00055497i,-0.00032621+0.00051538i,-0.0003233+0.000501i,-4.3229e-05+0.00094262i,0.00024379+0.0011349i,0.00032279+0.00053499i,0.00031386+0.00016542i,-4.463e-05-0.00057125i,-0.00022322-0.00071748i,-0.00025929-0.00023617i,-0.00052397+8.5766e-05i,4.4131e-05+0.00078815i,0.00033686+0.00088788i
0.00010137+0.0010678i,-0.0003292+0.0013605i,-0.00087388+0.00090036i,-0.00097579+0.0010045i,-0.00068273+0.0018818i,0.00019224+0.001308i,0.00023229-3.1629e-05i,-0.00036624-0.00069037i,-0.00055374-0.00048875i,0.00025194-0.00050543i,0.00079206-0.00074271i,0.00069802-0.00034577i,-0.0001655+0.00039676i,-0.0005279+0.0010452i,-0.000602+0.0010801i,-0.00027601+0.0005235i,0.00063871+0.00050965i,0.00041934+0.0013506i,7.6758e-05+0.00086515i,0.00025797-0.00048765i,-9.243e-05-0.0012149i,1.1476e-05-0.00029064i,-0.00010544+0.00037115i
0.00030986+0.002386i,0.0013514+0.0016048i,0.0031239+0.0012999i,0.0033914+0.00019867i,0.0022357-0.00088666i,0.00085907-0.00063914i,0.00020164-0.00016909i,-9.2756e-05-6.92e-05i,0.00070819-0.00036425i,0.0017968-0.00070467i,0.0011336-0.00059455i,-2.6387e-05-0.00060976i,-0.00037009-0.00037944i,0.00015419+0.00011904i,0.00034913+0.00032867i,5.7808e-05+0.00029504i,0.00053274+0.00049116i,0.00024204+0.0012622i,-0.00062249+0.0013968i,-0.00087699+0.00077752i,-0.0011087-0.00012435i,-0.00050164-0.00046319i,-0.00044008-0.00057248i
