-0.00040902-0.00080017i,-9.4945e-07-0.0017982i,0.00014147-0.001807i,-3.7672e-05-0.00084078i,-0.00091783+0.00066546i,-0.0009591+0.001626i,-0.00064151+0.0014829i,-0.0010771+0.0014411i,-0.0004376+0.0013629i,0.00094931+0.00080776i,0.0010167-0.0001676i,0.00049099-0.00073914i,0.00030682-0.0010042i,0.00030651-0.0010029i,-0.00055946-0.00025991i,-0.0012547+0.00014511i,-0.0009939+9.0675e-05i,-0.00066264-0.000445i,-0.00055317-0.00037872i,-0.00049176+0.00013266i,-6.9865e-05+0.00042174i,9.4851e-05+0.00073705i,4.6953e-05+0.00032984i
0.00037332-4.7504e-05i,0.0013963+0.00053167i,0.0022118+0.00085449i,0.0021012+0.00070547i,0.00055309-0.00084091i,0.00025496-0.00052871i,0.0003016+0.00011034i,4.4983e-05-0.00011155i,0.00038517+0.00042658i,0.00030641+6.8989e-05i,0.00067747-5.3221e-05i,0.00061916+0.00059952i,-0.00032624+0.00079692i,7.6036e-06+0.00068064i,0.00026841+0.00022159i,0.00028201-0.00065406i,0.00031993-0.00064899i,-0.0001984+0.00024879i,6.3524e-05+0.00058381i,0.00031336-0.00034554i,2.566e-05-0.0013619i,-0.00040308-0.00064024i,-0.00044976+0.00045587i
-0.00096111+0.0020336i,0.00043089+0.0015642i,0.001783+0.0014629i,0.0020238+0.00095982i,0.00099126+0.00051685i,0.00037104-0.00016884i,-0.00084306-0.00046322i,-0.0013488+0.00047037i,-0.00045952+0.0011583i,-3.9812e-05+0.00061478i,-3.6781e-05+0.00016697i,1.9435e-05-0.0001399i,-0.0001498-0.00024393i,-9.6012e-06-6.0149e-05i,0.00020735+6.8829e-05i,-0.00033565-0.00044567i,-0.00042981-9.7924e-05i,0.00012419+0.00036234i,0.00099776+0.00037933i,0.00062522+0.00027721i,-9.4457e-05-0.00036345i,0.000182-0.0003931i,0.00058321+0.00038276i
-0.0011349+0.00037992i,-0.0011457+0.001221i,0.00058912+0.00104i,0.0012417+0.00040907i,-0.00047021+0.00040641i,-0.0011322+0.00092392i,-0.00073134+0.00097894i,-0.00074519+0.00088242i,-0.00074039+0.00084688i,8.7691e-05+0.0003266i,0.00016841-8.9307e-05i,-0.00049598-0.00022921i,-0.00045153-0.00036031i,0.00019851+6.8688e-05i,-0.00013446-0.00018942i,-0.00031969-0.00021089i,-0.00037143+0.00046263i,-0.0010206+0.00035594i,-0.00055044-0.00038735i,3.3316e-05-0.00061788i,-0.00019927-0.00061804i,-0.00053048+0.00017293i,-0.00068108+0.0007163i
0.0006895-0.00021861i,0.0005193-0.0007556i,0.0013478-0.0012981i,0.0013867-0.00042409i,0.00014478+0.00065544i,-0.00083712+0.00044013i,-0.0008148-3.2345e-05i,-7.9188e-05+0.0004097i,0.0007353+0.00060447i,0.0010928+0.00019901i,0.0011144-0.00047435i,0.0010662-0.00053276i,0.00049749-5.0449e-05i,8.9355e-05+0.00041228i,0.00010541+5.4815e-05i,-9.8766e-05-0.0003016i,-0.000159+9.5406e-06i,-0.0001783-0.00037566i,0.00027058-0.00041869i,0.00017872+0.00040562i,2.5768e-05+0.0010749i,-0.00044747+0.001607i,-0.0013708+0.0014996i
0.0012505-0.0019401i,0.0025167-0.0016637i,0.0032748-0.0015549i,0.002483-0.00070186i,0.00080054+0.0001518i,3.6139e-05+0.00027817i,-0.00019165-0.00044148i,-0.00046133-0.00076708i,-0.00069877-0.00047651i,-0.00030859+4.6723e-05i,0.0002038+0.00046838i,0.00073839-0.00079888i,0.00088597-0.0011392i,0.00038799-0.00024197i,0.0001432-0.00020451i,6.3604e-05-0.000542i,0.00053069-8.5475e-05i,0.00026919+0.0010732i,-0.00077588+0.0012238i,-0.00019368+0.00044508i,0.00028938-0.00020008i,-0.0003935-0.00049801i,-0.00042464-0.00031019i
-0.00051262+0.00043836i,0.00025565+0.0013348i,0.0012294+0.0019938i,0.0010864+0.0013583i,0.0010566+0.00084087i,0.0013444+0.00068417i,0.0007836-0.00018054i,-0.00063392-0.00048369i,-0.0010447-0.00041381i,0.00011685-0.00029627i,0.00083177-4.7265e-05i,0.00093834-4.5864e-05i,0.00064471+1.5773e-05i,-0.00024495-0.00029431i,-0.00052312+0.00021339i,0.00027695+0.00044314i,0.0010929-0.00021514i,0.0010295-0.00045832i,0.00050548+2.0249e-05i,-0.00029298-2.902e-05i,-0.0010545-0.00096254i,-0.00065232-0.00028325i,5.4156e-05+0.00037979i
-0.00017979-0.00015744i,-0.00091196+0.0011752i,-0.00086417+0.00019102i,0.00037973-0.0013648i,-0.00021218-0.00093253i,-0.00050312+0.00011106i,6.7231e-05+0.00015915i,-0.00078674-6.1582e-05i,-0.00089776+0.00047899i,-0.00067046+0.00047701i,-0.00054638-8.2776e-05i,-3.4708e-05+0.00025205i,0.00014351+0.00040903i,0.00034398+0.00071167i,0.00039363+0.00089505i,0.00042261+0.00052127i,0.00062786+0.00068257i,-0.00027229+0.001157i,-0.0011384+0.0010164i,-0.00092293+0.0004586i,-0.00058203+0.000245i,-0.00057164-4.3353e-05i,-0.00042507-2.5372e-05i
0.00034526-0.00021633i,0.0005486-0.0011727i,0.00053132-0.0012354i,0.0010085-0.0015781i,0.00063733-0.0019236i,-0.0011093-0.0013889i,-0.00090801+0.00070706i,-0.00023775+0.001649i,0.00048674+0.00106i,0.0011537+0.00079616i,0.00045858+0.000549i,-0.00048981+6.9387e-05i,-0.00049167-0.00042498i,8.7038e-06-0.00048327i,0.00065999+0.00010417i,0.00084403+0.00066115i,0.0011242+0.00034897i,0.0011337+0.00022693i,0.0006806+0.0002678i,-0.00029125+4.0062e-05i,-0.00067871-0.00034553i,0.00048882+0.00039919i,0.00096709+0.00057512i
0.00043288+0.00080494i,0.0011817-7.8333e-05i,0.0021943+0.00010382i,0.0023378+0.00017132i,0.00098196-0.00048761i,0.00010223-0.0010409i,-0.0003028-0.00039693i,-0.00066364+0.00038983i,-0.00033353+0.00053347i,0.00016775-0.00022231i,0.0009474+2.6144e-05i,0.0013133+0.00073867i,0.0015461+0.00019655i,0.0010796-0.00036411i,0.00013322-0.00059242i,0.0003654-0.00051075i,0.00073151-0.00038185i,0.00034892-9.9571e-06i,-0.00039871+0.00035851i,-0.00030971+9.4252e-05i,0.00028535-8.295e-05i,-9.8912e-05-0.00069853i,-0.0002631-0.00095511i
0.0011901+0.002771i,0.0017234+0.0031664i,0.0018417+0.0010142i,0.0011205-0.0011297i,0.00032585-0.0011915i,-0.001152+6.8104e-05i,-0.0013211+0.00098506i,-0.0010196+0.00067285i,-0.00044373-0.00024259i,0.00015447-0.00044601i,0.00074727-0.00013924i,0.00053057+0.00024998i,0.0001103+0.00032097i,0.0001127-0.00015415i,-0.00012581-0.00054033i,-3.7573e-05-0.00021173i,-6.8371e-05+0.0002554i,0.00036979+0.00013389i,0.00014576+2.3857e-05i,-0.00068817+0.00032175i,-0.00075014+0.00024642i,-0.00026239-0.00062339i,-0.00034281-0.00090507i
0.00011727+0.00041815i,-4.0197e-06+0.00088075i,0.0013459-0.00045383i,0.0015917-0.0017844i,0.00026731-0.0024131i,-0.0012065-0.0013906i,-0.0017584-0.00075482i,-0.0012351-0.00075758i,-0.00034936-0.00038361i,-4.4761e-05-2.7048e-05i,-0.00031968-0.00021564i,-0.00052392-0.00035966i,-0.00011737-7.2811e-05i,0.00017871+0.00045278i,-9.3259e-06+0.0008702i,-6.2085e-05+0.00070387i,0.0001568+0.00061953i,0.00066237+0.00048088i,0.00036552+0.00012165i,-0.00034409+0.00017138i,-0.000849-0.00046737i,-0.00058005-0.00077706i,-0.00047127-0.00045011i
0.0012867+0.00013216i,0.001609-1.4841e-05i,0.001567-0.00088493i,0.00064352-0.0011889i,-3.9487e-05-0.0014751i,-0.0011629-0.00039842i,-0.0017014+0.0004508i,-0.001259+0.00018723i,-0.00036084-6.0418e-05i,-0.00042353-0.00051055i,-0.00039369-0.00077876i,0.00030217-0.00079908i,3.5734e-05-0.00076296i,-0.00018598-0.00059386i,0.0001461-0.00052684i,0.00050103-0.00058038i,0.00062792-0.0012387i,-1.3738e-05-0.0016664i,-0.00011434-0.0011419i,-7.7712e-06-0.00038676i,-0.00039765-0.00032214i,-0.00021306+0.00018136i,0.00041559+0.00050334i
0.00094386-0.0013897i,0.0014624-0.001757i,0.0021984-0.0018064i,0.001773-0.0012154i,-0.00034876-0.00019296i,-0.0014653+0.00027223i,-0.0015609+0.00019449i,-0.0013701+0.0001914i,-0.00032469+0.00015535i,0.00081321+0.00076828i,0.00096406+0.00074832i,0.00077094-0.00014169i,0.00084191-0.00054306i,0.00081362-0.00038085i,0.00016766-0.00018573i,0.00014169-0.0008437i,0.00057152-0.0017042i,0.00013613-0.0012695i,-0.00013478-0.00086753i,7.1974e-05-0.00041414i,-6.1757e-05-0.00036607i,-0.00018506-0.00034087i,-0.00029128-4.937e-05i
0.00091065+0.00037832i,0.0022531+0.00069153i,0.0015002+0.001445i,0.00023198+0.001343i,-0.00057233+8.7547e-06i,-0.00062711-0.00080822i,-0.00056054+0.00024183i,-0.00047272+0.00056115i,-0.00067261-0.00026209i,-0.00084619-0.00052779i,-6.3696e-05-0.00038134i,7.6995e-05-0.00021391i,0.00034073-0.00016646i,0.0011454+0.00030179i,0.00018836+0.00062178i,-0.00035495+0.00051573i,0.00036113+0.00014415i,0.00083944+2.009e-05i,0.00070133+0.00028715i,0.00092896+0.00030785i,0.0010305+0.00054777i,-0.0001857+0.00058146i,-0.00054311+8.0714e-05i
-0.0015035+0.00016263i,0.00010453+0.001523i,0.0015428+0.002741i,0.00099756+0.0019306i,-0.00059567+0.00046427i,-0.0012247-0.00096026i,-0.00099928-0.0011919i,-0.00061538-0.0001254i,-0.00033453+0.00086555i,-0.0001359+0.00067982i,-0.00013035+0.00012225i,0.00039884-0.00032784i,0.00034329-0.00040258i,-0.00023051-0.00058048i,0.00012768-0.00066783i,-0.0001094-0.00068891i,-0.00041305-0.00030183i,-1.3102e-05+0.00051033i,-0.00057122+0.00077789i,-0.00083083+0.00087499i,-0.00062369+0.00048445i,-0.00066984-0.00011924i,-8.2047e-05-0.00058146i
0.0011202-0.00035345i,0.0011106-0.00068997i,0.0011913-0.00047238i,0.0010248-0.000731i,0.00063451-0.00010142i,-0.0011051+0.00094085i,-0.0020306+0.0011648i,-0.0013028+0.00060378i,-0.00036875+0.00051903i,0.00027721+0.00087911i,0.00029004+0.00026077i,0.00078636+0.00016926i,0.00071861+0.00061098i,-4.9999e-05+3.6884e-05i,-0.00019167-8.9127e-05i,-0.00015377+4.3731e-05i,-0.00036115+3.569e-06i,-0.00013577-0.00019942i,-5.2122e-05-0.00044672i,5.9472e-05-0.00049624i,0.00021436-0.000486i,-1.4837e-05+0.00013517i,0.00023645+2.8729e-05i
-0.00091815-0.00031252i,0.00023955+0.00046189i,0.0017399+0.002163i,0.0027948+0.0030423i,0.0013959+0.0018106i,-0.00032924+0.00044179i,-0.00061278+0.00068029i,-0.00043658+0.00074161i,-0.00036236+0.0013514i,-0.00073921+0.0013068i,-0.00046199+0.00027911i,-0.00028327+6.4091e-06i,8.684e-07-0.00040169i,-0.00055324+0.00022681i,-0.0013467+0.00088236i,-0.00086077+0.00095107i,-0.00022462+0.00047675i,7.343e-06-0.0011261i,0.00030746-0.0013893i,0.0004342-0.00015211i,-0.0002388-0.0001358i,-0.00033125-0.00022514i,0.00028189+0.00020251i
5.505e-05+0.0014338i,0.0006127+0.0014794i,0.0012491+0.0011267i,0.00028513+0.0005884i,-0.00022882+0.00091514i,-0.00037958+0.0012336i,-0.00087505+0.0013162i,-0.00139+0.0014769i,-0.00143+0.0011861i,-0.00086234+0.00079211i,-0.00021494+0.00035463i,-4.7872e-05+0.00061383i,-0.00040012+0.0006552i,-0.00051898-1.8679e-05i,-8.3159e-05+0.00016229i,4.0087e-05+0.00012646i,-5.904e-05+8.9339e-05i,-8.4928e-05+0.00040987i,-0.0001725-0.00017393i,0.00030372-0.00068758i,0.00054447-2.4509e-05i,-0.00012813+0.00050385i,-0.00030506+0.00054233i
-0.00024819+0.0011615i,-0.00040731+0.0013405i,0.00084575+0.00091511i,0.0011344-0.00085621i,0.00033104-0.0018283i,-0.00056676-0.00022016i,-0.00080393+0.00091695i,-0.00093371+0.0012178i,-0.00073963+0.0011769i,0.00047611+0.00076816i,0.00092691+0.00094936i,0.00036768+0.00076184i,0.00075709-0.00017681i,0.00085552+8.3927e-05i,0.00063464+0.00080266i,0.00017289+0.000528i,-0.00057058-0.00026901i,-0.00065372-0.00069279i,-0.00050691-0.00072798i,0.00010589-0.0010241i,0.00050303-0.0012796i,0.00047722-0.0009572i,0.0006452-0.00026027i
-0.00063316-0.00026365i,-9.8361e-05-0.00099582i,0.0012312-0.00070241i,0.0010731-0.00047587i,-0.0001515-0.00039711i,-0.00040999-0.00061134i,-0.00023219-0.00067418i,-0.0002052-7.9769e-05i,-0.00036677+0.00074534i,-0.00072236+0.00055188i,-0.0004381+6.906e-05i,-0.00066961+6.9917e-06i,-0.00013132-0.00038291i,0.00049781-5.7381e-05i,-0.0003327-0.00020819i,-0.00062465-0.00075779i,-1.9491e-05-0.00012049i,-5.99e-05+0.00038306i,0.00011078+6.0651e-05i,0.00032825-0.00039372i,2.9507e-05-0.00011298i,-0.00022109+9.7393e-05i,-0.00090227-0.00038868i
0.0019812-0.0008591i,0.0018998-0.00036546i,0.0013435-0.00038438i,0.00025975-0.0009966i,-0.00068706-0.00094149i,-0.00017414-2.091e-05i,-5.9339e-05+7.7815e-05i,-0.00014767-0.00055119i,-0.00043748-0.00065078i,-0.0006768+0.00019085i,-0.00040186+0.00026494i,0.00064478-0.00043504i,0.0011007-0.00051631i,0.0010707-0.00034967i,0.00063921+6.3039e-05i,0.00019333-0.00031691i,0.00048172-0.00050509i,0.00045843-0.00024695i,1.7212e-05+5.8522e-05i,-0.00043063+0.00032963i,-0.00080879+0.00025388i,-0.00049874-0.00018107i,-0.0005802-0.00020362i
-0.00029437+1.7044e-05i,0.0012125+2.1904e-05i,0.0030743+0.00069484i,0.0036238+0.00044525i,0.0024657+3.3355e-05i,0.00049404-0.00089286i,-0.00023513-0.00069498i,-0.00031329+0.00018635i,-5.312e-05+0.00097766i,-7.3762e-05+0.0010089i,-0.00010001-0.00039859i,0.00036463-0.00074271i,0.00033214+0.00035435i,0.00069454+0.00022566i,0.00065242-2.261e-05i,4.2707e-05-0.00019882i,-5.966e-05-0.00074613i,-7.6803e-05-0.0006038i,-0.00013763-0.00030435i,0.00027524-0.00070181i,0.00016485-0.00035242i,-0.00058737+0.00075054i,-0.00011428+0.00087625i
-0.00025744+0.0010285i,-3.4661e-05+0.0015305i,0.00042868+0.0013071i,0.0010839+0.00060624i,0.0010944+0.00050245i,0.00042679+0.00044009i,-0.00044233+0.0005572i,-0.00069311+0.00064007i,-0.000335-1.1569e-06i,0.00016286-0.00083929i,0.00035615-0.00049194i,0.00026045+0.00034538i,6.7185e-06+0.00060463i,0.00022235+0.00025747i,0.00092884+0.00011561i,0.00074753-0.00011961i,0.00026488+0.00033782i,0.00020908+0.00051819i,0.00039296+0.00029083i,-0.00024963+0.00029844i,-0.00055745+0.00015169i,-6.7409e-05+8.8756e-05i,0.00024264-0.00026796i
-0.00015141-0.0024706i,-0.00057048-0.0027472i,4.9147e-05-0.0011622i,0.00039437-0.00027813i,-0.0010695+0.00015246i,-0.00097323+0.0013979i,-0.00026475+0.0015608i,-0.00046006+0.00056014i,-0.0006958+4.5368e-05i,3.9608e-05+0.00017248i,0.00070894+4.9567e-05i,0.00084354+4.6631e-05i,0.00035489+0.00027867i,2.2878e-05-0.00019372i,2.5816e-05-0.00061114i,-0.00034456-0.00044692i,-0.00068296-0.00052559i,8.3215e-05+0.0004003i,0.00087146+0.0010013i,0.00067252+0.00037836i,0.0005109+0.00021591i,0.0003082+0.0004117i,-0.00023801+0.00020649i
0.00021632+0.0013925i,0.0017139+0.00037068i,0.0023368+0.00040375i,0.0025331+0.00012079i,0.0016717-0.00035531i,-1.225e-05-5.0169e-05i,-0.00081324+0.0006238i,-0.00084992+0.00069937i,-0.00085402+0.00052083i,-0.0002551+0.00061657i,0.00021096+0.00056241i,0.00017726+0.00010582i,-0.00012125-0.00021099i,-0.00034306+1.8078e-05i,0.000184-0.0001183i,0.00097289+0.00029474i,0.00043927+0.00058969i,-8.0793e-05-9.4609e-05i,-1.839e-05-0.00082794i,1.1346e-05-0.0012763i,-0.00022687-0.00081317i,-0.00066164-0.00035842i,-0.00052988-0.00011951i
0.00037564-4.4306e-05i,0.00080715-7.4254e-05i,0.0014554+0.00059762i,0.0014697+0.00076378i,-0.00028573+0.00051757i,-0.0016772+8.3693e-05i,-0.001617-0.00018737i,-0.0015588+0.00022821i,-0.001366+0.00050724i,-0.00034556+0.0004604i,5.0551e-05+0.00044636i,-2.8908e-05+0.00037672i,-0.00059987-0.00014622i,-0.0011871-0.00033126i,-0.00017191+9.8285e-05i,0.00047463-0.00021962i,-0.0001772-0.00066154i,-1.0143e-05+0.00025473i,0.00011109+0.00031753i,0.00041725+0.00027778i,0.0002881+0.0005649i,-0.00041594+0.00022459i,-0.00071764-0.00020292i
0.0012709+0.001002i,0.0016243+0.0007444i,0.0020269+0.00036263i,0.001612-0.0011273i,0.00067289-0.0015488i,-0.00055066-0.0001572i,-0.00073869+0.00038597i,-0.00068929+0.00037671i,-0.00093437+0.00057436i,-0.00078844+0.00028386i,-0.00031394+6.6976e-06i,-0.00023149+0.00033298i,0.00010244+0.00072027i,0.00035495-1.0486e-05i,0.0002858-0.00062915i,0.00049612-0.0003326i,0.00016958-5.2268e-05i,-0.00059781-0.0001983i,-0.00056665-0.00044231i,9.9251e-05+0.00012699i,0.00060639+6.4167e-05i,0.00052654-0.000511i,3.5232e-05+7.4231e-05i
-0.0020785-0.00062813i,-0.0016282-0.0005107i,-0.00012287+0.00034536i,0.00071312+0.00035375i,0.00052428+0.00039006i,0.00027705+0.00056456i,-0.00066303+0.00079009i,-0.0010906-0.00018904i,-0.0010449-0.0008958i,-0.0010457-0.000155i,-0.0009225-7.064e-05i,7.0684e-05+0.00063677i,0.00067762+0.00062334i,0.00042001-0.00071142i,0.00027223-0.00069651i,-0.00015586+6.2412e-05i,-0.00024595+0.00023664i,0.00073513-0.00020576i,0.00086034-0.00021953i,0.00046196-0.00020372i,-0.00029139+7.512e-05i,-0.001152-0.00020391i,-0.00033411-0.00025392i
-0.00038629+2.4523e-05i,-0.00047013+9.1925e-05i,0.00014-3.259e-06i,0.0010333-0.0001607i,0.00091785-0.00049657i,-0.00049031-0.00064461i,-0.0012407+0.00020859i,-0.0010324+0.0012182i,-0.0010496+0.00093808i,-0.00044824+7.7358e-05i,0.00053186+0.00013584i,0.00059014+0.00046894i,0.00056601+0.00053026i,0.00071888+0.00015293i,0.0001954+0.00016417i,-0.00060977+5.8912e-05i,-0.00012916-0.0004622i,0.0001098-0.000662i,0.00014649-0.001173i,0.00069353-0.0013272i,0.00083271-0.00026336i,0.00074905+7.9752e-05i,7.1236e-05-0.00028406i
0.00061635-0.00028702i,0.0022009-0.0014574i,0.0038235-0.0009696i,0.002997-0.00029667i,0.0011349-0.00073682i,-0.00033051-0.00015718i,-0.00044145+9.5638e-05i,-0.00050988+0.00019016i,-0.00051153+0.00029194i,2.7677e-06+0.00050367i,-6.2585e-05+0.00037455i,-6.334e-05+9.9392e-05i,-4.9136e-05-4.9494e-05i,0.00043701-0.00016379i,0.00033676+2.1706e-05i,1.7761e-05-0.00047562i,0.00010919-0.00074716i,-0.00010442-0.00028108i,0.00066951+0.00015902i,0.0003562+0.00011754i,-0.00091042-0.0010377i,-0.00081097-0.0010832i,-0.00020115-0.00023801i
0.00042738-0.00049541i,0.0014774+0.00043887i,0.0018064+0.0014784i,0.0019847+0.0010931i,0.0014178+0.00026091i,-0.00032017-0.00031966i,-0.0013784-0.0011647i,-0.00061352-0.00036687i,0.00047044+0.0011219i,4.8398e-05+0.00068751i,0.00030877-0.00026454i,0.0014802-0.0002951i,0.0016316-0.00037715i,0.0012041-0.00028884i,0.00054096+0.0002576i,0.0001889+0.00049257i,0.00020348-0.00023481i,0.00022336-0.00010116i,0.0005297+0.00060073i,-0.00018312+0.00038484i,-0.00095861-0.0007945i,-0.00051201-0.0010973i,-0.00027677-0.00046564i
