0.00063777-0.0015189i,-0.00016997-0.00073637i,-0.0012501-0.00018122i,-0.001716-0.00021716i,-0.0010801-0.00042637i,-0.00082967-0.00080833i,-0.00042451-0.0012772i,-0.00018811-0.00085025i,-0.0007437-0.00066308i,-0.00031245-0.0010998i,0.00055935-0.0013864i,0.00032788-0.00077986i,-0.00030877+0.00064621i,-3.6323e-05+0.0015966i,0.00060063+0.0011565i,-6.2702e-05+0.00043608i,-0.00038925+0.00072997i,0.00021555+0.00054322i,0.00090288+0.00036522i,0.0014022+0.00053401i,0.00078828-2.9834e-05i,0.00018613-0.00058885i,0.00062312-0.00096838i
0.0014511+0.0002801i,0.00139+0.00068694i,-0.00010407-0.00012197i,4.4588e-06-0.00028028i,0.00073629-0.0009644i,0.00045446-0.0020562i,-0.00069687-0.0011898i,-0.0010494-0.00017756i,-0.00069995-0.00017449i,-0.00079603-0.00051678i,-0.00036269-0.00030687i,0.00052992-0.00028082i,0.00016151-0.0004678i,-0.00050938+2.9895e-05i,-0.00029369+5.3555e-05i,-4.013e-05+0.00055777i,0.00021397+0.00076469i,-0.00015401+3.1193e-05i,6.181e-05-0.00010433i,0.00020459-0.00037095i,-0.00024403+0.00016697i,-0.00065506+0.00056349i,-0.00044588+0.00056795i
0.00065448+0.00078227i,0.0012695+0.00025007i,0.00061399+0.00016736i,-6.4947e-06-0.00036105i,0.00024847-0.0014135i,-0.0013357-0.0018691i,-0.0019156-0.0012254i,-0.00045486-0.00042834i,0.00031749-1.0704e-05i,-0.00025679-4.5739e-06i,-0.00020813+0.00020558i,-0.00066307-0.00032285i,-0.0011543-0.00094988i,-0.00037576-0.00054854i,0.00063143-0.00047257i,0.0010215-0.00046974i,0.001047-0.00022046i,0.0011644-0.00063561i,0.0010516-0.0012392i,0.00043034-0.00077736i,-8.7707e-06-0.00052216i,-0.00066527-0.00078626i,-0.00094106-0.00055135i
0.0014638-0.00071094i,0.0015574-0.0012956i,0.0019949-0.0023696i,0.00105-0.0018835i,-0.00053167-0.00078635i,-0.0003632+0.00026635i,0.00029771+0.00077559i,7.6907e-06+0.00056094i,0.00011734-0.00037843i,0.00026416-0.00080687i,0.00047008-0.00041608i,0.00041038-0.00049115i,8.5783e-05-0.00086613i,0.00029344-0.00019532i,6.7117e-05+0.0007147i,-0.00034956+0.0002543i,-4.5116e-05-0.00048688i,0.00044814+4.7145e-05i,0.00049895+0.00058869i,6.9594e-08+0.00011612i,-0.00014988-0.00087353i,0.00025095-0.00053049i,-0.00057827+0.00010798i
0.00063362+4.1314e-05i,0.00014402-0.00062636i,0.00019268-0.0013586i,0.00039102-0.0013101i,0.00031479-0.00087082i,-0.00054059-0.00054739i,-0.0011148-0.000393i,-0.00054651+0.00030805i,0.00029041+0.00057873i,0.00029102-0.00022936i,-0.00020354-0.00041398i,-0.00044633-0.00029577i,-0.00038243-0.00011905i,-0.00098981+0.00083423i,-0.0010795+0.0013926i,0.00010623+0.00098357i,-0.00018096+0.0009899i,-0.0011204+0.0012498i,-0.00068857+0.0012698i,0.00014703+0.00088368i,0.00042741+0.00069139i,-0.00047591+0.00062233i,-0.00076683-0.00038596i
-0.0034149+3.3028e-05i,-0.0038896+0.0012098i,-0.0026605+0.0017933i,-0.0010239+0.0013823i,-0.00045205-6.9296e-05i,0.00014529-0.0012991i,0.00012926-0.00056065i,-0.00025885-0.00014669i,-0.00044703-0.00088235i,-0.00064172-0.00094481i,-0.00036599-0.00049588i,0.00027175-0.00043385i,0.00038483-0.00070284i,-0.0003458-0.0010443i,0.00033492-0.00087394i,0.0010586-0.0010195i,0.00056045-0.0012378i,-8.652e-05-0.00044991i,-0.00026596-0.00022874i,0.00031034-0.00085321i,0.0005239-0.0002737i,0.00042242+6.6578e-05i,0.00028808+1.4337e-05i
1.0599e-05-0.0015764i,0.001312-0.00064264i,0.0010358-5.5353e-05i,-0.00010599-0.00094071i,-0.0005549-0.0014439i,-0.00024115-0.0015327i,-0.00011527-0.0013127i,-0.0004261-0.00024273i,0.00010725+0.00054112i,0.00056889+0.00032477i,0.00033439-4.1753e-05i,-0.00072048-0.00030458i,-0.00094489-0.00087588i,-0.00092411-0.00037741i,-0.00089546-0.00040387i,-0.00049013-0.00069634i,-0.00015559-0.00040543i,0.00042216-0.00084303i,0.00023292-0.00080526i,-0.00022142+0.00042841i,-0.00052406+0.00058172i,-0.00013128-0.00059123i,0.00017381-0.00088532i
-0.00019738+0.0001332i,0.0010809+0.00048123i,0.0019933+0.0014203i,0.0018708+0.0013976i,0.0016037+0.00017486i,0.00068438-0.00070518i,-0.00014931-0.00063219i,-0.0006897-9.6136e-05i,-0.00082272-4.1464e-05i,0.00010546+8.9139e-05i,0.00029259+0.00047462i,-0.00026178+0.00056706i,-0.00052187+0.0012085i,-0.00085409+0.0010473i,-7.9968e-05-0.00049102i,0.00055276-0.00038367i,0.00042686+0.00053789i,0.00033864+0.00080903i,-0.00043631+0.0002313i,-0.00068143-0.00014851i,-1.1474e-05+5.5346e-05i,0.00058136-0.00016664i,0.00063334-0.00059508i
0.00052363+0.0032324i,0.0014536+0.0034394i,0.0011785+0.0018229i,0.00060581+0.00021439i,0.00093472-0.00060039i,0.00095912-0.00076101i,-2.4494e-05-0.0006919i,-0.00023782-0.00017413i,-8.5011e-05-0.00025837i,0.00015156-0.0011298i,0.00019934-0.0014008i,-0.00032036-0.00097199i,-0.00087975-0.00052982i,-0.0016614-0.00075459i,-0.0015963-0.001332i,-0.0011939-0.00090288i,-0.00013528-0.0001204i,0.00057304-8.1319e-05i,0.00035601-0.00014756i,0.00072182-0.00017171i,0.00072464-0.00029526i,-9.4332e-05-0.00063689i,-0.00050888-0.000495i
0.00061021-0.00080347i,-0.00010529-0.00129i,0.00046526-0.0019349i,-1.7388e-05-0.0017009i,-0.0010315-0.0011932i,-0.0014447-0.00032616i,-0.00089241+0.0009805i,0.00019032+0.001395i,0.0011665+0.00073712i,0.00045191-0.00043863i,-0.00041095-0.00072983i,0.00029731-0.0003659i,0.00012218-0.00044421i,-0.00045609+0.00037799i,-0.001032+0.00091278i,-0.00085485+0.00014058i,-1.7462e-05+0.00015846i,5.6826e-05+0.00024163i,0.00088815+0.00023205i,0.00032375-5.5422e-05i,-0.00045831-0.00042291i,-0.00021108-5.8792e-05i,-0.00031577+0.00066428i
