0.00014398+4.5522e-05i,-5.5141e-05-0.0010065i,-0.00086934-0.0034234i,-0.0013838-0.0051848i,-0.0020751-0.0042057i,-0.0019948-0.0017907i,-0.00070033-5.0279e-05i,0.00092437+0.0010507i,0.0013057+0.0014157i,0.00074628+0.00051513i,0.00060088+0.00026911i,0.00081057+5.3775e-05i,0.0003243+0.0005893i,-0.00026526+0.00078775i,-0.00086614-7.3907e-05i,-0.0013159-0.001054i,-0.00031103-0.0012226i,0.00030415-0.0010283i,-0.00035967-0.0006028i,-0.00044835+0.00038061i,-0.00057139+0.0014145i,-0.00084613+0.0013006i,-0.00050107+0.00036775i
-0.00027168-0.001236i,-9.1091e-05-0.00099855i,0.00087526-0.00095298i,0.00028176-0.0015124i,-0.0009283-0.0017633i,-0.00090758-0.00044102i,-0.0012217+0.00010588i,-0.0020669-0.00022148i,-0.0016455+0.00074146i,-0.0010825+0.0010545i,-0.00017468+0.00052509i,0.00066315+0.00065079i,0.00044926+0.0012937i,0.00057495+0.0012186i,0.00041114+0.00047684i,0.00036627+2.5956e-06i,0.00054155+0.0002608i,-0.00019555+0.00032773i,-0.0005355-0.00017771i,-0.00020077-0.00017822i,0.00035654+0.00035782i,0.00053783+0.00072833i,0.00039536+0.00022395i
-0.0010114-0.00029458i,-8.1242e-05+7.9606e-05i,0.00030985+0.00010054i,-0.00022122-0.00062936i,-0.0014685-0.0007512i,-0.0010638+0.00015448i,-0.00031696+0.00041582i,-0.00056024-0.0004813i,-0.0005916-0.00056998i,-0.00030988+0.00057714i,9.5703e-06+0.00062546i,8.0575e-05+0.0010982i,-0.00012574+0.0015183i,0.00021378+0.0010807i,0.00030369+0.0010075i,-7.8553e-05+0.00060785i,-0.00053284+0.00042578i,-0.00060661+0.00011619i,0.00039206+0.00020641i,0.0008045+0.00085745i,0.00046279+0.00018599i,-0.00045159-0.00036733i,-0.0004321-0.00020068i
0.0010813+0.00011874i,0.00063273-0.0010064i,-8.0629e-05-0.0011261i,-0.00049902-0.0011462i,0.00016126-0.0012645i,0.00032372-0.00097112i,-0.00041112-0.00064896i,-0.00053205-0.00018898i,-0.00062733+0.00037719i,-0.00054523+0.00016775i,-0.00030599+7.3568e-05i,-0.00042797+0.00023883i,-0.00051301+0.00054966i,9.6634e-05+0.00048227i,1.5505e-05-0.00018048i,-0.00070856-0.00039146i,-0.00031695+0.00010341i,-0.00064504+0.0003456i,-0.00026322+0.0006954i,0.00051499+0.00056037i,0.00046575+0.00045504i,-6.5058e-05+0.00043541i,-0.00031896+0.00010764i
0.0003088+0.0008706i,0.0018451+0.0012624i,0.0026155+0.00091302i,0.0021379-0.00033548i,0.0014318-0.0015728i,0.00041054-0.0015498i,-6.3252e-06-0.00072639i,-0.00031522-0.0003061i,-0.00099118-0.00020963i,-0.00089937-0.00031682i,-0.00030095+0.00013775i,-0.00048911+0.00030068i,-0.00087829+0.00026959i,-0.0010948+0.00071461i,-0.00092396+0.0007386i,-9.9614e-05+0.00020082i,0.00012137+7.1828e-05i,-5.6456e-06+0.00034042i,0.0002318+0.00037318i,0.0004173-6.7692e-05i,-0.00026741-0.0005693i,-0.00053774-0.0011398i,0.00026737-0.00089176i
0.00026599-0.00098667i,1.0579e-05-0.00079892i,6.0327e-05-0.00088251i,-0.00094708-0.00092134i,-0.0014186-0.00085402i,-0.00085193-0.00061599i,0.0002322-0.00042313i,9.3965e-06-0.0001755i,-0.00085246-0.00019365i,-0.0012705+0.00068049i,-0.0011321+0.00075041i,-0.00036595-0.00050762i,0.00051925-0.00074658i,0.00162-0.00030861i,0.0010606-0.00016511i,-0.00020122-0.00023188i,-9.1563e-05+0.00031996i,0.00045773+0.00053702i,0.00017895+0.00063596i,2.5126e-05+0.0006515i,0.00035031+0.0006558i,0.00049876+0.0002775i,-1.5246e-05+0.00043054i
0.00067699+0.0010518i,0.00087598-0.00010117i,0.00053333-0.0018817i,0.00088085-0.0020433i,0.0012486-0.0017825i,0.0011624-0.0015362i,0.00026729-0.00044833i,-0.0010072-0.00030074i,-0.0013238-0.00078701i,-0.00036147-0.00047747i,-0.00030113+0.00015234i,-0.00061351+0.0012704i,1.1389e-05+0.0015237i,0.00033862+0.00080173i,-0.00020759+0.00057314i,-0.00093308+0.00023229i,-0.0013099-0.00013362i,-0.0011757-0.00036136i,-0.00039763-0.00064165i,0.00036228-0.00086306i,0.00096738-0.0013356i,0.00061646-0.0013998i,-7.5471e-05-0.00021279i
-5.8457e-05+4.7559e-05i,-6.606e-05-0.00083451i,0.00077997-0.0020478i,0.00048323-0.0023211i,-0.00088586-0.0016701i,-0.0011336-0.00080838i,-0.00065668-0.0004371i,-0.00084891+0.00020068i,-0.00081997+0.001141i,-0.00011243+0.0011579i,0.00035033+0.00033597i,0.001062+8.4622e-05i,0.00087561+0.0003571i,0.00057975+0.00018138i,0.00085649+0.0001478i,0.00097685+0.00025424i,0.00049211+0.00081138i,-0.00030942+0.00097391i,-0.00027953+0.0004714i,-0.00022969+0.0012211i,-0.00060559+0.0014028i,-0.00076542+0.00080528i,-0.0011405+0.00058919i
-0.00053884-0.0011401i,8.5017e-05-0.0010767i,-0.0004482-0.0014771i,-0.0011704-0.0017078i,-0.0013753-0.0011334i,-0.0010224-0.00013215i,-0.00064401+0.00032097i,-0.00080632+0.00025447i,-0.0010298+0.00019016i,-0.00086508+0.00036445i,0.00022062+0.0010041i,0.00092891+0.001006i,0.00032713+0.00019588i,-0.00013105-0.00019467i,-0.00044302-0.00048173i,1.118e-05-0.00073431i,0.0011722+5.5041e-05i,0.0010349+0.00031725i,3.0261e-05-3.364e-07i,8.4386e-05+0.00011019i,0.0012487+0.00058578i,0.0014045+0.00083987i,0.00051099+0.00077176i
0.00015432+0.00051879i,-0.00015636+0.00053808i,-0.00045899+2.9568e-05i,-9.6562e-05-0.00048828i,-4.0924e-06-0.00025005i,-0.00095874+0.0002481i,-0.0012443+0.00050062i,-0.0016233+0.00043327i,-0.0017116-0.00021424i,-0.00061599-0.00056706i,0.00033725+0.00024551i,0.0002045+0.00094346i,-2.2549e-05+0.00090942i,0.00022127+0.00025783i,6.8378e-05-0.0002382i,0.00058223-0.00073864i,0.0014038-0.0010171i,0.0011874-0.00059347i,0.00043474-0.0003108i,0.00019794-0.00054275i,0.00025697-0.00041498i,3.7089e-05-0.00029239i,0.00023953-0.00030548i
-0.00077918+0.00098949i,-0.00066693-0.00045253i,0.00025366-0.0007374i,0.001232-0.00091488i,0.0016017-0.0015727i,0.00064137-0.0015629i,0.0001478-0.00095171i,-0.00012869-0.00018532i,-8.4755e-05+0.0003214i,-9.2671e-05+0.00028315i,-2.0281e-05+0.00077735i,-0.00035507+0.001476i,-0.00033749+0.0013025i,-0.00032829+0.00041973i,0.00050546+1.164e-05i,0.00042695+0.00019381i,-8.5822e-05+0.00050218i,-0.00015878+0.00039775i,-0.000201+0.00017105i,-0.00043468-0.00015009i,-0.00052006-0.00091301i,-0.00047133-0.00061475i,-0.00016689-0.00034261i
3.5958e-05-0.00066608i,0.00047324-0.00051105i,0.0005227-0.0011898i,-0.00081643-0.0021663i,-0.0019153-0.0020633i,-0.0014031-0.00085108i,-0.00018047-0.00037028i,-0.00011588-5.7713e-05i,-0.00027053+0.00036637i,2.1564e-05+0.0004532i,-0.00017823+0.00075931i,-0.00020548+0.0014386i,5.1127e-05+0.0017447i,0.00017751+0.0013185i,6.9795e-05+0.00048639i,0.00025177+0.00032961i,0.00012146-0.00011527i,0.00046305-0.00028008i,0.0010432+6.922e-05i,0.00036196-0.00038737i,7.038e-06-0.00088788i,0.00015661-0.00056316i,-0.00024817-0.00052078i
-0.00033492+0.00020843i,-0.00035416+0.00056077i,-0.00083957+0.00089685i,-0.00058143+0.0013157i,-0.00024996+0.0011911i,0.00027615+0.00054875i,0.00070851-1.2392e-05i,-6.8925e-05-0.0001011i,-0.0011797+0.00011987i,-0.0013398+0.00059132i,-0.00087327+0.00070332i,-0.0005432-7.9599e-05i,-0.00045164-0.00020659i,5.9131e-05+0.00015695i,-5.1452e-05+8.1016e-05i,-0.00045927-0.00041508i,-0.00055755-0.00041772i,-0.00010458-0.00038495i,0.00067236-0.00019686i,0.00067559+0.00043756i,0.00012185+0.00083148i,-0.00038614+0.00076877i,-0.0010939-5.7779e-05i
0.0010771-0.0011184i,0.00079496-0.0017451i,0.0011274-0.0022861i,0.0014079-0.002098i,0.0011088-0.0016586i,0.0001067-0.00071417i,-0.00071945-0.00035125i,-0.00069238-0.00044284i,-7.7214e-05+0.00010853i,8.9167e-05+0.00087267i,8.4473e-05+0.0010818i,0.00019594+0.0012102i,0.0003317+0.0010813i,0.00080423+0.00034378i,0.0014205+4.001e-05i,0.00024544-5.1369e-05i,-0.00032929+0.00044059i,3.3032e-05+0.00080975i,0.00031574-0.00036329i,0.00056124-0.00076628i,0.00076151+0.00041985i,0.00035953+0.0001576i,1.9571e-05-0.00086454i
0.00056351-0.00087803i,0.00057878-0.00032735i,0.00096297+0.00044677i,0.00096684-0.00028927i,0.00067144-0.00069197i,0.00065199-0.0002653i,0.00027208-9.1109e-05i,-1.6133e-05+0.00030955i,-0.00017139+0.00037834i,0.00016643+0.00051218i,0.00091842+0.00067059i,0.00095588+0.00067075i,0.00089419-8.0872e-05i,0.00079726-0.00051007i,-0.00043729-0.00032833i,-0.00096779+0.00049147i,-0.00042914+0.00094876i,-1.732e-05+0.00033845i,-2.7166e-05-0.00045939i,-0.00053701-0.00033534i,-0.00098947-0.00094534i,-0.00039035-0.0011881i,0.00021104-0.00068029i
0.00035893+0.0015437i,0.00051141+0.0014995i,0.0010369+0.0009005i,0.0014657-0.00099334i,0.0017195-0.0017449i,0.00054799-0.0014401i,-0.000455-0.0011442i,-0.00067809-0.00047688i,-0.00071842+8.9809e-05i,-0.00098578+0.00033509i,-0.00083847+0.00086709i,-0.00074963+0.00090529i,-0.00083187+0.00047487i,-0.00096838+0.00051082i,-0.00087748+0.00069022i,9.5985e-05+0.0010766i,0.00093734+0.00041208i,0.0007239+0.00021475i,-0.00046476+0.0010119i,-0.00093959+0.00092241i,-0.00096289+6.7159e-05i,-0.00095795-0.00078699i,-7.0116e-05-0.0010808i
0.0016063+0.0011582i,0.00050333+0.00075661i,0.00067996-0.00048874i,6.6288e-05-0.0016969i,-0.0011717-0.0014963i,-0.0018654-0.00088949i,-0.0014835-0.00024526i,-0.0014501+2.2013e-05i,-0.0014162+0.00016837i,-0.0003866+0.00015767i,-9.598e-05+0.00043901i,0.00010388+0.00076201i,0.00025437+0.0013079i,-0.00010327+0.0016113i,-3.1159e-05+0.0010409i,0.0010292+0.00066954i,0.00071513+0.00082601i,-0.00025961+0.00046665i,-0.00020577+0.00035876i,0.00020774+0.00054077i,0.00055273+0.00020721i,0.0002131-2.2178e-06i,0.00012081-0.00033169i
-0.00078231+0.00030811i,0.00055156+0.00044465i,0.00080171+0.0006708i,0.0010367+0.00086506i,0.0020839+0.00062014i,0.0021428-0.00032004i,0.0004306-0.00035067i,-0.001481+0.00014665i,-0.0020281+0.00039075i,-0.00073629+8.1209e-05i,-1.7387e-05+1.3055e-05i,-0.00045592+0.00047498i,-0.00042263+0.00096343i,-0.00047934+0.0011022i,-0.00014203+0.00094292i,0.00013792+0.00041105i,0.00047304-9.7245e-05i,0.0004421-0.00012896i,-5.0425e-05-0.00057598i,2.822e-05-0.00060692i,0.00023196-0.00076217i,-0.00051731-0.0012583i,-0.0013038-0.00073158i
0.0018454+0.0011026i,0.0011195-0.0012731i,0.0019009-0.0029462i,0.0018974-0.003765i,0.00058886-0.0035205i,-0.00046097-0.0018958i,-0.00052714-0.00097221i,-0.00034242-0.0010252i,-5.1888e-05-0.00045619i,0.00013013-0.00027303i,0.00054096+0.00012955i,0.00037261+0.0012013i,-7.4031e-08+0.0017036i,0.00019126+0.00089015i,0.00034616-0.00040319i,0.00069072-0.00089875i,0.00041022-0.00076018i,-0.00010801-0.00050764i,0.00047227+0.00011504i,0.0011665+0.00092749i,0.0010193+0.00029679i,0.00022708-9.8662e-05i,-0.00024698-2.1833e-05i
0.0011446-0.0013204i,0.00048501-0.0020236i,0.00011903-0.0025162i,-8.3479e-05-0.0024078i,-0.0015117-0.0021111i,-0.0022471-0.0015023i,-0.0015262-0.00061005i,-0.00059338-0.00068818i,-0.00071192-0.00033958i,-0.0009754+0.0012687i,-0.00042628+0.0016851i,7.4208e-05+0.00037877i,0.0004581-0.00038496i,0.00042916-0.00078392i,-0.0003036-0.0011492i,-0.00065198-0.0007807i,-4.8414e-05-0.0002785i,0.00016478+2.8315e-05i,0.00032534-3.7756e-05i,0.00067918+0.0005467i,0.00057025+0.00076228i,0.00020757+0.00031469i,6.3733e-05+0.00042887i
-0.00045583-0.0021921i,-0.0012022-0.0015102i,-0.0020942-0.0006677i,-0.0019923+0.00022214i,-0.00088111+0.0021607i,0.00030893+0.0029819i,0.00022612+0.00077393i,-0.0010083-0.00091545i,-0.001893-0.00070447i,-0.001445+0.00030259i,-0.0005357+0.00078833i,-4.4411e-05+0.00083545i,0.00015628+0.0007179i,0.0004935+0.00062194i,0.00024983+0.00057864i,0.00034814-0.00020795i,0.00016456-0.00088442i,-0.00014477-0.00042376i,0.00051484+0.00061698i,0.00058159+0.0007127i,0.0001723+0.00011116i,-0.00020016+9.3869e-05i,-0.00087336+0.00027858i
0.00086212-0.001475i,0.00021284-0.0022488i,-0.00045268-0.0028396i,-0.00049635-0.0032947i,-0.00024047-0.0028068i,7.2709e-05-0.0018235i,0.00049555-0.0011715i,-0.00015148-0.00111i,-0.0012768-0.0011195i,-0.00093233-0.00029779i,-0.00011113+0.00083333i,-2.5118e-05+0.0013496i,0.0001698+0.00090339i,0.0011971-0.00062817i,0.0011315-0.00091458i,0.00022476+0.00015079i,-0.00037831-0.0002814i,-0.00029595-0.00057148i,-0.00038201-0.00034737i,-0.00076226-0.0006203i,-0.00065736+0.00034163i,-0.00067137+0.00078666i,-0.00016723+0.00018198i
-0.00013315-0.0022875i,-0.0010015-0.0019311i,-0.0021146-0.0025152i,-0.0015046-0.0030841i,-0.0012423-0.0025561i,-0.0015556-0.00099288i,-0.0011007-0.00024481i,-0.00094646-0.0010051i,-0.0011188-0.001047i,-0.00063022-0.00074467i,0.0001902+0.00025589i,0.00033956+0.0010249i,0.00053793+0.00098076i,0.00071044+0.0010057i,0.00071892+0.00092577i,0.00082024+0.00035187i,0.00042078+3.3591e-05i,0.0001782+0.00018164i,0.00044734-0.00033455i,0.00036269-0.00058222i,-0.0006928+0.00023875i,-0.0011729+0.00045411i,-0.00039456+0.00039389i
0.0013924+0.00025311i,0.00056536-0.00028024i,0.00097709-0.00081861i,0.0013703-0.00068118i,0.00062582-7.8161e-07i,-6.2798e-06-0.00024787i,-3.5284e-05-0.00025311i,-0.00036533+0.0002296i,-0.00053095+0.00075318i,-0.00018574+0.00084041i,0.00032245+0.00031596i,0.00036692+0.00044113i,-0.00015549+0.0006391i,-3.3204e-05+0.00043846i,0.00061091+0.00050782i,0.00068972-2.4801e-05i,7.1021e-05-0.00072515i,0.0003383-0.00098236i,0.00044912-0.00094269i,-0.00013528-0.00056206i,-0.0005566-2.7288e-05i,-4.0366e-05+0.00034568i,0.00021358+0.00027986i
-0.00050079+0.00027965i,-0.0010143+0.00014603i,-0.0007505-0.00060529i,-0.00026074-0.0016299i,-0.00057492-0.0023819i,-0.00098744-0.001594i,-0.00011817-0.00070348i,-9.117e-06-0.00072133i,-0.0010193-0.00044289i,-0.0014649+0.00043263i,-0.00075924+0.00073342i,0.00013031+0.00048804i,0.00026886+0.00056081i,-1.7074e-05+0.00071641i,0.00034418+0.00099612i,0.00098414+0.00095279i,0.00094025+0.00063767i,0.0004287+0.00016338i,-0.00032865-0.00012887i,-0.00059088-5.31e-05i,-7.1554e-05-0.0010401i,0.00080897-0.0013939i,0.00051806-0.00041994i
-1.4231e-05-0.0014457i,0.00049562-0.0016337i,0.00063293-0.0024606i,0.00059625-0.0029677i,0.00031731-0.0023251i,-0.00069958-0.00098569i,-0.0014255-0.00063546i,-0.0012161-0.0010486i,-0.0012898-0.00092038i,-0.001454-0.00095354i,-0.00059973-0.00046871i,9.8874e-05+0.00023273i,0.0006114+9.0526e-05i,0.00098139+0.00028735i,0.00068339+0.00050925i,0.00068463+6.7931e-05i,0.00072307+0.00037041i,0.00029724+0.00029189i,0.00049168-0.00021071i,0.00018159-0.00020818i,-0.00080275-5.5464e-05i,-0.0007369-0.00029763i,-0.0003729-0.00034134i
0.0013922-0.00042974i,0.00087325-0.00056915i,-0.0013275-0.0017225i,-0.0021499-0.0022888i,-0.0012225-0.0021355i,-0.00045334-0.0014604i,0.00023624-0.00085092i,-0.00026247-0.00070426i,-0.001323-0.00035278i,-0.00074026-0.00015868i,0.0001131+0.00032936i,-0.00016317+0.00083795i,-0.00043387+0.00039487i,-0.00012084-0.0002605i,8.0373e-06-0.00021592i,0.00015722+0.00079302i,-0.00048807+0.0013461i,-0.0013625+0.0007419i,-0.00070793+0.00052417i,-0.00016713+0.00016901i,-0.00035312-0.00024431i,3.4411e-05-7.6254e-05i,-9.9347e-05-0.00034935i
0.00080262+0.00062661i,0.0008753+0.00094307i,0.00084928+0.00026202i,-0.00021297-0.0014083i,-0.00091301-0.0017996i,-0.0007669-0.00096738i,-0.00055372+0.00017244i,-0.0010884+8.9717e-05i,-0.0013222-0.00063882i,-0.0013999-0.00035797i,-0.00047591+0.00044217i,0.00038679+0.0011123i,0.00017579+0.0012799i,-0.00024749+0.00063573i,7.5242e-06-2.9968e-05i,0.00065841-0.00020659i,0.00059038+0.00046378i,0.0011144+0.00035296i,0.00061346-0.00038153i,-0.00051427-0.00025744i,-0.00066529+0.00023757i,-0.00069074+0.00065123i,-0.00082876+0.00043072i
0.001763-0.00011003i,0.00037664-0.00039464i,-5.333e-05-0.0018565i,-0.00071581-0.0036366i,-0.00090142-0.0033265i,-0.00091135-0.00074788i,-0.00058732+0.001041i,-6.3717e-05+0.00077477i,-0.00040212+4.0727e-05i,-0.0009766-0.00036858i,-0.00093677+0.00041439i,-0.00064034+0.001494i,-0.00035403+0.0014508i,-2.5559e-05+0.00092294i,0.00039007+0.00036012i,-4.2204e-05-1.6845e-05i,-0.00031822-0.00030067i,-2.7907e-05-0.00046066i,-0.00022049-9.4183e-05i,-0.00064444+0.00057712i,-0.00010768+0.0005138i,0.00038724+3.7896e-05i,0.0002399+2.8373e-05i
-0.00083176-0.0019749i,-0.00072616-0.0019624i,-0.00090494-0.00069415i,-0.0010238-5.3107e-05i,-0.0008329-0.00040884i,0.00039606-8.5239e-05i,0.0011386-0.00024785i,-0.00031365-0.00031195i,-0.0020184-4.8994e-05i,-0.0017279+2.7198e-05i,-0.0004675+0.00084132i,0.00014467+0.00098537i,0.00038898+0.00013802i,0.00030747-0.00038858i,-5.4099e-05-0.00022476i,-0.00079686-9.2897e-05i,-0.00095627-0.00031944i,-0.00096649-0.00016449i,-0.00053988+0.00016822i,0.00026517+3.197e-05i,-3.7103e-05-0.00063919i,-0.00077014-0.00059522i,-0.0011256-0.00026857i
0.0010872-0.00088963i,0.00085099-0.0012095i,-5.4268e-05-0.0014984i,-0.0012304-0.0018054i,-0.0020588-0.0022199i,-0.0010151-0.0010776i,-0.00013493-0.0003093i,-0.00069638-0.00074181i,-0.0015015-0.00075765i,-0.001349-6.487e-06i,-0.00083547+0.0010268i,-0.00080065+0.00132i,-0.00030862+0.001372i,0.00039344+0.0013215i,-0.00013945+0.0003588i,-0.00037581-8.7277e-05i,-0.00054794+9.0859e-05i,-0.00054288-0.00021347i,-0.00024532-0.00020965i,-0.00025942-2.4162e-05i,-0.00055032-0.00013705i,-0.00037584+0.00044967i,-0.00041731+0.00056239i
0.0005242+0.00043391i,-0.00016748+0.00022258i,-0.00034721-0.0014902i,0.00015697-0.0020846i,0.00031077-0.0017715i,-0.00016834-0.0017281i,-0.00013439-0.0017279i,-0.00017798-0.0011732i,-0.00012273-6.5035e-05i,0.0003095+0.00087129i,0.00037136+0.00094601i,0.00037545+0.0010044i,9.167e-05+0.0010377i,-0.00016885+0.00042813i,-0.0004597+0.0009194i,-0.00057251+0.0014695i,-0.0001255+0.00078679i,8.7074e-05+0.000338i,-0.00014346+0.00020451i,-0.00050739+0.00016869i,-0.00065735+0.00022034i,-0.00055598+7.9368e-05i,-0.0003111+0.00010646i
