-0.0033771+0.00084674i,-0.0033165+0.0014875i,-0.0045501+0.0012405i,-0.0046457+0.0020103i,-0.003662+0.0028469i,-0.0025513+0.0021772i,-0.0019013+0.0015733i,-0.00061706+0.0016597i,0.00085787+0.0016332i,0.0010815+0.00057737i,0.0015287-0.00052191i,0.001991+5.6434e-05i,0.0012489+0.00026534i,0.00042181-0.00025189i,9.6234e-05-4.5584e-05i,-0.00047005+0.00031986i,-0.00053374+0.00037347i,-0.00022502-0.00012304i,-0.000227-0.00073232i,-0.0004713-0.00064992i,-0.0006009+0.00018437i,-0.00031294+0.00076508i,-0.00011125+0.00037479i
-0.00064384-0.0017368i,-0.00055933-0.00051692i,-0.0021291+0.00055083i,-0.0026704+0.00017433i,-0.0016595+1.1413e-05i,-0.00095834+0.00046235i,-0.00043353+0.00024257i,0.00058676-0.00051347i,0.00090084-0.000673i,0.00033135-0.00086215i,-0.00019781-0.00032317i,0.00019054+2.818e-05i,2.7404e-05-0.00054548i,-0.00091357-0.00042486i,-0.0012302-0.00016327i,-0.0010877-0.00086802i,-0.00053058-0.0010022i,-0.00046436-0.0010732i,-0.00063289-0.00066918i,-0.0007159+4.5891e-05i,-0.00031362-2.1818e-05i,0.00040705-1.1736e-05i,0.0007948+0.00034846i
0.00068782-0.00026686i,0.00058182-0.00084992i,-0.00012495-0.0014797i,-0.00078956-0.00081736i,-0.00082587-2.7349e-05i,-0.00035373+5.9649e-06i,-0.00038129+0.0001238i,-0.0004173-0.00014739i,-4.217e-05-0.00069826i,0.00094005-0.00080762i,0.0011766-0.00037168i,0.00015802+0.00030242i,-0.00039861+0.00096542i,-0.00047223+0.00083723i,-0.00067005-9.6445e-05i,-6.5822e-05-0.00034839i,0.00022835-0.00047088i,-0.00012813-0.00040411i,0.00029298+0.00039155i,-0.00010814+0.00071586i,-0.0010418+0.00036148i,-0.001295+0.00029219i,-0.00070008+0.00085335i
0.00076872+0.00062239i,0.00080248+0.0001817i,0.00079253-0.00034544i,0.00066843-0.00059147i,0.00017081+0.00050209i,-0.00080297+0.00044367i,-0.0010654-0.00065689i,-0.00067592-0.00048736i,0.0002403+4.4258e-05i,0.00088553+6.2385e-05i,0.0013847-0.00047547i,0.00081271-0.0011339i,-0.00013814-0.00099767i,-0.00050105-0.00055495i,-0.00086146-0.00048415i,-0.00027147-0.00042898i,0.00040243-0.00024253i,0.00022775-0.00037283i,-0.00015425-0.00078429i,-0.00042875-0.0006138i,-0.00060996-0.00014634i,-0.00078315+9.4497e-05i,-0.00050928-4.1291e-05i
7.9901e-05+0.0021367i,0.0010425+0.0020498i,0.0020766+0.0011413i,0.0020796+0.00010999i,0.0013585-0.00050655i,0.0001914-0.0010813i,-0.0012016-0.00070056i,-0.0015165-0.00047977i,1.9152e-05-0.00063477i,0.00092623-0.00042982i,0.0015076+9.5655e-05i,0.0015832+0.00062334i,0.00080463+6.5625e-05i,0.00064235-0.00069684i,0.00032862-0.00033902i,-0.00010937-7.0371e-05i,-0.00010377-0.00025209i,-3.139e-05+0.00013848i,-0.00021261+0.00029786i,0.00042507+0.0001356i,0.00082384-2.9942e-06i,0.00018596-0.00027577i,0.00029381-0.0003098i
0.0003696+0.0024429i,0.00029043+0.0028548i,0.0012745+0.0024555i,0.0016329+0.0019449i,0.0013808+0.00075253i,0.0012654-0.00082475i,0.00047317-0.00126i,3.104e-05-0.0010003i,0.00016835-9.1708e-05i,0.00069589+0.00014196i,0.0014729-4.2083e-05i,0.0018705+0.00021966i,0.0014109-0.00012066i,0.00069601-0.00073945i,0.00029459-0.0010994i,-0.00014838-0.00057477i,-0.00065941-0.00017134i,-0.00048864+0.00026147i,-2.3278e-05+0.0001786i,0.00015434+7.2389e-05i,-0.00031452+0.00031525i,-0.0005181+7.4304e-05i,0.00025487-0.00032414i
-0.0011386+0.0017743i,-0.00055476+0.0011897i,0.00043064+0.0011639i,4.363e-05+0.00051471i,-0.0002836-0.0010185i,-0.00051369-0.0007274i,-0.00028349-0.00024704i,8.3585e-05-0.00087204i,-0.00032534-0.00050714i,-0.00021234-9.5892e-05i,0.00096801-9.1131e-06i,0.0015023-0.00034728i,0.00059108-0.0010371i,0.00010965-0.0004835i,0.00049816-0.00021969i,0.0003452-0.00074288i,-0.00037623-0.0011722i,-0.00094699-0.001305i,-0.0006763-0.00073829i,0.0001311+5.7693e-05i,0.00033842+0.00050045i,0.0001296+0.00048193i,0.00036412-9.8844e-05i
0.00084934+0.0013601i,0.0012626+0.00099181i,0.00089459+0.00093948i,0.0001931+0.0005241i,-6.0319e-05-0.00060144i,-0.00013211-0.00095273i,-0.00036011-0.0012068i,-0.00031073-0.0014737i,0.00033738-0.0015333i,0.0011953-0.0010238i,0.0018748-0.00071866i,0.0018026-0.0011134i,0.00093939-0.0015533i,0.00030805-0.0012608i,-0.00024462-0.00055317i,-0.00061016+0.00018386i,-0.00084401+0.00091436i,-0.0012738+0.00073514i,-0.00091256+0.00017717i,-0.00025258+0.00063835i,0.00043347+0.0011511i,0.00029113+0.00081513i,-0.00028215-3.5903e-05i
-0.0020211+0.00091875i,-0.0023858+0.0027232i,-0.0018978+0.0023094i,-0.0014764+0.0014048i,-0.0015813+0.0015626i,-0.0012283+0.0010081i,-0.0010754+0.0003746i,-0.00042571+7.579e-05i,0.00021222+0.00031868i,0.0005871+0.0005955i,0.0011652+0.00033077i,0.00078294-9.1067e-05i,-0.00052183-0.00049042i,-0.00090724-0.00067507i,-0.00036272+5.5789e-05i,-2.4441e-05+0.00039375i,0.00018146-1.539e-05i,-0.00010159+9.2386e-05i,-0.00062196+0.00066408i,-0.00036592+0.00033443i,-0.00079934+0.00027147i,-0.00054484+0.00093356i,-6.1756e-06+0.0014762i
-5.9491e-05-0.00032793i,0.00033939-0.0008173i,-0.00045075+3.4601e-05i,-0.00017571+0.0011099i,-0.0002634+0.00094638i,-0.000467-0.00027448i,-0.00098504-0.00090629i,-0.0014046-0.00030945i,-0.00063748-0.00027596i,0.00044187-0.00018566i,0.00060185+0.00062419i,0.00083859+0.00027875i,5.5991e-05-0.00045502i,-0.00068579-0.00042003i,-0.00021067+4.4273e-05i,-7.1266e-05-5.3992e-06i,-0.00018003-0.00085776i,-4.4198e-05-0.001119i,0.00035262-0.00046111i,0.00068163+1.4701e-05i,4.66e-05+0.0002849i,-0.0010545+0.00077239i,-0.00057823+0.001025i
0.0013246-0.0018469i,0.00050505-0.00034496i,-0.00079103-0.00074389i,-0.0012761-0.0008481i,-0.0015224-0.00043799i,-0.0017286-0.00093097i,-0.0011095-0.0011481i,-0.00074692-0.0012049i,-0.00030133-0.0017353i,0.00038568-0.0012644i,0.00026912-0.00069458i,-0.00027322-0.00026495i,-0.00075844-0.00060407i,-0.00039747-0.00072996i,1.002e-05-0.00099194i,-7.8196e-05-0.0011759i,-0.00080109-0.00080664i,-0.00098857-0.00040552i,-0.00059757+2.3167e-05i,-0.00094376-6.3236e-05i,-0.0004394-0.00059626i,0.00031981-0.00043506i,0.00030449-0.00036167i
-0.00019565+0.00095937i,0.00032374-0.00023525i,-0.00055562+0.00029479i,-0.0016544+0.00052281i,-0.0014521+0.00032747i,-0.0010053-0.00084328i,-0.0011078-0.0018249i,-0.00077409-0.0014529i,0.00066333-0.00094842i,0.0015448-0.00029972i,0.0008806+0.00062852i,0.0011961+0.0004301i,0.0016094-0.0011153i,0.00066223-0.0020759i,-0.00020049-0.0015196i,2.5347e-05-0.0010662i,9.9951e-05-0.00096139i,-0.00073457-0.00095168i,-0.00037633-0.00086943i,-9.874e-05-0.0005727i,3.5099e-05-0.0001451i,-0.0001366+0.00045311i,-0.00046313+0.00011959i
0.00093176+0.001791i,0.0014855+0.0004018i,0.0021722+0.00013686i,0.0017581+3.9867e-05i,0.00053747-0.001066i,-0.00024637-0.0019671i,-0.00091502-0.0017604i,-0.0011566-0.00085636i,-0.00053342-0.00039989i,3.9198e-05-0.0010092i,0.001213-0.0011715i,0.0019504-0.00058999i,0.0013598-0.0007385i,0.00087503-0.00014286i,0.00033809+0.00036078i,-0.00040306-0.00030443i,-0.00032817-0.00026142i,-0.00010803+0.00022637i,4.2764e-05+0.00086438i,0.00040597+0.00049284i,0.00019449-0.00037725i,0.00049602-0.00085359i,0.0010017-0.0010486i
-0.00032452+0.00038495i,-9.4336e-06-0.0006023i,0.00024319+0.00013429i,0.00023066+0.00053185i,0.00021433+0.00045799i,-0.00037168+0.00014877i,-0.00061825-0.00050205i,-0.0001823-0.00046124i,0.0003891+7.0815e-05i,0.00045502+0.00020642i,0.00044339-0.00037583i,0.00035961-0.00098956i,0.00034288-0.00086505i,0.00023583-0.001096i,-4.8892e-05-0.0010203i,-0.00019434-0.00032664i,-8.7112e-05+0.00079184i,-0.00039264+0.00086448i,-0.00015153+4.0854e-05i,-1.1043e-05+7.0391e-05i,0.00020154+0.00024022i,0.00022459-0.00018464i,-0.00044066-0.0007899i
-0.0023977+0.0029483i,-0.0012757+0.0033381i,-9.2204e-06+0.0037061i,0.0014406+0.0035953i,0.0014594+0.0024324i,0.00077091-0.00034767i,0.00056541-0.0019629i,0.00031283-0.00090185i,0.00012835+5.1217e-05i,0.00026854-0.00029437i,0.0011195-0.00024194i,0.0018199-0.00043871i,0.0013811-0.00035477i,0.00074458-0.000351i,0.00046003-0.0007415i,0.00060628-0.00028266i,-0.00034072-0.00036527i,-0.00072997-0.0006282i,-0.00036219-0.0005511i,-0.00019875+0.00031169i,0.00019459+0.00058059i,0.00036804+3.1223e-05i,6.5892e-06-0.00053755i
-0.0018002+0.0016773i,-0.002733+0.0014562i,-0.0037263+0.0019956i,-0.0023968+0.0013431i,-0.0008686+0.00065659i,-2.2927e-06+0.00058978i,0.00041805+4.3957e-05i,-0.00022306-0.00077254i,-0.00017286-0.0012894i,0.00069708-0.00070136i,0.00078458-0.00040353i,0.00075672-0.00043304i,0.0010098-0.0002371i,0.00036347-0.00024401i,-0.00046397-0.00024632i,3.3928e-05-0.00031594i,0.00031044-0.0003074i,7.7884e-05+0.00019352i,-0.00042751+0.0003258i,-0.00061817-0.00033171i,-0.00046695-0.0010033i,0.00023766-0.00071416i,3.2266e-05-0.00028627i
-0.0005255+0.0015196i,0.00031396+0.0013205i,0.0007752+0.0017398i,0.00057092+0.0023811i,0.001036+0.001835i,0.00019717+0.0012449i,-0.00053105+0.0012241i,-0.00013146+0.00022586i,0.00014397-0.00031791i,0.00053102+0.00014421i,0.0011339+0.00017085i,0.00080681-5.4453e-05i,0.00030321-0.00072272i,-8.6647e-06-8.4643e-05i,0.00015973+0.0013963i,0.0009174+0.00098394i,0.0005896-0.00018652i,-0.00042791-0.0006317i,-0.00084933-0.00040044i,-0.00054132+9.2435e-05i,-0.0002397+0.00013851i,4.946e-05-0.0002002i,-9.6402e-05-0.00089399i
-0.0013574-0.00046043i,-0.0022655+0.00079067i,-0.0022874+0.001127i,-0.0015993+0.00086263i,-0.00086722+0.00072004i,-0.00040103-0.00043078i,-0.00040958-0.0011081i,0.00042647-0.0010704i,0.00083914-0.00095523i,0.00058334+0.00022979i,0.00022919+0.00018032i,0.00083041-0.00063267i,0.0010887-0.00097578i,0.00057736-0.00074717i,3.6146e-05-0.00063215i,-0.00096095-0.0011672i,-0.00072805-0.001078i,-0.0002949-0.00016328i,-0.00022088+3.9396e-05i,0.00020063+0.0003298i,0.0001281+0.00044869i,0.00020749+0.00040012i,5.9945e-05-4.4449e-05i
-0.00067596-0.00092412i,-0.00077451-0.00081321i,-9.2532e-05-0.00015227i,0.00049212+0.00050732i,-0.00010626+0.00062479i,-2.7486e-05-0.00021087i,-0.0005387-0.0012231i,-0.0010936-0.0013002i,-0.00038895-0.00062276i,0.00060151-0.00021538i,0.0014279-0.00030294i,0.0012656-0.00064119i,0.00010121-0.00075883i,-8.512e-05-0.00071851i,0.00062589-4.9776e-05i,0.00029725+0.0004536i,-0.0003413+0.00043909i,-0.00050286+0.00069277i,-0.00047611+0.00049036i,-0.00020434+0.00064999i,-0.00050998+0.00049863i,-0.00038577-0.00032887i,-0.00024624-0.0006028i
0.00042424+0.00025612i,0.00030488-0.00019543i,0.00027421-9.7678e-05i,3.1158e-05-0.00029047i,-0.00011405-0.00030422i,-0.0010204-0.00036997i,-0.0015287-0.00072592i,-0.0010132-0.0012169i,0.00020942-0.0012733i,0.00091482-0.00050209i,0.00073924-0.00044734i,0.00069276-0.00071153i,0.00041412-0.00075999i,-0.00028244-0.0012364i,-0.00082795-0.0014793i,-0.00084966-0.0004614i,-0.00067445+0.00010105i,-0.00037489-0.00010332i,-0.00022416+0.00039809i,-0.00031632+0.0008364i,-0.00045654+0.00077939i,-0.00034862+0.00010581i,-0.00031238-0.00074166i
0.00075193-0.00056736i,0.00011913-0.0008932i,-5.2158e-05+0.00069277i,-0.00075296+0.0011671i,8.9369e-06+0.00040339i,0.00073075+0.00026706i,0.00036314+0.00019643i,9.59e-05+0.00044001i,0.00032075+0.00023053i,0.00026533-0.00052244i,-4.0194e-06-0.00076481i,0.00054833-8.9634e-05i,0.00029727+0.00032201i,-0.0010506+0.00029042i,-0.00095053+0.00053792i,-0.00034008+0.00020292i,-1.7103e-05-0.00029777i,-0.00022581+0.0004419i,-0.00079658+0.0008339i,-0.00015395+0.00031877i,-0.0001271+3.5966e-05i,-0.00093491+0.00046139i,-0.00058546+0.00052573i
0.00073452+0.000729i,0.0010702-0.00067314i,0.00050558-0.00083826i,-0.00050881-0.00057758i,-0.00042226-5.1334e-05i,-0.00031001-6.5045e-05i,-0.0010263-0.00070982i,-0.0013343-0.0010288i,-0.00043723-0.0010041i,0.00044614-0.00063621i,0.00079272-0.00010649i,0.0011269-0.00047298i,0.00039035-0.00087212i,-0.00089308-0.00069199i,-0.0010649-0.00027369i,-0.00061096-0.00039306i,-0.00062139-0.0003876i,-0.0007832+0.00054648i,-0.00083441+0.00088795i,-0.00066041+0.00090133i,-0.00015267+0.00078326i,0.00015868+0.00050087i,3.9114e-05+0.00026309i
0.00055657+0.0024422i,0.0012682+0.0016571i,0.001697+0.0024776i,0.0013103+0.0024366i,0.00086475+0.00093967i,4.1411e-05-0.00018071i,-0.0003063-0.00066052i,-0.00025034-0.00014306i,-0.00046309+0.00031202i,-0.00014909-0.0002963i,0.0011973-0.00035296i,0.0016789-0.00050731i,0.0005842-0.0010379i,3.6165e-05-0.00072483i,-0.00024792+1.1324e-05i,-0.00074662-1.8576e-06i,-0.00096632+0.00021373i,-0.0011651+0.00047315i,-0.0012361+0.00035196i,-0.0010051+0.00029714i,-0.00016696-0.00025193i,0.0004352-5.088e-05i,-0.00012047+0.00072285i
-0.0010195+0.00022973i,-0.0013149+0.00062491i,-0.00060777+0.0010396i,-0.00051997+0.0016818i,-0.00072065+0.0013344i,-0.00090636+0.00032375i,-0.00072154+3.8137e-06i,-0.00022691+0.00051845i,-7.7119e-05+0.00060895i,0.00024639+3.8718e-06i,0.00085765-4.2735e-05i,0.001128+0.00061535i,0.00036941+0.00015356i,-0.00092463-0.00031197i,-0.001188-0.00066652i,-0.00057655-0.00084255i,-0.00043815-0.00036256i,-0.00045764-0.00023739i,-0.00047514+1.5915e-05i,-0.00067614+0.00030958i,-0.00045005-8.798e-05i,2.0897e-05-9.534e-05i,0.00047265+0.00013928i
-0.00061448-0.00055097i,-0.0010295-0.00062499i,-0.0020949-0.0006946i,-0.0026683+0.00011873i,-0.001673-0.00014814i,3.8025e-05-0.00059205i,0.00017675-0.00070383i,-0.00049271-0.0011166i,-0.0005379-0.00074388i,-7.6629e-05+0.00028716i,0.0011502+0.00075029i,0.0012557+0.00022075i,0.00046977-0.00052798i,0.0001194-0.00016767i,-0.00021434+0.0005555i,-0.00041755+0.00011982i,-0.00031684-0.00029181i,-0.0005523+5.0052e-05i,-0.00043484+0.00018644i,-0.00010931+0.0005315i,-0.00013386+0.00015413i,-3.8285e-05-0.00026289i,0.00085337-0.00037146i
-0.001357+3.0269e-05i,-0.0012166+0.0012323i,-0.001499+0.0019898i,-0.0019273+0.0012491i,-0.0016131+0.0004714i,-0.00091148+0.0002366i,-0.00084414-0.00022175i,-0.00064408-0.00089551i,-0.00034071-0.0010759i,-0.00041255-0.00036111i,-0.00029952+0.00028003i,0.00021323-0.00016266i,0.0002447-0.00057614i,0.00013558+0.00026466i,0.00014031+0.00062928i,-0.00058344+0.00015206i,-0.0011483-0.00033779i,-0.0013703-0.00024119i,-0.00055484-0.00016694i,3.041e-05+0.00019371i,-0.0005251+0.00074765i,-0.00057677+0.00047235i,-0.0001988-0.00055692i
-0.00064926+0.0012248i,-0.00062465+1.6575e-06i,-0.001208+0.00018811i,-0.0019329+0.00026009i,-0.0011314+0.00020875i,-0.00047582-0.00060696i,-0.00053848-0.00098558i,-0.00080895-0.00076585i,-0.00015385-0.00034199i,0.00039061+0.00011851i,0.00044838+0.00020507i,0.00092458-0.00018888i,0.0011036-0.0004124i,0.00030627-0.00052706i,-0.0002462-0.00010322i,-9.5713e-05+0.00028886i,-0.00026609-0.0006286i,-0.00043294-0.00034006i,1.4608e-05+0.00082559i,-9.0694e-05+0.00069553i,-0.00057436-5.166e-05i,-0.00051176-0.0005069i,-0.00021524-0.00013525i
-8.2179e-05-0.0017679i,0.00035161-0.0014434i,-6.9334e-06-0.00081673i,-0.0010249-3.9127e-05i,-0.00083192+1.1074e-05i,-0.00013939+0.00058189i,0.00014607+0.00026473i,0.00066355-0.00035139i,0.00062228+1.0155e-05i,0.00010247-0.00014179i,0.00041956-0.00034553i,0.00046332-0.00083824i,0.00039582-0.00099169i,0.00076432-0.00021533i,-0.0001559+0.00043719i,-0.00040615+0.0006332i,-1.3294e-06-0.00013323i,-0.00085194-0.0010992i,-0.0010757-0.00033182i,-0.00043921+0.00012179i,-0.00017186-0.00016937i,-0.00020955-0.00013476i,-0.00014101+0.00039072i
0.0016637-0.0012745i,0.0006794-0.0019482i,-0.0017408-0.0034521i,-0.003178-0.0043405i,-0.0019178-0.00283i,-0.00092718-0.0011046i,-0.0012144-0.0013386i,-0.00030033-0.0011955i,0.0010034-0.001033i,0.0011573-0.00075046i,0.00045287-0.00029911i,0.0001831-6.1564e-05i,0.00016566+5.9478e-05i,0.00018634-9.0835e-05i,-0.00010585+0.00021132i,-0.00054686+0.00067153i,-0.00063235+0.00074864i,-0.00075671-0.0001673i,-0.00053142-0.0004181i,0.00059919+0.00027274i,0.00081993+0.00074864i,-5.63e-05+0.00070279i,-0.00055352+0.00014451i
0.0012935+0.00064389i,0.001752+0.00016972i,0.0019307-0.00037177i,0.0015617-0.00019183i,0.00054762-0.00012824i,-0.00061072-0.00066547i,-0.00076461-0.00088297i,-0.00049279-0.00056113i,-0.00045882-0.00036791i,-0.00014186-0.00028895i,0.00045185-0.00024911i,0.00084268-0.00015412i,-0.00014125-0.0010731i,-0.0012649-0.0017488i,-0.0010588-0.001016i,-0.00045402-0.00016159i,-0.00028129-0.00025044i,-0.00037596-0.00011711i,-0.0009131+0.00044089i,-0.0011055-0.0001576i,-0.00036082-0.00059437i,-5.5541e-05-0.00018897i,0.00018144+0.00018735i
-0.00055216-0.0018351i,-0.001152-0.0019805i,-0.0019091-0.0020337i,-0.0024249-0.00089844i,-0.0024108+0.00054722i,-0.0013919+0.00081097i,-0.00066399+0.00098402i,-0.00066687+0.00074309i,0.00017685-0.00038381i,0.0014587-0.00137i,0.0010393-0.00078414i,0.0008488-0.00034124i,0.00099111-0.0012378i,1.1665e-05-0.00090106i,-0.00014177-0.00012585i,0.0008496-0.00030298i,0.00062729-0.0005152i,-0.00036234+0.00033987i,-0.00039606+0.00036073i,0.00022031-0.00092618i,0.00036929-0.00062777i,0.00041889+0.00066647i,0.00049374+0.0013763i
-0.001521+2.5302e-05i,-0.0014829-9.7445e-05i,-0.0015801+0.00022545i,-0.0012917+0.00073041i,-0.00099401+0.0014551i,-0.00012326+0.0011795i,0.00040619-0.00089641i,0.00061115-0.0015454i,0.00057871-0.00070833i,0.0010265-0.00024014i,0.0012385+9.553e-05i,0.00076948+0.00058191i,0.00087253-0.0001043i,0.00057725-0.00051948i,-0.00020982-0.00031512i,-0.00030488-0.00022908i,-0.00050249-0.00030888i,-0.00091677+0.00017146i,-0.00096761+0.00069671i,-0.0002905+0.0010102i,-3.6816e-06+0.0011575i,0.00014589+0.00028886i,0.00038847-0.00019818i
