0.00026019+0.00026246i,0.00035825-0.0018429i,0.00051676-0.002881i,-0.00036579-0.0020189i,-0.0014968-5.8389e-05i,-0.0024075+0.001069i,-0.0020934+0.00094856i,-0.0011995+0.001082i,9.1619e-05+0.0011647i,0.0011948-0.00032862i,0.00136-0.0012105i,0.00026999-0.0010302i,-0.00028221-0.00025612i,-0.00043751-0.00030175i,-0.00036329-0.0010497i,-0.00017642-0.00056986i,-1.4108e-05+1.4002e-05i,8.3574e-05+0.00051165i,0.00035162+0.00094575i,0.00052909+0.0002445i,0.00056652-0.00079162i,0.00061128-0.00027733i,0.000238+0.00019381i
-0.002043-0.0015757i,-0.0019881-0.0011938i,-0.0029099-0.00029009i,-0.0036958+0.00066758i,-0.0023298+0.00064511i,-0.00058731+0.00055835i,-0.00033615-0.00026665i,-0.00053226-0.00017871i,-0.00038231-5.649e-05i,0.00048692-0.00019015i,0.0011625+0.00045309i,0.0003516+0.00121i,-0.00091212+0.0010179i,-0.00055227-0.00036143i,0.00058023-0.00055031i,0.00047151-0.00039348i,-0.0011591-0.00025089i,-0.0019393+1.2736e-05i,-0.0010541+4.3206e-05i,-0.0012196-8.5685e-05i,-0.0014876-0.00026641i,-0.0011778-5.8673e-05i,-0.0006154+0.00022488i
-0.0018688+0.0011706i,-0.0021146+0.0016722i,-0.0019692+0.002142i,-0.00082151+0.0017101i,-2.508e-05+0.0010121i,0.00026263+0.00056746i,0.00027268-2.4857e-05i,0.00028104-0.00049809i,0.00040388-0.00064279i,0.00089174-0.00073555i,0.00061526-0.00071673i,0.00017591-0.00079498i,2.2435e-05-0.00075943i,-4.338e-05-0.001152i,-0.00032995-0.00099485i,-0.0007045-0.00017783i,-0.00045692-6.0869e-05i,-0.0009344-0.00027782i,-0.0013799-0.00079803i,-0.00040645-0.00083911i,0.00039712-0.00019259i,0.00040421+0.00030375i,0.00031406-7.8094e-05i
0.0012847-0.0012981i,0.0018253-0.0009783i,0.0022538-0.001114i,0.00088622-0.0016611i,-0.00031659-0.0015982i,-0.00035104-0.00088726i,0.00014306-0.0011047i,-6.5982e-05-0.001508i,-0.00061238-0.0016432i,-0.00021287-0.00039568i,-6.4867e-05+0.00013171i,-0.00016996-0.00027806i,-5.6263e-07-0.00088622i,0.00087081-0.0010138i,0.0010149-0.00011254i,0.00030521+0.00062166i,-0.00049332-0.00016748i,-0.00056344-0.00071579i,-0.00070917-0.00013281i,-0.0005315-0.00028275i,1.5079e-05-0.00042309i,0.00026942-0.00045228i,0.00033186-0.00031475i
-0.00090356+0.00032828i,-0.00063488-0.00027686i,-0.0012503-0.0010052i,-0.00042501-0.00049153i,0.00074742+5.8159e-05i,-1.2978e-05+0.00013569i,-0.00052988+0.00055688i,-0.00046549-0.00034442i,0.00067748-0.0007999i,0.0014832-2.9565e-05i,0.00078939-0.00019025i,0.00025954-0.00062957i,-0.00012673-0.00072287i,-0.00076779-0.00058236i,-0.00088705-0.00025261i,-2.3619e-05+3.3434e-05i,0.00025448-0.0003857i,-0.00025486-0.00090343i,-0.00050883-0.00030971i,-5.5826e-05+0.00071795i,0.00087549+0.00078092i,0.00073014-0.00037584i,-0.0001385-0.0011946i
-0.0016499-0.0021647i,-0.0010539-0.0016823i,-0.0023605-0.0010072i,-0.0030128+0.00012568i,-0.0024011+0.0012253i,-0.00090338+0.00091291i,-0.00033522-0.00050882i,-0.00021153-0.0012529i,0.00011695-0.00097137i,0.00041255-0.00035963i,0.00047131+3.658e-05i,0.00029219-6.7027e-05i,0.00024413+0.00018649i,0.00026354-0.00010514i,0.00011688-0.00097176i,0.00015017-0.0011036i,-6.2248e-05-0.00072329i,-0.00061689-0.00062565i,-0.0006414-0.00049068i,-0.00021001-0.00015396i,0.0001084-0.00022269i,0.00051413+0.00010081i,0.0010458+5.7826e-05i
-0.00025112-0.00088406i,-0.00066497-0.00061907i,0.00062646+0.000238i,0.00064176-0.00060669i,-0.00027463-0.00050534i,-0.00088854+8.1299e-05i,-0.00087523-9.8643e-05i,-0.00058376-0.00025308i,-0.00029075-0.00020036i,0.00027919-0.00066084i,0.00065395-0.0010913i,-8.0755e-05-0.00067215i,-0.00081713-0.00029985i,-0.00070134-0.00033801i,-0.00046456-0.00062723i,-0.00056114-0.0011083i,-0.00036186-0.0015114i,-0.00020689-0.0011304i,-0.00014914-0.00017222i,0.00014489-0.00039732i,0.00035185-0.00063442i,0.00055331+9.4079e-05i,-0.00016588+0.00025844i
-0.0017337-0.000515i,-0.0016536+0.00064845i,-0.00090647+0.0012966i,0.00035843+0.0013404i,0.00047513+0.00023456i,0.00044038-0.00016078i,0.00017908+0.00025999i,0.00054113-7.6332e-05i,0.0010165-0.00072652i,0.00086422-0.00074544i,0.00016077-0.00060566i,-0.00046876-0.00099819i,-0.00049599-0.0014375i,9.9518e-05-0.00099859i,-0.00021896-0.00042366i,-0.00080665-0.00026597i,-0.00070472-0.00016819i,-0.00058522-3.2454e-05i,-0.00074511+0.0003371i,-0.00014615+0.00026278i,0.00033345-0.00020137i,-0.00020067-5.663e-05i,-5.7277e-05+0.001138i
-2.3151e-05+0.00014836i,0.00014697+0.0012131i,0.00053259+0.0011081i,0.0010834+0.0005664i,0.0022137+0.00010914i,0.0010387-0.00099242i,-0.00027524-0.00098503i,-0.00011937+5.886e-05i,-0.00064572+0.00058298i,-0.0003679+1.6735e-05i,0.00065276-0.0007682i,0.00080233-0.0013668i,0.00022099-0.0013222i,-0.00029814-0.00088017i,-0.0005682+4.6148e-06i,-0.0005093+0.00013902i,-1.6864e-05+0.00029766i,-0.00037642+0.0011083i,-0.0003308+0.00060595i,0.00060791-0.00038682i,0.00095626-0.00041277i,0.00047179-1.9111e-05i,0.00020845+0.00036i
0.00098978-0.0011252i,0.00093792-0.00085037i,0.0012879-0.0013181i,0.00048503-0.0018344i,-0.00033364-0.0016822i,-0.00066198-0.0013454i,-0.00089216-0.0010778i,-0.00054364-0.00088098i,4.6549e-05-0.00045323i,0.00047898+0.00012454i,0.00045949+0.00021962i,-0.00019902-9.2347e-05i,-0.00054642-0.00055443i,-0.00017858-0.0010174i,0.00028285-0.00040236i,-4.7805e-05-6.6064e-05i,-0.00080263-0.00057126i,-0.00073666-0.0010826i,-0.00017068-0.00060634i,0.00036107-6.6383e-05i,0.00072495-0.00023124i,0.00084056-0.00024636i,-4.502e-05-7.4012e-05i
-0.0014946-0.0015782i,-0.0015596-0.00033119i,-0.0022805+0.00095766i,-0.0016224+0.0014875i,-0.00041563+0.0010289i,0.00096555+4.7909e-05i,0.00087677-0.00066907i,0.00040799-2.8132e-07i,0.00043007+0.00017197i,0.00043038-9.3808e-05i,0.00048843-0.00060199i,0.00052299-0.0010238i,0.00068674-0.0014621i,0.00022051-0.0013123i,-9.4232e-05-0.00061853i,0.00047715-0.00035423i,0.00064956+0.00012897i,0.00043674+0.00045555i,-0.00016245+0.00016467i,-0.00023459-0.00024259i,-0.00028178-0.0003562i,-0.00063148+0.00014786i,0.00020151+0.00034946i
