0.00026019+0.00026246i,0.00035825-0.0018429i,0.00051676-0.002881i,-0.00036579-0.0020189i,-0.0014968-5.8389e-05i,-0.0024075+0.001069i,-0.0020934+0.00094856i,-0.0011995+0.001082i,9.1619e-05+0.0011647i,0.0011948-0.00032862i,0.00136-0.0012105i,0.00026999-0.0010302i,-0.00028221-0.00025612i,-0.00043751-0.00030175i,-0.00036329-0.0010497i,-0.00017642-0.00056986i,-1.4108e-05+1.4002e-05i,8.3574e-05+0.00051165i,0.00035162+0.00094575i,0.00052909+0.0002445i,0.00056652-0.00079162i,0.00061128-0.00027733i,0.000238+0.00019381i
0.0007967+0.00044137i,0.00073356+0.00074321i,0.0012302+0.00014031i,0.0019583-0.0005559i,0.0027082-0.00063903i,0.0012166-0.00070817i,-0.00085823-0.00043678i,-0.00032031-0.00046795i,0.00051626-0.00075908i,0.00046102-0.00083625i,-0.00015104-0.00025658i,-0.0010581+0.00016507i,-0.0013893-0.00012875i,-0.0003945-0.00033764i,0.00057586-0.00021989i,0.00019615-0.00029958i,0.00034024-0.0005558i,-0.00013574+6.8188e-05i,-0.00057637+0.0011153i,-0.00068209+0.00091171i,-0.00052648+0.0004025i,0.00045865+0.00062763i,0.00016495+0.00069791i
-0.00026978+0.00018463i,0.00018174-0.0002466i,0.00032268-0.0005062i,0.00014203-0.00041415i,2.9807e-05-0.00037811i,-1.6317e-05-0.00055676i,0.00055816-0.00086697i,0.0011781-0.00039548i,0.00086058-0.00030552i,0.00087205-0.00096373i,0.00088074-0.0011762i,0.00067089-0.00080479i,0.00083565-0.00034511i,0.00055649-0.00039954i,0.00022079-0.00036826i,0.00065506+5.8975e-05i,0.00070813-0.00029781i,0.00040776-0.00076515i,0.0001082-0.00056459i,0.0004585-0.00062679i,0.0010492-0.00017742i,0.00064683+0.00016084i,0.00039396-0.00044626i
0.0020906-0.0012189i,0.0014436-0.00098064i,0.0011543-0.0018819i,0.00029064-0.0027622i,-0.00049089-0.0031825i,-0.000615-0.0025413i,-8.1997e-05-0.0013074i,0.00019414-0.00098457i,0.00014724-0.0015726i,-0.00045857-0.001285i,-0.00091591-0.00040002i,-0.0010678+0.0002541i,-0.0010166+5.9267e-05i,0.00053365-0.00039259i,0.0011943-4.3024e-05i,9.9756e-05-0.00035028i,-4.965e-05-0.0017714i,0.00039053-0.0022635i,0.00058555-0.0012847i,0.00023533-0.00016674i,0.00025759-0.00010797i,0.00031058-0.00040296i,-1.1271e-05+0.00024671i
-0.00023143-0.001985i,0.0006514-0.0013311i,-0.0004018-0.0013674i,-0.0011935-0.0020426i,-0.0012762-0.0023148i,-0.00075436-0.0014969i,-9.442e-05-0.0012968i,-0.00050201-0.0018683i,-0.00075576-0.0015656i,-0.00067317-0.00053826i,-0.00084049-8.2521e-05i,0.00013058-0.00022458i,0.00099496-0.00062926i,0.00092682-0.0003954i,0.00028842-0.00012904i,-9.4961e-05-0.00060422i,-0.00034302-0.00023455i,-0.0014408+0.00029648i,-0.0020409+0.00039242i,-0.0013895+0.00021876i,-0.00056568+0.00015851i,-0.00019966+0.00056125i,-0.00024875+0.00013275i
0.0016889-0.00096469i,0.00095782-0.00084546i,0.00058799-0.0019966i,0.00050785-0.0024992i,-0.0010407-0.0012682i,-0.0012683-0.00093537i,-0.00096135-0.0013115i,-0.0012377-0.00076035i,-0.00072233-0.00026103i,-1.0714e-05-0.00039486i,-6.7807e-05-0.0005764i,-0.0010853-0.00092428i,-0.00070348-0.00095815i,0.00094923-0.00078388i,0.001357-0.00036753i,0.00071417+0.0003709i,-4.9793e-05+0.00026176i,0.000347+0.00010653i,0.00022139+0.00032601i,-0.00049626-0.00020511i,-0.0004282-0.00056117i,0.00050723-0.00072897i,0.00061793-0.0011439i
-0.0010372-0.00010756i,0.00026811-0.0002836i,0.00040887-0.00042089i,0.00096596+0.00039265i,0.00094612+0.0010928i,6.1656e-05+0.00023221i,1.495e-05-0.0010386i,0.00083654-0.0017827i,0.0010808-0.0011119i,0.00058923-0.00078523i,0.00021381-0.00062766i,0.00051339-0.00014109i,0.0010839+0.0001921i,9.1457e-05-0.00044412i,-0.00084846-0.0010085i,-0.00011346-0.00042148i,6.3922e-05-0.00044478i,-0.00042458-0.00049263i,-4.9771e-06-0.0004472i,0.00056064-0.00029722i,0.00079865-6.549e-05i,0.00051058-0.00018653i,0.00049527+7.0442e-05i
-0.00024749-0.0010499i,-0.00026649-0.00013315i,-0.0013565-0.00013411i,-0.00075286-0.00071589i,-0.00016025-0.0016212i,-0.00028188-0.0011623i,-0.00051084-0.00013804i,-0.00032844-0.00010249i,0.00057125-0.00056083i,0.0010973-8.9008e-06i,0.00081222+0.00048001i,0.00039477-4.5643e-05i,0.00077545-0.00020978i,0.0006877-0.0004728i,-9.7444e-05-0.0008507i,6.9718e-05-0.0011853i,0.00044844-0.0010382i,-0.00041512-0.00038824i,-0.00097424-5.9697e-05i,-0.00079849-0.00062036i,-0.00024568-0.00092987i,0.00073261-0.00015404i,0.0010279+0.00041985i
-0.00075452+0.001972i,-0.0012469+0.0023564i,-0.001241+0.0026439i,0.00024439+0.0017387i,0.0015419+0.00061779i,0.0016703-0.00041315i,0.00077962-0.00093386i,4.0406e-05-0.0011573i,-3.1044e-05-0.00062162i,0.00050097-8.1476e-06i,0.0012314-0.00040011i,0.0010797-0.00045418i,0.00037735-0.0011766i,-0.00012684-0.0015091i,-0.00061573-0.00050986i,-0.00057956-0.00021922i,-0.00022639-0.00047129i,-0.00063647-0.00021302i,-0.00055665+0.00056381i,-0.00030309+0.0011788i,-0.00015172+0.0010522i,-0.00038918+0.00046934i,-0.00027033+0.000371i
-0.0018713+0.00040334i,-0.0015944-0.00036526i,-0.001403-0.00099157i,-0.00099506-0.00053059i,-0.0010329+0.00023912i,-0.0006167-0.00028106i,1.8583e-05-0.00096797i,0.00019165-0.0012125i,-0.00026938-0.0012277i,-6.81e-05-0.0010859i,-0.00021918-0.00075947i,-4.8884e-05-0.00070662i,0.00060881-0.00072133i,0.00013788-0.0013386i,-0.00020908-0.0010326i,-0.00046533-0.00057837i,-0.00011804-0.0008752i,0.0002486-0.00023471i,0.00014442+0.00023524i,-0.00044261+0.00047669i,-0.00052+0.00026071i,-0.00035428-0.00043777i,-0.00061393-0.00034771i
0.0018275-0.00058591i,0.0012511-4.4811e-05i,0.0016184+0.0001402i,0.0011705-0.00048368i,0.00056868-0.0019213i,0.00044303-0.0016697i,-0.0002708-0.0004845i,-0.00055899-1.3557e-05i,7.4038e-05-0.00016164i,0.00011782-6.4621e-06i,-0.00089265+0.00044912i,-0.00085671+0.00044405i,0.00011603+4.9709e-05i,0.00078452-6.4277e-05i,0.00081174+0.00031093i,0.00069794+0.00038118i,0.0009256-2.2238e-05i,0.00064693-9.1875e-05i,-9.9528e-06-0.00037347i,0.00012868-0.00089437i,0.00048592-0.0014869i,0.00079298-0.00095292i,0.00044109+2.8366e-05i
-0.00094927-0.0014193i,-0.00059813-0.00047422i,-0.00087088-0.0007775i,-0.00079177-0.00045946i,-0.00033091+0.00063409i,9.0503e-05+0.0002324i,5.3967e-05-0.00043136i,-0.00046558-0.00090131i,-0.00022868-0.0010412i,-0.00014968-0.00012614i,0.00025553+0.0006109i,0.00098742+0.00033908i,0.0013375-0.00041104i,0.00038745-0.00083113i,-0.00048987-0.0005986i,-0.00015921-0.00047675i,0.00019658-7.3569e-05i,-6.7863e-05-9.506e-06i,-0.00069636-5.3322e-05i,-0.00051414+0.00026193i,-0.00042926-2.1154e-05i,-0.00019389-0.00078034i,0.00029387-0.00054029i
0.00033062+0.0017493i,0.00078532+0.00092025i,0.0011309+0.000995i,0.0011294+0.00086398i,0.0012981+0.00011591i,0.0014338-0.00034289i,0.00086747-0.00023057i,-0.00018777+0.00030047i,-0.00054861+3.4064e-05i,0.00071615-0.00025604i,0.001277-2.4863e-05i,0.00067196-0.00031804i,6.6406e-05-0.00031227i,-0.00034952+5.9695e-05i,-0.00018858-9.2045e-05i,-0.00014225-0.00023546i,0.0001005-0.00077597i,0.00058344-0.0009328i,9.5274e-05-0.0002685i,-0.00083862+0.00050013i,-0.00053292+0.00055288i,8.4254e-05+0.00040809i,0.00022822+0.00012011i
-0.0002463+0.00099205i,-0.00014497+0.0020229i,-0.00028217+0.0028549i,0.00040645+0.0024315i,0.001057+0.0011507i,0.00093744-0.00080387i,0.00036328-0.0014643i,0.00062591-0.0005514i,0.0014518+0.00025579i,0.0015551+0.00084383i,0.0009661+0.00088045i,0.00027513+0.00049761i,0.00021101-0.00078803i,-9.238e-05-0.0010715i,-0.00030534-6.5652e-05i,0.00026221-0.00040102i,-2.5992e-05-0.00094452i,-0.00071313-0.00080939i,-0.00085909-0.00047018i,-0.00048267+0.00072992i,-0.00018604+0.00073251i,-0.00027202-1.6309e-05i,-0.00027206-3.6e-05i
-0.00042958+5.1736e-05i,-0.0014753-0.0013312i,-0.00084681-0.0015754i,-0.0001244-0.00094651i,-0.0006914-0.0010463i,-0.0013356-0.0010259i,-0.0015111-0.00078169i,-0.0010372-0.0010166i,-0.00054639-0.0019517i,0.00033219-0.0022132i,0.00096536-0.0015541i,0.00039043-0.0012163i,0.00048631-0.00046045i,0.00045276+0.00064853i,-0.00040137+0.00037354i,-0.0007778-0.00059035i,-0.00081322-0.00096544i,-0.00062786-0.00084874i,0.00010582-0.00067885i,0.00041144-0.00026299i,0.00010281+0.00034615i,-2.6716e-05+0.00025462i,-0.0006709-0.00023i
0.0010567+0.00090122i,0.0016783-0.00035808i,0.002209-0.00092398i,0.0012938-0.0011613i,-0.00021568-0.0018843i,-0.00045159-0.0025052i,0.00013328-0.0024983i,-0.00017851-0.0014866i,-0.00042769-0.0012171i,0.00042304-0.00106i,0.0002891-6.5061e-05i,-0.00022938+2.3507e-05i,-0.00031002-0.00068753i,8.8618e-05-0.00047504i,0.00043689+0.00019362i,0.00046604+0.00034026i,0.0007397-0.00037339i,0.00092453-0.0010574i,0.0006803-0.00046732i,0.00045979-0.00017657i,0.00077327-0.00024886i,0.0018483+0.00041891i,0.0017947+0.00014456i
-0.0015692-0.00035856i,-0.0014331-0.00014801i,-0.00052193+0.0018225i,0.00035079+0.0021764i,0.0011388+0.0007098i,0.0019496-6.5783e-05i,0.0017257+7.0283e-05i,0.00018087-0.00069353i,-0.00054151-0.00080612i,0.00024764+1.9945e-05i,0.00044188+0.00010629i,0.00012859-0.00071791i,0.00035381-0.0013925i,0.00061439-0.0013269i,0.00059522-0.00031654i,0.0002591+0.00010299i,0.00039575-0.00031938i,0.00038313-0.00084195i,0.00034823-0.0010191i,0.0015636-0.00040516i,0.0011646-0.00026656i,-0.0004915-0.000387i,-0.00071161-0.00071396i
0.00069494-0.00085566i,0.00059709-0.0014106i,-0.00020993-0.0026247i,-0.0013208-0.0018886i,-0.0014532-0.0010743i,-0.00042137-0.0011826i,0.00044639-0.001366i,0.00025484-0.0012622i,-0.00064839-0.0010684i,-0.00046545-0.00051018i,0.00017187+0.00022473i,0.000272+0.00043636i,0.0003625+0.00026588i,0.00057389+0.00013529i,0.00029039+1.2639e-06i,-0.0001545-0.00035683i,-0.0002214-0.00075867i,-5.447e-05-0.0010762i,1.9272e-05-0.00080198i,0.00034424-0.00034888i,-0.00020887-0.00080312i,-0.0011739-0.00083256i,-0.00028573+0.00015625i
-0.0016828-0.0021575i,-0.0022844-0.0020579i,-0.0027398-0.002495i,-0.0026166-0.00081708i,-0.0017071+0.0001425i,-0.00028621-0.00011707i,-0.00041859-0.00072014i,-0.00065293-3.5095e-05i,-9.8455e-05+0.00071363i,-0.00041181+0.00028861i,-0.00075091+2.4012e-05i,-0.00020141-8.5681e-06i,0.00051875-7.6321e-05i,0.00082989+0.00022649i,0.00086287+7.21e-05i,0.00054201-0.00068237i,-0.00017548-0.0012473i,-6.6888e-05-0.00097375i,0.00029156-0.00018135i,-5.9478e-05+0.00027031i,-5.0537e-05-0.00012127i,0.00017819-0.00086496i,0.00016322-0.00081771i
-8.6022e-05-0.0007001i,0.00023396-0.0012555i,0.00012633-0.0014645i,-0.0007164-0.00045116i,-0.0017853+0.00064426i,-0.0013572+0.00062911i,-0.00055259+0.00033785i,-4.6281e-05-5.117e-05i,0.00028886-0.0001891i,-0.00010974+0.00062722i,-0.00057622+0.0011408i,-0.00022541+0.00069737i,-0.00018129-0.00055177i,-0.00011715-0.0013348i,0.00013046-0.00064355i,4.4256e-05-8.0985e-05i,-0.00011013-0.00070187i,-0.00046842-0.0010338i,-0.00057424-0.00099663i,0.00021557-0.00075519i,-0.00019965-0.00073406i,-0.00027287-0.0013078i,0.0010787-0.0011281i
-0.0026627+0.00024882i,-0.0029236+0.00011477i,-0.0025869+0.0013924i,-0.0020706+0.0024025i,-0.0011771+0.0011481i,-3.4925e-05+0.00026484i,0.00060646-0.00053318i,0.00075397-0.00088133i,0.00015609-0.00053553i,8.3224e-05-0.0002849i,0.0014337-0.00056887i,0.0023533-0.0013789i,0.0020765-0.0016691i,0.00051958-0.0014776i,-0.00055462-0.0011179i,-0.00021751-0.00055585i,-4.2569e-05-0.00053151i,-0.00039065-0.00027944i,-0.00039395+0.00071296i,-0.00070512+0.0015653i,-0.00035883+0.0013925i,-3.3129e-05+0.00075802i,-0.00026086+0.00041871i
0.00019431+0.00022406i,-0.00035254+0.00019717i,-1.7214e-05-0.00052466i,0.00031211-0.0010752i,0.00066096-0.0016825i,0.0008958-0.0015909i,0.00054004-0.00097762i,-0.00015588-0.0012011i,0.00015151-0.001415i,0.0012175-0.00048213i,0.00097451-0.00028059i,7.0536e-05-0.00084461i,-9.3748e-05-0.001236i,-0.0010465-0.0011268i,-0.0010942-0.0008284i,-0.00015791-0.00032071i,0.00034106-0.00071338i,0.00042788-0.001556i,-0.0001514-0.00078902i,-0.00068265+0.00025305i,-0.00059108+0.00050954i,0.000102-0.00046829i,0.0011128-0.0010248i
-0.00137+0.00095427i,-0.0017047+0.00082495i,-0.00099119+0.0012002i,-0.0011926+0.0012561i,-0.0015196+0.00040067i,-0.0014007-0.00040791i,-0.00089924-0.00058774i,-0.00050134-0.00047307i,-0.00046576-0.00023839i,-6.6795e-05-5.5567e-05i,0.00051387-0.0001966i,0.00076241-0.00049634i,0.00093694-0.00057485i,0.00019279+0.00041829i,-0.00023563+0.0016464i,-0.00043472+0.0016281i,-0.0017178+0.00053017i,-0.0019576-0.00051969i,-0.00073261-0.00030181i,5.6963e-05-9.6513e-05i,0.00018378+6.422e-05i,0.00028934+0.00016724i,0.00048578-5.7488e-05i
0.0012421-0.0011006i,0.0015623-0.0022108i,0.00096216-0.0034592i,-0.00033278-0.0034665i,-0.00016903-0.0021381i,0.00081179-0.001282i,0.00040644-0.0011799i,0.00014342-0.001514i,6.0469e-05-0.0013865i,-0.00047487-0.00062438i,-0.0010799-0.00019879i,-0.00068742+0.00039257i,0.00066854+0.00031052i,0.0013043-0.0009882i,0.0011464-0.0014385i,0.00017076-0.00084039i,-0.001028-0.0006341i,-1.67e-05-0.00015988i,0.00020322+0.0001168i,-0.00080763-0.00012454i,-0.00037931-0.00035969i,0.00039982-0.00030896i,0.0007784-0.0003418i
-0.00043989+0.0011062i,-0.0010197+0.0011729i,-0.00086643+0.0012396i,-9.0368e-05+0.00083701i,0.00077793+0.00081296i,0.00076734+3.2043e-05i,0.00015216-0.00098768i,-0.00012832-0.0010728i,-0.00015334-0.00085813i,-0.00041594+2.9114e-05i,0.00046292+0.00018377i,0.0013213-0.00060869i,0.0013627-0.0012606i,0.001427-0.0013885i,0.0017689-0.0015304i,0.0019243-0.0011761i,0.00089141-0.00073688i,-0.00071596-0.0013066i,-0.0010182-0.0014772i,-0.00035112-0.00031723i,-0.00024138+0.00029296i,-0.0004609-0.00026953i,-0.00018021-0.00028952i
1.3073e-05+0.0014976i,0.00092153+0.00083822i,0.0017719+0.00053251i,0.0023356+0.00026395i,0.0016624-0.00032599i,0.00095689-0.0019312i,0.0010992-0.0022742i,0.00095542-0.0020888i,0.0010346-0.0011852i,0.0011656+0.00017466i,0.0012007+8.4196e-05i,0.0012653-0.00072346i,0.00056686-0.0013921i,6.6527e-05-0.0011391i,1.6734e-05-0.00027863i,-0.00024839+0.00026359i,-7.3547e-05+0.00030178i,-0.00037763+0.00016527i,-0.00066815-0.00050464i,8.7692e-05-0.00087395i,-0.00010517-0.00017934i,-0.00049261+0.00020184i,-0.00039081+0.00056983i
-0.0016111+0.00049422i,-0.001724+4.8955e-05i,-0.0019232-0.00018484i,-0.0014138+0.00027909i,-0.00057026+0.00078191i,-0.00049908+0.00035009i,-0.00038233+2.1026e-05i,-0.00018549+0.00020275i,0.0003591+1.6899e-05i,0.001248-0.00086198i,0.0016443-0.0014957i,0.0014544-0.0021634i,0.0011869-0.0023287i,-0.00030039-0.00085932i,-0.00089193-6.243e-05i,-0.00013507-0.00031185i,0.00013045-0.00035021i,0.00037132+8.2645e-05i,0.00012006+0.00051663i,-0.0006362+0.0006842i,-0.00060179+0.00080264i,0.00027992+0.00080734i,0.00027461+0.00074058i
-0.0013272-0.00046271i,-0.0015484-0.00046213i,-0.0020293+0.00066247i,-0.0017586+0.0021755i,-0.00044744+0.0024504i,0.00013282+0.0014352i,-0.00024474+4.8727e-05i,-0.00028101-0.00042782i,0.0001772-0.00033185i,0.00078721-0.0007037i,0.00088955-0.00014698i,0.00028698+0.000107i,1.7119e-05-0.00026139i,0.00039142+4.1546e-05i,0.0002256-6.5039e-05i,-0.00032672-0.00054988i,-0.00023284-0.00048404i,-0.00039534-0.0002103i,-0.00059975+0.0002777i,-0.00020714-7.7659e-06i,5.9393e-05-0.00054116i,0.00022563-0.00057429i,0.00081532-0.00097547i
-0.0023207-0.00043414i,-0.0031068-0.0011397i,-0.0038468-0.00017464i,-0.0030019+0.0014151i,-0.0017413+0.0016258i,-0.00099425+0.0014543i,-0.00050167+0.00087111i,-0.00019203-0.00020069i,0.00011006-0.00043631i,0.0003712+0.00010412i,0.0010746+0.00018596i,0.0016335+0.00026434i,0.0018859-0.00028432i,0.0019669-0.00098227i,0.0015449-0.0011169i,0.00095756-0.00060873i,0.00025721-0.00043996i,0.00042705-0.00081961i,0.00098653-0.00060396i,0.00095154-0.00024467i,0.00041515-0.00071203i,8.4449e-05-0.001231i,-0.00010796-0.0012081i
-0.0013691-0.001273i,-0.00085117-0.00067153i,-0.0015046-0.00010523i,-0.001412-0.0006191i,-0.0012639-5.0318e-05i,-0.00044052-0.00038155i,0.00026696-0.00081859i,4.9829e-05-0.00084794i,3.3678e-05-0.00086687i,0.00052968-0.00060678i,0.00066229+5.6666e-06i,0.00022453+0.00013085i,0.00035043-8.838e-05i,0.00071898-0.00033808i,-8.3783e-05-0.00075347i,-0.00082253-0.00070057i,-0.0010254-0.00070546i,-0.00121-0.00051621i,-0.0010774-0.00018204i,-0.00066373+0.00025804i,-0.00051267+0.00017319i,9.4197e-05+0.00010357i,0.00010807+0.00039002i
0.00026973+0.0018985i,-0.00082963+0.0011258i,-0.00010467+0.00039995i,0.0015943-0.00026344i,0.0023617-0.00036107i,0.00070808-1.3481e-05i,-0.00024913+0.00029368i,0.00014802+0.0004831i,0.0010721-0.00017949i,0.0018587-0.0011812i,0.0018508-0.001271i,0.00075931-0.0011046i,-0.00080668-0.00077887i,-0.0019839-0.00064477i,-0.0020753-0.00049718i,-0.00053915-0.00049097i,0.00016089-0.0011179i,-0.00069373-0.00097973i,-0.00091249-0.00026944i,-0.0003494+0.00028664i,7.178e-05+0.00056766i,0.00036323+0.00054901i,0.00030366+0.00094658i
-0.00015152-0.0015714i,9.6403e-05-0.0024481i,-0.00039659-0.0024786i,-0.00098482-0.0010997i,-0.0012042+0.0002298i,-0.002113-0.00032022i,-0.0017424-0.00075089i,-0.00046996-0.00045074i,0.0003101-0.000875i,0.00079653-0.0010498i,0.00097111-0.00032076i,0.00037141-0.00032781i,0.00038798-0.0010257i,0.00029378-0.00081315i,0.00081622-0.00014819i,0.0014999+0.00016848i,0.00058555-7.2822e-05i,9.5226e-05+8.4625e-05i,-0.00016218+0.0010995i,0.00019407+0.0015289i,0.0011376+0.0012381i,0.00055821+0.00012882i,0.00054839-0.00043931i
0.00014515-0.0020218i,-0.00033318-0.0012297i,-0.00032455-0.00031028i,-0.001181-0.00039323i,-0.001825-0.0010297i,-0.001332-0.00066116i,-0.00065594+0.00053493i,0.00033595+0.00028832i,0.00082531-0.00056837i,0.00020539-0.00032973i,-0.00037517-7.7967e-05i,0.00034288-0.0002491i,0.0014841-8.5042e-05i,0.00089537-0.0002224i,0.0003216-0.00026333i,-0.00027417-0.00059508i,-0.00082181-0.0012025i,-0.00011055-0.0010679i,-0.00022392-0.0010025i,-0.00081758-0.0010036i,-0.00073606-0.00019546i,-0.00059735-0.00045076i,-0.00017267-0.0016662i
-0.0012854-0.00038986i,-0.00064384-0.0010946i,-0.0010309-0.0013398i,-0.00051198-0.00047715i,-4.8924e-05+0.00030183i,0.00053242-0.00069426i,0.00066939-0.0011398i,3.0183e-05-0.00059388i,-0.00028897-0.00082102i,0.00010274-0.00058169i,0.00012394+2.7302e-05i,-4.7712e-05+0.00020188i,0.00031892-0.00014338i,0.0005816-0.0010808i,0.00057022-0.0010789i,0.00032851-0.00091627i,0.00021158-0.0014285i,-0.00028835-0.0013321i,-0.0012277-0.00070841i,-0.0012479-0.00038363i,-0.00082653-0.00016811i,-0.00049114+5.9963e-05i,-0.00054491-0.00027387i
0.00048825+0.00015591i,0.0012672-0.0010172i,0.00013287-0.00076695i,-0.00091338-8.2513e-05i,-0.00051593-0.00052271i,-0.00023448-0.00070256i,0.00037756-0.00037777i,0.00018291-0.00048584i,-0.00090591-0.00072854i,-0.0001255-0.00024135i,0.0010174-9.8434e-05i,0.0012254-0.00042083i,0.00065575-0.00047701i,0.00065704-0.00059055i,0.00035109-7.9334e-05i,0.00047131-0.00026766i,0.00064629-0.0010545i,-0.00013538-0.00080269i,-0.00036709-8.1903e-05i,-0.00018814+1.5385e-05i,-0.0005439-0.00014026i,-0.00065534-0.00028843i,-5.0043e-06-0.00029856i
-0.00023005+0.00049758i,0.00015147+0.00059116i,0.00048123+0.00026995i,0.0006141-0.00060679i,0.00018922-0.0015254i,-2.4775e-05-0.0014477i,-0.0003862-0.00060428i,-0.00073159+0.00024055i,0.00030484+0.00030215i,0.00088566-9.304e-05i,0.00078543-0.00015825i,0.0011613-0.00028665i,0.0013878-0.0010647i,0.0011908-0.0013468i,0.00076719-0.00061388i,0.00081514-5.2815e-05i,0.00051088+7.0397e-05i,-0.00032263-0.00019782i,-0.0010773+4.6964e-05i,-0.00081733+0.00031052i,-8.9968e-05+0.00030286i,0.00041896-7.0483e-05i,0.0006748-0.00028688i
-0.00039698-0.0016376i,-0.00099081-0.0011728i,-0.0018816-0.00012123i,-0.0018012+0.00050149i,-0.0016803+0.0011238i,-0.0016905+0.00098373i,-0.0014241-0.00048173i,-5.312e-05-0.0015613i,0.00074493-0.0010466i,0.00026155+7.3568e-05i,0.00018503-0.0001417i,0.00057035-0.0004478i,0.00048409-0.00057263i,-0.00033006-0.0011143i,0.00027338-0.00070328i,0.0013774-0.00018406i,0.0008045-0.00015184i,-0.00018386+9.0026e-05i,-0.00049068+0.00020172i,-0.00018914+0.00048968i,0.00060078+0.00049155i,0.00014101+0.00039482i,-0.00027302+5.8049e-05i
0.0029148+0.00064953i,0.0020966+0.00068883i,0.0025538-0.0011934i,0.0017345-0.0011722i,0.00032188-0.0013374i,0.00081528-0.0014986i,0.0010235-0.00069458i,0.00083618-0.00052102i,0.00063411-0.0006346i,0.00077528-0.00056521i,0.00081632-0.00070863i,0.00076767-0.0013353i,0.00068836-0.001022i,-0.00046927-0.0004634i,-0.00075108-0.00031952i,-0.00019894-0.001075i,-0.00022872-0.0018317i,0.00017898-0.00099085i,0.00025142+0.00020533i,0.00015323+5.3143e-05i,0.00056186-0.00074813i,0.00013115-0.00099239i,-0.00037804-0.00086615i
-0.0025926-0.0030965i,-0.002913-0.0026913i,-0.0041946-0.0014862i,-0.0034381-0.00048387i,-0.0011123+0.00097087i,0.00031087+0.00118i,0.00039372-1.6649e-05i,-0.00019359-0.00073009i,-0.00065356-0.0010394i,-0.0010961-0.00096646i,-0.00051842-0.0001127i,0.00056268+0.00028198i,0.00077695-0.00017235i,0.0005738-0.00091916i,0.00029354-0.0015866i,-0.00036074-0.0013867i,-0.00039062-0.0011306i,-4.0436e-05-0.00093611i,0.00023255-0.00090558i,-0.00027767-0.00083803i,-0.00040108-0.00063885i,0.00022711-0.00043717i,1.4861e-05-0.00026428i
-0.0014273-0.0011451i,-0.00053518-0.000867i,-0.0012835+0.0007308i,-0.001193+0.00013171i,5.5454e-05-0.0018693i,0.0003219-0.002517i,-0.00016033-0.0022351i,-0.00093958-0.0013317i,-0.00030607-0.0012462i,0.0012572-0.0009344i,0.001343-0.00028294i,0.00080639-0.00049331i,0.00095841-0.0013887i,0.0010122-0.0014594i,0.00044107-0.00042244i,-0.00059543-0.00021768i,-0.0009331-0.00063496i,-0.00024745-0.0013852i,-0.00024449-0.00075671i,-0.0012206+7.2087e-05i,-0.0019055-0.00038908i,-0.00059737-0.0005907i,0.00054041-0.00045175i
-0.0014721-0.0017748i,-0.0015278-0.0028326i,-0.0011508-0.0015021i,-0.0011826-0.00037432i,-0.0010397-0.00058001i,-0.0011854-0.0009817i,-0.0017186-0.0012126i,-0.0014207-0.0010935i,-0.0010551-0.00038175i,-0.00072228-0.00033341i,0.00018665-0.00094356i,0.00073417-0.00039603i,0.00078828-0.00039755i,0.00036823-0.0017044i,-5.7961e-05-0.001521i,-3.2799e-05-0.00054012i,5.5373e-05-0.00098759i,-0.00041462-0.00086853i,-0.00069804-0.00033391i,-0.00062365+8.7777e-05i,0.00031128+0.00032929i,0.00096652-0.00058362i,0.00035563-0.00079985i
-0.0020521-0.0018853i,-0.0019715-0.001747i,-0.0016909-0.0010156i,-0.0018877+0.00029594i,-0.0018338+0.0015453i,-0.00089971+0.0023203i,0.00034416+0.0014194i,0.00073815+0.00051106i,0.0009792+0.00067688i,0.0015167+0.0010799i,0.0013109+0.0013211i,0.0013123+0.00044404i,0.0015618-0.00043206i,0.00090466-0.0006401i,0.00055083-0.00056052i,0.00068101-0.00044337i,0.00063951-0.00030903i,0.00060522-0.00017023i,-9.1561e-05-9.7005e-05i,-0.00054795-0.00021079i,-0.00069794-0.00017589i,-0.00079564+0.00030256i,-0.00048307+0.00025523i
-3.4919e-05-0.00062496i,-0.0011612-0.00096919i,-0.0014443-0.0011193i,-0.00053353-0.00091059i,0.00053182-0.00018288i,0.00025488-0.00041607i,3.9934e-05-0.00093405i,-0.00014414-0.0009178i,-0.00017846-0.00063473i,0.00030797-0.00067555i,8.4983e-06-0.0013848i,0.00042373-0.0016403i,0.0017612-0.0012181i,0.0015727-0.00046553i,0.00056515-5.5369e-05i,0.00063602-0.00029243i,0.0012177-0.00026124i,0.0011914-0.00065756i,0.00030393-0.00072562i,-0.00074922-0.00030471i,-0.00030019-0.00022064i,0.00032652-0.00054473i,6.5744e-05-0.00080029i
-0.00049646-1.058e-05i,-9.4094e-05+0.00082429i,0.00010979-3.2838e-05i,0.00063589-0.00081281i,0.00087439-0.00078671i,0.00091281-0.00051773i,0.0013498-0.00072219i,0.00086694-0.0016507i,0.00057758-0.0023225i,0.00073246-0.0018881i,6.1393e-06-0.0014282i,3.5892e-05-0.00084928i,0.00080611-0.001125i,0.0010406-0.00098528i,0.0012904-0.00044086i,0.00097161-0.0005145i,-0.00039117-0.00060901i,-0.0012365-0.00051421i,-0.00077029-0.00027321i,-0.00030596+1.1983e-05i,0.00070908-0.00020704i,0.0010974-0.00048009i,0.0005402-0.00090982i
