6.787e-05+0.0016724i,0.0014269+0.00096002i,0.0011689+0.00053872i,0.00087125+0.00037948i,0.00040199+8.0649e-05i,-0.00058844-8.3072e-05i,-0.0011845+0.00048252i,-0.00069683+0.00069774i,4.5398e-05+0.0014389i,0.00066679+0.0012465i,0.00090017-0.00031522i,0.00057385-0.001083i,0.00011904-0.0012918i,-0.00063248-0.00077846i,-0.00096046-0.00050573i,-0.00013142-0.00028587i,8.1752e-05+0.00035725i,-0.00027788+0.0004355i,9.545e-05+0.00071077i,0.00039362+0.00038223i,0.00023985+0.0004042i,0.00010835+0.0010731i,0.00015094+0.00096332i
-0.00046896+0.0010603i,0.0023155+0.00093369i,0.0036113+0.0019129i,0.0042301+0.0018425i,0.0039004+0.00072746i,0.0023722+5.4475e-05i,0.00069151+4.7382e-05i,-0.00017271+0.00027967i,9.0082e-05+0.00056643i,0.00047779+0.00041131i,0.00026454+0.00018997i,0.00077184-0.00027829i,0.0013991-0.00018523i,0.00080832+0.00057137i,0.00037837+0.00069376i,0.00030206+0.00024277i,0.00022541-6.4136e-05i,0.00054539-0.00091318i,0.0003131-0.0014426i,-0.00042589-0.00088349i,-0.00041218-7.9969e-05i,-0.00039063+0.0001576i,-0.00040195-1.4429e-05i
-0.00085567-0.00047995i,-0.0002476+0.00055195i,0.00036149+0.0012644i,0.00068556+0.0013879i,0.0010979+0.0010829i,0.0012549-3.3555e-05i,0.0006078-0.0010501i,-0.0009829-0.00074314i,-0.0021797-0.0001321i,-0.00162+0.00023072i,-0.00016011+0.00012264i,0.00021638-0.00022929i,0.00013102-0.00034407i,-0.00017968-0.00094088i,-0.0007941-0.0012397i,-0.0017696-0.00064842i,-0.0018796-0.00038398i,-0.0011786-1.0887e-05i,-0.00093928-7.8663e-05i,-0.00098473-0.00062381i,-0.00082191-0.00098609i,0.00046442+6.128e-06i,0.00016612+0.00075977i
0.0015673+0.0012667i,0.0021715+0.0013375i,0.0032013+0.001298i,0.0034497+0.00076894i,0.0019828+0.0003785i,0.00015627+0.00038069i,-0.00036858+0.00037916i,-5.2818e-05+0.00075403i,-0.0003479+0.001085i,-0.00084867+0.000593i,-0.00050825-0.00025967i,3.4874e-05-0.00034836i,-4.7871e-05+0.00016086i,-0.00028777+0.00073296i,1.0255e-05+0.00025648i,-0.00051425+0.00024908i,-0.0010611+0.00078929i,-0.00068979+0.00065992i,-0.00074553+0.00031946i,-0.00033197-0.00027021i,0.00022442-0.00041071i,-2.2496e-05+0.00044027i,-0.00038954+0.00083482i
-0.0010345+2.2485e-05i,-0.0010995+0.00022187i,9.1102e-05+0.0002666i,0.0011077-9.0401e-05i,0.0009934-9.1897e-05i,-9.749e-05-0.00044402i,-0.0011802-0.00023573i,-0.0013159+0.00030804i,-0.00095395+0.00045766i,-0.00014677+0.00023949i,0.00033692-0.00015907i,0.00026261+7.0094e-05i,-0.00019707+0.00024045i,-0.00060409-0.00042058i,-0.00063864-0.00053553i,-0.00089699-0.00045866i,-0.0011788-0.00074698i,-0.00089386-0.00096506i,-0.0001425-0.00022859i,-7.8242e-05+0.00078013i,0.00014423+0.00087581i,0.00020853-0.00015825i,5.3237e-05-0.00095401i
-0.00012515+0.0001642i,5.748e-05+0.00064685i,0.00037952+0.00067263i,0.00071207+0.0005904i,0.00062656+0.00053104i,-2.7216e-05+0.00045485i,-0.00084625+0.00065617i,-0.0017092+0.0010281i,-0.00206+0.00086918i,-0.0016053+0.0010489i,-0.00056936+0.00056704i,0.00022419-3.0838e-05i,0.00031522-0.00026871i,0.00015435-0.00075972i,-0.00026099-0.0012839i,-0.00055376-0.0017115i,-0.00017944-0.0012669i,-0.00036145+0.00010745i,-0.0001471+0.00058359i,0.00027691+0.00010607i,0.00013341+0.00024551i,1.5343e-05-0.00024725i,0.00021942-0.00067819i
0.0012822+0.00052925i,0.0012093+0.0013561i,0.0021297+0.0013292i,0.0019371+0.00043787i,0.00060926-0.00091631i,-0.00065201-0.0022361i,-0.0011133-0.0018937i,-0.001058-0.0011344i,-0.00068485-0.0002706i,-0.00019225-6.9335e-05i,0.00021372-0.0014589i,0.00074928-0.0013878i,0.0010118-0.00037584i,0.0011811+0.00023713i,0.0009568+0.00075685i,0.00031237+0.0013911i,2.1266e-05+0.0011491i,-0.00019683+0.0002098i,-0.00013874-0.00016856i,-0.00014912+3.7376e-05i,-0.00086053-0.00019422i,-0.001283-0.00046381i,-0.0007385-0.00026415i
-0.0003985+0.00061878i,0.00039701+0.00047515i,0.0011897+0.00059406i,0.0014115-8.2918e-05i,0.00020696-0.00063808i,-0.00093712-0.00050279i,-0.0008793-0.00026667i,-0.0012236+0.00059334i,-0.001638+0.00088993i,-0.0014523-0.00010408i,-0.00092697-0.0011098i,-0.00027581-0.00071356i,-0.00020903+0.0004694i,1.2407e-05+0.00049753i,0.00010362+0.0001748i,-0.00015818+9.488e-05i,-0.00021217-6.5358e-05i,-9.2419e-05+5.543e-05i,0.00013252+0.0001376i,8.9598e-05-6.5149e-05i,-3.7181e-05-0.00045751i,-0.00030428+0.00024782i,-0.00085008+0.00041471i
0.00088882-0.0018322i,0.0014126-0.0011933i,0.0010083-0.00036143i,7.9466e-05+9.52e-05i,-0.00044484+0.00067848i,-0.00046042+0.00074931i,-0.00041443+1.44e-05i,-0.00073721-0.00076045i,-0.00050652-0.00074482i,0.00065778+0.00040019i,0.0010183+0.00075014i,0.00036298+0.00045634i,9.3835e-05-0.00028406i,0.00053402-0.0011505i,0.00023648-0.00091217i,-0.00027903-0.00053057i,-0.00045388-0.00049188i,-0.00047101-0.00012803i,-0.00012831+0.00057168i,-7.7317e-05+0.00021496i,0.00035689-2.1764e-05i,0.00049311+0.0008045i,0.00024592+0.00048128i
0.0024005+0.00036715i,0.0023407+5.1631e-05i,0.0018729-0.0011207i,0.0014187-0.0022318i,0.00088066-0.0023012i,0.00015219-0.0008136i,-0.00058249-0.00037111i,-0.00089216-0.0003845i,-0.000975-0.0010825i,-0.00022954-0.0012233i,0.00056193-0.00020246i,0.0010908-0.00016253i,0.00065729-1.4771e-05i,1.6179e-05+0.00018169i,0.00010689-0.00053351i,-0.00041319-0.00034472i,-0.00082533+0.00010424i,-0.00057682+0.00019199i,0.0003264+0.00082089i,0.00073622+0.00066983i,0.00053552+5.5427e-05i,0.00076085+0.00016528i,0.00032945+2.3433e-05i
8.5975e-05+0.00038333i,-0.00044542+0.0011375i,-0.00045649+0.0021634i,-0.00074554+0.002317i,-0.00055168+0.0010713i,-0.00019866+0.0015986i,-0.00047813+0.0018655i,-0.0011196+0.00041002i,-0.0010327-0.00062191i,-0.00012596-0.00052988i,0.00063014-0.00013733i,0.00027042-0.00072i,0.00010686-0.0013704i,-0.00033706-0.001006i,-0.00038788-0.00066955i,-4.0903e-05+7.6903e-05i,-0.00020994-0.00017393i,-0.00050606-0.0011075i,-0.00050591-0.0012281i,0.00038505-0.00082141i,0.00099911+0.0001302i,0.00018806+0.00068502i,-0.0015241+0.0002527i
-0.0013998+0.001063i,-0.00088648+0.0013151i,0.00054113+0.0011951i,0.0012582+0.00070598i,0.00039011+0.00018351i,-0.00024408+0.00040378i,-0.00083153+0.00051264i,-0.0013081-4.8054e-05i,-0.00074976-0.00036977i,0.00054464-0.00035802i,0.00078627-0.0002077i,0.00016753-0.00029174i,-6.1091e-05-0.00067926i,-0.0008514-0.00017336i,-0.0011187+0.00017186i,7.3174e-05+0.00027877i,0.0005902+0.00040432i,-0.00016199-7.6977e-05i,-0.00022375-0.00032265i,7.6689e-05-0.00015832i,-0.00029638-0.0004918i,5.7107e-05-0.00089785i,0.00036898-0.00093703i
-0.0019439-0.00067069i,-0.0012758-0.001572i,-0.0011023-0.00085867i,0.00037373+0.00015835i,0.0018903+0.00038922i,0.0012839-0.00060094i,-0.00039735-0.0012775i,-0.0014271-0.0013049i,-0.0007158-0.00034343i,-0.00025103+0.0010041i,-0.00027309+0.00086871i,-0.00066927+0.00034352i,-0.0002484+0.00014642i,0.00073757+0.00033989i,0.0011144+0.00054497i,0.00076647-0.00057968i,0.00057798-0.0011559i,0.00034198-0.00072966i,0.00034276-0.00015519i,0.0006105+0.00059406i,0.00037979+0.00035516i,-0.00059831-0.00014987i,-0.00078274-0.0002091i
-0.00025683+0.0013333i,0.00015861+0.001023i,0.00019294+0.0012499i,0.00068655+0.00057447i,0.00064899-0.00016298i,-0.00044157-0.0010284i,-0.00050242-0.001714i,-0.00063841-0.00059345i,-0.0012102+0.00031145i,-0.00031725+0.00029298i,4.2901e-05+0.00010776i,-0.0001583-0.00042103i,0.00080544-0.00043715i,0.00084252+0.00033583i,-0.0005466+0.00080254i,-0.00087275+0.00079565i,-0.00034576+0.00050422i,-0.00021046+0.00053561i,-5.3974e-05+2.3363e-05i,0.00044719-0.00045322i,9.3786e-05-0.00011798i,-0.00012002+0.00073606i,-0.00016364+0.0010769i
0.00028687+0.0017172i,0.001125+0.0007903i,0.0018095+0.0007163i,0.0024311+0.0009375i,0.0026839+1.6647e-05i,0.0015869-0.00066031i,0.00027718-0.0006286i,5.0753e-05-0.00029708i,0.00052521+0.00048576i,0.0016499+0.0011135i,0.0019696+0.00013158i,0.0012783-0.0010879i,0.00088754-0.00055702i,0.0007331-0.00019232i,0.00042712-0.00021301i,0.00022455-0.00017848i,-0.00036364+0.00022577i,-0.00057599+0.00050645i,-0.00041375+3.7495e-05i,-3.1176e-06-0.00010425i,0.00096939-0.00016169i,0.00060403+0.00027113i,0.0002949+0.00041003i
0.00037747+0.0003429i,0.00051817+0.0016726i,0.001702+0.0025691i,0.0023276+0.0022129i,0.00084693+0.0014063i,-0.00065181+0.00062547i,-0.001182+0.00037333i,-0.0014232+0.00061495i,-0.0015665+0.0011313i,-0.0012725+0.0011736i,-0.00011216-0.00012788i,0.0010129-0.0007142i,0.00076996-0.00050426i,0.00024441-0.00031026i,5.4919e-05-0.00053482i,5.4866e-05-0.00053751i,0.0001977+0.00030048i,-0.00017587+0.00067109i,-0.00034977+0.00046647i,-0.00011676+0.00011911i,5.6133e-05-7.2068e-05i,0.00031094-1.1703e-05i,0.00098312-0.00020352i
-0.00083343+0.0010488i,-0.00034919+0.00031798i,0.0020396-0.00038516i,0.0030735-0.00091029i,0.0020202-0.0012395i,0.00070912-0.0019842i,-0.00049843-0.0016306i,-0.0012398+0.00039554i,-0.0015744+0.0013559i,-0.0015592+0.00036288i,-0.0010865-0.00098176i,-0.00021627-0.0017847i,0.00022918-0.0013717i,-3.1635e-05-0.00035611i,-0.00023134+0.00043853i,-0.00069087+0.00054712i,-0.00081764+0.00049688i,-0.00052876-0.00024134i,-0.00024737-0.00092587i,0.00019158-0.00024232i,-0.00017819+0.00032808i,-0.00026374+0.00033972i,0.00010874+0.00042222i
0.00087233-0.00076078i,0.00145+7.5281e-05i,0.001135+0.0011996i,0.00082771+0.0026235i,0.000969+0.0032627i,0.0006941+0.0022018i,-0.00055758+0.0012049i,-0.00090449+0.00053869i,-0.0010554+0.00033604i,-0.0011663+0.00050053i,-0.00022872+0.00027472i,0.00054976+3.7841e-07i,0.0010166-0.00061322i,0.00086292-0.00073486i,0.00016277-0.00047942i,-0.00092263-0.00072434i,-0.0012239-0.00038884i,-0.00040968-0.00074619i,0.00081015-0.0014703i,0.00055037-0.00045125i,-0.00035925-0.00018333i,0.00060585-0.00040789i,0.0013753+7.7396e-05i
0.0010844-0.0017947i,0.0019742-0.0022751i,0.0016146-0.0012764i,-0.00045442-0.00077102i,-0.0010304-0.00056041i,-0.00025437-0.00032717i,-0.00079136+0.00024965i,-0.0013477+0.00042236i,-0.0013709+0.00016369i,-0.0011616-2.8088e-05i,-0.00063339-0.00026513i,-0.0001728-0.00077358i,0.00018685-0.0009616i,0.00024088-0.00079977i,0.00019592-0.0010646i,6.6545e-05-0.0011804i,6.3745e-05-0.0009115i,-0.00052758-7.2874e-05i,-0.0013495+0.00071767i,-0.00086865+0.00042703i,-0.0003216+0.00011515i,-0.00025783+0.00034034i,-0.00057029+0.00076528i
-0.00041906+0.001053i,0.0003103+0.0013425i,0.0015129+0.0016609i,0.0029458+0.0016826i,0.0022133+0.00055768i,0.00087626-0.0006996i,-0.00019628-0.00094519i,-0.00073911-0.00069733i,-0.00059287-0.00047577i,-0.00041796+4.2969e-05i,-0.00027422+0.00034743i,-0.00027723+8.253e-05i,0.00017969-6.0748e-05i,0.00027457+0.00074848i,0.00034347+0.00084389i,0.00027063+0.00045246i,0.00028186-4.5512e-05i,0.00022157-0.00062192i,0.00014113-0.0006749i,-0.00015213-0.00015926i,-0.00044677+0.00016987i,-0.00060262-0.0007336i,4.2269e-05-0.0017327i
-0.0013694+0.0018895i,-0.0012806+0.0020104i,-0.00010699+0.0027425i,0.001471+0.0021917i,0.0016388+0.00053533i,0.00088228-0.00073385i,-2.1124e-05-0.00057433i,-0.0010707+0.0007345i,-0.0012246+0.00093097i,-0.00045054-2.1087e-05i,-0.00015744-0.00031221i,0.00054129-5.4064e-05i,0.00089966+0.00024523i,0.00029588-4.4732e-05i,-0.00024715-0.00028566i,-0.00090764-7.1511e-05i,-0.0010114-0.00017129i,-0.00057401-0.00092442i,-0.00076392-0.0013581i,-0.00044824-0.00077793i,0.00026197-0.00028635i,0.00065581+0.00029258i,0.00084763+0.00077789i
-0.0009055-0.0012373i,0.00042298-0.00062609i,0.00079852+0.00049272i,0.00036246+0.0018759i,-0.00049636+0.0017022i,-0.00079184+0.00048521i,-0.00083589+0.00045814i,-0.00078063+0.0011318i,-0.00037125+0.0013256i,0.00051752+0.00071589i,0.0012694+0.00029082i,0.00098014+0.00056547i,0.00089787-0.00018877i,0.001217-0.00068326i,0.0016893-0.00062337i,0.00091526-0.00046271i,-0.0001355-0.00055944i,-0.00018307-0.00078461i,-7.4206e-05-5.9161e-05i,0.00037138+0.00036486i,7.3885e-05+6.8168e-05i,7.4198e-05-0.00035254i,0.00067921-0.00060567i
0.00058255-0.00026905i,0.0013321-0.00043837i,0.0026561+0.0012797i,0.0021706+0.0017688i,0.00099728+0.0010374i,6.3785e-05+0.00049009i,-0.00072327+3.03e-05i,-0.0013711+0.00022224i,-0.0012059+0.00061824i,-0.001+0.00051217i,-0.00044561+0.00023777i,0.00052535+0.00030156i,0.00084335+1.7942e-05i,0.00046244-0.00036621i,-0.00040066+0.00035101i,-0.00043977+0.00011712i,-0.00054185+4.9287e-05i,-0.001407+0.00042566i,-0.00091013-0.0005214i,0.00059966-0.00095609i,0.00059576-0.00070514i,0.0005259-0.0003404i,0.00061096-0.00013198i
0.0016939-0.0001016i,0.0023568+0.00044306i,0.0013281-0.00013058i,0.00049993-0.00015793i,0.00027851+3.5354e-05i,-0.00026724-0.00068082i,-0.00046894-0.0012395i,-0.0005442-0.00066177i,-0.0010125+0.00032724i,-0.0013938+0.00043362i,-0.00085766-0.00033305i,-1.2809e-06-0.001121i,1.0011e-05-0.00078697i,-0.00039346+0.00016886i,0.00020288+0.00057685i,0.00067443+0.00089682i,-0.00076837+7.4635e-05i,-0.0013496-0.00099311i,-0.00071638-0.00052483i,1.1308e-05-0.00021349i,0.00062381-0.00028508i,-0.00028923+0.00011939i,-0.00074947+0.00011922i
0.00068138+0.00037767i,0.00093488+0.0020899i,0.00096612+0.0017693i,0.00087285+0.00075615i,0.00055081+0.00030999i,0.00083249-5.0066e-06i,0.00025697-3.5332e-05i,-0.00070635+0.0005395i,-0.00084285+0.0010414i,-0.00071163+0.0009766i,-0.00076962+0.00074118i,-2.1603e-05+0.00038629i,0.00084965-0.00039977i,0.00070908-0.00071571i,0.00036115-0.00072754i,0.00053598-0.0009459i,0.00019166-0.0011436i,-0.00012516-0.00091637i,8.8541e-05-0.00044334i,-3.3421e-06+0.00023182i,0.0002339+0.00051679i,0.00067111+0.00090084i,0.00046689+0.00058753i
0.00042538+0.0010299i,-0.00050955+0.0015001i,0.0015657+0.002615i,0.0028905+0.0027402i,0.0016399+0.001137i,0.0010967+0.00036656i,0.00022282+0.00012187i,-0.00092755+0.00025364i,-0.000267+9.3636e-05i,0.00015516+0.00018804i,0.00011476+0.00013753i,0.00035474-0.00058127i,-3.6492e-05-0.00078331i,0.00015555-0.00041981i,0.00063345+4.8633e-05i,0.00053341+0.00045421i,-0.00018034+0.00034333i,-0.0012903+0.0001665i,-0.001466+0.00021342i,-0.0011846+6.8985e-06i,-0.00085709-6.762e-05i,-0.0004067-0.00034841i,0.00064267-0.00084032i
0.00031436+0.00081883i,-0.00027678-5.8567e-05i,0.0011734-0.00030403i,0.0011917-0.00043133i,0.00067992-0.0011324i,-0.00060692-0.0019712i,-0.0021615-0.0010293i,-0.0018071+0.00050191i,-0.00032225+0.000391i,0.0011215-0.00069047i,0.0016465-0.00094592i,0.00097446-0.0006321i,8.1832e-05-0.00075486i,-0.00029897-0.00016447i,-0.0004391+0.00079297i,-0.00066038+0.0013385i,-0.0010898+0.00091797i,-0.0005636+0.00015152i,-0.00014128-4.8053e-05i,-0.0004771+8.442e-05i,-0.00022727+5.8906e-05i,0.00033657-0.0003033i,0.00022178-0.00060408i
0.001459-0.0013229i,0.0018091-0.00059295i,0.0010769-0.00018184i,0.00064306-0.00065821i,0.0012019-0.00017497i,0.0010113+0.0010572i,-0.00016609+0.00066147i,-0.001296-0.0002552i,-0.00077041-0.00050663i,-0.00072152-0.00060287i,-0.00061528-0.0009053i,6.1562e-05-0.001355i,-0.0002226-0.0012321i,4.7881e-05-0.00038474i,0.00042625-0.00024856i,0.00035269-0.00067549i,0.00015483-0.00043458i,-0.00023929-0.00022196i,-0.00033751-0.00070363i,-2.6701e-05-0.00032648i,-3.0327e-05+0.00035003i,-7.5725e-05-0.00041813i,0.00019172-0.00038362i
0.00030752+0.00064769i,0.0012247+0.00078829i,0.0016456+0.0017539i,0.001976+0.0019499i,0.0011662+0.001708i,0.00013728+0.0015462i,-0.00060983+0.0013058i,-0.0016206+0.00045138i,-0.0015751+0.00026485i,-0.00078078+0.00011434i,0.00017928-0.00074771i,0.00081928-0.0006723i,0.00075603+0.00044759i,-5.3096e-05+0.00089336i,-0.0005778+0.00095117i,-0.00074074+0.00058423i,-0.00092695+6.4775e-06i,-0.00030275-0.00015133i,-0.0002855+0.0002748i,-0.00102+0.00067684i,-0.00048789+0.00075348i,0.00037863+0.00054472i,0.00075585-9.7951e-05i
-0.00058688+0.00074211i,-0.0007603+0.00082609i,-0.00054459+0.00054801i,0.00078946+0.0011194i,0.00051441+0.0013872i,6.1357e-05+0.001076i,0.00018547+0.00019094i,-0.00090728+1.1078e-05i,-0.0016+0.00073299i,-0.0003727+0.00084213i,0.0006942+0.00032966i,0.00076202+3.321e-05i,0.00023459+4.6202e-05i,-0.00027141-5.1802e-05i,-0.00028076-8.4727e-05i,-0.00070834+4.807e-05i,-0.00096379-0.00053667i,-0.00058312-0.00031465i,-0.00033285+8.655e-05i,-0.00013499-0.00040332i,1.0495e-05-0.00014515i,-3.1887e-05+0.00024925i,-0.00036534-0.00033012i
-0.0012602+0.0015809i,-0.0013178+0.0015497i,0.00039692+0.0012562i,0.0010238+0.0002204i,0.0011428-0.00057204i,0.00039713-0.001106i,-0.00057463-0.00074871i,-0.0011323+0.00070034i,-0.0010704+0.00070862i,-0.00014358+0.00022712i,0.00024787+0.00014945i,0.0002684-0.00022375i,0.00086861-0.00047913i,0.0011086-0.00071859i,0.00032824-0.00050639i,-0.00077466+1.3176e-05i,-0.00049796-0.00016023i,-0.00010189-0.00071725i,0.00020495-0.00080874i,-2.3182e-05+0.00021966i,-0.00062945+0.00014797i,-2.5625e-05-0.00083366i,0.00086786-0.00033i
6.49e-06-0.00081003i,0.00058099-0.00063678i,0.00026621+0.00057483i,0.00013422+0.0015708i,-0.00022838+0.0011153i,-0.0014937-7.6051e-05i,-0.0015575-0.00053738i,-0.00071111+0.00053511i,-0.00011585+0.00126i,0.0003085+0.00088277i,0.00071071-0.00027591i,0.00029846-0.00052391i,-0.00064415-0.00028638i,-1.9626e-05-0.00021084i,0.0012458+0.00020334i,0.00078931+0.00053853i,4.9522e-05-9.4722e-05i,-0.00016897-0.00031327i,-0.00020637-1.1656e-05i,2.9416e-05+0.00094929i,0.00043492+0.0012033i,0.0004579+0.00033285i,-0.00044108-7.4322e-05i
