-0.00070439+3.1036e-05i,-0.0011376+8.9591e-05i,-0.0022699-0.00032612i,-0.0023706-7.6895e-05i,-0.0018183+0.00083681i,-0.0011053+0.0017631i,-0.00042291+0.0019983i,0.00073225+0.0026857i,0.0016182+0.0026082i,0.0018438+0.0012324i,0.0013708-0.00015386i,0.00083328-0.0004407i,0.00082912+0.00044706i,-6.4e-05+0.00018594i,-0.00071482-2.4174e-05i,-0.00039116+0.00062652i,-0.00038533+0.00030437i,-0.00029193-0.00039109i,-0.00049474-0.0002626i,-0.00099845+9.3122e-05i,-0.00031861-0.00046236i,-5.5743e-05-0.00087376i,-0.00071556+0.0001094i
0.00081466+0.0021915i,0.0020349+0.0014187i,0.0028799+0.0011111i,0.0025316+0.00068389i,0.0013449+0.00022971i,0.00021054-0.00051118i,4.5709e-05-0.0010102i,-8.9301e-05-0.0004533i,-0.00085338+8.3447e-05i,-0.00089341+0.00011208i,-0.00032-6.3268e-05i,-0.00013509-0.00084043i,-0.00026722-0.0010977i,-0.00019842-0.00033866i,-2.6239e-05-0.00016321i,0.00039573+0.00011439i,0.0004202+5.6383e-07i,3.4073e-05-0.000847i,4.1311e-05-0.00065127i,0.00010669-0.00012495i,0.00010356+2.7241e-05i,4.8857e-05+0.00029807i,-0.00020117+6.3782e-05i
0.00030316-0.0015892i,-7.2205e-05-0.0008719i,2.3907e-05-0.0015403i,-0.00039479-0.0014252i,-0.00049745-0.0002939i,0.00025554+0.0010705i,0.0010128+0.00085087i,0.0011705-0.00016946i,0.0007768-0.00018065i,0.00067304-0.00086598i,-0.00014831-0.0010882i,-0.00046174-0.00076038i,0.00012452-0.00054571i,-0.00050474-0.00038372i,-0.00045448-0.00011875i,-0.00036107+0.00012318i,-0.00098163+0.0001508i,8.7031e-05+0.00030715i,0.0012642+0.00035437i,0.00038071-0.00029304i,-0.0002428-0.0004356i,-0.00018501-0.00040188i,-0.0005699-0.00019562i
-0.00065112+0.0012762i,-9.5662e-05+0.00095453i,0.00030738+0.00085894i,0.0016652+0.00033223i,0.0026674-0.00031089i,0.0024513-0.00089159i,0.00119-0.00038407i,0.00030205+4.4908e-05i,7.0243e-05-0.00010788i,0.00051805-0.00073362i,0.0013863-0.0010384i,0.00066594-0.0013965i,0.00012494-0.0014233i,0.00064248-0.00037536i,0.00023432-0.00045025i,-0.00031717-0.00091368i,0.0004459-0.00041736i,0.00087375-3.4488e-05i,0.0003484+9.6707e-05i,0.00020145+0.00033943i,-0.000112+0.00033809i,-0.00021016+0.00016812i,2.0502e-05+8.1615e-05i
0.00086366+0.0010547i,0.0012936-0.00049913i,0.00056627-0.0007317i,0.00085951-0.00025776i,0.00078365-0.00031536i,5.1241e-05+0.00024004i,0.00024956+0.00072936i,0.0002307+0.00064062i,0.00011767-0.00012992i,0.00037316-0.0011373i,0.00019088-0.00070879i,-0.0008084-0.00020999i,-0.0012821-0.0001847i,-0.0011893+2.9609e-05i,-0.0009203-2.4479e-06i,-0.00078164+0.00021866i,-0.0007232+0.00048606i,0.00020275-6.7747e-05i,0.00096423-0.00050087i,0.00078053-0.00056384i,0.00074513+7.086e-06i,0.0012521+0.00067914i,0.00083599+0.00061452i
-0.00030852-0.00033045i,-5.5559e-05+0.00073243i,-0.00025064+0.0007536i,0.00037152+0.00035899i,0.00077423+0.00075731i,0.00089044+0.00067145i,0.00079625+3.7079e-05i,0.00064969-0.00027801i,0.0009879-0.00039783i,0.00046871-0.00081289i,-0.00013903-0.00050513i,-0.0003349+6.5529e-05i,-1.5009e-06-0.0005979i,9.3079e-05-0.00090804i,-0.00065075-0.00030854i,-0.00052416-0.00021249i,0.00063463-0.00016777i,0.0009983+4.7431e-05i,0.0011371-0.0004137i,0.0005844-4.7884e-05i,2.6765e-05+0.00039775i,0.00070044+0.00055968i,0.00073392+0.00093874i
0.00084222+0.0023333i,0.0013644+0.00088731i,0.0017546+0.0010828i,0.0021491+0.00064494i,0.0023901+0.00020529i,0.0019865+0.00023243i,0.0007464+0.00021409i,-0.00066788-4.2431e-05i,-9.0211e-05-7.6279e-05i,0.00074409-7.861e-05i,0.00035721-0.00085506i,0.00045389-0.0010578i,0.0011249+8.642e-05i,0.001372+0.00022407i,-0.00028879-0.00034304i,-0.0012353-0.00028042i,-0.00035681-0.00015108i,0.00032826+9.1142e-05i,0.00029178-0.00012727i,0.00045601-0.00061478i,0.0002873-0.00012721i,-0.00054229-0.00019445i,-0.00093794-0.00080605i
0.00066445-0.0018321i,0.00065566-0.0012516i,0.00032778-0.0024437i,-0.00016018-0.0028735i,-5.0402e-05-0.0016355i,0.00043989-0.00086155i,-5.3281e-05-0.00074675i,-0.00046312+0.0001371i,-0.00046592-0.00020001i,0.00041066-0.0012008i,0.0009214-0.0011238i,0.000247-0.00026337i,-0.00063518+0.00047689i,-0.001067+0.00034569i,-0.00045633-0.00020067i,-0.00033175-0.00026264i,-0.0005961+0.00011834i,-7.6337e-06+0.00064652i,-0.00011607+0.00067126i,-0.00055724+0.00018622i,-0.00076161-0.00032991i,-0.00064838-0.00017587i,3.3887e-05-0.00083662i
0.0016445+0.0013808i,0.0015039+0.0012142i,0.0020528+0.00025704i,0.0029616+6.9453e-05i,0.002183-0.00032325i,0.00083531-0.0012096i,0.00015528-0.00086726i,-0.0003183-0.0010641i,0.00016333-0.00087303i,0.00027739-0.0003529i,-0.00017959-0.00048447i,-0.0002016-0.0006304i,-0.00032438-0.00031513i,-0.00029275-0.00014358i,-2.5577e-06-1.8805e-05i,-0.00012728-0.00018124i,0.00056429-0.00016881i,0.00014861+0.00049257i,-0.00095247+0.0003567i,-0.0012384-0.00033924i,-0.00095971-0.00041576i,-0.00024684+0.00012458i,0.00027596+0.00040092i
-0.00064615-0.00061621i,-0.00042712-0.00014504i,-0.0013402+0.00056309i,-0.00037723+0.0016165i,0.0014595+0.0011554i,0.0015667+0.00054523i,0.00058671+0.00058393i,1.0847e-05-3.2329e-05i,0.0003413-0.00074065i,3.5009e-05-0.00040041i,-0.00095607-0.00037507i,-0.00045764-0.00010036i,0.0001309+0.0011305i,4.2401e-05+0.001243i,-0.00010832+0.00045216i,0.00034328-0.0005797i,0.00087348-0.00071535i,0.00076184+2.9312e-05i,0.00030791-0.0005236i,3.3044e-05-0.00088909i,2.4058e-05-0.00020246i,-0.00046465+0.00017816i,-0.00075786+9.2202e-05i
-0.001774-0.0007522i,-0.0010932-0.00066654i,-0.00017097-0.00049359i,0.00015932+0.00072385i,0.00030663+0.0013665i,0.00080506+0.00079i,0.0012832+2.6509e-05i,0.0011791+0.00016327i,0.00069437+0.00070557i,0.00040725-0.00024722i,0.00057843-0.0016379i,0.00055522-0.0011611i,-0.00033406-0.00043474i,-0.00058593-0.00023212i,-0.00076729+0.00020197i,-0.0002895+0.00064796i,0.00057884+0.00044885i,0.00024172-0.00050915i,-0.00030909-0.0010669i,-0.00029084-0.00082153i,0.00045471+4.8612e-05i,0.00027113+0.00014706i,-0.00010413-0.00073289i
-0.00016036+0.0014614i,0.00035648+0.0014036i,0.00065748+0.0022037i,0.0012976+0.0025488i,0.0018669+0.0010619i,0.0014959-0.00013825i,0.00075953-0.00022847i,0.0006853+2.1624e-05i,0.00053954+0.00014627i,0.00013543-0.00045983i,0.00030886-0.00080688i,0.00072372-0.00055475i,0.00053082-0.00017118i,8.675e-05+0.00022542i,-0.00042017+0.00076454i,-5.121e-05+0.00059369i,0.00083297-4.3002e-05i,0.00094818-0.00032478i,0.00070433-0.00031186i,-0.00014573+0.00012691i,-0.00051242+7.4898e-05i,-0.00022236-0.00030844i,0.00025142-0.00076671i
-0.0014341-0.00064212i,-0.0023684-0.00045901i,-0.0022486-3.816e-05i,-0.00035743+0.00083057i,0.00056651+0.0014082i,0.00060549+0.00061641i,0.00063759+7.6274e-05i,0.000558+0.00033111i,0.0007546+0.00046414i,0.00057494-0.00025522i,0.00011509-0.00074429i,-0.00028749-0.0004496i,-0.00061794-0.00035084i,-0.00043779+0.00016653i,-0.00049229+0.00088905i,-0.00042034+0.00041125i,-0.00023085+0.00036828i,6.151e-06+0.00021814i,0.00012972+5.1959e-05i,-0.00039289+0.00043412i,-0.00052801+0.00070451i,-0.00022214+0.00045073i,-4.0838e-05+0.00031074i
