-0.00079674-0.00031342i,-0.00080398-0.00014274i,-0.00096929-0.00031761i,-0.00070215-0.00088895i,-0.00051847-0.00059159i,-0.0012839+0.0011893i,-0.0020286+0.0025503i,-0.0015344+0.0027594i,-0.00035883+0.003286i,0.00034158+0.0024654i,0.0002657+0.00013207i,-0.00026526-0.001088i,-0.00018682-0.0013006i,-9.8774e-05-0.00096196i,-0.00075134-0.00017178i,-0.00073162+3.9413e-05i,-0.00013223-0.00079842i,0.00075212-0.00078068i,0.0011109-0.00035209i,0.00084681-6.9306e-05i,0.0001038+0.0005155i,-0.00072978+0.0003885i,-0.00089657+0.00033374i
0.0012472+0.0019275i,0.0021559+0.0010572i,0.0028869+0.00056777i,0.0016013-0.00053172i,-0.00018956-0.0017849i,-0.00079032-0.0014426i,-0.0012332-2.2433e-05i,-0.0017592+0.00064867i,-0.0014868+0.00093118i,-0.00076249+0.00042801i,-0.00037223-0.00047354i,-0.00030745-0.00028452i,-0.00062239+0.00048906i,2.6216e-06+0.00067545i,0.00038485-0.00054658i,0.00015243-0.0013108i,0.00014359+0.00016967i,-4.0533e-05+0.0006271i,-0.00051542-4.5957e-05i,-0.00089162+0.00032317i,-0.00058195+0.0010073i,-0.00044894+0.0010712i,-0.00090762+0.00053383i
-0.0015659+0.0014209i,-0.00079576+0.0019029i,0.00039417+0.0019384i,0.0017537+0.00077255i,0.0016256-7.109e-05i,0.00062302+2.4151e-05i,-0.00012997+0.00063533i,-0.00060749+0.0013626i,-0.00063181+0.0020155i,-0.00035305+0.0020155i,-8.1553e-05+0.00065016i,-0.00013673-4.326e-05i,4.9778e-05+9.4833e-05i,0.00062584+0.00023913i,0.00036036+0.00044579i,0.00022604+0.00024819i,-0.00028792+9.6853e-05i,-0.0004427-4.3388e-05i,-0.00020408+0.0001561i,1.171e-05+0.00010713i,0.00023091+0.00023898i,-6.7113e-05+0.00065986i,-0.00042637+8.1859e-05i
-0.0023444-9.9022e-05i,-0.002456-0.0001678i,-0.0018271-0.00069587i,0.00036481-0.00044869i,0.00099882-9.234e-05i,-6.935e-06-0.0010336i,-0.0008571-0.00057744i,-0.0014518+0.00085084i,-0.001093+0.0016932i,4.8571e-05+0.0010883i,0.0008592-9.9401e-05i,0.00028042-0.00048392i,-0.00038544-0.00023604i,-8.3664e-05+0.00031781i,0.00026017+0.00080585i,6.7135e-05+0.00090828i,0.00024042+0.00042397i,0.00041873+0.00012713i,0.0002205+0.00058688i,0.00024438+0.0011623i,0.00029336+0.00052184i,0.00036467-0.00067953i,0.00078909-0.00078543i
0.0010609-0.000758i,0.0010476-0.00088042i,0.0017689-0.0012865i,0.0022371-0.0024618i,0.0019614-0.0030922i,0.00055572-0.0018123i,-0.00024545-8.1653e-05i,-0.00039264+0.00056161i,-0.00054603+0.0010047i,-0.00018499+0.00067085i,-0.00055951+0.00045241i,-0.00065945+2.2226e-05i,0.00030075-0.00080766i,-6.5828e-05-0.00059026i,-0.00079644-0.00023689i,-0.00016962-0.00017624i,0.00036725-1.478e-05i,0.00076391+0.00040631i,0.0010821+0.0006995i,5.3618e-05+0.00069087i,-0.00068435+0.00022036i,-0.00020318+2.5087e-05i,-0.00049227-0.00024813i
-1.5552e-05-0.00010952i,-0.00091596+0.00052968i,-0.00068875+9.0938e-05i,0.00024527+0.00037316i,0.00034474+0.00028626i,0.00050428-0.00065277i,-0.00034194-4.0694e-06i,-0.0014315+0.0012111i,-0.0015695+0.0014313i,-0.0010171+0.0011314i,-0.00088183+0.00013887i,-0.0013803-0.00055149i,-0.00055992+5.4463e-05i,0.00041339+0.00018783i,0.00040566-0.00015243i,-0.00010198-8.6277e-05i,0.00020873-0.00010693i,0.0010054-0.00040802i,0.00067577-0.0007356i,0.00084021-0.00040189i,0.0006692-0.00061393i,-0.00014345-0.00044i,-0.00074769+0.00045933i
0.0014619+0.0015532i,0.0022073+0.0012582i,0.0022452-0.00017206i,0.00067998-0.00083356i,-0.0001309-0.0017353i,-0.00061007-0.0011462i,-0.001197+0.0010064i,-0.00083381+0.0019891i,-0.00012123+0.001698i,-0.00022519+0.0014601i,-0.00064932+0.00097479i,-0.00052572+0.0006924i,-0.00019439+0.00059075i,0.00047809+0.00021523i,0.0011419+0.00015538i,0.00098423+0.00025475i,0.0001315+0.00044506i,-0.00030165+0.00064436i,-0.00015651+0.00042835i,-0.00046976+6.0176e-05i,-0.0012412+7.6975e-06i,-0.0017841+6.8005e-05i,-0.0012819+0.00030627i
-0.00086207+0.0018621i,-0.00023799+0.0025316i,0.00095021+0.0013i,0.0017142+0.00030384i,0.0015992+0.00044481i,0.00082271+0.0010141i,0.00060372+0.0014179i,1.1464e-05+0.0022925i,-0.00070095+0.0020247i,-2.045e-05+0.0014701i,0.00032212+0.00097921i,-0.00016001+0.00049833i,0.0004146+0.00059743i,0.0015706+0.00058089i,0.0011854+0.00034456i,0.00090283+3.2206e-05i,0.00038477+0.00049871i,-0.00064551+0.0003734i,-0.00039183+0.00064276i,8.8893e-05+0.00078902i,0.00030807+0.00027513i,0.00029655+4.555e-05i,-0.00016282-4.5117e-05i
-0.0018689-0.0016541i,-0.0027636-0.0021244i,-0.0022558-0.0011948i,-0.0010987-0.00044064i,-0.00052092-0.00012026i,-0.00022029+0.00019704i,-0.00019514+0.00041787i,-0.00011904+0.00048095i,-0.00071992+0.00047632i,-0.0018121+0.00016206i,-0.0013576-0.00048795i,0.00012388-0.00034145i,0.001539+0.00013649i,0.0011714+0.00014424i,-0.00041273-0.0004145i,-0.0011547-0.00017885i,-0.0012542+0.00020535i,-0.00078843+0.00013873i,-0.00022913+8.1177e-05i,0.00046142+0.00012985i,0.0002532+0.00029175i,-0.00094805-0.00032045i,-0.0010415-0.00087591i
0.0013014-0.00082735i,0.0017984-0.001273i,0.0019791-0.00063514i,0.001051-0.00064782i,-9.6758e-05-0.00074908i,-0.0017352-0.0004673i,-0.002074-0.00030785i,-0.0015313+0.00077111i,-0.0011918+0.0013323i,-9.459e-05+0.00076219i,0.00097607+0.00018252i,0.00068651-0.00041335i,-3.8577e-05-0.00043681i,0.00038389-0.00014142i,0.00054434+0.00020012i,0.00049461-9.2021e-05i,0.00038331-5.1619e-05i,0.00067677+5.7989e-05i,0.00058227-0.00021475i,-5.4123e-05-0.00012952i,-8.7769e-05-0.00014673i,9.1385e-05+0.00017734i,0.00017601+0.00079052i
0.0029167+0.0012894i,0.002886+0.0014244i,0.0029571-7.4453e-05i,0.0017976-0.001583i,-5.8605e-05-0.0011284i,-0.001387-0.00041863i,-0.0017459-3.4198e-05i,-0.0010737+0.00077817i,-0.00054369+0.0015857i,-8.3536e-06+0.0015066i,0.00052107+0.00098015i,0.00057581+0.00061005i,0.00056595+0.00063003i,0.0002152+0.00036974i,0.00021978+0.00031877i,0.00040481+0.00077904i,0.00042312+0.00091235i,0.00022825+0.00089528i,-0.00030809+0.00052955i,-0.00097992-0.00018107i,-0.00094892-0.00047991i,-0.00052507+0.0001279i,-0.00046118+0.00033863i
0.0017101+0.001739i,0.0013229+0.0014835i,0.0017811-0.00032406i,0.0020078-0.001637i,0.00123-0.001936i,0.00034092-0.0024067i,-0.00042021-0.0016564i,-0.0014576+0.00030554i,-0.00077598+0.0012841i,0.00058901+0.00078552i,0.00064814-0.00065139i,-5.566e-05-0.00074728i,-0.00072926-0.0002104i,-0.0011655-0.00090692i,-0.0012927-0.0014505i,-0.00074203-0.00031461i,4.2695e-05+0.00032444i,0.00066133+8.3655e-05i,0.00043776+0.00038608i,-0.00021393+0.00074661i,-0.00055006+0.00045705i,-0.00090926-0.00089931i,-0.00051172-0.0015531i
-0.0021027+0.00054516i,-0.0018606+0.0010804i,-0.00042685+0.0012201i,0.00021284+0.0010358i,0.00015826+0.00089749i,-0.00056824+0.0014205i,-0.0012227+0.0013079i,-0.0016197+0.00096302i,-0.0015507+0.0017995i,-0.0010359+0.0017485i,-0.00055761+0.00070271i,4.1937e-05+0.00010137i,0.00036446-5.8101e-06i,0.00031656-5.3384e-05i,0.00051067-0.00053156i,0.00044183-0.00081244i,9.3845e-05-0.00035624i,-0.00058005+0.00032727i,-0.00083305+0.00015769i,-1.6333e-05-0.00050095i,0.00068536-4.9503e-05i,0.00020779-0.00025901i,-1.5584e-05-0.00046372i
-0.00073895-0.0021341i,-0.0013581-0.0029303i,-0.00047062-0.0022117i,-0.00036288-0.00163i,-0.00036064-0.0013872i,-0.00028177-0.00049935i,-0.00055843+0.00065271i,-0.00070128+0.0015615i,-0.00075029+0.0014375i,-0.00024328+0.00092153i,0.00041408+0.00015352i,-3.4694e-05-0.00063673i,-0.00021648-0.00013836i,0.00019922+0.00050516i,0.00050668+1.6871e-05i,0.00051225+4.7871e-05i,0.00024661+0.00091789i,0.00015462+0.00076961i,-0.00012524-0.00014334i,-0.00027908-0.000679i,6.6987e-05-0.00046111i,0.00017214+0.00052901i,0.00090206+0.0010338i
0.0018376-0.0017917i,0.0030475-0.0011692i,0.002028-0.00087584i,0.00045568-0.001174i,-0.00044782-0.00092501i,-0.00088141-4.6529e-05i,-0.00036257+0.00063944i,-1.3024e-05+0.00059288i,-0.000378+0.00092701i,-0.00082436+0.00040625i,-0.0006524-0.00041603i,-0.0004578-0.00021864i,-0.00012252+0.00034847i,0.00036339+0.00064379i,0.00080132+0.00050613i,0.0011821+0.00022092i,0.0014732+7.4803e-05i,0.001104+0.00081585i,0.00079791+0.00047107i,0.00051658-0.00010933i,0.00018531-3.2321e-05i,-9.4165e-05+1.422e-05i,-5.6298e-05-1.1823e-05i
0.0011359+0.0016691i,0.0014213+0.0019102i,0.0012672+0.0016241i,0.0013523+0.00091344i,0.00051433-5.7769e-05i,-0.00051433+1.1036e-05i,-0.0007579+0.0002884i,-0.0013667+0.0010064i,-0.0019555+0.0020011i,-0.0013235+0.0014223i,-0.00071369+0.00053627i,-0.00063741+2.7568e-05i,-0.00054152-0.00047035i,-0.00080937-0.0003902i,-0.0006963+0.00021171i,0.0002384+0.00020391i,0.00038191+5.4266e-05i,9.9059e-06+0.00083017i,-9.9996e-05+0.00087715i,0.00043807+0.00086315i,0.00049743+0.00065105i,-0.0004608+0.00051506i,-0.001001+0.00070523i
-0.0014398+0.0013804i,-0.0018481+0.0014919i,-0.0014294+0.00069357i,-0.00020854+0.00022371i,0.00028305-0.00039861i,-0.000266-0.0012749i,-0.0012186-0.001067i,-0.0015456-3.1561e-05i,-0.0015236+0.00070943i,-0.0006523+0.00031171i,0.00047106-0.000379i,0.0003696-0.00062384i,0.00075417-0.00044993i,0.00064962-0.00022958i,0.00035938-0.00040168i,0.00043636-0.00086124i,0.00017053-0.00095177i,0.00012121-0.00045149i,0.00013282+6.8546e-05i,-6.3638e-05-3.2911e-06i,-0.00056198+0.00018172i,-0.00086123+0.0004659i,-0.00020844-0.00018895i
-0.0020349-0.0012869i,-0.0017472-0.00091587i,-0.0004075-0.00012932i,0.0013111-0.00032076i,0.0015727-0.00058542i,0.00084162-6.6209e-05i,0.00020207+0.00038856i,-0.00047017+0.00062916i,-0.00092244+0.00030108i,-0.00081222-0.00061258i,-0.00086371-0.001775i,-0.00022318-0.0013917i,-0.0002502-0.00012559i,-0.00039959-0.00046042i,-9.8011e-06-0.0010342i,-1.9076e-05-0.00055169i,-0.0003773+0.00082247i,-0.00023493+0.0017596i,-0.00028481+0.0014677i,-0.00045863+0.00046661i,-0.00052919-0.00046224i,-0.00076891-0.00034436i,-0.00019928+0.00035989i
0.0022217-0.0015983i,0.0014163-0.0018734i,0.00051884-0.0023901i,-0.00023028-0.0010467i,-0.0013244-0.00029268i,-0.0023928+0.00018521i,-0.0016223+0.00023425i,-0.0004998+0.00078854i,-0.0001484+0.001457i,0.00025816+0.00084001i,0.00042369-8.3022e-05i,0.00012505-0.00044021i,-0.00041416-2.137e-05i,0.00023414+0.00060749i,0.00094956+0.00045355i,0.0011429+0.00026156i,0.0011574-4.3234e-05i,0.0010311-8.3578e-05i,0.00067009+0.0010969i,9.8916e-05+0.00059827i,1.3405e-05-0.00044063i,0.00021391-0.00075154i,0.00023368-0.00015832i
0.00097449+0.00013801i,0.001545-0.00033848i,0.0014654-0.00034204i,0.0005764-0.00027221i,-0.00021113-0.00060711i,-0.00062419-0.00057646i,-0.0015482-0.0001217i,-0.0021687+0.0010597i,-0.0015379+0.0018158i,-0.00042645+0.0014353i,8.5113e-06+0.0010671i,-0.00016822+0.00075175i,-0.00051672+0.00027143i,-0.00024523-0.00032282i,-0.0002933-0.00024054i,-0.00015522+0.00081373i,0.00043826+0.0011619i,0.00072254+0.00050785i,-0.00024813+0.00015551i,-0.0010244+0.00024781i,0.00026181+0.00055618i,0.00061742+0.0007281i,-0.00066695+0.00085549i
0.00047619+0.0015885i,0.00084546+0.0011858i,0.0013284+0.00053247i,0.0023842-0.00024182i,0.0018491-0.0011428i,0.00078751-0.0013942i,-3.9221e-05-0.00025769i,-0.0011032+0.00060148i,-0.0012846+0.0006841i,-9.7026e-05+0.0010164i,0.00010576+0.0010192i,-0.00034514+0.00024617i,2.7665e-05+0.00049952i,-0.00022686+0.0010077i,-0.00036796+0.00063963i,-0.00017482+0.00016432i,0.00061299+0.00010235i,0.00070167-0.00010953i,0.00025165-0.00046405i,0.00038054-0.00053356i,0.00019118-0.00034521i,0.00077102-0.00015025i,0.00087278-0.00016132i
-0.0017327+0.00018594i,-0.0014598-0.0012728i,-0.00025622-0.0013817i,-5.2167e-05-0.0011327i,-0.00092238-0.00071782i,-0.00096575-0.00023424i,-0.00068377-0.00018218i,-0.0012069+0.00050132i,-0.0015295+0.0012365i,-0.0010165+0.00068109i,-0.00035639-0.00055132i,0.00019258-0.00083645i,0.00055278+0.0001074i,0.00016684+0.00027065i,-8.2643e-05-9.3615e-06i,-1.4737e-05-0.00015809i,-0.00079972-0.00043735i,-0.0012942+2.8246e-05i,-0.00095608+0.00037964i,-0.00092778+0.00017287i,-0.00017525-1.0678e-05i,0.00030205+0.000256i,-0.00043324+0.00054253i
0.00088562-0.0010424i,0.0010055+7.7071e-05i,0.0013943-9.4395e-05i,0.0018545-0.00096052i,0.001144-0.0015008i,-0.00042603-0.00036372i,-0.00088593+0.00087145i,-0.00080353+0.00086219i,-0.001071+0.0013225i,-0.00059751+0.001091i,0.00026061-7.315e-05i,0.00011829-0.00036071i,-0.00014056-0.00024273i,-4.1971e-05-0.00022707i,-9.4251e-05-0.00036295i,-0.00011199-0.00070149i,-0.00015063-0.0010225i,-0.00026188-0.00086418i,9.2323e-05-0.00027512i,0.00031206-0.00026101i,-0.00042687-0.00060217i,-9.1121e-05-0.00015824i,0.00049161+7.6466e-06i
0.0005865+0.0025967i,0.00049512+0.002725i,0.00085231+0.0028924i,0.00099209+0.0016067i,0.00098504-0.00038772i,-0.00021057-0.0011043i,-0.0017876-0.00025012i,-0.0017766+0.00056147i,-0.0014123+0.00084163i,-0.00068812+0.00070383i,0.00053085+1.1851e-05i,0.0004884-0.00039003i,-5.2324e-05-7.1347e-05i,-0.00029436+0.00046242i,-9.9967e-05+0.00084807i,6.1618e-05+0.00095052i,0.00015126+0.0014904i,-0.00017559+0.001444i,-0.00073532+0.00053208i,-0.0007516+3.6811e-05i,-0.00039981-0.0003313i,-0.00018604-0.00045699i,0.00035145-0.00015561i
0.00054587-0.00046217i,0.0011331+0.00040937i,0.001362+0.00012294i,0.00034599-0.00086332i,-0.00054145-0.0010556i,-0.00093622-0.00057834i,-0.0013826+0.00020056i,-0.0014693+0.0012399i,-0.00082207+0.0013002i,9.2195e-05+0.00099497i,0.00016555+0.00011157i,-0.00031092-0.00068747i,-0.00063831+0.00018198i,-0.0012165+0.00072003i,-0.00059296+0.00049145i,-8.7793e-06+0.00078377i,-0.00036999+0.0010167i,-0.00061372+0.0010086i,-0.00065068+0.00078527i,-0.00076328+0.00011714i,-0.00053618-0.00020893i,0.00016249-0.00057502i,0.00043021-0.00017621i
0.00012339+0.0011726i,0.00045865+0.00097844i,0.0012901+0.00074107i,0.0017086+0.00051253i,0.00081745-0.00033431i,-0.00033976-0.0014494i,-0.00069978-0.00048405i,-0.00090959+0.00048498i,-0.0013983+0.00059543i,-0.0010083+0.00033904i,-0.00034905-0.00011433i,-0.00081038+4.097e-05i,-0.00095629+0.00081354i,-0.00065048+0.00071759i,-0.000686+0.00027468i,-0.00037861+0.0002936i,0.00017069+0.0011545i,-1.5626e-05+0.0012695i,-0.00062049+1.4759e-05i,0.00020829-0.00039684i,0.00083222+0.0009533i,0.00061199+0.00097091i,0.00058157+0.0011612i
-0.0011535-0.0011198i,-0.00079442-0.0010798i,-0.00023531-0.00080443i,0.00043595-0.00041214i,0.00048678-7.7539e-05i,-0.0001305+0.00062186i,-0.00021466+0.0007917i,-0.00037341+0.0012657i,-0.00049312+0.0013454i,-0.00030733+0.00012968i,-0.00061322-0.00066332i,-0.00082138-0.00019105i,-0.000748+0.00072367i,-0.00061442+0.0004579i,-0.00037942-0.00066418i,0.00092101-0.0010032i,0.00097947-0.00070425i,0.00085513+6.9199e-05i,0.00088404+0.00052854i,0.00019425+0.00046561i,-0.00041097+0.00016436i,-0.00048857+0.00031158i,-0.00013042+0.00012912i
0.0012836-1.7993e-05i,0.0013636+0.00023542i,0.0011387-0.00032464i,0.00056249-0.0019435i,0.00071533-0.002628i,0.00026333-0.0020989i,-0.00038457-0.00052832i,-0.00043391+0.0010435i,-0.00055705+0.0018917i,2.7786e-05+0.0013424i,0.00053372+0.00031209i,0.00023302-0.00019958i,0.00060417-5.448e-05i,0.00050269+0.00033558i,-0.00041005-6.255e-05i,-0.00074301-0.00023521i,-0.00050436+0.00033361i,-0.00025055+0.00041048i,5.3759e-05+0.00013326i,0.00013714+0.00026707i,-0.00041875+2.8049e-05i,-0.00028649-0.00045439i,6.8149e-05-0.00029915i
-0.0015513-0.001717i,-0.00099325-0.0015906i,-0.0012467+0.00013609i,-0.00097644+0.0020247i,-0.00031324+0.0022603i,0.00089396+0.0019302i,0.00065481+0.0010724i,-0.0012115+0.00061905i,-0.0017883+0.00070837i,-0.00067586+0.00028156i,0.00017543-0.00031102i,0.00052296-0.00068741i,0.00047195-7.6482e-06i,-0.00037409+0.00024685i,-0.00062871-0.0001304i,-0.00055458-0.00030947i,-0.00048507-0.00042413i,-0.00050002+0.00030052i,-0.00060224+0.00059855i,0.00032364-0.00057225i,0.00081092-0.0011807i,0.00045905-0.00063064i,-0.00021422-0.0003615i
0.00012656-0.0007394i,0.00016295-0.00062247i,0.00045485-0.00025031i,1.926e-05+0.00011102i,-0.0002088+0.00045989i,-0.00043295+0.0011518i,-0.00024595+0.00098725i,-0.00049231+0.0013982i,-0.00069606+0.00097612i,-0.00023086+5.8561e-05i,0.00045625-0.00064451i,-7.9916e-06-0.00022398i,-0.00030579-0.00031671i,0.00039147-0.00093782i,0.00055842-0.00053504i,0.00028943-8.1374e-05i,0.00051955+0.00047518i,0.00025612+0.00086999i,3.2632e-05+0.00032076i,0.00026086-0.00069843i,0.00033262-0.00063483i,5.823e-06-8.1668e-05i,0.00052934-0.00021265i
-8.2932e-05+0.0017556i,-2.7579e-05+0.00064602i,0.0010613-5.9129e-05i,0.0010236-0.00095954i,-0.00047668-0.0019433i,-0.00086184-0.0014065i,-0.0011543+0.00054619i,-0.0013735+0.0011488i,-0.00092053+0.00086379i,0.00028934+0.00074071i,0.0011536+0.00022674i,0.00048543-0.00012267i,-0.00012621+0.00057186i,2.6644e-05+0.00086348i,-1.4391e-05+0.0006809i,-0.00066295+0.00079403i,-0.00060308+0.00031991i,-0.00041442-0.0002836i,-0.00027836-0.00038755i,0.00036381+8.9814e-05i,0.00066733+0.0004616i,0.00035549+0.00026378i,0.00034983+0.00010045i
-0.0010047-9.2076e-05i,0.00025416+0.00014614i,0.00030564+0.00072385i,8.9273e-05+0.0005401i,0.00025113+0.00044292i,-2.0525e-05+0.00045279i,-0.0001904+0.0001674i,-0.0011355+0.0010089i,-0.0011884+0.0017099i,-0.00023831+0.001284i,-0.00035426+0.00057858i,-0.00068831+1.6304e-05i,-0.00012457+0.00026639i,0.00053044+0.00090299i,0.00013589+0.00032579i,4.8952e-05-0.00021492i,0.00047472-3.906e-05i,0.00098077-8.802e-05i,0.00066788+7.7586e-05i,3.8079e-05-8.4169e-05i,-0.00029125-0.00055344i,-0.00093245-0.00041246i,-0.00078138-0.00027186i
