0.0005676-0.001222i,-0.0011154-0.0011343i,-0.0018523-0.0014626i,-0.00081689-0.00044639i,0.00063118+0.00015934i,0.00084129-4.8305e-05i,0.0001504+0.00037357i,0.0003086+0.0009531i,0.00018708+0.00013703i,-0.00045628-0.00064273i,-0.0016103-0.00042047i,-0.0019181-0.00054061i,-0.00044207+0.00025582i,0.0010001-0.00024237i,0.0012731-0.001474i,0.0010345-0.001262i,0.00043523-0.0007671i,3.5379e-05-0.00049388i,0.00011737-0.00031569i,-0.00010867+4.2338e-05i,-0.00010487+0.00044251i,0.00032691+0.0003078i,0.00053576-0.00041299i
0.0012828-0.00079872i,0.00069444-0.00026773i,-0.00030323-7.7945e-05i,0.00053427+0.0014114i,0.0017645+0.00073501i,0.001713-0.00091054i,0.00088522-0.00064188i,-0.00036206+0.00038643i,-0.00049209+0.00053886i,-0.00017488-0.00051291i,-0.00032916-0.00053933i,-0.00056042-0.00033921i,-0.00048232-0.00012356i,0.00081369+0.00034612i,0.00095241+0.00020072i,0.00016645-7.643e-05i,-0.00017381-8.9044e-05i,-0.00032724-8.504e-05i,-0.0001688+0.00017047i,0.00056551+0.00057994i,0.00065787+0.00048618i,-7.1171e-05+0.00063844i,-0.00010921+0.00057958i
0.001145+0.00015175i,0.00077936-0.00013994i,0.00095774-0.0013966i,0.00092506-0.00049439i,0.00040093-0.00018883i,0.000125-0.00099392i,-0.00025574-0.00088428i,-0.00038839-0.0010418i,-4.7844e-05-0.00080801i,0.0002465-0.00047947i,0.00048372-6.882e-05i,0.00026242+0.00062597i,-0.00062729+0.00015503i,-0.00081518-0.0005679i,-0.00051226+7.7917e-05i,-0.00050001+4.2666e-06i,-0.00025952-0.00068232i,0.00064616-0.00024597i,0.0004577+0.00066738i,2.0913e-05+0.00060596i,0.00088026+0.00024045i,0.0005191-0.00025175i,0.00024287-9.0247e-05i
-0.0013936+0.0014222i,-0.00019824+0.0013846i,0.00040503+0.0015737i,0.00075263+0.0012463i,0.0016587+0.00064541i,0.0020642+0.00058343i,0.0016465-0.00022494i,0.00083795-0.00028098i,0.00037528+2.1418e-05i,0.00068029-0.00041115i,0.00097974+2.8862e-05i,0.00084555+0.00084236i,0.00073815+0.0010018i,0.0009024+7.0794e-05i,0.00075183-0.00038874i,-0.00035893-0.00031934i,-0.00084656-6.8435e-05i,-0.00030431+0.00029299i,-0.00014415+0.00027086i,-0.00029523+0.00025768i,6.1205e-05+0.00016422i,0.00016807+6.6907e-05i,0.00043617+0.00018891i
-0.00039168-3.7766e-05i,-0.00035359-0.00083799i,-0.0015041+7.9698e-05i,-0.0010059+0.00022017i,0.0010837-0.0010476i,0.00098157-0.0011757i,4.3433e-05-0.0010818i,0.00014784-0.00039243i,0.00038995+0.00016217i,-7.5817e-05-0.00016662i,-0.00056135-0.00048999i,-0.00095047-0.00063926i,-0.00080265-0.00027241i,0.00016633-0.0002314i,0.00016383-0.00099229i,-0.00064138-0.0011293i,-0.00012691-0.00091103i,0.00060194-0.00077557i,0.0001083+0.00016896i,7.9608e-05+0.00040827i,0.00052238-2.5867e-05i,7.856e-05-8.8684e-07i,-8.0382e-05-0.00023733i
0.002453-0.001712i,0.00060953-0.0011619i,-0.00032327-0.0016128i,0.0001223-0.00065908i,0.00095824-0.00012429i,0.00075897-4.4972e-05i,-0.00024376-0.00010473i,-0.00034817-0.00011624i,-0.00024153-0.00044887i,-0.0003828-0.0010562i,-0.00047755-0.00046597i,-0.00077645+0.00077282i,-0.00063274+0.0004214i,0.00016341-0.0004183i,0.00025135+2.0473e-05i,-0.00024056-5.3609e-05i,-0.00017432-0.00076252i,0.00026373-0.00060162i,0.00011198-0.00010511i,0.0010622+0.00038145i,0.0018035+0.00062627i,0.00073506+0.00064982i,4.1211e-05+0.00041013i
0.0018163-0.001465i,0.0012863-0.00022483i,-0.0011306-0.00056885i,-0.0012814-0.0010612i,1.0118e-06-0.00036625i,0.00016799-0.00041091i,-8.6663e-05-0.00024795i,0.0001661+0.00021606i,0.0011977-0.00068479i,0.00040564-0.0019265i,-0.00056898-0.0018002i,-0.00011907-0.00043668i,9.8377e-05+0.0006741i,7.3011e-05+0.00043294i,-0.0002906-0.00048281i,-0.00057235-0.00076969i,-0.00015806-0.00057218i,-0.00010498-9.5319e-05i,-0.00019645+0.00048644i,0.00026713+0.00012435i,0.00059401-0.00050916i,0.00038449-0.00039432i,4.6156e-05-0.00067949i
-0.0015359-0.0027587i,-0.0016684-0.0019956i,-0.0021631-0.00012347i,-0.0018482+0.0014887i,-0.00067118+0.0013057i,-0.00036296+0.00025932i,-0.0010243-0.0011778i,-0.00032069-0.0016168i,0.00051024-0.0013294i,-0.00081258-0.00047357i,-0.0016801-0.0003028i,-0.0004321-0.00054382i,0.00039495-0.00034944i,0.00033867-0.00012179i,-0.00014407-0.0004819i,-0.00077367-0.00073539i,-0.00095545-0.00022327i,-0.00070952+0.000192i,-0.00047197+0.00078842i,-0.00017885+0.0012881i,-0.00049937+0.00055925i,-0.00016528-5.4694e-05i,0.00047085+0.00028306i
0.0017702+0.00010805i,0.00094504-0.00015868i,0.0011518-0.0010795i,0.0011875-0.00075011i,0.00075201-0.00084192i,-4.4524e-05-0.0014426i,-0.00064501-0.00069104i,-0.00040723+0.0003413i,0.00025933-0.00024022i,-0.00029922-0.0016131i,-0.00088406-0.001115i,-0.00070373+0.00033217i,-0.00018895+0.0010603i,2.7712e-05+0.00080495i,-0.00019498-3.0468e-06i,0.00015351+6.7534e-05i,3.7649e-05+0.00079807i,-0.00064483+0.0015216i,-0.00094867+0.0011506i,2.4755e-05+0.00048974i,0.00053383+0.00032482i,-0.0002668-4.9908e-05i,-0.00032698-0.00047602i
0.0013369-0.0034343i,-0.00044845-0.0031273i,-0.0017303-0.0032758i,-0.0016076-0.0020619i,-0.0005108-0.00067878i,-0.00057088-0.00010955i,-0.00072726-0.00023996i,0.00041752-0.00052781i,0.00083851-0.00016014i,-0.0011356+0.00060229i,-0.0026334+7.4748e-05i,-0.0018211-0.00032875i,-0.00042826-0.00021438i,0.00079167-0.00023341i,0.00089686-0.00089999i,0.0004947-0.00065118i,-4.8572e-05-9.397e-05i,-0.00089542-0.00037121i,-0.00058892-0.0003748i,8.8946e-05-0.00022423i,-0.00019123-0.00048905i,-0.00023284-0.00058557i,0.00016603-0.00035665i
