-0.001969+0.00076107i,-0.001214+0.0015246i,-0.0021083+0.002861i,-0.0019136+0.003121i,-0.00081694+0.0039569i,-0.00036519+0.0029973i,-0.00015828+0.00083893i,0.00034327+0.00058656i,0.00060388+0.00080552i,0.00092498+0.00098451i,0.0012194-0.00022773i,0.001203-0.0012942i,-7.3404e-06-0.0012551i,-0.0010086-0.0010623i,-0.0010742-0.000658i,-0.00058648-0.00035297i,0.00020872+6.2339e-05i,0.00070522-5.0171e-05i,0.00052807+3.1423e-05i,-0.00036476+0.00021962i,-0.00061508-0.00024003i,-0.0003042+0.00023091i,-6.9946e-06+0.00028289i
-0.0021746-0.00055599i,-0.0018668+0.00054584i,-0.0021161+0.002218i,-0.0016055+0.0028255i,-0.00018942+0.0022346i,0.00072667+0.0010523i,0.00031879-0.00014014i,-0.00010859-0.00064047i,-0.00016698-0.00044861i,-0.00041248+8.6261e-05i,-0.00057894-6.768e-05i,-9.4742e-05-5.1157e-05i,6.9802e-05+0.00017118i,-0.00044824-0.00067293i,-0.0013552-0.001127i,-0.0013506-0.00095324i,-0.00015772-8.8672e-05i,0.00064648+0.00081818i,-5.3349e-05+0.00060631i,-0.00034413+0.00031194i,-0.00033451+0.00051669i,-0.00048569+0.00046692i,-8.7573e-05+9.4896e-05i
-0.00081407-0.00032871i,0.0011147-0.00096864i,0.0022683-0.00038268i,0.00071184-0.00017135i,-0.00064466-0.00091801i,-0.00063484-0.00065364i,-0.00063852-3.7645e-05i,-0.0011923-0.00032759i,-0.0011997-0.00069242i,-0.00030621-0.00073006i,0.00044286-0.00024601i,0.00042585+0.00023211i,0.00065945+2.5961e-05i,0.00080798-0.00012443i,5.9004e-05-9.3506e-06i,-0.00061006+0.00060287i,5.0026e-05+0.0013003i,9.3293e-05+0.0014646i,-0.0003749+0.00057197i,-2.9568e-05-3.5194e-05i,0.00013252-0.00027582i,-3.3975e-06-0.00062494i,-0.00046024-0.00068981i
-0.0005345-0.0013208i,-0.0014253-0.0015562i,-0.0018032-0.0012917i,-0.0011002-8.3106e-05i,-0.00055387+0.00016807i,-0.00059208-3.3905e-05i,-0.00042049+0.00044508i,-8.9958e-05+0.0005771i,-0.00025752+0.00015802i,-0.0005458+0.00044673i,-0.00066014+0.00042856i,-0.00072242-0.00033952i,-0.00064157+2.2552e-05i,6.2572e-05+9.9509e-05i,0.00075444-0.00023027i,0.00014329-4.0092e-05i,-0.0011029+0.00070057i,-0.00091528+0.00059728i,-0.00062071-0.00093671i,-0.0010308-0.0010409i,-0.00091244-0.00041362i,-0.00036199-0.00018178i,0.00011717-0.0001482i
-0.0011983+0.00080248i,-8.3379e-06+0.0011581i,0.00020305+0.0016415i,-0.0001424+0.0021544i,0.00062686+0.0020048i,0.00085843+0.0004875i,0.00052089-0.00039976i,-0.00013288-0.00036627i,-0.0005135-0.00031298i,-0.00027333+0.00025485i,0.00016831+0.00088441i,-3.5316e-06+0.00038765i,-0.00043349-0.00075318i,-0.0006648-0.00072624i,-0.00020721-0.00026826i,0.000578-0.00024952i,0.00043893-0.00049165i,0.00011206+1.9124e-05i,0.00022545+0.00036284i,0.00046064+0.00067626i,0.00011155+0.00065164i,0.000538+0.00030975i,0.00071316+7.7511e-05i
0.00044541+0.00051235i,0.00097175+0.00098521i,0.0010311+0.00043621i,0.00052236-0.0012332i,-7.6919e-05-0.0013969i,-0.00017063-0.0003537i,-0.00014709+0.00059212i,-0.00023746+0.00035037i,-7.0908e-05-0.0003516i,-0.00051752-0.000439i,-0.0010602-0.00010021i,-0.00089751+0.00035735i,8.1432e-05+0.0005123i,0.0003307+8.2937e-05i,0.00010376+0.00012005i,8.2556e-05+0.00043481i,0.00020679-0.00040378i,0.00024467-0.00081039i,-0.00034297+4.5993e-05i,-0.0011569+0.00047353i,-0.00083061-0.00013656i,-0.00022758-0.00058652i,0.00012151-0.00010664i
1.3257e-05-7.5268e-05i,0.00015413-0.00074796i,8.9837e-05-0.0010369i,-0.00022814-0.0010808i,-0.00082314-0.0006678i,-0.0011519+1.231e-05i,-0.00053332+2.3966e-05i,-6.2147e-07-0.00049278i,0.00024293-0.00036434i,0.00047182+0.00040323i,-0.00010415+0.00062586i,-0.00088127+5.2787e-06i,-0.00072875-0.0009283i,-0.00086551-0.00076302i,-0.00082337+0.0001275i,-0.00062068-0.00010609i,-0.00056223+4.9486e-05i,0.00058031+0.00013149i,0.0011277+0.00032614i,0.00064727+0.00060736i,0.0001678+0.00030442i,-0.00019457-0.00013219i,-0.00032218-4.4764e-05i
-0.0015107+0.0014998i,-0.00064301+0.0017981i,-2.7317e-05+0.0017139i,0.00027041+0.00055132i,0.00070334+0.00013127i,0.0003733+7.3347e-05i,-0.00025021+1.9781e-05i,-0.0001746-0.00048886i,-0.0005001-0.00085804i,-0.00088211-0.00054787i,-0.0011219-0.00056655i,-0.0013097-0.0003692i,-0.0010996-0.00012725i,-0.00073171+6.1799e-05i,-0.00063162+0.00036626i,-0.00032175-0.00010269i,0.00030017-0.00030243i,0.00037322+0.00027813i,-4.0544e-05+0.00038375i,-0.00017231-5.9281e-05i,-0.00020042+0.00019747i,0.00026764+0.00081832i,0.00067072+0.0009662i
-0.0010911-0.0011848i,7.6062e-05-0.0010559i,0.0013576-0.001627i,0.0011584-0.0014331i,0.00019122+0.00038006i,-0.00028303+0.0010528i,0.00015447+0.00053918i,3.0644e-05+0.00030157i,-0.00031399+0.00069027i,0.0001858+0.00034063i,0.00044056-0.00053402i,0.00042464-0.0003904i,0.00085107+0.00015582i,0.001134+0.00046038i,0.00035791+0.00012365i,0.00017011-0.00025356i,0.00039782-0.00012391i,0.00055688+0.00037741i,0.00079204+0.00097367i,0.0005706+0.00065224i,0.00029358-4.5805e-05i,0.00024958-0.00069196i,0.00029187-0.0011052i
0.00064925-0.00035326i,-0.00010989-0.00061793i,-0.00075526-0.0010875i,0.00075643-0.0015919i,0.0010071-0.001532i,-0.0010128-0.00064498i,-0.0013627-0.00018671i,-6.2842e-05-0.00013851i,0.0011467-0.00017891i,0.0010006-0.00012442i,0.00051204-0.00020386i,3.9034e-05-0.00015706i,-0.0001581-0.00020458i,0.00012717+9.2743e-05i,-7.379e-05-0.00010745i,5.0067e-05-9.9313e-05i,0.00041305-0.00012065i,0.00043273-4.4224e-05i,0.0007432+0.00061241i,0.00031201+0.00046311i,-0.00017925+0.00015782i,-0.00063822+0.00020415i,-0.00034823-1.7204e-05i
0.0011644+0.00091889i,0.00091049-0.00026046i,0.0011288-0.00082554i,0.00050081-0.00064867i,8.1005e-06-0.00096546i,6.2635e-05-0.00028303i,-0.00020223+0.00045301i,-0.00053618-0.00017205i,8.6599e-05-0.0008756i,0.00072452-0.00067934i,-4.5855e-05-0.00061107i,-0.00076693-0.00033106i,-0.001086-9.0768e-05i,-0.0013162-0.00010308i,-0.00093466+0.0002624i,-0.00014757+0.00054595i,0.00037268+0.00055749i,0.00016273-6.5211e-05i,-6.5411e-05-0.00041953i,-0.00048003+0.0001289i,-0.00087095+0.00035722i,-0.00015948+0.00017823i,0.00052809+4.4898e-05i
-0.00058103+0.00023937i,-0.0002275+0.0010138i,-0.0010068+0.00084902i,-0.00093802+1.8307e-05i,0.00042184+0.00068737i,0.0014015+0.00072183i,0.0011291+0.00041595i,0.00040029+5.2983e-05i,0.00037935-0.00043313i,0.00046332-0.00039976i,5.0458e-05-0.00012579i,-0.00018215+0.00024365i,0.00021595+9.5144e-05i,0.00014569-0.0009584i,-5.591e-05-0.00075582i,5.8584e-05-0.00043617i,0.00030124-0.00026571i,0.00078932-0.00010761i,0.0006353-0.00020838i,0.00044241+0.00010042i,0.00093347-7.6499e-06i,0.00095692-0.00090258i,0.00087841-0.00083244i
0.00083525+0.00060816i,0.00045979+0.0011283i,0.00078731+0.0005174i,0.0011948-0.00012544i,0.0010375-0.00046162i,-5.2027e-05-0.00056858i,-0.00028439-0.00086904i,-0.0001382-0.00070842i,0.00011307-0.00045722i,0.0005002-0.00010505i,0.00054784+0.00017423i,0.00080684+2.5268e-05i,0.00066619+3.7692e-05i,-0.0001006+0.00027423i,-0.00054925+0.00070032i,8.0343e-05-0.00014929i,0.00063354-0.00043955i,0.00034678+6.7897e-05i,3.135e-05+0.00026441i,-0.00014087+0.00057993i,0.00049743+0.00045033i,0.00022143-0.00010357i,-0.00079973-0.00056815i
0.00044684+0.00078563i,-0.00010717+0.0010664i,0.00058166+0.0010666i,0.00055198-5.6912e-05i,-0.00010187-0.00043859i,-0.00070483-0.00028023i,-0.00059467-0.00062085i,-8.0404e-05-0.00073198i,-7.4954e-05-0.00073508i,0.00060121-0.00042355i,0.0004913+0.00016833i,-0.00033007+0.00015873i,-0.00019898-0.00017742i,7.119e-05-0.00036411i,-0.00026538-0.00019427i,-0.00050908-0.00092354i,-0.00048221-0.0013854i,-7.7384e-05-0.00064667i,0.00047871-0.00047332i,0.00024736-0.00063463i,0.00020077-0.00024011i,0.00012476-5.6009e-05i,-0.00014001+0.00019461i
-0.0013319+0.00042907i,-0.0010771+0.00075689i,-0.00076583+0.00098684i,0.000396+0.001623i,0.00086459+0.0018122i,0.00069387+0.00075997i,0.00076414+0.00047983i,0.00016486-0.00033067i,0.00014583-0.00094254i,0.00021389-0.00045012i,-0.00013737+8.0826e-05i,0.00034931-0.00043462i,0.00068214-0.0012688i,0.00084103-0.00066648i,0.00091752+2.7749e-06i,2.1499e-05-0.00034925i,-0.00064347-0.00047146i,-0.00019637-0.00061691i,6.7801e-05-0.00032028i,-0.00043154+0.00016561i,-0.00035373-0.00035895i,0.00030562-0.00051491i,0.00046974+8.5445e-05i
-0.0011087-0.00046373i,-0.0010116+0.00038017i,-0.0017032+0.001422i,-0.0012814+0.0014127i,-0.00059082+0.00098044i,0.00044299+0.0011325i,0.00078851+0.00077498i,-9.2941e-05-0.0005554i,-1.0127e-05-0.0010383i,0.00090101-0.00091317i,0.00073451-0.00060344i,-0.00032861-0.00045863i,-0.00038529-0.00076798i,-0.00025065-0.0010197i,-1.0071e-06-0.00044378i,-0.00045095+0.00047281i,-0.00073157+0.00015512i,-0.001083+0.00027414i,-0.0016444+0.00022775i,-0.0014616-0.00021352i,-0.00042998+0.00017362i,-0.00033916+0.00016172i,-0.00057476-8.943e-05i
-0.0012466+0.0010168i,-0.0011662+0.0004568i,-0.000385+5.6714e-05i,0.00063401+0.001115i,0.001013+0.00221i,0.0010152+0.0020118i,0.00021019+0.0011566i,-0.00068574+0.00062007i,-0.00054663+0.00060886i,0.00010527+0.00039109i,0.00098686-0.00038725i,0.00077992-0.0010197i,-0.00026141-0.00044654i,-0.00076722+0.00081226i,-0.00053386+0.00031636i,-2.5765e-05+0.00030373i,5.2652e-05+0.00070759i,7.5049e-05+0.00020825i,-0.00028867-4.2971e-05i,-0.00094256-0.00017003i,-0.00094127-0.0001452i,-0.00064506-0.00032465i,-0.0002163-0.00050038i
-0.00091616+0.0005402i,-0.00086922+0.00084758i,-0.00025204+0.0010026i,0.00042237+0.00079424i,0.0014427+0.00036406i,0.00055052-8.6969e-05i,-0.0011183-0.00052118i,-0.0011907-0.00048459i,-4.0966e-05-5.8017e-05i,-0.00025735-0.00010614i,-0.00047851-0.00030667i,3.3288e-05+0.0001485i,-0.00017224+0.00064088i,-0.00016168+0.00099103i,-0.0003201+0.00015292i,-0.00023282-0.00049938i,-9.1575e-05+0.00038031i,0.00011436+0.00086888i,4.7044e-05+0.00034705i,-0.00040598-0.00018918i,-0.000331-0.00034455i,-0.00013567-0.00011982i,-4.031e-05-0.00072309i
-0.0020643-0.00040666i,-0.0017542+0.0003596i,-0.0018026+0.0011114i,-0.0024654+0.00049464i,-0.0022143+0.00016794i,-0.00033835+0.00083532i,0.0010594+0.00071201i,0.0012138+0.00040472i,0.00064346+0.00035346i,-0.0002308-0.00018954i,-0.00012728-0.00027101i,0.00029578+6.976e-06i,-9.7849e-05-0.00031107i,0.0004835-0.00094995i,0.00082627-0.00078991i,3.0143e-05-0.00021343i,-0.00055148+9.7568e-05i,-0.00062989+0.001077i,-0.00020439+0.0013153i,0.00098282+0.00075379i,0.00077999+0.00092286i,-0.00043836+0.00093644i,-8.6221e-05-0.00040942i
0.00056762-0.00056181i,0.00017051-0.00013195i,0.00075101+8.7987e-06i,0.00095352+6.3659e-05i,0.00055981+0.00011991i,0.00046189+0.00036843i,0.00066663+0.00075164i,0.00062873+0.00052374i,0.00086967+0.00024645i,0.00025827-0.00024368i,-0.00075083-0.00075332i,-0.00091984-0.00055925i,-0.00059947-1.1308e-05i,-0.00013137+9.0682e-05i,0.00013635-0.00047483i,0.00071785-0.0004827i,0.00057185-0.0001976i,0.00023645+0.00025251i,0.00036205+0.00031068i,0.00041741-5.2196e-05i,0.00031283+0.00012638i,-0.00025307+3.0063e-07i,2.3817e-06-0.00053413i
-0.00064327-0.00021639i,-0.00029917+0.00046853i,-0.00041239+0.0014015i,-0.0012466+0.0014736i,-0.0017863+0.0012688i,-0.001392+0.0010089i,-0.00060744+0.0010961i,-0.00048601+0.0013106i,-0.00033117+0.0010946i,-0.00028118+0.00043394i,-0.00029786-0.00020311i,-0.00026111-0.0001448i,-0.00074919+0.00023189i,-0.00031769-6.4318e-05i,0.00034708-0.00016165i,0.00040434+0.00059294i,-0.0003269+0.00050279i,-0.0002041-1.3867e-05i,0.00080069+0.00016734i,0.00036416+0.00034686i,-0.00080386+0.00049369i,-0.0010424+0.00032631i,-0.00070219+0.00018778i
-0.00046503+0.00054204i,-0.0010267+0.00066357i,0.00027067+0.00035906i,0.0013941+0.00018782i,0.00094446-0.00015027i,-0.00045019-0.00017137i,-0.00062204+0.00010716i,-7.8461e-06+0.00035066i,0.00039472+6.4642e-05i,0.00063124-0.00091682i,0.00017135-0.00080148i,-0.00024676-0.00030964i,4.2239e-05+0.00011492i,0.00010186+0.00037059i,-0.00035231-0.00039172i,-0.00070815-0.00076305i,-0.00057311-0.00080992i,-0.00027793-0.00051447i,-0.00037721+5.0712e-05i,-0.00030758+0.00020578i,-8.4667e-05-0.0004097i,-0.00034284-0.00065312i,-0.00082348-0.00042726i
-0.0010602-0.00096495i,-0.0010096-0.00066889i,0.00034925-0.00043314i,0.00049142-0.00099139i,-0.00082334-0.0014041i,-0.00098617-0.00061656i,-9.7351e-05-4.3872e-05i,-0.00045412-0.00013632i,-0.00086812-0.0007188i,-0.00023707-0.0012019i,-5.6023e-05-0.00071792i,-0.00032797+0.00045469i,-0.00061987+0.00028329i,-0.00028772-9.8298e-06i,-0.00024521-0.00016274i,-0.00033673-0.00029988i,1.7264e-05+4.6532e-05i,0.00034304+0.00042229i,0.00044573+0.00016279i,0.00032281-0.00014551i,-0.00015639+0.00036005i,-0.00076997+0.00076474i,-0.00078577+0.0003229i
-0.00077407+0.00015929i,-0.00045194+3.6487e-05i,-0.00017385+0.0006481i,-3.3008e-06+0.0010078i,0.00010692+0.00070643i,4.5391e-05+0.0006496i,-0.00021383+0.00043592i,-0.00050857-0.00036455i,-0.00047648-0.00051038i,-0.0006004-2.6479e-05i,-0.0003203+4.0591e-05i,0.00046075-3.3373e-05i,0.00076566-0.00028209i,0.0006644-0.00021579i,-0.00023259-3.7567e-05i,-0.0014578-0.00023349i,-0.00072922-6.6148e-06i,0.00072874-4.0442e-05i,0.0012086-0.00024364i,0.0007398-0.00013351i,0.00060123-0.00033581i,0.0011244+4.5011e-06i,0.00090833+0.00048426i
-0.00055936-0.00034004i,-0.00096056+0.0011632i,-0.0018079+0.0014581i,-0.0021776+0.0015576i,-0.0018879+0.0027756i,-0.00017834+0.0030531i,0.00082322+0.0013403i,0.00040793-0.00029634i,0.00022163-0.00042193i,0.00058046-5.5562e-05i,0.00055268-0.00028756i,0.00047466+0.00017927i,8.359e-05+0.00076465i,-0.00055643-3.0502e-05i,-0.0007942-0.00037793i,-0.00076482+7.873e-05i,-0.00091366-0.00043932i,-0.00072593-0.00053261i,-0.00065305-0.00083035i,-0.00028354-0.0012618i,-0.00029799-0.001074i,-7.9602e-06-0.00066489i,4.5055e-05-0.00069499i
0.00078466-0.0010361i,-0.00059523-0.0014422i,-0.0016221-0.0028718i,-0.0015647-0.0032122i,-0.0011531-0.0017238i,-0.0018391-0.00043303i,-0.0011039-0.00040161i,9.5177e-05-0.00027999i,3.6707e-05+8.8385e-05i,-6.8172e-05+0.00014164i,0.00028866+8.3838e-05i,0.00047948+3.6815e-05i,0.00014631-0.00026805i,0.00091018-0.00034012i,0.00092188+0.00045987i,-0.00027392+9.8825e-05i,-0.00037491-0.00064901i,0.00021889+7.2403e-05i,0.00085399+0.00063814i,0.00071508+0.00044955i,0.00011939+0.00030318i,-0.00040597+0.00047092i,-0.00094127+0.00042574i
-0.0013772-0.00038457i,-0.0012358+0.00030834i,-0.0011177+0.00055868i,-0.0013116+0.0010183i,-0.0019353+0.0015466i,-0.0012823+0.0013594i,-0.0007747+0.00060718i,-0.0011542+0.00012215i,-0.00089918+3.0731e-05i,3.2216e-05+0.00072632i,0.00032947+0.00087135i,0.00056452+0.00087807i,7.4876e-05+0.00015953i,-0.00080594-0.00071487i,-0.00052741-0.00082464i,0.00019285-0.00038905i,9.73e-05+6.0989e-05i,-0.00011905-2.6458e-05i,0.00013274+0.00028939i,-8.8046e-06-4.2976e-05i,0.00013809-0.00050201i,0.00047674+0.000369i,0.00031239+0.00098543i
-0.0013488+0.0005824i,-0.0017263+0.00076825i,-0.0019702+0.0010827i,-0.00050672+0.00079322i,0.0011546+0.00025089i,0.0011546-0.0007502i,0.00013593-0.0015431i,-0.00019859-0.0013279i,-1.2262e-05-0.00013797i,0.00010755+0.00070803i,0.00061256+0.00066156i,0.00035426+0.00032796i,-0.00058932+0.00015019i,-0.00094241+0.0004836i,-0.00090846+3.6323e-05i,-0.00086086-0.0011976i,-0.0013161-0.00064268i,-0.00053368+1.4563e-05i,0.00072576-0.00060817i,0.00054824-0.00060716i,7.3256e-05-0.00064948i,0.00037974-0.00029755i,0.00079586+9.449e-06i
0.00021103+0.0019865i,0.00038029+0.0022379i,0.0015703+0.0021297i,0.0024691+0.0014659i,0.0019006+0.0009612i,0.0011156+0.00011008i,0.00061914-0.00058222i,-8.3955e-05-0.00017937i,-0.00084084+0.00045649i,-0.0002717+0.00028531i,0.00058627+4.4691e-05i,0.00027603-0.00019838i,-0.00031992-0.00017447i,-0.00099112+0.00025739i,-0.0011308-0.00045387i,-0.00085769-0.00089219i,-3.8046e-05+0.00025947i,0.00073756+0.0012339i,0.00079956+0.0010052i,0.00080112+0.00090525i,0.00018587+0.00036986i,-0.00028956-6.3213e-05i,0.000213-0.00024091i
-0.00062606+0.0018321i,-0.00077704+0.0010589i,-0.00053614+0.00027187i,0.00049126-0.00021609i,0.0010444-0.00057053i,0.00060275-0.00031137i,2.538e-05-0.00055486i,-3.9131e-05-0.0010849i,-0.00014038-0.00042689i,-0.0001223+0.00036618i,-2.5024e-05+0.00077911i,-0.00034138+0.0013075i,-0.00024084+0.00081915i,6.6394e-05+0.00039692i,-0.00035517+8.62e-05i,-0.00057566-0.0003126i,-0.00038019-0.00036521i,0.00014084-0.00024478i,0.00053913-0.0001923i,0.00057228+0.00052259i,0.00035425+0.0010399i,0.00011046+0.00029804i,0.00018122-0.00010817i
-0.00047733+0.00093056i,-0.00056066+0.0010459i,-0.00017388+0.00025188i,-0.000332-0.0006805i,-0.0012087-0.0016278i,-0.00096097-0.0011714i,-0.00072644-0.0002047i,-0.00046731-0.00090408i,-0.00019432-0.00095591i,-0.00050303-0.00057392i,-0.00057103+2.5139e-05i,-0.00012589-0.00016244i,0.00043762-0.00035724i,0.00044158+0.00027629i,-0.00030358+0.00015346i,-0.0006565+0.0010115i,-0.0002202+0.0018872i,3.4989e-05+0.0011836i,9.3259e-05-8.9077e-06i,0.00054642-0.00042446i,0.00080754-0.00041523i,0.00091585-0.00050356i,0.00069567+0.00010079i
-0.0011068-0.0018279i,-0.0010765-0.0018719i,-0.0013325-0.0008569i,-0.0017624+0.00061804i,-0.0013678+0.0012135i,-4.9816e-05+0.0014497i,0.0006211+0.0010568i,-0.00013315+0.00014003i,-0.00065217-0.00016211i,-0.00021283-0.00043174i,-0.00059235-0.00055667i,-0.00063946-0.00056852i,-0.00039826-0.00074687i,-9.9051e-05-0.00087468i,0.00028643-0.00068858i,4.1235e-05-2.936e-05i,0.00034067+0.0004457i,0.00081653+0.00030019i,0.00096485+1.148e-05i,0.00091265-0.00071443i,0.00040343-0.00073239i,-3.5114e-05-0.00011864i,1.5054e-05-0.00010285i
