-0.0018581+0.0012234i,-0.0038601-0.00044845i,-0.0044183-0.00015218i,-0.0037583+0.00075176i,-0.003364+0.0017291i,-0.0020799+0.0028987i,-0.00059577+0.0025781i,0.00069998+0.0017147i,0.0015887+0.0013284i,0.0015464+0.00071075i,0.0013586+1.6423e-05i,0.00098304-0.00042819i,3.3579e-05-0.00080355i,-0.00033103-0.00080467i,-0.00032359-0.00019079i,0.00047993+0.00081336i,0.00091033+0.0009718i,0.00048562+0.00021426i,-8.7843e-05+0.00012884i,-0.00020138-3.9219e-06i,-8.3667e-05+0.00017124i,-0.00075258+0.00043872i,-0.00059639-8.1378e-06i
-0.0023213-0.00033729i,-0.0023634-0.00011643i,-0.0028546+1.7293e-05i,-0.0035781+0.00025085i,-0.0031702+0.00076815i,-0.0013896+0.0011365i,-0.00035547+0.0012084i,-0.00034628+0.00081624i,-0.00077821+0.00043956i,-0.00026707+0.00023708i,0.0012126-0.00010542i,0.001842-0.00030222i,0.00076326-0.00029978i,-0.00039889-0.00095009i,-0.0010621-0.00066826i,-0.0012451+0.00050436i,-0.00045774+0.00066366i,3.5525e-05+0.00078003i,-0.00027789+0.00029292i,2.5164e-05-0.00034716i,-0.00012904-9.2816e-05i,-0.00028077-0.00018213i,-0.00014678-0.00025236i
-0.0005719+0.00061189i,-0.0015998+0.00069996i,-0.0026327+0.0019531i,-0.0029958+0.0022739i,-0.0023985+0.0017531i,-0.0010754+0.001533i,-0.00049438+0.0011424i,-0.00081498+0.00050975i,-0.00037748+0.00012111i,0.00093963-6.9845e-05i,0.001421-0.00014908i,0.00088168-1.2542e-05i,-2.9519e-05+0.00010665i,-0.00085556+0.00069029i,-0.00099673+0.001025i,-0.00053015+0.0012757i,-0.00047975+0.0012406i,-0.00020829+0.0013209i,0.00053976+0.0013996i,0.00052706+0.00022411i,-0.00055139-0.00057904i,-0.00051403-0.00050258i,2.7031e-05-0.00034311i
0.00080392+0.0017318i,0.0017914+0.0023104i,0.0010175+0.0023077i,-0.0012146+0.00038826i,-0.0022049-0.00024238i,-0.0017565+0.00028284i,-0.0010869+0.00050262i,-0.00032923+0.00011136i,0.00035486+0.00044216i,0.0010568+0.00044966i,0.0013425+0.00013388i,0.00028946-0.00045521i,-0.00058089-0.0012419i,-0.00067754-0.00014038i,-0.00042676+0.00065185i,-0.00051864+0.00065149i,-0.00046473+0.00041088i,0.00028929+0.00016128i,0.00044529+0.00062593i,0.00045594+0.00078621i,0.00078485+0.00042203i,0.00074322+0.0008484i,-2.9131e-05+0.0005752i
-0.0025593+0.00068364i,-0.0020431+0.0015577i,-0.001914+0.0021661i,-0.0030257+0.0013421i,-0.0034293+0.00038979i,-0.0019484+0.00043786i,0.00048625+0.00095756i,0.0016804+0.00029608i,0.0019859-0.00025282i,0.0018318-0.00015725i,0.001186-0.00015283i,0.0003781-7.6663e-05i,-0.00051875-0.00035789i,-0.0015798-0.00059326i,-0.0012952-0.00021697i,0.00040408+0.00035134i,0.0010807+0.00065989i,0.00060192+0.00073967i,0.00013259+0.0010667i,0.00012627+0.00088779i,0.00037714+0.00034906i,0.00050125+0.00037056i,0.00060938+0.00019544i
-0.0027658+0.0026828i,-0.002726+0.0021027i,-0.0033035+0.0027487i,-0.0029346+0.0025658i,-0.0011642+0.0025743i,-0.00051713+0.0020207i,-0.00046229+0.0012477i,0.00034611+0.0010811i,0.0010545+0.00057782i,0.0015153-0.00031917i,0.0015512-0.0014704i,0.000987-0.0017881i,3.9689e-05-0.0015128i,-0.00038674-0.0008409i,0.00011439+0.00034248i,0.00054516+0.0014163i,0.00045062+0.002161i,0.00013415+0.0016468i,0.00081889+0.00077991i,0.000981+0.00095007i,0.00036981+0.0012034i,-0.00045382+0.0011288i,-0.00071574+0.00045268i
-0.0011929-0.00026226i,-0.0013151-3.0371e-05i,-0.0026983+0.00076115i,-0.0029182+0.0012536i,-0.0021312+0.00073833i,-0.0012134+0.00042557i,-0.00032224+0.00024506i,-1.6354e-05+0.00073284i,0.00010197+0.00030634i,0.00019345-0.00053589i,0.000164-0.0008647i,0.00010717-0.0012059i,-0.0010879-0.0016972i,-0.0011627-0.00087753i,-0.00045017+0.00020848i,-0.00077736+0.00026657i,-0.00094631-0.00048642i,-0.00034809+0.00023305i,2.2069e-05+0.001174i,-0.00032778+0.00036251i,-0.00048368-0.00039421i,-0.00025843-0.00039544i,5.7884e-05-0.00032459i
0.002881+0.0015966i,0.0029652+0.0010697i,0.002908+0.00047178i,0.00022077+0.00050668i,-0.0022172-0.00066048i,-0.002048-0.00051448i,-0.00011172+0.00085906i,0.00087676+0.00080983i,0.001214-0.00025446i,0.001455-0.0011428i,0.00091337-0.0002268i,0.00053562+0.00035431i,0.00021782+0.00058145i,-0.00078573+0.0012574i,-0.0011305+0.0015645i,-0.00041659+0.0012776i,0.00070787+0.0011825i,0.00064661+0.0015582i,0.00026361+0.0016415i,0.00030978+0.00093661i,0.00011-1.3765e-05i,-0.00014594-0.00033797i,-0.00026122+0.00010201i
-0.00089254+7.1827e-05i,-3.7731e-05+0.00090113i,-0.0018296+0.00046053i,-0.0034209+0.00033803i,-0.0035628+0.0011717i,-0.002159+0.0013962i,-0.00062194+0.0011945i,0.00034648+0.00068461i,0.00084264+0.00012341i,0.00015756-0.00036829i,-0.00033556-0.00029678i,-0.00044617+9.5951e-05i,-0.0006739+0.00018801i,-0.00068891+3.1932e-05i,0.00012967+3.8436e-05i,0.00084988+0.00091674i,0.00087866+0.0015814i,0.00084401+0.0014519i,-6.561e-05+0.00074474i,-0.00070358+9.1422e-05i,-0.00011783+0.00012069i,0.0004852+5.661e-05i,0.00048888-0.00071573i
0.0031985-0.00048418i,0.0024453-0.00088008i,0.000746-0.00084616i,-0.0012822-0.00069912i,-0.0022921-0.00027596i,-0.0022944-0.00031454i,-0.0014552+0.00052491i,-2.0466e-05+0.00092465i,0.00052018+8.1336e-05i,2.0195e-05-0.00065534i,-0.00015303-0.00089892i,-0.00010555-0.0005564i,0.00013009-0.00031496i,-0.00026547+0.00011359i,-0.0013748+0.00029109i,-0.00069918+0.00064217i,0.00070618+0.00072207i,0.00098222+0.0010583i,0.00088297+0.001531i,0.00044387+0.00031579i,-0.00032627-0.00065567i,8.4555e-05-0.00030759i,0.0001256-7.0893e-06i
-0.00012706-0.0029696i,-0.0018978-0.0033505i,-0.004406-0.0025619i,-0.0061654-0.0003247i,-0.0049257+0.0010681i,-0.0023792+0.0011569i,-0.0012035+0.001204i,-0.00052844+0.00094752i,-0.00035629+0.00043984i,-0.00044441+0.0005275i,0.00070175+0.00020837i,0.0015383-3.9438e-06i,0.0011553-0.00054203i,0.00090627-0.0013128i,0.00024854-0.00017768i,-0.00064529+0.0010096i,-0.00093766+0.00055889i,-0.00053009+0.00097549i,-0.00071005+0.001273i,-0.00067322+0.00089295i,-0.00060083+0.00094986i,-0.0005309+0.0006199i,-1.7454e-05+0.00020385i
0.0002985+0.00026484i,0.00015514-0.00051702i,-0.0010012-0.00091869i,-0.0026503-0.00066492i,-0.0032203+0.00077305i,-0.0019393+0.0016331i,-0.00036912+0.0012346i,7.9582e-05+0.00086383i,0.00087698+0.00042058i,0.00090317+0.00037843i,0.00043874+0.00010541i,0.00013578-0.00032567i,-0.00040942-0.00020802i,-0.00039414-0.00037215i,-0.0010243-3.2483e-05i,-0.001137+0.0013159i,-0.00096696+0.0019093i,-0.00027047+0.0015266i,0.00020857+0.001347i,-0.00021232+0.00075596i,0.000286+0.0002053i,0.0009414+0.00076184i,0.00090362+0.0012092i
0.00030047+0.0028586i,0.00027658+0.0026492i,0.00030406+0.0025358i,-0.0010519+0.0015346i,-0.0014617+0.0002584i,-0.00074554+0.00040293i,-0.00032133+0.0016975i,0.000413+0.0016591i,0.0014507+0.00030184i,0.0010842-0.0010667i,0.00094485-0.0013085i,0.001277-0.00041858i,0.00026355-3.5214e-05i,-0.0010787+0.00043839i,-0.0018489+0.0014102i,-0.0016922+0.0020301i,-0.00080531+0.0020038i,-0.00030924+0.0016419i,-0.00040465+0.0012898i,-0.00077819+0.00012688i,-0.00077064+2.3711e-05i,-0.00011251+0.00091739i,0.00026427+0.00060514i
-0.00071883+0.00073821i,-0.00071372+0.00012746i,-0.0017055+0.00016199i,-0.0031261+0.0010676i,-0.0032097+0.0015283i,-0.0028379+0.00075872i,-0.0012286+0.00047017i,0.00031808+0.00033171i,0.00012986-0.00012614i,-0.00028006-0.00077369i,0.00011653-0.00040698i,0.00070284-0.00021814i,2.5324e-06-4.9719e-05i,-0.00081884+0.00060454i,-0.00048621+0.00086072i,-0.00044418+0.00083433i,-0.00011092+0.0010814i,-0.00019614+0.0013007i,-0.00083449+0.0010279i,-0.00065885+0.00041677i,-0.00039149+0.00019531i,-4.6423e-05+0.00011983i,-5.1925e-05-0.00018418i
-0.00017406-0.00068693i,0.00067478-0.00097602i,0.00044803-0.00092402i,-0.0018491-0.00037313i,-0.003036-0.00019201i,-0.0022724+0.00015244i,-0.00093145+0.00030126i,0.00049331+0.00033731i,0.0015546-4.2897e-05i,0.0018685+6.0611e-05i,0.0010503+0.00034895i,0.00020788+0.00044113i,-0.00016614+9.4918e-05i,-0.00012131+0.00048911i,-0.00066076+0.0017767i,-0.00036096+0.0013688i,0.00024645+0.00076448i,4.9165e-05+0.0010356i,0.00041912+0.00062627i,0.00070331-0.00024216i,0.00049835-0.00027596i,0.00061749+0.00014685i,0.00046665+0.00025474i
0.00016118-0.0023911i,-0.0010475-0.0010837i,-0.0027697-0.0003659i,-0.0041511+0.00017226i,-0.0046615+0.0013186i,-0.0039639+0.0019721i,-0.0019035+0.0012384i,-9.5373e-05-1.5571e-05i,0.00046713-0.00043257i,0.0011107-2.5758e-05i,0.0010186+0.00051413i,0.00038495+0.00077532i,0.00063778+0.0010433i,0.00047368+0.00062338i,-0.00031197-0.00020059i,-0.00038549+8.4152e-06i,-3.9512e-05+0.00076872i,-0.00045185+0.0014949i,-0.00016296+0.001549i,0.00032775+0.00085468i,-0.00047074+0.00064516i,-0.00074225-3.4874e-05i,2.193e-05-0.00096923i
0.00083694+0.00069246i,-0.00028841-0.00011329i,-0.0017588-0.0010483i,-0.0031139-0.0011393i,-0.0034058-0.00046742i,-0.0026748+5.9793e-05i,-0.0008069+0.00051155i,0.00072961-0.00013044i,0.0014133-0.00058151i,0.0002361-8.9937e-05i,-0.0007528-0.00052451i,-0.00053997-0.0008573i,-0.00041686-0.00069211i,-0.00037688-7.1389e-05i,-0.0011278+0.00017419i,-0.0014507+0.0004831i,-0.0012129+0.0012778i,-0.00064282+0.0011653i,-0.00056774-0.00020019i,-0.0010335-0.00121i,-0.0010025-0.00055368i,-0.00047183+3.8424e-05i,-0.00022926-2.6146e-05i
-0.002144+0.00013802i,-0.0021307-0.00015196i,-0.003319-0.00018061i,-0.0035391+0.00075945i,-0.0015441+0.001977i,-0.00056809+0.0015539i,-0.00078577+9.6672e-05i,-7.8906e-05-0.00062507i,0.00069034-0.00036127i,0.0009406+0.00046408i,0.0008049+0.00027955i,0.00030688-0.00095095i,-0.00019829-0.00089836i,-0.00062858-6.0572e-05i,-0.0012794+0.00012198i,-0.0012619+0.00046157i,-0.0004129+0.00080298i,-0.00030655+0.0015184i,-0.00064463+0.0018582i,-0.00015834+0.00091777i,0.0007764-0.00033881i,0.00046797-0.0010331i,2.9682e-05-0.00076652i
-0.0013648-0.0010116i,-0.001333-0.0015155i,-0.0024929-0.0018083i,-0.0036376-0.00060681i,-0.0036728+0.00026136i,-0.0024598-0.00028783i,-0.00073817+0.00015992i,0.0003652+9.2691e-06i,0.00097437-0.00071472i,0.00085067-0.00013423i,0.0011212+0.00023018i,0.0009568-0.00071689i,-0.00026696-0.0013436i,-0.00055701-0.00080266i,0.0001151+1.7785e-05i,0.0010001+0.0002028i,0.00050797+0.00081383i,-0.00051034+0.0013572i,-0.00076+0.0013535i,-0.00069447+0.00085068i,-0.00043128-8.4702e-07i,0.00021125-5.2469e-05i,-7.8516e-05+0.00042302i
-0.0017488-0.00046314i,-0.0027601-0.00012051i,-0.0040513-0.00012669i,-0.0051174+0.0003988i,-0.0043603+0.0014701i,-0.0021468+0.0019574i,-0.00082091+0.0017152i,0.00011669+0.00020867i,0.00060299-0.00023849i,0.00070432+0.00023316i,0.00069165-0.00061177i,0.00037269-0.00057682i,0.00081642-0.00033904i,0.0013168-0.00084929i,0.00049871-0.00080846i,-0.00052801-0.00038602i,-0.0006693+0.00051888i,-0.00028964+0.00083466i,0.00034095-5.7679e-05i,0.0003193-0.00044585i,-7.4308e-05-0.00056893i,0.00021469-0.00038176i,0.00054203+0.00040983i
0.0014106-0.0014089i,0.00026451-0.0012191i,-0.0016522-0.001201i,-0.0030169-0.00057955i,-0.0031057+0.00082385i,-0.0027065+0.0018183i,-0.0015879+0.00088749i,-6.8356e-05+0.0004556i,0.0001211+0.00052044i,-0.0003041-3.5694e-05i,-0.00066915-0.0003923i,-0.00013934-0.0003592i,-8.9764e-05-0.00045991i,-0.00085572-0.00062394i,-0.00061438-0.00030557i,5.4854e-05+0.00054013i,-0.00026965+0.0011273i,-0.0011458+0.0011275i,-0.0016868+0.00061425i,-0.0011465-1.8953e-05i,-0.00038045-0.00050796i,-0.00025481-0.00038932i,-0.00031177-6.1161e-05i
-6.2065e-05-0.00066998i,-0.0015572-0.001019i,-0.0030589-0.0018708i,-0.0049424-0.0013164i,-0.0052718-0.0001823i,-0.0033171+0.00094541i,-0.0011479+0.0013541i,-4.4079e-05+0.0010852i,3.8526e-05+0.00016886i,-0.00017857-0.0008715i,2.1814e-05-0.00020259i,0.00035132+0.00051712i,3.2092e-05-5.4408e-05i,-0.00018652-0.00031496i,0.000497+0.00046933i,0.00067442+0.0009916i,0.0002151+0.00085498i,0.00039959+0.0013548i,0.001031+0.0015729i,0.0016808+0.00043906i,0.00167-0.00063082i,0.0010448-0.00069298i,0.0005619-0.0005936i
0.0003813+0.00039011i,-0.0011218-0.00016431i,-0.0030873+0.00016806i,-0.0046009+0.00048396i,-0.0040584+0.0010924i,-0.0018447+0.0014258i,-0.00054417+0.0013682i,-6.6949e-05+0.00075145i,0.00030789+0.00035243i,0.00010502+0.00015215i,6.2554e-05+0.00039639i,0.0003103+0.00052893i,-0.00047292-9.3809e-05i,-0.00109-0.00023355i,-0.00057799+0.00051581i,-7.0952e-05+0.00070542i,-0.00063125+0.00087806i,-0.00079489+0.001168i,-0.00062302+0.00088916i,-0.00092535+0.00049805i,-0.0010418+0.00056253i,-0.00068166+0.00085748i,0.00022631+0.00047872i
-0.0016205-0.0017711i,-0.0022315-0.0019722i,-0.0038035-0.0017829i,-0.0050643-0.00028652i,-0.0046358+0.00072026i,-0.0027658+0.00093342i,-0.0017162+0.00098735i,-0.00080635+0.00083892i,-0.00015903+0.00012489i,-7.7427e-05+0.0002956i,0.00067247+0.00040287i,0.00091298-0.00026449i,0.00040808-0.00028273i,0.00066515+0.00025588i,0.00094175+0.001033i,0.00026803+0.0012594i,-0.00022858+0.00089671i,-0.00028625+0.00088687i,-4.5302e-05+0.0010453i,-0.00014523+0.0012007i,-0.00011201+0.0010744i,0.00030156+0.00067394i,0.00018853+0.00041199i
0.00059383+0.0022705i,-0.00067939+0.0029526i,-0.00049677+0.0010667i,-0.00089732-4.7921e-05i,-0.002199-0.00012052i,-0.0021354-0.0015097i,-0.0010976-0.0010638i,-0.00016797-0.00010032i,0.00025007-0.0002221i,0.00071136-0.00058433i,0.0005939-0.0014343i,-0.00070007-0.0023456i,-0.0013086-0.0015859i,-0.0013312-3.5064e-05i,-0.0015783+0.00068451i,-0.00054884+0.00074111i,0.00053271+0.0013689i,0.00018927+0.0012639i,2.1638e-05+0.00053315i,2.0049e-05+0.00044412i,-0.00045311+2.4554e-05i,4.7901e-05-0.00044733i,0.00039437-0.00056673i
-0.0012478-3.4437e-05i,-0.00099748+0.0008219i,-0.0030457+0.0015025i,-0.0048784+0.002044i,-0.0043701+0.0019023i,-0.0027197+0.0012497i,-0.0016824+0.0011941i,-0.0004492+0.00021009i,0.00082701-0.00076934i,0.0010054-0.00048368i,0.0004196+0.00022361i,0.00023307+0.0007151i,-0.00050988+5.389e-05i,-0.00091183-0.00046937i,-0.0012984+0.00029095i,-0.0012963+5.2629e-06i,-0.00053853-0.00033549i,-0.00041819+0.00066552i,-0.00033337+0.0012599i,-0.00011373+0.0010846i,-0.00018371+0.00075578i,-0.00016335+0.00023148i,0.00022799-0.00034205i
0.001594+0.00076841i,0.0005578+2.3285e-05i,-0.0006473+0.00032618i,-0.001908+7.3352e-05i,-0.0024647-0.00019153i,-0.0022019+0.00014227i,-0.0016599+0.00032419i,-0.0010162-2.5622e-05i,0.00068513-0.00024733i,0.00088736+5.4068e-05i,-0.00024704+0.0003416i,-0.00048399-0.00055855i,-0.00030274-0.00091764i,-0.00040826+0.00013472i,-0.00068731+0.00089356i,0.00010689+0.0010406i,0.00026842+0.0011767i,0.0001009+0.00081094i,0.00082005+0.00064362i,0.00097023+0.00064853i,0.00036237+0.00050245i,-0.00012091+0.00046526i,-6.4713e-05+0.00046151i
-0.00019036+0.0016468i,-0.0010726+0.0016309i,-0.00023408+0.0011795i,-0.0016583+0.0014332i,-0.0032892+0.00081402i,-0.0020994-0.00027479i,-0.0003859-7.9333e-05i,0.00050079+0.00081806i,0.00044803+0.0012542i,0.00039342+0.00068877i,0.00076458+0.00035807i,0.001086-0.0005158i,0.00027945-0.0010824i,-0.0011297-0.00062493i,-0.0016095-0.00066365i,-0.001239+0.00013092i,-0.00075542+0.00088555i,-0.00070643+0.00098332i,-0.00034345+0.00081088i,0.00033954+0.00014282i,0.00050921-0.00027315i,-5.4004e-05-0.00016298i,-0.00073925+0.00012332i
-0.0015998-4.9653e-05i,-0.0022256+0.0011268i,-0.0034154+0.0038997i,-0.0046293+0.0043358i,-0.0042445+0.0027598i,-0.0018348+0.0016435i,-0.0005584+0.0012105i,8.6509e-05+0.00089278i,0.00047126+0.00045995i,0.00016368+0.00026847i,-7.4703e-05-0.0001856i,-0.00035799-0.0011032i,-0.00074394-0.001525i,-0.00090962-0.0014453i,-0.00060986-0.00031138i,0.00020827+0.00095546i,5.7539e-05+0.001107i,-0.0002401+0.00050235i,-0.00043364+0.00017162i,-5.446e-05+0.00019222i,-3.2807e-05-0.0002247i,-0.00017301+8.9652e-05i,-4.1124e-05+0.00063989i
-0.0010138-0.0011035i,-0.0024126-0.00096662i,-0.0050623-0.00026503i,-0.0061316+0.0011817i,-0.005063+0.002194i,-0.0033686+0.0013338i,-0.0019433+0.00098133i,-0.0010467+0.0012302i,-0.00020055+0.0010657i,0.00083354+0.0013182i,0.00089581+0.0011018i,0.00079098+0.00010632i,0.0010041-0.00051079i,0.0009192-0.0012089i,0.0002013-0.001964i,0.0003577-0.0010083i,0.00089946+0.00052596i,0.0012855+0.0013461i,0.001431+0.0013619i,0.0012881+0.00098328i,0.0012737+0.00026745i,0.00047441+0.00046006i,-0.00049763+0.0011393i
0.00093661-0.0011998i,0.00023428-0.00098682i,-0.00073418-0.00093048i,-0.0022208-0.00099367i,-0.0031269-0.00075585i,-0.0019958-0.00019123i,-0.00046949+0.00049642i,0.00065888+0.00049508i,0.0016666+0.0001795i,0.0024997+0.00034034i,0.0019782+0.00020287i,0.00030644-0.00068604i,-0.00064634-0.0011251i,-0.001115-0.00040629i,-0.0011234+0.00028246i,-0.000468+0.00075664i,0.0001721+0.0013679i,0.00041103+0.0011603i,0.000558+0.00095196i,0.00012424+0.0010131i,-0.00042689+2.0962e-05i,-0.0002047-0.00086381i,0.0003354+9.4831e-05i
0.0022586+0.00048111i,0.0014567-0.00034662i,0.00019344-0.0013229i,-0.0023608-0.0014388i,-0.0038992-6.5666e-05i,-0.0034478+0.00105i,-0.0017467+0.0013727i,-0.00045047+0.00094158i,0.00030038+7.9718e-05i,0.00065909-0.00044359i,-0.00052409-0.00016879i,-0.0010978-0.00053102i,-0.00042408-8.9527e-05i,-4.8394e-05+0.00022014i,-5.3597e-05+9.9256e-05i,0.00031079+0.0010883i,0.00088874+0.001765i,0.00074424+0.0015289i,0.0002913+0.00099929i,0.00059087+0.00041906i,0.00062084+0.00023733i,0.00063563-0.00023434i,0.00051191-0.00025931i
-0.0019763+0.0030051i,-0.002094+0.0035665i,-0.0018351+0.0040108i,-0.0017964+0.0024458i,-0.0016403+0.0010441i,-0.0010638+0.00064651i,-0.00057288+0.00048005i,-0.00036192+0.00073378i,-0.0001536+0.0010385i,0.00015109+0.00047641i,0.00051166-0.00032349i,0.0002716-0.00096115i,-0.0003942-0.00051005i,-0.0009196+0.00019599i,-0.00075084+0.00040642i,-0.00096216+0.00059687i,-0.00098497+0.0010618i,-0.00014844+0.0015611i,-0.0002339+0.0013354i,-0.00075531+0.00060987i,-0.00076738+0.00040072i,-0.0011171+0.00059494i,-0.0014654+0.00070038i
-0.0017293-0.0023893i,-0.0027083-0.0014345i,-0.0038748-0.00095525i,-0.0048462+0.00077069i,-0.0051075+0.0013727i,-0.0039001+0.00046111i,-0.001443+0.0012626i,-0.00019473+0.0016914i,0.00065201+0.00036698i,0.00065408+7.9245e-07i,0.00020862+0.00050825i,0.00019516+0.00063298i,-0.00061914+0.00021974i,-0.0014468+0.00010927i,-0.00084373+0.00068164i,-0.00040464+0.0010971i,-0.00066723+0.0012524i,-0.0002645+0.0015692i,0.00040185+0.0016294i,0.00029363+0.0006777i,0.00029674-7.6315e-05i,8.8032e-05-0.00069784i,-0.0001606-0.0013624i
0.00087312-0.00054948i,-0.0020268-0.0018958i,-0.0033347-0.0018993i,-0.0041618-0.00062811i,-0.0045077+0.0002161i,-0.0034173+0.00065922i,-0.0019025+0.00030745i,-0.00023752-7.8115e-05i,0.00074663-0.00038559i,0.0014174-0.00051146i,0.00081106-0.00026449i,-0.00045457-0.00056811i,-0.0010906-0.00070105i,-0.0011256-0.0005248i,-0.00028907+0.00028872i,-0.00049517+0.00067539i,-0.001369+0.0008657i,-0.0012472+0.0011453i,-0.0010395+0.00090131i,-0.00086156+0.00039354i,-0.00021788-3.2142e-05i,-4.67e-05-0.00010191i,-0.00045545-0.00019797i
0.0014222+0.00047589i,0.0013534-0.00082397i,0.0009088-0.0020087i,-0.00036288-0.0016387i,-0.0020626-0.0010003i,-0.0019696-0.00026017i,-0.0013115+9.8693e-05i,-0.00038038+0.00010161i,0.00070619+0.00015165i,0.0007828+0.00015222i,0.00081734+0.00011169i,-6.3418e-05+1.3592e-05i,-0.0012463+0.00010766i,-0.0015504+0.00018964i,-0.0010004+0.00043827i,-0.00022047+0.00097942i,0.00041083+0.0013326i,0.00054978+0.001402i,-2.4714e-05+0.0008274i,-0.00017957+0.0002082i,0.00056945-0.0003817i,0.0013252-0.00067796i,0.0013986-6.9801e-05i
0.0011629+0.0018539i,0.0013313+0.002609i,0.00055742+0.0024849i,-0.0013565+0.0015184i,-0.0023452+0.0012501i,-0.0025258+0.0014082i,-0.0021893+0.001107i,-0.00070728+0.00034097i,0.00021008-0.0001906i,9.8581e-05-0.00075784i,0.00037334-0.00091435i,0.00010266-0.0013685i,-0.00046271-0.0013309i,-0.00079823+0.00018109i,-0.00095899+0.0012136i,-0.00039759+0.0010943i,0.00023005+0.00085729i,-0.00018992+0.0011377i,-0.00084525+0.0011315i,-0.00040178+0.00050586i,0.00016178+0.00080608i,0.00029296+0.00026368i,0.00035003-0.00023825i
-0.0029633+0.00018266i,-0.0038054+0.00075457i,-0.0050437+0.0012172i,-0.004901+0.002069i,-0.0039794+0.0019021i,-0.0022347+0.0011679i,-0.0011952+0.00050463i,-0.00066719+0.0011987i,0.0003411+0.00097503i,0.00074107-0.0004165i,0.00044158-2.8201e-05i,-9.4508e-05+0.00029296i,-0.00092905-0.00075197i,-0.00098781-0.00078217i,-0.00063141-0.00019245i,-0.00018789+0.00039215i,0.00032993+0.00088278i,-3.4438e-06+0.00083762i,0.0001848+0.0007107i,0.00037391+0.00063004i,0.00039521+0.00057647i,0.0010083+0.00076505i,0.00095189+0.00083055i
0.00118+9.3452e-05i,-0.00054647-0.00071396i,-0.0021187-0.0013313i,-0.0032105-0.00052628i,-0.0035147+0.0004821i,-0.0027469+0.00059929i,-0.001253+0.00010552i,-8.8247e-05+7.0727e-05i,0.00070084+9.2562e-06i,0.00068994-0.00074198i,0.0002124-0.00060461i,0.00029216-0.0007645i,-0.00023228-0.0010424i,-0.00076878-0.0006367i,-0.0010565+0.00013103i,-0.00034542+0.00083927i,0.00070843+0.00097282i,0.00033919+0.0012224i,0.00010635+0.0011428i,0.000281+0.00045463i,0.00052551-0.00013714i,0.00044447+0.00014921i,7.5841e-05+0.00065414i
0.0019529-4.8865e-05i,0.0015874+2.2795e-05i,4.0353e-05-0.0017868i,-0.0029933-0.0014342i,-0.0051792+0.00025922i,-0.0037537+0.00022034i,-0.0020187+0.0003397i,-0.00051239+0.00046155i,0.0011129-0.00037564i,0.0014942-0.00091129i,0.00071071-0.00040096i,-0.00053511-0.00019605i,-0.0014706-0.00085427i,-0.0013095-0.00070203i,-0.0010173+0.00087057i,-0.0003584+0.0022964i,0.00079204+0.0020503i,0.00087477+0.0016389i,0.00017415+0.0017184i,0.00029552+0.001058i,0.00087589+0.00044372i,0.0014542+0.00071755i,0.0010487+0.00061343i
-0.00084028+0.00015254i,-0.0011049-0.00036023i,-0.0019308-3.9343e-05i,-0.0036076-0.00038221i,-0.0039932-0.00020688i,-0.0025585+0.00045637i,-0.00067014+0.00099648i,0.00025099+0.0012439i,0.00028214+0.00098034i,0.0003355+0.00078743i,0.00063585+0.00056532i,0.00029841+0.00011481i,-0.0005493-0.00068496i,-0.0016787-0.00094829i,-0.0017267+0.00027196i,-0.00090021+0.0012681i,-0.0005843+0.0020236i,-0.00046766+0.002509i,-0.00010403+0.0016607i,-0.00051236+0.00088186i,-0.0012891+0.0002999i,-0.00093021+0.00016938i,-0.00053782+0.0005446i
-0.00090227-0.0017221i,-0.002949-0.0013671i,-0.005127+0.00017973i,-0.0067193+0.00094987i,-0.0063307+0.0010197i,-0.0038487+0.0011844i,-0.0018121+0.00076002i,-0.00040759+0.0006048i,-6.1446e-05-7.0713e-05i,-4.263e-05-0.00014612i,0.00062175-8.2058e-05i,0.00044091-0.00072452i,-0.00020059-0.00085707i,0.00078953-0.0010806i,0.0011211-0.00063287i,-0.00012426+0.00041136i,-0.00095913+0.0011135i,-0.00097136+0.0014633i,-0.0010321+0.0010035i,-0.00069204+0.0010473i,-0.00010475+0.0011599i,-0.00067798+0.00060311i,-0.0015177+0.00035093i
0.001148-0.00066405i,-8.1943e-05-0.0022191i,-0.0014721-0.0031756i,-0.0035326-0.0026504i,-0.0047173-0.00091938i,-0.0035905+0.00049102i,-0.0013461+0.00095982i,-4.7637e-05+0.0010495i,-0.00042452+0.00034375i,-0.00056944-0.00029284i,-0.00040702-3.8463e-05i,-0.00012993-0.00039436i,0.00059818-0.0004046i,0.00049409+2.0126e-05i,1.5412e-05+0.00067628i,-0.00074678+0.0017673i,-0.0011805+0.0019408i,-0.00055699+0.0016921i,-0.00012986+0.0017443i,-0.00011526+0.0018812i,-9.9747e-05+0.0013848i,-0.00060138-0.00017458i,-0.0011527-0.0008497i
