-0.0018581+0.0012234i,-0.0038601-0.00044845i,-0.0044183-0.00015218i,-0.0037583+0.00075176i,-0.003364+0.0017291i,-0.0020799+0.0028987i,-0.00059577+0.0025781i,0.00069998+0.0017147i,0.0015887+0.0013284i,0.0015464+0.00071075i,0.0013586+1.6423e-05i,0.00098304-0.00042819i,3.3579e-05-0.00080355i,-0.00033103-0.00080467i,-0.00032359-0.00019079i,0.00047993+0.00081336i,0.00091033+0.0009718i,0.00048562+0.00021426i,-8.7843e-05+0.00012884i,-0.00020138-3.9219e-06i,-8.3667e-05+0.00017124i,-0.00075258+0.00043872i,-0.00059639-8.1378e-06i
-0.0007854-0.0014799i,-0.0012572-6.963e-05i,-0.0029703+0.0010733i,-0.0039746+0.0013324i,-0.0032231+0.00079727i,-0.0022301+0.0011156i,-0.0014323+0.0018182i,0.00010478+0.0010182i,0.00033707+4.6352e-05i,-0.00020349-0.00037947i,9.1544e-05-0.00047812i,0.00058542-0.00029357i,0.00059068+0.00030781i,0.00064926+0.00047633i,0.00075715-0.00018687i,0.00072441-0.00036076i,0.0002463+0.00053645i,0.00028755+0.0010156i,0.00016624+0.00063428i,7.4813e-05+0.00031864i,-0.00046476+0.00031297i,-0.00041564-0.00014496i,-5.8865e-05-0.00048561i
0.0010063+6.4226e-05i,0.00034495-0.00062928i,-0.00052341-0.00090959i,-0.0009743-0.00025214i,-0.00082253+0.00086564i,-0.00084688+0.0014009i,-0.0003389+0.0013396i,0.00026944-0.00035472i,0.00025934-0.0017358i,1.6156e-05-0.0013389i,0.00048753-0.00056968i,0.00033128+2.609e-05i,0.00034746-0.00013812i,0.00081275-0.00013168i,0.0017332+0.00016776i,0.0016089+0.00079908i,-0.0002844+0.00090248i,-0.00096519+0.0001369i,-0.00041507-6.9036e-05i,-0.00015037+8.5225e-05i,-0.00027002+0.00021621i,-0.00036641-2.5894e-05i,0.00036444+0.00027276i
-0.0023836-0.001418i,-0.0027273-0.00094101i,-0.0026656-0.0004997i,-0.00267+0.0017231i,-0.002163+0.0032337i,-0.00067833+0.0017456i,0.00058327+0.00099074i,0.00064607+0.0007866i,0.00023524+9.0399e-05i,0.00072207-0.00023849i,0.00082187+3.8987e-05i,0.00034562-6.9956e-05i,0.00016775+0.00020255i,-0.00031005+0.00040516i,-0.00079115+0.00038996i,-0.00089302+0.00072849i,-0.00045432+7.1376e-05i,-0.00041233-0.0006386i,-0.00042287-0.00032421i,-4.6528e-05-0.00045089i,0.0001263-0.0008906i,0.00053438-0.00076958i,0.00024721-0.00031067i
-0.00015305+0.0014744i,-9.8952e-05+0.0013775i,-0.0002166+0.0021637i,-0.00047787+0.0023569i,-0.00013197+0.001697i,0.00029588+0.0013208i,0.00076937+0.001063i,0.00097812-2.5669e-05i,0.00068179-0.00059301i,0.00035677-0.00023874i,7.9024e-05+1.6267e-05i,-0.00073326-0.0010349i,-0.0015261-0.001477i,-0.0010873-0.00034281i,-0.00035628-0.00057262i,4.7287e-05-0.00052933i,-2.2062e-05+0.00035704i,0.00018144+0.00082155i,8.9982e-05+0.00066341i,-0.00070289+0.00032581i,-0.00026687+0.00028771i,0.00027327+0.00026018i,-1.6443e-06+6.6683e-06i
-0.00032637+0.0009661i,-0.00090989-2.538e-06i,-0.0019009+0.00010868i,-0.0022129+0.0012549i,-0.0015653+0.0021669i,-0.00081261+0.0021372i,-0.00053827+0.0016069i,6.8265e-05+0.0010619i,0.00082992+0.0004893i,0.00035821-0.00029229i,-0.00016546-0.00096471i,-0.0006944-0.00049317i,-0.00054196+0.00018974i,-0.00073533+0.00029701i,-0.0012903+0.00052028i,-0.00010031+0.00066583i,0.00095085+0.00063263i,0.0010892+0.00065252i,0.00017031+0.00064393i,-0.00045261+0.00094043i,-1.8453e-05+0.00095179i,-0.00075179-6.2453e-05i,-0.0014506-0.00058138i
-0.00068454-0.00070499i,-0.00077886-0.00010165i,-0.001389+0.00079293i,-0.0017478+0.0012376i,-0.0016431+0.0017436i,-0.00089245+0.0017907i,-0.00086255+0.001326i,-0.00059574+0.00059074i,0.0003012+0.00019028i,0.00044742-0.00026302i,-1.9768e-05-0.00067192i,-0.00052649-0.00066411i,-0.00077586+0.00018165i,-0.00077877+0.00070784i,-0.00091436+0.00058742i,-0.00053386+9.6479e-05i,4.5668e-06-0.00014462i,-0.00022307+0.00014575i,-0.00016785-0.00020979i,0.00042656-0.00051461i,0.00071536-0.00014507i,0.00030792-1.5008e-05i,-0.00035228+0.00022399i
-0.00084021-0.0015849i,-0.00080106-0.0013735i,-0.0024859-0.0013235i,-0.0036947+0.00055865i,-0.0029787+0.0019105i,-0.0019121+0.0016528i,-0.00065971+0.00081703i,0.00059052+5.4422e-05i,0.0010057-0.00071778i,0.0010089-0.00053246i,0.00076316-0.00037469i,0.00074674-0.0013066i,0.00063835-0.00072657i,-9.8654e-05+0.00032419i,-0.0002623+0.00081421i,0.00041143+0.0010289i,0.00023973+0.00040772i,8.1808e-05+0.00018811i,0.00030519+0.00065118i,0.00021068+0.0007322i,-0.00043321+0.00092552i,-0.00067283+0.00050635i,-0.00021144-0.00045075i
0.0022181+0.0020244i,0.0013913+0.0018599i,0.0012856+0.0015059i,0.0006373+0.0013689i,-0.00030072+0.00069623i,-0.00058352+6.9538e-05i,-0.0003696-6.5146e-05i,0.00014709-0.00099768i,0.00082136-0.0017938i,0.00059166-0.0019957i,7.1521e-05-0.0013442i,-0.00022396-0.00061543i,-0.0011046+0.00015122i,-0.0011026+0.00060392i,-8.1445e-05+0.0014371i,0.00087256+0.0020698i,0.0010085+0.0012103i,0.00078581+0.00092524i,0.00048098+0.00074982i,0.00034327-9.7043e-05i,2.5341e-05-0.00041125i,-5.6899e-05+0.00011732i,-0.00022964+0.0004947i
0.00032664-0.00073962i,0.00041501-0.00037314i,-0.00039506+0.0001032i,-0.0011044+0.0011751i,-0.0014207+0.001957i,-0.0013017+0.0018392i,-0.00021126+0.0018515i,0.0013431+0.0008283i,0.0015382-0.00073684i,0.00099198-0.0011542i,0.00025637-0.00065706i,-0.00084221+0.00022615i,-0.00084824-9.461e-05i,-0.00078414-0.00020503i,-0.000373+0.00096188i,0.00088699+0.0014259i,0.001146+0.0011727i,0.00090653+0.0012781i,0.0012553+0.00066658i,0.0011376-0.00042496i,0.00013269-0.0007688i,-0.00025735-0.00049482i,-2.5411e-05-0.00021923i
-0.00092864-0.00071258i,-0.0017984+0.00052009i,-0.0021631+0.00067615i,-0.0018466+0.00055783i,-0.0016192+0.0024849i,-0.0020603+0.0027648i,-0.0015153+0.0013774i,-0.00019478+0.00010404i,0.00081317+0.0001378i,0.00081693+0.00051825i,5.7338e-05-0.00064881i,-0.0003665-0.0012479i,-0.0013669-0.00095682i,-0.0020645-0.00038004i,-0.001366+0.00051808i,-0.00014757+0.0010768i,0.00022292+0.0010946i,0.00010838+0.00054705i,0.00049338+0.00057445i,0.00096185+0.00079026i,0.00087844+0.00022383i,0.00014924-0.00089504i,-0.00045954-0.0014025i
-0.0027279-0.00098223i,-0.0029909-0.00043473i,-0.0039536+0.00077281i,-0.0028158+0.0020295i,-0.00050994+0.0022398i,0.0003333+0.0011296i,0.00025164+0.00025848i,0.0003476-0.00050461i,0.00027417-0.00091218i,0.00066973+1.3489e-05i,0.0014887+0.0011234i,0.00041442+0.00067375i,-0.0010949-0.00034943i,-0.00093804-0.00026538i,-0.00025552-0.00041598i,0.00056939-0.00093794i,0.00033812+0.00010192i,-0.00021083+0.00086733i,-0.00059425+0.00074647i,-0.001009+0.00018598i,-0.00074575-0.00065139i,-0.00064498-0.00073921i,-0.001432-0.00044189i
-0.00094628-0.00022594i,-0.00074818+5.512e-05i,-0.0011388+0.00064807i,-0.0018617+0.001827i,-0.0020266+0.0028612i,-0.00073538+0.003247i,0.00081496+0.0028263i,0.0018452+0.0015981i,0.0011493+0.00022971i,0.00030315+0.00036495i,0.00088928+0.00030365i,0.00068756-0.00074058i,-0.00044574-0.00044137i,-0.00070387+0.00030639i,-0.00036041-0.00012305i,-0.00071868+1.4017e-05i,-0.00074396+0.0010849i,-0.00058875+0.00099727i,0.00021544-4.4474e-05i,0.00054292-8.9913e-07i,0.00021045+0.00041431i,0.00046511-0.00014155i,0.00080879-0.00085292i
-0.00011711-0.0016254i,-0.00037593-0.0010912i,-0.00094215-0.0015062i,-0.0023508-0.0013438i,-0.0025362+0.00025165i,-0.0014325+0.0014965i,-0.00019465+0.00097366i,0.00070871+0.00014917i,0.0012045+0.00028602i,0.0014024+0.0001697i,0.0010277-0.00077021i,0.00036127-0.001553i,-0.00047955-0.0010813i,-0.0013381-1.9349e-05i,-0.0011019+0.0012608i,-0.000236+0.0014333i,7.046e-05+0.00044619i,0.00058973-0.00053946i,0.00018619-0.00028767i,-0.00065021+0.00065279i,-0.00055595+0.00071402i,-0.0003569+0.00020407i,-0.00055127+0.00032145i
0.00045819+0.0018085i,0.00030031+0.0020333i,0.00073837+0.0027956i,0.00032592+0.0027804i,-0.00087263+0.0014079i,-0.0010973+0.00077468i,-0.00066178+0.0010652i,0.00023968+0.00062198i,0.00050741-0.00015053i,0.00037902+8.4024e-05i,-0.00016232+0.00019929i,-0.00072348-0.00033447i,-0.00093636-0.0004533i,-0.0012198-8.9292e-05i,-9.92e-05+0.00037412i,0.00092462+0.00037412i,0.00056249+0.0005705i,0.00012703+0.00056484i,-0.0001233+0.00022276i,-0.00057433+3.8967e-05i,-5.4505e-07+1.3119e-06i,0.00071581+0.00036664i,0.00042605+0.00063945i
-0.00018576-0.0011078i,-0.0014296-0.000413i,-0.0024856+0.00020479i,-0.0029038+0.00079986i,-0.0021641+0.0022323i,-0.00061906+0.0025659i,0.00032229+0.0014944i,0.00065413+0.0011262i,0.00086308+0.0012937i,0.0009999+0.00039605i,0.00052703-0.00064724i,0.00028102-0.00051321i,0.00049822-0.00044713i,-0.0003242-0.00025298i,-0.00061072+0.00065669i,-0.00014903+0.00092517i,-0.00021853+0.00024147i,0.00041521+0.00019798i,0.00048663+0.00061337i,-0.00017259+0.00073162i,0.00023269+0.00018765i,0.00086177-0.00044892i,0.00029205-0.00037788i
