-0.00012243-0.00021911i,0.00069737-0.0013846i,0.0015597-0.0014499i,1.4733e-05-0.00049063i,-0.0028986+0.00056203i,-0.0034407+0.0014927i,-0.0024666+0.0014687i,-0.0018905+0.0012466i,-0.0015593+0.0016884i,-0.00061265+0.0016646i,-0.00019467+0.00034322i,-0.00048036-0.0010152i,-0.00043299-0.0014067i,-0.00037152-0.00056122i,-0.0007169-0.00046022i,-0.00062074-0.00049923i,6.9067e-05+0.00034077i,0.00057055+0.00037773i,0.00041573+0.00044028i,-0.00054127+0.00045552i,-0.00092496-0.00012595i,-0.00022212-0.00038398i,0.00053849-0.00082029i
0.001274-0.00052032i,0.00081285+0.00015611i,0.0006202-0.00037991i,0.0011538-0.00027052i,-0.0001172+0.00049569i,-0.0021484+0.00089263i,-0.0022393+0.0015604i,-0.0011144+0.0019916i,-0.00063554+0.0014301i,-0.0006196+0.00032063i,0.00031757-0.00038239i,0.0010769-0.00051348i,0.00066398-0.00039253i,0.0002137-4.9092e-05i,0.00058469-6.3287e-05i,-0.00018028-0.00043126i,-0.00086147-0.00057361i,0.00025794+5.5591e-05i,0.000566+0.000604i,0.00053491+0.00077844i,0.000519+0.0012832i,-0.00016081+0.0011378i,-0.00079009+0.00069201i
0.00027349-0.002137i,0.0004724-0.0018104i,0.00060973-0.001594i,-3.4057e-05-0.00084555i,-0.0016188+0.00047116i,-0.0028555+0.0015508i,-0.0026354+0.0015579i,-0.0020556+0.0014296i,-0.0020307+0.0015219i,-0.0016466+0.00085096i,-0.00015392-0.00034802i,0.001114-0.00058899i,0.00023381+0.0002825i,-0.00078723+0.00059483i,-0.00028148+0.00067078i,0.00089996+5.7857e-05i,0.00085733-0.0001959i,-0.00029116+0.00021663i,-4.4667e-06-0.00011888i,-2.7192e-05-0.00024332i,-0.00030262+0.00037996i,-0.00014479+0.000633i,-0.00028555+0.00070725i
-0.00085427+0.00049173i,0.00091692-0.00082871i,0.0019261-0.0013497i,0.00098436-0.00097283i,-0.0006268-2.5031e-06i,-0.0019692+0.00082203i,-0.0025645+0.0011095i,-0.0024066+0.00088233i,-0.0013125+0.001065i,-0.00023356+0.0014334i,0.00015752+0.00045538i,0.00040507-0.00053644i,-0.00018567+0.00063664i,-0.00060591+0.0015128i,-0.00021994+0.0011524i,-0.00019646-9.0489e-05i,-0.00015712-0.0011535i,-3.2857e-05-0.0005391i,0.00022186+0.00079868i,7.2878e-05+0.0016812i,-0.00044927+0.001407i,-0.0006869+0.00058409i,-0.00050482+0.00065084i
0.0012627+0.00065859i,0.0010237+0.00045782i,0.0010671-0.00053365i,0.00010695-0.00072678i,-0.0014905+0.00030694i,-0.0022676+0.000829i,-0.0018746+0.0013617i,-0.0014435+0.0015145i,-0.0013968+0.00088309i,-0.00040539+0.00046867i,0.00027967+0.00042728i,7.6712e-05-4.6207e-05i,-0.00022949-0.00027802i,0.00010515-2.5116e-05i,0.00030564-0.00070662i,0.00010782-0.00070471i,-0.00023157-0.00012065i,-0.00059187-0.0003019i,-0.00077049-0.00018604i,-0.0012863+0.00072732i,-0.0014904+0.00086803i,-0.00079794+0.00014892i,-0.00053673+0.00086889i
0.0017237+0.00054089i,0.0012417+0.00031334i,0.00049843-0.0008896i,-0.00028174-0.0014132i,-0.0016157+3.8465e-05i,-0.0025915+0.0015923i,-0.0022046+0.0018005i,-0.0012384+0.0017658i,-0.00054742+0.0015444i,-0.00073209+0.00077369i,-0.00037646+2.8449e-05i,0.0012373-3.2321e-05i,0.0019312+0.00015954i,0.0014311+0.00053713i,0.0010433+0.00023849i,0.0014154+0.0003105i,0.0012251+0.00083654i,0.00066081+0.001144i,-2.3372e-05+0.00051611i,-0.00033972-5.6256e-05i,0.00038693-0.00044072i,0.00026866-0.00063718i,-0.00030715-0.00055608i
-0.0012728-0.0018321i,-0.00022094-0.0016629i,0.0016937-0.00032246i,0.00099058+0.00018779i,-0.00019581+0.00031391i,-0.00083652+0.0013514i,-0.0012123+0.0017176i,-0.0011772+0.00084625i,-0.001238+0.00053512i,-0.00095423+0.0010792i,1.5112e-05+0.00093471i,0.00022291+0.00039526i,-3.501e-05+0.00083348i,-5.4219e-05+0.0010195i,0.00036623+0.00040301i,0.00068161+0.00024547i,0.00030516+0.00038529i,0.00059527+0.0007056i,0.0007663+0.00060759i,0.00033299+0.00014946i,-0.00022524-0.00077329i,-0.0010607-0.00048979i,-0.0011182+0.00054058i
0.0020434-0.0018029i,0.0025787-0.0018559i,0.0019595-0.0013119i,-1.9394e-06-0.0013253i,-0.0020812-0.00039009i,-0.0029916+0.0013527i,-0.0019008+0.0025507i,-0.00089917+0.0023218i,-0.0010899+0.0013833i,-0.00082712+0.00042219i,0.00028185-0.00077013i,8.7978e-05-0.00043974i,-0.0010526+0.00080469i,-0.00074527+0.0010641i,-0.00017517+0.00096673i,-8.4684e-05+0.0007333i,-1.8861e-05-0.00017198i,-0.00051245-0.00071769i,-0.00094575-0.00033734i,-0.00017454-0.00018853i,-0.00025247-0.00014069i,-0.00096117-0.00032481i,-0.00066685-0.00052061i
0.0027776-0.00013542i,0.0028135+0.001912i,0.0023868+0.0010975i,0.001163-0.0012383i,-0.00035554-0.00092444i,-0.0012621+0.00090512i,-0.0014453+0.0013592i,-0.00086814+0.0010395i,-0.00086809+0.00032951i,-0.00072574-0.00010645i,-0.00049473+7.6652e-05i,-0.00030358+0.00045885i,-9.5184e-05+0.00010373i,0.0006736-1.0063e-05i,0.0010424+0.00088147i,0.00033415+0.00049734i,-0.00020975-0.00020688i,-0.00035685-0.00028976i,0.00048748-0.00033133i,0.0012811+5.8115e-05i,0.00044207+0.00096145i,-0.0004115+0.00043593i,-0.00040019-0.00041529i
-0.0012811+0.0017019i,-0.00072019+0.0017523i,5.4207e-06+0.002203i,0.00016578+0.0020025i,-0.00057952+0.00073765i,-0.0010937+0.00080299i,-0.00076733+0.0010631i,-0.00044747+0.00063625i,-0.00068704+0.00051371i,-0.00054915-0.00013727i,0.00048742-0.00029345i,0.0013398+0.00038393i,0.00056108+0.00031248i,-8.4482e-05-0.00028875i,0.00011703-0.00020419i,-0.00010614+0.00036684i,-0.00048236+0.00043331i,-2.4347e-05-0.00028171i,0.00061834-0.00061872i,0.00074831-0.00046111i,0.00054383-0.0002792i,0.0004003+0.00039394i,0.00012118+0.00042449i
0.0011588-0.0014046i,0.00078791-0.0010872i,0.0010031-0.0013919i,-0.00021286-0.0018367i,-0.0027526-0.0012152i,-0.0037276+8.9939e-05i,-0.0029425+0.0013738i,-0.0023216+0.0013394i,-0.0018877+0.00097857i,-0.0012033+0.001049i,-0.00014831+0.00037305i,0.00015812+0.00011596i,-0.00060987+0.00035197i,-0.00056924+0.00065178i,0.0001854+0.00072644i,0.00047729+7.6168e-05i,0.00044185-0.00097153i,0.00059413-0.00061973i,0.00028279+0.00061063i,-0.00024313+0.00066832i,-0.00084126+0.00039058i,-0.0011713+0.00017654i,-0.00094813+0.00059488i
0.00089355+9.6231e-05i,0.00053258-0.001252i,0.00079405-0.0013789i,0.00012079-0.0011117i,-0.001242-0.0010905i,-0.0018609-0.0010734i,-0.0011823-4.337e-05i,-0.00074822+0.0012481i,-0.00016005+0.0016597i,0.0011232+0.0011011i,0.0016879+0.00011749i,0.00040493-0.00044899i,-0.00027173-0.00088726i,0.00012784-0.0006911i,-0.00019835+0.00036808i,-0.00083113+0.00052238i,-0.00071627+0.00056693i,-0.0001803+0.00053648i,0.00021598-0.00030008i,0.00041772+9.6235e-05i,0.00024937+0.00053667i,0.00020287-0.00016506i,-0.00019434-0.00054935i
0.0012213+0.0018127i,0.00099025+0.0017876i,0.0014344-0.00046742i,0.0011726-0.0017612i,0.00029226-0.00082745i,-0.00094812+0.00092645i,-0.0010327+0.0014885i,-0.00063731+0.001021i,-0.00046157+0.00058807i,4.3682e-05+0.00063026i,0.00031923-0.00014818i,0.00085348-0.00087372i,0.00058801-0.00020104i,0.00019398+0.00049991i,0.00085023+0.00045272i,0.0010643+0.00020217i,0.001097-7.2516e-05i,0.00085547+3.1123e-05i,0.00023327+0.00035797i,-5.1615e-05+0.00019932i,0.00015292+0.00014014i,-0.00021047+0.00070386i,-0.00053279+0.00022709i
0.00015639+0.0012517i,0.00059834+0.0015591i,0.0022165+0.0011859i,0.0020634+0.00056474i,2.929e-05+0.0003606i,-0.0017058+0.00041335i,-0.0019166+0.0003087i,-0.00080708+0.00025247i,-0.00099684+0.00047571i,-4.4209e-05+0.00057339i,0.00096582+6.54e-05i,0.00056204-0.00045531i,0.00068157-0.00066267i,0.00037646-0.0007722i,0.00021066-0.00035743i,-0.00012666-9.4267e-05i,-0.00036169-0.00044702i,0.00060871-0.00068617i,0.00097543-3.5737e-05i,0.00055734+0.00045965i,0.00028985+0.00024068i,5.8283e-05+0.00065863i,-0.0001523+0.00035264i
-0.0018216-0.0022656i,-0.0012182-0.0018773i,-0.00098822-0.00031175i,-0.00056015+0.00068059i,-0.0015026+0.0011266i,-0.0019823+0.0012023i,-0.00068358+0.0010214i,-0.00033716+0.001294i,-0.00077209+0.0015338i,-0.00063989+0.00073265i,-0.0006289-0.00093379i,-0.00092-0.0012765i,-0.0009597-0.00020722i,-0.00038781+0.00046185i,-0.00011037+0.00047838i,-0.00081329+0.0004702i,-0.0006953+0.00026666i,-0.00050024-0.00040409i,-2.4591e-05-0.0010539i,0.00057154+1.4232e-05i,0.00022141+0.00062638i,-0.00020633-0.00063707i,-4.6425e-05-0.001009i
0.0027797-7.0261e-05i,0.0025694-0.0010214i,0.0024514-0.002759i,0.00032049-0.0031973i,-0.0028144-0.001609i,-0.0032425+0.00067701i,-0.0022554+0.0016163i,-0.0014899+0.0014308i,-0.00097091+0.0012641i,-2.7472e-05+0.00048351i,0.00083418+8.4274e-05i,0.00053524-0.00020417i,-0.00058389-0.00022147i,-0.00063362+0.00033291i,9.2879e-05+0.00045071i,0.00026548+0.00043175i,1.4713e-05+0.0013387i,-0.00031326+0.001682i,-0.00061343+0.0010773i,-0.00036326+0.0006311i,-0.00041353+0.00031499i,-0.00052162+0.00045301i,-0.00011344+0.00044179i
-6.9431e-05+0.0010456i,0.00074452+0.0013629i,0.0022426+0.0011298i,0.0023562+0.00039725i,0.00026986-0.00069135i,-0.001769-0.0005617i,-0.00094781+0.00067122i,-0.00014964+0.0010702i,-0.00070106+0.00072985i,-0.00041898+0.00066933i,0.00023817+0.00016794i,0.00041936-0.00063398i,0.00024055-2.036e-05i,-0.00026831+0.00041793i,-1.6345e-05-0.00013828i,-9.709e-06-3.9043e-05i,5.8066e-05+1.4627e-05i,0.00030493-7.7222e-05i,0.00060371+0.00054181i,0.00097444+0.00082437i,2.9976e-05-2.0287e-05i,-0.00073163-0.00068803i,-0.00018675-0.00029585i
-0.00065073-0.00049874i,-0.00042467-0.00026678i,-0.00021205-0.00096519i,-0.00046082-0.00094661i,-0.0015828+0.00067148i,-0.0023752+0.0018714i,-0.0023123+0.0018309i,-0.0022022+0.0015764i,-0.0016384+0.00060552i,-0.00063044-0.00027277i,0.00061231-7.8069e-06i,0.0011323-0.00063137i,0.00062704+2.5778e-05i,0.00051107+0.001281i,0.00080434+0.0011768i,0.00069187+0.0010147i,3.491e-05+1.3208e-05i,-0.00059829-7.17e-05i,-0.00044653+0.00061626i,-0.00024556+0.0010715i,-0.00049548+0.0013657i,-0.00045222+0.0001659i,-0.00027047-0.00055562i
0.0004814-0.00019966i,0.001291+0.00038213i,0.0019736+0.00049163i,0.0018912+0.00030121i,0.00025277+0.00043608i,-0.0011139+0.0016803i,-0.0015759+0.0023078i,-0.0014042+0.0015547i,-0.0013285+0.00066249i,-0.0009104+0.00030712i,0.00039438-0.0002276i,0.0016102-0.00051872i,0.00094893+0.00040072i,-0.0004733+0.00032567i,-0.00049591-0.00025927i,0.00025404+0.0002105i,0.00067987+0.00083728i,0.00072945+0.00056049i,0.00023256-0.00028008i,-0.00068538-0.0005178i,-0.00011365-0.00091382i,0.00085173-0.00049852i,0.00074401+0.00055097i
0.0016324+0.000326i,0.0023155+7.1201e-05i,0.0015363-0.00050258i,-2.7062e-06-0.00077672i,-0.0011701-0.00058733i,-0.0019501+0.00023446i,-0.0014165+0.00091487i,-0.0012932+0.00074838i,-0.0011856+0.00038052i,0.00025572+0.0001366i,0.00080462+1.091e-05i,0.00022719-0.00043436i,-0.00015754-0.00087862i,4.9224e-05-0.00075214i,0.0004619-0.00027059i,0.00040295+0.00027364i,-0.0001648-0.00014822i,-0.00035562-6.6516e-06i,-0.00041698+0.00010386i,-0.00060717-0.00026554i,-2.7327e-05+6.9546e-05i,-6.9743e-05+0.00048654i,-0.00095327-1.9608e-05i
0.00081772+0.00065404i,0.0017719+0.0003978i,0.0022744+8.4769e-05i,0.0011419-0.00022099i,-0.001077-0.00097993i,-0.0025654-0.00039461i,-0.0024676+0.00057519i,-0.0016967+0.00065863i,-0.0012913+0.00033349i,-0.00076464+0.00060932i,0.00018906+0.00091942i,0.00090372+0.00047606i,0.00032908+0.0001762i,-0.0005323+0.00065296i,-0.00017486+0.00063515i,0.00070864+0.00011178i,0.00058899-0.00019987i,-3.6284e-05+0.00034724i,0.00030089+0.00071959i,2.3398e-05+0.0005531i,-0.0007689+0.0001663i,-0.00079572-0.00038097i,-0.00065069+3.3321e-05i
-0.00087429-0.0011717i,-0.00073136-0.0011881i,-0.00051283-0.0012664i,-0.00042055-0.0012632i,-0.00037635-0.00037939i,-0.0010333+0.00015206i,-0.0010948+0.0012423i,-0.00033991+0.0016584i,-0.00048773+0.0011222i,3.0857e-05+0.0012963i,0.00078434+0.00061469i,0.00067309-0.00069199i,0.00048558-0.00062577i,1.1496e-05+0.00014266i,-0.00077364+0.00022844i,-0.00099725+0.00023041i,-0.00047933-0.00028402i,-0.00029107-0.00037142i,0.00012363+0.00044283i,0.00055521+0.00027014i,0.00048883-8.545e-05i,0.00017476-0.00051908i,0.00022672-0.00033128i
0.0012755-0.0015819i,0.002296-0.0018106i,0.0018666-0.0019841i,-9.759e-05-0.0017726i,-0.0026541-0.0010612i,-0.0033914+0.00053509i,-0.0021283+0.0014831i,-0.0023485+0.00089853i,-0.0029736-3.3822e-05i,-0.0011981+0.0003114i,0.00098736+0.00028809i,0.0006895-0.000119i,2.4285e-05+0.00055184i,-0.00012968+6.7612e-05i,6.4773e-05-0.0010965i,0.0002603-0.0010122i,3.1799e-05-0.00031945i,0.00031912-0.00034425i,0.00045564-0.0005633i,-4.8192e-05-0.00033891i,-0.00020303-2.5241e-05i,-9.071e-05+0.0001866i,-0.00060329-0.0001897i
0.0014244+0.0011719i,0.0018035+0.0010652i,0.0026424+0.00057562i,0.0012592-0.00057153i,-0.00089718-0.0015007i,-0.0018951-0.0010431i,-0.0012291+0.00045395i,-0.0011173+0.0015392i,-0.0012659+0.0012956i,-0.00049978+0.00083169i,0.00082944+0.00042546i,0.0010021-9.5282e-05i,0.00037717+0.00038748i,0.00017781+0.00090537i,0.00049628+0.00041259i,0.00040603+0.00048126i,-0.00028051+0.00068271i,-0.00063758+0.00041854i,-0.00011689+0.00049501i,0.00013637-0.00019346i,-0.00020175-0.00051145i,-0.0008105+0.00037619i,-0.001222+0.00034579i
3.419e-06-0.00031531i,0.00061448+0.00023953i,0.00038082-0.00041539i,-0.00036882-0.00061402i,-0.0018863-0.00030812i,-0.0023905+0.00065058i,-0.0011923+0.0011141i,-0.00074747+0.00094215i,-0.0010533+0.00075256i,-0.00050704+0.0010864i,0.00011536+0.00060199i,0.00044202-0.00038395i,0.0004723-0.00035177i,0.0001383-0.00037188i,-0.00020296-0.000668i,-0.00056041-0.00042961i,-0.00085444-8.4746e-05i,-0.0010501+0.00087467i,-0.00093024+0.0013491i,-0.0007563+0.00094947i,-0.00081479+0.00017218i,-0.00011707-0.00021966i,0.00074368+0.00021239i
-0.00065037-0.0017525i,0.00040995-0.0017339i,0.0010779-0.00095625i,0.0011166-0.0012202i,-0.00043546-0.00076418i,-0.001595+0.00067148i,-0.0020101+0.00091716i,-0.0023369+0.00084125i,-0.0021003+0.0012i,-0.00095893+0.0015627i,-0.00014042+0.0013183i,-0.00072943+0.00074931i,-0.00090573+0.00017181i,-0.00015869-0.00042562i,3.4968e-05-0.00022098i,-0.00051491-0.00015006i,-0.00075845-0.00065576i,-0.00046113-0.0012552i,2.4314e-05-0.0009333i,0.00019107+0.00020793i,0.0004325+0.00023725i,-7.5394e-05+9.9716e-05i,-0.0001398+0.00083711i
0.0041827+0.00083403i,0.0043105+0.0017286i,0.0045063+0.001292i,0.0017532+0.0004382i,-0.0019736+0.00038113i,-0.0033145+0.0010383i,-0.0024405+0.0014669i,-0.0010783+0.00155i,-0.00049268+0.0012827i,-4.5707e-05+0.00070448i,5.8821e-05-0.00023792i,-0.00017529+7.7977e-05i,-0.00082691+0.0010373i,-0.00062851+0.00071274i,0.00020638-0.00056108i,0.00057425-0.00065146i,0.00046517-0.00015787i,-9.7736e-05-0.00053465i,-0.0006876-0.00019425i,-0.00065886+0.00039593i,-0.0010089+0.00049903i,-0.00063367+0.00022201i,0.00018612+0.00058162i
0.00066837+0.00067156i,0.0013257+0.0020535i,0.0013657+0.00066235i,0.00027158-0.00045431i,-0.00098297-0.00039581i,-0.0018918+0.00085232i,-0.0013618+0.0013745i,-0.00063932+0.00088081i,-0.00049181+0.00064894i,-0.00042707+0.00016914i,-0.00059342-6.7981e-05i,-0.00089755+0.00022048i,-0.00048929-0.00015165i,-0.00010164-0.00036i,0.00023553+0.00049944i,0.00065539+0.00050474i,0.00014002-4.503e-05i,-0.00010803-0.00012966i,-0.00033374-0.00030905i,-0.00036515-0.00032729i,-0.00035945+0.00058604i,-0.00038808+0.00074659i,-4.8151e-05+0.00064703i
-0.00072475-0.0006137i,-0.00081595-0.00046038i,-0.00081992-0.000511i,-0.0006308-0.00072078i,-0.00097657-6.6456e-05i,-0.0016769+0.00078969i,-0.0019019+0.000834i,-0.0011513+0.0011666i,6.1955e-05+0.0013089i,0.00028577+0.0010091i,0.00017722+0.00010053i,-0.00013973-0.00081931i,-0.00027652-0.00042659i,1.7976e-06+0.00012576i,-0.00021748-0.00012897i,-0.00042255-0.00067792i,-0.00020112-0.00078557i,-8.4087e-05-0.0006839i,-0.00033624-0.000237i,-0.00074723+0.00026858i,-0.00061766-0.00014244i,-0.00030986-0.00091399i,-0.00024768-0.00020514i
-0.00012641-0.00097229i,0.00076431-0.0013241i,0.001044-0.0014793i,0.00047279-0.0012069i,-0.00073558+0.00011068i,-0.0023177+0.00055037i,-0.0020788+0.00053049i,-0.001072+0.00083592i,-0.0010179+0.001058i,-0.00061187+0.00058641i,3.1636e-05-6.6535e-05i,-0.00056555-0.00033274i,-0.00054299-0.0010478i,0.00038883-0.001502i,-0.00029865-0.0010255i,-0.00033146-0.00047048i,1.2954e-05-0.00029589i,-0.0010635+0.00014406i,-0.0019482+0.00013762i,-0.0010547+0.00032281i,5.5422e-05+0.00061497i,0.000219+0.00042098i,-5.5054e-05+0.0003979i
0.0017932+0.00078452i,0.0018873+0.0004033i,0.0025823+0.000173i,0.0025748-0.0013847i,0.00063859-0.0022516i,-0.0016874-0.00027023i,-0.0026292+0.001566i,-0.0013988+0.001474i,0.00023134+0.00038349i,0.00077503-0.00032469i,0.00098284+1.3427e-05i,1.092e-05-0.00036695i,-0.0015366-0.00054798i,-0.001233-0.00024488i,-0.00050846-0.00035182i,-0.00021979-0.00066649i,-0.00013324-0.00048776i,-0.00059242+0.00031529i,-0.00065571+0.00089653i,-0.0008689+0.0008611i,-0.00040726+0.0008374i,0.00072622+0.0007296i,0.0010446+0.0006588i
0.0012734+0.0015023i,0.0013045+0.00091469i,0.0024461+0.0002312i,0.0017814-0.00052056i,-0.001069-0.00078958i,-0.0023296-0.00025287i,-0.0015525+0.00039812i,-0.0014045+0.00095875i,-0.0011248+0.00036997i,-0.00068007-0.00017453i,-0.00047728-0.00048161i,0.000181-0.00013519i,1.1049e-05+0.00022177i,-9.2616e-05+0.00074289i,-0.00045578+0.0015256i,-0.00099501+0.0015761i,-0.00095784+0.00093835i,-0.00072824+0.00040002i,-0.00046078-8.67e-05i,-0.00059991-4.9237e-05i,-0.00031173+0.00023173i,0.00010912+0.00021835i,-0.00069526-0.00038724i
