-0.0017012+0.00089665i,-0.0010599+0.0017853i,-0.0011105+0.00050169i,-0.00091331-0.00092888i,-0.0019688+0.00046988i,-0.0017905+0.0016344i,-0.00091151+0.00083263i,-0.00057424-0.00031806i,0.0002723-0.00081295i,0.0006611-0.00054519i,0.00036487-0.00075908i,0.00022773-0.0011025i,-0.00038021-0.0013323i,-0.0011298-0.001024i,-0.001545-0.00052212i,-0.00047286-0.00020164i,0.0008009+9.5914e-05i,0.0015245-5.7538e-05i,0.0017168-0.00019211i,0.00094303+0.00014365i,-1.5451e-05+0.00068197i,-0.00077497+0.00078949i,-0.00038684+0.00028701i
-0.00065756+0.00056686i,-4.3758e-05-5.4894e-05i,0.0010626-0.00056646i,0.0010286-0.00084717i,0.00049183-0.00034041i,-0.0006502-0.00051712i,-0.00075188-0.00086889i,-0.00033507-0.00092893i,-0.00051378-0.00088104i,-0.00025112-0.00060129i,0.00076645+0.0001148i,0.00022971+0.00077984i,-0.00045584+0.00016544i,-0.00041761-2.5224e-08i,0.00014797+0.00033578i,0.00025888-0.00053875i,-0.0004787-0.0010146i,-0.00026523-0.00073455i,-0.00042584-0.00013137i,-0.00096113-0.00011938i,-0.00050386-0.0009209i,-0.00013717-0.0006781i,-0.00052043-0.00055354i
0.00036133-0.0013755i,1.4371e-05-0.00066974i,-0.00074151-0.00033845i,-0.00050596-0.00013666i,0.00085708+4.565e-05i,0.0012918+2.1559e-05i,0.00093049-0.00071384i,0.00083326-0.0011947i,0.00079255-0.0011891i,0.0002115-0.001321i,-0.00085945-0.0012148i,-0.0015133-0.00022764i,-0.0011797+0.00039602i,-0.00059327+7.5062e-05i,-0.00059119+1.8445e-06i,-0.00052195-3.3437e-05i,-1.5491e-05-0.00026374i,0.00014284-0.00047351i,-0.00024799-0.00047611i,-0.00074902-0.00022875i,-0.00056355-0.00027548i,0.00016262-3.3437e-05i,7.9802e-05+0.00050992i
-0.0011679-0.0010248i,-0.00050635-0.0010348i,-0.0012272-0.00046581i,-0.0015807+0.00027815i,-0.0010255+0.00075312i,-0.00042279+0.00023818i,4.5406e-05-0.00046987i,-0.00015158-0.00098706i,-0.00081912-0.00084084i,-0.00085814-0.00015941i,6.9051e-05-0.0003149i,0.00063208-0.00055607i,-0.00011227-0.00094773i,-0.00018874-0.0011755i,0.00049372-0.00015108i,0.00073357+0.00027128i,0.00049783+3.9527e-05i,0.00039556+0.00073635i,0.0004121+0.00053249i,4.8287e-05-7.3666e-05i,-0.00022793+0.00033976i,0.00047908+0.00078274i,0.00092207+0.00059226i
-0.00097291+0.0012691i,-6.811e-05+0.0016877i,0.00080477+0.0019912i,0.0012144+0.0011938i,0.0013616+0.00034518i,0.0014201-0.0006854i,0.00044716-0.0013286i,-0.00040727-0.00070087i,0.00024616+4.0279e-05i,0.00060406+0.00019475i,-4.1669e-05+0.000384i,-0.00040204-2.5392e-05i,-0.00040054-0.00048479i,-0.00063955-0.00025018i,-0.00013975+0.00065946i,0.00017976+0.00048043i,-2.3952e-05-0.00045645i,0.0001277+7.3383e-06i,0.00012508+0.00062551i,3.8386e-05+0.00062654i,0.0002079+0.00018978i,0.00018482+0.00017978i,0.00034724+0.0011659i
-0.00088482-0.001913i,-0.0011743-0.00084308i,-0.0027864-0.00022672i,-0.003256+0.00025676i,-0.0024033+0.0014401i,-0.0017179+0.0014388i,-0.00046006+8.8022e-05i,9.1117e-05-0.0010798i,-0.00027681-0.0018765i,-0.00022489-0.0013186i,-0.00051335-0.00040396i,-0.00033908+0.000248i,0.00041486+0.00045231i,0.00086054+2.2763e-05i,0.00081549-0.00011314i,0.00028829-0.00022265i,0.00040453-0.00026566i,0.00035537+0.00052772i,-4.8986e-05+0.00067417i,-0.00024776+0.00058704i,-0.00027806+0.00056352i,0.00021411+0.0010455i,0.00066417+0.00094096i
0.00038561-0.0012611i,-0.00019885-0.0016865i,0.0002728-0.0023522i,0.00024573-0.0021934i,-0.00029225-0.00040166i,-0.00024492+9.5871e-05i,-0.00017385-0.0007488i,-0.00054271-0.00078909i,-0.00020271-0.00069527i,-0.00019158-0.00061044i,0.00016525-0.00031532i,0.00046468+9.4465e-06i,-0.00029578+0.00020043i,-0.0011202+6.1373e-05i,-0.00092562+0.00044301i,-0.00034945+0.001259i,-0.00041137+0.0011308i,-0.00039448+0.00051763i,-0.00035815+0.00043453i,-0.00036568+0.00068158i,0.00013161+0.0011362i,-3.5537e-05+0.0011448i,-0.00041977+0.00046449i
-0.00080827+0.00081836i,-0.00052231+0.00059933i,-0.0008251+0.00090535i,-0.0012006+0.0012113i,-0.001158+0.00097762i,-0.00083253+0.00014725i,-0.00066012-0.00097135i,-0.00035038-0.0013421i,-0.00058132-0.0011228i,-0.00012885-0.00067097i,0.00028876-5.7118e-05i,0.00026924+0.00025237i,0.00030135+0.00040284i,-0.00043009+0.00066622i,-0.00043278+0.0006909i,-0.00073612+0.00036453i,-0.0010479-0.00014684i,0.00031613-0.00018718i,0.0010508-0.00057595i,-0.00021666-0.0015951i,-0.00070394-0.0012153i,-0.00016475+0.0001054i,-0.00030541+0.00085331i
0.00037763-0.00051608i,-0.00060072-0.00039449i,-0.00036703-0.00027835i,0.00039576+0.00076755i,0.00017567+0.0011725i,8.6436e-05+0.00078508i,0.000267+0.00042376i,-0.00010546+0.00034076i,-0.00029518-0.0006148i,-0.00054039-0.0015383i,-0.0013426-0.00098367i,-0.0012029+0.0002333i,-0.00010205+3.0677e-05i,1.2068e-05-0.00031824i,0.00026141+0.00050383i,0.00065727+0.00052816i,7.9386e-05+0.00013297i,-0.00051789+0.00014821i,-3.2071e-06+2.3976e-05i,0.00022162-0.0002972i,1.9812e-05-0.00038045i,0.00051185-0.00030036i,0.00063955-0.00062777i
-0.00013838-0.00040073i,0.00082273+0.00045711i,0.00082511+0.0014286i,0.00041674+0.0014918i,-0.00022254+0.0014705i,-0.00090279+0.00084187i,-0.00057799-9.4878e-05i,0.00038702+0.00045989i,0.00044482+0.00055901i,-7.7254e-05+8.1482e-05i,-0.00067284-0.00025356i,-0.0010511-0.0004227i,-0.00072151-0.00065568i,-0.00028964-0.00022178i,-0.00094896-0.000279i,-0.00088776-0.00038134i,-0.00039616+0.00049823i,-0.0002688+0.00035467i,-0.00054599-0.00034315i,9.6185e-05-0.00014035i,0.00051934+0.00035516i,0.00040319+8.8585e-05i,0.00025297-0.00074329i
-0.00044546+0.0010906i,-0.00030716+0.0011506i,-0.00018115+0.00091118i,0.00019401-0.00050212i,0.00018295-0.0015278i,-0.00031319-0.0010644i,-0.00083856+3.1682e-05i,-0.00067901-0.00020974i,-0.00027571-0.0011265i,-0.0001127-0.0015529i,0.0005489-0.0011402i,0.00030616-0.0003891i,-0.001006+0.00059871i,-0.0012715+0.00079411i,-0.00016058+0.00010836i,5.846e-05-0.00021457i,4.3559e-05-0.00043773i,0.00057667-0.00029014i,0.00095345-0.00022264i,0.00049826+0.00011345i,-0.0001963+0.00038539i,-0.0003853-0.0004822i,-0.0001701-0.00099906i
-0.00044258+0.00014794i,-0.0010149+0.00030201i,-0.0017279+0.00056785i,-0.00079927+0.00045744i,-0.00013779+0.00023497i,-0.00016482-0.00048989i,0.0003953-0.00086191i,0.00088449-0.0008122i,0.00037327-0.00089198i,-7.8473e-05-0.00019924i,0.00023392+0.00085098i,-3.4169e-05+0.00049554i,-3.9742e-05-0.0005353i,0.00054508-0.0010906i,0.00096978-0.00072209i,0.00051233+0.00012704i,-0.00056561+0.0006804i,-0.0004674+0.00027291i,-0.00010485-0.00058161i,-8.1844e-05-0.00018324i,-0.00017503+0.00017725i,-0.00044897+0.00039156i,-0.00027336+0.0011238i
0.00072407-0.001043i,0.0002393-0.00025286i,0.00045473-0.00073367i,0.00077007-0.00068238i,-0.00028952-0.00018142i,-0.00095677-0.0009466i,-0.00029373-0.0012642i,0.00014178-0.00063818i,7.0432e-05-0.0001153i,-0.0004628-5.3512e-05i,-0.00058832+3.131e-05i,3.8367e-05+1.5594e-06i,0.00057262+5.2957e-05i,0.00060688+0.00026043i,0.00050882-0.00021931i,0.0003713-0.00034691i,-0.00025021+0.00037492i,-0.00067195+0.00046816i,-8.5165e-05-0.00038326i,0.00045055-0.000442i,0.00037679+0.00034712i,-0.00037204+0.00090593i,-0.00054606+0.00077888i
0.00038777+0.00046598i,0.00032742+0.00057395i,-0.00037801+0.00027491i,-0.0017571-0.00040327i,-0.002345-0.00064936i,-0.0016821-0.00016264i,-0.0011566-0.00047976i,-0.00053686-0.0010229i,9.3519e-05-0.0014789i,5.7208e-05-0.0014536i,-0.00045442+6.7616e-05i,-0.00030828+0.00079801i,0.00033203+0.00047664i,2.4145e-05+0.00056108i,-2.0257e-05+0.00028322i,-1.3403e-05+0.00012457i,-2.8171e-05+0.00053506i,0.00018896+0.00026466i,-6.43e-05+4.9111e-05i,-0.00021716-1.118e-05i,-0.00068137-0.00038112i,-0.00068613-0.00088593i,-0.00068594-0.00022341i
-0.00087418-0.0009794i,-4.7511e-05-0.0011748i,-0.00016733-0.00089208i,-0.0012848-0.0007302i,-0.0015439-0.00092849i,-0.00095938-0.00086129i,-0.00017083-0.00097429i,-3.1578e-05-0.001443i,-6.0232e-05-0.00056564i,3.5035e-05+0.00024492i,0.00024517-0.00034305i,0.00034342-0.00048431i,0.00032224+0.00026965i,0.00076087+0.00035121i,0.00048917-4.8289e-05i,0.00023148-9.1763e-05i,0.0010655-1.8109e-05i,0.0013485-5.6034e-05i,0.00079425+0.00045915i,-0.00033709+0.00029973i,-0.00043804+5.1857e-05i,-0.00023351+0.00075071i,-0.00064676+0.0005687i
-0.00077322-7.6248e-06i,-4.3545e-05+0.00022996i,-0.00013443+0.00071989i,0.00064468+0.0010565i,0.0017868+0.0013741i,0.0011279+0.00093419i,0.00088954-0.00068889i,0.00064484-0.0019924i,0.00036316-0.001152i,0.00012311+0.00011614i,-0.00019214-0.00013893i,-0.00050406-0.0007416i,-0.0010175-0.00068121i,-0.00099125+0.00021002i,-0.0011776-0.0001066i,-0.0003075-0.00060127i,0.001266-5.8617e-05i,0.0013804+0.00016627i,0.00079587-0.00028945i,0.00052277-0.00083961i,-0.00053551-0.00066722i,-0.0010536-0.00065765i,-0.0005297-0.00020177i
0.001069-0.00022932i,0.0014087+0.00038649i,8.2562e-05-0.00043905i,-0.00046785-0.0014409i,-0.00029313-0.00072657i,-0.00096892+0.00050808i,-0.0014768+0.0006277i,-0.0014453+5.1331e-05i,-0.0010707-0.00046077i,-0.00035567-0.00021295i,4.7424e-06-0.00015536i,0.00021823-0.00059315i,-0.00015798-0.00051861i,-0.00084484-0.00030343i,-0.00075303+0.00040844i,-0.00050197+0.00032161i,-8.5312e-06-0.00014577i,0.00043109-0.00011728i,0.00022304+0.00050907i,-0.0003206+0.0013763i,0.00012722+0.00061868i,0.00057053-0.00031979i,0.00028178-0.00011i
-0.00014973+0.0016574i,0.00028199+0.0017691i,0.00069038+0.0017547i,0.0013505+0.0016972i,0.001566+0.00050209i,0.00087925-0.00067512i,-0.00032254-0.0010019i,-0.0009262-0.00067266i,-0.00064785-0.00043273i,-7.3893e-05-0.00056149i,0.00022316-0.0002926i,-0.00028281+0.0002013i,-0.00098317+0.00057792i,-0.00085212+4.1274e-05i,-0.00013854-0.0004978i,-0.00033702-0.00032007i,-0.00067328-0.00010944i,-0.00011679-0.00048159i,2.0962e-05-0.0007188i,-3.6952e-05-6.0142e-05i,0.00021116+0.00058732i,8.5362e-05+0.00052229i,-0.00020849-0.00073822i
0.00073127-0.00045254i,0.00030759+0.00027868i,0.00027807+0.000146i,0.00039967+0.00017057i,-0.00023064+0.00057509i,-0.00078184+0.00057454i,-0.00019896+0.00079833i,-0.00013743+0.00078237i,-0.00076619-0.00040409i,-0.00024112-0.0013993i,-0.00022009-0.0010473i,-0.00061834+0.00014036i,-0.00072542+0.0011569i,-0.00053738+0.00097814i,0.00021877+0.00055604i,0.00043862+0.00043512i,-0.00022032-7.077e-05i,-0.00074525-0.00030826i,-0.00037092-0.00043573i,-5.6266e-05-0.00091607i,4.0934e-05-0.00060198i,-0.00028136-0.00016232i,-0.00038859-0.00050479i
-0.0019417-0.0023207i,-0.0021828-0.0019581i,-0.0019949-0.0019118i,-0.0014556-0.0010606i,-0.00044687+0.0003295i,0.00023823+0.00017801i,-0.00015338-7.5017e-05i,7.9538e-05-0.00036995i,8.6123e-05-0.0013567i,-0.00043976-0.0010989i,-0.00071475+7.8605e-05i,-0.00087907+0.00059592i,-0.00046599-0.00019689i,0.00011685-0.00035492i,-2.7997e-05-0.00050816i,0.00023505-0.00074281i,0.0013023-0.00032097i,0.0012579-0.00032274i,0.00056405-0.00027183i,0.0012356-0.00024601i,0.001171+0.00020672i,0.00041668+0.00064924i,0.00050618+0.00048916i
0.00094544-9.4931e-05i,0.0013297-0.00015665i,0.00045056+0.00078204i,0.0008154+0.00086554i,0.00067889+0.00097048i,-0.00049636+0.00010231i,-6.7378e-05-0.00034411i,0.00019502+0.00034747i,-0.00027177+0.00025999i,-0.00030302-0.00059523i,9.2824e-05-0.00066636i,-0.00010942-0.00067825i,-0.00013681-0.00045526i,-0.0002766+0.00049219i,-0.00041607+0.00071125i,-0.00015595+0.00023226i,0.0001837+7.6782e-05i,0.00042699+0.00029048i,0.00030839-1.3818e-05i,0.0001744-0.00017958i,3.0678e-05+0.00041755i,-9.0576e-05+0.000776i,0.00058393+0.00065046i
-0.00033479-0.00052743i,-0.0011862-0.00067298i,-0.0012313-0.00059799i,-0.0002275-0.00051186i,0.00063019-3.7054e-05i,0.00084649-2.3503e-05i,0.0014159+0.00066296i,0.0011198+0.00062746i,0.0001301-0.00065573i,-0.00047446-0.000678i,-0.00044448-5.7452e-05i,-8.7607e-05+0.0005248i,-0.00031429+0.00080177i,-0.00079969+0.0002627i,-0.0011445+0.00017039i,-0.00091608+0.00039868i,-0.00010781+0.00035335i,0.0006131+0.00054291i,0.00058244+5.4423e-05i,-6.4301e-05-0.00020248i,-8.0857e-05+0.00050118i,-2.5475e-05+0.00082454i,-0.00013324+5.7018e-05i
-0.0011224-0.00036302i,-0.00033819-0.00087101i,0.00057973-0.0011853i,0.00012145-0.0011653i,-0.00080894-0.00019475i,-0.00097253-0.00034315i,-0.00034644-0.00049819i,0.00038137+0.00012032i,0.00046748-0.00036066i,-5.5674e-05-0.00073774i,-0.00082215-0.00045111i,-0.00068578+0.00019591i,-9.7338e-05+0.00063532i,0.00082205+0.00025155i,0.00067754-0.00017548i,-0.00023785-0.00063855i,-0.00059084-0.0009035i,-5.8966e-05-0.00096932i,-0.0001353-0.00066396i,-0.00072152-1.8058e-05i,-0.00054999-2.2747e-05i,0.00033583+0.00029505i,0.00050394+0.00043706i
0.0008032-0.00011687i,0.00086237+0.0002823i,0.00029871-0.00042678i,-0.00018104-0.0010261i,-0.00059851-0.00059286i,-0.00082041-0.00022461i,-0.00015297-0.00022361i,3.3772e-05-9.6681e-05i,-0.00042358-0.00025519i,-0.00088578-0.00094854i,-0.00081408-0.00062731i,-0.0002757-0.0003106i,-0.00018131-0.00013123i,9.9144e-05+0.00029818i,0.0006079-0.00055354i,0.0001991-0.00095413i,0.00020999+0.0001183i,0.0007998-0.00015651i,0.00053808-0.00058509i,-0.000179-0.000489i,-0.00027475-0.00037505i,0.0003987-0.00019569i,0.00024829+1.664e-05i
0.00033269+0.00098665i,0.00054522+0.0010268i,0.00077099+0.00055976i,0.00079555-0.00059418i,0.00067531-0.0011947i,0.00014187-0.00088784i,0.00012073+0.00013757i,0.00012239+0.00030099i,-0.00045147-0.00043217i,-0.0003647-0.00060683i,0.00022679-0.00036937i,9.562e-05+0.00027462i,-8.8087e-05+0.00042978i,-0.0001823+0.00056573i,-0.00061625+0.00076257i,-0.00017438+0.00041151i,0.00040921-0.00063398i,9.1959e-05-0.0005747i,-0.00024437+6.9739e-05i,-7.7327e-05-8.7046e-05i,0.00048767+0.00044518i,0.00059643+0.00075244i,-0.00018841-0.00061568i
0.00029746+0.0013664i,0.00037386+0.0011869i,-5.0209e-06+0.0012634i,-0.00060391+0.0012479i,-0.00040797+0.00070372i,0.00014431+1.935e-06i,0.00038223-0.00018548i,8.5122e-05-0.00054153i,9.5303e-05-0.0011794i,0.00065042-0.0014609i,0.00036866-0.00099788i,-0.00039577-0.00027113i,-0.00027682+7.3898e-05i,7.8509e-05-0.00012552i,-3.1077e-05-0.00029887i,0.00013684-0.00035489i,0.00019973-0.00050176i,2.4314e-05-0.00072297i,0.00033282-0.00051921i,0.0011185+8.3263e-05i,0.0011524+0.00053818i,0.00038485+0.00068472i,-1.1377e-05+0.00056137i
-0.0011416-0.00062722i,-0.00055371-0.00062656i,-0.00094272+0.00030098i,-0.0015221+0.00083951i,-0.0015398+0.00068305i,-0.0014815+0.00033441i,-0.00064495-0.00057033i,-3.8533e-05-0.0015843i,-0.0003505-0.0015453i,-8.4276e-05-0.00086099i,0.00092846-1.8674e-05i,0.0019859+0.00038993i,0.0014348+0.00061045i,0.00038803+0.0005112i,0.00026756+0.00068093i,0.00029472+0.00062467i,0.00039026+0.00094295i,-2.1083e-05+0.00066081i,-0.00044965-0.00049449i,-0.00057907-0.00051873i,-0.00063291-8.4101e-05i,-0.00085687+6.2446e-05i,-0.00067027-9.7843e-06i
0.00035612+0.0010203i,0.0003832+0.00046815i,0.0011806-0.00033933i,0.0017307-0.00049061i,0.0015717-0.00063514i,0.00024885-0.00061627i,-0.00028187-0.00024603i,-0.00030177-0.00012661i,-0.0003797-0.00054554i,-0.00018165-0.0016159i,-0.00081144-0.0017308i,-0.0015201-0.00067101i,-0.0015495+2.139e-05i,-0.00064328+0.00088724i,0.00020996+0.0016865i,0.00017094+0.0018007i,0.00046399+0.0012862i,0.00073859+0.00021419i,0.00051391+6.6811e-05i,-0.00013485+0.00068883i,0.00018062+0.00045046i,0.00082936+0.00030153i,0.00041391+0.00028124i
-0.00029765-0.00015072i,0.0011108+0.001091i,0.00075819+0.0014756i,-0.00051857+0.00082718i,-0.0010844+0.00014122i,-0.00015268-6.4871e-06i,0.000174+0.0010326i,0.00061564+0.001226i,0.00019178+3.0178e-05i,-0.0010563-0.00030384i,-0.00092194+0.00020054i,0.00047192+0.00049531i,0.00068447+0.00043388i,0.0005866+2.9477e-05i,0.00050049+0.00053788i,0.0002538+0.00052711i,0.00042136-0.00063303i,0.00056318-0.00073967i,0.00022367-0.0011156i,0.00015484-0.0016532i,-7.1586e-05-0.0011563i,-0.00063281-0.00075882i,-0.0001982-0.00053889i
0.00017078+0.0009106i,-0.00033954+0.00024338i,-0.0002343+0.00050398i,0.00098445-0.00043635i,0.001481-0.0016208i,0.0011067-0.00088544i,0.0012648-0.00036759i,0.0012253-0.00077192i,-9.1879e-05-0.00079685i,-0.00075597-0.00019751i,-0.00040034-0.00018142i,-0.00022972-0.00015621i,-6.7552e-05+0.00050581i,0.00029272+0.0012577i,0.00026486+0.00086313i,0.00052477+0.00061263i,0.00090437+0.00060336i,0.00032967+0.00053988i,-0.00069456+0.00055388i,-0.0010994-0.00022369i,-0.00016408-0.00094705i,4.1249e-05-0.0011736i,-0.00069112-0.00086536i
-0.0004154-0.00038904i,-0.00077393-0.00059135i,0.00050692-0.00099738i,-4.7843e-05-0.00092341i,-0.00073943+5.7525e-05i,-0.0010602-0.00024494i,-0.00051431-0.001558i,0.00040288-0.00085146i,-2.6238e-05+0.00019658i,-0.00087923+0.00029567i,-0.00073176+0.00031004i,-0.00030864-5.5198e-05i,-0.00050807+0.00021802i,-0.00058032+0.0003678i,-0.00043052-0.00041139i,-0.00021576-0.00033878i,-0.0001172+0.00035729i,-0.00036101+0.00010811i,7.0003e-05-0.00063865i,0.00061161-0.00074423i,0.00033885-0.00076067i,-9.1222e-05-0.00058508i,2.2985e-05+0.00027519i
0.00027798+0.001128i,0.0011297+0.00054172i,0.0013328+0.00019899i,0.0016893-0.00014695i,0.0015888-0.00021031i,0.00081736-0.00035397i,0.00092388-4.4681e-05i,0.00098999-0.0004516i,-5.4719e-05-0.0011197i,-0.00063443-0.0011976i,-0.00083444-0.00038864i,-0.00065471+0.00062071i,-0.00089839+0.00089902i,-0.00069321+0.00071028i,-8.5519e-05+0.00049807i,0.00021741+0.00031859i,0.0011457-0.00024092i,0.001216+0.00016497i,0.00054547+0.0010673i,0.0010387+0.00079136i,0.00079368+0.00046745i,-0.00010075-5.3863e-05i,-0.00034423-0.00031248i
