2.4199e-05-0.0006671i,0.00014922-0.001781i,-0.00013845-0.0021599i,-0.00037367-0.0020725i,-0.0013945-0.001756i,-0.0011055-0.00094054i,0.00025391-0.00027582i,0.00034257-0.0001489i,-3.9772e-05-0.00013134i,0.00026673-0.00013282i,0.00033096-0.00067967i,5.2272e-05-0.0011083i,-0.0001127-2.5226e-05i,-0.00018575+0.0007633i,-0.00010375+0.00064254i,-0.00046884+0.0010389i,-0.00077194+0.001201i,-0.00050544+0.00039969i,8.9983e-05-0.00064953i,0.00054519-0.0012186i,-0.00022271-0.0010421i,-0.00041465-0.00081679i,0.0003909-0.00059033i
-0.0016886-0.002824i,-0.0017214-0.0031206i,-0.0014024-0.003227i,0.00030358-0.0024279i,0.0014073-0.001414i,0.00083226-0.00040134i,0.00047041+2.8799e-05i,0.00077862-0.00039805i,0.0010829-0.00040373i,0.00027044+7.9182e-05i,-0.00023887-5.2215e-06i,-0.00026029+6.7857e-05i,-9.0795e-05+0.00038238i,7.2971e-05+0.00024211i,-1.0351e-05-0.00027888i,0.00019029-0.00028997i,-3.5756e-06-0.00027568i,-0.00033915+0.0006886i,-0.0002114+0.0013119i,0.00021725+0.00027549i,0.0006373-0.00058639i,0.00043042-0.00065907i,-0.00028742-0.00036134i
0.0017506+0.00043476i,0.0021068-0.00089597i,0.0025141-0.00097283i,0.0020442-0.00083019i,0.0011514-0.0015272i,0.00035042-0.0019104i,5.4734e-05-0.00086757i,-0.00033378-0.00059179i,-0.00075667-0.00042813i,-0.00044422+0.0006606i,5.843e-05+0.00089914i,-0.00046633+0.00090911i,-0.0009008+0.0016139i,-0.00088685+0.0015308i,-0.00070513+0.00068014i,-0.00068366+0.00030489i,-0.00038519-0.00015806i,0.00028452-0.00076538i,-0.00043953-0.00043515i,-0.0010375-0.00053353i,-5.3968e-05-0.00081028i,0.0003833-0.00056536i,-2.9514e-05-0.00049076i
0.0009154-0.00077575i,-6.8155e-05-0.00031849i,-0.00026423-0.0011829i,0.00025009-0.0018245i,0.00069781-0.0017786i,0.0009026-0.00060101i,0.00069995+0.00018781i,0.0010964+6.1936e-06i,0.00092838+7.0332e-05i,-0.00035033-1.733e-05i,-0.0012941-0.00038703i,-0.0010364-0.00067006i,-0.00058774-0.00095061i,-0.00051424-0.00076438i,-0.00055787+7.9079e-05i,-0.00042605+0.0007347i,-9.815e-05+0.00039709i,0.00082317+0.00025217i,0.00043649-0.00041512i,-0.00014406-0.00081871i,0.00025447-0.00051168i,0.00074934-0.00031182i,0.0009734+1.7406e-05i
-0.00061279-0.00013799i,-0.00059371-0.0011856i,0.0013145-0.0011761i,0.0025339-0.00029641i,0.0013788+0.00015521i,0.00055026-0.00020766i,0.00091458-0.0009566i,0.001126-0.00078788i,0.0013899-5.349e-05i,0.00094607+0.00066987i,-0.00015847+0.00053612i,-0.00057629-0.00049926i,-0.00082814-0.00072399i,-0.0016467-0.00011627i,-0.0018902+3.6686e-05i,-0.0010686+0.00035342i,-0.00017043+0.00070024i,-0.0001566+0.00093853i,-0.00071769+0.0012349i,-0.0010265+0.00033666i,-0.00096721+0.00015002i,-0.00023496+0.00046017i,0.00063594+0.00016448i
0.00099924+0.0019575i,0.0011061+0.0010403i,0.0012449+0.00061599i,0.0016961-0.0011058i,0.0021392-0.0023497i,0.0012883-0.0018742i,0.00053658-0.0017405i,-6.5678e-06-0.0013219i,-1.7342e-05-0.0007522i,0.00039875-0.00034201i,0.00057938-0.00068926i,6.5386e-05-0.00016047i,-0.0011042+0.00034511i,-0.0012243+0.00021529i,-0.0011603+3.5897e-05i,-0.00027617+0.00032444i,0.00018743+0.00071356i,-0.00033607+0.00056603i,-0.00062428+0.00036532i,-0.00026978+0.00037278i,0.00097487+0.00029857i,0.0012+0.00032574i,0.00012203+0.00063318i
0.00072354+0.00081575i,0.0011406-0.00019339i,0.0011974-0.00027392i,0.0007835+0.00014126i,0.00053738-0.00050942i,0.00062449-0.0013381i,0.0011353-0.00075493i,0.00093944-0.00044528i,-9.6846e-05-0.00043181i,-0.00049766-0.00043858i,-0.00074984-0.00062207i,-0.001082-0.00044986i,-0.00099013+0.00013121i,-0.00081791-0.00015981i,-0.00049764-0.00058187i,-0.00029896+0.00037997i,-0.00010592+0.0004794i,-0.00014258-0.00049018i,-0.00098486-0.00056534i,-0.00083886-0.0003014i,-0.00064954-0.00016697i,-0.00092103-3.5537e-06i,-0.00066087-0.00053403i
-0.0013996-0.00041526i,-0.0015824-0.00026359i,-0.0020676-0.00097779i,-0.0014256-0.00067362i,-0.00021306+0.00044842i,0.00046591-0.00051352i,0.0013061-0.0018935i,0.0017017-0.0015982i,0.00084221-0.0014685i,-0.00024492-0.00098111i,-0.0010056+6.8152e-05i,-0.00093554+0.0010053i,-4.8562e-05+0.00045835i,0.00078705-0.00043091i,0.00060988-0.00020953i,0.00037056-6.7681e-05i,-8.5904e-05+0.00044806i,-0.00063192+0.00076848i,-0.00017042+0.00058329i,9.5041e-05+0.0007233i,-0.00069393+0.00065631i,-0.00037702-0.0001439i,0.00068307-0.00069769i
-0.00081645-0.00045403i,-0.00068382-0.00057688i,0.00013399-0.0016979i,0.00058186-0.0019367i,2.0215e-05-0.0013494i,-0.00015766-0.00047737i,0.00026071-0.00016464i,0.00011319-0.00058152i,0.00030607-8.2588e-05i,-0.00015944+0.00049858i,-0.00051093-0.00028661i,-0.00054385-0.00046509i,-0.0006039-2.2747e-05i,2.6889e-05-5.5306e-05i,0.00042192-8.6784e-05i,0.0003295+0.00020563i,0.00027377+0.00021422i,0.00053098-0.00047729i,-0.00020894-0.0010196i,-0.00085464-0.00076585i,0.00024273-0.00035021i,0.00069736-0.00037046i,0.00028045-0.00017215i
0.0016446-0.0010298i,0.0016612-0.001031i,0.0020271-0.0011106i,0.0020898-0.00085895i,0.0017886-0.00055155i,0.00097636-0.00023503i,0.00033671-0.00043921i,0.00051407-0.00044203i,0.00046181-0.00015433i,-3.4616e-05-0.00042921i,-0.00051096-0.00040654i,-0.00052304-0.00012238i,-0.00012215+0.00042932i,0.00050778+0.00083407i,2.864e-05+0.00041085i,-0.00061761-0.0003972i,-0.00055319-0.00053901i,-0.00036995+0.00041132i,-0.00031666+0.00063828i,3.4028e-05-0.00016336i,2.1169e-05-0.00032203i,-0.00025102+5.8915e-05i,-0.00024251+8.2559e-05i
-0.0013176-0.0014845i,-0.00085506-0.00022303i,-0.00087073+7.338e-05i,-0.000676-0.00072779i,-0.00010381-0.00091553i,0.00022585-0.00082758i,0.0006637-0.00069673i,0.0015207-0.00015554i,0.0013878+0.0003994i,0.00079042+7.0323e-05i,-0.00013373-0.00022679i,-0.0010418-0.00064459i,-0.0010028-0.00060406i,-0.00050329-4.1876e-06i,-0.00024779+0.00080063i,0.00025265+0.0012086i,0.00090174+0.00033784i,0.00051136-0.00011357i,-0.00026408-9.7578e-05i,-0.0009365-0.00021719i,-0.00034723-0.00018201i,7.4775e-05-2.5846e-05i,-2.8034e-05-0.00063667i
0.0010541+5.5367e-05i,3.6306e-05+0.00025847i,-0.00029242-2.0883e-05i,0.00052084-0.0005036i,0.00090091-0.0010011i,-0.00014792-0.00079342i,-0.00063988-0.00063304i,-0.00051538-0.00084429i,-0.00039141-0.00026615i,-0.00074708+0.00088939i,-0.00080262+0.0011355i,-1.6618e-05+0.0011707i,-0.00045935+0.0010518i,-0.0011166+0.00064465i,-0.00037867+1.0783e-05i,0.00051743-1.8018e-05i,0.00058924+0.00084667i,0.00018227+0.00088416i,0.00024957-0.00017034i,0.00033947-0.00044751i,2.3525e-05-0.00033821i,0.00030796-4.3422e-05i,0.00032103+0.00042714i
-0.00066227+0.00026048i,-0.0019794+0.0015175i,-0.0021402+0.0012634i,-0.00035944-0.00027533i,0.00061843-0.00080149i,0.00095735+0.00028822i,0.00066759-3.3516e-05i,5.5518e-05-0.00097261i,2.5427e-05-0.00032215i,-0.00048195+0.00032643i,-0.001158+0.00060988i,-0.0012047+0.00068957i,-0.0008203+0.00082098i,-4.0707e-06+0.00079151i,0.00064535+0.00041745i,0.00068547+0.00071013i,0.00021326+0.00026424i,-3.8504e-05-0.00054135i,6.052e-05-0.00061491i,0.00010963-0.00026286i,-0.00076366+0.00012741i,-0.0011701-0.0005022i,-1.2813e-06-0.0016141i
-0.00037457+0.0020529i,-0.0007459+0.00088734i,0.00014842-0.00073293i,0.00076992-0.0020909i,0.00067378-0.0023103i,0.00044269-0.0013301i,0.00091509-0.00080502i,0.0013034-0.00061606i,0.0010537+5.587e-06i,0.00016667+0.00030254i,-0.00091989-0.00016373i,-0.0014306-0.00044166i,-0.0010177-0.00018848i,-0.00027214-0.0002363i,-0.00018049+0.00052499i,-0.00089875+0.0016197i,-0.0008135+0.00086035i,-2.7974e-05-0.00094439i,0.00037348-0.001096i,0.00073388-0.00027983i,9.8787e-05-0.00064967i,-0.00012388-0.0006068i,-0.00016581-0.00017741i
-0.0011473-0.00044972i,-0.0014418-0.00030891i,-0.0016133+0.00012238i,-0.0011876+0.00088471i,-0.00034035+0.001464i,0.00024686+0.00043595i,0.00036709-0.00076935i,0.00028254-0.0016069i,7.39e-05-0.0011385i,-0.00010762+8.3098e-05i,0.00071556+0.00099109i,0.00062645+0.00096839i,-0.00031963+0.0001372i,-0.00059964+0.00027275i,-0.00054983-0.00044549i,-0.00031688-0.00049933i,-0.00059953+0.00021108i,-0.00038317+0.00021214i,-1.6998e-05-0.00025233i,-0.00021454-0.00058088i,1.4222e-05-0.00036401i,0.00025662-0.00016831i,0.00044793+0.00029001i
-0.0014015-0.00050425i,0.00026523-0.0011159i,-0.00010808-0.00093589i,-0.0010027-0.00078599i,-0.00041581-0.00036026i,0.0004377-0.00047757i,0.0013195-0.0005181i,0.0018558-8.3755e-05i,0.0010842+5.9814e-06i,-0.00016886+0.00010379i,-0.00056295+0.00050597i,-0.00041089+0.00051148i,-0.0004436+0.00034466i,-0.00041079+0.00067933i,-0.00030982+0.0011354i,-0.00087204+0.0010257i,-0.00054825+0.0010045i,-3.3736e-05+0.00068061i,-0.00037566+0.00027828i,-0.0001889+0.00010263i,0.00022916-0.00010595i,-0.00022908+0.00014549i,-0.00028876+0.00053079i
-0.0017795-0.00099803i,-0.00074218-0.00072152i,0.0002722-0.00031952i,0.00098262+0.00020696i,0.0013564+0.00032203i,0.0018581+0.00017243i,0.002065-6.0633e-05i,0.0013002-0.00044346i,0.00019248-0.00018571i,-0.00061863+0.00017767i,-0.0007953+0.00045276i,-0.00070961+0.00087906i,-0.00036218+0.00043602i,-0.00018251-0.00040529i,-0.001527-0.00031401i,-0.0014174+0.00042335i,-0.00040242+0.00073541i,-0.00074043+0.00025228i,-0.00027543+0.00023439i,0.00014204-0.000386i,-0.00018986-0.00095336i,0.00062015-0.00067274i,0.0017309-0.00024385i
-0.00064124-0.0020759i,-0.00088601-0.0015518i,-0.00083738-0.0016394i,-0.00025604-0.0011222i,-0.00050918-0.00055793i,-0.0010321+2.6871e-05i,-0.00060215+0.00028447i,0.00076854+0.00034217i,0.00038208+0.00030208i,-0.00084687+0.00042335i,-0.00045252+0.00066423i,-0.00033211+0.00052917i,-0.00094549+0.00056619i,-0.00077725+0.00072955i,-0.00023856-0.0001277i,-0.00012229-0.00047194i,-0.00046352+0.00036399i,-0.00050631+0.0001693i,0.00032379-0.001294i,0.00071119-0.00096978i,0.00066283-7.4253e-06i,0.00050023+0.00020781i,0.00020285-8.3376e-05i
-0.0022018+9.5352e-05i,-0.0013406+0.0017195i,-0.00041994+0.0020263i,0.0011426+0.0013306i,0.0021369+0.00061097i,0.0024309-0.00011427i,0.00086525-8.571e-05i,-0.00063756-0.00038027i,-0.00080088-0.00056315i,-0.00050685+0.00015901i,2.1029e-05+0.00031385i,0.00034193+7.9808e-05i,-0.00010682+0.00014956i,-9.5486e-05+0.00035748i,-0.00014727+0.00042772i,-0.0012691-0.00011463i,-0.0012335-0.00028956i,-0.00018589+1.6806e-05i,-0.00034997-0.00033214i,-0.00068896-0.00047932i,-0.00034694-0.00057057i,1.7138e-05-0.00052017i,-0.00038015-0.00018595i
0.00059724-0.002552i,0.00010418-0.0031309i,-0.0014969-0.0035823i,-0.0020886-0.0028673i,-0.0014688-0.0015125i,-0.00073008-0.00067228i,0.00062007-0.00040021i,0.0010656-0.00067404i,0.00077821-0.00064193i,0.00010831-0.00013572i,-1.3474e-05+0.00034337i,-0.00021934+0.00073593i,-0.00074367+0.00052112i,-0.0012516+8.0278e-05i,-0.00074798-0.00075958i,-0.00025862-0.00081426i,-0.00045254-0.00032875i,-0.00038526-0.00067189i,-0.00036842-0.00040263i,-0.00055759+0.00049797i,-0.00058797+0.00083545i,-0.00012369+0.00070635i,-0.00034505+0.00030576i
0.00078749-0.00049167i,0.00021139-0.00029911i,0.0012126-0.0010213i,0.0014114-0.0014342i,0.00024365-0.0015344i,0.00021914-0.0010051i,0.0012302-0.00078833i,0.00092412-0.00064892i,4.7273e-06-0.00029781i,-0.00028838-0.00073029i,-0.00032854-0.00075434i,-0.00073795-0.00032694i,-0.0013297+0.00039384i,-0.00094226+0.001121i,-0.00053871+0.0010164i,-0.00068473+0.00045711i,-0.00046298-0.00043089i,-0.00015979-0.00038585i,-8.0722e-06-0.00018494i,-0.0002576-0.00047349i,-0.00012785-0.00041856i,-0.00046899-0.00071556i,-0.00026741-0.0012245i
-0.00011362-0.00056324i,-0.00098781-0.00011202i,-0.0014434-0.00085169i,-0.0014949-0.0024668i,-0.0005831-0.0023613i,0.00059836-0.0019354i,0.0014123-0.0015001i,0.0010477-0.0009992i,0.00027766-0.001026i,8.4554e-06-0.0010416i,-0.00064644-0.00056401i,-0.0015946-0.00026006i,-0.00082341-0.0008215i,0.00021129-0.00088108i,0.00044237-0.00037499i,1.7237e-06-0.00033035i,-5.6272e-05-0.00054763i,0.00049294-9.1471e-05i,0.0003276+0.00049888i,-0.00066032+0.00020883i,-0.00059898-0.00053491i,1.538e-05-0.00070872i,5.8815e-05-0.00028238i
-0.00025771+0.00026403i,0.00093972-0.00062352i,0.00093303-0.0004676i,0.00065764+0.00012965i,0.00072989-5.2421e-05i,0.00075338-3.5066e-05i,0.00065396-0.00023378i,0.0007364-0.00037575i,0.00066035-0.00038084i,0.00026713+1.0841e-05i,0.00066463+0.00049946i,0.00041712+0.00050682i,-0.0008282+0.00013222i,-0.0011477+9.0768e-05i,-0.00033857+0.00060563i,0.00043565+0.00011473i,0.00042217-0.00016671i,9.7665e-05+0.0005632i,4.1304e-05+0.0011795i,-0.00014809+0.00072926i,-1.3516e-05-5.191e-05i,0.00019432-6.0106e-05i,4.4099e-05-1.2193e-05i
-7.0196e-05+0.00072275i,-0.00020259-0.00015435i,-0.00072065-0.0013362i,-0.00022237-0.0016098i,0.00030065-0.0014099i,0.000597-0.00072397i,0.0010665-0.00048047i,0.00042178-0.0011823i,-0.00012836-0.00157i,-0.00067504-0.0011292i,-0.0010703-2.8294e-05i,-0.00086236+0.00033374i,-0.0011513+9.6216e-05i,-0.0011985-3.798e-05i,-0.00065138+7.4837e-06i,0.00027834+0.00042307i,0.00061752+0.00067235i,0.00071963+0.00054528i,0.00064149+0.001099i,-9.4131e-05+0.001036i,-0.00025764+0.00038301i,0.00044113+0.00062708i,0.00031416+0.00069272i
-0.0021617-0.0013438i,-0.001956-0.00076351i,-0.00046221-0.00063169i,0.00045242-0.00095678i,0.00031309-0.00064142i,0.0011894-0.00071843i,0.0017139-0.00055824i,0.001098-0.00034573i,0.0009777+1.6737e-06i,0.00028148+0.00042852i,-0.00027027+0.00013392i,-7.5026e-05+0.00041325i,-7.3014e-05+0.00069981i,-0.00025628+0.00059717i,-0.00095259+0.00092684i,-0.00090868+0.0010011i,-0.00048438+0.00040951i,2.583e-05+0.00019754i,0.00026536-3.8362e-05i,0.00019383-0.00027677i,-0.00013075+0.00057571i,-0.00035802+0.00062973i,-0.0003392-0.00014479i
-0.00083161-0.0010851i,-0.00081867-0.00091784i,-0.000126-0.0013907i,0.001088-0.0012058i,0.0008095-0.0013033i,0.00023987-0.0010078i,0.00072742-0.00037023i,0.00088604-0.00044398i,0.00041688-0.00047639i,0.00034086-0.00034654i,0.00018506-0.0004254i,-0.00045161-0.00031262i,-0.00098374-2.7491e-05i,-0.0012524+2.5108e-05i,-0.00075371-0.00011964i,-0.0002406+0.00057305i,-0.00032474+0.0011871i,-0.00012422+0.00081668i,0.00024391+7.756e-05i,0.000285+0.00031924i,0.00035302+0.0006269i,0.00031214+0.00010277i,0.00049809+0.00011508i
0.0022536-0.0010256i,0.001431-0.00044516i,0.001787-0.00093126i,0.0026132-0.001512i,0.0021116-0.0018901i,0.0013273-0.0013371i,0.00097372-0.00030588i,0.00087032-9.842e-05i,0.00061105-0.00036175i,-1.3754e-05-0.00095081i,-0.00023019-0.00089569i,-0.00022726-0.00038674i,-0.00033692+4.4932e-05i,-0.00044854+0.00014664i,-0.00026667+0.00030354i,-0.00036201+0.00033902i,-0.00047318+0.0005328i,-0.00035034+0.00033044i,-0.00016333-0.00024325i,0.00022754-0.00082168i,0.00014746-0.0012733i,0.00073025-0.00062784i,0.0010303+0.00010342i
0.0025687+0.0017472i,0.0017491+0.0016518i,0.0020366+0.00045145i,0.0016878-0.0013784i,0.00091557-0.0026412i,0.00015151-0.0027671i,0.00011061-0.0015623i,0.00066729-0.0010356i,0.0012101-0.00060138i,0.00010259+7.5899e-05i,-0.00025968-0.00068784i,-2.9788e-05-0.0010917i,-0.00098961-0.00028765i,-0.0012374+9.0256e-05i,-0.0011427+0.00028608i,-0.00079814+2.2864e-06i,-0.00028616-0.00039999i,-0.00037883+0.00019308i,-0.00062494-0.0002271i,-0.0003656-0.00096856i,-0.00029712-0.001044i,-0.00018942-0.00055045i,1.5116e-05-0.00040886i
0.00098222-0.0005853i,-7.881e-05-0.00072678i,-0.00045667-0.0010778i,-0.00021366-0.00133i,0.00035858-0.00065317i,0.00051276-0.00021351i,0.00073628-0.00047297i,0.00042416-0.00080861i,-0.00030895-0.00065326i,-0.00081407-0.0003722i,-0.00077541+1.2913e-05i,-0.00039008+0.00042136i,-0.0006442+0.00012635i,-0.00075795+0.0001264i,-0.00088859+0.00065284i,-0.00054752+0.00090497i,-0.00021861+0.00071951i,-0.00064129+0.00054844i,-0.00015001-0.0001624i,-4.7313e-05-0.00055055i,-0.00032238-0.00015513i,1.5187e-05+0.00019993i,0.00063129+0.00042645i
-0.0023642+0.00024698i,-0.0019383+0.00028367i,-0.0012853+0.00071033i,-0.00060334+0.001433i,-0.00024552+0.0013392i,-0.00016496+0.00036588i,-7.0038e-05-0.00036453i,-0.0002098-0.00032051i,-0.00063598+0.00059542i,-0.00095766+0.0014377i,-0.00041636+0.00040779i,0.0001183-0.00026049i,-0.00034844-0.00027597i,-0.00103-0.00083433i,-0.0014194-0.00077102i,-0.0012206-0.00036298i,-0.00052614-0.00017239i,-8.7648e-05+0.00067501i,-0.00051869+0.0011904i,-0.00056216+0.0008015i,-0.00028649-0.00018829i,0.00024761-0.00034294i,0.0010283+0.0002652i
-0.00025412-0.00045117i,-0.00049906-0.00020726i,-0.00034502-0.00040234i,6.8362e-05-0.00081457i,2.6948e-05-0.0011991i,0.0001389-0.0012837i,0.00073312-0.0010872i,0.00044546-0.00092124i,-0.00044176-0.00064401i,-0.00091884-0.00032113i,-0.0014797-0.00053042i,-0.0013917-0.0007725i,-0.00032884-0.00043573i,-0.00029442+9.7792e-05i,-0.00095268-5.7649e-06i,-0.00071865+7.7902e-05i,-0.00020239-5.2299e-05i,-0.00016139-0.00015025i,-0.00012921-0.00094875i,0.00037821-0.0012749i,0.00060191-4.6829e-05i,0.00033335-3.9402e-05i,0.00079714-0.0012253i
-0.0010949-0.0032932i,-0.0021007-0.0029982i,-0.0020753-0.0026325i,-0.00081664-0.002583i,-0.00019031-0.0014236i,-0.00014428-0.00036616i,3.8006e-05+0.00023907i,0.00061853+1.2641e-05i,0.00067388-0.00037293i,0.00028864-0.00083432i,0.00045416+0.00010101i,0.00028686+0.0010595i,-0.00013063+0.0006601i,-0.00015992+0.00014898i,-3.022e-05-0.00046904i,-9.2375e-06-0.00027424i,9.9996e-05+0.00032758i,-1.8923e-05+7.988e-05i,-0.0002912-0.00034419i,0.00061523-0.00032953i,0.0011227-4.0261e-05i,0.00072569+0.00043075i,0.00078604+0.00092218i
