-0.00077314-0.00040337i,-0.0011314-0.00049443i,-0.0015845-0.00098167i,-0.0012622-0.00058318i,-0.00057449+0.00057053i,9.3507e-05+0.0010211i,0.00068839+0.0017017i,0.0015297+0.0021512i,0.00097494+0.0014351i,-9.4399e-05-0.00011258i,-0.00073184-0.0011019i,-0.0011376-0.00082137i,-0.00015343-0.00071363i,0.00058991-0.00024621i,-0.00020778+2.6263e-05i,-0.0004394+8.8017e-05i,-0.00010555-0.00022482i,0.00011051-0.00033035i,0.00022735+0.00047751i,0.00016263+0.0011438i,0.00069257+0.0010492i,0.00065784+0.00048917i,-0.00027152+0.00021941i
0.00013819+0.0018807i,0.00022965+0.00023378i,-0.00023566-0.00034166i,-0.00057775-0.00020183i,-0.00013156-0.00039429i,0.00066167+9.3627e-05i,0.001037+0.00021896i,0.0014294+0.00057496i,0.001111+0.00035319i,0.00026841-0.00033509i,-0.00069013+5.0372e-06i,-0.00069828+0.00045847i,-0.00041716+0.00013745i,-0.00012219-0.00099629i,-6.8331e-05-0.0018892i,2.7052e-05-0.0012277i,0.00048544-0.00068402i,0.00071256-0.00027122i,0.00051195+0.0005811i,4.6089e-05+0.00043418i,-0.00032871-0.00020384i,-0.00076205-8.8579e-05i,-0.00035352+0.00043238i
-0.0012461+4.1448e-05i,-0.0015113-0.00053719i,-0.001157-0.0006136i,-0.00048833-9.6155e-05i,0.00010385-0.00015458i,-0.00060158-0.0011269i,-0.0011446-0.0010382i,-0.00058939+0.00029348i,0.0006539+0.00062565i,0.0010295+0.00016444i,-0.00037944+0.00033564i,-0.0016753+0.00016253i,-0.0018791+3.6668e-05i,-0.0012541+0.00023039i,-0.00044051+0.00015791i,-5.5141e-05-6.5803e-06i,3.1572e-06-0.00021152i,3.3644e-05-0.00015668i,1.0536e-05-0.00025504i,-0.00035503-0.00025796i,-0.00071075+0.00024952i,-2.5996e-05+0.00053675i,0.00082566+0.00030088i
-0.00057422+0.0010458i,0.00073115+0.0010968i,0.0017265-8.7545e-05i,0.0010931-0.00020527i,0.00087645-1.73e-05i,0.0014819-0.0004548i,0.0011448-0.00012729i,1.5784e-05-0.0002946i,-0.00097231-0.00023452i,-0.00090877+3.8868e-05i,-0.00045168-0.00089494i,7.5205e-05-0.0014005i,0.00013471-0.00034284i,0.00011743+6.8244e-06i,0.00035722-0.00067209i,-0.00086399-0.0011476i,-0.0016572-0.00036523i,-0.00051854+0.00048833i,-5.8717e-05+0.00028079i,-9.1795e-05-0.00010427i,4.4998e-05-0.0002012i,-0.00019615-3.4928e-05i,-0.00029169+0.00028338i
0.00098808+0.00070212i,0.00084137+0.00099534i,0.00076704+0.001071i,0.001483+0.00057805i,0.0026132-0.00018875i,0.0028695-0.00050256i,0.0016964-2.8012e-05i,0.00056636+0.0004924i,0.00018228-0.00029483i,0.00012608-0.00063258i,7.9652e-05-0.00011543i,2.3624e-05-0.00044189i,7.4668e-05-0.00043347i,0.00014086-0.0003557i,0.00025315-0.00029005i,0.00072958-0.00040895i,0.00078804-0.0003658i,-0.00025247-0.00023896i,-0.00027204-8.8829e-05i,0.00017237-0.00041927i,-0.00028937-0.0007953i,-0.00048049-0.00014978i,-3.9465e-05+0.00024874i
-0.00058998+0.0018098i,-0.00047096+0.0014229i,0.0005162-0.0011329i,0.00032724-0.0024629i,-0.00013415-0.0014103i,-4.7395e-05-0.00067323i,0.00035203-0.00079327i,0.00010256-0.00059131i,0.00012591+0.00061198i,0.00051667+0.00076367i,0.00041784+0.00040313i,-0.00018306+0.0010233i,-0.00085385+0.00090383i,-0.00072029-0.00030312i,0.00035174-0.00078049i,0.0007713-0.00038237i,0.00047928-1.8855e-05i,-0.00058908+0.00034703i,-0.0010962+0.00037743i,-0.0005448+0.00015418i,0.00018825+0.00036582i,-4.8286e-05+0.0002524i,-0.00028558+0.00013766i
-0.00084659+0.00025025i,-0.0004565+0.00073279i,0.00066545+0.0017324i,0.0013356+0.0022654i,0.0013126+0.0014576i,0.0010652+0.0011029i,-4.7315e-05+0.00088097i,-0.00076172+0.00026972i,-1.6763e-05-0.0001665i,0.00010571-0.00011234i,-7.3463e-05+0.00022054i,0.00050932+0.00031884i,0.00037395+0.00039632i,8.1152e-05-2.239e-05i,4.3965e-06-0.00077693i,3.5716e-05-0.00091236i,0.00064305-0.00017838i,0.00061993-0.00013571i,-0.0001096-0.00068408i,-0.00014475-0.00025971i,-0.00017096+3.8238e-05i,-0.00039451+6.7305e-05i,0.00013323+9.2075e-05i
-0.00044907-0.00026728i,-0.00039565+0.0001852i,0.00040129+5.8421e-05i,-0.00024189-8.9684e-05i,0.00014494+0.00021211i,0.0014087-0.00037323i,0.0016478-0.00094096i,0.00087391-0.00047835i,0.00017264+0.00020478i,-0.00017446+0.00012452i,-0.00053716-0.00040419i,-0.00063246-0.00098966i,-0.00028024-0.0008153i,-0.00034836-0.0003588i,-0.00084257-0.00034478i,-0.00062016+0.00016914i,-0.00010855+0.00049049i,-0.00034436+0.00099667i,-0.00034561+0.00087031i,-6.8988e-05+0.00044443i,0.00022805+0.00066616i,0.00043646+0.00031084i,0.00072044+7.3201e-05i
-0.00038791+0.0014094i,0.00038795+0.00057188i,0.00066185+0.0015931i,0.0023254+0.0017154i,0.0021703+0.00061163i,0.0001401-0.0010838i,-0.00057764-0.0015322i,-0.00014258-0.00032043i,-0.00015887+0.00069057i,-0.00053605+0.00058473i,-0.00018082+0.00025031i,-0.0002484-0.00051734i,-0.00032437-0.0011638i,-0.00010759-0.00096886i,-1.3737e-05-0.0011195i,0.00022499-0.0012122i,0.00078887-0.00065843i,0.00042401-3.552e-05i,-0.00041323+5.9297e-05i,-0.00091055-0.00012171i,-0.00035693-0.00060553i,2.6321e-05-0.00045621i,-0.00058782+0.0007835i
-0.00037215+0.0011689i,-0.00054438+0.00097382i,-0.0012453-0.00016381i,-0.00090599-0.00037923i,0.00016703-0.0002469i,0.00080096-0.00041042i,0.001036+8.4516e-05i,0.00046162+0.00017061i,0.00017731+3.3764e-05i,0.00056085+0.0007648i,0.00045544+0.00088713i,0.00055589+0.00047668i,0.00075639+0.00015298i,0.00067885-6.2989e-05i,0.00025339+0.00052442i,-8.2601e-05+0.00072787i,-0.0004737-0.00015462i,-0.00050436-0.00026262i,-0.00011801+0.00060509i,-6.6483e-05+0.0003437i,-0.00034703+0.00022864i,-0.001025+1.7474e-05i,-0.0009859-0.00012996i
-0.0015367-0.0013958i,-0.0018171-0.0012725i,-0.0012081-0.0021403i,-0.00036818-0.0024827i,0.00055631-0.0013852i,0.00026709-0.00055321i,0.00021034-0.00061772i,0.00068371-0.00072238i,0.0007484-2.1541e-05i,0.00022506+0.0011254i,0.00023895+0.00081872i,0.00046373+0.00031635i,-2.8998e-05+0.00068066i,-0.00095425+0.00044603i,-0.0011273-3.0035e-05i,-0.00099814+0.00043981i,-0.001113+0.0010876i,-0.00035546+0.00068052i,0.00038318-3.3282e-05i,-6.687e-05-8.513e-06i,-9.8658e-06+2.1503e-05i,0.00059981+4.0032e-05i,0.00025749+0.00042578i
0.0004512-0.00090517i,0.0004945-0.00055571i,-0.00058105+0.00015635i,-0.00064623+0.00039665i,0.00061023+0.00049353i,0.0011564+0.00059599i,0.0010475+0.00026406i,0.00075426-0.00010013i,0.00020236+0.00045478i,-0.00059242+0.00083902i,-0.00063893+6.1509e-05i,-0.00023587+0.00022562i,0.00012311+0.00019277i,0.00022758-0.00015728i,-9.3962e-05+0.00017829i,-0.00072557-0.00017291i,-0.00099821-0.00013712i,-0.00039225+0.00013056i,0.0002352+0.0002893i,0.00057649+0.00027807i,0.00088853+8.9942e-05i,0.00017772+0.00018549i,-1.3576e-05+0.00043376i
-0.00059043+0.00025089i,-0.00025113+0.0015631i,0.00071258+0.0014475i,0.00098446+0.00031831i,0.00015595+7.1372e-05i,9.1249e-05+3.1921e-05i,0.00084287-0.00042325i,0.00059832-0.0003267i,0.0004722-7.7929e-05i,0.00093952+6.2573e-05i,0.00019272+0.00057824i,-0.00056561+0.00094935i,-0.00081003+0.00052136i,-0.00025698+0.00025655i,-0.00037301+0.00018933i,-0.0009717+0.00030888i,0.00018721+0.00042744i,0.0010241-0.00022716i,0.00082584-0.00027042i,-3.9598e-05+0.00012463i,-0.00037912+0.00010747i,0.00042717+0.00043676i,0.00050809+0.00062709i
0.00039032+0.0015027i,0.001097+0.0008988i,0.0018338-0.00033873i,0.0014471-0.0005645i,0.00019707-0.0002724i,-0.00055555-0.00074784i,-0.00094775-0.0010431i,-0.0010892-0.00066636i,-0.00079526-7.9896e-06i,-0.00062094-0.0010518i,-0.0011118-0.001926i,-0.0011092-0.0012954i,-0.00048084-0.00073268i,-6.8942e-05+0.00011914i,-0.00035681+0.00090001i,-0.00041015+0.0012382i,8.2691e-06+0.0013037i,0.000227+0.00053928i,-2.5273e-05-0.00036785i,5.4103e-05+0.00012282i,0.00043751+0.0010255i,3.4224e-05+0.00085727i,-0.00012319+0.00038582i
0.0010642-0.00014144i,0.0013198-0.00015475i,0.000526-0.00095206i,-2.6398e-05-0.0010678i,0.0012295-0.00049937i,0.0010913+0.00037704i,0.00037606+0.0013612i,0.00041739+0.00062403i,0.00036464-0.00048862i,0.00018411-0.00044927i,0.00017488-1.0329e-05i,0.00011483-0.00027718i,0.00027015-8.2779e-05i,0.00083022+8.1974e-05i,0.00084877-8.0658e-05i,0.00044359+0.00048879i,-0.00073096+0.00089858i,-0.0014431+3.9235e-05i,-0.00024919-0.00037039i,0.00063632+0.00016859i,0.00046036+0.00029295i,0.00045812-0.00042777i,0.00039851-0.00077524i
-0.00068966-0.0010712i,-0.000953-0.0012116i,-0.00063222-0.0007426i,-0.00014796-0.00043411i,0.00031582-0.000184i,0.00043416-0.00032623i,0.0007132-0.00089241i,0.0009507-0.00084799i,4.0739e-05-0.00034287i,-9.1483e-06+0.00019527i,0.00079639+0.00071969i,0.00056094+0.00096708i,0.00040522+0.0010496i,-0.00012467+0.00058677i,-0.00036349-8.9655e-05i,0.00043518-0.00063385i,0.00057781-0.0011055i,0.0002154-0.00066782i,0.00048862+0.00037384i,0.00081371+0.00078481i,0.00017253+7.9768e-05i,-0.00054121-0.0011834i,-0.00054282-0.0012882i
0.0014225+0.0012843i,0.0023238+0.00019389i,0.0023198-0.00041499i,0.0020329+0.00014396i,0.0011732+0.00053787i,0.00051082+0.00076395i,-0.00039173+0.0006918i,-0.00098652+0.00033577i,-0.00018361+0.0001812i,0.00031373+3.0787e-05i,8.4911e-05-0.00022005i,5.9972e-05-0.0004532i,-5.1739e-05-0.00035877i,-0.00054208+5.2454e-05i,-0.00035183+0.00040736i,0.00033598+0.00018808i,0.00052558-0.00070708i,0.0012396-0.00137i,0.0014067-0.00049162i,0.00093157+0.00045651i,0.00066444+0.00084909i,0.0005567+0.00051488i,0.00079027+0.00025651i
0.00049049+0.00033985i,0.00092885+4.1103e-05i,-0.00062971-0.00015871i,-0.0022326-0.00033357i,-0.0013536-0.00011546i,0.00050526+5.1963e-05i,0.00096474+0.00016354i,0.00094022+0.00031509i,0.0010838+0.00020113i,0.00030349-0.00054226i,-0.00057418-0.00099416i,-0.00063466+5.8601e-05i,1.4687e-06+2.3937e-05i,9.2417e-05-0.00064659i,0.00020587-0.00055069i,2.2891e-05-0.00065761i,-0.00078223-0.00052168i,-0.00052196-0.00034318i,-0.00014914-9.5625e-05i,-0.00013964-0.00027667i,-0.00018166-0.00054904i,-0.00018316-0.00027221i,-6.8723e-05+0.00043522i
8.7939e-05+0.00045352i,0.00021729+0.00073156i,0.0012331+0.00042616i,0.001087-0.00036707i,0.00049213-0.00054422i,2.7289e-05-0.00089252i,-1.971e-05-0.00083707i,0.00023043+0.00030462i,0.00050962+0.0011071i,0.00063587+0.00046191i,0.00055458-0.00041861i,0.00050259-0.00027264i,0.00047778-7.6364e-05i,0.00010362-0.00077752i,-0.00071588-0.00059607i,-0.00096481-0.0002443i,0.00047851-0.00088098i,0.0012108-0.00090431i,0.00030576+9.4069e-05i,-3.2412e-05+0.0008445i,2.7119e-05+0.0010407i,0.00010492+0.00057656i,0.00016901-0.00029264i
0.00049194-0.00069343i,8.2604e-05-0.00072999i,3.9574e-05-0.000115i,4.993e-06+0.00097785i,0.00070786+0.00025187i,0.0017125-0.00076952i,0.0011368+0.00011023i,-9.2092e-05+0.00084946i,-0.00033695+0.00034634i,-0.00026619+0.00024049i,-0.00041468+0.00080645i,-0.00063839+0.00090718i,-0.00063219+0.0006661i,-0.00066059+1.535e-06i,-0.0010412-0.00062384i,-0.001213-0.00086069i,-0.0006791-0.000486i,0.00034054+0.00023765i,0.00054021+0.00040401i,0.00038144-0.00016297i,4.0369e-05-0.00021821i,-0.00081829+8.7953e-05i,-0.0011048+0.00027282i
-0.00044117+0.00035498i,-0.00082227-3.8863e-05i,-0.001523-0.00072869i,-0.001715-0.00075676i,-0.0010535-0.00035113i,-0.00017406-0.00071466i,0.00033865-0.00040694i,0.00043015-0.00019511i,-0.00022433-0.00012597i,-0.00057577+0.00029374i,-0.00034448+0.00018719i,-9.3987e-05-0.0003676i,-0.00047238-0.00044254i,-0.00052091+0.00041568i,-0.00027581+0.00088968i,-0.00076683+0.00069911i,-0.00064823-5.9874e-06i,-0.0001129-0.00065732i,-0.00026392-0.00068122i,-0.00072422-0.00049996i,-0.00050393-0.00054283i,2.2575e-05-0.000575i,-0.00031971-0.0002072i
-0.00021354-0.0017054i,-0.00018869-0.00084752i,0.00053485-1.7153e-05i,0.0006814+0.00024751i,3.1275e-05+0.00037681i,-0.00032869+7.4896e-05i,-0.00066281+0.00073087i,-0.00043843+0.0010538i,0.00059285+0.00052965i,0.00087796+0.00055128i,0.00054238-0.00021813i,0.00065399-0.00059487i,0.0003332+7.6621e-05i,0.00060176+0.00040285i,0.00089144+8.5261e-05i,-6.0235e-05-0.00038107i,-9.6678e-05-0.00028578i,0.00033552+5.4882e-05i,0.00012384+0.00026771i,-5.3122e-05+0.00067984i,3.8824e-05+0.00081359i,6.6882e-05+0.00064352i,0.00090176+0.00054819i
0.00061006-0.0014346i,0.00025136-0.0012113i,-0.00034998-0.0011561i,0.00055937-0.00052332i,0.0012111+0.00056796i,0.0006956+0.00072948i,0.00078046+1.0543e-05i,0.0010681+0.00043912i,0.00088276+0.00042006i,0.00054288-0.00019688i,0.0006375-0.00049233i,0.00061739-0.00064728i,0.00059369-0.00037666i,0.00076556+8.4399e-05i,0.00019591+5.0056e-05i,-0.00018862+0.00017486i,-0.00016318-2.7357e-05i,-6.7944e-05-0.00074611i,0.00014441-0.00070867i,0.0001787-0.00046335i,0.00018109-7.5395e-05i,-2.536e-05+0.00048724i,-0.00038399+4.7953e-05i
0.00013918+0.00081273i,0.0001347+0.00063322i,0.00018261+0.00016213i,0.000228-0.00027937i,-3.1673e-05-0.0012585i,-0.00070493-0.0012559i,-0.00084666-0.0013244i,-0.00018818-0.00098897i,-9.5135e-06+0.00011194i,-0.00029175+0.00024319i,-0.00025932+0.00015482i,-0.00037854+0.0003853i,-0.0006518+6.5762e-05i,-0.00035319-4.101e-05i,-0.00068731+0.00019799i,-0.00083491+0.00058964i,-5.4501e-05+0.00088409i,0.0001631+0.00037889i,-0.00061221+7.908e-05i,-0.0013393+0.00022238i,-0.0012347+0.00037854i,-0.00085188+0.00042501i,-0.00030076-0.0003659i
0.00021042-0.0010542i,0.00010531-0.0019314i,-0.0012775-0.00039602i,-0.0016896+0.0013268i,-0.00091505+0.00089977i,-0.00031095-0.00031756i,-0.00011154-0.00049428i,-0.00011941+0.00010141i,-0.00017339+0.0004785i,-0.00061018+0.00017417i,-0.00037871-9.9043e-06i,-0.00026389+0.00024326i,-9.8342e-05+0.00052473i,-0.00028869+0.0010996i,0.00033466+0.00061582i,0.0007144+0.00059441i,0.00012998+0.00054822i,8.3872e-05+0.00026674i,-0.00018548+0.00019881i,-3.5057e-05-2.6319e-05i,0.00058225-0.00023167i,0.00094282-0.00062088i,0.0014178-0.00043568i
-0.0011951+0.00072972i,1.7327e-05-0.00015495i,0.00061849-0.00017768i,4.2413e-05+0.00039973i,0.00060927+0.00017993i,0.0018797-0.0006658i,0.0016952-3.2119e-05i,0.00053022+0.00099258i,0.00013121-0.00018095i,-0.00012094-0.0005251i,-0.00045386-0.0001751i,-0.00071805-0.00011403i,-0.00044048-0.00023673i,0.00033419-0.00063024i,0.00075145-0.000577i,0.00010823+0.00014205i,-0.00032462+0.00027652i,0.00012242-0.00047166i,0.0010081-0.0007308i,0.00063276-0.00059674i,9.8465e-05-0.00075603i,-0.00018168-0.00020758i,-0.0004475+0.00050902i
-0.0015101-0.0015941i,-0.0016785-0.0015594i,-0.0012961-0.00079316i,-0.0005369+6.5514e-05i,0.00013718+0.00099156i,2.5918e-05+0.00056361i,-0.0005988-0.000103i,-0.00068681+0.00029729i,-0.00011275+0.00023255i,0.00045075+0.00055248i,0.00069424+0.00060125i,0.00069096+9.3393e-05i,0.00047442-0.00043228i,0.00043702-0.00066251i,5.9993e-05-0.0010767i,-0.0005752-0.00076038i,-0.00047083+0.00011375i,-0.00052482+9.3908e-05i,-0.00033803-0.00064178i,-0.00017385-0.0007534i,-0.00061693+0.00022783i,-0.00020657+0.00067906i,0.00032734-0.00022049i
-0.00038067+0.00025657i,0.00044305+0.0011229i,-0.00016375+0.0019345i,-0.00063173+0.001581i,-3.34e-05+0.00084826i,-0.00024161-2.6776e-05i,-0.00097814-7.6478e-05i,-0.00079802+0.0012048i,-0.00041315+0.0012603i,9.904e-05+0.00035001i,0.00045697+0.00039275i,0.00058231+0.00035256i,0.0010337+0.00051116i,0.0011706+0.00031552i,0.00061784-0.0007748i,0.00055679-0.00067093i,0.00098221-0.00068492i,0.00050261-0.0012509i,-0.0002244-0.0014587i,-0.00079198-0.00090452i,-0.0010475-0.00040953i,-0.00071968-4.7157e-05i,-0.00026549+0.00013201i
0.00054001-0.0010469i,0.00028976-0.0010343i,0.00081082-0.00059995i,0.00055408-0.00050493i,0.00026945-0.00019545i,-0.00013967-0.00019876i,-0.00032403-0.00030453i,0.00062557-0.00016491i,0.00080905+0.00027002i,0.00045027+0.00016196i,0.00043586-0.00015924i,0.00020321+3.1225e-05i,-0.000276+0.00095082i,-3.4055e-05+0.0010575i,-0.00034106+0.00034117i,-0.00068078+0.0002866i,3.2779e-05-0.00022056i,0.00027162+0.00010305i,2.6776e-05+0.00067576i,-0.00012793+1.4557e-05i,-9.6722e-05-0.00022548i,-0.00014168+9.9266e-06i,-0.00022368+0.00022403i
3.7498e-05+0.00022903i,0.00054088-0.00040977i,0.00054747-0.00044587i,-0.00010445+0.00012794i,3.0086e-06+0.00048705i,0.0010498-0.00039994i,0.00094994-0.00046458i,-0.00055029-4.8389e-05i,-0.00072293-0.00019643i,-0.0003125-0.00022351i,-0.00036738-0.00039272i,-0.00059025-0.00066659i,-0.00056119-0.00044907i,-0.00029491-0.00047286i,6.0204e-05-0.00029506i,-3.1256e-05+0.00032343i,-0.00018424-1.0028e-05i,-0.00039665-0.00048105i,-0.0010431-0.00063217i,-0.00041025-0.0011161i,0.0006691-0.00081474i,0.00046402-0.00080883i,0.00024485-0.0014215i
0.0024173+0.00042698i,0.003634+0.00034221i,0.0022312-0.00026219i,0.00019152-0.00072029i,-0.00031052-0.00096169i,0.00049417-0.00079915i,0.00032997-0.00043303i,-0.00053685-0.00022401i,-2.7904e-05+4.3344e-05i,0.00061092-0.00013729i,4.7542e-05+0.00034871i,-0.00064447+0.0012436i,-0.0010913+0.0010188i,-0.00072923+0.00040778i,-0.00035632-0.00012776i,-0.0004466+0.00010946i,-0.00032967-8.0471e-05i,-0.00026164-0.001023i,0.00034763-0.00094407i,0.00038042-9.0246e-05i,-0.00014073+0.00036778i,-0.00038216+6.5493e-05i,0.00015599+0.000155i
-0.0012724-0.0026731i,-0.0017697-0.00083279i,-0.0021831+0.00033542i,-0.0014952+0.0020067i,-0.00022194+0.0020313i,0.0011274+0.0010509i,0.0017739+0.00049936i,0.0011784-0.00019663i,-0.00036899-0.00024146i,-0.0011346+0.00052384i,-0.0009015+0.00086627i,-0.00031431+0.00092314i,0.00063461+0.00064499i,0.0016228+1.0133e-05i,0.001576+0.00048625i,0.00097168+0.0002911i,0.00078335-0.00054194i,0.00030747-6.2312e-05i,-0.00027056+0.00037117i,4.2271e-05-0.00033523i,-0.00019126-0.00046458i,-0.00042238-8.3768e-06i,0.00035096-0.00029058i
