0.00031094-0.00030164i,-0.00011129-8.8678e-05i,-0.0023782+0.00033819i,-0.0026654-0.00043541i,-0.0017844+0.00075308i,-0.0014372+0.0022579i,-0.0004494+0.0025943i,0.00043672+0.0018223i,0.00071193+0.0007333i,0.00032865-0.00024042i,0.00021529-0.0011193i,0.00051034-0.0013045i,0.00048364-0.00053813i,0.00043645-4.8276e-06i,0.000118+0.00032364i,0.00045486+0.00019726i,0.00085842-3.1236e-05i,0.00016513+0.00015715i,-0.00041923+0.00066927i,-0.00065018+0.00083693i,-0.00022677+0.00030125i,0.00022376-0.00043291i,0.00028378-0.00038703i
0.0011478+0.0011953i,0.0012454+0.0022373i,0.0022318+0.0021446i,0.00221+6.5884e-05i,0.0019692-0.001296i,0.0017593-0.0011009i,0.0010842-0.000626i,-0.00051823-0.00080491i,-0.0012496-0.00096333i,-0.00077483-0.00068757i,-0.00018798-0.00047807i,-0.00036267-0.00011034i,-0.00062382-0.00029851i,-0.0006972-0.00061861i,-0.00038144-0.0005168i,-7.0205e-05+9.6311e-06i,-0.00089355+0.00066444i,-0.00096861+0.00034485i,0.00014952+1.9713e-06i,0.0004188+0.00043209i,0.00048995+0.00010769i,0.00034259-0.00048176i,-0.00014679-0.0005469i
-0.00094203-0.00043373i,-0.0015407-0.00054273i,-0.002053-0.00029187i,-0.0026383+0.00040444i,-0.0024844+0.0013971i,-0.00086814+0.0015828i,-0.00019513+0.00067637i,-0.00075482-0.00062367i,-0.00077043-0.0012486i,5.5168e-05-0.00013558i,0.00024424-0.00020077i,0.00069253-0.00065231i,0.0015556-9.8706e-05i,0.0009965-0.00019729i,0.00028945+0.00031112i,0.0006593+0.00065615i,0.00057805+0.00039856i,-0.00050194+0.00062809i,-0.0011981+0.00028135i,-0.0015773-6.7616e-05i,-0.0011972+4.7838e-05i,0.00021828-0.00017528i,0.00028451-0.00058627i
-0.0012297-0.00012726i,-0.0015434+0.001292i,-0.0018442+0.0015571i,-0.00086621+0.00079258i,-0.00066052+0.00075546i,-0.00056345+0.00056756i,-2.7654e-05-0.00029282i,-0.00032806-0.00071966i,-0.00097602-0.00068971i,-0.0007965-3.0379e-05i,-0.00034542-0.00025607i,0.0001111-0.00021144i,0.00038027+0.00050195i,0.00043798+0.00021948i,0.00055983+0.00052482i,0.00020435+0.00042956i,-0.00098925-0.00016086i,-0.00079743-0.00072925i,0.00023702-0.00085917i,0.00068153-0.00049082i,0.00092851-8.4815e-05i,0.00038176+0.0003273i,-0.00043726+0.00022077i
-0.0027236-0.00099864i,-0.0030386+0.00014234i,-0.0032187+0.0015597i,-0.0016123+0.0018623i,-0.00045417+0.0010028i,-0.00060621+2.1839e-06i,-0.00054182-4.2744e-05i,-0.00035121-0.0001437i,-0.00023552+0.00041236i,-0.00034312+0.00091195i,0.00014764+0.00073514i,0.00067628+0.00039788i,0.0001716-0.00011585i,0.0003923-0.00078104i,0.00047194-0.00051212i,-9.0071e-06+0.00059119i,-0.00020589+0.00031782i,0.00047-0.00058015i,0.0009508-0.00080892i,0.00030184-9.2848e-05i,-0.00022252+0.00054792i,-0.00023802+0.00049686i,-0.00035346+5.2306e-05i
0.0011001-0.0016219i,0.0020777-0.0025796i,0.0013256-0.0020634i,-1.4609e-05-0.0004916i,8.1444e-05+0.00073488i,0.00040465+0.0013784i,0.00035086+0.00078694i,0.00029382-0.00020636i,-0.0002641-0.00032361i,-0.0006437+0.00012801i,-0.0006281-7.9359e-05i,-0.001194-0.00046913i,-0.0013123+9.9196e-05i,-0.00078795+0.00038545i,-0.00025402-0.00025277i,-0.00059447-0.0005592i,-0.0010629-0.00029233i,-0.00031145+2.7559e-05i,2.3087e-05-8.0916e-05i,1.262e-05-0.00052061i,0.00033265-0.00041398i,0.00014047+8.1536e-05i,-0.00012865-0.00012245i
0.00067222-0.00096015i,0.00050417-0.00033081i,6.6907e-06+0.00020932i,-0.0006632+0.001251i,-0.0013542+0.00092066i,-0.00085003+0.00045212i,4.8097e-05+0.00032668i,-0.00050604-0.0002784i,-0.00056513-0.00058608i,0.00024451-0.00055979i,0.00016068-0.00031418i,0.00019638-0.00062302i,0.00064937-0.001146i,0.00067269-0.00033456i,0.00023212+0.00027181i,-0.00011051-0.00032147i,0.00067633-0.00023004i,0.00083107+0.00066187i,0.00028603+0.00069955i,0.00022609+0.0001534i,0.00060813-0.00036449i,0.00032646-0.00060524i,-0.00036167+0.00021836i
1.7159e-05-0.001413i,-0.00062526+0.00081996i,-0.0004647+0.0011959i,-0.00023568+0.00014419i,0.00011175-0.00021616i,0.00037681+0.0004918i,-2.5015e-06+0.00089154i,-0.00033276+0.00021975i,-0.00032499-0.0012263i,-7.6371e-05-0.0014411i,-0.00013773-0.0006836i,0.00011205-0.0006624i,0.00050333-0.00023192i,0.00096283+0.00039115i,9.0645e-05+0.00074456i,-0.0010641+0.0002785i,-0.00099644-0.00016084i,-0.0010073-0.00042409i,-0.00076208-0.00024383i,-0.00013025+0.00051638i,0.00029663+0.00059589i,0.00032862+0.00027857i,0.00015432+0.0001875i
-0.0020298-0.0024186i,-0.003492-0.0022134i,-0.0030301-0.0012823i,-0.0019553-0.00054221i,-0.0011156-7.3327e-05i,-0.0004964-0.00038676i,-0.00021169-0.00095545i,-0.00044842-0.001396i,-0.00040182-0.0010551i,-0.0002572-0.00035022i,9.9855e-05+3.9199e-05i,0.00094274+0.00043698i,0.0010285+0.00032499i,0.0013575-0.00049884i,0.0018294+0.00033226i,0.0012556+0.00089955i,-8.4053e-05+0.00059062i,-0.00029803+0.00015284i,0.00026143-0.00085049i,0.00084185-0.0010864i,0.00073047-0.00039325i,-0.00020887+0.00085556i,-0.00085266+0.00096618i
0.00093618-0.00029879i,0.0005532-0.00095102i,0.00071301-0.00090749i,0.0010326+0.00027804i,0.00064543+0.00012954i,-0.00027068-0.00069484i,-0.00071024-0.00063969i,0.00011937-0.00047937i,0.00053774+0.00042589i,-0.00029397+0.00075807i,-0.00085552-8.8272e-05i,-0.00060571-4.1557e-05i,-0.00046273+0.00015576i,-0.00096756-0.00051957i,-0.00075813-0.00095972i,4.2195e-06-5.8109e-05i,-0.00019432+0.00029308i,-0.0005833-0.00060166i,-0.00014404-0.00099891i,0.00067967-0.00086582i,0.00065687-0.00048533i,0.00018165-6.1417e-05i,0.00028239-4.5595e-05i
-0.00030544-0.0011423i,-0.0009032-0.002217i,-0.0017155-0.00098301i,-0.0014463+0.0008016i,-0.00044735+0.00088746i,5.2409e-05+0.00083961i,0.00070165+0.00070327i,0.00032477+9.8659e-05i,-0.0010606-0.00039437i,-0.0012674-0.00020382i,-0.0005759+0.00010591i,-0.00046956-0.00010762i,-0.00084498-0.00016653i,-0.00082283-0.00026298i,-0.00012801-0.00039265i,0.00044697-0.00036712i,0.00054122+9.5776e-06i,0.00043134+0.00065275i,0.00015636+0.00078574i,0.0001769+0.00046766i,0.00012154+0.00058076i,-0.00052754+0.00074651i,-0.0011512+0.00099611i
0.0008484-0.0014825i,0.00041373-0.00045279i,-0.00092031-0.00054113i,-0.0011937-1.0023e-05i,-0.00035375+0.00096685i,0.00059723+0.00084628i,0.00097744-0.00099591i,0.00057513-0.0013358i,-0.00037912-0.00029746i,-0.00033042-0.00026998i,3.2487e-05-0.00023553i,-7.7774e-05-0.00021231i,0.00011701+0.00049875i,0.00039668+0.00062074i,0.0012411-0.00028665i,0.0010329-0.00026332i,-6.3782e-06+0.00039263i,-0.00024181+0.00055321i,7.4208e-05-1.5218e-05i,-0.00019775-0.00018064i,-0.00079048-0.00027855i,-0.00031054-0.00063095i,0.00024285+4.1425e-05i
-0.00090255+0.00058221i,-0.0011539+0.0014694i,-0.0015375+0.0020313i,-0.0014438+0.0010264i,-0.00084989+0.00047559i,-0.00026655+0.00056334i,-9.752e-05-7.4104e-05i,-0.00056619-0.00064462i,-0.0017213-0.00060138i,-0.0015013+0.0003145i,-0.00019204+0.0012589i,0.00040565+0.00072491i,0.00055266-0.00034479i,0.00059256-0.0010584i,0.00023206-0.00085613i,-0.00014112-7.5321e-05i,9.7415e-06+5.9007e-05i,-0.00025322+7.3139e-05i,-0.00027855+0.0004744i,-2.6101e-05+0.0006526i,0.00023231+0.00056328i,-1.972e-05+0.00060003i,-0.00059832+3.1592e-05i
-0.00078272+0.0001199i,-0.00090845+0.00067607i,-0.0013067+0.0011725i,-0.00034263+0.0009179i,3.8063e-05+0.00055429i,0.00033833+0.00038876i,0.00099116+7.772e-05i,0.00032343-0.00090135i,-0.00028354-0.001587i,-0.00080238-0.00094196i,-0.00044601-0.00035991i,8.9713e-07-0.00010181i,-0.00040218-0.00079559i,-0.00047063-0.00046916i,0.0001135+0.00045444i,0.00076827+0.0002439i,0.00041311-0.00026826i,0.00016484+3.4963e-05i,0.00030761+5.6984e-05i,-0.00050896-0.00034203i,-0.0011266+0.00013223i,-0.00049887+0.00025146i,0.0003385+0.00033143i
0.00055304-0.0016018i,-0.0004878-0.0011598i,-0.0018821-0.0011779i,-0.0012993-0.00040834i,-0.0010099+0.00039858i,-0.00088396+0.0011259i,0.00014265+0.00020743i,0.00019231-0.0007029i,-0.00057049-0.00050307i,-0.00080292-0.00019404i,-0.0010737+0.00039101i,-0.00044634+0.00069546i,0.000797+0.00058142i,0.0011372+0.00098539i,0.0010451+0.0007044i,0.00051672-4.8884e-05i,0.00022679-0.00011727i,-0.00021408+0.00050295i,-0.0005662+7.8452e-05i,0.00012184-5.7495e-05i,-0.00028642+0.00013467i,-0.00078029-0.00018706i,-0.00015908-0.00017452i
-8.3837e-05+0.0017746i,-0.00068878+0.0019263i,-0.00024841+0.002082i,0.00017628+0.0010657i,-1.0224e-05+0.00035994i,-4.03e-05-0.00013444i,0.00044558-0.00016891i,0.00051118-7.5118e-05i,0.00049115-0.00067096i,0.00034895-0.00088286i,0.00023065-0.00051291i,0.00051737-0.0006825i,0.00063763-0.00090031i,-0.00016804-0.0010234i,-0.001106-0.00073246i,-0.0013162+0.0002854i,-0.00032968+9.3162e-06i,0.00014306-0.00037689i,-0.00088607+0.00037101i,-0.0011673-4.3311e-05i,-5.8456e-05-0.00053402i,0.00021533+0.00021811i,0.00023931+0.00071152i
-0.001643-0.0010131i,-0.0022339+0.00012714i,-0.0019234+0.00075124i,-0.0012801+0.00053957i,-0.00020797+9.2314e-05i,-0.00011868-0.00024598i,-0.00026341+0.00018633i,-0.00032174-0.00012006i,-0.00025671-0.00075862i,-3.0788e-05-0.0008932i,0.00037998-0.0012227i,0.0010587-0.00093184i,0.0012961+0.00024751i,0.00025244+0.00066468i,-0.00036425-5.5204e-05i,-0.00032182-0.00079372i,-0.00053893-0.00017283i,-0.0012433-0.00033502i,-0.00083548-0.0011298i,0.0002347-0.00090644i,0.00061088-0.00027771i,0.00084954+0.00018827i,0.001103+0.00035935i
0.00097963-0.0026229i,-0.00014479-0.0016738i,-0.001258-0.00081675i,-0.00082353-3.0234e-05i,8.1697e-05+0.0011652i,0.00091472+0.0016201i,0.001012+0.0013158i,0.00034272+0.00098908i,-0.00068464+0.00037744i,-0.00050418-0.00010404i,0.00032755-0.00047433i,0.00032417-0.00039681i,0.00082255+0.00056231i,0.001234+0.0010678i,0.00099324+0.00064681i,0.00098193+0.00015992i,0.00096231-0.00023855i,0.0010187-0.0007392i,0.0010869-0.00076463i,0.00056971-0.00023317i,0.00012468+0.0003222i,0.00023761+0.00026518i,0.00037667+0.00012038i
0.0022627-0.0016226i,0.001054-0.0018912i,-0.00089599-0.0021775i,-0.0018147-0.0017551i,-0.0015254-0.00059867i,-0.00097792+0.00069154i,-4.2946e-05-0.00054135i,-0.00015263-0.0015658i,-0.00046662-0.00039973i,3.7926e-05+0.00013533i,0.0006492+3.2987e-05i,0.0002791-0.00064116i,-0.00069884-0.00045732i,-0.00025553+0.00056744i,0.00053945+7.8483e-05i,8.3151e-05-0.00092254i,2.7247e-05-0.00059977i,0.00032418-0.0002765i,0.00020422-0.00049441i,0.00074324+7.4343e-05i,0.0010776+0.0001223i,0.00057234-0.0004746i,-7.1002e-05-0.00017258i
-0.001142-0.00015415i,-0.00067047+5.2349e-05i,-0.0013996+0.00097623i,-0.0008859+0.0012564i,0.000797+0.0005219i,0.0013993-0.00016904i,0.00069139-0.00024434i,-0.00060201-0.0009671i,-0.0015638-0.0012262i,-0.001629-0.00054161i,-0.0011424-0.00017397i,-0.00036772+0.00041703i,6.3825e-05+0.00011235i,0.0006361+0.00026548i,0.0010528+0.00085631i,0.00022743+0.00014857i,6.9167e-05-0.00073603i,-2.9339e-05-0.0013455i,-0.00018638-0.001136i,0.00033285+0.00011058i,0.00038409+0.0005033i,2.2676e-05+0.00036143i,-0.00027853+0.0005666i
-0.0014175-0.0019764i,-0.002245-0.00077451i,-0.0026445-0.00058075i,-0.0026713-0.00076869i,-0.0014223-0.00015481i,-5.4138e-05+0.00036649i,0.00060814-0.00021815i,0.00052361-0.00054239i,-1.9462e-05-0.00031816i,-0.00017081-0.00046806i,6.0045e-05+4.9527e-05i,0.00050198+0.00038983i,0.00076576+0.00057867i,0.00044783+0.00022557i,0.00020204-0.0010981i,-0.0002967-0.0013949i,-0.00050554-0.00061329i,0.00013984-0.00032674i,0.00052599-0.00072735i,1.0544e-05-0.0007538i,-0.00053607-0.00040768i,-0.00039973-0.00028858i,0.00024831-0.00011954i
0.00069874-0.00014084i,-0.00065316-0.00077754i,-0.00099183-0.0009522i,-0.0002069-0.00040457i,-7.3066e-05+6.8456e-05i,0.00031941+6.8418e-06i,0.00076529+0.00058751i,0.00034616+0.00041738i,0.00034086-0.00066034i,0.00061316-0.00065298i,0.00019989-0.00022996i,-0.00051479+0.00011812i,-0.00095483-3.5328e-06i,-0.00111-4.2311e-06i,-0.00010936-0.00016306i,0.00012177-0.00080785i,-0.00024172-0.001156i,0.00044262-0.00051146i,0.00063865-0.00039875i,0.00047172-0.00026583i,0.00037349+0.00011509i,0.00018791-0.00040212i,0.00035675-0.00060975i
0.00090783-0.0013112i,-0.00055641-0.0020646i,-0.00027798-0.0016107i,-8.9665e-06-0.00054672i,-0.0013865+0.00016639i,-0.0016705+0.00011861i,-0.00063811-0.00028116i,-0.00023822-0.00050542i,-1.3067e-05-0.00055714i,0.00025481-0.00084695i,0.00015357-0.00063428i,0.00016382-0.00042878i,-0.00014763-0.00082502i,-0.0014272-0.00094415i,-0.0016331-0.00067662i,-0.00064306-0.00026025i,0.00011131+0.00030224i,0.00035567+0.0010394i,0.00020981+0.0010412i,1.2024e-05+0.00065838i,3.9047e-05+0.00047033i,0.00027002-0.0002826i,0.00020162-0.00021073i
0.001403-0.0005936i,0.0014659-0.00013982i,0.00064778+0.0012431i,0.0008183+0.001669i,0.0016183+0.0014336i,0.0013863+0.0007701i,0.0010661+0.0009009i,0.00074112+0.00062381i,0.0001501-0.00026742i,1.7441e-05-0.0012201i,0.0002255-0.0012192i,0.00015253-0.00064993i,0.0001532+4.8286e-05i,0.00030379-0.00024908i,0.0009957-0.00063939i,0.0015679+0.00018419i,0.00070393+0.00056172i,-0.00039835+0.00051983i,0.0002338+0.00049956i,0.0010763+0.0004658i,0.00098825+0.00026456i,4.5768e-05-0.00014115i,-0.00032756+0.00059439i
0.0010705+0.00059387i,0.00017082-0.00019273i,0.0005282-0.00040018i,0.0002393+0.00047956i,-0.00028332+8.5896e-05i,9.234e-06+4.2381e-05i,-0.00014381+0.0006943i,5.7738e-05-5.376e-05i,0.00036435-0.00068275i,0.00035962-0.00034874i,3.916e-05-0.00075638i,-0.00028694-0.0011079i,0.00016959-0.0009175i,0.00011703-0.00047384i,-0.0010188-0.00028198i,-0.0013119-0.00077638i,-0.00061624-0.00040503i,-3.1054e-05+0.00044648i,-6.5866e-05+0.00082i,-0.00021981-3.2428e-06i,0.00092502-0.0010733i,0.001381-0.0011969i,0.00071186-0.00081151i
0.0012833+0.0017078i,0.0025253+0.0024254i,0.0022345+0.0013145i,0.00093933-0.00046588i,-0.00010006-0.0010681i,-0.00055833-0.00074334i,-0.00066304+0.00015098i,-0.00022685+0.00079274i,-0.00018156+0.00023893i,-0.00094834-0.00065882i,-0.00098066-0.00012426i,-0.00083382+5.9667e-05i,-0.0011579-0.00074548i,-0.0014261-0.00055851i,-0.0010825-1.1885e-05i,-0.00052423+0.00020685i,-6.6239e-05+0.00015273i,7.509e-05-0.00015668i,-4.449e-05-0.00029117i,0.00044912-0.00086595i,0.00095104-0.0010135i,0.00061153-0.00092104i,0.00058265-0.00081284i
-0.00081218-0.00015403i,-0.0010037+0.00054057i,-0.00095503+0.0018152i,-0.00062203+0.00094328i,-9.1255e-05-0.00019403i,0.00035066-0.00044247i,0.0008718-0.00020802i,0.00062439+9.6967e-05i,-0.00030034+0.00015525i,-0.00011846-3.9511e-05i,0.00060768+0.00017039i,0.00090398+0.00043728i,-1.9507e-05+0.00023908i,-0.00094012+2.4396e-05i,-6.6782e-05-0.0002726i,0.00049654-0.00044031i,0.00030275-0.00024017i,0.00032665+0.00020279i,0.00016126+0.00026826i,0.00023578+0.00015825i,1.3305e-05+8.0338e-05i,0.00034151-0.00043959i,-5.8252e-05-0.00075082i
0.0017872-0.0019863i,-0.00028107-0.0021053i,-0.002-0.0020731i,-0.0020393-0.00080322i,-0.0012196+0.00047165i,-0.00036985+0.00089132i,0.00049584+0.00051432i,0.00044864-0.00093322i,-0.00035435-0.0018653i,-0.00051041-0.00085148i,-0.00083328+2.9279e-05i,-0.001283+5.1165e-05i,-0.00024017+0.00023198i,0.0009649+0.0010206i,0.00063521+0.0013464i,-0.00026955+0.00036793i,-0.00017921+0.00026194i,0.00035587+0.00066815i,0.00051568+0.00036055i,-3.6818e-06-0.00049225i,-0.00045954-0.0006303i,-0.00012389-0.00036775i,0.00019024-0.0006865i
0.0013595-0.0016319i,0.0012251-0.001769i,9.3601e-05-0.0011593i,-0.00032783-0.00023387i,-0.00081657-0.00050461i,-0.00065743-0.0013403i,0.00017745-0.0016251i,-2.139e-05-0.0017163i,-0.00070345-0.00082144i,-0.0003758-0.00020026i,0.0001389-0.00060015i,0.00027609-0.00096849i,0.00044464-0.00043964i,0.00057708+0.00084314i,0.00033095+0.0010632i,0.00015519+0.00042529i,0.00080183+0.00027045i,0.00089321+0.00017388i,0.00069345+3.1948e-05i,4.8692e-05-7.0522e-05i,-0.00046135-0.00048608i,9.4512e-05-0.00014206i,8.256e-05+5.9608e-05i
0.0012177-1.8888e-05i,-0.00025813+0.00092576i,-0.0015358+0.0011249i,-0.0011133+0.001264i,-0.00016653+0.00093856i,0.00035278+0.00083227i,0.00027459+0.00065863i,-0.00057219+0.00016457i,-0.00081254-0.00056451i,-0.00057573-0.00032171i,-0.00041467-0.00016537i,-0.00042817-0.00073509i,0.00034741-0.00029624i,0.00039375+0.00057602i,-5.6292e-05+0.00061332i,0.00020946+0.0001522i,0.0004872-0.00030287i,0.00029411-0.00075888i,5.6845e-05-0.00037724i,-0.00014923-0.00013469i,-0.00026015-0.00014147i,-0.0002584-0.00028846i,0.00024911-0.00056852i
-0.0012088-0.0021501i,-0.0028501-0.002552i,-0.0032889-0.0017524i,-0.0025491-0.00060172i,-0.001622+0.0006463i,-0.00050985+7.7476e-05i,0.00066947-0.00051001i,0.0012148-0.00053697i,-0.00012232-0.00037053i,-0.0013201+0.00042128i,-0.0010268+0.00047325i,-0.00010516-1.7267e-05i,0.00070002-0.00025216i,0.0011985-0.00012412i,0.001182+0.0001052i,0.0011545+0.00089227i,0.00076357+0.00025444i,0.00036487+0.00013911i,-0.0001581+0.001377i,-9.6604e-05+0.0012259i,0.00021811+0.00019459i,9.6623e-05-0.00074385i,0.00038967-0.00014783i
-3.9495e-05-0.0012067i,-0.0016031-0.00084212i,-0.0015549+0.0006357i,-0.00045558+0.0015343i,-1.7632e-05+0.00096713i,-0.00038712-3.0609e-05i,-0.00075407-0.00082924i,-0.00027354-0.00079757i,-0.00030484-0.00023202i,-0.00017627+0.0003541i,0.00020638+0.00060568i,0.00044102-2.1037e-05i,0.00025028-0.0003229i,-0.00072735+0.0002767i,-0.00072054+0.000134i,-0.00037643+0.00018278i,-0.00027004+0.0010598i,0.00033559+0.0010407i,0.00046643+4.3481e-05i,0.00020394-0.00050357i,-0.0001667+0.00014069i,-0.00064646+0.001097i,-2.3704e-05+0.00064564i
