0.00087126-0.00033647i,0.0020192-0.00069959i,0.0019804+1.699e-05i,0.00072942+0.0001078i,-0.00031884-9.6244e-05i,-0.0003401+0.00070172i,-0.00039551+0.001361i,0.00071993+0.0012577i,0.0015487+0.00099825i,0.00078884+0.00062136i,0.00053402-0.00037004i,-0.00011119-0.000415i,-0.00058067+0.0002553i,0.0001315-7.0277e-05i,0.00038181-0.00080892i,9.1805e-05-0.00048772i,0.00045453+0.00010016i,0.00033523-0.00049159i,-0.00026737-0.0010758i,-0.00052759-0.0011349i,-0.00038834-0.00083272i,-0.00018142-0.00050646i,-7.388e-05-0.00063554i
0.00086367+0.0011913i,0.0015844+0.001007i,0.0020168+0.00092849i,0.0016499+0.0001203i,0.00096099-0.0013004i,0.0006255-0.0018889i,0.0011253-0.0010046i,0.0012542-8.9159e-05i,0.00069625-0.00058999i,0.00028492-0.00072108i,0.00042714-0.00024748i,0.00041061+0.00042545i,0.00023011+0.00058535i,-3.2466e-05+0.00037127i,-0.00039519+0.0005345i,0.00029673+0.00033169i,0.00081896+0.00015217i,0.00029053+0.00015264i,-0.00016651+0.00018735i,-0.00038241+0.00042617i,-0.00034839+0.00033043i,0.00014724+0.00038904i,5.3586e-05+0.00059905i
0.0017255+0.00020492i,0.0015059+0.0005345i,0.00021018+0.00044577i,-4.8865e-05-0.00052164i,0.00041692-0.00084169i,0.00038235-0.00085125i,0.00062953-0.00047704i,0.00079781-0.00020427i,0.0006533-0.00061973i,0.00051945-0.00033255i,0.00050569+0.00037018i,-5.4644e-05+0.00027409i,-0.00030839-0.00013695i,8.444e-05-0.00040863i,0.00038558-0.00063626i,0.00045681-7.863e-05i,0.0003722+0.00043735i,0.00033869+0.00042623i,-0.0002917+0.00089226i,-0.00032216+0.00034938i,-5.8382e-06+0.00067105i,4.1822e-05+0.001018i,8.7629e-05+3.5096e-05i
-0.00045459+0.0012709i,-0.00071497+0.00092913i,-0.00090657+0.0013797i,0.00041658+0.0022334i,0.0012114+0.0011514i,0.00027938-0.0003007i,-0.0003709-0.00020404i,-5.4371e-05+0.00060101i,-0.00030934+0.00021888i,-0.00056676-0.00050991i,-0.00020386-0.00057462i,-0.00095643-9.2647e-05i,-0.0010681+0.00050566i,-6.8032e-05+0.00056858i,0.00052392+0.00064088i,0.00048611+0.00030957i,0.00070594-0.00024798i,0.0012877-0.00039369i,0.00070718-7.6624e-05i,-0.00019995-8.4852e-05i,-0.00026862-0.00037186i,6.4317e-05+1.6915e-05i,-5.2566e-05+4.2932e-05i
0.00040773+0.00042252i,0.00011599+0.00031136i,0.00010256-0.00062441i,0.00036019-0.0013374i,0.00031656-0.0013238i,0.00070173-0.0016394i,0.0008266-0.00090421i,-1.6248e-05-4.5645e-05i,-0.00061139-0.00023218i,-0.00065742-5.1736e-05i,-0.00053117+0.00011236i,-0.00047469-0.00022015i,-0.00010567+0.0001532i,-3.8698e-05+0.00064119i,-2.8153e-05+0.0011521i,0.00037493+0.00082686i,0.00075238+0.00025776i,0.00045109+0.00014633i,-2.1428e-05+5.6378e-05i,4.7217e-05-0.00024697i,1.6505e-05-0.00025974i,-0.00014929+8.3218e-05i,9.1663e-05-0.00017661i
0.0020778+0.0019691i,0.0023734+0.001556i,0.0023191+0.0020036i,0.0012781+0.00043424i,0.0001944-0.0014504i,-0.0004055-0.002074i,0.00013711-0.0012104i,0.00027562-0.00039433i,0.00026935-0.00082228i,0.0003944-0.0016311i,0.00026124-0.001149i,-4.6422e-05-0.00022365i,0.00076855-0.00046826i,0.00092334-0.00098391i,-0.00051524-0.0011637i,-0.00074828-0.0011942i,-0.0003308-0.00044128i,-0.00018466-0.00021053i,-6.5056e-05-2.4669e-05i,6.5863e-05+0.00049747i,-0.00031226+1.6509e-05i,0.00010205-0.00090327i,0.00074776-0.00071592i
0.0030777+0.00014545i,0.0036195+0.00049454i,0.0031459+0.00084222i,0.0022351+0.001196i,0.0019216+6.4629e-05i,0.0010779-0.00072728i,0.00051345-0.00037358i,0.0004482-0.00085028i,0.0006212-0.0012485i,0.00036535-0.001076i,0.00015096-0.0012295i,0.00013007-0.0011748i,0.00031365-0.00027113i,0.00051334-9.7523e-05i,0.00022882-0.00032215i,0.0003229-0.00034012i,0.00049686+4.8336e-05i,-1.3358e-05+0.00037324i,-0.00024584+0.0008868i,-0.00013253+0.00085404i,0.00035511+0.0004411i,-1.7952e-05+0.00055885i,-0.00019493-0.00031712i
0.00049359+0.0025962i,1.9925e-05+0.0023379i,0.00021487+0.0022467i,0.00068987+0.0018527i,0.0010403+0.0008758i,0.0014901-0.00015598i,0.0011922-1.5237e-07i,0.00074224+0.0002972i,0.00073146-0.00064962i,0.00042691-0.0015398i,0.00019474-0.00098409i,-0.000207-0.00041041i,-0.0010118-0.0010202i,-0.0010178-0.00099573i,0.00038665-0.00048937i,0.00076103-0.00016346i,0.00076803+0.0003031i,0.00075273+0.0005466i,0.00032632+0.0001822i,8.6376e-05-9.0152e-06i,0.00012881+0.00011415i,0.00023384-0.00016332i,0.00027162-4.9918e-05i
0.00107-0.00013127i,0.0016513+9.9641e-05i,0.0023811-0.00018634i,0.0012391-0.0013679i,0.00014139-0.0026232i,0.00026691-0.0019754i,0.00065073-0.00041489i,0.00035127-0.00015453i,-0.00010574+0.00018888i,-9.295e-06-0.0004374i,1.3729e-05-0.00050933i,-0.00020479+0.00045633i,0.00063787+0.00070032i,0.00082901+0.00034337i,0.00017022-0.00013313i,-8.9142e-05+0.00095159i,-6.4282e-05+0.00081086i,-0.00052926-0.00041544i,-0.00043878-0.00099791i,-0.0003625-0.00074271i,-0.00075532+0.0001461i,-0.00055966+0.00043409i,-7.2499e-05+0.00020559i
0.00082012+0.00063491i,0.00084812+0.0011504i,0.00016739+0.0016398i,4.7272e-05+0.0018888i,-0.00040398+0.002075i,-0.00015733+0.001424i,0.00051716+0.00092122i,0.00074232+0.00053688i,0.00035847+0.00038578i,-0.00022336+0.00017042i,-0.00056165-0.00060751i,-9.7214e-05-0.001346i,0.00067674-0.00084973i,0.00037075+0.00035939i,-0.00024237+0.0010053i,-0.0001929+0.00018266i,-0.00013809-0.0011157i,0.00013581-0.001305i,0.00011441-0.00079731i,-0.0002387+0.00035721i,-0.00039254+0.00066343i,-0.00079418+0.00037281i,-0.0011541+0.00044646i
0.00024216+0.00010976i,0.00066103+0.00069466i,-0.00044376+0.0012088i,0.00038717+0.00057804i,0.0016611-0.00019519i,0.0015841-0.00020902i,0.0014642+0.00020424i,0.001015+8.3899e-05i,0.00039286-0.00012439i,0.00035499-0.00017423i,-0.00023858-0.00044187i,-0.00046476-0.00030472i,-0.00025322+0.00019727i,-8.0491e-05+7.8903e-05i,0.00014646-0.0002521i,9.393e-05+7.85e-05i,0.000413+6.4176e-05i,0.00045832-0.00066021i,-5.0094e-05-0.00060716i,-0.00029252-4.4429e-05i,3.5027e-05+0.00037508i,-0.00023237+0.00050717i,-7.366e-05+0.0001975i
0.0011253+0.00049484i,0.00018809+0.00041475i,-0.00025409-0.0012667i,-0.00063497-0.0010511i,-0.0013743-5.5372e-05i,-0.00086384-0.00024825i,-1.3959e-05-0.00060979i,-0.00015925-0.00036347i,-0.00061093+1.5326e-05i,-0.00089036+0.00035434i,-0.0012136+0.0003708i,-0.00059739-0.00013407i,-8.552e-05-3.7775e-05i,0.000153+1.6003e-05i,0.00081948+0.00037591i,0.00066357+0.00097284i,0.00026915+0.00043561i,0.00032151-0.00054967i,0.00010091-0.00050393i,-0.0001989+4.5454e-05i,-0.00010045-4.2053e-06i,-0.00010902-0.00041081i,-0.0005903-0.00051574i
-0.0010174-0.0015631i,-0.0011138-0.00078493i,-0.00064579-0.0010241i,-0.00078592-0.00089763i,-0.0017521-0.00086734i,-0.0012915-9.9767e-05i,-0.00069213+3.3015e-05i,-0.00068969-0.00089309i,-0.00050218-0.0011489i,-0.00037081-0.00055125i,-8.6262e-05-0.00034854i,0.00028627-0.00024533i,0.0002957-0.00018506i,0.00034602-0.0001004i,-2.4407e-06-1.393e-05i,-0.00083889+0.00031473i,-0.00050622+0.00047646i,-0.0003683+0.00037928i,-0.00070666-0.00019634i,-7.9594e-05-0.00060312i,0.0006143-0.0001288i,0.00074026+0.00015616i,0.00067278+3.8645e-05i
0.00099524+0.00023723i,0.0014267-6.8516e-05i,0.00096233+0.00015104i,0.00042169+0.00062669i,-0.00032203+0.00049195i,2.6388e-05-0.00044022i,0.0004422-0.00084245i,0.00076004-2.8129e-05i,0.00044613+0.00030352i,-0.00022122+0.00040046i,-0.0002637+0.00091649i,-0.00075164+0.0006605i,-0.00064388+0.00056828i,0.00032695+0.00037261i,0.00029005-0.00030826i,-0.00037373-0.0011051i,0.00030875-0.0008804i,0.00066764-3.8096e-06i,-9.5555e-05+0.0008006i,-0.00026839+0.00093076i,-0.00039254+0.00014426i,-0.00057159+0.00043264i,-0.00089742+0.0007147i
-0.00024063-0.0019795i,-0.00060614-0.00098068i,-0.00054115-0.0010904i,-0.00044445-0.001098i,-0.00027616+5.5665e-05i,-0.00045206+0.00032375i,-0.00042225-0.00033528i,-0.00072274-0.00021796i,-0.0015172+0.00014402i,-0.0013436+0.00011403i,-0.00038529-0.00045349i,0.00025219-0.0005695i,-0.00022068-1.7462e-05i,-0.00096651+3.892e-05i,-0.0011774-7.721e-05i,-0.00090914-0.00018062i,-0.00030138-0.0005433i,-0.00027529+0.00043194i,-0.00090588+0.0012116i,-0.00056558+0.00064514i,0.00039761+0.00010194i,0.00037175-0.00022567i,-0.00019137-6.3876e-05i
0.00071588+0.00031977i,0.00054552-0.00064616i,0.001485-0.00014677i,0.0020906+0.00038961i,0.0015845-1.4151e-07i,0.00090088-0.00025747i,0.0011167-0.00073058i,0.0008574-0.0005007i,-0.00058667-0.00024422i,-0.00052219-0.0005001i,0.00010479-0.0002706i,-2.1945e-05-8.2651e-06i,0.00040227+0.00048773i,0.00095922+0.00035727i,0.00059273-0.00059048i,-0.00010627-0.0006511i,-0.00039476-0.000283i,-0.00010142-0.00046611i,0.00039865-0.00047364i,6.9117e-05-1.297e-05i,-6.9207e-05-0.00065181i,-0.00031057-0.00084755i,-0.00054356+0.00032872i
0.0021073-0.0012986i,0.0030394-0.00028469i,0.0018805+0.00067017i,0.00011886+0.00010335i,-0.00012525-0.00093802i,0.00052322-0.0014051i,0.00041882-0.0013027i,0.00039615-0.0012398i,0.00057644-0.00094501i,4.9509e-05-0.0005383i,-0.00038812-0.00017253i,-0.00067167-2.6584e-05i,-0.0006193-0.00056233i,-0.00039136-0.00064966i,-0.00017867-4.1281e-05i,8.204e-05-8.5156e-05i,0.00020805-0.00080622i,0.00021308-0.00083457i,9.0841e-05-0.00027826i,9.2826e-05-0.00036725i,0.00011399+2.3911e-05i,8.8795e-05+9.6428e-05i,2.73e-05-0.00070606i
-6.2826e-05-8.1767e-06i,-1.8094e-06+0.00074477i,-0.00074207+0.00080989i,-0.00062102+0.00062832i,0.00027831+0.00044147i,0.00064682-0.00011966i,-6.2939e-05+0.00069964i,-0.00036735+0.0013065i,-0.00022153+4.9413e-05i,-0.0003243-0.00046666i,-0.0006403+0.00012552i,-0.00034546+0.00064715i,8.4909e-05+0.00063121i,8.6562e-05+0.00070928i,-5.6544e-06+0.0013743i,0.00011511+0.0011371i,0.00069288+0.00018435i,0.00089604+0.00026086i,0.00052349+0.00072555i,0.00020039+0.00058412i,-0.00017554+0.00018897i,-0.00063359-0.0001236i,-0.00073009-9.8275e-05i
0.00051052-8.1424e-05i,0.00052275+1.9581e-05i,0.0006214+0.00042031i,0.00064968-8.6056e-05i,0.00089188-0.00017989i,0.00062986+2.8925e-05i,0.00099898+0.00023559i,0.0015025-6.3386e-05i,0.0012045-0.00079132i,0.00011934-0.00075086i,-0.00019385-0.0001627i,-0.00022885+0.00024901i,-6.8295e-05+0.0004656i,0.00084351+0.00092503i,0.00086934+0.00049257i,0.00019533-0.00031242i,8.0611e-05-1.4745e-05i,-0.00035231+0.00060627i,-0.00087237+0.00033035i,-0.00070422-0.00040998i,-0.00036954-0.00016092i,-0.00029166+0.00051254i,-4.0334e-05+0.00069647i
-0.00035743+0.00080264i,0.00043986+0.00098054i,0.0015796+0.00043296i,0.0019319-0.00016381i,0.0017211+5.3949e-05i,0.00066193+0.00027751i,-0.00055627-0.00034876i,-0.00071473-0.000812i,4.2268e-05-0.00025539i,3.147e-05+0.0001531i,-0.00022158-0.00017314i,-0.0002111+0.0001584i,-0.0005445+0.0007848i,-3.4438e-05+0.00054477i,0.00022991+0.00063665i,-0.00025926+0.00065191i,-2.194e-05+0.00052268i,0.00023271+0.0011231i,0.00044465+0.0014158i,8.1937e-05+0.00069062i,-0.00062903-0.00013278i,-0.00055764+5.4336e-06i,-2.9733e-05+0.0005475i
-0.00060538+0.0005435i,6.7162e-05+0.00072576i,0.00042812+0.00075984i,-8.9801e-05-7.2659e-05i,-0.0014551-0.0007292i,-0.0017417-0.00070742i,-0.0011343-0.00097935i,-0.00076427-0.00050988i,-0.00040935-0.00032122i,-7.7354e-05+7.4677e-05i,-0.00042169+0.0010259i,-0.00043404+0.00075882i,6.5152e-05-0.00023418i,0.00021002-0.00029052i,0.00038937+3.9053e-05i,0.00067947-0.0003962i,0.001333-0.00010075i,0.001482+5.6585e-05i,0.00063477-6.8485e-05i,-0.00017971+0.00057821i,0.0002473+0.00069385i,0.0012991+7.2152e-05i,0.0010848+0.00032293i
0.00051663+0.00042891i,0.0011718+0.00081719i,0.00094845+0.00034267i,-9.5748e-05-0.00060008i,-0.00088378-0.00042102i,-0.0010163+0.00013983i,-0.00097621-0.00053577i,-0.00069303-0.00091988i,0.00018074-0.00074717i,-0.00014709-0.00081723i,-0.0009563-0.00058523i,-0.0011734-0.00018394i,-0.0013731+0.00038319i,-0.00075986+0.0003458i,-8.344e-05+0.00022291i,6.7895e-05-0.00049387i,0.00027407-0.001048i,-3.5752e-06-0.00038821i,0.00018914-0.00062485i,0.00047099-0.00097777i,-0.00019865-0.0012234i,-0.00027333-0.001153i,0.00042041-0.00018938i
-0.00020061-0.0010357i,-8.2847e-05-0.0013075i,0.00078575-4.6307e-05i,0.00049648+0.00048072i,0.0001773-0.00037319i,0.00023641-0.00025689i,0.00046981+0.00084526i,0.00064226+0.00066667i,3.2125e-05-0.00027775i,-0.0006118-0.00080668i,-0.00078285-0.00082115i,-0.00075817-0.0002254i,-0.00035557+0.00065351i,0.00031291+0.00073666i,0.00070971+0.00026145i,0.00037477+6.4167e-05i,0.00015235-0.00041907i,0.00075312-0.00079169i,0.0010275-0.00074813i,0.00087751-0.00079196i,0.00036291-6.9321e-05i,7.6399e-05+0.00028844i,2.0736e-05+0.00026949i
0.0003488-3.9986e-05i,0.00062367-0.0015004i,0.00048053-0.0012262i,0.00068612+8.6442e-05i,0.0013042+0.00046933i,0.00064162-6.2589e-05i,0.00029683-0.00084856i,0.00081803-0.00082964i,0.00024095-0.00015663i,-0.00071575-0.00026373i,-0.00098703-0.00044578i,-0.00053931-0.00020109i,-0.00026407-0.00025137i,-0.00021838-0.00051418i,0.00017738-0.00036598i,0.00029237+0.0005289i,-0.000403+0.0010503i,-0.00049709+0.00072263i,5.7906e-05+0.00020286i,-3.2371e-05+0.00025123i,-0.00053259+0.00071946i,-0.0011069+0.0003527i,-0.00088478-3.1879e-05i
-0.00061659+0.00084062i,-0.00066418+0.00021809i,-0.00075045+0.00046912i,-0.00085152+0.0006783i,-0.00083739+0.00022402i,-2.7505e-05+4.2059e-05i,0.00054448+0.00054027i,4.0704e-05+0.0004167i,-0.00066323-0.00038424i,-8.0206e-05-0.00054062i,-0.00038964+0.0001236i,-0.00036901+0.00077357i,0.00064974+0.00045981i,0.00034146-7.7016e-05i,-9.5401e-05+0.0007071i,0.00053471+0.0011835i,0.00040985+0.00069795i,9.5426e-05+0.00023666i,0.00046831+0.00019211i,0.00049386-0.00020552i,-7.7317e-05-0.00044784i,4.9387e-05-0.00048492i,0.0008484+8.1877e-05i
0.0011834+0.00016382i,0.0007047+0.00076723i,0.0022059+0.00065711i,0.0018832+0.00039611i,0.00054524+0.00016811i,-0.00034418+0.00011617i,6.8841e-05+0.00055532i,0.00054667-0.00010961i,0.00017457-0.00036048i,-0.00075757+8.9825e-05i,-0.0012796+0.00052023i,-0.0011318+0.0010049i,-0.00083056+0.00022185i,-0.00061716-0.00036456i,-0.00047931+0.00045175i,4.9639e-05+0.00049715i,0.00036282+0.00015946i,0.00078997+0.00048773i,0.00019644+0.00028892i,-0.00039322+0.00030388i,0.00022258+0.0004824i,0.0002271+0.00080878i,0.00054974+0.00060602i
-0.0014823-0.00045813i,-0.0014742+9.7937e-05i,-0.0013171+0.00050354i,-0.0006013+0.00055791i,0.00036035+9.5316e-05i,0.00050403-2.1234e-06i,1.0038e-05-0.00019017i,-0.00029066-0.00077463i,-0.00064221-0.0012906i,-0.00031795-0.0010964i,-0.00031574-0.00051799i,-0.00048277-0.00083826i,0.00024695-0.00047841i,0.00020719+0.00058708i,-2.5227e-05+0.0003382i,-0.00021958-3.5004e-05i,-0.00064771-4.921e-05i,-0.00079547-0.00085318i,-0.00090714-0.00084964i,-0.00031986-0.00055975i,-9.0097e-06-0.00066073i,5.7161e-05-0.00064193i,0.0001732-0.0010431i
-0.00091483+2.2052e-05i,-0.00074655+0.00049701i,-0.00062907+0.00037272i,-0.00013223+0.00076327i,0.00036815+0.0011137i,-8.6686e-05+0.0004844i,-0.00044333+0.00044207i,-0.00059425+0.00038705i,-0.00083584+2.759e-05i,-0.0011164+0.00019986i,-0.0013294+0.00081643i,-0.0006913+0.0013108i,0.00015642+0.000902i,0.00017565-0.00015094i,-0.00013993-0.00071385i,0.00025421-5.2095e-05i,0.0004953+0.00081222i,-0.00037186+0.00057091i,-0.0010201+0.00045726i,-0.00030386+0.00065458i,3.8304e-05+0.00060499i,-6.854e-05+3.3045e-05i,0.00048834-0.00048369i
-0.00053056-0.00049046i,-0.00062065-0.0016284i,2.7238e-05-0.0016622i,0.00021794-0.00065978i,-0.00055418-0.00088241i,-0.00023847-0.001838i,0.00039649-0.0021315i,0.0009284-0.0024521i,0.00059356-0.0013991i,-0.00066044-0.00029468i,-0.00094762-0.00048567i,-0.0001337-0.00040989i,0.00074261-0.00046236i,0.00049886-8.0889e-05i,0.00013476+0.00037899i,0.00038698-0.00057388i,0.00037501-0.00055698i,-0.00016926-5.5351e-05i,-0.00066509-0.00030852i,-0.00036925-0.00036854i,9.8965e-05-0.00041424i,-7.2159e-05-0.00018483i,-3.2602e-05-0.00018377i
0.0012028+9.7251e-05i,0.0018625-4.6526e-05i,0.00077432-0.00048291i,-0.00018912-0.0012122i,-0.00031972-0.0020581i,-0.00054304-0.0013358i,-9.6184e-05+0.00037047i,0.00046552+0.00056638i,-0.0003163-0.00079889i,-0.00077006-0.0013866i,-0.0010764-0.00081142i,-0.0011356-0.00014141i,-0.00065321+0.00028818i,-0.00045675+0.00076204i,-0.0005412+0.00033556i,-0.00074994-0.00053326i,-0.00070441+7.9853e-05i,4.2097e-05+0.00024747i,0.00029751-0.00027662i,5.2439e-05+0.00022856i,9.831e-05+0.00013954i,0.00028072-0.00041037i,0.00030563+0.00016219i
-0.0003052+0.00076444i,0.00039689+0.0012683i,0.0002605+0.0017586i,-5.7915e-05+0.0011543i,0.00097671+0.0012233i,0.001601+0.00071722i,0.00087237-0.00011086i,-5.4329e-05-0.00015942i,-0.00075326-5.1228e-05i,-0.00069599+0.00010349i,-0.00025514-8.8781e-05i,1.2143e-05-0.00038027i,0.00033673+0.00049429i,0.00032905+0.0011365i,0.00030411+0.0006351i,0.00046227+0.00043787i,9.9964e-05+8.0571e-05i,-0.00043247-0.00097176i,-0.00051053-0.00074042i,-0.00041796+0.00034651i,0.000337+0.00087936i,0.00052517+0.00063507i,-0.000537-0.00060093i
-0.00034579-0.00060616i,-7.6006e-05-0.0005733i,0.00034729+3.757e-06i,-0.0002933+7.2492e-06i,-6.4422e-05+0.00050247i,0.00085105+0.0013607i,-1.1858e-05+0.0012523i,-0.0012374+0.00039712i,-0.00051105-0.0002856i,-0.0008214+0.00017863i,-0.0019433+0.0009535i,-0.0014286+0.00064697i,-0.00045527+0.00021666i,0.00017068+0.00038078i,0.00029566+0.00053903i,0.00053577+0.00032217i,0.00023755+2.4345e-06i,0.00032801-0.0001353i,0.00058767-0.00010195i,0.00036169-7.3204e-05i,-0.00013796+0.00030373i,-0.0004865+0.00025235i,-5.9698e-05-0.00030763i
