0.0034124+0.00019672i,0.0034184-0.0016915i,0.0020708-0.0034664i,-0.0003831-0.0028278i,-0.0021195-0.0017477i,-0.0026011+0.00033666i,-0.0013658+0.001366i,-9.9588e-06+0.0011664i,0.0013713+0.00091867i,0.0012763-4.5357e-05i,0.00077408-0.00055797i,0.00046029-0.00094656i,-0.00039019-0.000574i,-0.00099804-0.00017097i,-0.00085169-0.00065132i,-0.00017422-0.00056245i,2.1037e-05-0.00033048i,-0.00034795+0.00013627i,-0.00078133-0.00036241i,-0.0011778-0.00094027i,-0.00075489+3.6462e-05i,-0.00058029+0.00095067i,-0.0013703+0.00039378i
0.001194-0.00019575i,0.0021903+0.00029219i,0.0011903-0.00041694i,0.00015885-0.000705i,0.00041002+0.0003793i,0.00074805+0.001178i,0.0014145+0.00082955i,0.0013112+6.1134e-05i,0.00051767-0.00039043i,0.000381-0.00034322i,-6.469e-06-0.00036817i,-0.00019012-0.000404i,0.000203-0.00042745i,0.00030316-0.00023691i,-4.7795e-05-0.00037369i,1.3767e-05-0.00080723i,0.000196-0.0003256i,-0.00011653-0.00028141i,-0.00020503-0.00062598i,0.00047005-0.00032265i,0.00072465+0.00068271i,6.6988e-05+0.0010915i,-0.00028376+0.0010724i
0.00036284+0.002105i,0.0014973+0.0024181i,0.0017799+0.0020184i,0.0022049+0.001199i,0.0022474+0.00057632i,0.0018586-0.00061528i,0.0015768-0.0012282i,0.00099754-0.00094744i,0.00065824-0.00065032i,0.00092176-0.00012873i,0.00067535+0.00027405i,0.00015363-7.5994e-05i,-0.00035707-0.0001237i,-0.00050234+0.00018785i,-0.0002907+0.00044169i,-0.00031117+0.00052512i,-0.00031734+5.0716e-05i,-0.00035586+2.3834e-05i,-0.00077241-0.00012282i,-0.00034574+9.1384e-05i,0.00033067+0.0006605i,0.0002619+0.00031088i,0.00010609-2.266e-05i
0.00045179-0.0012564i,0.00048243-0.00083169i,0.00041869-0.00063935i,0.00095011-0.00016833i,0.00057221-3.8538e-05i,0.00011085-0.00029837i,0.00024772-0.00042281i,0.00039256+0.00014503i,0.00067139+0.00042879i,7.0847e-05+0.00048075i,-0.001067-0.00044668i,-0.00094497-0.0012202i,-0.00051013-0.00019114i,-0.00022169+0.00080661i,6.0812e-05+0.0010292i,-0.00067157+0.00064181i,-0.0011413+0.00035699i,-0.00090687+0.0004533i,-0.0001903+5.8172e-05i,0.00020528+0.00016669i,-0.00017564+0.00095235i,-0.00080127+0.00032205i,-0.00084702-0.00016946i
-0.00028901+0.00033238i,0.00077564+0.0010288i,0.0011654+0.0012067i,0.00083166+0.0010185i,0.00066816+0.00050473i,0.00028293-0.00039861i,0.00019604-0.00016958i,7.1626e-05+0.00047515i,-0.00030574+0.00060257i,-0.00060378+0.0009799i,-0.00049322+0.00087186i,-0.00025982+1.417e-05i,-0.00047175+0.00021991i,-0.00027893+0.00030355i,4.1487e-05+0.0002197i,0.00059571+0.00072196i,0.00081485+0.00081618i,-0.00024043+0.00072946i,-0.0006188+0.00093078i,-0.00038918+0.00075978i,-5.9731e-05+0.00073788i,-0.00045706+0.00086252i,-0.00077499+0.00058212i
0.00048765-0.002286i,-0.00013347-0.001777i,-0.0012071-0.0012978i,-0.0018154-0.0012768i,-0.00076461-0.00045571i,-0.00011338+0.00058357i,0.00070461+0.00067177i,0.0016165+0.00066637i,0.0010095+0.00047529i,0.00080436+0.00090145i,0.0013136+0.00092832i,0.0012353+0.00082985i,0.00072843+0.00072959i,-0.00022825+0.0005198i,-0.00040621+0.0001235i,0.00013575-0.00026331i,0.00021813-0.00040983i,-0.00064143-0.00091653i,-0.00057769-0.0016775i,0.00029553-0.0013281i,0.0012321+0.00037439i,0.0010621+0.00071373i,-0.00012905+0.00057084i
-0.00072806+0.001501i,0.00014469+0.0002938i,0.0017079+8.1292e-05i,0.0013045-0.00033642i,0.00019618-0.00040128i,-2.0566e-08+0.00053504i,0.00090933+0.00051679i,0.0014046-0.00042966i,0.0014173-0.00063357i,0.0017779-0.0001583i,0.0014381+0.00017077i,0.00058205-1.4661e-06i,0.00036119-0.00033009i,0.00013359-0.00017177i,-2.1567e-05-0.00044899i,0.00020274-0.00062916i,0.00071423-0.00033149i,0.00062316-0.00078078i,8.6643e-06-0.0007422i,3.8034e-05-0.00057196i,0.00060995+0.00019153i,0.00010623+0.00096973i,-0.00038739+0.00046707i
-0.0016528+0.0015244i,-0.0010736+0.0014997i,0.00062208+0.0019069i,0.0015346+0.002013i,0.0021777+0.0015716i,0.0021875+0.00015962i,0.00122+3.4031e-05i,0.00080813+0.00090541i,0.0009304+0.00099486i,0.00049245+0.00068743i,0.00075749-0.00010069i,0.0012698-0.00080853i,0.00051607-0.00045567i,5.3884e-05-0.00025019i,0.00038296-0.0006345i,0.00040122-0.0010324i,0.00014624-0.0012698i,-0.00014566-0.0011561i,1.8299e-05-0.000346i,5.5317e-05+0.0006671i,-0.00067321+0.00083776i,-0.00087484+0.00060379i,-0.00025487+0.00015609i
-0.000815-0.00065984i,0.0010427-6.1905e-05i,0.0011777-9.5881e-05i,0.00043492-0.00023623i,0.0011149+0.00015004i,0.0013651-0.00013961i,0.0010034-0.00084473i,0.00062572-0.00074045i,0.00036507-0.00022594i,0.000279+0.00032971i,0.00033305+0.00073014i,0.00055402+0.00023823i,0.00056535-0.00029901i,4.7704e-05-0.00088182i,-0.00052049-0.0011246i,-0.00031543-0.00037822i,5.7725e-05+0.00045246i,-7.0692e-05+0.0001094i,-0.0002361+0.00015671i,-0.00013289+0.00034958i,-0.00052483+0.00021124i,-0.0012828+0.00023389i,-0.00098841+0.00020784i
0.00018236+0.0027231i,0.00026283+0.0033194i,0.00048444+0.0030461i,0.0013875+0.0015529i,0.0015841-0.00044279i,0.00076361-0.0011672i,0.00019557-0.00041772i,-0.00021941-0.00018268i,0.00038907+0.00028097i,0.00065399+0.00087242i,0.00048288+0.00032651i,-0.00010732-0.00063789i,-0.0010877-0.0001368i,-0.00094189+0.00068608i,-0.00015686+0.0001739i,9.6157e-05-0.00016324i,0.00054863-5.3416e-05i,0.00029096+0.00019543i,-0.00059808-5.6842e-05i,-0.00024127-6.5968e-05i,-0.00014921+0.00086675i,-1.2873e-05+0.0010035i,7.4899e-05+0.00043975i
-0.0019942+0.0026802i,-0.0012645+0.0032189i,0.00014756+0.0026318i,0.0022974+0.0024367i,0.0035799+0.0008703i,0.0027324-0.0011854i,0.001395-0.0010919i,0.0010498-0.00027058i,0.00094412+0.00060586i,0.0010099+0.00093403i,0.00066848-0.00040326i,-0.00027233-0.0010442i,-0.00061655-0.00026191i,-3.5115e-05-6.7614e-05i,0.00035103-0.00032559i,-0.00010557-0.00077134i,0.00041434-0.00058133i,0.00086134+0.00034268i,0.00042159+0.0005311i,0.00075733+2.3745e-06i,0.00075744-0.00041225i,0.00016278-0.00054289i,-0.00031857-0.00027686i
0.0019888+0.0042228i,0.0033922+0.0046863i,0.0057152+0.002536i,0.005479+0.00042017i,0.0035705-0.00082724i,0.0011386-0.0015252i,-7.1653e-05-0.0012899i,0.0005875-0.00023176i,0.00164+0.00077171i,0.0017899-0.00019553i,0.0011148-0.00047467i,0.00040245+0.00014033i,-0.00039544+0.0010051i,-0.00074282+0.0010265i,-0.00095962-0.00016771i,-0.0010676-0.00052204i,-0.00017607-0.00012089i,0.00066171-3.1993e-05i,0.00099249-6.755e-05i,0.00071543-3.7363e-05i,0.00010539+0.00011372i,-6.6119e-05+0.00039221i,-7.0659e-05+0.00059488i
-0.0044417-0.0088187i,-0.0051747-0.010754i,-0.011881-0.0055364i,-0.011526+0.0032744i,-0.0060757+0.0079233i,0.00082807+0.006623i,0.0037168+0.0015909i,0.0017558-0.0003103i,-0.00067989-0.00016436i,-0.0014419+0.00044972i,-0.00029774+0.0014378i,0.0010934+0.0012297i,0.0021364+0.00067383i,0.002856-0.00012032i,0.0028597-0.00083942i,0.00068384-0.00016172i,-0.0017667+0.00084244i,-0.0022146+0.00068705i,-0.0017793-0.0003096i,-0.0019387-0.0012363i,-0.00085014-0.0011001i,0.00035331-0.00012958i,-0.0003708+0.00017939i
0.0022168-0.0021554i,0.0031497-0.0036469i,0.0013691-0.0037668i,-0.00092584-0.00242i,-0.0031653-0.00021007i,-0.0027979+0.0012514i,-0.00032451+0.00074546i,0.00048333+0.0002796i,-0.00027112-0.00037984i,-0.0016213-0.0011512i,-0.0020357-0.00091042i,-0.00094053-0.00049295i,-0.00025958+0.00030698i,-0.00032052+0.00084873i,-0.00095316+0.00049942i,-0.00082006+1.198e-05i,-3.78e-05-0.00010457i,0.00037045-0.00011587i,8.2316e-05-0.00066733i,-0.00030897-0.00093596i,-0.00055285+0.00014884i,-0.00027903+0.00031704i,6.4613e-05-5.4013e-05i
-0.00020117-0.00013948i,-0.00012677+0.00032833i,-0.0004801+0.00055929i,-0.00021408+0.00068041i,0.00020009+0.0011327i,0.0011402+0.00062608i,0.0011463+0.00060112i,0.0008839+0.00106i,0.00061528+0.00086496i,0.00014996+0.00065411i,0.00017276+0.00051671i,0.00044879+0.00061223i,0.00045322+0.00067851i,-0.0003848+0.0003555i,7.1281e-05+6.3922e-05i,0.00055256-8.3366e-05i,-7.2346e-05-0.00019142i,0.00037498-0.00050338i,0.00083889-0.00093259i,0.00059805-0.00065085i,2.841e-05+0.00033534i,-0.00082055+0.00080375i,-0.00093838-7.8312e-05i
0.00041239-0.0014043i,0.00049931-0.00083424i,0.00016867+6.7904e-05i,-0.00044433+0.0008222i,-0.0003285+0.0011938i,0.00062557+0.0015632i,0.00179+0.00089442i,0.0019994+0.00010474i,0.0012144+0.00049751i,-5.2537e-05+0.0010797i,0.00012363+0.00099714i,0.00047432+0.0011645i,-0.00045032+0.0014301i,-0.00019754+0.00069696i,7.6567e-05-0.00025014i,6.9366e-05+0.0004349i,-0.00047336+0.0010417i,-0.00061927+0.00061836i,0.00052256+4.762e-05i,0.00053929-0.00050089i,0.0003639-0.00053917i,0.0011562+0.00033121i,0.0016159+0.00069309i
0.00089082+0.0012936i,0.0011737+0.0016647i,0.00054622+0.0010512i,0.00022269-0.00072706i,0.0005023-0.00056934i,-0.00026592+0.0001502i,-0.00013344+0.00020118i,0.00062517+0.00020557i,0.0003166-0.0001281i,0.00048026+8.6043e-05i,0.00081506+0.00019495i,0.00052549-6.0039e-05i,0.0003228-0.00059556i,0.00061676-0.0007929i,0.00037182-0.00070621i,-6.3984e-05-0.00080153i,-0.0002322-0.00019894i,0.00023856+0.00039412i,0.00050529+0.00054283i,-0.00016918+0.0011961i,-0.00057637+0.0011529i,-0.00026975-0.00032929i,0.00042445-0.00028929i
0.00071309-0.0012227i,0.0018049-0.0015301i,0.00056382-0.0015343i,-0.00078352-0.00072634i,0.00032514+0.00027903i,0.0013682+0.00071795i,0.0016555+0.0012557i,0.0010957+0.0010696i,0.0001111+7.5845e-05i,-5.6256e-05-1.2989e-05i,0.00080057+0.00027549i,0.0015567+5.8519e-05i,0.0015144+0.00023849i,0.00071504+0.00048999i,0.00051759+0.00010838i,0.0008458+0.00015322i,0.00093704+5.8275e-05i,0.00076437-0.00051012i,0.00091055-8.0706e-05i,0.00086734-0.00014338i,0.00033568-0.00059996i,0.00055311-0.00039922i,-0.0001059-0.00032337i
0.0025583+0.0024529i,0.0032691+0.0024285i,0.0033924+0.00038349i,0.0032737-0.0013867i,0.0024419-0.00086626i,0.0011143-9.5253e-06i,0.00076948+5.1941e-05i,0.0010979-0.00025684i,0.00095698-0.00078107i,0.00023813-0.00073879i,-0.00031559-0.00072142i,-0.00032358-0.0012377i,0.0002137-0.00074433i,-0.00018104+0.00017186i,-0.00086919+0.00031817i,-0.00097708+2.525e-05i,-0.00067735-0.00028244i,-0.0003451-0.0003672i,-1.4742e-05-0.00031028i,0.0002171-0.00023647i,-0.0001823-7.8519e-05i,-0.00076932+0.00049065i,-0.00080982+0.00049767i
0.00091992+7.087e-05i,0.000818-0.00079677i,-0.00052975-0.0010922i,-0.0010948-0.00025779i,-0.00028577+0.00042237i,0.00058767-8.9724e-05i,0.00053813-0.00049081i,0.00036743+4.2058e-05i,0.00026312+0.00064787i,0.00051664+0.00029935i,0.00011897-0.00056259i,-0.0004003-0.00061659i,-0.00017276+0.00013505i,-0.00024266+0.00037303i,-0.00036383+0.00015272i,1.4655e-05+0.00019552i,-0.00015308+8.3778e-05i,-0.00057457-0.00016716i,-0.00028671-0.00050292i,5.9781e-05-0.00078645i,-0.00032811-0.0002728i,-0.00077983+0.00022862i,-0.00032423+0.00045131i
-0.00012818+0.0017816i,-0.00018067+0.001747i,-0.00040321+0.00073001i,0.00025185-9.8966e-05i,0.00064795-0.00013808i,8.0919e-05-0.00035536i,0.00028578+0.00012581i,0.00017305+0.00075785i,-0.00064159+0.00067285i,-0.0011503+0.00057329i,-0.0005938-0.00025602i,-0.00027971-0.00035211i,-0.00031903+0.00020148i,0.00022916+0.00059464i,0.00052691+0.00093761i,0.00016572+0.00059862i,-0.00032457+0.00016986i,0.00014318+0.00023814i,0.00050087+0.0011939i,-0.00039768+0.0012581i,-0.00063747-0.00012148i,2.6536e-05-0.0011969i,0.0012286-0.0011603i
-0.0012494-0.0003712i,-0.00038349-0.00127i,0.00040218-0.00023306i,0.0019422+0.00055728i,0.0025624+0.00062447i,0.0018927+0.00084608i,0.00073708+0.00040833i,-0.00039281+0.00041878i,-0.00032694+0.00056305i,0.00013818+0.0011332i,0.00051161+0.0007777i,0.0002993-0.00031109i,0.00023858-0.00035619i,-3.2632e-05+9.953e-05i,7.9461e-05-0.00058685i,0.0011401-0.0010625i,0.00078976-0.00040517i,0.00027976-0.0003154i,0.00048351-0.00097i,-4.9495e-07-0.0014337i,-0.0005631-0.00067211i,-0.00030124-0.00044343i,0.0003057+0.00033329i
-0.00037069-5.7551e-05i,0.00054565+0.0011334i,0.00020292+0.0010545i,5.2695e-05+0.00049641i,0.00047495+0.00043905i,0.00050436+0.00081674i,0.00075571+0.00075828i,0.0010694+0.00085536i,0.00095906+0.001164i,0.00076176+0.0013151i,0.00069796+0.00081894i,7.9268e-05+0.00041189i,-0.00048346+0.00017348i,0.00011492-0.00046225i,0.00093242-0.0010047i,0.00082972-0.00093062i,1.7825e-05-0.00077074i,-0.00056545-0.00015108i,-0.00068434+6.2467e-05i,4.1993e-05-0.00023585i,-0.00028489+0.00012966i,-0.00047707+6.623e-05i,0.00034905+0.0002763i
-0.00063478+0.00044607i,-0.0020161+0.0008592i,-0.0019442+0.00084503i,-0.0013274+0.0013041i,-0.00022325+0.0022939i,0.0011003+0.002316i,0.0012509+0.001577i,0.00097777+0.0016287i,0.00083682+0.0014158i,0.00081389+0.00035506i,0.00085703-0.00019159i,0.00071067-0.00013076i,0.00096819-0.00015429i,0.0010616-9.2226e-05i,0.00025615+0.00026666i,-0.00047678+0.00016853i,6.3492e-05+4.9493e-05i,0.00060423-0.00016736i,0.00046505-0.00035687i,0.00053479-0.0003368i,0.00030413-0.00049601i,0.00029056-0.00076112i,0.00056138-0.00032778i
0.0029571+0.00064449i,0.0030512-4.1007e-05i,0.0033798-0.00038617i,0.0028505-0.00057669i,0.0022241-0.0014894i,0.0019772-0.001531i,0.0016656-0.00012813i,0.0010082+0.00055149i,0.00040101-0.00032044i,-0.00012366-0.0011457i,-0.00013447-0.00045472i,0.00036349+0.00027545i,0.00074239+0.00039809i,0.00091471+0.00016842i,0.00039892-6.8517e-06i,0.00030009-0.00031721i,0.00026593-0.00057814i,-0.00014712-0.00011084i,-6.087e-05+0.00026i,-2.8708e-05+0.00031811i,0.0001039+0.00021464i,0.00055325+0.00024073i,0.00042+0.00084238i
-0.0011819+0.0020461i,-0.0015673+0.0018754i,-0.0019395+0.00098425i,-0.00062755+0.00098558i,0.0011728+0.0015278i,0.0022424+4.9481e-05i,0.0020511-0.0010917i,0.00077769+0.00025453i,0.00031389+0.0009211i,0.00023342+0.00017418i,-0.00066392-5.5139e-05i,0.00011354+0.00039542i,0.00041974+0.00034059i,-0.0003572-0.0005526i,-0.00048221-0.00041648i,-0.00017124-1.1073e-05i,-0.00011338+8.3776e-05i,0.0003197+0.00081733i,0.00048177+0.00031279i,0.000489-0.00012823i,0.00050864+6.4714e-05i,-5.1072e-05-0.00015659i,-0.00026352-0.00015954i
-9.9939e-05-0.0016259i,0.0010767-0.0011838i,0.00067913-0.0005583i,8.9442e-06+0.0008002i,0.0006655+0.0016843i,0.0019884+0.00076503i,0.0013205+0.00029762i,-0.00014222+0.00050189i,-0.00066357+0.00091559i,-0.0003044+0.0014805i,0.00048576+0.0012586i,0.0011898+0.00069865i,0.0008579+0.00039435i,-9.4571e-05+0.00014425i,-0.00060181-0.00049157i,-0.00062415-4.5278e-05i,-0.00026566+0.00049693i,-7.1332e-06+6.4716e-05i,-0.00016064-0.00025491i,-0.00048956+0.00034408i,-0.00021459+0.00063979i,-2.7609e-06+0.00032418i,-0.00033694+0.00056444i
0.0007759-0.0008023i,0.00017847+0.00054094i,-0.0010524+0.00047414i,-0.0010957-0.00040877i,-0.0004281-0.00022195i,0.0010201+3.3768e-05i,0.0010044+0.00017132i,0.00042225+0.00020378i,0.0010365+0.00034023i,0.00086633+0.00051146i,0.00047948+0.00035017i,0.00017561+0.00032991i,0.00031515-4.4334e-05i,0.00051091-0.00048894i,0.00042582+6.4665e-05i,0.00097964+3.4153e-05i,0.0010243-0.00055536i,0.00065207+0.00012437i,0.00013498+0.00067489i,-0.00024501+0.00042469i,-0.00035705-0.00029223i,-0.0001909-0.00049793i,-0.00034247+0.00020938i
0.0014026-0.00096609i,0.0021666-0.0010319i,0.0015097-0.0018074i,-0.00044961-0.0021465i,-0.0012161-0.00075269i,-0.00027381+0.0011614i,0.00060047+0.00078072i,0.0007796-0.00066068i,0.00077249-0.00019024i,0.00023376+0.00018323i,0.00037803-0.00027722i,0.00087758-0.00052205i,0.00039987-0.00017912i,0.00013223+0.00062536i,-2.7941e-05+6.1611e-05i,-0.0007929-0.00039261i,-0.00073397-0.00036161i,-0.0003138+7.616e-06i,3.2321e-05+4.4117e-05i,0.0004636-0.00013027i,0.00038495-0.00011343i,0.00071279+0.00042719i,0.00062227+0.00063571i
-0.0013084-0.00026309i,-0.002017+0.00016183i,-0.0021218+0.0011939i,-0.001007+0.0022468i,-0.00024319+0.0027895i,0.00072667+0.0022957i,0.0012699+0.00069346i,0.0014917-1.2424e-05i,0.0011903+5.1385e-05i,0.00063947-0.00025999i,5.5086e-05-0.00043551i,2.5372e-05-0.00075152i,0.00017582-0.00062569i,-0.00044216-0.00090692i,-0.00061079-0.0012392i,-0.00094102-0.00081331i,-0.0016669-0.00075167i,-0.0019409-0.00042533i,-0.0017073-0.00089518i,-0.00035912-0.0011i,0.00062811-0.00040992i,0.00014546-0.00015314i,0.0002619-8.6151e-05i
0.0015165+0.00065108i,0.0027937-0.00010348i,0.0027445-0.001035i,0.0012481-0.00098121i,0.00053239-0.00075297i,0.00080034-0.00032871i,0.0010494-0.00024321i,0.00095873+6.1563e-06i,0.00057684+0.00036947i,2.3173e-05+0.00027704i,-0.00010055+7.2401e-05i,-0.00019353+3.6309e-05i,-0.00047209+0.00028332i,-0.0002178+0.00058061i,-0.00041983+0.0009216i,-0.00053608+0.00053785i,-6.3166e-05-0.00023965i,-7.7992e-05+0.0004689i,-0.00058599+0.00066961i,-0.00068624+0.00048721i,0.00036084+0.0012287i,0.00045441+0.0013899i,-0.00013599+0.0012333i
0.0016285+0.0023829i,0.0013762+0.0028282i,0.0016273+0.002293i,0.0018259+0.00094579i,0.0014886-0.00048776i,0.0011223-0.00087616i,0.00049916-0.00022836i,0.00058521+0.00015231i,0.00090539+0.00053365i,0.00070009+0.0012885i,5.8455e-05+0.0013438i,-0.00024158+0.00058053i,-0.00070821+0.00059843i,-0.0014524+0.0012688i,-0.001474+0.00066768i,-0.0011296-0.00026451i,-0.0010748-0.00064653i,-0.00087114-0.00058922i,-0.00038909-0.00081494i,0.00044842-0.0009092i,0.00067446-0.00039507i,0.00040949-0.00037369i,0.00038449-0.00033548i
0.00029391-0.0016768i,-0.00039803-0.0015844i,-0.0011691-0.0016553i,-0.0015838-0.0014013i,-0.0013134-0.00059761i,-0.00031541+0.00037204i,0.00047373+0.00057835i,1.6936e-05+0.00040406i,-0.00027512+0.00094576i,-0.00033324+0.00085238i,-1.9411e-05+0.00043371i,0.00064859+0.00074936i,0.000463+0.0012447i,5.3554e-05+0.00082279i,0.00014203+0.00026375i,0.00040694-5.3578e-05i,0.00077567+0.00010068i,0.0012692+0.0006397i,0.0017325+0.00066219i,0.0015069+0.00037602i,0.000344-0.00020296i,0.00021745-0.00061332i,0.00071605-0.00043162i
0.0013269+0.000147i,0.0014273-0.00061066i,0.00059333-0.00067523i,-0.00010863-0.0002684i,0.00069982+0.00016468i,0.00042077-0.0001851i,-0.00023345-0.00013145i,0.00012846+0.00038336i,0.00055583+0.00087858i,0.00081467+0.00081775i,0.00063252+0.00037519i,-0.00014642-3.4822e-05i,-4.411e-06-0.00045131i,0.00055721+2.1543e-05i,0.00049702+0.00024361i,-0.00070926-0.00043663i,-0.00085699-0.0007181i,-0.00010287-0.00020991i,-1.1349e-05-0.00031969i,0.0002088-0.00074248i,7.4825e-05-0.0002119i,0.00010656+0.0002945i,0.00037646+0.00023878i
0.0012046-0.0011718i,0.00095629-0.0019798i,-0.00054023-0.0025424i,-0.0019948-0.001435i,-0.0017432+0.00023467i,-0.00051192+0.001426i,9.985e-05+0.0010935i,0.00047795+0.00064081i,0.00061565+0.00015053i,0.00024396+0.00021879i,4.7682e-05+0.0007017i,-0.00057434-0.00014209i,-0.00035597-0.00044048i,3.625e-05-0.00026405i,0.0012414-0.00063177i,0.0017839-0.00061569i,0.00073328-0.00033634i,0.00048374-0.00035317i,0.00046467-0.00084603i,0.00021037-0.00084217i,0.00018278+0.00011469i,-0.00018262+0.000648i,0.00018252+0.00046354i
-0.0010978+0.00033841i,-1.97e-05+0.00044718i,0.00097691-0.00069194i,0.0012854-0.001351i,0.0010059-0.0010468i,0.0013495-0.00037836i,0.0013817-4.3464e-05i,0.00085413-8.3856e-05i,1.6411e-05+7.3456e-06i,-0.00069029-0.00016751i,-0.00028378-0.0002164i,0.00030175-0.00074297i,2.3979e-05-0.00046592i,0.00023755+5.3022e-05i,0.00051797+8.072e-05i,0.00021978+0.0003996i,-0.00055521+0.00052447i,-0.001145+7.2393e-05i,-0.00053241-0.0010114i,-0.00024412-0.0012111i,-0.00040407-0.00018625i,0.00024338+0.00089545i,0.00057213+0.00054643i
-0.0029509+1.6282e-05i,-0.001376+0.00069826i,3.4287e-05+0.00172i,0.0010869+0.0021277i,0.0020638+0.0019499i,0.0016133+0.0010848i,-7.7628e-05+3.3166e-06i,-0.00085212-0.00041919i,-0.00030987-0.00024453i,0.00047947+0.00010608i,0.0011083+0.0002433i,0.001413+0.00044983i,0.00035846+0.00086859i,-0.000528+0.00021694i,-0.00032811-0.00044121i,0.00019117-0.00070985i,0.00073237-0.00069488i,0.00067967-0.00070674i,-0.00023141-0.00095111i,-0.00042563-0.00078239i,2.7756e-05-2.5425e-05i,-0.00086668+0.00018603i,-0.0011884+0.00028956i
-0.0016644+0.00025045i,-0.0020358-2.1722e-05i,-0.0017855+0.00072636i,-0.00019983+0.00061969i,0.001244+0.0017472i,0.0011782+0.002532i,0.00032816+0.0021774i,-0.0002708+0.00075059i,-0.00066455-1.4078e-05i,-0.00048141+0.00022722i,-0.00056437+0.00042434i,-7.7667e-05+0.00041268i,0.00023671+0.00095398i,6.2594e-05+0.0011488i,6.191e-05+0.0001223i,0.00077892-0.00034196i,0.00092973-0.00034696i,2.3976e-05-3.8778e-06i,-0.00023179+0.00030232i,0.00069384-0.0003115i,0.0009037-0.0010057i,0.0010615-0.00074348i,0.00097983-8.7806e-05i
0.0014163-0.0017535i,0.0020095-0.00063201i,0.0022251-0.0010594i,0.00031576-0.0017438i,-0.00044589-0.00065264i,-8.5568e-05+0.00067387i,0.00046841+0.00044926i,0.00083267+0.00057783i,-0.0001346+0.00079346i,-0.00084219+0.00042639i,-0.00083458+0.00048249i,-0.00060148+0.00019267i,0.00039064+0.00054804i,0.00089782+0.0020117i,0.00055502+0.0022371i,0.00061588+0.001128i,0.00039679-3.7867e-05i,7.0685e-05-0.00022715i,-0.00012296-6.581e-05i,-0.00023542+7.569e-05i,0.0010412+0.00033047i,0.0013356+0.00031507i,0.00072241-0.00034321i
-3.169e-06-0.00076026i,-0.00051246-0.0010196i,-0.0010225-0.00098481i,-0.0011526-0.00058575i,-0.0011786+0.00096303i,-0.00093724+0.001398i,-0.00028483+0.00078595i,-0.00035957+0.00042072i,0.0001931+0.00068024i,0.00084725+0.00046704i,0.00058755+5.7884e-05i,0.00075156+9.9157e-05i,0.00080381+0.00061252i,0.00062425+0.00063061i,0.00069684+0.00016059i,0.00027522-0.00013298i,-5.5923e-05-0.00019347i,-0.00034026+0.00059141i,-0.00087125+0.00063439i,-0.00062642-5.8402e-05i,-0.00064066-0.00014263i,-0.00040233-0.00035696i,-0.00022741-9.0573e-05i
0.00010411-0.00055581i,0.00062592-0.0002464i,0.00032094-0.00048688i,0.00053453+0.00027604i,0.00074381+0.0015226i,0.0010066+0.0014476i,0.00095238+0.0012309i,0.00050951+0.00046202i,0.00082202-0.00029984i,0.00088892+0.00029871i,0.00048383+0.00035558i,-0.00027687-0.00043371i,-0.00086306-0.00029917i,-0.00014955-0.00031986i,0.00064063-0.00047127i,0.00033473-0.00029053i,-0.00043562+0.00036506i,-0.00038821+0.00074428i,-0.00066844+0.00071072i,-0.00056161+0.0012802i,2.1897e-05+0.0018825i,4.9014e-05+0.001009i,4.4766e-05+0.00014238i
-0.00093359+0.00050693i,0.00065382+0.0012362i,0.0019973+0.0019411i,0.002253+0.0010791i,0.0023463-0.00024429i,0.0021577-0.0011288i,0.0014464-0.00091715i,0.00043089-0.00021143i,-9.1945e-05+9.3038e-05i,-0.00027808+0.00018672i,5.113e-05-0.00035836i,0.00074269-0.00028642i,0.00078301+0.00068682i,0.00064853+0.00055139i,3.8259e-05+0.00016915i,-0.00046094+0.00041902i,-0.00014172+0.00056528i,0.00015465+0.00013583i,-0.00059421+0.00019332i,-0.0013293+0.00064931i,-0.00096107+0.0011459i,-0.00095285+0.0010137i,-0.00079666+0.00061369i
0.0011316-0.00014009i,0.0013777+0.0003302i,0.0014444-0.00068874i,0.00065662-0.0012428i,0.00016243+0.00030344i,0.00072309+0.0015778i,0.0014886+0.00073627i,0.0010123-8.325e-05i,-0.00049153-0.00050164i,-4.663e-05-0.0002041i,0.00097763+0.0001333i,0.0012548-5.1877e-05i,0.00079605+0.00025525i,-6.2789e-05+0.00056695i,0.00019628-0.00048893i,0.00053608-0.00097332i,0.00042826-0.00042426i,0.00063598+0.00029285i,0.0009898+0.00029081i,0.0010657+0.00039011i,9.6389e-05+0.00048962i,-4.0832e-05-0.00021651i,0.00073945-0.001288i
0.00035896+0.000602i,0.00079155+0.00062194i,0.0012536+0.0012532i,0.0020747+2.9221e-05i,0.0020867-0.00090829i,0.0013221-0.00065547i,0.00083035-0.00058266i,0.00079839-0.00034698i,0.0005156-0.00041359i,0.00055636-0.00070964i,0.00091927-0.0010437i,0.00051283-0.0012927i,-0.0001159-0.0014821i,0.00030347-0.001285i,0.0003069-0.00058013i,0.00026244+0.00032674i,0.00052543+0.0011189i,0.00056382+0.00041944i,0.00082728-0.00023604i,0.00085874+0.00032854i,0.00083944+0.00097201i,0.00053464+0.0012778i,0.00039913+0.00080392i
