-0.0022015-0.00036557i,-0.00098688+0.0011231i,-0.0017036+0.0024549i,-0.002464+0.0024775i,-0.0026435+0.0026807i,-0.0024788+0.0028295i,-0.0016757+0.0010976i,-0.001235+0.0002446i,-0.0017739+0.00037781i,-0.0012882+0.00089356i,5.3071e-05+0.0005543i,0.0011855-0.00088393i,0.0015103-0.0013575i,0.0008127-0.0015071i,0.000246-0.0017547i,-0.00015114-0.001029i,-0.00031447-0.00070571i,-0.00014373-0.0010005i,3.0731e-05-0.00063773i,-0.00055424-0.00014179i,-0.00040504+7.6381e-05i,0.00010055+5.0424e-05i,0.0002656-0.00029483i
0.00011681+0.0002251i,-0.00026006-0.00029301i,0.00011325+0.00016057i,-0.00076653+0.00052924i,-0.0016095+0.0011579i,-0.0015894+0.0021123i,-0.0010416+0.0016341i,-0.00044229+1.387e-05i,-0.0009613-0.0010212i,-0.00090651-0.0015396i,6.0937e-05-0.0015514i,3.099e-06-0.0013147i,-0.00080219-0.00094787i,-0.00011101-0.0006171i,0.00090102-0.0004707i,0.0013558-0.00096794i,0.001152-0.0012205i,0.00046392-0.00086631i,0.00082756-0.00064237i,0.0011556-0.0008965i,0.00076122-0.00068262i,0.00093609+9.7361e-05i,0.00086771+0.00046421i
0.001502-0.0011237i,0.001033-0.00084936i,0.00043728-0.0013982i,-0.00043135-0.0015391i,-0.0021146-0.00021429i,-0.0029665+0.0011718i,-0.0021092+0.00058485i,-0.00094195-0.00091654i,3.2763e-05-0.00091465i,-0.00040032-0.00056364i,-1.9486e-05-0.00061514i,0.00062412-0.00024374i,0.00030735+0.00050098i,0.00043996+0.00060387i,0.00050743+0.00011035i,0.00032112-0.00019604i,0.00043028-0.00017964i,0.0011474+0.00054038i,0.00061058+0.00073979i,0.00029235-0.0002898i,0.00046466+0.00066009i,-0.00033433+0.0012771i,0.00030755+0.0005951i
0.00050561-0.0011535i,0.00099247-0.0016425i,0.00056693-0.0014721i,-0.00038648-0.00020531i,-0.00035942+0.0010541i,-0.00033892+0.0012738i,-0.0011719+0.00044015i,-0.00092643-0.00098371i,-0.0009528-0.001385i,-0.0018571-0.00081263i,-0.0018827-0.00027227i,-0.00066967-0.00061697i,0.00027204-0.0005674i,0.00068657-0.00012626i,0.0006118-0.0004086i,0.00030747-0.00031206i,0.00080099-0.00030459i,0.00061186-0.00040816i,2.1981e-05-0.00050078i,0.00029761-0.00034587i,0.00073124+0.00015773i,0.00068788+0.00033059i,0.00027484+0.00035979i
0.00025103-0.00093668i,-1.5631e-05+0.0006087i,-0.00046194+0.00082058i,-0.00044558+0.00048864i,-0.0011847+0.0011311i,-0.0011268+0.00078824i,-0.00013693+2.1669e-05i,8.5367e-05-0.00028926i,-0.0011245+6.3152e-05i,-0.0020016+0.00035196i,-0.0011796+0.00030223i,0.00051063+0.00010739i,0.00064991+0.00063627i,1.6056e-05+0.00055609i,0.00031247-0.00029304i,0.00086086-0.00067747i,0.00018517-0.00078765i,-0.0011089-0.00038239i,-0.0019243+0.00017656i,-0.0014584+0.00018036i,0.0001064+2.2181e-05i,0.0013562+0.00035795i,0.00095925+0.00060587i
0.0011599-0.00064927i,0.0011476-0.00089771i,0.00057519-0.0013844i,-0.00025257-0.0018044i,-0.0016847-0.0012261i,-0.0021338-0.00010981i,-4.6966e-07+0.00033219i,0.00066128-0.00021776i,-0.0010841-0.00044138i,-0.0017571+1.7187e-05i,-0.000484-0.00021471i,0.00013418-0.00054609i,-0.00020674+0.00032042i,3.9328e-05+0.00026458i,0.00073229-0.00013879i,0.00039165+0.00015198i,-0.00044863-9.1698e-05i,-0.00036182-8.1414e-05i,0.00017712+0.00031248i,0.00033885+0.0004852i,-0.00011502-5.162e-05i,0.00011801-0.00018747i,0.00053043-0.00012932i
0.00075701-0.00018893i,0.00066892+0.00099836i,-3.2329e-05+0.00047705i,-0.001775-0.00041015i,-0.0022163-0.00010108i,-0.0015756+0.00078561i,-0.0017+0.001276i,-0.0015315+0.00049331i,-0.0016022-0.00049148i,-0.0015902+2.3017e-05i,-0.0010143+0.00066356i,-0.00024579-0.00010696i,0.00027545-0.00075176i,0.00062365-0.00032714i,0.0010422-0.0005091i,0.00068218-0.00029582i,-0.00032538+0.00033686i,-0.00060367+0.00066773i,-0.00032764+0.00069669i,0.00012448+0.00035712i,0.00015052-0.00035604i,-0.00049737-0.0010574i,-0.00067296-0.00042293i
0.00035979-0.0012696i,0.00017337-0.001626i,-5.1746e-05-0.00050774i,2.0472e-05+8.4296e-05i,-0.00023696+0.00042188i,-0.00087707+0.0013234i,-0.00086791+0.001227i,-0.00019696+0.00010568i,-0.00033843-0.00015114i,-0.0010259-0.00070156i,-0.00048596-0.0012917i,0.0003682-0.0010386i,0.00047131-0.0011744i,0.00048998-0.00091245i,0.0008524-0.00068745i,0.0010978-0.00068893i,0.00040592-0.00078048i,-0.00055549-0.00066792i,-0.00024821-0.00080374i,0.0010248-0.00099552i,0.00073654-0.0002619i,4.4642e-05+0.00025511i,-3.3706e-05+0.00096882i
-0.00012981+0.00030994i,0.0010514+6.5054e-05i,0.0012758+1.9409e-05i,0.00022727-0.00037595i,-0.0010275-0.00051117i,-0.0015431+0.00026339i,-0.00038131+0.00041235i,0.00049867+0.00011926i,-0.00046155-0.0002188i,-0.00086908+0.00011293i,-0.00065955+0.00033702i,-0.00048358-0.00034611i,-0.00054525-0.00026729i,-0.0005833+0.00023113i,-0.00013496+9.8e-05i,0.00037589-0.00024479i,0.00084876-0.00059598i,0.00041754-0.00036625i,4.8489e-05-0.00010557i,0.00041775-0.00016776i,0.00050272-5.646e-05i,0.00069842+0.00034412i,0.00081726+0.0012098i
0.0010326+0.002131i,0.0005742+0.0010507i,0.00052335+0.00033616i,0.00036744+3.925e-05i,-0.00075802-0.0011565i,-0.0013149-0.00082302i,-0.0002788-0.00055683i,4.1629e-06-0.00096514i,-0.00044802-0.0011996i,-0.00010894-0.0010089i,1.0365e-06-0.00063995i,0.0002691-0.00052466i,0.00026185-8.3574e-05i,0.00036191+0.00057793i,0.00075883+0.00093833i,0.00026016+0.00084124i,-0.000512+0.00036144i,-0.001015-0.00013732i,-0.0011151-0.00062586i,-0.0005903-0.00014858i,0.00025558+0.0004254i,0.0001672+0.0010193i,-7.8372e-05+0.0010946i
0.0031737+0.00076055i,0.0024266+0.00084593i,0.0019846-0.00023632i,0.00090906-0.0011691i,-0.00056256-0.0015385i,-0.0011925-0.00066796i,-0.0014982+0.000151i,-0.0013749-0.00075788i,-0.00062619-0.0010506i,-0.00020814-0.00072409i,-0.00010221-0.00029489i,0.00032914-0.00031871i,0.00058823+3.2553e-05i,0.00017444+0.00017587i,2.4797e-05-0.00014412i,0.00042647+6.1824e-05i,5.0341e-05+0.00049026i,-0.00066772+0.00023748i,-0.00080258-0.00065885i,-0.00035733-0.00066399i,-6.9183e-05+0.00015475i,0.00016862+0.00061002i,-6.6927e-05+0.0006422i
-0.00088945+0.0019422i,-0.00010493+0.0023053i,0.00063236+0.0023765i,0.0013735+0.0016837i,0.0011869+0.0014882i,-6.8567e-05+0.0010477i,-0.0010408+0.00030382i,-0.00099264-0.00010785i,-0.00099076+0.00029958i,-0.00083885+0.00096919i,-0.0005473+0.00071139i,-0.00024378-0.00034882i,-0.00019915-0.00094468i,-0.00075652-0.00059882i,-0.00017841-0.00035414i,0.00047401-0.00029923i,0.00027908-2.076e-05i,-5.7102e-06-0.00013953i,-0.000312-0.00038114i,8.6882e-05-0.0008261i,-4.7242e-05-0.00055773i,0.00026554-2.7232e-06i,0.00045364+0.00041248i
-0.0014328+0.00032055i,-0.00078021+0.00073552i,-0.0016965+0.00153i,-0.0015568+0.0016239i,-0.0009224+0.0018862i,-0.00015134+0.001858i,0.00095383+0.00052235i,0.00021028-0.0010344i,-0.00076341-0.0010083i,-0.00051651+0.00029284i,0.00058782+0.00046291i,0.00125+0.00017028i,0.0010065-8.6452e-05i,8.1003e-05-0.00061382i,-0.00061876-0.00027409i,4.5152e-05+0.0002635i,0.00044692+0.00049894i,0.00080573-0.00015001i,0.00065377-0.00039156i,-8.4621e-05+0.00015868i,-0.00014712+4.7176e-05i,-2.46e-05-0.00051981i,8.0385e-05-0.00019423i
-0.0011091+0.0014239i,-0.00067133+0.0012235i,-7.0223e-05+0.0012375i,0.00053456+0.0013179i,-0.00040034+0.001266i,-0.0017634+0.0014022i,-0.0016728+0.00018234i,-0.0013961-0.0010621i,-0.0014899-0.001178i,-0.00083905-0.00056017i,-0.00015436+0.00043534i,-8.7805e-05+0.0006531i,-0.00056468-0.00044996i,-4.1414e-05-0.00042071i,0.00054776-0.00052043i,0.00020656-0.00090593i,0.00014687-0.00077335i,0.00029947-0.0011792i,0.00052111-0.0012573i,0.00036071-0.00078711i,-0.00012831-0.00040254i,0.00023126-0.00040032i,0.00068432-9.3047e-05i
0.00098592+0.00086674i,0.00090601-0.00058357i,-0.00045532-0.0011987i,-0.0014335-0.001083i,-0.00090599-3.6579e-06i,-0.00042149+0.0010052i,-0.00027019+0.00053406i,-0.00087826-0.00046974i,-0.0018904-0.00030019i,-0.0028054+0.00077479i,-0.00224+0.00038354i,-0.00033513-0.00055913i,0.00038695-0.00051629i,2.4329e-06+0.00018921i,-0.00026816+0.00031731i,-0.00015433+0.00044528i,0.00016516-0.00033208i,0.00033786-0.0004949i,0.000439-0.00039307i,0.00033905-0.00070452i,-0.00044992+0.00030136i,-0.0010052+0.0010534i,-0.00079821+0.00064858i
0.00038007-0.0014466i,0.00039427-0.0012333i,-0.00025631-0.0015008i,-0.0011186-0.0011251i,-0.0012766+3.7763e-05i,-0.0011592+0.00097528i,-0.00090385+0.00040358i,-0.00018728-0.00076842i,4.4256e-05-0.00064154i,-0.0006085+0.00048086i,-0.00061817+0.00093217i,-4.5845e-05+0.00079841i,0.00052277+0.00058298i,0.0010056+0.0002004i,0.0010382+0.00014859i,0.00088042+4.1822e-05i,0.00067202-0.00076137i,-0.00011862-0.00073472i,-0.00070387+5.6203e-05i,-0.00043483-0.00049844i,0.00036536-0.0005195i,-8.462e-07+0.00022428i,-0.00057338-0.00017171i
0.0011397+0.00091126i,0.00021193+0.0014004i,0.00025393-0.00049085i,-0.00026823-0.0016002i,-0.0013488-0.001209i,-0.0022233-0.00017943i,-0.0022338+0.00035902i,-0.0012623-0.00034499i,-0.00070061-0.00068585i,-0.0006312+0.00014776i,-0.00061248+5.2799e-05i,-0.00018122-0.00054987i,0.00052667-0.00011457i,0.00063565+0.00047572i,0.00066663+0.00077216i,0.00040648+0.00039777i,0.00040115-0.00046377i,0.00098547-0.0005497i,0.00062325-0.00071628i,0.00038474-0.0007136i,0.00035135-0.00057631i,-0.0001485-0.00026373i,-0.00076839-6.5551e-05i
-0.0010338+0.0019451i,-0.0010764+0.00076799i,-5.1964e-05+0.00031327i,0.00016778-0.00021161i,-0.00065673+0.00020143i,-0.0022714+0.00093779i,-0.0023668+0.00090164i,-0.0015659+0.00036948i,-0.0011859-0.00050587i,-0.00066836-0.00094066i,0.00032291-0.00021971i,0.0005128+0.00043644i,0.0002834-0.00038544i,0.00026148-0.00053566i,0.00042738-0.00017715i,0.00056404-0.00075297i,0.00099811-0.00073147i,0.0011147+0.00065565i,0.00099474+0.00066419i,0.00057825-0.00018336i,0.0004059-0.00084943i,0.00054628-0.00059205i,0.00059459+0.00022096i
-0.00029902-0.0017651i,-0.00057987-0.0013852i,-0.00083068-0.00053202i,-0.00076453-0.00051434i,-0.0010346-0.00014673i,-0.00089011+0.00095925i,0.00030348+0.00081964i,0.0007715-0.00069825i,-0.00015492-0.00083312i,-0.00098426-0.00027475i,-0.0011171+9.8928e-05i,-0.00072008-0.00024366i,-0.00039756-0.00042624i,-0.00042366-0.00017677i,-0.00029266+0.00014884i,-0.00037888+0.00020873i,-0.00068433-0.00041983i,-0.00034745-0.00018824i,-1.8899e-05+0.00073802i,0.00049727+0.00071941i,0.0003801+0.00019519i,-0.00018995-0.00054282i,0.00044087-0.0006896i
0.0009605+0.00025081i,0.00052168+0.00039747i,0.00073495-9.6426e-06i,-0.00039864-0.00091839i,-0.0018977-0.0013476i,-0.0015116-0.00057751i,-0.00040087+0.00015585i,-0.00020147-0.00027103i,-0.0012787-0.00050699i,-0.0022671-0.0002068i,-0.0017837+0.00031973i,-0.0012116+0.00018182i,-0.00048045+5.5821e-05i,-0.00064853+0.00056428i,-0.0017074+0.00068681i,-0.0012256+0.00038832i,-0.00015094-0.00043631i,0.00012427-0.0005712i,4.3055e-05-0.00078554i,0.00020601-0.00098968i,-0.00036142-0.00061532i,-0.00065239-0.00030718i,-0.00022312+0.00014199i
-0.00080107+0.00045901i,-0.00037201-6.1954e-05i,-0.00074196+0.00048763i,-0.00076346+0.00071602i,-0.00016787+0.00066257i,-0.00013252+0.00077723i,-0.00058174+0.00049909i,-0.00082357+0.00022631i,-0.0012781+0.00019388i,-0.0010034+0.00037393i,-0.00043385+0.00025066i,-0.00018059-0.00029938i,-0.00049434-3.7259e-05i,-0.00077417+0.00040354i,-0.00012017+0.00028546i,0.00044137-7.9477e-05i,0.00028379-0.00039472i,0.00044337-0.00022517i,0.00069561+0.0002393i,0.0010948+0.00042652i,0.0004037+0.00061889i,-0.00024891+0.0010051i,-9.1308e-07+0.00051463i
-0.0010566+0.0011044i,-0.0007288+0.0010034i,-0.00073463+0.0018882i,-0.00074704+0.0012115i,-0.00051888+0.00057117i,-0.00030663+0.00048426i,0.00029131+0.00021872i,0.00044616-0.00073067i,-0.00041599-0.00089226i,-0.00068419+0.00013382i,-0.00031767+0.00048254i,-7.2441e-05-0.00018751i,0.00031395-0.00095032i,0.00065001-0.001405i,0.00054957-0.00087295i,0.00058372-0.00066398i,0.00034203-0.00079238i,0.00070636+0.00054677i,0.00038727+0.0007165i,-0.00032476-0.00013845i,-0.00091481-0.00020592i,-0.0010039+1.4721e-05i,-0.00079249+0.0005356i
-0.001278-4.0378e-05i,-0.0007301-0.00043676i,0.00063831-0.00016053i,0.00026991+0.0012703i,-0.0012672+0.0017774i,-0.0024569+0.0019762i,-0.0015175+0.0013236i,-2.4472e-05+0.00032654i,-0.00040735-0.00093988i,-0.00044118-0.0017598i,-1.3574e-05-0.0011514i,-0.00012075-0.0004099i,-0.00063035-0.00036739i,-0.00037864-0.0010155i,0.0001299-0.00099068i,0.00016161-3.2602e-05i,0.00039518+3.6361e-05i,0.00024067+3.9204e-05i,0.00041102+0.00028462i,-0.00015987-0.00013002i,-0.00056738-0.00019031i,-4.4607e-05+0.00044431i,0.00018061+0.00055685i
0.0013102+0.0006771i,0.00049019+0.00052393i,0.00027169-0.00069683i,0.0010127-0.001269i,0.00062178-0.00021715i,-0.00090398+0.0009471i,-0.00054234+0.0011542i,8.7883e-05+0.00015695i,-0.00085644-0.00058542i,-0.0011584-0.00059829i,-0.00084189-0.00076623i,-0.0005178-0.0010597i,-3.3429e-05-0.00064743i,-0.00011937+0.00024189i,-0.00024578+0.00019705i,-0.00038595-7.2092e-05i,-0.001007-0.00072573i,-0.0010119-0.001222i,-0.00034865-0.00053881i,-0.00041334-2.3566e-05i,-0.0011533+0.0001565i,-0.00087364-0.00034361i,-5.3554e-05-0.00078698i
-0.00077302+0.0010995i,-0.0011355+0.0011307i,-0.0011161+0.0014826i,-0.00064513+0.00090802i,-0.0010552+0.00094281i,-0.0011018+0.00071947i,-0.00032281+0.00035073i,-0.00084722-0.0001572i,-0.0022434-0.0004422i,-0.0021343+0.00013506i,-0.0010962+0.0003483i,-0.00044364-0.00050291i,0.00016301-0.0003382i,0.00030303+0.00055297i,0.00010144+7.6803e-05i,0.00023973-0.00071341i,2.7234e-05-0.00085086i,0.00014248-0.0006083i,0.0004496-0.00059956i,-0.00033428-0.000615i,-0.00041188-0.00030336i,0.00041176+0.00020111i,0.00046783+0.00022383i
-0.00024774-0.00068804i,-0.00011276-0.00017639i,-0.0010441+9.3692e-06i,-0.0012771+9.1326e-05i,-0.0011613+0.00038975i,-0.001022+0.0013184i,-0.00031328+0.00089416i,-7.7168e-05-0.001023i,-0.0013507-0.0017846i,-0.0020858-0.0010434i,-0.0012195-0.00083905i,-0.00014156-0.00061017i,8.1011e-05+0.00019159i,0.00037054+0.0002787i,0.0015418-0.00067177i,0.0017222-0.001115i,0.00091202-0.00071726i,0.0002882-0.0006209i,0.00019421-0.00065864i,0.00012007-0.00030318i,-0.00030494+4.3535e-05i,3.3922e-05+1.736e-05i,0.00041748+6.9017e-05i
0.00021992-0.00027065i,-9.1772e-05-0.00025177i,-6.5864e-05-0.00040054i,-0.00054542+0.00026982i,-0.0011136+0.00077295i,-0.00093146+0.00078843i,-0.0002295+0.00053824i,-0.00025016-0.00023263i,-0.0010969-0.00039335i,-0.0013968+5.4264e-05i,-0.0011758-5.0951e-06i,-0.00062233-0.0003529i,0.00015308-0.00019734i,0.0004119+0.0001194i,4.0267e-05+3.974e-05i,4.264e-05-3.1534e-05i,0.0007069-0.00035973i,0.0014714-0.00064068i,0.0012983-0.00092754i,0.0006586-0.00090424i,0.00018061+0.0001025i,0.00060094+0.00050436i,0.00063037+0.00039502i
0.0012864-0.00057668i,-0.00029784-0.00043818i,2.6694e-05-0.0006763i,0.00028051-0.00067968i,-0.0009275+0.00043152i,-0.0015154+0.0011019i,-0.00042755+0.0013254i,-0.0004519+0.00052501i,-0.00082975-0.00064247i,-0.00066853-0.00098315i,0.0001106-0.00096488i,0.00022939-0.00052175i,-0.00038024+0.00051902i,-0.00014167+0.00062293i,0.00045969-0.00028561i,0.00023136-0.00075436i,-2.3071e-05-0.00085909i,9.9566e-05-0.00055087i,-0.00017875+0.00027901i,-0.00078717+0.00049579i,-0.00092203-2.1454e-05i,-0.00092688-3.9302e-05i,-0.00082265+5.1847e-05i
8.9873e-05-0.00014586i,-1.3492e-06-0.00072506i,-0.00049934+0.0001772i,-0.00086465-0.00055357i,-0.0013373-0.0010465i,-0.0013111-0.00013227i,0.0001113-1.0285e-05i,0.00090378-0.00085432i,5.8369e-05-0.0012864i,-0.00073117-0.00074649i,-0.00072774+0.00045058i,-0.00091962+0.00053726i,-0.00048932+3.7274e-05i,0.00028359+0.00048909i,0.00040097+1.7413e-05i,0.00051228-0.00038264i,0.00065701-0.00037399i,0.00081545-0.00079868i,0.00018403-0.00036288i,-0.00023986-0.00020182i,-0.00022344-0.00018872i,-0.00017106+0.00019366i,0.00024303+0.00012294i
0.0015218+0.0010021i,0.00059768-0.00035559i,0.00064004-0.0011616i,0.00021426-0.00044795i,-0.00068326+0.00027967i,-0.0010844+0.00073651i,-0.0012894+0.00077565i,-0.0015214+0.00047949i,-0.0011024-0.00019018i,-0.0007963-0.00050327i,-0.00075369-0.00040957i,2.0063e-05+0.0001266i,0.00070449+0.0004983i,0.00088268-0.00018751i,0.0002814-0.00094323i,0.00013746-0.001133i,0.00017029-0.00061932i,0.00010841-0.00049285i,7.4092e-05-0.00013348i,4.5761e-05+1.6701e-05i,-0.0001626+0.00021599i,-0.00031946+0.00059613i,-0.00031861+6.5923e-05i
0.00011515-0.00014819i,-0.0004065-0.0011057i,-0.00082414-0.0010727i,-0.0011412+0.00026027i,-0.0013667+0.000967i,-0.0012663+0.0012501i,-0.00062068+0.0011571i,-0.00075615+0.00017955i,-0.0012896-0.00053011i,-0.0012173-3.466e-05i,-0.00044544+0.00015925i,9.9351e-05-0.00094355i,0.00050835-0.0014007i,0.00093563-0.00029945i,0.00084028+0.00013057i,0.00069983+0.00016022i,0.00047355-0.00050471i,-0.00049086-0.0010219i,-0.00057755-0.00017736i,3.7615e-05+0.00043718i,-0.00010641+9.487e-05i,-0.00058045+3.1148e-05i,-0.0008483+0.00019091i
0.0016902+0.0015556i,0.00069729+0.00069433i,-0.00026078-0.00014122i,-0.0005696-0.0010099i,-0.00033623-0.00071238i,-0.00065359+0.00018298i,-0.0012334+0.00019499i,-0.0010063-0.00058125i,-0.0010825-0.00064843i,-0.0012521-0.00012945i,-0.0005772-0.00025014i,-0.00013417-0.00031404i,-6.5266e-05+0.00031545i,-0.00018376+2.2409e-05i,0.00025079-0.00031983i,0.0010256-0.0012121i,0.00059693-0.0012991i,9.5932e-05+0.0001285i,0.00024013+0.00057447i,0.00026141+0.000557i,-4.9759e-05+0.0006384i,-0.00011214+0.00043866i,-0.00029833-0.00055287i
