-0.0022274-0.0013799i,-0.0027075-0.0011875i,-0.0035429-0.00091449i,-0.0023111-0.00019659i,-0.0011312+0.0013352i,-0.00077665+0.0011954i,-0.00036368+0.00050847i,0.00069948+0.00064527i,0.0010526+0.00089841i,0.00016473+0.00071748i,-2.0451e-05+0.00026979i,0.00022099-0.00021419i,0.00016139-0.00067866i,-0.00056817-0.00057846i,-0.0015801-0.00061068i,-0.00054146-0.00067208i,0.00022177-0.0012444i,-6.9865e-05-0.00059864i,-3.8656e-05+1.8524e-05i,-0.00055932-0.00072822i,-0.00077489-0.00077368i,-0.00055424-0.00058865i,-0.00022449-0.00064937i
0.0025996-0.00045888i,0.0022679-0.0016129i,0.0012152-0.00074102i,-0.0003135+0.00044707i,-0.00051706+0.00021552i,-0.00021595+0.00027111i,0.0008881+0.00019966i,0.0012894-0.00047795i,-2.3719e-05+0.00028491i,-0.00024507+0.0011488i,0.00061812+0.00084809i,0.0006951-0.00012748i,0.00039888-0.00050387i,2.3396e-05-0.00018129i,-0.00020674-0.00054879i,0.00014287-0.0010702i,-0.00010028-0.0005564i,-0.00038072+0.00039477i,-6.5513e-06+0.00056519i,-0.00053642-0.00013869i,-0.00021658-0.00061279i,0.00035665-0.0010611i,0.00051899-0.00066276i
0.00097599-0.0010777i,-2.5076e-05-0.0017474i,-0.0013871-0.0020307i,-0.0013391-0.0016012i,6.3302e-05-0.0010799i,0.00062922-0.00061751i,0.00089474-0.00018382i,0.00035583-0.00062839i,-0.00058942-0.00064656i,-0.00032406+4.8884e-05i,0.00063667+0.00036427i,0.00022811+0.00041397i,-0.00013111-5.9952e-05i,0.00023885+5.4247e-06i,0.00026367+0.00028959i,0.00039804-2.1462e-05i,0.00011708+0.00022774i,-0.00024647+0.00040007i,-0.00020156+0.00023901i,0.00010482+0.00071351i,0.00015792+0.0013144i,0.00016293+0.0010045i,0.00034082-9.0756e-05i
9.1556e-05+0.00013386i,7.9893e-05-0.0012631i,0.00028558-0.0011976i,8.8903e-06-0.0011792i,-0.00013348-0.00094419i,0.00041584-0.00078915i,0.00062638-0.00081155i,0.00031153-0.00053955i,0.00011288+0.00011661i,-0.00037943+0.00066325i,-0.00078564+0.00084175i,-0.00063253+0.00024652i,0.00037005-0.00083175i,-9.9144e-05-0.0015616i,-0.00062704-0.0013966i,-0.00019218-0.00036532i,0.00045829-0.00024107i,0.0010018-0.00072962i,0.0003896-0.0003689i,-0.00015262-3.7247e-05i,-0.00014399+0.00026257i,-0.00022437+0.00064299i,-0.00040088+0.00069057i
6.8904e-05-0.0013158i,-0.0001262-0.0014235i,-0.00037926-0.0012763i,-0.00021339-0.00071161i,2.0875e-05+0.00039433i,1.7056e-05+0.00039813i,0.00084049-0.00072546i,0.00055762-0.0006072i,-0.00033378+7.8348e-06i,-0.00056641+0.0005205i,-0.00053416+0.00068084i,0.00032819+0.00024068i,0.00084174+0.00010335i,-0.00028732-4.1112e-06i,-0.00067701-0.00054792i,-0.00023871-0.00051442i,-5.9036e-05-0.00018858i,2.3291e-05+0.00024584i,-0.00044273+0.00070219i,-0.0007988+0.00035324i,-0.00044345+0.00023094i,0.00010292+0.00019006i,0.00079466-0.00020436i
0.0014973-0.0031781i,0.0006336-0.003134i,1.7595e-05-0.0029738i,-0.00086878-0.0018577i,-0.0012897-0.00075683i,2.4008e-05+0.00020454i,0.0011799+0.0012098i,0.00056066+0.0011235i,-0.00027064+0.00065645i,-0.0004974+0.00027998i,-0.00021439+0.00012923i,0.00021208+0.0001857i,0.00056745-0.00053833i,0.0009831-0.0016603i,0.00098092-0.0011889i,0.0006497-0.0001368i,0.00077154-0.00017648i,0.00064745-0.00016402i,-0.00022308-0.00039412i,-0.00019048-0.0009326i,0.00042172-0.0005092i,0.00088656-0.00047991i,0.00065002-0.00078001i
-0.0011001-0.00024469i,-0.0018633-0.0015135i,-0.0017165-0.0015556i,-0.00077751-0.00097681i,0.00022864-0.0007033i,0.00034288+8.1885e-05i,0.00013352+0.00033731i,0.00021717-0.00013768i,-0.00040639-3.1522e-05i,-0.0010378+0.0010094i,-0.00049365+0.0014521i,0.00018035+0.001116i,0.00066469+0.00062288i,-0.00025408+0.0002783i,-0.001296+0.00018357i,-0.00081683-0.00030728i,-0.00044176-0.00045258i,-0.00030014-0.00024365i,-0.00010692-0.00036018i,-0.00011085-0.00026974i,-0.00011749+0.00067663i,-0.00036447+0.0011755i,-0.00011399+0.00093867i
0.00020875-0.0023462i,0.00026492-0.0019535i,-0.0005899-0.001311i,-0.00081116-0.00064479i,-0.00048051-0.00043253i,-0.00014599-0.00011438i,4.2927e-05-0.00053201i,-0.00017815-0.00080205i,-0.00051153-0.00065937i,-8.0496e-05-0.0003619i,-0.00019276-0.00048374i,-0.0004643-0.0010279i,0.0004385-0.00064691i,0.00086905-0.00064653i,0.00075898-0.00055494i,0.00083829+0.00044292i,0.0008041+0.00048077i,0.00046394-0.00051345i,-0.00012053-0.00058842i,-0.00017868+0.00043818i,0.00038286+0.0010204i,0.0004749+0.00040064i,0.00027704-0.00025638i
0.0028039-0.00078346i,0.0023689-0.0018889i,0.00078203-0.0017476i,-0.00051532-0.0017695i,-0.00081209-0.0014689i,-0.0011038-4.4857e-05i,-0.0010421+0.00021043i,-0.00028007+8.2453e-05i,2.8866e-05+0.00055505i,1.8842e-05+0.00075127i,-0.00052279+0.00089146i,-0.00081077+0.00044918i,0.0002122+0.00011371i,0.00072941-0.00024221i,0.00060262-0.00026601i,0.00058497+0.0001314i,0.00017254-0.00030179i,-0.00012859-0.00052902i,3.2372e-05-0.00021503i,-0.00062994+0.00024524i,-0.00075733+0.00018546i,-0.0003666+0.00011638i,-0.00036442+0.00036052i
0.00093112-0.0015549i,0.0010723-0.0027403i,0.00096956-0.0019338i,0.00076523-0.0014687i,0.00070986-0.0016082i,0.00027815-0.00016103i,-0.00033449+0.00027758i,0.00035665-0.00021696i,0.00069138+0.00087064i,0.00074485+0.0015279i,0.0012218+0.0011303i,0.0010289+0.001203i,0.00049954+0.00096228i,-0.00026763+7.4643e-05i,-0.00028978-0.0005388i,0.00050886-0.00066168i,0.00064033-0.00063295i,0.00056849-0.00026096i,0.00062639+0.00012697i,0.00025616-0.00026373i,0.00018327-0.00011644i,0.00056306+0.00070185i,0.00023298+0.0011461i
0.0012693-0.0020632i,0.00045033-0.0024695i,-0.00079891-0.002255i,-0.0015432-0.0017047i,-0.0013021-0.0011667i,-0.00061806-0.00034796i,0.00031172+0.00053938i,0.00080551+0.00027094i,-0.000228-0.0003276i,-0.00070367+0.00028016i,-0.00046033+0.0010308i,-0.00054376+0.00063787i,-0.00024949-1.2007e-05i,0.00027971-0.00054657i,0.00082373-0.0005379i,0.0015542-6.5249e-05i,0.00093762-0.00031308i,0.0001447-0.00090064i,-0.00011829-0.00047965i,-0.00031108-0.00061062i,-4.3862e-05-0.00079411i,-0.00014195-0.00017479i,-7.6708e-05+0.00064123i
0.0014-0.00010907i,0.00090474-0.00057106i,0.00075721-0.0012385i,0.00032066-0.0011036i,-0.00011529-0.00087547i,-0.00026487-0.00017271i,-0.00030095+0.00069523i,-0.00063338-0.00041647i,-0.00035874-0.00075782i,-0.00014373-0.00075432i,-0.00038456-0.000421i,-0.00065717+0.00076171i,-0.00049664+0.0011982i,0.00035419+0.00057338i,0.00059527+0.00023788i,-0.00023574+0.00035772i,-0.00041766-0.00014105i,-0.00026296-0.00098272i,-0.0003836-0.00096133i,-0.00062148-0.00085087i,-0.00037038+9.3683e-06i,-0.00016453+0.0010225i,-0.00040584+0.0008201i
0.0011761-0.00081305i,0.0017005-0.002121i,0.00087954-0.0018954i,-0.00047053-0.0013636i,-0.0006043-0.001768i,3.4057e-05-0.0010661i,0.00091846-6.4949e-05i,0.001097-0.00030659i,0.00082956-0.00027643i,0.00015411+0.00025293i,-5.4034e-05+0.0010349i,0.00039386+0.00098526i,-0.00010946-0.00033446i,0.00042689-0.00070251i,0.0010955+0.00012303i,0.00074321+0.0004221i,-0.00019362+0.00053165i,-0.00054947+0.00028993i,5.8423e-05-0.00073353i,0.00054453-0.00061685i,0.0006818-0.00035848i,0.00064897-0.0006673i,-0.00016808-0.00022016i
0.00080004-0.00098684i,0.00050126-0.0011378i,0.00038733-0.00029974i,0.00061283-0.00010543i,0.00038407-0.00068248i,-0.00029975-0.00088602i,9.5617e-06-0.00093928i,0.00069119-0.0012125i,0.00019908-0.0010451i,-0.00013983-0.00013253i,-2.2596e-05+0.00021421i,0.00014852-0.00032805i,8.9488e-05-0.00025024i,2.7908e-05+0.00015873i,0.00051554+0.00045578i,0.00033668+0.00017567i,0.00053128-0.00014361i,0.0010296+0.00031868i,0.00056266+0.0001429i,2.8935e-05+5.9192e-05i,-0.00023094-0.0002108i,0.00016662-0.00062613i,0.00072628-0.00043999i
0.0012536-0.0034214i,0.00040675-0.0036394i,-0.00088143-0.003491i,-0.0023001-0.0019242i,-0.0019466-0.00016809i,5.4789e-05+0.00075422i,0.00069998+0.00022855i,-0.00020132-0.00072851i,-0.00076905-0.00068621i,-0.00039741-0.00027393i,-0.00024328-2.1917e-05i,0.00026646+0.00014925i,0.00076758-0.00038501i,0.00077089-0.0012496i,0.00092505-0.0012557i,0.00076936-0.0004704i,0.00051778-1.0756e-05i,0.00061393-0.00047897i,0.00060898-3.6177e-05i,0.00029304+0.00038343i,-0.00020708-0.00066796i,0.00015221-0.0011357i,0.00039122-0.00045494i
0.00046643-0.0010925i,0.00037733-0.0017882i,9.9573e-05-0.0015377i,-0.00063944-0.00038999i,-0.0017042+0.00064832i,-0.0011858+0.00037136i,0.00047061-3.3912e-06i,0.00050639-0.0003544i,0.00030196-0.00021358i,7.2683e-05-0.00011019i,-0.00030492+5.5736e-05i,-0.00018563+0.0002651i,0.00013114-0.00048704i,0.00028944-0.00059197i,-0.00053619-0.00045322i,-0.00080315-0.00066969i,-0.00043341-0.0001598i,-0.0005327+8.4553e-05i,-0.00044952-0.00010985i,0.0002295-0.00032467i,-0.00012943-0.00090531i,-0.00057451-0.00090894i,-0.00013419-0.00023644i
0.0028101+0.00032275i,0.0011852-0.0014369i,-0.00029206-0.0018211i,-0.00063556-0.001702i,-9.1252e-05-0.0012549i,0.00035952-0.0010819i,0.00071285+1.42e-05i,0.00059908+0.00083659i,0.00026468+0.00072678i,-2.3652e-05+0.0006447i,-0.00046857+0.00086425i,-0.00020199+0.0011333i,0.00025535+0.00080543i,0.00045929+0.00049242i,0.00053749+0.00077047i,0.0002384+0.0010905i,0.00028158+0.00058099i,0.00058969-0.00030024i,0.00035403-0.0006366i,-0.00040427-9.2588e-05i,-0.00029392+0.00036126i,2.1515e-05-0.00020741i,-0.0006007-0.00047167i
0.0012766+0.00043088i,0.00056739-0.00074143i,-0.0001906-0.0014606i,-8.9298e-05-0.0014048i,0.0010083-0.00045639i,0.0013915+0.000196i,0.00092163+0.00013527i,0.0001592-0.00014116i,-0.00022199-0.0003238i,-0.00061341-0.00012673i,-0.00056635+0.00027721i,-0.00017337+0.00015047i,4.8231e-05-5.42e-05i,0.00089191+0.00020308i,0.0014949+0.00078162i,0.00068292+0.00095538i,0.00041297+0.00065438i,0.0008223-2.2504e-05i,0.0009998-0.00054125i,0.00081346-0.00057346i,0.00012089+0.00020397i,0.00012435+0.0012844i,0.00067326+0.00067554i
0.0023197-0.00040064i,0.003425-0.00010446i,0.0022837-0.00095832i,0.00062978-0.0016292i,0.00010789-0.0011055i,0.00038435-0.00031076i,0.00051938-0.0007682i,-0.00011257-0.000839i,-0.00011829-0.00082827i,0.00033352-0.00047147i,0.00020514+0.00020406i,0.00061516+0.00035935i,0.00032847-3.7825e-05i,-0.00038423-0.00059858i,-0.00072724-0.00061347i,-0.00058393+9.7619e-05i,0.00035832+0.00051752i,0.00074695+0.00061009i,0.00060138+0.00061955i,0.00053294+0.00044335i,8.0112e-05+0.00023088i,-9.225e-05+0.00012698i,-0.00043357+0.00026621i
0.00024908-0.0040139i,-0.00085894-0.0038488i,-0.0022754-0.0025085i,-0.001775-0.00060439i,-0.0010846+0.00042984i,-0.00095838-0.00036191i,5.6008e-05-0.00064699i,0.00042974-1.8481e-05i,-0.00054501-7.1673e-05i,-0.00057313-0.0003288i,6.7694e-05-5.9083e-05i,-3.8891e-05-6.352e-05i,0.00022063-0.00047634i,0.00094345-0.00075756i,0.001103-0.0008277i,0.00068307-0.00020628i,0.00020546-0.00019269i,6.7741e-05-8.2583e-05i,0.00050962+0.00011839i,0.00057529+8.3656e-05i,0.00060485-0.00016965i,0.00022921-0.00012786i,-3.5984e-05+0.00074679i
0.0013633-0.0014292i,0.0017543-0.0012936i,0.0004685-0.0015929i,-0.00049039-0.0011544i,5.16e-05-0.00039986i,0.0010396+7.4256e-05i,0.0019546+0.00015859i,0.0013357+4.949e-05i,0.00033782-0.00041288i,9.4627e-05-0.00061459i,-0.00048629+1.7378e-05i,-0.00031778+0.0001459i,0.00020795+0.00025725i,-0.00018298+0.0008801i,-0.00076835+0.00083774i,-0.00050876+0.00019287i,-0.00052909-0.00012385i,-0.00027489+0.00028182i,0.00023847+0.00084276i,0.00041211+0.00037242i,0.00038122-0.00053225i,0.00021236-0.00074881i,0.0003823-0.00041671i
0.00075155+0.00040103i,-0.00021341-0.00072294i,-0.00016186-0.0016457i,0.00055141-0.0012509i,0.00053217-0.00058187i,0.00055147-0.00093169i,0.00086443-0.00099479i,0.00057409-0.0002449i,0.00021208+0.00037819i,0.00028691+0.00060849i,2.4949e-05+0.00071092i,-0.00046192+0.00076997i,-0.00035773-7.3944e-05i,-0.0004593-0.00015512i,-0.00038127+0.00041409i,0.00029376+0.0005641i,2.8147e-05-0.00016698i,-0.00027305-0.0010606i,-0.00033801-0.00095343i,-8.2127e-05-0.00031713i,0.00042677-0.00033678i,-0.00013892-0.00087696i,-0.0007891-0.0010375i
0.0020523+0.0010715i,0.0016402+0.00034243i,0.00065959-0.00033877i,3.6386e-05-0.0012461i,0.00028508-0.0012849i,0.00063291-0.00015917i,0.00012412+0.00017101i,-0.00066812+0.00043521i,-0.00012703+0.00097111i,0.00028975+0.0015201i,-0.00026813+0.0011393i,-0.00044507+0.00022841i,-0.00043633-0.00056898i,-0.00061139-0.00046538i,-6.277e-05-0.00017986i,0.00034389-0.0005125i,-0.00033493-0.0002846i,-0.00076682+0.00026328i,-2.0746e-05+0.00010364i,0.00055061-0.00014686i,0.00049896-0.00014109i,0.00060142-9.7033e-05i,-9.4688e-05+0.00031917i
0.0013145+3.4347e-05i,0.00051485-0.0004028i,-0.00017603-0.0012107i,-7.3176e-05-0.00035377i,0.00068981+0.00044432i,0.0011847-9.4623e-05i,0.00030973-0.00026308i,-0.0014015-0.00054085i,-0.0012636+0.00011053i,3.8343e-05+0.00090531i,0.00034252+0.00061936i,0.00070786+0.00042056i,0.00078632+0.00029021i,0.00028876-0.00019196i,-0.00051717-0.00029849i,-0.00069656+6.4158e-05i,-9.758e-05-6.4148e-05i,0.00028815-0.00024033i,-0.00019025-9.3064e-05i,-0.001512+9.2946e-05i,-0.0023171-3.6161e-05i,-0.00099835+0.00026365i,0.00014777-0.0001583i
