-0.0013121+0.0010764i,-0.00057795+1.5218e-05i,-0.001702+0.00081689i,-0.00178+0.0010984i,-0.00055038+0.00025092i,-0.0011792-0.00011115i,-0.0023801+0.00039575i,-0.0014551+0.0012688i,-2.1822e-05+0.0012209i,0.00068281+0.00053771i,0.0004256-1.8895e-05i,8.8907e-05-0.00019308i,0.00026826-0.00066641i,-0.00054698-0.00041644i,-0.0013277-0.00031692i,-0.0005299-0.0011266i,0.00010165-0.0011508i,0.00010387-0.0011191i,0.00036948-0.00091824i,0.0003339-0.0004191i,3.989e-06-0.00068508i,-0.00025284-0.00095511i,3.819e-05-0.00030054i
0.00018384+0.00093503i,-0.00069959+0.00056258i,-0.00056902+7.0647e-05i,-0.00020662-0.00090828i,0.00097201-0.0022605i,0.00093224-0.0023662i,-0.00074784-0.00038013i,-0.0022547+0.0015019i,-0.0017123+0.0014177i,-0.0004935+0.0003405i,0.0002731+7.356e-05i,0.00096617+0.001031i,0.00038169+0.0017646i,-0.0003398+0.00099525i,6.5316e-07+0.00015087i,0.00086461-0.0001124i,0.00086583-0.00079009i,0.00016416-0.0010062i,-0.00043818-0.00029243i,-0.00086415-3.4394e-05i,-0.00043794+0.00017353i,0.00023689+0.00064765i,0.00041037+0.00022888i
0.00022728-0.002082i,0.0011517-0.00071198i,0.0016569+0.00069646i,0.0011702+0.0013984i,0.00023723+0.00092583i,-0.00026268-0.00059109i,-0.00053803-0.00079241i,-0.0013996+0.00018071i,-0.0016131+0.0006088i,-0.00054978+0.0010432i,0.00044202+0.0011351i,0.00097027+0.0012524i,0.00034517+9.167e-05i,7.6477e-05-0.00098964i,0.00036252-0.00019628i,0.00012005-8.1461e-05i,8.1844e-05-0.00098528i,3.1063e-05-0.00078329i,-0.00064009-0.0006285i,-0.00091211-0.00076135i,-3.9833e-05-0.00067702i,0.00034569-0.00044981i,0.00037119-0.00010824i
-0.00016923-0.00088997i,-0.0018365-5.3994e-06i,-0.0019511+0.00082296i,-0.00065807+0.000824i,0.00056229-7.0516e-05i,0.00045701-0.00024943i,-0.00092096+0.00098534i,-0.0014629+0.0022215i,-0.00067186+0.0026517i,-0.00013306+0.0019012i,-0.00079183+0.0010866i,-0.0011432+0.0009196i,-0.00076914+0.0012131i,-0.00029633+0.00072391i,0.00021602-0.00086111i,0.00030821-0.0010332i,0.00088068-0.00045474i,0.0011521-5.1802e-05i,0.00095061+0.00013761i,0.00077477+0.00017729i,0.0004636+0.00011801i,0.00035057-0.00035344i,0.00012396-8.4615e-05i
0.00028913+0.00098995i,0.00087022+0.0009064i,0.00040114+0.0010195i,-0.00041771+0.00088866i,0.0004894-0.00046361i,0.0011548-0.00099034i,-2.6251e-05-0.00067192i,-0.0011585-9.5242e-05i,-0.00090142+0.00095325i,-0.00062866+0.0014055i,-0.00038927+0.00096434i,0.00013836+0.00047646i,0.00066406+2.6502e-05i,0.00067927+0.0003255i,-0.00030909+0.00063935i,-0.00080369+0.00031825i,-0.0002251-0.00036205i,-3.7023e-05-0.0011375i,-0.00021563-0.0006428i,-0.00011123+9.5383e-05i,-0.00016045-0.00013763i,0.00020132-0.00087313i,0.00041376-0.00088384i
0.00039966-0.0010241i,0.00053279-0.0010094i,0.001157-0.00092572i,0.001132-0.00097355i,-0.00051584-0.0012153i,-0.0019184-0.00084936i,-0.0030503+0.00048029i,-0.0026894+0.00071539i,-0.00087212+0.00035018i,-0.00015233+0.00059713i,-0.00041215+0.00042548i,-0.00066221+0.00014291i,-0.00028282+0.00021634i,0.0010079-0.00030198i,0.00096992-0.00050185i,3.9123e-05-0.00037063i,-0.00046599-0.00024805i,-0.001014-0.00021867i,-0.0013482-4.4023e-05i,-0.00080029+0.00071607i,-0.00077495+0.00054706i,-0.00098199-0.00031515i,-0.00039394-0.00038549i
-0.00024721+0.00022433i,-9.6017e-05+0.0011957i,-0.00015914+0.0010189i,0.00070869+0.0007122i,0.0010723+8.2038e-05i,0.00017367-0.00049227i,-0.00064777-0.00093034i,-0.00054666-0.00085206i,0.00025797-0.00013105i,0.00024219+0.00052286i,1.7751e-05+0.00053674i,0.00028992+0.00015848i,0.00079442+0.00040391i,0.00025179+0.00021822i,-0.00033561-0.00064786i,2.9104e-05-0.00034642i,9.9519e-05+0.00050719i,0.00012577+0.00076146i,0.0003454+0.00043383i,0.00016884-0.00050975i,0.00010885-0.001093i,6.7068e-05-0.0010293i,0.00044341-0.00084064i
-0.00088915-0.0021775i,-0.00095091-0.0010202i,-0.0012452-0.00068304i,-0.0012282-0.00046001i,-0.00073698-2.8221e-07i,-0.00023882-0.00019023i,-0.00049302+0.00031566i,-0.00075891+0.00049251i,-0.00050654+0.00085842i,-0.00014506+0.0010617i,-0.00047517+1.0317e-05i,-0.00074831-0.0010566i,-0.00042275-0.001106i,0.00010664-0.00065213i,0.00071066-0.00080285i,0.00063327-0.0007321i,0.00084378-0.00074019i,0.00067192-0.0007462i,0.00027353-0.0012293i,-6.4738e-05-0.0014372i,-0.00035277-0.0010797i,-0.00020879-0.00054169i,7.6834e-05-4.0153e-05i
-0.00043663+0.001116i,-0.00061679+0.0019616i,-0.00087328+0.002803i,0.00043544+0.0019881i,0.0013133-0.00062836i,0.00030962-0.0028018i,-0.00066576-0.0017066i,-0.0011387+0.0006054i,-0.00091858+0.001281i,-0.00046807+0.0011211i,-0.00046081+0.00055899i,-0.00012225+0.00069525i,4.603e-05+0.00026897i,-0.00059071-0.0008656i,-0.00054723-0.0012462i,-0.00048494-0.0010058i,-0.00092269+0.00017573i,-0.0011169+0.0010576i,-0.0005535+0.00058185i,0.00025331+0.00045786i,0.00082317+0.00032698i,0.0010539+2.6499e-05i,0.00098636+8.0669e-05i
-0.00056677-0.00018417i,-0.00044726-0.0001098i,0.00023156-0.0010063i,-1.2342e-05-0.0023424i,0.00013948-0.002576i,4.8434e-05-0.0029781i,-0.0013857-0.0020261i,-0.0023717-0.00090027i,-0.0014935-0.00086547i,-0.00012572-0.00067352i,0.00054566-0.00026846i,0.00018525+0.00032438i,0.00018904+0.00014159i,0.0004851-8.0714e-05i,5.9322e-05-0.00058591i,-0.00028464-0.0011054i,-5.2379e-05-0.0010613i,0.00013644-0.00038612i,0.00043528-0.0006641i,0.00061478-0.00046761i,-0.0001434+1.9349e-05i,-0.00032844+4.2427e-05i,0.00041454+0.00036023i
0.0004037+0.00077071i,0.00019169+0.0019631i,0.00025223+0.0032781i,0.0009026+0.0025515i,0.0008822+0.00035645i,-6.6725e-05-0.0010089i,-0.0012807-0.0003589i,-0.0014111+0.00068563i,-0.00036802+0.0011349i,0.00044431+0.00078735i,0.00038292+0.00020822i,0.00041959+9.7265e-05i,0.00062363+0.00051311i,0.00020827+0.00010066i,0.0003458-0.00046345i,0.00049136-0.00071459i,0.00012017-0.0016737i,-0.0002299-0.001061i,-0.00039151+0.0001264i,-0.00061204+0.00013769i,-0.00038286+0.00035019i,0.00015879+0.00023828i,5.1941e-05+0.00012645i
-0.0011348-0.00090679i,-0.0011799-0.0012845i,-0.00074268-0.0015951i,-0.00022699-0.0017588i,0.00033271-0.0019301i,0.00053535-0.001008i,-0.00011815-0.00034879i,-0.00097068-0.00031465i,-0.0011277+0.00058663i,-0.00032977+0.0012005i,0.00067044+0.0008555i,0.00016314+0.00070553i,1.5249e-05-0.00027217i,0.0003786-0.00060919i,0.00012166+0.00026357i,-0.00058761-0.00010791i,-0.0012442-0.00050727i,-0.0012149+7.9755e-05i,-0.0010436-0.00043429i,-0.00089388-0.00093602i,-4.0438e-05-0.00011868i,0.00057207+8.1369e-05i,-0.00013879-7.4147e-05i
-0.00043151-0.0006196i,-0.00021947+0.00047707i,-9.8793e-05+0.0015236i,0.0011481+0.0014769i,0.0018868+0.00013862i,0.00082191-0.00095162i,-0.00037937-0.001232i,-0.0010116-0.0001165i,-0.00066738+0.00022586i,1.6197e-05-0.00063154i,0.00047212-0.00075325i,0.00046091+9.0352e-05i,0.00015529+0.00018599i,-0.00064936-0.00043105i,-0.00044135-0.00057303i,0.000468-0.00044372i,0.00046434-0.00043349i,0.00044619-0.00078053i,0.00056263-0.00027939i,0.00061683+0.00027797i,0.00025411+0.00010817i,-0.00032721+0.00031387i,-0.00027911-2.4576e-05i
1.0084e-05-0.00088111i,-0.0009553-0.0012408i,-0.0012753-0.00041949i,-0.00020363-4.7488e-05i,0.00070359-0.00073i,0.00089524-0.0021646i,-0.0003235-0.0018511i,-0.0011589+0.00066189i,-0.0012182+0.0019057i,-0.00069098+0.00085711i,-0.00015845+1.3938e-05i,0.00037334-0.00015141i,1.839e-05-0.00014545i,-0.0011427-0.00041632i,-0.00080874-0.00092047i,0.0003501-0.0010114i,0.0010349-0.00022304i,0.0011395-0.00042103i,0.0010026-0.00065403i,0.00083512+4.6346e-05i,0.00028577-4.3281e-05i,-5.9808e-05-0.00039542i,-0.00029453-0.00056597i
-0.00090172+0.00034687i,-0.00036883+0.0011265i,5.3162e-05+0.0011702i,3.0898e-05+0.00092568i,-0.00042669+0.00017122i,-0.00092046-0.001512i,-0.0011729-0.0005957i,-0.002163+0.0014456i,-0.0015439+0.0012685i,-0.0002445+0.00054483i,-0.00077454+0.00089039i,-0.00060458+0.00087921i,0.00026944+0.00090223i,0.00050099+0.00082527i,0.00015+0.00011587i,-0.00070413-0.00063818i,-0.00073971-0.00091851i,-0.00014703-0.00048278i,-0.00075793-0.00025785i,-0.0013168-3.9787e-05i,-0.00057243+0.00044931i,0.00031674+0.00035581i,0.00085709+0.00012171i
0.0018492-0.00014148i,0.00154-0.00023021i,0.00031829-0.00065182i,-0.0013866-0.0010725i,-0.0024409-0.0017246i,-0.0019203-0.0022121i,-0.0015338-0.0017029i,-0.0017053-0.00054504i,-0.0011422-3.2852e-05i,-0.00091713-0.00035462i,-0.00077734-0.000517i,-3.265e-05+0.00073047i,0.0010753+0.0016089i,0.00074764+0.00053226i,-5.4555e-05-0.00019588i,0.00027521-6.5135e-05i,0.00045254-0.00023253i,-0.00013253-0.00079009i,-0.001075-0.00019086i,-0.00077427+0.00052817i,0.00026614+0.00061039i,0.00050115+0.00049435i,0.00014639+6.3803e-06i
0.00040598+0.00055122i,-0.00088131+0.0015049i,-0.00076633+0.0018024i,0.0003063+0.00026413i,0.0010774-0.0011129i,-0.00058711-0.0016671i,-0.0021405-0.00042949i,-0.0019416+0.001603i,-0.0012765+0.001876i,-0.00020358+0.0011204i,-0.00039626+0.0008579i,-0.00056162-0.00047214i,-1.7757e-05-0.0010107i,-0.00032533-0.0004105i,-0.0002141-0.00043096i,0.00079977-0.00046621i,0.00090413-0.00074844i,0.00017971-0.00056895i,-0.00079118+0.00028611i,-0.00053921+0.00011327i,-0.00021156-0.00028307i,-0.00066393-0.00016482i,-0.00027195+8.7409e-05i
0.00041435-0.00030104i,0.00059531-0.00082654i,1.016e-05-1.159e-05i,8.4459e-05+0.00073888i,0.00096695+0.00013517i,0.00074818-0.0010683i,-0.00071858-0.00066031i,-0.0018614+0.00089549i,-0.0016321+0.0011117i,9.3104e-05+0.00075976i,0.00071296+0.00018519i,-0.00017429-0.00044607i,-0.00036839-0.00034104i,-6.2345e-05-3.2885e-05i,0.00012801-0.00028731i,0.00057637+0.00014082i,0.0011524+0.00010495i,0.0013627-0.00060506i,0.00068121-0.00056954i,0.00012227+7.7472e-05i,0.00049857+0.000511i,0.0002646-0.00061559i,-0.00018019-0.0010968i
-0.00014831+0.001273i,-9.0722e-05+0.0020451i,0.0011301+0.0024221i,0.0022075+0.0011339i,0.0021055-0.0014796i,0.0009704-0.0034735i,-0.00085691-0.0026301i,-0.0017724-0.00051324i,-0.0011427+0.00067991i,-0.00029869+0.00065542i,0.00024647+0.00012056i,-0.00038995+7.7718e-05i,-0.0010722+0.00022391i,-0.00052466+0.00025411i,2.247e-06+0.00014035i,0.00017122-0.00036821i,-3.6681e-05-0.0010702i,0.00010689-0.00099991i,0.00027828-0.00055148i,0.00047325-0.00065539i,0.00035074-0.00078699i,-0.00020813-0.00019868i,-0.00030703+4.9183e-05i
0.00014326-0.00032019i,1.9798e-05-0.00039215i,0.00042943+8.878e-05i,0.00066859-0.00033378i,0.000331-0.0014651i,-0.00040091-0.0019865i,-0.0016595-0.0014041i,-0.002452-0.0002796i,-0.0019685+0.00083463i,-0.001058+0.0013079i,-0.00057393+0.0010448i,-9.3773e-05+0.00086597i,0.0003923+0.00041643i,0.00016659+5.2516e-05i,-0.00075417-0.00014123i,-0.00024019-0.0008981i,0.00093697-0.0012889i,0.0011273-0.00080457i,0.00016792-0.0005701i,-7.9096e-05-0.00042927i,-3.415e-05-3.3528e-05i,0.00029378+6.8177e-06i,0.0010114+4.8422e-05i
0.0011438-0.00033272i,0.00090947+0.00089159i,0.001512+0.0017228i,0.0015913+0.00084674i,0.00015671-0.0003377i,-0.00124-0.00092152i,-0.002288-0.0010246i,-0.0026073-0.00031012i,-0.0017359+0.0010294i,-0.00028567+0.0014504i,0.00017293+0.00048272i,0.00046144-0.0001036i,0.00028201-0.00023862i,7.6128e-05-0.00041236i,-1.4463e-05+0.00013102i,0.00030152-6.3771e-05i,0.00057587+0.00019191i,-0.0002642+0.0003052i,-0.00038516+0.0005063i,5.9684e-05+0.00061303i,5.3966e-05+0.00019881i,-0.00037637+0.00043692i,-1.4508e-05+0.00031196i
0.00051661+0.00048591i,-9.2665e-05-0.00052029i,-0.00020081-0.00095259i,0.00013541-0.00070939i,0.0009371-0.0010878i,0.0010063-0.0013767i,-0.00050296-0.00062001i,-0.0013858+0.00022047i,-0.00090409+0.00049451i,-0.00043162+0.00052316i,-0.00029951+0.00073109i,7.4481e-05+0.00045547i,0.00027399+0.00044468i,0.00024997+0.00058895i,0.00046321-5.0935e-05i,0.0003831+2.5537e-05i,-0.00013624+0.00023485i,-0.00072671-5.0494e-05i,-0.00060275-0.00011325i,-0.00035172+0.00017012i,7.5601e-05-0.00022623i,-4.9284e-05-0.00090376i,-0.00020269-0.00099343i
-0.0015307+0.00073794i,-0.00052107+0.00031121i,-0.00020489+0.001292i,0.00021376+0.00050968i,0.00075361-0.00090134i,0.0003344-0.0012448i,-0.00033805-0.001004i,-0.00050176-0.0005475i,-6.0688e-05+0.00012201i,0.0010712+0.00076413i,0.0012265+0.00034961i,0.00045106+0.00037979i,-0.00051725+0.00088548i,-0.0012326+0.00069047i,-0.00039137+0.00037961i,0.00031909+4.1403e-05i,-1.0539e-05-0.00049386i,0.0002723-0.00054679i,0.00046575-0.00051219i,1.815e-05-0.0001668i,0.00032904+0.00032783i,0.00045135+0.00052441i,-0.00043188+0.00079798i
0.00075429-0.00076397i,0.00017928-0.00044779i,-0.00017029-0.00054203i,-0.00059753-0.00024552i,-0.0005862-0.00027581i,-0.00051153-0.00039955i,-0.00093363-0.00010893i,-0.0011837+0.00013561i,-0.00053934+0.00057052i,-3.805e-05+0.00097227i,-5.2787e-05+0.00026917i,-0.00016793-0.00032758i,-0.00034086-0.00019798i,6.5989e-06+0.0001204i,0.00084834-0.00044045i,0.00028294-0.00029269i,-0.0006779+0.00076185i,-0.00045136+0.00051671i,-0.0003285-0.00054357i,-0.00084045-0.00068648i,-0.00028341-0.00010537i,0.00049358-0.00023084i,0.00072513-0.00050563i
9.1556e-05+4.9205e-06i,-0.00069545+0.00040253i,-0.0002928+0.001162i,0.00058566+0.00040824i,0.00038029-0.00081517i,-7.2285e-06-0.0013209i,-0.00044436-0.001052i,-0.0011585-0.00014382i,-0.00085976+0.00037669i,0.00030307+7.0478e-05i,0.0011976-0.00045121i,0.00066402-5.7515e-05i,-0.00010675-8.651e-05i,3.4429e-05-0.00022837i,0.00033995+4.8017e-05i,0.00041956+0.00033844i,-2.3777e-05+0.00021963i,-0.00030071-0.0008217i,-0.00050603-0.0012314i,-0.00044615+0.00032448i,-0.00011898+0.00084752i,-0.00026656+0.00019285i,7.8561e-05+0.00012337i
-0.0017486-0.00017508i,-0.0014982+0.00035355i,-0.00071059+0.0017015i,0.00043286+0.0018792i,0.0012535+0.00014353i,0.0003868-0.0017352i,-0.00076277-0.0010522i,-0.0013236+0.00089224i,-0.00095063+0.001253i,-5.6834e-05+0.0013943i,-2.6254e-05+0.0011738i,-1.8568e-05+0.00078425i,0.00031576+0.00045594i,0.00050157+0.00037935i,0.00056954+0.00075298i,0.0002522+0.00030573i,0.00063023-0.00053861i,0.00037893-0.00094193i,-0.00062135-0.0007856i,-0.0010888-0.00056055i,-0.00067766-0.00013194i,-0.00029702+0.00013027i,-0.00048493-0.0006553i
-0.00099129+0.0016467i,-0.00021149+0.00057575i,0.00082088+0.00052171i,0.0011075-0.00029974i,0.00073083-0.0010685i,0.00023723-0.0010572i,-0.00029553-0.00029224i,-0.00087579+0.00064757i,-0.0010026+0.00069948i,-0.00065552+0.00034915i,-0.0008694+0.00044488i,-0.00082257+0.00068317i,-0.00039778+0.00039221i,8.0503e-05-0.00010407i,-0.00016041-0.0003837i,-0.00043365-0.00079507i,0.00052448-0.00086649i,0.00097541-0.00053937i,0.00072543-0.00016285i,0.00055405-3.1175e-06i,-0.00020246+0.00035832i,-0.00052196+0.00067504i,3.8715e-05+0.00069447i
0.00043713+0.0013477i,-0.00019229+0.0018057i,-1.0309e-07+0.0020499i,0.0011483+7.8362e-05i,0.0023502-0.0025491i,0.0014966-0.0029168i,-0.0010185-0.00127i,-0.0022317+0.00030126i,-0.0012339+0.00069665i,-0.00023459+0.00086777i,3.1217e-05+0.0011367i,6.1941e-05+0.00045026i,-0.00072746-0.00056972i,-0.0010907-0.00077407i,-0.00054262-0.00024644i,4.6303e-05+7.0836e-05i,0.00028563-0.0010821i,6.082e-05-0.0011102i,-0.00010051+5.5983e-05i,-4.9207e-05-0.00059684i,-0.00037156-0.00070886i,-0.00060796+3.1678e-05i,-0.00027226+0.00059313i
