0.001303-0.0010329i,0.0011511-0.0026245i,-3.2685e-05-0.0042084i,-0.0015113-0.0031205i,-0.0018958+0.00025361i,-0.0017638+0.0028722i,-0.0010908+0.0031028i,-0.0001803+0.0015681i,0.00059404+8.0369e-05i,0.0012215-0.00079836i,0.00060846-0.0011339i,-0.00073446-0.00078581i,-0.00042331-0.00018265i,0.00015715+6.4586e-05i,0.00038569+0.00014001i,0.00045923+0.00056861i,3.3881e-05+0.0007422i,4.9602e-06+0.000697i,0.00049578+0.0004713i,0.00074216+0.00032732i,0.00062538+4.3948e-05i,0.00028786-0.00031709i,-0.00049605-9.1141e-05i
0.00013876+0.00087215i,-0.00030512-0.00040335i,-0.0011314-0.0010135i,-0.0006732-0.00075708i,-0.00014498-0.00065873i,0.00069313-0.00086633i,0.0011626-0.0011006i,0.00073031-0.0012537i,0.00066491-0.00078584i,0.00073515-0.00029513i,-0.0003241-0.00052276i,-0.00023008-0.0006119i,0.000969-0.0002472i,0.00078528-4.5472e-05i,-0.0004525+0.00012253i,-0.00015482-0.00014322i,0.00074852-0.00058858i,0.00051636-0.0006374i,0.00053483-0.00036618i,0.00038091-0.00015284i,-0.00064986-0.00027002i,-0.0008554-0.00067228i,-8.189e-05-0.00065714i
0.00046994-0.00088781i,-0.0010565+0.00038366i,-0.0011838+0.00029914i,-0.00084867-3.8926e-06i,-0.00029814+0.00027164i,-0.00051802+0.00053127i,0.00029569+3.5465e-05i,0.00032938+8.7243e-05i,-0.00021383+0.00010386i,-4.1074e-05-0.00071017i,-0.00023732-0.00075868i,-3.8919e-05-0.0005944i,0.00020944-0.00030861i,0.00017211+0.00015764i,0.00051109+0.00010108i,0.00055322-0.00013242i,0.00074496-1.0684e-05i,-0.00030546-0.00023312i,-0.0010967-3.9835e-05i,-0.0011206+0.00048964i,-0.00099543+0.0001851i,-0.0006189+9.4593e-05i,0.0002308-0.00045318i
-0.0017799-4.38e-05i,-0.0017447+0.00026943i,-0.0015915+0.00096562i,-0.00067105+0.00095327i,0.0004313+0.0010817i,0.001297+0.0012224i,0.0012236+0.001048i,0.00019104+0.00046852i,0.00023617-0.0001941i,0.0011156-9.4742e-05i,0.0013088+0.00018267i,9.3676e-05-0.00019091i,-0.0012768-0.0011802i,-0.00072213-0.0013049i,0.00065011+1.7058e-06i,0.00077926+0.00082794i,0.00074725+0.00083329i,0.00077822+0.00098201i,0.00069599+0.00051359i,0.00071684-0.00023415i,0.00030291+0.00013863i,0.00044269+0.00029963i,0.00027492+0.00033802i
-0.0005731-0.00095631i,-0.001885-0.00072515i,-0.0027219-0.000587i,-0.0023145-4.9211e-05i,-0.00079798+0.0001828i,0.00086116+0.00036458i,0.00090936+0.00049644i,-0.00041009+0.00033783i,-0.00018995-0.00033502i,0.00059708-0.00060767i,-0.00058729-6.4104e-05i,-0.0009682-0.00018137i,0.0003693-0.0016095i,0.00078797-0.0014779i,0.00058644+7.8304e-06i,0.00029686+0.00026201i,0.00016282-0.00041982i,-2.2361e-05-0.00078938i,-7.6103e-05-0.00095645i,0.00017742-0.00036023i,-0.00030609-0.00031043i,-0.00052327-0.00078267i,0.00047226-0.00068218i
-0.0016159-0.00071852i,-0.0017736-0.0010733i,-0.0015338-0.00036667i,-0.00044941+0.00020236i,-0.00020631+0.00052186i,0.00029151+0.000101i,0.00074739-0.00042594i,0.00014679-0.00038889i,-0.00059849-0.00089612i,-0.00021549-0.0008001i,0.00047283-4.7177e-05i,0.00024188+0.00052563i,-0.00039788+7.0762e-06i,-0.00082854-0.00094874i,-0.00012291-0.0012017i,0.0011102-0.00068217i,0.0012926+0.00022195i,0.00096874-0.00021408i,0.00012213-0.00043293i,-0.00044428+0.00013545i,-0.00013452+9.2722e-05i,5.3126e-05-0.00011419i,0.0002286-0.00041269i
-0.00038292-0.0015741i,-0.00034738-0.0014727i,-0.0012351-0.00075793i,-0.0018343+0.00076038i,-0.0011872+0.0016428i,4.2326e-05+0.0017356i,0.00063998+0.0013183i,0.00065588+0.00013911i,0.00030376-0.00056669i,-0.00026832-2.199e-05i,8.3086e-05+0.00015875i,-4.7e-05+0.00018861i,-0.00059351-0.00018094i,-0.00026302-0.00071777i,0.00018809-0.00046724i,0.00083175+0.00033192i,0.0010578+0.00092308i,0.0011534+0.0015081i,0.0013156+0.00098978i,0.0011738+0.00050841i,0.0010773+7.2026e-05i,0.00047613-2.4021e-05i,-8.18e-05-0.00016859i
5.9628e-05+2.5545e-05i,-0.00084982+0.00042721i,-0.00059981-9.4194e-06i,0.00026284-0.00053056i,0.00016477-0.00010194i,-0.00012489+0.00063474i,0.00026638+0.00037004i,0.0006361-0.0001133i,0.0006946-0.00038484i,0.00049897-0.00026543i,9.3834e-06+0.00036097i,-0.00012958+0.00061019i,0.00096776+0.0006858i,0.0012725+0.00025971i,0.00066831-0.00023142i,-2.1534e-05+0.00016327i,-1.9146e-05+0.00067957i,7.3145e-05+0.00019318i,-0.00053372-0.00020854i,-0.00062238-3.5614e-05i,-5.5506e-05-0.00018066i,0.00046004-0.000992i,0.00015945-0.00073881i
-0.000243-0.002171i,-0.00067381-0.0016211i,-0.0017089-0.00068791i,-0.0019941+0.00075094i,-0.00088763+0.002143i,0.00073404+0.001322i,0.001272-0.00046178i,0.00070841-0.0015119i,0.00020233-0.0013375i,0.00013877-0.00041888i,0.00028321-0.00015755i,0.00017228+0.00010146i,-0.00020602+0.00083485i,-0.00037527+0.000928i,-7.6528e-05+0.00062434i,0.0003332+0.00089982i,6.7178e-05+0.00068901i,-0.00086251-9.9122e-05i,-0.0006993+0.00024801i,-7.3595e-05+0.00019251i,2.1585e-05-0.00033816i,0.00038719-0.00038803i,0.00020401-0.00069862i
-0.0014044-0.00014707i,-0.0020292+0.00021597i,-0.001887+0.00091894i,-0.00076498+0.0017516i,0.0005129+0.0012497i,0.0016689+0.00049787i,0.00088075+0.00024351i,0.00013394-0.00024094i,0.00042927-0.00010241i,-0.00014447+4.8222e-05i,-0.00039765-0.00042914i,4.5065e-06-0.00045256i,-0.00023205-0.00039809i,-0.00025142-0.00027527i,-0.00029074+0.00039452i,-0.00019297+0.00080212i,-0.00021315+0.00044717i,-0.00062065-0.00057274i,-0.00042977-0.00044768i,-0.00017173+0.00042669i,-0.00038822-0.00031104i,-0.00068848-0.00094913i,-0.00057807-1.5723e-05i
-0.0017518-0.0020505i,-0.0023991-0.00022714i,-0.0020917+0.00067174i,-0.0011272+0.0004487i,6.8039e-05+0.00053563i,0.0011795+0.00034227i,0.00093447-0.0001637i,-0.00011102-0.00055688i,-0.001169-0.00072917i,-0.001167-0.0010373i,-0.00089282-0.00075166i,-0.00077016-0.00070473i,-0.00040693-0.00075657i,-0.00013693-0.00047205i,-7.686e-05-5.3396e-05i,0.0003776-0.00036031i,0.00050716-0.00098156i,-4.9092e-05-0.00020763i,0.0002067+0.00041285i,0.00071509+4.997e-05i,0.00054266-0.00031266i,-0.00018611-0.00076553i,-0.00085087-0.001236i
0.0013366+0.0011626i,0.0008327+0.00011744i,0.0016218-0.00048352i,0.0018348-0.00016838i,0.0011371+0.00025489i,0.00084518-4.1824e-05i,0.0005831-0.00071591i,0.00026173-0.0011605i,-0.00019633-0.0013028i,-8.916e-05-0.00094831i,0.0001888-0.00062735i,0.00023121-0.00062593i,0.00060583-0.00042917i,0.0006781-0.00040322i,0.00061614+0.00027961i,0.00023939+0.00045646i,-0.00034381-0.000221i,-0.0005203-0.00044141i,-0.00021871-0.00018911i,-0.00056455-0.00046512i,-0.00060439-0.00043414i,-0.00010445+0.00039891i,-0.000379+0.00039371i
-0.00078882+0.00038654i,-0.0014412-0.00055158i,-0.0016888-0.0013789i,-0.0015285-0.00070939i,-0.00042435-0.00021588i,0.00020804-0.00040378i,7.5943e-05-0.00081058i,0.00010101-0.00080586i,0.00018584-0.00063292i,-0.00021227-0.0011738i,-0.00021874-0.0015752i,0.00014554-0.00088464i,0.00055551+0.00034008i,0.0010113+0.00043598i,0.0013111-0.00011033i,0.001405+0.00015154i,0.0011353+0.00042436i,0.00072495-4.4038e-05i,-9.3496e-05-0.0001524i,-0.0010089+0.00059785i,-0.00045627+0.00067822i,0.00062699+0.00068731i,0.00081296+0.00086552i
-0.00082231-0.00077175i,-0.00085746-0.0008875i,-0.00055823-0.0013836i,-0.00051736-0.00050781i,-0.00012602-0.00016498i,-9.9364e-05+0.00053371i,-0.00066247+0.00086544i,-0.001171+0.0002076i,-0.0011708-0.00099847i,-0.00043721-0.0011275i,-0.00034333-0.00066917i,-0.00071805-0.00078054i,-0.00087826-0.00094059i,-0.00035941-0.00057156i,0.00025355+0.00020726i,0.00051535+0.00028407i,0.00086687-8.4223e-05i,0.0008329+4.7487e-05i,6.3697e-05-3.9569e-05i,-0.00017148-0.00019459i,0.00044842-0.00029329i,0.00079698-0.00054376i,0.00046785-0.00026436i
-0.0011342+0.00059987i,-0.0019727-0.00076153i,-0.0019722-0.0006604i,-0.00089834+2.7174e-06i,-0.00030791+0.00075255i,0.00041222+0.0015227i,0.0011654+0.0011373i,0.00082886+0.00053526i,0.00023037+0.00058564i,0.00026793+0.00050388i,-2.6217e-05+0.00094668i,-0.00035715+0.0010129i,-0.00024986-0.0002024i,-0.00021553-0.0010017i,-0.0001359-0.00078706i,0.00018724+0.00011371i,-0.0001947+0.00059571i,-0.00050079+0.00017569i,-0.00053253-0.00048272i,-0.00036533-0.00035462i,0.0001345-0.00023637i,0.00048436-0.00017652i,0.00016779+6.1374e-05i
-0.00085725+3.2485e-05i,-0.00052806+0.00044465i,-0.00099754+4.807e-05i,-0.0011438-0.00010408i,-0.00060085+0.00029568i,-0.00075799-0.00035139i,-0.00059534-0.00049496i,5.17e-05-0.0003601i,0.00048781-0.00040822i,0.00080342+3.6495e-05i,0.00062562+0.00036715i,-0.00034289+0.00011051i,-0.0004118+0.00013056i,8.2412e-05+0.0002613i,-0.00019886+0.00061137i,-0.00013503+0.00040958i,0.00022092-0.00022743i,0.00038245-9.0608e-05i,2.6329e-05-3.0585e-05i,-0.00011522-0.00042202i,0.0003895-0.0003898i,0.00051537+0.00052701i,0.000326+0.00057233i
-0.0026032-9.4731e-05i,-0.003044+0.00034216i,-0.0016093+0.00091818i,0.00048044+0.0014119i,0.00072317+0.0011326i,0.00034278+0.00045128i,0.00042883+0.00024921i,0.0004395-0.00021634i,0.00039467-0.00059916i,-0.00030686-0.00079499i,-4.7042e-05-0.0011774i,7.6068e-05-0.00079027i,-0.00035036-0.0007296i,0.00055443-0.0007097i,0.0008345-0.00067023i,5.9179e-05-0.00088474i,-0.00017899-0.00089773i,0.00025085-0.000755i,0.00061481-0.00070964i,0.00031974-0.00091227i,-0.00021568-0.00057176i,-0.00020247+0.00023339i,0.00012679+0.0009635i
-0.0021168+0.00022445i,-0.0027468-0.00031069i,-0.0022572-0.00039244i,-0.00098547-7.431e-05i,-9.6478e-05+0.00047219i,0.00044818+0.00077947i,0.00092056+0.00050893i,0.00049465+1.5327e-06i,-0.00027975+0.00021914i,-0.00088555-0.00041427i,-8.4654e-05-0.00060065i,0.00068763+4.4406e-05i,0.00022043+0.00071897i,-0.00042283+0.00035526i,0.00012088+0.00010956i,0.00031125+0.00034588i,-1.7279e-05+0.00013759i,-0.00028104-0.00039088i,7.6401e-05-0.0008165i,0.00074208-0.00077304i,0.00060894-0.00037489i,-0.00012206-0.00076035i,-4.9413e-05-0.00089245i
-0.0017916-0.00044451i,-0.0023595-0.0010168i,-0.0016567-0.00061691i,-0.00047569+0.000173i,0.00018318+0.0008432i,0.00047318+0.0015552i,0.00070835+0.00062011i,0.0007041-0.00049928i,-0.00011033-0.00030068i,-0.00020872-0.00051068i,0.00016372-0.00064198i,-4.7812e-06-0.00010115i,0.00021094-5.5485e-05i,0.0007371-0.00027675i,0.00088198+0.00035376i,0.00043282+0.00014057i,9.6418e-05-0.00092659i,0.00029997-0.0008561i,0.00016817+0.00048496i,0.00016627+0.001182i,0.0006034+0.0008286i,0.00041112+0.00031542i,-0.00028335-0.00027048i
-0.00097143-0.001744i,-0.0019519-0.0016509i,-0.001996-0.0012282i,-0.0013577+7.7227e-05i,-2.8765e-05+0.0016791i,0.00084671+0.0022341i,0.0013066+0.0014323i,0.00069892+0.00022405i,-0.00040094-0.00041687i,-0.0010446-0.00037664i,-0.00080223-0.00055195i,4.4964e-05-0.00094073i,0.00049821-0.00063187i,-5.2516e-05-0.00022433i,-0.0002908+0.00017587i,-0.00032378+0.00039275i,-0.00030306+0.00023893i,-0.00022826-0.00013198i,-8.1731e-05-0.00036286i,0.00022807-0.00016976i,-0.00010235+0.00026463i,-0.00015624+0.00029499i,8.8444e-05+0.00030955i
-0.0019851+0.0019315i,-0.0016869+0.0012534i,-0.00059709+0.0011156i,0.0012007+0.00087727i,0.0030263+0.00018564i,0.0029416-0.00036266i,0.00085099-0.00020375i,-0.00079386-0.0003515i,-0.00089839-0.00027116i,9.4251e-05-0.00051869i,0.00097017-0.001346i,0.0007729-0.00093782i,-0.0002183-5.1787e-05i,-0.0014396+0.00012395i,-0.0013436+0.00020632i,-0.00083656-0.00013359i,-0.00040433-8.3201e-05i,-0.00023246+0.00020135i,-0.00070942+0.00040629i,-0.00081143+0.00082448i,-0.00038511+0.00022067i,-0.00044845-0.00022188i,-0.0001513+4.4148e-05i
0.00045525+6.3684e-06i,5.4429e-05+6.3924e-05i,-0.00046615-0.00080446i,-0.00088693-6.171e-05i,-0.00065639+0.0017114i,-0.0004822+0.0016015i,0.00010282+0.00082744i,0.00037636+9.3663e-05i,-4.9912e-05-0.00053769i,0.00021925-0.00058979i,0.00041734-0.00027021i,-8.3003e-05-0.00031357i,-8.0732e-05-0.00048728i,-0.00027202-3.5965e-05i,-1.2045e-05+0.00024264i,0.00042325+0.00031399i,0.00017702+0.00071807i,6.8482e-05+0.0007399i,0.0002386-7.301e-05i,0.00052235-0.00056832i,0.00081-0.00054493i,0.00064825-0.00016229i,-9.047e-05+5.693e-05i
-0.0022605-0.0011926i,-0.0022943-0.0011457i,-0.0022302-0.00048609i,-0.0015211+0.00036536i,-0.00026805+0.0013286i,0.0014292+0.0015332i,0.0014509+0.0013735i,0.00015926-9.8117e-06i,6.4442e-05-0.00029158i,0.00063797+0.00026917i,4.6845e-05+0.00012371i,-0.0005522+0.00012412i,-0.00031311+0.00075188i,-0.00010347+0.00035301i,-0.00054271-0.00098643i,1.5249e-05-0.0010753i,0.0010036-0.00049884i,0.00069136-3.9708e-05i,-0.00011345+0.00071256i,-0.00018378+0.00056027i,4.6043e-05-0.00023645i,0.00026295-0.00057298i,-0.0001537-0.00081288i
-0.00038996-0.0016969i,-0.00010176-0.0026614i,-0.0008052-0.0016579i,-0.0011603+0.00078774i,-0.0003345+0.0016813i,0.00043484+0.0012122i,0.00034531+3.5534e-05i,-6.726e-05-0.00036646i,0.0001324-0.00037004i,-4.1987e-05+0.00014055i,0.00015856+0.00056281i,0.00044298+0.00047969i,4.9308e-05+0.00049806i,-7.4193e-05+0.00024986i,-0.00039018-0.00036365i,-0.00013262-0.00071269i,-4.4278e-05-0.00073619i,-0.00039947-0.00057066i,0.0005124+0.0001596i,0.0014088+0.00075376i,0.0011417+0.00094237i,8.5216e-05+0.0012209i,-0.00092499+0.00045122i
-0.00044301+0.00091963i,-0.00032066+0.00079665i,-0.00017384+0.00071693i,0.00066172+0.00074638i,0.00093106+0.000431i,0.0011444+0.00033394i,0.0010897+0.00014497i,0.00010506-0.00052538i,-0.00061143-0.00042132i,-6.2447e-06-0.00035497i,0.00079458-0.00011353i,0.00061857-0.00074045i,0.0001431-0.00053802i,-7.4418e-06-7.5076e-06i,0.00026022-0.00048971i,0.00010105-0.00037873i,7.6439e-05+0.00037854i,0.00013361+0.00011712i,3.995e-05-0.00063039i,5.2043e-05-0.00073829i,-0.0001904-0.00080103i,-0.00021084-0.00051718i,-0.00031001-7.3703e-05i
0.00012344-0.00022036i,-0.00077021-0.00061324i,-0.0008109-0.0011215i,4.4995e-05-0.0010992i,0.00081609-0.00048182i,0.00042487+0.00065087i,9.588e-05+0.0004182i,0.00020577-0.00021717i,-0.00038197-0.00036714i,-0.00035969-0.00056705i,-0.00057266-0.00066629i,-0.00091421-0.00062276i,-0.00042536-0.00044781i,0.00029041+6.6644e-05i,0.00082738+0.00018839i,0.00079335+0.00014453i,0.00082694+0.00051519i,0.0013197+0.00020941i,0.0011798-0.00051838i,0.00067525-0.00070706i,0.00046696-0.00094623i,0.00031072-0.00051153i,-0.00020321+2.4721e-05i
0.0007329-0.00091664i,0.00055824-0.0018563i,-0.00084112-0.00060428i,-0.0015966+0.00015834i,-0.0014121+1.5959e-05i,-0.00067111-6.5497e-05i,0.00046492-0.00066869i,0.00080652-0.00080562i,4.7802e-05-0.00013393i,-0.00021833-0.00028337i,-0.00034288-0.00022493i,-0.00027818+0.00067539i,0.00038549+0.00067448i,0.00026395-0.00063096i,0.00033755-0.0010973i,0.00046475-5.7719e-05i,1.8311e-05+0.0006862i,3.8528e-05+0.00012866i,0.00045808-0.00017078i,-0.00034694+0.00070866i,-0.00072192+0.0010827i,-0.00047535+0.0007897i,-0.00037668+0.00085224i
0.0024274-0.0014196i,0.0014442-0.0013527i,-9.8978e-05-0.0016217i,-0.0010204-0.0015469i,-0.0010188-0.00092629i,-0.00033206+0.00031126i,0.00028507+0.00031025i,0.00059036+0.00022334i,-0.00018614+0.00032411i,-0.0002617-0.00036259i,4.4072e-05-0.00048654i,-0.00025734-0.00065855i,-0.000154-0.00070642i,0.00018607+9.9596e-05i,0.00077418+0.00047363i,0.00085565+0.00010328i,0.0007122-0.00029535i,0.00091228+0.00042332i,0.000232+0.00013932i,-0.00028084-0.00073309i,-0.00020551-0.00033386i,-3.4945e-05-0.00042026i,0.00085769-8.2012e-05i
-4.2107e-05+0.00091509i,0.00047277+0.00062688i,0.00072654+0.0010667i,0.00033478+0.00046102i,0.00029101-0.00028544i,0.00082024-0.00038529i,0.00014022-0.0010018i,-0.00020757-0.0011079i,0.00070222+0.0002441i,0.00069599+0.00017309i,0.00034249-0.00024901i,-7.7825e-05+0.00014342i,5.7178e-05+0.00031529i,0.00055562+0.00032842i,0.00055937+0.00021503i,0.00040162+0.00025843i,-0.00016439+0.00013881i,-0.0011961+0.00040339i,-0.0010196+0.000488i,-5.8742e-05+0.00040742i,-0.0005679+0.00087409i,-0.00073991+0.00085616i,0.0002574-2.7194e-05i
0.0017287-0.002289i,0.00074152-0.0018438i,-0.00064508-0.0021826i,-0.0008931-0.0017517i,-0.00012706-7.2278e-05i,0.00036855+0.0011078i,0.00057502+0.00075912i,0.0010091+7.2345e-05i,0.0012178-0.00092846i,0.00079545-0.0012552i,-0.00016787-0.00022025i,-0.00054343+0.00029433i,-0.0004445-0.00046446i,-0.00050903-0.0011882i,0.00035589-0.0012181i,0.0017173-0.0010936i,0.0018418-0.0007718i,0.00077759-6.4181e-05i,5.6291e-05+0.00017965i,-0.00023588-0.00063496i,-0.00038465-0.0015361i,-0.00051143-0.0016447i,-0.00055637-0.0014151i
-0.0012204+7.2672e-06i,-0.0023608+0.00045827i,-0.0029098+0.0010107i,-0.0020408+0.00069557i,-0.00030451-0.00016581i,0.00079354+0.00026642i,0.00074557+0.00059788i,0.00055511-9.3793e-05i,0.00041393-0.00024595i,0.00045787+0.00034843i,-0.00029876+0.00026318i,-0.00086912-0.00045065i,-0.00088277-0.00021248i,-0.0013583+0.00019247i,-0.0010519+0.00020721i,0.00040213-0.00025633i,0.00088709-0.00047537i,0.00035221-0.00038683i,0.00037064-0.00020856i,-0.00013897-0.00028513i,-0.00063139-0.00026941i,-0.0003663+0.00037007i,-0.00061812+0.00024221i
3.247e-05-0.0018983i,-0.00016225-0.0013505i,-0.0015022-0.0012403i,-0.00070494-0.00051036i,0.00089427+0.00064491i,0.00093606+0.001316i,-0.00019651+0.00061459i,-0.00068085-0.00059271i,-0.00022637-0.00038225i,6.5942e-05+0.00033018i,-0.00029626-0.00033222i,-0.00044208-0.0009049i,-1.1854e-05-0.00073544i,-0.00028223-0.0010278i,-7.7302e-06-0.0014137i,0.00071877-0.00051251i,0.0006049-0.0002349i,-0.00024664-0.00078542i,-0.00091067-0.00060671i,-0.00037329+0.00031685i,0.00027682+0.00075719i,0.00021935+0.00057727i,0.00023296+0.00015384i
