-0.0013279+0.0010487i,-0.0020401+0.0013983i,-0.0031675+0.00097898i,-0.0023605+0.00087933i,-0.0019235+0.0017782i,-0.0018913+0.0019713i,-0.00054969+0.00083431i,0.00058529-3.6555e-05i,0.00083287+7.396e-05i,0.00098465-3.7392e-05i,0.00088661-6.9585e-05i,0.00019023+0.00027i,-2.0079e-05+0.00013199i,-0.00023965-0.00030354i,-0.00062546-0.00017309i,-0.00094946+0.00064786i,-0.0011355+0.00042566i,-0.001093-0.00031833i,-0.00038237-0.000624i,-0.00013925-0.00063151i,9.2763e-05-0.00042303i,0.00052042-6.4146e-05i,0.00022474-0.00029042i
-0.00043454+0.00081615i,3.5801e-05+0.0015818i,0.00024633+0.001533i,8.1659e-05+0.0014789i,-0.000402+0.00089362i,-0.00055313-2.5429e-05i,-2.4685e-05-0.00042296i,0.0005406-0.00024684i,-0.00028336-0.00015896i,-0.0011462-0.00012311i,-0.0009413+3.5428e-05i,0.00038977-0.00021365i,0.00080059-0.0005912i,0.00059417-0.00081463i,0.00052043-0.00070735i,1.8872e-05-0.0008509i,-0.00052179-0.0010679i,-0.00032564-0.00084077i,0.00015715-0.00015587i,3.7928e-05+0.00011031i,-0.00037752+0.00060097i,-0.00016539+0.00095236i,0.00026228+0.00047643i
-0.00055808-0.00099679i,0.00027075+1.0837e-05i,0.00091593+0.00040807i,0.00050225-0.0006583i,-0.00032046-0.0013289i,-0.00085417-0.0012417i,-0.00019777-0.00051997i,-0.00016158+0.00027005i,-0.0007534-0.00022367i,-0.00069584-0.0010665i,-0.00084516-0.00094513i,-0.00084059-0.00047771i,-0.00015605-0.00026814i,0.00022015-0.00026223i,-0.00016778-0.00017003i,-0.00011497+0.00062813i,0.00038632+0.00046299i,0.00097995+0.00012851i,0.00066505+4.4342e-05i,0.00060092-0.00074711i,0.00050101-0.0010287i,-0.00087682-0.00056404i,-0.00072264-0.00010305i
0.0014264-2.2658e-06i,-0.00020686-0.00077468i,-0.0006892-0.00078642i,-0.001223-0.0006804i,-0.0016216-0.00084762i,-0.00095493+3.5423e-05i,0.00015443+0.0011069i,0.00041069+0.000851i,0.00016465+2.333e-05i,-0.00027283-0.00048801i,-0.00082028-0.00050634i,-0.00045702-0.00039585i,0.00082836-0.0007331i,0.0014559-0.00031866i,0.00086418+0.00017779i,0.00022812+6.2197e-05i,-0.00024246-0.00037771i,-5.603e-05-9.1281e-05i,0.00057595+0.000191i,0.00011032+0.00071455i,0.00035692+0.00071218i,0.00041977+0.00092002i,-0.00021639+0.0012704i
-0.00021727-0.00067188i,-0.0005698-0.00067489i,0.0002861-0.00015514i,0.0004816+0.00027342i,-0.00036772+0.00025017i,-0.00052145-0.00021206i,0.00030616-2.0616e-05i,0.00063711+0.00065687i,0.00041366+3.6624e-05i,1.5717e-05-0.00018341i,-0.00080019+0.00055987i,-0.00059349+0.00059698i,0.00019951+0.00036174i,-4.0368e-05+0.00014947i,8.5943e-05-0.00025021i,0.00043399-0.00037636i,0.00018958-0.00045557i,7.416e-05-0.0006778i,5.9754e-05-0.00031435i,-0.0004124-0.00035705i,-0.00018204-0.00099907i,-0.00054592-0.00073399i,-0.0012464-0.00041639i
-0.00086288+0.0030412i,-5.2086e-05+0.0032658i,0.0012456+0.0027362i,0.00089041+0.0011863i,-0.00023564-0.00012298i,-0.00062434-0.00034131i,-0.00056636+0.00070969i,-0.00049392+0.0012555i,-0.00040941+0.00071314i,4.9058e-05+5.4745e-05i,7.6805e-05+0.00021586i,-0.00027004+0.00057397i,-5.3741e-05+0.00073142i,0.00019735+0.00053467i,0.00083507+0.00024581i,0.00088269+0.00021932i,0.00030708-0.00031337i,0.00028832-0.00012272i,0.00010553+0.00053232i,-0.00031957+0.00058179i,-0.00023219+0.00080818i,0.00017726+0.00085484i,0.00069556+0.00065909i
-0.001067-0.00098844i,-0.00037778-0.0010029i,0.00035724-0.00037619i,0.00070786+0.00095202i,0.0010279+0.0013073i,0.00067073+0.0010397i,0.00027845+0.00044443i,-0.00039606-1.0331e-05i,-0.0011353-0.0001291i,-0.0009956+0.00017993i,-0.00039176+0.00062686i,0.00039903+0.00076568i,0.00051468+0.0007445i,0.00044346+0.00025298i,0.00075946-0.00055736i,9.0911e-05-0.00064733i,-0.00058804-0.00016051i,-0.00034157-0.00012089i,0.00027344-0.00069437i,0.00097998-0.00082151i,0.00042844-0.00060246i,0.00051504+5.042e-05i,0.0012316+0.00042781i
0.00065916+0.00096074i,0.0011522+0.0021006i,0.0010147+0.0013925i,0.0002212-0.0003019i,0.0004102-0.00023377i,-4.7964e-05-0.00068514i,-6.2657e-05-0.00086358i,6.9007e-06+0.00014665i,-0.00017014+0.00061123i,-0.00026668+0.00010699i,-0.00035225+0.00043055i,-0.00037447+0.0010938i,-0.00037009+0.00071688i,-0.00031734-4.2244e-05i,-9.2893e-05-0.00022572i,0.00053477-9.4261e-05i,0.0008012-0.0004254i,0.00028877-0.00067897i,-2.8403e-05-0.00036111i,0.00034909-0.00014581i,0.00027429+0.00021836i,-5.8653e-07+0.00022599i,0.00012927-4.4846e-05i
-0.0025793-0.00095027i,-0.0021732-0.0015465i,-0.0011402-0.00064637i,-0.00070716+0.0013286i,-5.0931e-05+0.0021927i,0.00052856+0.0019024i,9.4258e-05+0.0013599i,-0.00040188+0.0010846i,-0.00052753+0.0010351i,-7.3753e-06+0.00048292i,0.00098828+7.8913e-05i,0.0015963+0.00028341i,0.0014397+0.00059991i,0.00050775+0.00036975i,-0.00059847-0.00045916i,-0.00068245-0.00052752i,-0.00016944-1.7116e-05i,-0.00021288-0.00033572i,9.1251e-05-0.00051497i,0.00032147-9.7756e-05i,-4.9965e-05-5.0221e-05i,-0.00025351+0.00025189i,4.0453e-06+0.00010969i
0.0016928+0.00054441i,0.0014775+0.0011502i,0.0013994+0.0013242i,0.0011708+0.0012119i,0.00076561+0.00047022i,5.2694e-05+0.00021561i,-0.00035193+3.4745e-05i,-0.00048113+0.00030018i,-0.00011047+0.00067172i,0.00022619+8.9205e-05i,-2.3326e-06-7.7225e-05i,-6.5555e-05+2.8074e-05i,0.0001793+3.0805e-05i,-0.00035975-0.00030664i,-0.00014912-1.15e-05i,0.00071905+0.00080349i,0.0005772+0.00054301i,0.0010218+0.00049342i,0.00096546+0.00020326i,0.00011303-0.00020867i,0.00035142+0.00019151i,0.00054642-0.00024223i,0.00050097-0.00026647i
-0.0012633-0.001402i,-0.00053169-0.0008645i,-0.001018-0.00015286i,-0.00029416+0.00052208i,0.0011539+0.00091974i,0.0015833+0.00070633i,0.00072136+0.00024542i,-0.0002689-0.00017926i,-0.00016571+0.00055754i,-0.00021024+0.00064817i,-0.00049942+0.00032939i,-0.00033492+0.000153i,-0.00038302-0.0010224i,0.00023115-0.0017163i,0.00024182-0.001092i,-0.00061106-0.00064338i,-0.00034498-7.9437e-05i,-0.00053314+0.00064793i,-0.00060119+0.00097464i,-0.00025034+0.00081559i,7.2754e-05+0.00028144i,0.00080931+0.00030615i,0.0010954+0.00045174i
-0.0015865-0.0012845i,-0.0019928-0.00064276i,-0.0021151-0.0001227i,-0.0020054-0.0002454i,-0.00068381-2.5534e-05i,0.00020769+0.0006203i,0.00020941+0.00029178i,0.00034768-0.00056805i,0.00061003-0.00013362i,0.0003+0.00082679i,-0.00055424+0.00051192i,-0.00076483+0.00023457i,-9.5631e-05+0.00051612i,0.00021091+0.00029543i,0.00024708-0.0001781i,0.00034227-0.0003319i,0.00036723+0.00022174i,0.00021464+0.00015861i,-0.00025239-0.00034548i,-0.001131-0.00039323i,-0.0014768-0.00048843i,-0.00091433-0.00033136i,-0.00062521-0.00018518i
-0.0011214-0.0022798i,-0.0010674-0.00086945i,-0.0004085+0.00098924i,-3.7311e-05+0.0013289i,-0.00075436+0.00099731i,-0.0003856+0.0010892i,-0.00012071+0.0010303i,-7.0635e-06+0.00038358i,0.00029916+0.00023029i,0.00053659+0.00026734i,0.00032991+0.00041162i,-0.00026677+0.00054079i,-0.0002197-0.00082255i,-0.00040024-0.0021033i,-0.00055405-0.0012249i,0.00044295+9.2356e-05i,0.00095264-0.00057767i,-0.00022571-0.00079677i,-0.0009463-2.6845e-05i,-0.00027356+6.9469e-05i,0.00061521-0.00019612i,0.00075632+0.00040661i,4.4532e-05+0.00030946i
-0.00017814+0.00091088i,0.00048864+0.001067i,0.00044294-0.00010873i,-0.00023659-0.00040558i,-0.00046707-0.00036875i,0.00037285-0.00062341i,0.00078649-0.00039245i,8.9402e-06-0.00081423i,-0.00033034-0.00070375i,-0.0002078+2.209e-06i,9.2557e-05+6.1081e-05i,0.00033391-0.00063082i,0.00031592-0.00096535i,-0.00021891-0.00076799i,-0.00073225+0.00021394i,-0.00016721+0.00071404i,0.00021932+0.00070943i,6.1361e-05-1.2567e-06i,0.00024558-0.00088857i,0.00070437-0.0004555i,0.00092481-0.0004937i,0.00038667-0.00055848i,0.00065351-7.7996e-05i
-0.0013155-0.0011206i,-0.0022503+0.00048295i,-0.0029533+0.00068081i,-0.0013502+0.00080728i,0.00061691+0.00091682i,0.00084184+0.00018476i,-3.536e-05-0.00059857i,-6.142e-05-0.00055556i,-0.00023276-0.00041935i,-0.0005726-0.0002371i,-0.00044657+0.00014403i,-0.00043922-5.9553e-05i,-0.00071427-0.00034419i,-0.00068741-0.00061106i,-0.00059997-0.00050221i,-0.00015411-0.00034495i,0.001042-0.00073835i,0.0005378-0.00050483i,-0.000207-0.00019838i,-0.00017065-0.00042027i,-0.00019267-0.00068869i,-2.1658e-05-0.00081127i,1.479e-05+0.00051807i
-0.0037418+0.0017216i,-0.0024082+0.0019886i,-0.0019031+0.0017167i,-0.0016703+0.0015754i,2.1904e-05+0.0010244i,0.0008861+0.00011433i,-0.00027343-0.00041986i,-0.0010874-0.00043752i,-0.0010716-3.3407e-05i,-0.00056109+0.00021656i,0.00033099+0.00023624i,0.00096205+7.4568e-05i,0.00058434-6.0572e-05i,-0.00087781+7.6436e-05i,-0.0013495-0.00019147i,-0.00054818-0.00075878i,0.00012303-0.0013317i,0.00080897-0.0012211i,0.0003974-0.00082974i,-4.759e-06-0.00046596i,0.00018428-0.00015795i,-1.9417e-05-0.00010579i,-0.00027258+5.0932e-05i
-0.0020685+0.00078598i,-0.0024515+0.0018734i,-0.0016114+0.0020722i,-0.0009476+0.0013021i,-0.00053487+0.00064105i,1.6757e-05+0.00064837i,-0.00038014+0.00067566i,-0.00035323+0.00038824i,0.00071356+0.00033266i,0.00091459+0.00032624i,0.0010472+0.00042982i,0.00080243+0.00041517i,0.00010919+0.00028695i,0.000603-1.6555e-05i,0.00093223-0.00034141i,0.00067596-0.00027186i,0.00018482+0.00031803i,-0.0003297+0.00031886i,-0.00026271-0.00010826i,-0.00030035-0.00036659i,-0.00040618-0.00093983i,8.4198e-05-0.00093254i,0.00054513-0.00028108i
0.00087184+0.0033084i,0.0015983+0.0022013i,0.0026705+0.0016313i,0.0021701+0.00056159i,0.00096341-0.0010719i,0.00042487-0.0013316i,0.00010026-6.3602e-05i,9.4539e-05+0.0011462i,0.00096507+0.00068743i,0.0016702+0.00014722i,0.0013907-1.8891e-05i,0.0012748-0.00015323i,0.00065224-0.00055352i,0.00035164+0.00027407i,0.00047148+0.0012061i,-0.00025899+0.00036623i,-0.0011551+2.6087e-05i,-0.001101+0.00024661i,-0.00061073+0.00041283i,5.9066e-05+0.00037631i,0.00031418+0.00045679i,-0.00010111+0.0003908i,0.00027618-0.00015768i
-0.0019985-0.00058636i,-0.0017868-0.00045683i,-0.0027044+0.00014205i,-0.0024102+0.00027843i,-0.00071394-6.6396e-05i,0.00095934-0.00052216i,0.00057091-0.00064601i,-0.00069948+0.00016082i,-7.4549e-06+0.00073309i,0.00017899+0.00083859i,-0.000383+0.00069227i,0.00016914+0.00017829i,1.6203e-05-0.00019537i,-0.00062379-0.00077816i,-0.00024203-0.0013368i,0.00018566-0.001419i,-0.00037017-0.00062241i,-0.00077476+0.00024352i,-0.00072221+0.00055595i,-0.00045616+0.00063727i,-0.00022933+0.00043014i,-0.00013044-5.1903e-05i,0.00023178-0.00037268i
-0.0015794+0.0011949i,-0.0016771+0.00063362i,-0.001003+0.00047788i,-0.00040942+0.00032604i,0.00038019-0.00017342i,0.0001545+0.00033179i,-0.00067405+0.0006874i,-0.00039962+0.00047335i,-0.00017946+0.00088404i,-0.00014337+0.00089961i,-9.5102e-05+0.0005467i,0.00019984+0.00070692i,-0.00013408+0.0005767i,-0.00085906-0.00033949i,-0.0010314-0.0010368i,-0.00063416-0.00048395i,-2.7311e-05-0.00016221i,0.00012498-0.000402i,-0.00013269-0.00027394i,-0.00028751-0.00041318i,-0.00013328-0.00028119i,3.0966e-06+0.00033587i,-2.439e-05+0.00089014i
0.00093501+0.00064184i,0.00037568+0.0010713i,-4.5288e-05-0.00026267i,0.000248-0.00072398i,0.00098456-0.00028485i,0.0017152+0.00021416i,0.0013135+0.00035711i,0.00084906+0.0004008i,0.00057968+9.6956e-05i,0.0010314-0.00060476i,0.0014827-0.00062974i,0.00084388-0.00043844i,0.00049183-0.00046702i,0.00019926-0.00040742i,0.00015257-0.00023615i,0.00016709+0.00028066i,-5.8459e-05+5.408e-05i,0.00011862-0.00014564i,0.0010927-0.00032317i,0.0010345-0.00041599i,0.00047475+0.00048662i,0.00027927+0.00068783i,4.033e-05+0.00056635i
-0.00069635+0.0011195i,-0.00096558+0.001688i,-0.0015958+0.0013762i,-0.00049581-6.1511e-05i,0.00094993-0.0014109i,0.0011912-0.0013849i,0.00050254-0.00051185i,0.00016188+0.00014001i,0.00027592+2.1793e-05i,0.00088887-0.00038473i,0.0013558+0.00013256i,0.00085998+0.00020138i,0.0005296-0.00017096i,0.00072774-0.00016384i,0.00050729-0.00036741i,-0.00049327-0.00055828i,-0.0005232-0.00012951i,-6.6038e-05+5.9082e-05i,0.0003002-0.0011762i,0.00070311-0.0016046i,-0.00046119-0.0010418i,-0.0016665-0.00071566i,-0.00085959-0.00057168i
0.00086246-0.0018993i,0.00027079-0.00082405i,-0.0010216-4.1204e-05i,-0.0018554-0.00093548i,-0.0014189-0.00079007i,-0.0010865+0.00026331i,-0.00032117+0.00035239i,0.00053625+0.00018683i,0.00068268+0.00016717i,5.2619e-06+0.00017378i,-0.00012472-4.6864e-05i,0.00022085-0.00044324i,0.00063111-8.1145e-05i,0.00046135+4.7846e-05i,-1.6903e-05-0.00041943i,-0.00010452+0.00041492i,-0.00019875+0.0013427i,6.2896e-05+0.001304i,0.00042692+0.0010215i,0.00014401+7.8166e-05i,0.00028547-0.00080284i,0.00031431+0.00022256i,8.7265e-05+0.00096179i
-6.9035e-05+0.0007651i,-0.0014461+0.00043965i,-0.0011758-0.00019783i,0.00035922-0.00062294i,0.00050707-0.00023925i,-9.51e-05-6.8848e-05i,0.0002837-0.00032054i,0.00078813+9.5676e-06i,0.00073267+0.00045238i,0.001061+0.00010672i,0.00073442-0.00019585i,-7.8933e-05+8.4809e-06i,-0.00013807-0.00063358i,0.00031931-0.00035938i,6.4952e-06+0.00015644i,-0.0009663-0.00013335i,-0.00089537-5.5776e-05i,-0.00013589+0.00015525i,0.00061462-0.00018893i,0.0011263-0.00056562i,0.00036817-0.00052399i,-0.00010978-0.00013857i,0.00039723+0.00020495i
-0.0018287+0.00049918i,-0.0015104+0.0012455i,-0.0014125+0.00065342i,-0.00087028+0.0010839i,-0.00026215+0.0014149i,0.00027213+0.00057951i,0.00081016+0.000229i,0.00074078+0.00060939i,0.00028867+0.00066783i,0.0003886-4.1863e-06i,0.0010742-0.00056486i,0.0011113-0.00035805i,0.00050273+0.00022093i,-0.00036138-1.4318e-05i,-0.00042193-0.00010585i,-0.00054972+0.00045221i,-0.00039499+0.00066997i,-0.0001102-0.00025607i,-0.00027644-0.00049996i,-5.2803e-05-0.00049207i,-3.0575e-06-0.00056291i,-0.00018666-0.00050626i,-8.5446e-06-0.00010088i
0.0010159+0.00058688i,0.0012044+0.0011071i,0.0020641+0.001159i,0.0018013+8.235e-05i,0.00016165-0.00026943i,-0.00078177-0.00036916i,-0.00084175-9.6688e-05i,-0.00052652+0.00037694i,-0.00039853+0.00044957i,-0.00016255-0.00014651i,-0.00028522-0.0003003i,-0.00013076+0.00074002i,-0.00052006+0.00088956i,-0.00068204+0.00064727i,0.00026257+0.00021931i,0.00019386-0.00045191i,-0.0002094-0.00020245i,-0.0001976+0.00037656i,-0.00023389+0.00049853i,9.9164e-05+0.00039451i,0.00022565+0.00019912i,-4.1134e-05-0.00030563i,0.00028823-0.0010472i
0.00081877+0.0026606i,0.00097455+0.0022933i,0.00099085+0.0008331i,0.00019548-0.00021084i,-3.5713e-05-0.00073546i,-0.0007119-0.0013716i,-0.00077341+8.3915e-06i,0.00050036+0.0013663i,0.00086253+0.00097428i,0.00051177+0.00071866i,-6.4771e-05+0.00078794i,-0.00032109+0.000596i,-0.00030718+7.1098e-06i,-9.7556e-05-1.1818e-05i,-0.00020329+9.2444e-05i,-0.00041998+0.00026334i,-1.1247e-05+0.00023569i,0.00026638-0.00018241i,0.00035905+0.00034548i,0.00029929+0.00046294i,0.0005366+0.0003086i,-0.00013217+0.00018879i,-0.00070899-0.00043111i
0.00042514+0.00057836i,-0.00029327+0.0016445i,-0.00053403+0.001489i,0.00062644+0.00047828i,0.0011191-0.00044354i,0.0005527-0.00056826i,-0.00014507+0.00045447i,-0.00010243+0.001123i,0.0010111+0.00074256i,0.0013447-0.0002845i,0.00068114-0.00017521i,0.00017808+2.8998e-06i,0.00034489+2.0289e-05i,0.00051646+0.00027388i,-0.00040883-9.8937e-05i,-0.0010003-0.00039833i,-0.00082655-0.00037652i,-0.00073229-0.00050199i,-0.00064795-0.00067771i,-0.00018987-0.00052376i,0.00027735-0.00019514i,-7.7427e-05+0.00037994i,-0.00018735+9.9872e-05i
-0.0017865+0.0019414i,-0.0013151+0.0015693i,-0.00040265+0.0013222i,0.00048215+0.00046884i,0.0012584-7.5257e-05i,0.00046236-0.0001681i,-0.00035555-0.00018812i,-0.0003708-0.00020624i,-0.00012402+0.00017817i,2.7033e-05+0.00085952i,-0.00015924+0.00059739i,-0.00052915-0.00029129i,-0.00047805-0.00065513i,-0.00010523-0.00057237i,4.3926e-05-2.4569e-05i,0.00016379-0.00021425i,-0.00029416-0.00053197i,-0.00027001-0.00035433i,0.00067586+2.456e-05i,0.00095221+0.00032753i,0.00031224+0.00019955i,-0.00028575-0.00039753i,-0.00033081-0.0010221i
-0.001641-0.00073411i,-0.0019515-0.00062594i,-0.0020498+0.00020242i,-0.0005889+0.0010579i,0.00024606+0.00086152i,-7.8922e-05+0.0011243i,-0.00046802+0.00086497i,0.00048349+0.00030854i,0.0011592+0.00034434i,0.00099719+0.00086379i,0.00095571-6.0787e-05i,0.00063691-0.0011219i,0.00056913-0.00054295i,0.00017557+0.00015409i,-5.141e-05+0.00078953i,0.00018157+0.00072711i,0.00017779+0.00037931i,0.00034926+0.00030224i,9.4725e-05+0.00069537i,-2.3003e-05+0.00042885i,7.0647e-07-0.00018394i,-0.00041978+0.00023143i,-0.0003094+0.00062285i
-0.00015908+0.00019535i,0.00058524+0.0002428i,0.00014829-2.9752e-05i,-0.00015123+5.7569e-05i,7.0112e-05+0.00096738i,0.00043279+0.00067457i,0.00031797+0.00025832i,-0.00018574+1.0445e-05i,-0.00012772-0.00016918i,0.0007105+0.00063941i,0.0010713+0.00039796i,0.00087798-0.00057378i,-3.1264e-05-0.00087579i,-0.00055118-0.00023164i,-2.6121e-05+0.00077194i,0.00048893+0.00031869i,0.00092446-0.00021613i,0.0014031+9.5718e-06i,0.00067851+0.00018393i,-0.00036273-4.6963e-05i,-0.00012947+0.00030364i,7.9624e-07-4.0682e-05i,-0.00019956-0.00085123i
0.00022328-0.001128i,-0.0012411+0.00049982i,-0.0022798+0.00081339i,-0.0017723+0.00030179i,-0.00092841-0.0004061i,9.4925e-06-0.00036282i,0.00069449+0.00052348i,0.00075736+0.00083436i,0.00063186+0.00059074i,0.00022233+0.00016444i,-0.0010305-0.00032108i,-0.00076674-0.00055476i,-0.00018925-0.00043981i,-0.00049705-0.00038998i,-0.00014447+0.00018406i,2.6757e-05+0.00098671i,-0.00042848+0.00097761i,-0.00037547+0.00049369i,0.00017175+0.00029338i,0.00038346-6.3979e-05i,0.00069218-0.00059511i,0.00036794-0.00035538i,-0.00011392-2.2945e-05i
