2.3923e-05+0.00029276i,-0.00027462-0.0012561i,-0.0010099-0.0012145i,-0.002103+0.00015959i,-0.0029817+0.0018703i,-0.0026679+0.0019071i,-0.0017904+0.0017211i,-0.00075943+0.0017712i,-0.00020603+0.00032661i,-0.00026687-0.0011024i,8.6806e-05-0.0015511i,0.00036309-0.00088295i,-0.00035202-0.00016941i,-0.00075767+0.00030176i,-0.00013002+0.00071208i,0.00062288+0.00029024i,0.001306+1.9162e-05i,0.00067939-0.00058426i,0.00047659-0.00072287i,0.00073391+0.00051457i,0.00073037+0.00055889i,0.00071124+0.00016115i,0.00013836-0.00025988i
0.00082417-0.0025546i,0.00018151-0.0012943i,9.233e-05-0.0006808i,-0.0012178-0.0003564i,-0.0019771-6.4717e-05i,-0.0011388+0.00081935i,-8.8293e-05+0.0010895i,0.00050146-4.4623e-06i,0.00099616-0.00042213i,0.00074184-0.00013108i,0.00021356-0.00014804i,0.0004366-0.00022623i,0.00064048-0.00010501i,0.00096138+0.00011653i,0.0011155-0.00018355i,0.00060621-0.00030824i,0.00013195+0.00010877i,-0.00017302+0.00065725i,-0.00033425+7.5049e-05i,0.00017476-0.00045468i,0.0004356-0.00047844i,0.00052676-0.00026088i,0.00074639-2.4433e-05i
-0.00057912-0.0011813i,-0.0013319-0.0013363i,-0.0027807-0.00096952i,-0.0022199+0.00021262i,-0.0013463+0.00097356i,-0.0011118+0.00071979i,-0.00047256-3.5936e-05i,-0.00038683-2.9375e-05i,-0.0010668-8.8163e-05i,-0.00096019-0.00071883i,-0.00027516-0.0002046i,0.00021292+0.0012561i,0.00035704+0.0012191i,0.00051733+0.00061851i,-0.00025332+0.00028068i,-0.00031163-0.00021163i,0.00081841-0.00041227i,0.00055055-0.00093813i,-0.00043773-0.00047191i,8.4614e-05+0.00037701i,0.00060278+0.00013447i,-0.00025721-0.00028134i,-0.00089207-0.00067784i
0.0006054+0.00026489i,-0.00027943-0.0010764i,-0.00018433-0.0013492i,-0.00071508-0.00065724i,-0.001921+2.138e-05i,-0.0022024+0.00038021i,-0.00174+0.00045346i,-0.0010723+5.315e-05i,-0.00082042-0.00023644i,-1.8224e-05+0.00016759i,-3.6408e-05+5.3938e-05i,-0.00054376-0.00022717i,-0.00017938+2.8503e-05i,0.00047933-8.7294e-05i,0.00072783-0.00026648i,0.00026428+0.00020617i,-0.00050923+0.0006108i,-0.00088794+0.00029349i,-0.00044391+0.00058244i,-0.00011195+0.0011348i,-0.00029886+0.00094193i,-0.00067326+0.00019488i,-0.00079438-0.00011716i
-0.00020909-0.00014301i,-0.00017811+0.00085382i,-0.00073344+0.0013651i,-0.00051574+0.0014759i,-0.0010712+0.0017696i,-0.0016286+0.0015557i,-0.00084713+0.00041422i,0.00011157-0.00020605i,0.00027661-0.00024146i,-0.00044649-0.0005301i,-7.1721e-05-0.00047969i,0.00013297-0.00011928i,-4.0827e-05-0.00023259i,-0.00036715-0.00039613i,-0.00021997-0.0002559i,0.00027598+0.0003241i,-0.00037003+0.0010019i,-0.00054766+0.0010394i,0.00017167+0.00028431i,0.00041997+0.00024767i,0.00010307+0.00040558i,-0.00024842+0.0005284i,1.6802e-05+0.00065433i
-0.00162+0.0015797i,-0.0007776+0.0017735i,-0.00035933+0.0021078i,-0.00039153+0.0024092i,-0.00057801+0.0033033i,3.1756e-05+0.0023054i,0.00078301+0.00013244i,0.00026897-0.000309i,-0.00071126+0.0003745i,-0.00062537+0.00080071i,0.00012684+0.00061651i,0.00055671+0.00045284i,0.0005233-0.00035856i,-5.2304e-05-0.00025025i,-0.00072817+0.00030506i,-0.00068541-1.0581e-05i,-0.00079382-0.00059973i,-0.00065967-0.0004062i,-0.00022441-0.00012424i,0.00053839-7.1727e-05i,0.00080097-0.00023272i,0.00051395-0.00062162i,-0.00027723-0.00036421i
-0.0019112-0.0016893i,-0.0023973-0.00079402i,-0.0035211-2.7144e-05i,-0.0040559+0.00042858i,-0.0025394+0.0017782i,-0.00041659+0.0028604i,9.6757e-05+0.0030798i,0.00020037+0.0019496i,0.00046055+0.00049346i,0.00018561+0.00016927i,5.8011e-05+0.00059667i,0.00048866+0.00089638i,0.001053+0.00072192i,0.0013389+0.00024011i,0.0012615-0.00052196i,0.00034329-4.7999e-05i,0.00035384+0.00062373i,0.0014368+0.00021516i,0.0017449+0.00048396i,0.00075269+0.00075182i,-0.00045463+0.00088702i,-0.00019608+0.00046316i,0.00031641-0.00037788i
0.00022792-0.00055067i,-0.00052489-1.2364e-05i,-0.0012734-0.00030365i,-0.001323-0.00050755i,-0.0010772+0.00039248i,-0.0011132+0.00098342i,-0.00070858+6.1981e-05i,0.00015263-0.00098265i,4.6369e-05-0.0013426i,-0.00032135-0.00095743i,-0.0006491+0.0006876i,-0.0014609+0.00084477i,-0.0010321+0.00022123i,0.00024658+0.00061342i,0.00087836+0.00093544i,0.00097738+0.00099049i,0.00080618+0.00019955i,0.00041355-0.0010873i,-0.00029774-0.00058964i,-0.00070062+0.0008048i,-0.00018097+0.00042706i,0.00074445+6.5217e-06i,0.00086281+0.00027672i
0.0021311+0.001219i,0.001023+0.0011564i,0.00044298+0.00046046i,0.00052122+0.00096273i,-0.00050992+0.00084269i,-0.0010247+0.00040696i,-0.0002191+0.00044279i,-0.00021418+0.00077288i,-0.00087811+0.00084111i,-0.00083176+0.00051821i,-0.00054379-5.9008e-05i,-0.000648-0.00032409i,-0.00060824+3.0866e-05i,-0.00055764+0.00042719i,-0.00024244+0.0010245i,0.00027925+0.0010482i,-0.00011138+0.00052555i,-0.00024392-0.00028384i,-0.00072784-0.00079088i,-0.00068112-0.00026596i,0.00039228+8.0326e-05i,0.00066654-0.00020567i,0.00016285-0.00020815i
0.0015572+0.0012699i,0.0010254+0.0013998i,0.0014068-9.0506e-05i,0.0011466-0.0011936i,0.0004922-0.0013305i,-0.00082697-0.0005354i,-0.0019459+6.4627e-05i,-0.001548-0.00014762i,-0.00031453-0.00017348i,0.00022669-0.00013663i,-0.00036081+0.0002208i,-0.0010299+0.0002033i,-0.00091542+1.0501e-05i,-0.00011302+0.00012654i,0.00020415+0.00016255i,0.00047022+0.00039449i,0.00013947-0.00024635i,-1.7407e-05-0.00046174i,-0.00012586+0.00024771i,-0.00012738+5.8013e-05i,2.4624e-05-0.00025248i,-0.00053502+7.4557e-06i,-0.00057052+3.7583e-05i
0.0010239+0.00016441i,0.00090528+0.00057034i,-0.00030266-0.0012463i,-0.001172-0.0020826i,-0.0010066-0.00040739i,-0.00040501+0.0010578i,-0.00025849+0.00078896i,-0.00029196+0.00057043i,0.00025759+0.00080531i,0.00067947-5.7599e-05i,0.00075028+4.2619e-05i,0.00054458+0.001304i,0.00035304+0.0006679i,0.00084687-0.00038653i,0.00097103+0.00049725i,0.00047792+0.00086263i,0.00054495-0.00036993i,0.00029749-0.0006717i,9.6823e-05-0.00023722i,0.0005346+0.00032328i,0.00029051+0.00020733i,-0.00013681-0.00034847i,0.00032142+0.00036126i
0.00050632+0.0012672i,0.001632+0.0013496i,0.0018638+0.0017769i,0.0019494+0.0019986i,0.00086087+0.0015234i,-0.00016105+0.0007974i,-0.00042324+0.0010648i,-0.00083999+0.0010086i,-0.00033382+0.00037795i,0.00017726+0.00061982i,-0.00015219+0.0009649i,-0.00019999+0.00067048i,-0.00038352+0.0005266i,4.6569e-05+0.00032707i,0.00047919-0.00029698i,0.00033139-0.00082984i,0.00036704-0.00052255i,0.00040027-9.8956e-06i,0.00012753-0.00017898i,-0.00012077-0.00039634i,0.00060371-0.00014685i,0.0010563+0.00027512i,0.0006048-1.4962e-05i
-0.00052319-0.0007117i,-0.0012987-0.0013204i,-0.0028497-0.00085607i,-0.0029438+0.0002322i,-0.0017405+0.00091304i,-0.0010268+0.0011308i,-0.00067073+0.00076709i,-0.00041568+0.00021169i,-0.00048396-0.00021733i,-0.00042044+0.00042278i,0.00030052+0.0014564i,0.00010226+0.00071106i,-0.00011275-0.00047994i,0.00075149-0.00022007i,0.0003429+0.00081934i,9.8661e-05+9.9748e-05i,0.00044794-0.00032103i,0.00026066+0.0007523i,-8.2567e-05+0.0013776i,0.00035125+0.0013424i,0.00060575+0.00051651i,0.00023281-0.00015275i,-7.6901e-05-0.00037508i
0.0015598+0.00020984i,0.0012623-0.00027418i,0.00072864-7.5444e-05i,-0.00018792-0.00042953i,-0.0009691+0.00021311i,-0.0011458+0.00079938i,-0.00084607+0.00053387i,-0.000588+0.00048006i,-0.00091058+0.00046582i,-0.0010801-0.00013645i,-0.00045317-0.00068318i,-3.0011e-05-0.00021142i,-1.3435e-05-8.4284e-05i,-0.00023657-0.00030334i,-0.00052685-0.00099377i,0.00013026-0.001747i,0.00085646-0.00074287i,0.00093542+0.0003013i,0.00033819-9.4484e-05i,-7.4328e-05-0.00016765i,0.00044409-0.00014978i,0.0004213+3.7919e-06i,0.00083485+0.00069135i
0.0014945-0.00014928i,0.0014051+0.0010805i,0.00067293+0.0014465i,0.00061402+0.00067505i,0.00069004+0.00062073i,0.00043376+0.0016918i,0.00029824+0.0017946i,-0.00022518+0.00081816i,-0.00019411+0.0003167i,-0.00011059-0.00015962i,5.7003e-05-0.00055582i,0.00029556-4.2758e-07i,-0.00022876-0.00032481i,-0.00033946-0.00093084i,0.00049316-0.00082701i,0.0007086-0.00076133i,-5.3052e-05-0.00070012i,-5.856e-05-0.00074314i,0.00013886-0.00039503i,0.00024042+2.6795e-06i,0.00032947-0.0001264i,6.0465e-05+7.9308e-05i,0.00010326+0.00050924i
-0.0013837+0.0018461i,-0.0014533+0.0017059i,-0.0012083+0.0016017i,-0.00070617+0.0015419i,-7.9299e-05+0.0014436i,5.461e-05+0.0015546i,-0.00045724+0.0019501i,-0.00074634+0.0012647i,-0.00061596-0.00055971i,-0.00073087-0.00095714i,-0.0007723+2.3817e-05i,0.00013299-0.00041488i,0.00073136-0.0010939i,-2.712e-05-0.0009357i,-0.00055798+1.0076e-05i,-0.00030912+0.00090251i,-0.00028081+0.00020561i,7.2613e-05-0.00041073i,0.00085381-0.00026371i,0.00058003+0.00012834i,0.00011158-0.00028102i,-0.00028435-0.00035462i,-0.00018802+0.00061353i
0.00064504+0.00035851i,-0.00012014+0.0010112i,-0.00030798+0.00035267i,-0.00080406+0.00068693i,-0.0012891+0.0010733i,-0.00019957+0.0012724i,0.00028766+0.0011276i,0.00019508+4.954e-05i,-0.0004985-0.00058862i,-0.00028067-0.00041603i,0.00055605+0.00010303i,0.00019599+0.00053999i,-0.00013394+2.6581e-05i,0.00014892-0.00037628i,0.00038512-0.00033645i,-2.9907e-05-0.00068098i,-0.00058575-0.00072834i,-0.00046718-0.00066405i,-0.0001384-0.00067956i,-0.00035866+6.362e-05i,-0.00060848+0.00083225i,-0.00087546+0.00052338i,-0.0011565-0.00016515i
0.0017403-0.001344i,0.00096595-0.00086984i,0.00022086-0.00011262i,0.00017932+0.00069291i,-0.00052445+0.0012409i,-0.0013084+0.0016916i,-0.0010199+0.0012373i,-0.000343+0.00011119i,-0.00028224-0.00027618i,-0.00082814-0.00042077i,-0.00073814-0.00030011i,-0.00049138+0.00025182i,-0.00032948+0.00052216i,-0.00049036+0.00030862i,-0.00049528+6.938e-05i,-1.776e-05-0.00023564i,0.00015098+0.0001207i,0.0001979-0.00038076i,-2.994e-05-0.00079164i,0.000412-0.00014538i,0.0011514+0.00031867i,0.00078685-0.00019959i,0.00060461-9.157e-05i
0.00047318+0.00085875i,-0.00014177-0.00014724i,-0.00012306-0.0014392i,-1.2278e-06-0.002088i,-0.00020723-0.0013313i,-0.0011257-0.00072362i,-0.00088182-8.2838e-05i,0.00018458+0.00030545i,0.00038112+0.00013458i,0.00022251+1.6464e-05i,-0.0001837+0.0004611i,-0.00079755+0.00087913i,-0.00087568+0.00015676i,-0.00048324-0.00021463i,0.00053118+0.00072479i,0.00088693+0.000795i,0.00043653-0.00080043i,0.0002444-0.0016069i,0.00069115-0.001067i,0.00090387-5.8937e-05i,0.00083425+0.00041986i,0.00047841+0.00055387i,0.00031751+0.00056015i
0.00087117-0.00049795i,0.0002081-0.00044593i,-0.00034807-0.00081147i,-0.0018211-0.00052452i,-0.0027952+0.0005393i,-0.0021471+0.0013701i,-0.00065779+0.0012283i,0.001206+0.00044042i,0.00098283-0.00050762i,7.2332e-07-0.0004182i,-0.00048258+0.0005031i,-0.00041911+0.00069471i,-1.4315e-05+0.00023726i,0.00025591+4.8048e-05i,-0.00011947+0.00061197i,4.7905e-05+0.00058751i,0.00042756+0.00027338i,-3.2447e-05-0.00020156i,0.00012477-0.0010274i,0.00067916-0.00091179i,0.00012357-0.00024129i,-4.0014e-05-0.00010449i,-6.8215e-06+8.9543e-05i
0.00068516-0.00089437i,-0.00012575-0.00014095i,-0.0009689-0.00038557i,-0.0014831-0.00024655i,-0.00084669-1.9411e-05i,-0.00083917+6.551e-05i,-0.0011665+6.2529e-05i,-0.00096712-0.00028456i,-0.00022581-0.00071031i,0.00032936-0.00069031i,0.00054581-0.00048416i,0.00054127+0.00010308i,3.924e-05-0.000169i,-0.00062555-0.00027248i,-0.00041068-0.00016774i,3.0805e-05+0.00016039i,0.00040101+0.00028926i,0.00045935-0.00021514i,-3.4147e-05-0.00032895i,-0.00010007+0.0002967i,-0.00030142+0.00049601i,-0.00082123+8.9238e-05i,-0.00047316-0.00032418i
-0.0016143-0.00046296i,-0.0015114+6.5782e-05i,-0.0015298+0.000365i,-0.0015863+0.0010781i,-0.0019934+0.0022007i,-0.0017311+0.0013697i,-0.0015102+0.00013637i,-0.0008665-9.4465e-05i,-0.0002678+0.0001263i,-6.6324e-05+0.00064297i,-0.00017248+0.00028925i,-0.00025008+0.00019588i,0.00012124+0.00060284i,0.00061605+0.00046577i,5.923e-05+0.00044343i,9.8419e-05+0.00018012i,0.0004653-0.00035702i,4.0187e-05+4.8314e-05i,-0.00016346-0.00016024i,0.00013919-0.0013243i,0.00013544-0.00047787i,-0.00034566+0.0010752i,0.00021519+0.00091588i
0.00040619+0.0013284i,0.00036429+0.00039012i,0.0013422-0.00036739i,0.00055104-0.00064817i,-0.00070598-0.00073123i,-0.00088479-0.00039025i,-0.00033512+0.00026245i,-0.0004757+0.00040553i,-0.00073327+0.0002945i,-0.0001354-0.00060287i,0.00071068-0.00086175i,0.00058311+0.00010267i,0.0003645+0.00092958i,0.00019065+0.00062113i,-0.00045633+0.00095868i,-0.00076033+0.0014832i,-7.6611e-05+0.00060581i,0.00031926+0.00054771i,0.00015755+0.00073716i,8.9917e-05-0.00020119i,-0.00026559-0.00072144i,-0.00041767-0.00031259i,-4.3649e-06-0.00022812i
-0.00098016-3.8871e-05i,-0.00021449+0.00074146i,0.0005744+0.00095027i,0.00061515+0.00065933i,-0.00030927+0.0011025i,-0.00018493+0.001495i,-0.0002236+0.0011069i,-0.00090115+0.00017492i,-2.6562e-05-0.00054036i,0.00092621+1.3213e-05i,0.00082317+0.00097744i,0.00028796+0.0003198i,-0.000806-0.00034504i,-0.0012332+0.00044697i,-0.00086464+0.00032491i,-0.00018202-6.8865e-05i,-0.00017009-0.00014936i,-0.00058965-0.00074718i,-0.00031072-0.00065701i,-0.00010713+0.00023766i,-0.00016437+0.00029337i,5.3457e-06+0.00018342i,7.2176e-05-0.00020543i
0.0021312-0.0012622i,0.0014405-0.0021601i,0.00048257-0.0016075i,4.5473e-05-9.7331e-05i,-0.0004313+0.00043152i,-0.00081077+0.00092185i,-0.00042981+0.00088406i,7.4734e-05-0.00019825i,-6.0393e-05-0.00025982i,-0.00052482+0.0002122i,-0.00057999-6.843e-05i,-0.0003063-0.00014i,3.8217e-05+0.00031109i,0.00076695+0.0011263i,0.0010387+0.0011388i,-0.00012326+0.00053811i,-0.00083295+0.00019768i,-0.00059617+0.00030411i,-0.00043482+0.00041981i,-0.00020793+0.00012385i,-0.00026607-0.00012087i,-0.00053935-0.00055261i,-0.00090789-0.00036439i
0.00046295+0.00012727i,0.00050624+1.4061e-05i,0.00052384+0.001008i,-8.0824e-05+0.0018043i,-0.00031631+0.0026082i,8.2398e-05+0.0018385i,0.0002929+0.00046859i,0.00054524-4.0678e-05i,0.00033597-0.00021248i,-0.00032076-0.00033942i,-0.0011347+6.6174e-05i,-0.00070773-0.00026075i,0.00069246-0.00016758i,0.00055858+0.00053836i,-0.00023553+0.00029955i,-0.00027724-0.00025155i,0.0011123-0.0004058i,0.0019508-0.0008613i,0.00085474-0.0005932i,0.0006035+0.00041278i,0.00051643+0.00044649i,-0.00025504-0.00050808i,-0.00029172-0.00072504i
0.0019742-0.0005891i,0.0010816-0.00066547i,-0.00049787-0.00052635i,-0.0018185-0.00069538i,-0.0022291-0.00072663i,-0.0019781+0.0001686i,-0.001056+0.00041976i,-0.00039772+0.00030604i,-0.00028777+0.00014357i,-0.00025306+0.00043972i,-0.0001478+0.0005208i,7.9526e-05-0.00012311i,0.00058642+0.00022068i,0.00085513+0.0007959i,0.00082791+0.00019129i,0.0012203-0.00031973i,0.0012082-0.00013703i,0.00076159+1.4626e-05i,0.00059983+2.9783e-05i,-0.00010098-0.00024656i,-0.00033582-8.417e-05i,0.00014906+7.7777e-05i,-0.00022278-0.00033081i
-0.0012395-0.0010724i,-0.0021226-0.00033028i,-0.0028202+0.00099049i,-0.0025629+0.0005206i,-0.0015841+0.0011812i,-0.00062214+0.0021059i,-3.8541e-05+0.0010901i,0.00015986+0.00035485i,1.4116e-05+0.00040164i,-0.000335-4.646e-06i,0.00010473-0.0001493i,0.00025629+0.0007831i,0.0001958+0.00065718i,0.0004033-0.00024649i,0.00042589-0.0012009i,0.00042313-0.0014933i,-0.00020254-0.00051341i,-0.00077967+0.00035139i,-0.0009401+0.00026958i,-0.0010604-0.00012423i,-0.00067362-0.00030907i,-0.00028721-2.7575e-05i,0.00023098+0.00047979i
-0.00056541-0.0013006i,-0.00091667-0.00012685i,-0.0027186-0.0012443i,-0.0029804+0.00037489i,-0.0023124+0.0024575i,-0.0020135+0.0022888i,-0.00075788+0.0013597i,-0.00016989-3.5533e-05i,-0.00092741-0.0003855i,-0.00067802-0.00011654i,-0.00033403+0.00010811i,-0.00048859+6.0002e-05i,-0.00025494-8.5111e-05i,0.0004621+0.00062651i,0.00092187+0.00066203i,0.00061751+0.00026136i,0.0007512-0.0001255i,0.00059708-3.6185e-05i,5.8136e-05+0.00039309i,4.0465e-05+0.00095989i,5.3731e-05+0.0013372i,-0.0004419+0.0014245i,-0.0003507+0.00090702i
