-0.00097916+0.0013857i,-0.00030229+0.001383i,0.0010816+0.0027175i,0.0022667+0.0032108i,0.002375+0.0022364i,0.0010938+0.00086238i,-0.00054984+0.00062465i,-0.00088401+0.001132i,0.00015521+0.00099351i,5.7199e-06+0.00065115i,-0.00050161-0.00046913i,-0.00071003-0.00067752i,-0.00047724-0.00033703i,-0.00092815-0.00086622i,-0.0016359-0.00073341i,-0.0007191+0.00025327i,4.1614e-05+0.00072478i,0.00011811+0.0002143i,0.00015942-2.0187e-05i,0.00018105+0.00024694i,-0.00036032+0.00048468i,-0.0004776+0.00075809i,-3.8813e-06+0.00040594i
4.8657e-05+0.002006i,-1.4692e-05+0.002546i,0.00037521+0.0017206i,0.00051192+0.00051763i,0.0012377+0.00026041i,0.0021523+0.00032578i,0.0019398+0.00065914i,0.00022136+0.0011937i,-0.00050251+0.0012777i,0.00046792+0.0012411i,0.0012822+4.2433e-05i,0.0017101-0.00095729i,0.0013515-0.00064761i,0.00124+1.1196e-05i,0.0010137+0.00019236i,0.00042221-0.00013261i,0.00085141-0.00019034i,0.00076999+0.00015694i,0.00027004+0.00014313i,-0.00023979-9.1872e-05i,-8.5236e-05-0.00017898i,0.00084191-0.00060135i,0.0009349-0.00040513i
-0.0012792+0.001379i,-4.6824e-05+0.00067736i,0.0015173+0.0014978i,0.0020348+0.0026409i,0.0019479+0.0023417i,0.0019318+0.0005279i,0.0014768-0.00051639i,0.00053417+0.0003832i,-0.00012908+0.0012037i,0.00098718+0.0010718i,0.0017996+0.00088438i,0.0012554+0.00044109i,0.00062656+0.00012732i,0.0013391-0.00014937i,0.001783+0.00043146i,0.0011705+0.0012625i,0.00039714+0.00082624i,-0.00012681+6.3115e-05i,-0.00052439-7.1337e-05i,-0.00022589-0.00028253i,0.0003947-0.00043572i,0.00048579-0.00060464i,0.00060859-0.00044063i
0.0029277+0.0037281i,0.0029027+0.0025817i,0.0029473+0.0011083i,0.0019241-0.0011851i,0.0007127-0.002639i,0.00059118-0.0016918i,0.00039658-0.00057077i,-0.00025971+0.00048857i,6.3553e-05+0.0006421i,0.00032452+0.00042263i,0.0002794-0.00012639i,-0.00015192-0.00076149i,-0.00077457-0.00012075i,-0.00072286+4.3035e-05i,0.00030144-0.00043004i,0.00088145-0.0003344i,0.00035131+0.00017105i,-0.00022342+0.00027781i,-0.00044116+4.2022e-05i,0.00019421+0.00011757i,0.00043303+0.00062372i,0.00015529+0.00089871i,0.00042757+0.00089318i
-0.00085385-3.7459e-05i,-9.8474e-05+0.00067013i,0.00066316+0.0014575i,-0.00014515+0.0022152i,-0.00057185+0.0017703i,0.00043745+0.00098765i,0.0010969-4.6716e-05i,0.00029666-0.00030562i,5.7229e-05+0.00025801i,0.00013994+0.00030646i,0.00064318+0.00046944i,0.00079103-0.0001886i,-0.000143-0.0014555i,-0.0002369-0.0010381i,0.00035956-0.00085771i,0.00083051-0.0010418i,0.00089112-0.00060972i,-0.00021682-0.00064667i,-0.00084022-0.0006284i,-0.00080141+0.00060965i,-0.00061992+0.00044186i,0.00037495-0.00073681i,0.0011061+0.00012259i
0.0012259-0.00088577i,0.0013004-0.00076831i,-0.00032935-0.0010742i,-0.00092786-0.0012436i,-0.00017307-0.00015398i,-0.00010235+0.00094595i,-0.00079442+0.00094048i,-0.0012959+0.0006775i,-0.0010559+0.00068098i,0.00029151+0.00092517i,0.00071691+0.00053903i,0.00026046-2.2357e-05i,0.00048123-0.00046152i,0.00067505-5.4877e-05i,0.00020436+0.00022888i,2.605e-05-0.00049201i,-0.00030708-0.00054531i,-0.00024843-2.1638e-05i,-0.00013528+0.00015564i,-0.00054158-0.00033438i,-0.00047247+4.7891e-05i,-0.00034928+0.00041006i,-0.00022236-0.00011294i
0.00094416+0.0012001i,0.0016059+0.0013837i,0.0012329+0.0016058i,8.9423e-05+0.0010505i,5.8871e-05+0.00078502i,0.00092926+0.00090372i,0.0010143+0.00046382i,0.00054072-0.00018358i,0.00046783-0.00038921i,0.00069538+0.00032698i,0.0007559+0.00035728i,0.00054067-0.00022857i,-2.9374e-05-0.00028676i,-8.1158e-05-0.00019518i,0.00018067+0.00025852i,0.00029671+5.4909e-05i,0.00011927-0.00031776i,-6.5682e-05-0.00033907i,-1.4473e-05+0.00012318i,0.00080735+0.00032348i,0.0010984+0.00081574i,0.00021459+0.0010931i,0.0001254+0.00055543i
0.0005505+0.0030067i,0.001018+0.0031783i,0.0029002+0.0030462i,0.0037087+0.001702i,0.0036329+0.00022821i,0.0029489-0.0013036i,0.00092319-0.0018269i,-0.0003781-0.00081191i,-0.00026634-1.8162e-05i,0.00059784+0.00021845i,0.0012063+4.8297e-05i,0.00088714-0.00063558i,-0.00022076-0.00095946i,-0.00061255-0.00053893i,0.00010755-0.0002384i,0.00089602+0.00022924i,0.0010075+0.00044057i,0.00053939+0.00046073i,0.00052634+0.00025205i,0.0007927-0.00092358i,0.00073771-0.0014017i,0.00058173-0.0004753i,8.5665e-05+0.00019025i
-0.00059436-0.0023461i,6.0045e-05-0.0026587i,-0.001858-0.0020451i,-0.0036214+9.9898e-05i,-0.0022251+0.0015811i,5.8097e-05+0.0019272i,0.0004016+0.00050048i,-0.00034002-0.00032114i,-0.00098473+0.00064461i,-0.00035129+0.00080021i,8.7039e-06+0.00011962i,-0.00048562-0.00050712i,0.00012843+0.00014657i,0.00081913+0.0015149i,0.00082224+0.0010401i,0.00068582+0.0001586i,0.00051001-0.00022335i,0.00069381+0.00037672i,0.00083435+0.0011663i,0.00030528+0.0011624i,-0.00022126+0.00061172i,-0.00014567+0.00032831i,-0.00049403-0.00032441i
0.0026736-0.002401i,0.0014674-0.0015959i,0.00098627-0.0023777i,0.00071154-0.0025911i,0.0001649-0.0013252i,-0.0001133+5.7139e-05i,-5.6559e-05-5.4028e-05i,0.00029268-9.9759e-05i,0.00070669+0.00037199i,-0.00036817+0.00038282i,-0.0014693-0.00062274i,-0.0014885-0.00081743i,-0.0010541-9.7749e-05i,-0.00050059-3.9169e-05i,-0.00028628+5.045e-05i,-0.00039813+0.00038134i,-0.00082444-1.88e-05i,-0.0012764-0.0011767i,-0.0011759-0.001698i,-0.00022646-0.0013677i,0.00062283-0.00048995i,0.00028122-0.00029381i,-0.00022302-0.00015138i
-0.0022306+0.00015132i,-0.0025487+0.001333i,-0.0021562+0.0018718i,-0.00045183+0.0018162i,0.0011524+0.00071317i,0.0012415-0.00032817i,1.0145e-05+0.00024753i,-0.00069224+1.2535e-06i,0.0002389+0.00060628i,0.0009704+0.0015585i,0.00060447+0.00078785i,0.00046221+4.7109e-05i,0.00025915+7.6015e-05i,0.00022651-0.00012029i,0.00058665-0.00040295i,0.00039775+0.00031981i,0.00012906+0.00076751i,-0.0001925+0.00053026i,-9.6946e-05+0.00067498i,0.00010463+0.0007376i,-0.0002461+0.00039761i,-0.00011746+0.00012795i,0.00027908+1.138e-05i
0.00092411+0.00037315i,0.0014862+0.0011754i,0.0021678+0.0007103i,0.0014768+0.00036067i,0.0001269+0.00077354i,6.465e-05+0.0011688i,-9.6058e-05+0.00076444i,-0.00038714+0.00018124i,-7.5887e-05-9.233e-05i,0.00025396-0.00067171i,0.00051135-0.00066135i,0.00049954-0.00070771i,0.0001666-0.00017918i,-0.00030437+0.0001437i,-6.7006e-06-0.00020765i,0.00038422+1.6431e-05i,0.00046926+0.00025612i,0.00030966+2.3769e-05i,6.7411e-05+9.8091e-05i,0.00023538-0.00039451i,0.00047369-0.00088942i,0.00034689-0.00095341i,-0.00012294-0.00088606i
0.00080196+0.0010864i,0.0011203+0.00069543i,0.00021343+0.00096111i,-0.0011578+0.0013713i,-4.6887e-05+0.0010932i,0.0016107+0.00088875i,0.0013645-0.0001746i,0.00042281-0.0007556i,0.00028036+0.00030022i,0.00029967+0.00036708i,0.00060411-0.00028052i,0.00090805-0.00026992i,0.00038451-0.00057885i,0.00015555-4.4521e-07i,0.00049993+0.00064052i,0.00053163+0.00048952i,0.00043331+0.00055559i,0.00031048+0.00015863i,-0.00037265-0.00022996i,-0.00072085-0.00017969i,-0.00046082-0.00014732i,4.5153e-06+0.00035159i,0.00062471+0.00066286i
0.0016746+0.00040187i,0.0015812+0.00057828i,0.0020397+0.00080761i,0.0010629+0.00029294i,0.000188+0.00057033i,0.00039877+0.00078954i,0.00031369+0.00028242i,-0.00051599-0.00016865i,-0.00044533-0.00028477i,0.00035751+4.8838e-05i,0.00085304+0.00017853i,0.0010839+8.9489e-05i,0.0012645-0.00028896i,0.00065415-0.0015499i,0.00034996-0.0017853i,0.00030407-0.0011559i,0.00042337-0.0006229i,0.00014652-4.2506e-05i,-0.0002791-0.00010917i,-6.343e-05-7.7102e-05i,5.8019e-05+0.00084373i,-0.00034842+0.00081407i,-0.00048499+5.1085e-05i
-0.00020287-0.00067682i,-0.00024131+0.00024631i,-0.00050571-7.1555e-05i,-0.00073584+0.00049171i,-0.00080504+0.001258i,-0.00018582+0.00095636i,0.00018921+0.00041859i,3.9813e-05+0.00044026i,-0.00010476+0.0003843i,7.7254e-05+0.00024868i,0.00025379+0.00034486i,-0.00013866+9.4729e-06i,0.00016084-0.00034281i,0.00041888+9.0171e-05i,-0.00014721+0.00084228i,-0.00035861+0.00043784i,0.00030516+0.00033996i,0.00045205+0.00026462i,0.00020328-0.00075778i,0.00014708-0.00026479i,-0.00033443+0.0011119i,-0.00029969+0.00074785i,-1.0935e-05-9.9873e-05i
0.00037949+0.0007828i,0.0010362+0.0012072i,0.002286+0.00083848i,0.0023685+2.5253e-05i,0.0011843+0.00027732i,-0.00059255+0.0012082i,-0.0011051+0.00082387i,-0.00077479-0.00028427i,-0.0004478-3.0084e-05i,0.00035826+9.406e-05i,0.0008861-0.00044589i,0.00032081-0.00076462i,-8.3136e-05-0.00092925i,1.2944e-05-0.00029201i,3.1221e-05+0.00096222i,0.00067646+0.0011461i,0.00081266+0.00028972i,0.00032369-0.00047339i,-0.0001421-0.00074838i,0.00015768-0.0010051i,0.00051053-0.00063368i,0.0003956-1.1666e-06i,0.00047304+5.0448e-05i
0.0027101+0.0014104i,0.0036431+0.00055542i,0.0044159+0.00056189i,0.0047365-0.00024162i,0.0036237-0.0010554i,0.0022379-0.0010281i,0.0014393-0.0010049i,0.0010721-9.6419e-05i,0.00032434+0.00067974i,0.0005231-3.647e-05i,0.0012092-0.00066047i,0.00059438-0.00038373i,-2.3427e-05-0.00054755i,-0.00011071-0.00093085i,0.00040086-0.00052713i,0.00067035+4.6318e-05i,-4.2963e-05+7.4178e-05i,-0.00016646-0.00031444i,-6.2293e-06-0.0003893i,-0.00027585-0.0002888i,-0.00036905+5.5332e-05i,-0.00012885+0.00049073i,1.2755e-05-0.00016121i
-0.00020495-0.0011192i,0.00027536-0.00060582i,0.00075875+0.00027362i,0.00083769+0.0006682i,0.00088389+0.00078603i,0.0011554+0.00057171i,0.0011966-1.8514e-05i,0.00010358-0.0006935i,-0.0006657+4.5397e-05i,4.5471e-05+0.0010016i,0.00083989+0.0003697i,0.00072725-0.00013562i,-3.5079e-05+0.00016716i,-0.00021492-0.00021739i,0.00013265-0.00018099i,0.00065358+0.00042062i,0.00089343+1.0928e-05i,0.00070906-0.000647i,0.00087874-0.00010614i,0.00074831+0.00027975i,0.0003909-0.00010332i,-0.00033578-8.6858e-05i,-0.0010187-0.00035167i
-0.00077682-0.0019741i,-0.0017864-0.0026047i,-0.0033199-0.0017143i,-0.0027841+4.8671e-05i,-0.0013764+0.001583i,0.00027395+0.0022709i,0.00082015+0.0013997i,-0.00014704+0.00084033i,-0.0012375+0.00045741i,-0.00067798+0.00032507i,8.026e-05+0.00062406i,0.00021798+0.00047323i,-0.00010106+0.00074618i,-0.00026933+0.0015411i,0.00059903+0.001679i,0.00059429+0.00066629i,0.00031988+0.00033702i,0.00043861+0.0006051i,0.00060317+0.00018652i,0.00050104-4.0556e-05i,-6.5269e-05-0.00034589i,-0.00075516-0.0001143i,-0.00024898+0.00014876i
-0.00090215+0.0027814i,-0.00066774+0.0038363i,0.00039349+0.0041735i,0.0011002+0.0032891i,0.0018422+0.0012661i,0.0020393-1.5244e-05i,0.0013691-0.00014595i,-0.00016252+0.00098373i,-0.00035309+0.0018218i,0.00074414+0.00099802i,0.00097239+0.00015516i,3.6416e-05+0.00021126i,-0.00058995+0.00067544i,-0.00040509+0.00023664i,-0.00017835-0.00012933i,0.00028095+2.0103e-05i,0.0010413+0.00020751i,0.001034+0.00027383i,0.00041686+0.00031364i,0.0004517-0.0002342i,0.0006777-0.0003742i,0.00079191-0.00016084i,0.00074865-0.00085094i
0.0024486+0.0012216i,0.0013812+0.0016371i,0.0014998+0.0019772i,0.00196+0.00040971i,0.001193-0.00047714i,0.00040027-0.00085274i,6.1684e-05-0.0010177i,-0.00038954-0.00022448i,-0.00060056-0.0003621i,8.6018e-05-0.00065203i,0.00031836-0.00058415i,9.0743e-07-0.00073184i,-7.5807e-05-0.00031158i,-0.00020608+0.00011372i,0.00017638+0.00045397i,0.00092077+0.00045357i,0.00033947+0.00031642i,-0.00054846-0.00013797i,7.5871e-06-0.00016365i,0.00071799+0.00020291i,0.00053173+4.2706e-05i,4.9173e-05-0.00023511i,-0.0006296-0.00036972i
0.00066117+0.0020537i,0.00038831+0.0028866i,0.001134+0.0018261i,0.0014552+0.0011501i,0.0015156+0.0011203i,0.0017277+0.00043915i,0.0017827+0.00023031i,0.0015433+0.00074054i,0.001042+0.0010426i,0.00098968+0.00040018i,0.0013002-0.00064977i,0.0013665-0.0009005i,0.00060562-0.00031927i,1.3063e-05+0.00027002i,-0.00035884+0.0001518i,-0.00020583-0.00051056i,0.00056382-0.00095827i,0.00048396-0.0011923i,-0.00055303-0.00052497i,-0.00097204-0.00017517i,0.00014049-0.00038536i,0.00067451-0.00037543i,0.00070619-1.4661e-05i
-0.0011324-0.0021262i,-0.001063-0.0024876i,-0.0017734-0.0029884i,-0.001453-0.0018343i,8.0729e-05+0.00018714i,0.00079286+0.001165i,0.00057693+0.00038768i,0.00039572+0.00049687i,0.0002821+0.0011822i,0.00084817+0.00095429i,0.00094738+0.00059816i,0.00024543+0.00026399i,0.00025332+0.00046098i,0.0011021+0.00084859i,0.0011873+0.00073618i,0.00049907+0.00094575i,-0.00027827+0.00072574i,-0.00070173+4.5106e-05i,-0.00018025+0.00010309i,-0.00015363+0.00023815i,-4.9015e-05+0.0001962i,0.00076794+9.7731e-05i,0.00080229-0.00026046i
-0.0027298+8.3462e-05i,-0.0023769+0.0023255i,-0.0010386+0.0041189i,0.00034792+0.0041668i,0.001328+0.002906i,0.0013287+0.0014085i,0.00088612+0.00038078i,6.7984e-05+0.00031225i,-0.00012966+0.0003516i,0.00030018+0.00024111i,0.00030531+0.00022617i,0.00036979+0.00016892i,0.00023389+0.00024173i,-0.00017618+0.00041119i,-0.00019117+0.00044735i,4.6404e-05+0.00017568i,0.00012015+0.00052308i,0.00048096+0.0006696i,0.0008581+0.00074181i,0.00044866+0.0010564i,0.00024484+0.0012581i,-0.00012966+0.00033487i,-0.00032544-0.00094145i
0.0013817+0.0015045i,0.0017715+0.001931i,0.0018103+0.00081094i,0.0018284+0.00064856i,0.0012825+0.00038849i,0.0012174-0.00095354i,0.00098504-0.00087484i,0.00025418+0.00016344i,0.00053085+0.00065621i,0.00088333+0.00067691i,0.00075509+0.00019022i,0.00047848+4.1361e-05i,0.00041014+0.00071368i,0.00054657+0.00099579i,0.00067838+0.00077916i,-0.00014994+0.00083019i,-0.00092708+0.000456i,-0.00037262-0.00010757i,0.00018325+0.00014465i,-0.00016536+0.00062025i,-0.0012435+0.00048065i,-0.001014+0.00042929i,-3.0409e-05+0.000112i
0.0016773+0.0024162i,0.0020764+0.0031548i,0.0019733+0.0021261i,0.00072218+0.00031834i,0.00071798-0.00070406i,0.0007199-0.00085016i,6.4047e-05+0.00020208i,-0.00020262+0.00086789i,0.00027111+0.0007716i,0.00019774+0.00045992i,-0.00014609+8.229e-05i,0.00018986-0.00068187i,0.00020409-0.0010404i,8.0082e-06-0.00055699i,-8.1868e-05-0.00086244i,-0.00071717-0.0010597i,-0.00079904-0.00056344i,-0.00023796-0.00014037i,-9.3762e-05-0.00040398i,-0.00036367-8.8891e-05i,-0.00095953+0.00054275i,-0.00068361+0.00058835i,0.00043435+0.0012372i
-0.0014664-0.0032931i,-0.0011874-0.0024193i,-0.0011511-0.0013733i,-0.00083604+6.2832e-05i,0.00012947+0.00078559i,0.00076893+0.00095169i,0.00093296+0.00091121i,0.00025146+0.000932i,-0.00088765+0.00067568i,-0.0011759+0.00019047i,-0.00098386-6.9642e-05i,-0.00066488-0.00030255i,7.8919e-05+0.00018676i,0.00083347-0.00010228i,0.0010051-0.00056279i,0.0010033-0.00022558i,5.3818e-05+0.00087314i,-0.00086986+0.0017124i,-0.0007526+0.00073142i,-0.00035383+0.00028133i,-0.00038569+0.0010509i,-0.00034629+0.0011916i,-0.00030087+0.0010398i
-0.0013292+0.00079177i,-0.0016048+0.0015451i,-0.001188+0.0017291i,-0.00088667+0.00064041i,2.635e-05-0.00035513i,0.00036181-0.00019077i,0.00032586-8.8843e-05i,0.00044815+0.00030178i,0.00070189+0.0010104i,0.00048971+0.00094142i,0.00076162-0.00012464i,0.00078871-0.00038505i,0.00011424+0.00018392i,-6.1807e-07+0.00018534i,-0.00023614+7.8292e-05i,-0.00056442+0.00027957i,0.00031521+0.00047184i,0.00011136+0.00042776i,0.00021764+0.00023656i,0.00088455-9.9322e-05i,0.0006494-0.00048497i,0.00055405+8.1171e-05i,0.00032693+0.00017717i
0.0019528-0.00010149i,0.0031719+5.1026e-05i,0.0035294+0.00019711i,0.0026143-0.00052267i,0.0014624-0.00065282i,0.00093065+0.00027942i,0.00084614+0.00041663i,0.0002687-4.3363e-05i,-0.00030743-0.00011135i,-0.00064965-8.6076e-05i,-0.00060364-8.1726e-05i,-0.00030326+0.00011321i,-0.00051748+0.00042508i,-0.00032265+0.00048442i,0.00079618+0.00033559i,0.0011699+0.00016848i,0.00021158+0.00016707i,-0.00032941+0.00029115i,-0.00053907+0.00024005i,-0.00021999+0.00017458i,0.00038314+0.00048661i,0.00079462+0.00018793i,0.00038283-0.00048238i
-0.00219-0.0014421i,-0.0024134-0.0011273i,-0.0016806-0.00050558i,-0.00061953+0.00071727i,0.00044969+0.00064457i,0.0011359-2.8888e-05i,0.00023129+0.00022395i,-8.8488e-05+0.001055i,0.00064837+0.0013784i,0.00099071+0.00104i,0.0013408+0.00010745i,0.0015163-0.0006348i,0.00056823-0.00037275i,-8.0713e-05+0.00018163i,-3.0186e-05+0.00017057i,0.00011859+0.00044625i,0.00043951+0.00060604i,0.00021885+0.00034807i,-0.00044396+0.00081828i,-0.00072881+0.0010338i,-0.00098182+0.00055027i,-0.00065345+0.00041586i,-0.00040621+3.3864e-06i
-0.00098504-1.9564e-05i,-6.2504e-05+0.00090332i,-0.00039779+0.0022247i,-0.00014563+0.0018409i,0.0011544+0.00095035i,0.0020745+0.00058188i,0.0014514+0.00044045i,0.00040695+0.00050533i,0.0002596+0.000489i,0.00013454+0.00044809i,-1.0866e-05+0.0006442i,0.0007157+0.00074164i,0.0010835+0.00049027i,0.0013297+0.00019314i,0.0013419+1.2281e-05i,0.00037638-0.00034199i,0.00014515+2.0577e-05i,0.00014983+0.00077896i,-0.00027916+0.00082966i,-0.0001127+0.0008042i,0.00069777+0.0012188i,0.0011041+0.0013105i,0.00051135+0.00035704i
