-0.001158-0.00068566i,-0.00066474-0.0014666i,-0.00053601-0.0017254i,-0.0010061-0.0012268i,-0.0012209-0.00034115i,-0.0013493+0.00038493i,-0.00052311+0.0013338i,0.00018709+0.0012853i,0.00085137+0.00068269i,0.0014599+0.00016311i,0.00085368-2.4906e-05i,7.5422e-05-1.706e-05i,7.7816e-05-0.00060688i,0.00029935-0.00080901i,0.00034249+9.4411e-05i,0.00030994-8.7882e-05i,0.00081445-0.00043126i,0.0011464-1.7699e-05i,0.00057255-0.00033192i,-0.0004904-0.00022037i,-0.0013739-1.355e-05i,-0.0012698-0.00028417i,-0.00070867-0.00040775i
0.0015572+0.00051906i,0.0005221-0.00025644i,-0.0010813-0.0001802i,-0.0011713+7.7618e-05i,0.00092706-8.4666e-05i,0.0016854-0.00051872i,0.00050526+2.7939e-05i,7.6659e-05+0.00092474i,0.00020105+0.000846i,0.00025808+0.00067358i,0.00031932+0.00059712i,-0.00033875+0.0003495i,-0.00054032+0.00014284i,-0.00084491-0.00010092i,-0.00075089-0.00037328i,-0.00058954-0.00013846i,-0.00071463-0.00036204i,-7.133e-05-0.0006557i,-0.00011116-9.1778e-07i,-0.00088776+0.0003976i,-0.00068888+0.00058722i,-7.0824e-05+0.00094746i,-0.00024652+0.0011109i
0.00025151-0.00010321i,0.00086913+0.00040121i,0.00074714+0.00035674i,0.0004054-0.00091168i,0.0004685-0.0020482i,0.00043655-0.0015103i,-0.00013664-0.00047892i,0.00038482-0.00059572i,0.0015633-0.00072309i,0.0013745-6.4742e-05i,0.00058931+0.00016466i,-9.1064e-05-0.00014485i,0.00059569-0.00033958i,0.00054187+0.00019856i,9.3105e-05+0.00066769i,0.00071459+0.00081852i,0.00096736+0.00052995i,0.00034261-0.00060453i,0.00013921-0.0013404i,-0.00014684-0.00064667i,-0.00050459-0.00019387i,0.00011449+6.0102e-05i,0.00014063-0.00011024i
-0.0020579-2.7619e-05i,-0.0024785+0.0010066i,-0.001898+0.0023542i,-0.0015815+0.0028241i,-0.00058631+0.0015125i,7.496e-05+0.00030221i,-0.0005243-0.0003132i,-0.00016879-0.00065697i,8.8848e-06-5.9735e-05i,2.5073e-05+0.00048098i,0.00045415+0.00045213i,0.00026441+0.00010755i,-0.00017537-1.9955e-05i,-0.00040938-0.00026008i,-0.00046303-0.00052103i,-0.00036935-6.9435e-05i,-1.3707e-05+0.00032131i,3.0021e-05-0.00030918i,3.1483e-05-0.00072154i,-9.223e-05-0.00064027i,-0.00024078-0.00054927i,-0.00011357-0.00043341i,-0.00044246-3.4344e-05i
-0.00069072+0.00076439i,-0.0010489+0.0012731i,-0.0023054+0.0022672i,-0.0024914+0.0019817i,-0.0004348-0.00011857i,0.00013068-8.0055e-05i,-0.00045172-0.00018014i,0.00018767-0.0010187i,0.00034662-0.00054849i,-6.5672e-05+0.00027611i,0.00064647+0.00065226i,0.00091799+0.00071422i,0.00011187+0.00039341i,-0.00029088+9.6094e-05i,-6.1756e-05-0.0001816i,-0.00019686-0.00048285i,-0.00011448-0.00050676i,-5.327e-05-0.00012959i,-0.00015356-2.2279e-05i,0.0002595-0.00031216i,0.00036549-0.00030598i,0.00011549-6.8768e-05i,0.00036616+0.00058723i
-0.0010949+0.0020228i,-0.00067497+0.0016122i,0.00068534+0.0025945i,0.0023165+0.0035174i,0.0029723+0.001945i,0.0019094-0.00044932i,0.00061787-0.0012391i,0.00034859-0.00070738i,0.0005546+0.00015742i,0.0010409+0.00077431i,0.001033+0.00070545i,7.5928e-05-8.9791e-05i,-0.00056783-0.00015306i,-0.00095753-0.00029609i,-0.0011252-0.00063369i,-0.0005087-5.2391e-05i,2.5273e-05+0.0005065i,-0.00010696+0.00013125i,-0.00077692-0.00033218i,-0.00042326+4.2521e-05i,0.00026947+0.00085469i,-0.00030237+0.00040946i,-0.00032402+0.00018148i
-0.0010865+0.00019117i,-0.0018375-0.00024899i,-0.0011734+0.00019846i,0.00057518+0.00097275i,0.0024222+0.00046984i,0.0025023-0.00068392i,0.0015153-0.0014213i,0.00082624-0.00066311i,0.00047031+0.00052843i,0.00067996+0.000779i,0.00056654+0.0013752i,0.0001028+0.00080895i,0.0001509-0.00063649i,-6.9243e-05-0.00072618i,0.00019422-0.00010938i,0.0007451+5.0343e-05i,0.00077192-0.00023562i,0.00041816-0.00047869i,0.00050938-0.00051496i,0.0010286-0.00036477i,0.0015586-0.00035971i,0.0014791-0.00022686i,0.00052699+0.00019525i
0.00022084-0.00020346i,0.0011445-0.0012238i,0.0011629-0.0022169i,0.00015182-0.0015452i,0.00051709-0.00039509i,0.0005375+0.00032546i,-0.00016907+0.00029493i,0.00012522+0.00049162i,0.00075247+0.00026064i,0.00052113+2.8874e-06i,4.7982e-05+0.00035716i,-0.00045394+0.00089354i,-0.0008286+0.00080688i,-0.00068858+0.00034669i,-9.2664e-05+0.00029663i,0.00020792-1.9073e-06i,-8.1146e-05-0.00055191i,6.3024e-05-0.00062658i,5.5201e-05-0.00098694i,-0.00034725-0.00096181i,-7.6925e-05-0.0003929i,0.00013909-0.00050749i,0.00037774-0.00083367i
-0.00018677-0.00068807i,-0.00058167+0.00016485i,-0.00093308+0.00061722i,-0.00021949+0.0013127i,0.00015788+0.00069223i,0.00095098-0.00061293i,0.0011307-4.5236e-05i,0.00066653+0.00082419i,0.0008611+0.00071241i,0.0011671+0.0013371i,0.00067799+0.0019893i,3.7019e-05+0.0011321i,0.00025811+5.5953e-05i,0.0002443-0.00026977i,-0.00050306-0.00025304i,-0.00076305+0.00035884i,-1.5082e-05+0.00084533i,0.00077161+0.00014674i,0.00086855+7.7792e-05i,0.00090021+8.7145e-06i,0.00019336-3.5822e-05i,4.5507e-05+0.00033482i,0.00051398+6.9985e-05i
-0.00080487+0.0010905i,-0.00092662-0.00011122i,-0.00077238+0.0004125i,2.7863e-05+0.00035769i,0.0015355-0.0012161i,0.0015075-0.0024298i,0.00042359-0.0015344i,0.00014971+0.00017016i,0.00048194+0.00081513i,0.0011461+0.00049126i,0.0015938-0.00073738i,0.0010276-0.00073287i,0.00034268-0.0004582i,0.00031227-0.00060293i,6.9636e-05-4.5116e-05i,0.0002679+0.00021436i,0.00082673+0.00034582i,0.0008446+0.00021554i,0.0011465+0.00026545i,0.0006651-0.00071456i,-8.195e-05-0.0017302i,-0.00053568-0.0010605i,-0.00096453+6.9817e-05i
0.00076723+0.00024895i,0.00029845-0.00015092i,0.00021661+0.0010512i,0.00028464+0.0022875i,0.00081957+0.0019803i,0.00186+0.00065945i,0.0013883-8.8162e-05i,-0.0002611+0.00014921i,-0.00013439+0.00020021i,0.00067171-1.7229e-05i,0.00033453+3.5486e-06i,-1.1795e-05+0.00028152i,0.00058441+0.00018153i,0.00055748-0.0001125i,0.00034959-0.00017459i,0.00057992+0.00027338i,0.00099458+0.00027155i,0.0011911-0.00028025i,0.00074035-0.0003884i,0.00018435-0.00072624i,-0.000125-0.00022207i,-0.0001599+0.0002576i,0.00042745-0.00033642i
0.0020502-0.00052997i,0.00049816-0.0010487i,-0.00034821-0.00081938i,-2.1553e-05-0.00064038i,-0.00025297-0.001647i,-0.0010667-0.0017974i,-0.00083891-0.0005606i,5.4098e-05+0.00028647i,0.0010742+1.3357e-05i,0.0014942-0.00024013i,0.0013946+0.00037173i,0.00042627+0.00070468i,-0.00047932+0.00039342i,-0.00055811+0.00028804i,-0.00047797+0.00038222i,0.00031055+0.00070509i,0.00054838+0.0013257i,-0.00016321+0.0010618i,-0.00058516-0.00038073i,-0.00056042-0.00058984i,-9.2061e-05+6.3881e-05i,4.0636e-05-2.6629e-05i,0.00032329+0.00028285i
-3.5359e-05-0.0018277i,0.00041486-0.0024667i,0.00018379-0.0019637i,0.00093688-0.00026191i,0.0017972+1.736e-05i,0.0011207-0.0007936i,2.8406e-05-0.00032912i,0.00044608+0.00051882i,0.00094458+0.00081218i,0.00066086+0.0005015i,0.00036205+7.8673e-05i,0.00058093+9.2342e-05i,0.00067324+0.00015765i,0.00071725+0.00037262i,0.00088069+0.00036987i,0.00092667-0.00034499i,0.00011544-0.00050205i,-0.00021639+0.00069487i,-2.2329e-05+0.00062968i,-0.00035694-0.00065498i,-0.00041996-0.0011486i,0.00018408-0.00063358i,0.00055274+0.00039197i
0.00072715-0.0018934i,-0.00033047-0.00085982i,-0.0017738-0.00039039i,-0.0019525-0.00068709i,-0.0011957-0.00058441i,-0.0010203-0.00065819i,-0.00094724-0.0010201i,-0.00046607-0.0003217i,-7.4874e-05+0.00053917i,0.00014721+0.00081305i,0.00026155+0.00059791i,0.000339-0.00022021i,0.00074602+0.00020411i,0.00074664+0.00073284i,0.00014616+5.1128e-05i,0.00012311-0.00076381i,0.00052019-0.00097085i,0.00032871-0.00039004i,-0.00032832+0.00017156i,-0.00048881+0.00020696i,-0.00067577-0.00016558i,-0.00060545-0.0010371i,-7.9473e-05-0.00016356i
-0.0015903-0.00084387i,-0.0015137-0.00042905i,-0.0016478+0.00038662i,-0.0013391-3.3147e-05i,6.6106e-06-3.5439e-05i,0.00083179+0.00022284i,0.0014868+2.0258e-05i,0.0013942-0.00010826i,0.00082013+0.00070789i,0.0003673+0.00032866i,0.00021319-0.00075206i,0.00038803-0.0005379i,0.00043771+0.00032117i,0.00049083+0.00091285i,0.0002051+0.00074297i,0.00034025-0.00062941i,0.00060684-0.0016085i,0.00061577-0.0016115i,0.00086023-0.00097437i,5.6588e-05+0.00016229i,-0.00066201+0.00090205i,-0.00058092+0.00071046i,-0.00078714-0.00010405i
0.00032615-0.00098049i,0.0010413-0.0010214i,0.00027974-0.00086622i,-0.00046145+0.00022762i,-0.00010409+0.00088796i,0.00027137+0.00030259i,-0.00015971-0.00048374i,-0.00047704-0.00031728i,-9.5459e-05-0.00058134i,0.00027926-0.00081948i,0.00069763+0.00020133i,0.00059637+0.00056855i,0.00033696+0.00019125i,0.00051227+0.00020928i,1.3015e-05+0.00057628i,-9.2809e-05+0.00033988i,2.637e-05-9.1668e-05i,-0.00063575-0.00021695i,-0.00046939+0.00051535i,-0.00053354+0.001494i,-0.00055828+0.0013513i,-0.00027183+0.00032264i,2.3026e-05-0.00021174i
-0.0018853-5.4779e-05i,-0.0017898-0.0001761i,-0.0026655+0.0004287i,-0.0023066+0.0015653i,-9.0763e-05+0.0022838i,0.0014247+0.0011546i,0.00097905-5.8534e-05i,-0.00020224-0.00053039i,-0.00012129+8.7078e-05i,-5.8689e-05+0.0010152i,0.00023578+0.00089578i,0.00096743+0.00025464i,0.0015812-0.00021738i,0.0012255-0.00037828i,0.00076552-0.00039078i,0.00074399+5.7234e-06i,0.001096+0.00027703i,0.0011309-0.00026248i,0.00023788+5.2013e-05i,-8.6119e-05+0.00040251i,-0.0003545+7.4828e-05i,-0.00053778+4.2758e-05i,-0.00028706-8.6143e-05i
-3.4867e-05-0.00046664i,0.00064866+0.00026862i,0.00017287+0.0016949i,-0.00064085+0.0014464i,0.00038781-0.00033764i,0.0014072-0.001317i,0.00050846-0.00086986i,-0.00014806-0.00012688i,0.0002033+0.00019939i,0.0009049+0.00022043i,0.00082224+0.00055732i,0.00075964+0.00062759i,0.00093276-0.00022662i,0.00044918-0.00069961i,-0.0004184-1.5849e-05i,-0.00027575+0.00025749i,-0.0003361-3.7237e-05i,-0.00088639+6.2243e-05i,-0.00084891-4.8311e-05i,-3.709e-05-5.1132e-05i,0.00065777+0.00081469i,0.0010666+0.00093731i,0.001094+0.00053827i
-0.0015183-0.0012763i,-0.0024757+2.3207e-06i,-0.0029235+0.0013991i,-0.00094228+0.0024791i,0.00049673+0.0024705i,0.0012122+0.0014968i,0.001006+0.00055526i,0.00060604-0.0001659i,0.00050769-0.00022258i,-2.825e-05+0.00044708i,-0.00024711+0.0016989i,2.6821e-05+0.001695i,5.8624e-05+0.00054141i,-0.00015751+0.00013539i,-0.00083033-0.00033293i,-0.0010343-0.00090649i,-1.5824e-05-0.00049428i,0.00081505+9.4684e-05i,1.9197e-05+0.00037428i,-0.00098062-0.00054546i,-0.00032951-0.00046305i,0.0004622+0.00030397i,0.00030742+0.00018273i
-0.00021859-0.001415i,-0.0011719-0.0013372i,-0.0022936-0.0023332i,-0.0023636-0.0011047i,-0.00073242+0.00017158i,0.00026712+0.00016346i,0.00057906+0.00035345i,0.0001934+8.9133e-05i,0.00012386-0.00020814i,0.00058646+7.5819e-05i,0.00040822-0.00031233i,0.00050814-0.00037288i,0.000788-2.1477e-05i,0.00051089-0.00066044i,-0.00057359-0.00085809i,-0.00082012-0.00023219i,-1.7981e-05+0.00050384i,0.00062786+0.00020525i,0.0006882-0.00056972i,6.377e-05-0.00046448i,-0.0005997-0.00023844i,-0.00070404-0.00015786i,-0.00011061+0.00017537i
-0.0025429+0.00086347i,-0.0019269+0.00061876i,-0.00069655+0.0019047i,0.0012823+0.0027292i,0.0023317+0.0016224i,0.0016136+0.00068495i,0.0010035+1.7774e-05i,0.0004133+0.00027371i,-0.00050651+0.00086187i,-0.00027514+0.00064474i,-0.0001943+0.00059275i,-0.00047108+0.0010262i,-0.00077689+0.0015444i,-0.00041322+0.0010153i,0.00035568-0.000112i,0.00024215+3.6168e-05i,0.00019171+0.00026823i,0.00018589-6.1013e-05i,-6.1301e-05-0.00025198i,-0.00015827-5.0678e-07i,-0.00030889-0.0001181i,-0.00013735-0.0002893i,0.00052934-0.00048181i
-0.00099332+0.00090804i,-0.0018775-0.00013928i,-0.0019701-0.00059982i,-0.00066314-0.00047582i,0.0010419-0.00053661i,0.00080888-0.00082396i,-0.00029471-0.000784i,-0.00074145-0.00085487i,-0.00063876-0.00094964i,4.0405e-05-0.00099389i,3.5947e-05-0.00059822i,6.0576e-06+0.00026724i,0.0001029+0.00081479i,0.00032457+0.00051262i,0.00029326-0.00029471i,-0.00042998-0.0010522i,-0.00090469-0.00040502i,-0.0014604-0.00013066i,-0.00076847-0.00049193i,0.00011864-0.00071786i,0.0001327-0.00057491i,-0.0003507-0.00037281i,-0.0012506-0.00029935i
0.00053206-0.0011235i,-0.00033176-0.00095771i,-0.00079967-0.0010078i,8.0196e-05-0.00048627i,0.00040107-0.00039913i,0.00021284-0.00078834i,0.00063271-0.00024384i,0.00037418+0.00041333i,0.00019542+5.4251e-05i,0.00041581-0.00063788i,0.00051445-0.00084822i,6.2412e-06-0.00069236i,0.00020719-0.00011279i,0.00029199+0.00050389i,-5.5964e-05+0.00037226i,0.0005815-0.00026571i,0.0010606-0.00037618i,0.00098838+7.2158e-05i,0.00069437-0.00041172i,0.00044103-0.00096912i,0.00029657-0.00037878i,-0.00014361+0.0002637i,-0.00057777+0.00026811i
0.0002973-0.0017453i,-0.00052335-0.0011385i,-0.00055105-0.00085893i,-0.00025021-0.00062763i,-0.00031493-0.00042475i,-0.00057239-0.00044047i,-0.00039237+0.00014448i,0.00032241+0.00092926i,0.000627+0.0011711i,6.5515e-05-2.0901e-05i,0.00019773-3.2739e-05i,0.0010345+0.00080266i,0.001156+0.0013132i,0.00065744+0.001116i,0.00056746-0.00037076i,0.00034177-0.001067i,0.00042037-0.0006756i,0.00067693-0.00047064i,0.00022156-0.0012174i,-0.00028971-0.0012089i,-0.00039433-0.00020604i,0.00038075+0.00067159i,0.00045676+0.0010016i
-9.2804e-05-0.00011687i,-0.00095024+0.00068565i,-0.00027512+0.00052931i,0.00036052+0.00015135i,0.00092895+0.00050589i,0.0018028-0.00014124i,0.0003274-0.00063146i,-0.00066335-0.00011725i,8.8785e-05-0.00049008i,0.00022275-0.00065721i,-0.00018757+0.00021232i,-0.00036268+0.00025571i,-0.00014344-0.00036435i,-0.00033784-0.00037495i,-0.00076693-0.00022648i,-0.00046951-0.00048659i,-0.00015532-0.00097419i,-7.0864e-06-0.00091702i,0.000603-0.00048168i,0.0005169-0.00043248i,-0.00041563+0.00015005i,-0.00064267+0.00068548i,-0.00028139-0.00017042i
0.00049314-0.00026292i,0.00040072-0.00023398i,0.00023738-0.00026647i,-7.7336e-06-0.0003374i,3.4619e-05-0.00026636i,-0.00028055+0.00033692i,-0.00031984+0.00081721i,-0.00016014+0.00060914i,-0.00020426+0.00070296i,-6.8228e-05+0.00058115i,0.00034886+0.00080343i,0.00030561+0.00084196i,0.00031886+0.00068426i,0.00038781+0.00042236i,0.00018046+0.00011254i,-0.00024909+2.3702e-05i,-3.5017e-05-0.00022485i,0.00019555-0.00057651i,0.00034501-0.00072046i,-4.9706e-05+0.00010413i,-0.0011422+0.00055595i,-0.0012091-6.7797e-06i,-0.00068414-0.00053899i
-3.4453e-05-9.9123e-05i,-0.0016456-0.00042636i,-0.001947+0.00028057i,-0.00030436+0.0011485i,0.00035973+0.0012118i,0.00037182+0.00046189i,0.00071795+0.00050083i,0.00073767+0.00077721i,0.00094745+0.00078323i,0.00087813+0.00066669i,0.00069266-0.00015968i,0.00058312-0.00044481i,0.00028286+0.00026646i,-0.00045602+0.0010037i,-0.0002526+0.00089585i,2.9394e-05+3.8704e-05i,-9.9717e-05-0.0002679i,0.00025846-0.00028973i,0.00067754-2.6128e-05i,6.1867e-05+0.00027999i,-0.00031576+0.00011391i,9.0097e-05+9.0682e-05i,0.00011551+0.00024717i
-0.0031326+0.00083344i,-0.0024016+0.00098121i,-0.00094735+0.0025327i,0.0021139+0.0034567i,0.0037481+0.0027638i,0.0029812+0.0010363i,0.00072411-0.00026434i,-0.00084136-0.00027911i,-0.00061745+0.00014073i,-0.00062472+0.00094101i,-0.00056264+0.00082287i,-0.00016951-0.00012866i,0.00027272-0.0006415i,0.00062379-0.00039859i,0.00050251-0.00033786i,0.00040166-0.00070967i,-3.3099e-05-0.00029507i,5.1151e-05-0.00048962i,0.0011352-0.0012749i,0.00088052-0.00056476i,-6.8817e-05+0.00063784i,0.00039405+0.00080813i,0.00054111+0.00055467i
0.00015659+0.00067235i,0.0007678-9.5514e-05i,0.0005847+0.00033086i,0.0014017+0.0012988i,0.0028499+0.0012275i,0.0019105-0.0002265i,0.0013686-0.00080529i,0.0014508-0.00011213i,0.000631+0.0010582i,0.00089716+0.0011059i,0.0013297-1.8965e-05i,0.00052356+8.4474e-05i,-0.00030626+0.00061243i,-0.00047405+0.00054854i,-0.00022355+0.00039126i,0.00044033+0.00010266i,0.00052215-0.00047348i,0.00032752-0.0010159i,0.0011046-0.0013501i,0.0014216-0.0012664i,-0.00016598-0.00091856i,-0.0011856-0.0012824i,-0.00069478-0.0011329i
0.00063284+0.0017959i,0.0013494-1.1178e-05i,0.0017459-0.00088414i,0.0013552-0.00051621i,0.0012209-0.0013946i,0.00078255-0.0019607i,-0.00055118-0.0010827i,-0.00094509-0.00014241i,-0.00054045+9.7109e-05i,-0.00054008+5.5992e-05i,-0.00082464+0.00023901i,-0.00052191+0.00055702i,-0.00028696+0.00038704i,-0.00053888+0.00054319i,3.9422e-05+0.00087781i,0.00072582+0.00078531i,0.0006093+0.00030569i,0.00011642-0.0002854i,0.00023813-0.00090719i,7.0166e-05-0.00087812i,-0.00034856+3.4538e-05i,-0.00037828-0.00050752i,-0.00082603-0.00054033i
0.0012506-0.00060355i,0.0013977-0.0009802i,0.00061831-0.00052971i,0.00011499-4.3515e-05i,0.00049481-0.00043845i,0.0012155-0.00086122i,0.00073359-0.00022228i,-0.00012622+0.00067993i,6.8477e-05+0.00073375i,0.00021322+0.0003592i,-0.00037019+0.00022361i,0.00037406-1.9864e-05i,0.00063427-0.0002868i,6.3403e-05-0.00030711i,-0.00037938+0.0003344i,-0.00066936+0.00091715i,-0.00024799+0.00044127i,0.00065237-5.0304e-05i,0.0010014+0.00012285i,0.00024006+0.00050306i,-0.00025999-0.00026139i,-0.00038651-0.00080021i,0.00015341-0.00046783i
-4.821e-05-0.0011772i,-0.0003879-0.00062771i,-0.00020519-0.00026289i,0.00045505-0.00016102i,0.0012823-0.00011761i,0.0017859+3.2259e-05i,0.0012048-4.3072e-05i,0.00046213-0.0001503i,0.00066857+0.00052152i,0.00071145+0.0016054i,0.00078617+0.0012872i,0.001286+0.00087497i,0.0016429+0.0015784i,0.0011837+0.001516i,0.00069183+0.00068862i,0.00087049+1.3321e-05i,0.00085289-0.00028995i,0.00024192-0.00025514i,-0.00089651-0.00020294i,-0.0013402-0.00034711i,-0.00089503-0.00031801i,0.00026386-0.00015198i,0.00080948+1.8745e-05i
