-0.0026977-0.0016758i,-0.0024867+0.00017658i,-0.003185+0.0017245i,-0.0043914+0.0026803i,-0.0045122+0.0023255i,-0.0027816+0.0014639i,-0.001421+0.0020608i,-0.00088642+0.002577i,0.00013823+0.0026535i,0.00082205+0.002761i,0.0010527+0.0025965i,0.00076025+0.0021009i,0.00026208+0.001261i,-0.00010347+0.0007733i,-0.00017604+0.00061558i,0.00030718+0.00025587i,0.0003071-0.0002681i,-9.0954e-05-0.0002005i,0.00010024+0.00025816i,0.00039293+0.00077204i,1.3416e-05+0.00066835i,-0.0004315-0.00054898i,-0.00025141-0.0010848i
-0.00040923+0.0011084i,-0.0015007+0.001229i,-0.0017203+0.0025755i,-0.0017329+0.0030349i,-0.0021841+0.0018089i,-0.0015687+0.0011924i,-0.00044982+0.00084287i,-0.00054206+0.0012532i,-0.00075714+0.0020512i,-0.0005285+0.0014316i,-0.00022495+0.00042332i,0.00045952+5.8107e-06i,0.0010645-0.00031277i,0.001072-0.00096191i,0.00055298-0.00078689i,0.00063261-0.00037681i,0.00021304+4.3476e-05i,-0.00034737+0.00021075i,-0.000347+0.00033881i,-0.00054273+0.0003491i,-0.00027572+0.00040118i,0.00051064+0.00027512i,0.00037757+0.00014071i
0.0015223+0.00051225i,0.0014814-0.00014937i,0.0010585-0.00039809i,-0.00047037-0.00036516i,-0.0013091-0.00060399i,-0.0015509-0.00056374i,-0.00084381-5.3741e-06i,-0.00044995+0.00035591i,-0.00052204+0.00053397i,-0.00028732+0.0002812i,-0.00013442+2.3113e-05i,-0.00017109+0.00011786i,-0.00041054+1.0764e-05i,-0.00047893+8.15e-05i,-0.00017438+0.00039591i,-0.00050018+0.00079956i,-0.00036601+0.00061913i,0.0005899-0.00047192i,0.0013608-0.00073334i,0.0013141-0.00031235i,0.00036851+0.00046517i,-0.0004484+0.00038877i,-0.00012911+1.0694e-05i
-0.0021308+0.001227i,-0.0026791+0.0016915i,-0.0026813+0.0031245i,-0.0024621+0.0037726i,-0.0021164+0.0032769i,-0.00054601+0.0019664i,0.00081019+0.0011301i,0.00022001+0.0014414i,-0.00023908+0.0014762i,-8.8841e-05+0.00058887i,0.00034355+5.2513e-05i,0.00025981+0.00073079i,0.00053536+0.00032484i,0.0003462+0.00010899i,-0.00025175+0.00078404i,-0.00026856+0.00040514i,-0.00012692-0.00050416i,-3.4985e-06-0.00026659i,-0.00023037+6.4212e-05i,-0.00054306+0.0006553i,-0.00071263+0.00051546i,-0.0003166-0.00015589i,0.00091474+0.00019948i
0.001639+0.00014044i,0.0009711+0.00014113i,0.0012795+0.00068337i,0.00043658+0.00048287i,0.00033993-0.0004731i,0.00052682-0.00060111i,0.00030833-0.00040609i,-5.6137e-05-6.3158e-05i,8.661e-05+0.00056312i,0.00083849+0.00060387i,0.0012751+0.0003754i,0.0010326+0.00066583i,0.00019877+0.00057649i,0.00036768+0.00026316i,0.00048542+0.00019842i,0.00034923+0.00078568i,7.2401e-05+0.0016877i,-0.00043676+0.001322i,-0.00064004-1.8392e-05i,0.00019842-0.00045458i,0.00043043+0.00012913i,0.00013344-0.00016563i,0.00010459-0.00069413i
-0.0021556+0.0018036i,-0.0024356+0.0028191i,-0.0023861+0.0030097i,-0.00091048+0.0034312i,-0.00083484+0.0038347i,-0.00065458+0.0027311i,-1.5155e-05+0.0013177i,1.2607e-05+0.00021244i,9.9366e-05+0.00041513i,0.00058253+0.00068002i,0.0012221+0.00093427i,0.0014223+0.00093393i,0.0012288+4.6345e-05i,0.0016667-0.00063208i,0.0017217+5.1961e-05i,0.0012697+0.00040818i,0.00065529+1.607e-05i,0.00025594-0.00037529i,6.835e-05+3.8859e-05i,0.00030808+0.00070458i,-0.00037645+0.00027691i,-0.00061654-0.00017359i,-0.0002788+3.8391e-05i
-3.2665e-06-0.00070513i,-0.0010028+0.00022411i,-0.0017893+0.00052128i,-0.0022399+0.00031228i,-0.0023847+0.00052695i,-0.0010551+0.001026i,-0.00015089+0.0010707i,0.00014698+0.0011795i,-0.00014113+0.0017471i,-0.00026139+0.0014085i,0.00018094+0.00077541i,0.00022355+0.00018307i,0.00014426-0.0009162i,0.00098132-0.00052231i,0.0018555+9.0716e-05i,0.0013306-3.1186e-05i,5.0676e-05+0.00038565i,-0.00065502+0.0011627i,-0.00042716+0.00024958i,-7.1249e-05-0.00022469i,-0.00034908+0.00051643i,-0.00077818+0.00057624i,-0.00023282+2.6976e-05i
-0.001585+0.00060621i,-0.001283+0.0013533i,-0.0013142+0.001442i,-0.0011259+0.0016826i,-0.00139+0.0019337i,-0.00094981+0.0012655i,-0.00042125+0.0007557i,-0.00086583+0.00028073i,-0.00042132+0.00036995i,8.6457e-05+0.0010919i,0.00021708+0.0012533i,0.00018463+0.00073713i,-0.00030894+0.00039853i,-0.00031434-9.8863e-05i,-5.802e-05-0.00044866i,-0.00037309+0.00025667i,-0.0003772+0.00022962i,0.00030058-0.00045632i,-3.4074e-05+2.5465e-05i,-0.00093857+0.00067582i,-0.00075238+0.00086777i,-0.00015869+0.0003134i,0.00040388-0.00014762i
-0.0011934+7.0195e-05i,-0.0027432+0.00052553i,-0.004256+0.00049463i,-0.0033556+0.00039669i,-0.0019685+0.0011536i,-0.001275+0.0016767i,-0.00054616+0.0011338i,-2.4742e-05+0.00093506i,4.3022e-05+0.0011698i,9.1316e-05+0.0011456i,0.0001761+0.0014022i,0.001072+0.001362i,0.00063405+0.0010024i,-2.2687e-05+0.00069457i,0.00013606+0.00043768i,0.00019826-0.00025555i,0.00020194-0.0011137i,-0.00060912-0.001175i,-0.00097311-0.00038797i,-0.00018603+0.00027694i,0.00054434+0.00030819i,0.00081728+0.00019019i,0.00096762+0.00066223i
0.0011535+0.0020862i,0.001555+0.0017952i,0.00019241+0.0019363i,-0.001496+0.0018144i,-0.0017553+0.00066844i,-0.0012309+0.00095237i,-0.001353+0.0016445i,-0.0015693+0.0012534i,-0.0013457+0.0010907i,-0.00048549+0.00073156i,0.00021372+0.00065749i,0.00024564+0.00069167i,0.00033569+0.00079715i,0.00068076+0.00079779i,0.00025157+0.00085066i,-0.00034704-3.3645e-06i,-7.9256e-05-0.00061254i,0.00038117-0.0002585i,0.0006904+4.97e-05i,0.00021824+0.00031571i,-0.00055359+0.00028261i,-0.00059929-0.00048566i,-0.00036315-0.00026497i
0.00031997+0.00061015i,-0.00096727+0.00026452i,-0.0011302+0.00089953i,-0.00071013+0.0006233i,-0.0012611-0.00042649i,-0.00080351-0.00030275i,0.00050229+0.00034291i,0.0007966+0.00038089i,0.00017246+0.00056399i,-2.9574e-05+0.00057086i,0.00044387+0.00055169i,0.00027237-0.00019897i,0.00052383-0.00058582i,6.5114e-05+0.000239i,-0.00058148+0.00011876i,2.8329e-05-0.00036143i,0.00035462-0.00033411i,0.00089256-0.00035157i,0.001036-7.7765e-05i,-0.00028557+0.00063801i,-0.00055601+0.00080343i,0.00051413+0.00050419i,0.00084571-0.00053335i
-0.0012386+0.0034826i,-0.00054769+0.0037026i,-5.1783e-05+0.0041389i,0.0011087+0.0034963i,0.0012636+0.0018804i,0.00069286+0.00019221i,0.00010437+0.00022079i,-0.00032436+0.00054102i,-0.00017576+0.0006602i,0.00029549+0.001056i,0.00021704+0.0013392i,0.00045785+0.0014422i,0.00070638+0.00070015i,0.00027271+0.00033884i,0.00031301+0.00033919i,0.00026403+0.00027525i,0.00023659-0.00031961i,0.00033961-0.00049683i,0.00025119+0.00091502i,0.00010294+0.0009255i,0.00055778-0.00022503i,0.00092373+0.00050744i,0.00043657+0.00049938i
-0.0018272+0.0007926i,-0.0016522+0.0017701i,-0.000927+0.0030704i,-0.00040827+0.0027034i,-0.00056716+0.0019321i,-0.00050123+0.00063105i,4.4083e-05-0.00065574i,0.00031268+0.00011032i,-8.6334e-05+0.0013323i,-0.00019682+0.0016915i,-0.00067563+0.001257i,-0.00079552+0.0011322i,8.9166e-05+0.001589i,0.00044952+0.0015437i,-1.1493e-05+0.00071373i,-0.00019006-7.322e-05i,0.00029967+0.00025868i,0.00021374+0.00072106i,-0.00076575+0.00046551i,-0.00071414-3.1702e-06i,-6.4169e-05-0.00034689i,-0.00013468-0.00013166i,-0.00017414+7.8246e-05i
-0.00089543+0.0003047i,2.1802e-05-0.00036222i,-0.001333+0.00041993i,-0.0028202+0.00083561i,-0.0018688+0.00019816i,-0.0011501+3.436e-05i,-0.00053958-0.0001288i,-0.00034791-0.00019336i,-0.0011504+0.00063155i,-0.0012055+0.0012035i,-0.00053684+0.0012153i,-0.00043983+0.00099538i,-2.0002e-05+0.00049764i,0.00048508+0.00013824i,0.00039267-0.00014885i,-0.00018613-4.9501e-05i,-0.001105+0.00051294i,-0.00086407+0.00073876i,-0.00048671+0.00040721i,-8.9154e-05-0.00017772i,-8.9047e-05-0.00034864i,-0.00050868-0.00076781i,-0.00028004-0.0008157i
-0.0017578-0.00047774i,-0.0015159+0.00045247i,-0.0025383+0.0018303i,-0.0027532+0.0018838i,-0.0026454+0.0026088i,-0.0015435+0.0023108i,0.00016523+0.00052867i,0.0001878+0.00087322i,-0.00078549+0.0012653i,-0.00065294+0.0013082i,0.00034379+0.002104i,0.0013462+0.0019845i,0.0010421+0.0012984i,-7.0649e-05+0.0011702i,-0.0002837+0.00080646i,0.00015225+0.00019346i,0.00063583+6.7107e-05i,0.00050041+0.00072067i,6.848e-05+0.00059293i,-0.00032651+0.00054537i,-0.00053846+0.00043237i,-0.00050247-0.00020373i,0.0001568+0.0006751i
-0.0017717-0.00046836i,-0.002082-0.00039394i,-0.0028875+0.0016416i,-0.0031706+0.0028248i,-0.0025041+0.0018217i,-0.0016799+0.0012818i,-0.0003439+0.001379i,0.00025162+0.0015788i,-0.00034451+0.0019101i,-0.00043828+0.0018592i,-4.971e-05+0.0013563i,-0.00018983+0.00077786i,3.0417e-07+0.0005479i,0.00041931+0.00015227i,0.00028958-6.0877e-05i,0.00080552+0.00020535i,0.00093898+0.00034749i,0.0002023-0.00039817i,-0.00015063-0.00088308i,-2.8702e-05-0.00054309i,-0.00010182-0.00031802i,-0.00055065-0.00037002i,-0.00029755-0.0002715i
-0.0029089+0.0025948i,-0.0027143+0.0032713i,-0.002053+0.003517i,-0.00057107+0.0040894i,-0.0001634+0.0038671i,-0.00013659+0.0028319i,-0.00046022+0.0013699i,-0.00041902+0.00050276i,-0.00039476+0.0011832i,-0.00069331+0.0021384i,-0.00064846+0.0020561i,-5.331e-05+0.00058959i,0.0003601-0.0001998i,0.00097534+0.00031396i,0.0014667-0.00023268i,0.00046636-0.00057223i,-0.0001579-0.00047802i,0.00015228-0.0006644i,0.00038666-0.00041548i,0.00021886+0.00037154i,-0.00045018+0.00074514i,-0.00053742+0.00047676i,0.00040455-2.7417e-05i
0.00041372+0.00090384i,0.00027283+0.00018013i,-0.0011298-0.00011078i,-0.00209-0.0001556i,-0.0010991-0.00058854i,-0.00035917-0.00049399i,-7.6242e-05+0.00022727i,0.00024505+0.00039274i,0.00031095+0.00043381i,0.00086095+0.00084376i,0.00074928+0.00096065i,0.00040126+0.00093628i,0.00032329+0.00072911i,0.00029426+2.6173e-05i,-2.0547e-06-0.00032217i,-0.00011416-0.00021698i,-0.00059122-0.00025527i,-0.00063905-0.00063651i,-5.8617e-05-0.00021962i,2.6552e-05+0.00026151i,0.00055038+2.6098e-05i,0.00013801+0.00015316i,-4.005e-07+0.0001805i
-0.0017867+8.2216e-05i,-0.0019143+0.0010086i,-0.0018452+0.0025877i,-0.0015655+0.0021162i,-0.0012954+0.0018178i,-0.0019615+0.0016735i,-0.001505+0.00045342i,-0.00021501+0.00027697i,-8.0059e-05+0.00046449i,6.0688e-05+5.4046e-05i,0.00078728+0.0009604i,0.00147+0.0015165i,0.0013686+0.00072446i,0.0010921-2.6705e-05i,0.00048207-0.00037771i,-6.6668e-05-2.4757e-05i,-0.00016332+0.00023287i,0.00027054+0.00023722i,0.00053617-5.7776e-05i,0.00069698-0.00050185i,0.00059647-0.00063085i,0.00045372-0.00028102i,8.0229e-05+0.0005741i
