-0.00056079-0.00062083i,0.00073755-0.0010162i,-8.3848e-05-0.0017776i,-0.0019223-0.0014559i,-0.0036296+0.00028766i,-0.0043913+0.0010013i,-0.0022653+0.0013369i,-0.00078459+0.00085115i,-0.0014632-0.00019099i,-0.0021488-0.00047843i,-0.00065495-0.00037564i,0.00039326+0.00030236i,0.00066649+0.00018232i,0.00060259-0.00079634i,0.0001544-0.0014283i,0.00016099-0.0012845i,5.2711e-05-0.00019171i,0.00017945-0.00037931i,0.0003153-0.00038814i,0.00023266+0.00058466i,0.00075715-0.00027535i,-0.00011857-0.00091618i,-0.0010517-0.00045694i
-0.00067572-0.00018865i,-0.0014862-0.0010863i,-0.00077198-0.0014767i,-0.00097091-0.0005467i,-0.0017894+0.00050077i,-0.0018008+0.0010121i,-0.0011388+0.00031886i,-0.00033249-0.00050764i,-0.00050922-0.0012279i,-0.0016122-0.0013679i,-0.0012825-0.0011992i,-0.00041125-0.00052904i,-0.00066089+8.4121e-05i,-0.00049145-0.00032296i,0.00032015-0.00022362i,0.00083533-0.00012067i,0.00092658-0.00021013i,0.00072875-0.00027447i,0.00034283-0.00045323i,-0.00028758-0.00010682i,-0.00036672-6.6274e-05i,-0.00025708-0.00021682i,-0.00065624-0.0004941i
-0.00022306+0.00042253i,-0.00081582+0.00083919i,-0.00083794+0.001278i,-0.0011339+0.0013425i,-0.0014739+0.0011814i,-0.00098205+0.00074894i,-0.0012575+0.00022489i,-0.0016695-6.1551e-05i,-0.0016254-2.3145e-05i,-0.00097104-2.924e-05i,-0.00039269+0.00011519i,-0.00068871+0.00053453i,-0.0003973+0.00012774i,1.2891e-05+0.00017327i,0.00016223+0.00040973i,0.00034726-0.00015289i,0.00070678-0.00035334i,0.00010951+0.00015767i,-0.00075134+0.00026466i,-0.00019254-0.00062019i,0.00045131-0.0012454i,-0.00024252-0.0011025i,-0.00072163-5.0798e-05i
0.00026187-0.0013452i,-0.00012717-0.0020088i,0.00052955-0.0011862i,-0.00023849-0.00015653i,-0.0017772+2.9524e-05i,-0.0022009+0.00075135i,-0.001984+0.00078933i,-0.00081718+0.00029775i,-0.0001095-0.00029408i,-0.00038223-0.00083774i,-0.00093067-0.00080249i,-0.00077296-0.00057176i,3.0994e-05-0.00018038i,0.00048364+0.00064297i,0.00069797+0.00078962i,0.00054895+0.00031297i,0.00097021+0.0004468i,0.00096194-1.3685e-05i,0.00010504-0.00017246i,0.00027281-2.356e-05i,0.00047103-0.00071514i,-0.00037428-0.00065407i,-0.0010332-0.00052535i
-0.001504-0.0012001i,-0.0012646-0.0002857i,-0.0012192+0.0012347i,-0.0012068+0.0023886i,-0.001314+0.0019369i,-0.00072385+0.0017226i,9.5171e-05+0.0010962i,0.00022461-0.0006701i,-0.00033109-0.0015392i,-0.0011323-0.0010845i,-0.0010815-0.00055808i,-0.00064544-0.00039298i,-0.00036716-0.00013976i,-0.00035546+0.00025485i,0.00033398+0.00034294i,0.0013385+0.00039264i,0.0013627+0.00033373i,0.0010031+0.00018734i,0.00040084-0.00025439i,-0.00022342-0.00061014i,-0.00015156-0.00056336i,0.0006285-0.00011465i,0.00050906+3.4485e-05i
-0.00060762+4.9989e-05i,-0.0013893-0.00011115i,-0.0020593-0.00027892i,-0.002427+0.00027959i,-0.0030296+0.0010671i,-0.0021386+0.00094889i,-0.00083151+0.00075536i,-0.000892-3.3527e-05i,-0.00075104-0.0012275i,-0.00037451-0.00080964i,-0.00063936-4.0527e-05i,-0.00050614+0.0003326i,0.00017212+0.00019956i,0.00019252-5.8562e-05i,-0.00024257-0.00018235i,6.8651e-06+0.00055493i,0.00047297+0.0010897i,-0.00048848+0.00067267i,-0.0008006-0.00019454i,0.00041342-0.0010372i,0.00089266-0.001091i,0.00037894+3.9042e-05i,-0.0002969+0.0004823i
-0.0004209+0.00098256i,-0.0004593+0.00054484i,0.00043903-0.00031318i,0.00017039+1.3334e-05i,-0.0020465+0.0011205i,-0.0030526+0.00062982i,-0.0022144+0.0003162i,-0.00072078-6.5288e-05i,-0.00052234-0.00012585i,-0.0013195-0.00015803i,-0.00092073-0.00042828i,-0.00076837-3.1312e-05i,-0.0010711+0.0006166i,-0.00016331+0.0011974i,0.00038826+0.0017397i,0.00049823+0.0013476i,0.00076039+0.00021115i,0.00051897-0.00042072i,0.0001949-0.00064726i,0.00050844-0.0003554i,0.00044536+0.00039098i,0.00040537+0.00021226i,0.00115+3.75e-05i
-0.0016266-0.0013565i,-0.0011837-0.00073909i,-0.0020796+0.00035618i,-0.0025659+0.0013118i,-0.0022175+0.0020035i,-0.0022107+0.0019498i,-0.0015519+0.0015475i,-0.00036687-2.5891e-05i,-0.00055195-0.0013503i,-0.0014924-0.0012693i,-0.0012305-0.00037552i,-0.00033467+0.00036536i,-5.0276e-05+0.00016604i,-1.1415e-05+0.00030088i,5.5639e-05+0.00011234i,0.00015927-0.00072576i,0.00026021-0.00085403i,0.00016749-0.00058831i,0.00033331-0.00049104i,0.00030296-0.00068112i,0.00049833-0.00056886i,0.00018159-0.00024961i,-0.00032038-0.00011407i
-9.8276e-05-0.001484i,-0.00031099-0.00098422i,-0.00033604-0.00022191i,-0.00077242-4.543e-05i,-0.0023033+3.0991e-05i,-0.002719+8.8717e-05i,-0.0011122-0.00014516i,-5.8827e-05-0.00056654i,-0.0005682-0.00099496i,-0.0010435-0.00089418i,-0.00050924-0.0001697i,-0.00066091+0.00034535i,-0.00072095+0.00012875i,0.00040982+0.00037786i,0.0010758+0.00071307i,0.00055353+0.00056422i,-0.00011002-7.8422e-05i,0.00060024+7.8045e-05i,0.0012638+0.00035321i,0.00081324+0.00030029i,0.00084794+0.00012586i,0.00083122-0.00014362i,0.00013803-0.0005014i
-0.00099018+0.00079819i,0.00020688+0.0011344i,-0.0004278+0.0014244i,-0.0016508+0.0016058i,-0.0016233+0.0012293i,-0.0010508+0.00048395i,-0.00084501+0.00048855i,-0.00087143+0.00064732i,-0.0016863-0.00013509i,-0.0018643-0.00069064i,-0.00084709-0.00048203i,-0.00066826-2.5576e-06i,-0.00042408+0.0003563i,-7.3122e-05+1.7078e-05i,-0.00017373-0.00030147i,8.0224e-05-8.7489e-05i,0.00017604+0.0003691i,0.00039198+0.00023888i,0.00089162+4.5041e-06i,0.00065043+4.3482e-05i,0.00036549+0.00013224i,0.00014053+0.00011644i,-1.7934e-05+0.00075199i
0.00035827+0.0023906i,-0.00049522+0.0014654i,-0.00053272+0.00093346i,0.00016703+0.0011157i,-0.00018982+0.0016177i,-0.0019608+0.0016232i,-0.0022467+0.001049i,-0.0011299+0.00036156i,-0.0013472-0.0011925i,-0.0027317-0.0011836i,-0.002345-0.00020027i,-0.0015622-0.00027647i,-0.00088857-0.00019517i,-0.00018744+0.00015117i,0.00019389-0.00017058i,0.0003489-1.6901e-05i,0.00025934+0.00064394i,0.00012974+0.0010434i,-0.0004166+0.00071766i,-0.00066067+0.00012894i,0.00024367-0.0005918i,0.00038902-0.00015672i,0.00024952+0.00048491i
