0.0023191+0.00012935i,7.2468e-05-0.0012188i,-0.0016644-0.0023685i,-0.0020577-0.0031991i,-0.0022566-0.0026435i,-0.0030857-0.00094407i,-0.0024602+0.00028889i,-0.0007693+0.0006188i,-0.00040169+0.00094985i,-0.00060821+0.00038916i,-0.00090846-0.00010652i,-0.00029924+0.00067884i,-0.00026367+0.0013334i,-0.00062059+0.00073215i,0.00015505+0.00034978i,0.00031953+0.0010503i,0.00026319+0.00094855i,6.7047e-05+0.0006314i,0.00055176+0.00057581i,-0.00027462-0.00016702i,-0.0014088-0.00074257i,-0.0007399-0.00040823i,-0.00031908-0.00038867i
-0.00023214+0.00030159i,0.00040209-0.0002603i,0.00097212+0.0010332i,-8.2612e-06+0.0019086i,-5.5974e-05+0.0014437i,0.00061192+0.00050515i,-0.00056891+2.1413e-06i,-0.00053244+0.00023679i,0.00064032+0.00044331i,0.00047463+0.00063051i,0.0004781+0.0015099i,3.802e-05+0.0012356i,-8.1187e-06+0.00017278i,-3.2165e-05+0.00085307i,-0.0001903+0.0015385i,8.9024e-05+0.0011306i,0.00038588+0.00025398i,0.00059887+0.00016761i,0.00070887+0.0008955i,0.00011693+0.00082672i,-3.2688e-05-0.00015i,-0.00021603-0.00081171i,0.00018784-0.00029838i
-0.00053183+0.00049724i,-0.001534+0.0016607i,-0.0022692+0.0019219i,-0.001786+0.00097519i,-0.0014418-2.91e-05i,-0.0017548-0.00031893i,-0.0011599-0.00024493i,-4.6755e-05-6.0405e-05i,0.00050346-0.00034122i,0.00054827-0.00028373i,0.0004104+0.00049139i,-0.00015093+0.00057949i,-0.00026131+0.00055163i,0.00064149+0.0011722i,0.00099906+0.00091279i,-3.1644e-05+0.00053107i,-0.00071639+0.00041177i,-0.00038055+4.5656e-05i,0.00044012+0.00059692i,0.00091686+0.00050962i,0.0003521+0.00030386i,-0.00075028+0.00013855i,-0.0014258-0.00026037i
-0.00062129+0.00067163i,-0.0012877+0.00035127i,-0.00099061-0.00059365i,-0.00054623-0.0011159i,-0.0016188-0.00032226i,-0.0021915+0.00032398i,-0.0013777+4.5956e-05i,3.3558e-05+0.00026068i,0.00018962+0.0010137i,-0.00036285+0.0003513i,-0.00045519+7.2906e-05i,-0.00026588+0.0010493i,-0.0001549+0.00093073i,-3.7765e-05-0.00027983i,0.00037357-0.00043546i,0.00052908+0.00046359i,0.00034863+0.00056683i,-0.00091295+4.703e-05i,-0.0014356-0.00085733i,-0.00047286-0.0012222i,-8.85e-05-0.00088567i,0.00044641+0.00018652i,0.00021634+0.00071082i
0.00068659-0.00031414i,0.00085406+0.00037688i,-0.00060555+0.00023313i,-0.0013097-0.00077542i,-0.00098385-0.0006144i,-0.00056103+0.0007146i,-0.00050093+0.0011039i,-0.00049842+0.00022375i,-0.000443-0.00024729i,-0.00044857-0.00053705i,-9.9444e-05-0.00052411i,-9.0478e-05-5.7045e-05i,-0.0001693-0.0002068i,-0.0002167+0.00031677i,-0.0001809+0.0014222i,-0.00029798+0.0011988i,6.3485e-05+0.00043353i,-5.9235e-05-7.4445e-05i,4.8963e-05-0.00019572i,0.00052455-0.00036371i,6.8252e-05-0.00061518i,-0.00025655-0.00046432i,0.00079679-0.00043639i
0.00019888-0.0027608i,-0.00094366-0.0019393i,-0.0019844-0.0014488i,-0.0020374-0.00018009i,-0.0028926+0.00079512i,-0.0023492+0.0014472i,-0.00093018+0.0010488i,-0.00019558+0.00013825i,-7.8431e-05+0.00069279i,-0.00050235+0.00077948i,-0.00080565+5.8716e-05i,-0.00064239-0.00016935i,-0.00036099+4.0319e-05i,-2.9988e-05-0.00015409i,-2.7863e-05-0.00050469i,-0.00050129-0.00016655i,-0.00043507+4.8632e-05i,-0.00018861-0.00043858i,-0.00012807-0.00056959i,-0.00042635-8.8293e-05i,-4.4781e-05+8.8497e-05i,0.000865-0.00016223i,0.00083542+0.00033975i
0.0022258+0.00028303i,0.0017498-0.00024018i,0.00032428-0.00064564i,-0.00030131-0.00080311i,-0.00024761-2.2626e-06i,-0.00061717-0.00022932i,-0.00036127-0.00024607i,0.00047692+0.00024975i,0.00071553+0.0001152i,-8.1089e-05+0.00095645i,-0.0013142+0.0011999i,-0.0015318+0.00010372i,-0.0012809-8.0063e-05i,-0.00095584+0.00016474i,-0.0004427+0.00032929i,-0.00057857+0.00043163i,-0.00070112+0.00034454i,-0.00061432-0.00049534i,-9.2772e-05-0.0011814i,0.00014454-0.00013491i,-0.0001065+0.00035756i,-0.00011164+0.00016423i,-0.00041321-0.00039036i
-0.0014979+0.0018327i,-0.0017575+0.0016811i,-0.00057572+0.00086028i,0.00094276-0.00062884i,0.0014734-0.0013284i,0.00063458-0.00023006i,0.0002064+0.00071202i,0.00030768+0.00017496i,-3.9929e-05-0.00015514i,0.00026243+0.00040061i,0.0006002-0.00014135i,-0.00049856-0.00041915i,-0.001698-0.0004772i,-0.0011953-0.00043473i,-0.00031441-0.00023157i,-0.00021401-0.00038531i,-0.00031245-0.00023986i,7.5235e-05+0.00031129i,0.00056418+0.00045041i,0.00054164-0.00023468i,0.0003694-0.00039226i,0.00017656-0.00044811i,-6.1153e-05-0.00072455i
-0.0031557+0.00041053i,-0.0022799+0.00098705i,-0.00084142+0.0014348i,-0.00025895+0.0018533i,-0.00040899+0.0014597i,-0.000103+0.00013736i,0.00063716-0.00082581i,0.00087977-0.00088573i,0.00030502-0.00092478i,-0.00015045-7.3073e-05i,-0.00045979+0.00071903i,-0.00048809+0.00046572i,-0.00045947-0.00036016i,-0.00032185-0.00044193i,8.6631e-05-0.00025628i,-0.00045376-0.00066057i,-0.0010564-0.00073783i,-0.00044828-0.00011098i,-3.8891e-06-0.00026355i,0.00020221-0.00093471i,0.00069608-0.00063027i,0.00056397-1.6466e-05i,-0.00018036-0.0001327i
0.0013036+0.00054937i,0.00046237-0.00026759i,-0.00094723-0.00047526i,-0.0013343-0.00028802i,-0.0010572-0.0008052i,-0.0012877-0.00096551i,-0.00090214-0.0007255i,-0.00046184-0.0005947i,-0.00016583-0.00032833i,2.0151e-05-0.0003901i,9.0563e-05-0.00062799i,-0.00021241-0.00020003i,-0.00032901+0.00054474i,-0.00032503+0.00061247i,-0.00027551+0.0004049i,-0.00036811+0.00011839i,-0.00037987-0.00011726i,0.00056273-2.9309e-05i,0.00046287-0.00015357i,-0.00051459+4.6799e-05i,-0.0010854+9.7535e-05i,-0.00075822+0.00018401i,-5.689e-05+0.00087472i
