0.0007204+0.001354i,0.00097776-0.00048327i,0.00037201-0.0015277i,-0.00028177-0.0012896i,-0.0011581-0.0016178i,-0.0024226-0.00065978i,-0.0021224+0.0010037i,-0.00069274+0.001394i,-0.00023439+0.0008644i,0.00041518+0.00020388i,0.00098374-0.00020051i,0.00029677+0.00014989i,-0.00023215+0.00021756i,9.9332e-05+5.9094e-05i,-0.0001007+0.00021962i,-0.00043154+0.00049768i,-0.00011509+0.00078695i,0.00010964+0.00045558i,-0.00014222-0.00071119i,0.00034867-0.0015493i,0.00048187-0.0010452i,-0.00039795-0.0002345i,6.0131e-05+0.00041783i
0.00055117+0.00080343i,0.00067674-0.00041498i,0.00053066-0.002193i,-1.2279e-05-0.0033428i,8.3429e-05-0.0024624i,-0.00010651-0.00083898i,-0.00076853+0.0016323i,-0.0013771+0.0031103i,-0.00059671+0.0026496i,0.00074017+0.0010846i,0.0021939-0.00034795i,0.0030726-9.9057e-05i,0.0034009+0.00039964i,0.0023914+0.00033442i,0.00068925+0.00010939i,-0.00027516+0.00055564i,-0.00061114+0.0012244i,-1.798e-05+0.0009364i,0.00066363+0.00068173i,0.0011761+0.00095559i,0.0013869+0.0018051i,0.00095436+0.0022234i,0.00071408+0.0012594i
-7.4318e-06-6.1522e-05i,0.00086149-0.00041023i,0.00085803-0.00071401i,0.00088405-0.0012185i,0.00034506-0.0011504i,0.00036635-0.00092674i,0.0015021+0.00052243i,0.002421+0.0028728i,0.0023802+0.0024714i,0.0011938+0.00076876i,0.00053065-0.00014547i,0.001347-0.00062808i,0.0028673-0.0010686i,0.0029299-0.00098679i,0.0021125-0.00039581i,0.0015835+0.0011178i,0.0019553+0.0016368i,0.0021475+0.00057815i,0.0020065-3.0753e-05i,0.0024268+9.0768e-05i,0.0027448-0.0001662i,0.0027861-0.00087123i,0.0021152-0.0013135i
-0.0007349-0.00023107i,-0.00083826+0.00034877i,-0.00032631+0.00065964i,-0.00021531+0.00081803i,-2.0892e-05+0.00077863i,0.00091196+0.00053421i,0.0024161-0.00077771i,0.0035051-0.001717i,0.0025321-0.0014228i,7.7246e-05-0.00068631i,-0.0011747-0.00029594i,-0.00085821-0.0010134i,-0.00021046-0.0020385i,-0.00038051-0.0016264i,2.9943e-05-0.00093291i,0.0013811-0.00048898i,0.0019219-0.00070212i,0.0013099-0.00062652i,0.0013458-0.00025581i,0.0016486-0.00064267i,0.0013675-0.0012006i,0.00083923-0.001385i,0.00047795-0.0013796i
-0.00025983-0.0015966i,0.00091828-0.0018148i,-0.00073943-0.0017813i,-0.0010945-0.00062475i,4.1512e-05+0.00068662i,0.001544-0.00045526i,0.0022542-0.0035531i,0.0016394-0.0049225i,0.00052073-0.0033682i,-0.00036361-0.00076189i,-0.0004367+0.001309i,-0.00058309+0.0010825i,-0.00074475-0.00089535i,-0.00070421-0.0020736i,-0.00045045-0.0017201i,0.00047419-0.0016998i,0.00026301-0.0019396i,-0.0003043-0.0016255i,0.00043653-0.0012953i,0.00062989-0.00090363i,-0.00018796-0.00049709i,-0.0010723-0.00026363i,-0.0016955+0.00011076i
0.00030364-0.00038103i,0.00066163-0.00084741i,-0.00016937-0.00067245i,-0.0002591-0.00079904i,-0.00018909-0.0023686i,-0.00084658-0.0040694i,-0.0026553-0.0047852i,-0.0047021-0.0038641i,-0.0033578-0.0012091i,-0.00070754+0.0014449i,0.0011092+0.0025718i,0.0013679+0.0029564i,-0.00021324+0.0025234i,-0.00063725+0.0016617i,0.00014694+0.0007541i,0.00041327-0.00054311i,-0.00052675-0.001046i,-0.0016211-0.00037594i,-0.0012334+0.00013601i,-0.00082627+0.00028482i,-0.0012859+0.00038949i,-0.0012925+0.00053291i,-0.00069353+0.0005125i
-0.00079907-0.002537i,0.00074534-0.0025087i,-2.5762e-05-0.0020956i,-0.00074085-0.0013758i,-9.5467e-05-0.00080825i,-0.001171-0.00031693i,-0.0034548+1.8811e-05i,-0.0037528+0.00092825i,-0.0016777+0.0015822i,0.00038094+0.00068408i,0.0012048+0.00017714i,0.0012359+0.0013685i,0.0016798+0.0024674i,0.0016539+0.002475i,0.00086885+0.0022673i,0.00028703+0.0016795i,-0.00052955+0.0014682i,-0.00028281+0.0015956i,0.00022919+0.0019485i,0.00049492+0.002085i,0.0016153+0.0025927i,0.0016198+0.0021514i,0.00066964+0.00026041i
0.0012832+0.0008207i,0.0010647-0.0001302i,0.00053603+0.00040931i,-0.00061613+0.00040177i,-0.0018055-0.00063242i,-0.0020658-2.061e-06i,-0.0028973+0.0028746i,-0.0015469+0.0053182i,0.0018269+0.0036882i,0.0032454-0.00031472i,0.0018243-0.0020362i,0.001374-0.0016266i,0.0025139-0.0010504i,0.0024766-0.0007811i,0.001159-0.00043143i,0.00097595+0.0010714i,0.0011783+0.0024313i,0.0011682+0.0023897i,0.001938+0.0016759i,0.0026162+0.0010377i,0.0026506+0.0013514i,0.0023635+0.0010601i,0.0021177-0.00031555i
0.00010005+8.0782e-05i,0.0011749-0.00098893i,0.0011245-0.0025061i,0.00095429-0.0018977i,0.00068534+0.00079737i,0.0021211+0.0032921i,0.0046682+0.0046204i,0.0062593+0.0035676i,0.0047012+0.00024455i,0.0013066-0.0020179i,-0.00026218-0.0019248i,0.0005905-0.0023694i,0.0023502-0.0036642i,0.0028012-0.0034832i,0.0020851-0.0019248i,0.001875-0.00055529i,0.0026638+0.00023495i,0.0028879+0.00019293i,0.002521-0.00052298i,0.0022862-0.00071998i,0.002807-0.00096838i,0.0021496-0.0013082i,0.00026994-0.0015237i
0.0007076+0.00071557i,0.0010497+0.0013088i,0.0015337+0.0021449i,0.0010109+0.0018826i,0.00097016+0.00061899i,0.0025065-0.0013614i,0.005014-0.0035685i,0.0051303-0.0053232i,0.0019326-0.0045254i,-0.0011495-0.0016277i,-0.0027052+0.00023631i,-0.0027626+0.00022065i,-0.002341-0.00080131i,-0.0015353-0.0014028i,-0.00064237-0.0016315i,0.00090229-0.0018042i,0.002299-0.0016302i,0.0021497-0.0012175i,0.0019755-0.0013709i,0.0013163-0.0018317i,0.0002254-0.0023369i,-0.00024178-0.001642i,-0.00045514-0.00030418i
0.00078364-0.00094228i,0.0011944-0.0025023i,0.0011609-0.0023792i,0.00061723-0.0009116i,-2.8049e-05-0.0019724i,-0.00023203-0.0053838i,-0.00071956-0.0082239i,-0.0013297-0.0078756i,-0.0020391-0.0040931i,-0.0010908+0.00027147i,-6.5852e-05+0.0025459i,-0.0013185+0.0027349i,-0.0026911+0.0021864i,-0.0031809+0.0014949i,-0.0023786+0.00036276i,-0.00091221-0.00043575i,-0.0005469-0.00052928i,-0.001077-2.2703e-05i,-0.0012936+0.000982i,-0.0010319+0.00074162i,-0.0013554-0.00049581i,-0.0015252+6.3958e-05i,-0.00056226+0.00094796i
-0.0011037+0.00098258i,0.0002355+0.00019592i,0.0018388-0.00035247i,0.0010639-0.001365i,-0.0010109-0.0023596i,-0.0041064-0.0039359i,-0.008119-0.003761i,-0.0094079-0.00089223i,-0.0058643+0.0021745i,-0.00020351+0.0030845i,0.00235+0.0025871i,0.0020894+0.0023483i,0.0017098+0.0028307i,0.00095197+0.0025607i,7.021e-06+0.0015428i,-0.00075409+0.00074382i,-0.0017897+0.00072552i,-0.0023101+0.0011071i,-0.0018333+0.0010774i,-0.0010879+0.00057513i,-0.00080009+0.00073561i,-0.0013278+0.00063005i,-0.0017657+2.3246e-05i
-0.00017043+0.0013693i,-0.00034396-0.0006009i,0.00026917-0.0017527i,5.2589e-05-0.0015043i,-0.0017275+0.00048279i,-0.0037318+0.0030636i,-0.0055489+0.0062298i,-0.0044816+0.0078286i,-0.00065248+0.0059371i,0.0024199+0.0019392i,0.0035456-0.00070614i,0.0042471-0.00061221i,0.0048981-0.00026305i,0.0036663+7.2407e-05i,0.0016547+0.0011229i,0.00059525+0.0018585i,0.00034853+0.0018594i,0.0010234+0.0019345i,0.0015946+0.0020813i,0.0017642+0.002296i,0.0017987+0.0022408i,0.00098396+0.0008394i,0.00020954-0.00099276i
-0.00060387-0.00035916i,-0.0003829-3.3882e-05i,-0.00076547+0.00049083i,-1.9208e-05+0.0017461i,0.0019304+0.0038595i,0.0039763+0.0053509i,0.005903+0.0065281i,0.0063645+0.005789i,0.0055282+0.0021856i,0.0030937-0.00067496i,-4.2726e-05-0.0020645i,-0.00024017-0.00273i,0.00071296-0.0028927i,0.00099859-0.0024024i,0.001293-0.0013373i,0.001412-0.00035508i,0.0024102-0.00017317i,0.0032568-5.69e-05i,0.0031209+0.00024819i,0.0023975+0.00014287i,0.0020756-0.00063838i,0.0021299-0.00072146i,0.0017748-0.0003108i
0.00032166+0.00089893i,-0.00041815+6.6226e-05i,0.00053995-0.00055212i,0.0024031-0.0012637i,0.00436-0.0021695i,0.0067993-0.003634i,0.0093216-0.0044561i,0.0098291-0.0045103i,0.0068861-0.0042929i,0.0020369-0.0032239i,-0.0010406-0.0025186i,-0.0018903-0.0023921i,-0.0029166-0.0024436i,-0.0025614-0.0024784i,-0.00095812-0.0015258i,0.00061639-0.00054625i,0.0018371-0.00010289i,0.0015601-0.00078677i,0.0008039-0.0017553i,0.0009173-0.0012531i,0.0013013-0.00040524i,0.00068256+3.0237e-05i,-0.00062503-0.00019006i
0.0011601-0.0021884i,0.0014419-0.00095203i,0.00097584-0.00038129i,-0.0004764-0.00089716i,-0.00074151-0.0034026i,0.0013947-0.0068221i,0.0027317-0.010612i,0.0011112-0.01177i,-0.002001-0.0079482i,-0.0040844-0.0017802i,-0.0034117+0.0016911i,-0.0023212+0.0025586i,-0.0018721+0.0016887i,-0.00191+0.0006116i,-0.0016923-0.00025342i,-0.0011314-0.0013207i,-0.0014413-0.0014605i,-0.0014779-0.0013633i,-0.0014072-0.0016526i,-0.0010055-0.0016705i,-0.00038104-0.0012752i,-0.00039788-0.0010067i,-0.00048193-0.00062238i
0.001523-0.0012567i,0.00094469-0.0020324i,-0.0010501-0.0019108i,-0.004065-0.0012637i,-0.0067328-0.0021966i,-0.0087214-0.0034878i,-0.01063-0.0050277i,-0.010388-0.0044411i,-0.0067693-0.0010162i,-0.0026097+0.0019944i,0.0005051+0.0028073i,0.0022165+0.0035712i,0.0021966+0.0048701i,0.001515+0.0040131i,0.00044529+0.0021473i,-0.00035816+0.00044785i,-0.00061872+0.00048987i,-0.00098968+0.0013149i,-0.0010025+0.0010816i,-0.0011218+0.00078071i,-0.00061287+0.00022814i,-8.1212e-05-0.00075582i,0.00028805-0.00043262i
0.0010281+0.00079037i,0.0017702-0.00036199i,0.0024338-0.00084981i,0.0011259+0.00031864i,-0.00084752+0.0018442i,-0.0038029+0.004406i,-0.0078572+0.0069896i,-0.0077055+0.0080563i,-0.0033422+0.0068279i,0.0007405+0.0040828i,0.0022364+0.00070958i,0.0028677-0.00053791i,0.0036007-0.00021762i,0.002914-0.00019942i,0.0014028+0.00037566i,0.00021197+0.001195i,0.00016453+0.0025771i,0.0010253+0.0041183i,0.00092563+0.0037098i,0.00061457+0.0019983i,0.00085632+0.0013989i,-0.00017221+0.0011179i,-0.00043489+0.00074708i
