-0.0033545+0.0014593i,-0.002374+0.00049266i,-0.0021146+0.0010672i,-0.001765+0.0019106i,-0.00092521+0.002802i,-0.00010779+0.001975i,0.00029035+0.0013923i,0.00038303+0.0015894i,0.00070698+0.0010641i,0.00097537+1.1712e-06i,0.00068337-2.2608e-06i,0.00023801+5.183e-07i,4.8814e-05-0.00026793i,0.00021555-0.00066084i,0.00024302-0.00064922i,0.00055317+4.4413e-05i,0.00075348+0.00032049i,0.0006935-6.3947e-05i,0.00078698-0.00028962i,0.00017327-0.00035222i,-0.00056546-1.2769e-06i,-0.0007796+1.3496e-05i,-0.00039207-0.00061499i
-0.0025082-0.00011368i,-0.0029525+0.0015031i,-0.0029337+0.0031598i,-0.001601+0.003333i,0.0006937+0.0023149i,0.0021038+0.0008913i,0.002167+0.00039058i,0.0015463+0.00055427i,-0.00018541+0.00031383i,-0.0013487+0.00015833i,-0.00022576+0.00042403i,0.0011699+0.00013889i,0.0015256+3.1026e-05i,0.00050138-0.00055903i,-0.00042105-0.0015056i,0.00037753-0.0012586i,0.00059905-0.00041676i,3.2807e-05-0.0003712i,-0.00041428-0.0005293i,-0.00027105-0.00024361i,0.00021249+3.3709e-05i,0.00014836-0.00015986i,-0.00025817-0.00064085i
0.00045173-1.1904e-05i,0.00088895+0.00059913i,0.0017927+0.0007837i,0.0017382+0.00043412i,0.0013805+1.9724e-05i,0.00097307+0.00036622i,9.91e-05+0.001062i,1.4772e-05+0.0006438i,-0.00052294+0.00039534i,-0.00042383+0.00054132i,0.00049322+0.00013609i,0.00059331-2.1001e-06i,-0.00010255+0.00031629i,-0.00073395+0.00020119i,-0.00010934+7.5132e-05i,0.00044791+0.00075807i,0.00029941+0.0014449i,0.00045886+0.0010649i,0.00049187+0.00045025i,0.00028391+9.6424e-05i,-7.0761e-05-1.3886e-05i,-0.00057593+0.00058957i,-0.00045987+0.00020589i
0.00039899+0.00076101i,0.00091051+0.00071856i,0.0011762+0.00037203i,0.00090644+0.00034212i,-0.00028325+0.00039486i,-6.9488e-05-0.00019765i,0.00041376-0.00027747i,-0.00049033+9.1653e-05i,-0.00032117+0.00014668i,0.00021202+0.00040003i,-0.00017732-1.5885e-05i,-0.00045773-0.00014259i,-0.00023966+0.00035605i,-0.00023489+0.00039935i,-0.00015878+0.00032175i,-0.00043487+0.00023527i,-9.0141e-06+0.00040736i,0.0010649+0.00066789i,0.00090967+7.9089e-05i,-1.0004e-06-0.00020321i,-0.00013065-0.00022938i,0.00032097+3.0882e-06i,0.00014838+0.00059124i
-0.00053907-0.0015866i,-0.00031284-0.0005431i,-0.00060015+0.00066906i,-0.00034724+0.0015162i,0.00012614+0.0024016i,0.00014991+0.0016465i,0.00015142+0.00031366i,0.00061732+2.0092e-05i,0.00033165+0.00027933i,-3.1551e-05+0.00050838i,-4.3062e-05-6.1796e-05i,0.00064638-1.9608e-05i,0.0014605+0.00086582i,0.0012061+0.00093689i,0.000696+0.00021913i,0.00017728+0.00017723i,0.00021172+0.00019218i,4.145e-05-0.00025563i,0.00014466-0.00048339i,0.00033367+0.00023778i,2.8889e-05+0.00037306i,-0.00017278+0.00045628i,-0.0004406+0.00069376i
-0.0022146-0.00019246i,-0.0012064+0.00076794i,-0.00016058+0.0019246i,0.0010392+0.0019395i,0.00096938+0.0018952i,0.00051766+0.00097989i,0.00048849+0.00064094i,0.00060269+0.00054612i,0.00060009+0.00074266i,0.00079341+0.0010479i,0.0010851+0.00046733i,0.00078811+0.0005972i,0.00084494+0.00017867i,0.00061822-0.00076847i,0.00029597-0.00046699i,2.3053e-05+0.00062286i,-7.8128e-05+0.00087409i,0.00089271+0.00014352i,0.0014648+7.8624e-05i,0.0013532-0.00021559i,0.00071914+7.6728e-05i,0.00011607+2.6261e-05i,0.00030922-0.00051026i
-0.001229+0.0014701i,0.00035335+0.0017656i,0.0022221+0.0018229i,0.0025334+0.0021878i,0.0014968+0.0017269i,0.00083974+0.00063347i,0.00049441+3.1976e-05i,0.00024455+0.00084357i,-0.00014567+0.0010881i,-0.00052303-4.2247e-06i,-0.00011389-2.9368e-05i,0.00061579-0.00028877i,0.00058972-0.00060173i,0.00027373+6.8942e-05i,8.9822e-05+0.00058755i,0.00010673+0.00030931i,0.00042205-4.785e-05i,8.0283e-05-0.00042299i,-0.00027344-0.000686i,-0.00028469-0.00099441i,0.00012374-0.00060581i,0.00032827-4.1423e-05i,9.5896e-05-0.00044217i
-0.0016599+0.00014177i,-0.0012773+0.0012535i,-0.00070013+0.0019177i,-0.00044188+0.00077077i,2.1654e-05-1.2482e-05i,0.0004845+0.00081656i,0.0010306+0.0011544i,0.00093477+0.00052596i,0.0004293+0.0007857i,0.00061674+0.00068871i,0.0009402+0.00033945i,0.00085494+0.00050968i,0.00089983+0.00015593i,0.00087007-6.6593e-05i,0.00057083+0.00015365i,4.7983e-05+0.0010116i,-1.9601e-05+0.0010252i,0.00042334+0.00037235i,0.0010391+0.0003868i,0.001049+0.0011413i,0.00044625+0.0010065i,-0.00039689+1.6585e-05i,-0.00071909-9.4907e-05i
-0.0010473+0.00029141i,-0.00025373+0.00039028i,0.00061744+0.00097622i,0.00064629+0.0016128i,0.00044954+0.0013166i,0.0011379+0.0005411i,0.0011305+0.00048323i,0.00018215+0.00054377i,0.00021533+0.0010946i,0.00031779+0.00095193i,-0.00016492+0.00021233i,7.7488e-05+0.00048741i,0.00049275+0.0003401i,0.00031244-0.00060027i,0.00022401-0.0006706i,7.854e-05-0.00049831i,-4.8506e-05-2.8104e-05i,0.00039567+0.00031525i,0.00044136+5.7082e-05i,-0.00037389-0.00027004i,-0.00065137+0.00010653i,-0.00091588+0.00022726i,-0.00090148-0.00024627i
0.00058628-0.00091253i,0.0014611-0.00055882i,0.0019371+9.9263e-05i,0.0014393+2.2306e-05i,0.00051568-7.0253e-05i,-0.00015914+0.00058265i,-0.00019071+0.0016918i,-3.8542e-05+0.0021062i,0.00061791+0.0018209i,0.0012322+0.00072727i,0.00065986-0.00034727i,0.00050138-0.00016936i,0.00045449-2.7059e-05i,-0.00028217-0.00024502i,-0.0002685-8.9828e-05i,0.00060458+0.00038044i,0.00036684+0.00036767i,0.00035579-0.00016353i,0.00073197+9.4991e-05i,-0.00021149+0.00074865i,-0.00079943+0.00023818i,0.00024928+5.6884e-06i,0.0011339+0.00011912i
0.0018242-0.00043873i,0.0013124-0.0008996i,0.00091796-0.0012163i,-0.00012351+3.9003e-05i,-0.0010928+0.00058497i,-0.0011298-3.7202e-05i,-0.00025703+0.0001687i,0.0003451+0.00048772i,0.00040564-0.00022464i,0.00024093-0.0004258i,3.4313e-05+0.00056605i,-0.0010099+0.00089022i,-0.0014085-0.00035599i,-0.00055537-0.00042905i,0.00029452+0.00025349i,0.00088155+9.8012e-05i,0.00036934-0.00054018i,-0.00031189-0.00052767i,-0.00023286-0.00021232i,-0.00047003+0.00011083i,-0.00069886+0.00013186i,-0.00018446+0.0002699i,-0.00020717+0.00035193i
0.00021079+0.0008947i,0.0014904+0.00092647i,0.0011267+0.0010258i,8.182e-05+0.001192i,-0.00017636+0.00021981i,-0.00027129-0.00042363i,-0.00033675+1.2583e-05i,-0.00051977-0.00066444i,-0.00025252-0.00074143i,-0.00040648+0.00037114i,-0.00065714+0.00044044i,-9.5011e-05+0.00026938i,0.00023133-3.4685e-05i,0.00049651+0.0003423i,0.00052048+0.0010713i,-0.00044595+0.00065706i,-0.00090875+0.00080603i,0.00039983+0.00093146i,0.00080039+0.00032282i,0.0005961+5.5437e-05i,9.6423e-06+0.00018463i,-0.0014364-0.00025298i,-0.0011664-0.0010534i
-0.00034984-0.0014857i,0.0011756-0.00041624i,0.0016484-0.00031167i,0.00010229+0.00038542i,-0.00063713+0.0013099i,0.00015899+0.0016054i,0.00061636+0.0011744i,0.00086331-0.00048026i,0.00128-6.9225e-05i,0.00092886+0.00071359i,0.00082879+4.4453e-05i,0.00060178+0.00012408i,0.00027145-8.0664e-06i,0.00013776-0.0010421i,1.953e-05-0.0011122i,-0.00016739-0.00028619i,-0.00021293-1.5648e-05i,-0.00061902+8.068e-05i,-0.00098413-0.00017383i,-0.00015724-0.00016181i,0.00019779-0.00036039i,-0.00021532-0.00028241i,-0.00053587-3.4077e-05i
-0.00065838-0.0015098i,-0.00062833-0.00045772i,-0.00018012+0.0016774i,-0.00044478+0.0020874i,-0.000103+0.0006839i,0.00092978-8.4361e-06i,0.0010851-4.2674e-05i,-8.0406e-05-0.00040592i,-0.00064587-0.00011896i,-0.00026161+0.00067658i,0.00089034+0.00044753i,0.0015969-8.5113e-05i,0.0010445-0.00018937i,0.00091853-0.00013029i,0.00032844+0.00031833i,-0.00056987+0.00017382i,-7.5876e-06-0.00013571i,0.00054016+0.0007211i,0.00064179+0.00062763i,0.0011642-0.00028906i,0.001205-0.00078793i,0.00084625-0.0014116i,0.00023096-0.00163i
-0.0010066-0.00088125i,-0.0013084-0.00066724i,-0.0011661-0.0011917i,-0.0013163-0.00050352i,-0.0019228+0.00099288i,-0.0017941+0.001836i,-0.00059724+0.0011432i,4.9595e-05+0.0009163i,-0.00038169+0.00056198i,-0.00059889-0.00045671i,-0.00016565-0.00077351i,-0.00010442-0.00021692i,3.4958e-05+0.000188i,0.00047075-0.0004223i,0.00057549-0.00098793i,-0.00024381-0.00046959i,-0.0008972-0.00015297i,-0.00058058-6.9083e-05i,0.00023803+0.00045059i,3.8088e-05+0.00011278i,-0.00064778-0.00057711i,-0.00093654-0.00032509i,-0.00091493+0.00026564i
0.00066809-5.1065e-05i,0.0010655-0.00058943i,0.0014917+0.00030972i,0.0015477+0.0014559i,0.00085373+0.0018193i,0.00064339+0.0014572i,0.0010406+0.00098502i,0.00099706+0.00061932i,0.00047565+0.00024083i,0.00059362+0.00012958i,0.00056412-1.0393e-05i,0.00038946-0.00058822i,0.00042839-0.00058224i,-0.00018543+0.00027495i,-0.00056776+0.00045663i,-0.00029268+6.7598e-05i,-0.00039913-0.00059942i,-0.00052513-0.00016411i,-0.00030734+0.00018608i,0.00054033-6.3308e-05i,0.00086677+0.00045773i,0.00025062+0.00086975i,0.00042812+0.00039579i
0.0011058-0.0019108i,0.0011503-0.00064756i,-0.00012957-0.0002489i,-0.0016802-0.0004946i,-0.0019094+0.00033322i,-0.00079549+0.0011532i,-0.00039558+0.00044931i,-0.00037137-0.00011674i,-0.00012616-5.5988e-05i,3.4672e-05+0.00010584i,0.0006264-0.00045994i,0.00047098-3.6321e-06i,0.00058174+0.00058612i,0.0014598+0.00015328i,0.0017805-6.5898e-06i,0.00083674+0.00015088i,0.00025187-6.027e-05i,-5.491e-06+0.00017155i,-0.00019669+0.00067827i,-0.00015002+0.00054721i,-0.0005736+0.00015157i,-0.00049703+1.0764e-05i,0.00021765-0.00080675i
-0.00099919+0.00059402i,-6.1387e-05+0.0015128i,0.0015321+0.0024353i,0.0015837+0.0011433i,0.0011886+0.00076921i,0.001427+0.0014241i,0.0012887+0.0010877i,0.00067105+0.00084684i,0.00053849+0.00018752i,0.0007583-0.00065826i,0.00079185-0.00033903i,0.00032408-0.00023819i,0.00026624-0.0006184i,-0.00021124-0.00039057i,-0.00072637+0.00048111i,-0.00039567+0.0011254i,0.00048289+0.00081993i,0.00074817+0.00013985i,0.0002877+0.0010447i,0.0003707+0.0011194i,0.00077858+0.00021849i,0.00074865-0.00032278i,0.00038592-0.00014125i
-0.002457-2.8368e-05i,-0.0026534+0.00075097i,-0.002522+0.0016795i,-0.0020888+0.0022157i,-0.0013432+0.0022704i,-0.00027812+0.00088052i,0.00032551-0.00042234i,0.00063948-0.00081125i,0.00038529-0.00043355i,-3.7162e-06-9.8484e-05i,-0.00020876-8.8332e-05i,0.00032547-0.00043289i,0.00069109-0.00061798i,0.0013205-0.000775i,0.0011261-0.00064613i,0.00029886-0.00033043i,0.00048914-0.00073307i,0.00059085-0.0008196i,0.00016804-0.0005278i,-0.00089337-0.00012519i,-0.001217+0.00087442i,-0.0005718+0.00010446i,0.00048653-0.0010888i
-0.0012722-0.001701i,-0.0017337-5.5702e-05i,-0.0014091+0.0012434i,-0.0012881+0.0011538i,-0.0013854+0.0016823i,-0.00055307+0.0023847i,-0.00037468+0.0015817i,-0.00065551+0.0007126i,-0.00021351+0.00010034i,0.00034936+0.00024773i,7.7224e-05+0.00039902i,-0.00022204-6.2628e-05i,1.5086e-05-0.00020961i,0.0002614-0.00020426i,0.00059038-0.00048938i,0.0010064-0.00038737i,0.00087452-0.00028521i,0.00067784-0.00030566i,0.00032982-0.00052624i,0.00014557-0.00033515i,-0.00040326-0.00053972i,-0.00089269-0.00067047i,-0.00078789-6.0793e-05i
9.5052e-05+0.00026875i,0.00086722+0.00048678i,0.00096287+0.00066757i,0.00014564+0.0010712i,-0.00019477+0.0014785i,0.00027654+0.0014252i,0.0011823+0.00068112i,0.00084862-0.0003817i,0.0001811-0.00019619i,-0.00020674+0.00017412i,-0.00036499-0.00038085i,0.00043521-0.00064639i,0.00065469-0.00033603i,0.0004634+0.00026918i,5.7659e-05+0.00020072i,-0.00012509-0.00045609i,0.00015292-0.00048893i,-8.3806e-05-0.00021707i,0.00023642-0.00011337i,0.00090674+0.00051659i,0.00086706+0.00085044i,0.00046704+2.835e-05i,-1.1503e-05-8.534e-05i
0.00022251+6.1353e-05i,5.2513e-05+5.2099e-05i,0.0004721+0.00013337i,1.1347e-05+0.00019511i,-0.0013998+0.00019078i,-0.00062208+0.00061384i,0.00047748+0.00086333i,0.00040404+0.00094786i,0.00054048+0.00098484i,0.00061287+8.9969e-05i,0.0013193-0.0003342i,0.0019076+0.00013693i,0.00085156+0.0002307i,-0.000121-0.00043481i,0.00081303-0.00010506i,0.001246-0.00026031i,0.0010269-0.00079834i,0.0010476-0.00052008i,0.00059144-0.00012925i,-3.6248e-05+0.00023363i,-0.00021952+2.9036e-05i,-0.000162+0.0001108i,-3.6045e-05+0.00054711i
-0.00088866+0.0017637i,0.00034767+0.0010325i,0.00081541+0.00054447i,2.7479e-05+0.00055169i,0.0010929+0.0013904i,0.001903+0.00095036i,0.0017769+0.00060211i,0.0012513+0.00051163i,0.00014077-0.0001674i,-3.8119e-05-9.2077e-05i,0.00065625+0.00038913i,0.0010046+0.00056794i,0.0012949+8.5799e-05i,0.00045696+1.3611e-05i,-0.00049187+0.00048175i,-0.00053191+0.00088426i,-0.00044676+0.0010592i,-0.00021158+0.0007608i,4.9456e-05+0.00013937i,-4.1206e-05+0.00010257i,0.0004223-0.00024645i,0.00053507-0.00048506i,0.00016792+0.00016779i
0.0012482-0.00085888i,0.00052399-0.0014603i,-0.00013506-0.00080124i,-0.0017674+0.00042727i,-0.0023877-0.00015351i,-0.0013135+0.00055757i,-0.00019351+0.00088829i,0.00016195+8.95e-06i,-0.0005592-2.0597e-05i,-0.00086629-0.00018498i,-0.00063136-0.00018267i,-0.00023369+6.8234e-06i,3.9803e-05+0.00026963i,0.00063452+0.00058439i,0.00073735+0.00046298i,0.0010545+0.000247i,0.0014503+0.00044552i,0.00074975+0.00064239i,-1.8526e-05-1.8513e-05i,5.7509e-05-0.00057293i,6.4738e-05-0.0007012i,-0.00048483-0.00054588i,-0.00012213-0.00012142i
-0.00048192+0.0013086i,0.0011449+6.0863e-05i,0.0021258-0.00026469i,0.0012548+0.00062038i,0.00099065+0.0014948i,0.00050584+0.0015254i,-0.00013584+0.00098831i,-0.00037343+0.0001944i,1.65e-05+0.00015329i,0.00025189+0.00049175i,0.00035595+0.00045657i,0.00050012+8.6129e-05i,0.00094994-7.788e-05i,0.0010267+0.0003411i,0.00054+0.000234i,-0.00018087+3.4043e-05i,-0.00068102-0.00040499i,-0.00027351-0.00063928i,-0.00022549-0.00010606i,-0.00056525+0.00056055i,-0.00056646+0.0012002i,-0.00056761+0.00060799i,-0.00049149-0.00028306i
0.0002744+0.002682i,0.00013043+0.0016718i,0.0016027+0.00069409i,0.0018049+0.00066389i,0.00074242+0.00019911i,-0.00072018-0.0010645i,-0.00055544-0.0014787i,-0.00010128-0.00026328i,0.00027442+0.00038433i,0.00096489+1.2219e-05i,0.00094787-0.00028074i,0.0012118+0.00039089i,0.00087854+0.00033671i,-0.0002596+8.658e-05i,-0.0010194+0.00017688i,-0.00056138+3.3775e-05i,0.00027628+0.0002547i,0.00049872+0.00022276i,0.00032228+0.00035611i,0.00015144+0.0011047i,-0.00017613+0.00038969i,-0.00071637-0.00082116i,-0.00095969-0.0009046i
-0.0015335-0.0021153i,-0.001021-0.0014679i,-0.00068244-0.00052633i,-0.00052706+0.0011915i,5.1972e-05+0.0020305i,2.2487e-05+0.00078682i,-0.00020355+0.00014752i,0.00021971-8.0588e-06i,0.00054144-0.00036501i,0.00064183+0.00014633i,0.00044583+0.00051607i,-0.00026296+0.00036292i,-0.00045162+0.00028283i,0.00036946+7.2402e-05i,0.0007569-0.00038967i,0.00093514-0.00044738i,0.00082225-0.0006019i,0.00026165-0.00060269i,0.00018818-0.00026074i,0.00045737+2.5275e-05i,-0.00036072-8.8219e-05i,-0.00021395-0.00066705i,0.00015138-0.00053834i
0.0015938+0.0032825i,0.0013908+0.0021628i,0.0021284+0.0005418i,0.0027037-0.0006842i,0.0019106-0.001204i,0.00024373-0.00043292i,0.00012584+0.00029506i,0.00057501-0.00014677i,0.00099722+2.2552e-05i,0.00091589+0.00020187i,8.1495e-05-5.8061e-05i,-0.00019601-1.5846e-05i,-0.00010454+0.001035i,-0.00010501+0.00084735i,-0.0004844+0.00011702i,-0.00023796+0.00073357i,0.00079383+0.0010372i,0.0016345+4.8824e-05i,0.0010611-0.00036506i,-4.5604e-05-0.00096751i,-1.4308e-05-0.0011351i,-4.7795e-06-1.3898e-05i,-0.00025297+0.00027147i
-0.00017304-0.00022029i,0.00019494-0.00081677i,4.5545e-06-0.0016545i,-0.0011069-0.00066165i,-0.0015531+0.00025395i,-0.00094635+0.00063617i,-0.0005227+0.0011193i,-0.00062251+0.0010168i,0.00022439+0.00078472i,0.0009221+9.2896e-05i,0.0004809-0.00026736i,0.00042668-0.00010413i,0.00075621-3.7834e-05i,0.00026164-0.00032631i,0.00081521-0.00048142i,0.0013137-0.0003856i,0.00071895+2.4047e-05i,0.00023704+0.00047851i,1.1159e-06+0.00056948i,-0.00016469+0.00063303i,-0.0005005+0.00041879i,-0.00059633+6.3662e-05i,-5.7486e-05-0.00016482i
0.00084917+0.000586i,0.0013628-0.00021676i,0.002083-0.0004848i,0.0022852-0.00040851i,0.00079092-0.00026577i,-0.00039729+0.00077332i,0.00010084+0.00074056i,0.0009933-0.00024084i,0.0011874+2.6266e-05i,0.00077284+0.00063783i,0.00091861+0.00089827i,0.00063131+0.0013159i,0.00029121+0.00072514i,0.00026001-0.00013493i,-0.00013652-0.00057071i,6.8181e-05-0.00081973i,0.00073911-0.00029587i,0.00070769+0.00090251i,0.0010119+0.00060935i,0.00096176-0.00012149i,0.00022763-1.113e-05i,0.00023831+0.00090783i,-0.00032592+0.00072577i
-0.0024945+0.0013565i,-0.0014875+0.0019848i,-0.00052169+0.0025277i,0.0005695+0.0026606i,0.001837+0.0023067i,0.0021047+0.00083786i,0.00065524-0.00020928i,-0.00039795-9.7077e-06i,-0.0001447+0.00094835i,0.00036964+0.001358i,0.00083887+0.0011723i,0.00040455+0.000468i,5.2746e-05+8.9161e-05i,0.00036741-0.00037217i,0.00056639-0.00019559i,0.00063962-1.7242e-05i,0.001136-0.00041886i,0.0010483-0.00050579i,-3.6493e-05-0.00025028i,-6.353e-05+6.0013e-07i,0.00026371+0.0002866i,-0.00036927+0.0004953i,-0.00062448+0.00039676i
7.9268e-05-0.00068409i,0.00061087-0.00088942i,0.0011363-0.00090953i,0.0011693-0.00094993i,0.00095681+4.0827e-05i,0.00094927+0.00097206i,0.00056777+0.001037i,0.00044483+6.2689e-05i,0.00046458-0.00027979i,-0.00015369+0.00043118i,-0.00035904+0.0010327i,0.00062233+0.0010165i,0.00099614-0.0001511i,-0.00021899-0.00015188i,-0.0005883+0.00066967i,2.2821e-06+0.00045093i,0.00029136+5.6987e-05i,0.00012634-0.00033237i,-0.00027963-0.00033063i,-0.00026752+0.00030737i,-0.00082338+0.00017256i,-0.0008783+0.00018237i,-0.00012615+0.00032987i
