0.0008568+0.00034372i,0.0011212-0.00080774i,-0.00042767-0.0013429i,-0.001528-0.0012113i,-0.0009863-0.001399i,-0.00045044-0.00093271i,-0.00011369+0.00086165i,0.00084249+0.0022776i,0.0021177+0.0016764i,0.0019418+0.00015541i,0.0011122-0.00038633i,0.00064551-0.00068353i,5.4733e-05-0.00055003i,-2.7858e-05-9.6711e-05i,0.0005236-7.0143e-05i,-9.7975e-05-4.9327e-06i,-0.00059975-3.4973e-06i,4.9996e-06+0.00041037i,5.803e-05+0.0001494i,0.00025555-0.00018654i,0.0001619+0.00026641i,-0.0009073+0.00014485i,-0.0012366+0.00048081i
0.0019494-0.0015078i,0.00080685-0.0019869i,0.00038689-0.0027707i,-0.000359-0.0021934i,-0.00025475-0.0014747i,0.00032915-0.00095316i,0.00026461-5.5477e-05i,-0.00022614+0.00064849i,-8.718e-05+5.2238e-05i,3.8715e-05-0.00025254i,-0.00035575-0.00028015i,-0.00030917-0.0010815i,0.00024662-0.0010015i,4.5446e-05-0.00045355i,0.00044582-0.00036901i,0.00089767+0.0001965i,0.0013388-0.0004622i,0.0014832-0.00049724i,0.00052048+0.00052733i,-0.00059816+0.00017502i,-0.00082605+0.00072536i,-0.00061577+0.0010345i,-0.00045108+0.00069837i
-0.0010911-0.00032491i,-0.00031554-0.0004713i,-0.0003223+0.00042217i,2.6527e-05-5.1927e-05i,0.00081069-0.0007266i,0.00041929-5.0036e-05i,0.00018323+0.00044687i,0.0003115+0.00053852i,0.00038978+0.00093409i,0.00017787+0.00062717i,0.00047075-0.00021458i,0.0011055-8.0694e-05i,0.00085175-9.1041e-05i,0.0003648-0.00037325i,-0.00029762-0.00081161i,-0.00029327-0.0007658i,-3.1629e-05+0.00039623i,-0.00092448+0.001074i,-0.0011155-5.5598e-05i,-4.4259e-05-0.00093246i,0.00044616-0.00081235i,0.00075913-0.00022132i,0.00080477+0.00065427i
0.0015173-0.00029165i,0.0018982-0.00077231i,0.00093143-0.00086755i,-9.8835e-05-0.00069266i,0.000213+0.00011078i,3.6184e-05+0.00016673i,-0.00074319+0.00058042i,-0.00040396+0.00077693i,0.00039075+0.00065011i,0.00031272+2.729e-05i,-5.8954e-05-0.00097995i,6.274e-05-0.0011296i,0.00071085-0.0008995i,0.00095187-0.00060145i,-0.00013371-0.00015292i,-0.00016849+5.3995e-05i,0.0004852+0.00042481i,-0.00022284-6.3295e-05i,0.00013478-0.00040726i,9.0621e-05+2.0963e-05i,-0.00055349-0.00027833i,0.00011402+8.869e-05i,3.984e-05+0.0010842i
-0.0027568+0.00043114i,-0.0013995+0.00012472i,8.9572e-06+0.00086851i,0.00050079+0.0015509i,0.00060107+0.00097552i,0.0011463+0.0010194i,0.00024592+0.00064043i,-0.00016132+0.00016372i,-0.0002348+0.00030978i,-0.00098315+0.00032456i,-0.00035359+0.00026988i,0.0010056+4.5103e-05i,0.00063896-0.00043659i,0.00019785-0.00078869i,0.00063326-4.3321e-05i,0.00019822+0.00092953i,-0.00028797+0.00038511i,-0.00011765-0.00078506i,5.0016e-05-0.0010612i,0.00064453-0.0007408i,0.00095958+0.00019301i,0.00090405+0.00051505i,0.0010671+0.00051774i
0.00085914-0.00095343i,0.00014219-0.0014377i,0.00025401-0.0015198i,0.00081689-0.0010644i,0.001127+0.00012883i,0.00048538+0.0010082i,0.00012693+0.00070071i,0.00039499+0.00017633i,0.00053197+0.00012624i,6.3739e-05-0.0004809i,0.00013615+2.2282e-05i,7.6376e-05+0.00067244i,-0.0004231-0.00024349i,-0.00053555-0.0010095i,-0.00041594-0.00085778i,-0.00019761+0.00038524i,4.717e-05+0.0011343i,3.7737e-06+0.00073643i,0.00066623+0.00026013i,0.001349+4.3932e-05i,0.00048976-0.00021983i,-0.00064453-0.00057699i,-0.00036267-0.00037605i
0.00071646+0.0011361i,0.00091839+0.00012752i,-8.6353e-05-0.00085377i,-0.00057722-0.0010467i,0.00020776-0.00091444i,0.00065567-0.0011873i,0.00049331-0.00041753i,0.00072211+0.00047877i,0.0010074+0.00033284i,0.00080918-0.00014452i,0.00042435+0.00016587i,0.00032679+0.00019733i,0.00064994-0.00063316i,0.00054972-0.00037684i,0.00032149-0.00020037i,0.00053782-0.00088929i,0.00026429-0.0013329i,-0.00019922-0.00085447i,0.00010937-0.00065433i,-0.00010977-0.00070866i,1.4901e-05-0.00025304i,0.0011885+9.2535e-05i,0.00094928+0.000291i
0.0015074-0.00048337i,0.001684-0.00057987i,0.0020768-0.0013313i,0.0014165-0.001987i,0.00050319-0.0015132i,-0.0004237-0.00059286i,-0.00015124-4.6922e-05i,0.00099614+0.00059381i,0.001297+0.00084658i,0.00020917+0.00027428i,-0.0009992-0.00031546i,-0.00087498+0.00017495i,8.9341e-05+0.00055176i,0.00069686+0.00010998i,6.6628e-05+0.00060635i,-0.00048171+0.00087316i,-0.00019719+0.00062099i,0.00012377+0.0006464i,-0.00015689+0.0002396i,-0.0005766-0.00034421i,-0.00016549-0.00054509i,-4.8263e-05+0.00037014i,-0.00042187+0.00064494i
-0.00040911+0.0014002i,0.0001776+0.0001654i,0.0012033+0.00097292i,0.0010635+0.0011123i,0.00068615+9.6792e-06i,0.00089674-0.00089505i,0.00074077-0.00086239i,0.00042596+0.00023233i,8.3712e-05+0.00082125i,-5.4239e-05+0.00013149i,0.00057421-0.0010775i,0.00051092-0.0010858i,0.00034278-0.00054675i,0.0013961-0.00049311i,0.0018801-0.00056859i,0.0011713-0.00071183i,-3.3726e-06-0.00013922i,-0.00096804-0.00057902i,-0.00051419-0.0011384i,0.00045993-0.00043299i,0.00049964-9.3114e-05i,0.00016112+0.00016839i,-0.00070189+0.00020584i
-0.00057037+0.0014499i,0.00029221+0.00038648i,0.00058883+0.00014549i,0.00059216+5.7089e-05i,0.00075853+0.00020873i,0.00011562+0.00023182i,0.00024985+0.0002202i,0.00052355+0.00071438i,9.3127e-05+0.00049124i,0.00018471-0.00015863i,-7.9256e-05-0.00039128i,-0.00022933-0.00034102i,0.00048281-0.00035945i,0.0010801-0.00051857i,0.0008589-0.00048927i,0.00048779+0.00023089i,0.00019693-0.00015294i,0.00045426-0.00050791i,0.00049537-0.00049274i,0.00025826-0.00034418i,0.00038839-0.00024317i,0.00054188-0.00045054i,0.00055436-0.00036562i
-0.0015733-0.0016128i,-0.0016376-0.0013582i,-0.00091348-0.00091902i,-0.00056877-0.00043282i,0.00014787-0.00047743i,0.00054132-0.00021673i,7.5188e-05+0.00028929i,4.9921e-05-0.00018377i,-0.00044374-9.2038e-05i,-0.00032191+0.00096991i,0.0010193+0.0005154i,0.00042596-0.00058738i,-0.00061202+6.9541e-06i,-0.00026861+0.00067707i,2.1578e-05+0.00031686i,1.7396e-05+2.3979e-05i,8.4937e-05-0.0007425i,-0.00025047-0.00094286i,-0.00058106-0.00013317i,-0.00064117-0.00022604i,-0.00042428-0.00087035i,-0.00038204-0.00074384i,-0.00046387-0.0003897i
-0.001194+0.0002046i,-0.00038336-8.0975e-05i,0.00047334-5.4512e-06i,0.0012974+0.00048501i,0.0014862+0.00033866i,0.00093578+3.4578e-06i,1.5361e-05+0.00049609i,2.6302e-06+0.00078894i,0.00076712+0.00076455i,0.0011342+0.00087841i,0.0012384+0.0003716i,0.0010258-0.0004792i,0.00077923-0.00085746i,0.0005853-0.0011136i,0.0002377-0.00064976i,2.859e-05-0.00048743i,0.00036353-0.00097992i,0.00010965-0.0010258i,-5.7097e-05-0.0014966i,-1.4682e-05-0.0009526i,-6.3504e-05-2.867e-05i,-0.00015588+0.00017523i,-0.00036109+0.00081741i
-0.00035947-0.00107i,0.0001908-0.0015833i,0.0001522-0.0018375i,-0.00063637-0.0013268i,-0.00030054-0.00040569i,-7.5321e-05-0.00018941i,-7.431e-06+8.4023e-05i,0.00010046+0.0010745i,0.00045642+0.0016165i,0.00051709+0.0016167i,5.171e-06+0.0010175i,-0.00010762+0.00032179i,0.00025535+3.4553e-05i,0.00031382-0.00010706i,-0.00042704+2.0955e-05i,-0.0006969+0.00040179i,-0.00043199+0.00021546i,-0.00025604-8.6434e-05i,-0.00070616+5.213e-05i,-0.00092716+0.00029196i,-0.00023325+0.00028875i,-0.00036413-0.00018146i,-0.00016033-0.00049733i
-0.00030996+0.00068569i,-0.00035637-0.00020359i,0.00068923-0.00056636i,0.00084216-0.00040985i,0.00049799-0.00040684i,0.00083783-0.00026412i,-1.0863e-05+0.00024142i,-8.4298e-05+0.00095042i,0.0011361+0.0015464i,0.00077676+0.0010579i,3.5216e-05+0.00012724i,0.00026903+0.00032004i,0.00050534-0.00039672i,0.00096404-0.0018821i,0.001166-0.0016726i,0.00093175-0.00045721i,0.001113+0.00035117i,0.00095075+0.00017994i,-5.9564e-06+6.648e-05i,-0.00056713+3.7836e-05i,-0.00070781-0.00046262i,-0.00024025-0.00032769i,-4.9472e-05+0.00053525i
-0.0013189-0.00066071i,-0.0007902-0.00056292i,-0.00057951+0.00034168i,-7.6439e-05+0.00051212i,0.00095275+0.00074021i,0.0016887+0.0019091i,0.0014814+0.0020725i,0.00038083+0.0014263i,0.00031977+0.00050116i,0.00046107+6.8448e-06i,-7.235e-05+0.00018664i,0.0003865-6.2015e-05i,0.00096923+0.00010783i,0.00041346+0.00064312i,0.00042958+0.00063422i,0.00073302+0.00029946i,0.00040251+0.00070801i,-0.00050208+0.00033436i,1.2203e-05-0.00034297i,0.0007636+0.00017806i,4.1555e-05+0.00082958i,-0.00030431+0.00077684i,-7.7553e-05+0.00057168i
0.0018273+0.00083945i,0.0016405+8.2315e-06i,0.0013209-0.0019187i,0.0007511-0.002916i,0.00029823-0.0022618i,-0.00042365-0.001354i,-0.00021327-0.00046969i,0.00033711+0.00017912i,0.00081425+5.453e-06i,0.00057599-0.00068014i,2.0228e-05-0.0010175i,-8.1622e-05-0.00031989i,-0.0002819+1.6178e-05i,-0.00023229-0.00086995i,6.1875e-05-0.00082307i,-0.00027972-0.00038695i,-0.00066648-9.4075e-05i,-0.00076386+0.00029127i,-0.0010107-2.6902e-05i,-0.0011649-0.00044382i,-0.0013309-0.00062111i,-0.0003756-0.00086255i,0.00020422-0.0007913i
-0.0011431-0.0013861i,-0.00098931-0.00084897i,-0.0013587-0.00093447i,-0.00016406+5.5259e-05i,0.0011063+0.0015905i,0.00062378+0.001906i,-4.2988e-05+0.0013137i,0.00024943+0.00086956i,0.00013221+6.7246e-05i,-0.00045694-0.00010826i,-0.00056828+7.1802e-05i,-0.0002711+0.00046014i,0.00021909+0.00044902i,0.00075425+0.00016449i,0.00029385+0.00017075i,-0.00027468+0.00026529i,-0.00012581+0.00055164i,0.00018022+0.00029126i,0.00058905+0.00016025i,0.0010735+0.00019181i,0.00084964+3.7022e-05i,0.00024673+3.3134e-05i,-0.00054436-0.0010259i
0.00082444+3.6692e-05i,-0.00011564-0.00022706i,-0.0003383-0.0017587i,0.0002869-0.0022201i,0.00017437-0.0015332i,-0.00069061-0.0003424i,-0.00055656+0.00077907i,0.00027427+0.0005547i,0.00078932-0.00026017i,0.0010554-0.000279i,-0.00013015-0.00040525i,-0.00087737-0.00045869i,5.4152e-06-0.00053511i,0.00020173+1.1119e-05i,0.00017605+0.0010413i,7.1663e-05+0.0011101i,-0.0003261+0.0005459i,-2.7676e-05+4.2138e-05i,0.00057118+9.7438e-05i,0.00075542+0.00057207i,-0.00014286+0.00065077i,-0.0010848+0.00053462i,-0.00066716+0.000469i
0.00079124+0.0013944i,0.00090995+0.00048813i,0.0017513-0.00087373i,0.001983-0.0013547i,0.0024024-0.0011981i,0.0019962-0.0011201i,0.00056155-0.00030745i,0.00027884+0.00066238i,0.00071986+0.00092287i,0.00047012+0.00073206i,-9.9211e-05+0.00014933i,-0.00020043-0.0001775i,0.00034431+6.2194e-05i,0.0001604+0.00026086i,-0.0006814+0.00060687i,-0.0005126+7.4199e-05i,-0.00049659-0.00035507i,-0.0004403+0.0001573i,-0.0002925+0.0001972i,-0.00067487-0.00035955i,-0.00026065-0.000151i,-5.384e-06+9.8491e-05i,-0.0006636-0.00014582i
0.0017949-0.00095579i,0.0015034-0.0012964i,0.00076163-0.0015368i,0.00011204-0.0020009i,-0.00049204-0.0015103i,-0.00090565+0.00031245i,-0.00046889+0.0010354i,0.00041567+0.00062307i,0.00068789+0.00033535i,0.00022854+0.00015574i,-0.00066685+0.00019882i,-0.0011326+0.00044428i,-0.00040465-0.00014066i,0.00069063-0.00064332i,0.0018696+1.54e-05i,0.0021829+0.00051606i,0.0008005+0.0002689i,6.4042e-05-5.3098e-06i,0.00097075-0.00071696i,0.0014054-0.0011575i,0.0009761-0.00085015i,0.0003003-0.00047991i,0.0002101-0.00059155i
-0.0016054+0.00035057i,-0.00028481+0.00046517i,0.00069943+0.00039009i,0.00095731-4.7721e-05i,0.00092767-2.7917e-05i,0.0012365+0.0002061i,0.00049078+0.00079084i,-0.00014594+0.0010415i,0.00056414+0.00079934i,0.00046995+0.00057208i,9.9099e-05-0.00026661i,0.00025657-0.00054068i,0.00016043-1.1403e-05i,0.00043905+0.00051407i,0.00093498+0.00043709i,0.00058329-0.00043919i,0.00026391-0.00032446i,-0.00027058+2.368e-05i,8.3171e-05-7.2095e-05i,0.00049637+0.00013997i,-0.00019867+0.00023135i,-0.00055278-0.00040611i,-4.0902e-05-0.00031681i
0.00045509-0.0021636i,0.00031458-0.0032184i,0.00051227-0.0025905i,0.00037399-0.0017982i,-0.00030478-0.00075918i,-0.00076928+0.00010514i,-0.00042332+0.00039281i,6.9032e-05+0.00012274i,0.000299-7.4411e-05i,0.00016108+0.00066237i,-0.0002335+0.00095085i,-0.00019626+0.00062648i,0.00011134-0.0003247i,0.0002084-0.00067472i,-0.00029221+0.000298i,-0.00072928+0.00080196i,-7.3419e-05+0.00055089i,0.00046792+0.00032463i,0.00062943+0.00024248i,0.00032284+0.00043091i,-0.00033512+0.00027653i,-1.8068e-05+0.00033381i,0.00039359+0.00031667i
-1.9818e-05+7.8969e-05i,-0.00043185+9.8901e-05i,-0.00034169+0.00034571i,-0.00060367+0.00044261i,-0.00072429-6.7092e-05i,-0.00092982-0.00034438i,-0.00015768+0.00066965i,0.00046944+0.0012617i,0.00019383+0.00040422i,0.00065597-0.00049351i,0.00091853-0.00010698i,0.00050139+0.00019923i,5.7502e-05-3.2935e-05i,2.4896e-05-1.2145e-05i,0.00046729+0.00051122i,0.00059452+0.0009803i,0.00056694+0.00077703i,0.00015986+0.00068124i,-2.0295e-05+0.00059866i,0.00047632+4.0129e-05i,-3.773e-05-0.00011022i,-0.00017921+0.00046199i,0.00021836+0.00027292i
0.00024952-0.0003089i,0.00058547+0.00014883i,0.000737+0.00071126i,0.00071484+0.0004585i,0.0010036+0.00070874i,0.0020212+0.0011601i,0.0015211+0.001189i,0.00039485+0.00072805i,-8.725e-05+0.00048803i,-7.2898e-05+0.00010293i,0.00037335+0.00041182i,0.00018036+0.000894i,-0.00011564+0.00061068i,0.00015631+0.00065631i,-0.00066027+0.00063264i,-0.0019267+6.7397e-05i,-0.00065805-0.00020585i,0.00054285+0.00034037i,8.3156e-07+0.00040022i,-0.00038397+0.00020567i,-7.6675e-05-0.00028805i,-0.00023532-0.0007951i,0.00016348-0.00054266i
0.0018486+0.0003178i,0.0019734+0.00014676i,0.0019603-0.00025991i,0.0008531-0.00016195i,-3.8137e-05-0.00064581i,0.00034828-0.0010666i,0.00067035-0.00032646i,0.00019054+0.00077327i,-0.00092589+0.00078449i,-0.0014915-4.2346e-06i,-0.00093025+1.7915e-05i,-0.0006695+0.00064195i,-0.00087885+0.00082324i,-0.00048083+0.00067253i,-0.0003322+0.00050511i,-3.7633e-05+0.00020856i,6.1838e-05-0.0001951i,-2.35e-06-0.00026248i,-2.5242e-05+0.00042869i,-0.00012314+0.00028137i,0.00046584-5.6342e-06i,0.00057303+0.00068576i,-5.8534e-05+0.00091573i
-0.00066022-0.00036272i,-0.0008106-0.00068762i,-0.00034891-0.00013766i,4.9797e-05+0.0012283i,0.00060395+0.0017076i,0.0011804+0.00076712i,0.00087313+0.00043178i,0.00029388+0.00039808i,6.3172e-05-0.00022605i,-1.6868e-05+9.5743e-05i,-5.1342e-05+0.00046206i,0.0003697+8.1109e-06i,-7.8703e-05+0.00047i,-0.00055389+0.0014606i,0.00032816+0.000694i,0.0006637-0.00016885i,0.00054026+0.00012447i,8.9966e-05+0.00052593i,-0.00029632+0.00040835i,-0.00032448-9.1079e-05i,-0.00061161-4.7221e-06i,-0.00048042-0.00021131i,-0.0003632-0.0003911i
0.00018727+0.0012557i,-0.00032473+0.00068191i,-5.7792e-05+0.00016781i,-4.4975e-05-0.00060321i,5.3914e-05-0.00094962i,9.9258e-05+0.00034581i,-0.00028048+0.0019633i,3.8458e-05+0.0017675i,0.00031198+9.498e-05i,-0.00031675-0.00026574i,-0.00056527-0.00015358i,-0.00048519-0.00020948i,-0.00023874+0.00023321i,-0.00023042+0.00037239i,-0.00066725-1.3278e-05i,-0.0010471+0.00023441i,-0.00069728+0.00044849i,0.00034879-0.0002172i,0.00045011-0.00029041i,-0.00022653+0.00033421i,-0.00010994+0.00064924i,0.00021806+0.00049185i,-9.0491e-05+0.00032147i
-7.6223e-05-0.00013431i,0.00067861-0.00069928i,0.0013131-0.0003629i,0.002125-3.7613e-05i,0.0020503+0.00020884i,0.0013676+0.00043774i,0.0010121+0.00076909i,0.00042268+0.0016504i,0.0002153+0.0012049i,0.00030031+0.00043259i,-0.00064152+0.00036328i,-0.00053878-0.00081692i,0.00011694-0.00071558i,0.00016822-0.00029094i,0.00069969-0.00046215i,0.0003206+0.00015702i,-0.00040774+0.00038885i,2.8703e-05-0.0004689i,-0.0001162-0.00053414i,-0.00018443+0.00010173i,0.00011395-0.00012808i,0.00034413-0.00046392i,0.00030154-0.00025065i
-0.0015082-0.0011471i,-0.0020957+0.00022863i,-0.0023532+0.0005528i,-0.00035631+0.00020122i,0.0014661-9.6574e-05i,0.0016559-0.00051205i,0.00108-0.0005247i,0.0009943+0.00011631i,0.00076287+0.00039109i,0.00028335+0.00016543i,-0.00015617+0.00010064i,-0.00017714+0.0001387i,0.00030769+0.00018004i,0.00028144+0.00026907i,9.4478e-05+0.00044847i,-8.9899e-05+9.9436e-05i,-0.00046383-0.00010552i,-0.0004759+0.00029033i,8.2588e-05+0.00031874i,0.0005322-0.0001696i,-0.00028805-7.3452e-05i,-0.00070825+0.00028673i,-2.5221e-05+0.00061276i
0.0018784-0.00077203i,0.0021043-0.0021142i,0.0019863-0.0018331i,0.0013278-0.00069471i,0.00030668-0.0003271i,0.00011116+5.2517e-05i,-0.00018979+0.0011921i,-4.0013e-05+0.0016364i,0.00029617+0.00068805i,2.3037e-05-8.2985e-06i,-0.00037965+5.6907e-05i,-0.0008273-0.0004439i,-0.0012167-0.00088989i,-0.00063675-0.00047628i,-0.00015598-0.00037461i,0.00016461-0.00052971i,0.00053859+6.2705e-05i,0.00015653-0.00044187i,0.00028187-0.00076035i,0.00022022+0.00023719i,-5.1543e-05+0.00092094i,2.1186e-05+0.00063867i,0.00016122+0.00033903i
-0.000228+0.00066567i,0.00014189-0.00015703i,-9.4654e-05-0.0012478i,0.00086746-0.0005898i,0.0014587+0.00048754i,0.0018104+0.00024712i,0.0010353-0.00020304i,0.00037375-0.00039117i,6.2751e-05-0.0004807i,0.00013565-0.00024618i,-0.00028564-0.00022083i,-0.0011736-0.00043588i,-0.00086067-0.0011638i,4.7143e-05-0.0019512i,0.00063965-0.0010044i,-0.00024849+0.00071241i,-0.0010944+0.00061672i,-0.0010004+0.0003936i,-0.00083179+0.00068147i,-0.0008365-8.2704e-05i,-0.00046983-0.0005666i,0.00042186+0.00030486i,0.0004873+0.00081925i
0.0010598-0.0010601i,7.5559e-05-0.0014192i,-0.00045752-0.00098798i,0.00015444-0.00094342i,0.0004072-0.00086617i,6.0814e-05-0.001232i,5.0724e-05-0.0012729i,0.00034286-0.00048239i,0.00021356-0.00026092i,0.00029579-0.00049135i,0.00036528-5.5198e-06i,-0.00025018+0.0011274i,-0.00054279+0.0011776i,-0.00060966+0.00087718i,-0.00040594+0.00091525i,0.00080907+0.00039123i,0.00087181-7.002e-06i,-0.00018803+0.00010555i,-0.00060311+0.00052273i,-8.9305e-05+0.00014026i,-0.00060241-0.00025335i,-0.00054603+0.00024739i,0.00076359+0.00069226i
