-0.0017528-0.0010924i,-0.0012678-0.0021428i,-0.0012891-0.0019878i,-0.0013003-0.00094658i,-0.0015135+0.00042361i,-0.00099502+0.0015845i,0.00024745+0.0020442i,0.00142+0.0016983i,0.002543+0.0015907i,0.0020485+0.00042803i,0.00037362-0.00049337i,-0.00016843-0.0010802i,-3.5889e-05-0.0014451i,-0.00021702-0.0010119i,-0.00024308-0.0008077i,-4.6742e-05-0.00062816i,8.2816e-05-0.00043994i,0.00033-0.00014824i,0.00078491-9.477e-05i,0.00088521-0.0003449i,0.00043449-0.00032182i,0.00016003+0.00050988i,0.00017856+0.00094071i
0.0019283-0.00056806i,0.0017616-0.0011048i,0.00089658-0.0019361i,-0.00079675-0.001506i,-0.00147-1.8322e-05i,-0.00055099+0.0010286i,0.00037289+0.0015223i,0.0010449+0.0011482i,0.001155+0.00065314i,0.00041609+0.00063603i,0.0002307+0.00056105i,0.00029714+0.00044682i,-0.00049731+0.00046018i,-0.00061724-7.2887e-05i,5.4946e-05-2.7362e-06i,0.00012195+0.00025916i,-0.00011492+0.00024807i,-0.0003425+0.00022753i,0.00014292+3.7228e-05i,0.00049366-4.7224e-05i,9.9137e-05-0.00022136i,5.9741e-05-0.00022902i,0.00014195+0.00012371i
0.0020001+0.00060689i,0.0019235+0.00095766i,0.0021185-0.0008359i,0.00054051-0.0016243i,-0.00039251+4.6443e-05i,0.00031731+0.00084534i,0.00044844+0.0016441i,0.00011052+0.00085864i,0.00036727-0.00065277i,0.00042157-0.00075464i,4.2793e-05-0.0010094i,0.00031423-0.00071985i,0.00087863+6.1635e-06i,-0.00028197+0.0007642i,-0.0013412+0.00078012i,-0.00046394-1.8834e-05i,7.9982e-05+2.0245e-05i,5.14e-05+0.00015501i,-0.00037532+6.8076e-05i,-0.00033698+0.00031794i,0.00011154+0.00010849i,-0.00020083+0.00018123i,-0.0009799-3.097e-05i
0.00069514-0.0014443i,-3.3127e-05-0.0021151i,-0.00014263-0.001998i,0.00042171-0.00079488i,-0.00042754-6.0349e-05i,-0.0012314+0.00047545i,-0.0010946+0.00095073i,-0.00015787-0.00039306i,0.00078166-0.00062251i,8.9045e-05+0.00044141i,-0.00056771+0.00038781i,-0.00031124-0.00028119i,-0.00046434-0.00059502i,0.00012658-0.00077753i,0.0009931+0.00013598i,0.00096387+0.0011967i,-3.3647e-05+0.00074623i,-0.00082878+0.00049925i,-0.0003231+0.00033453i,0.00097771-0.00013261i,0.00076903+0.00013667i,-0.00032231+5.9422e-05i,-0.00065792-7.3069e-05i
0.0012058-0.0006108i,-8.1287e-05+0.00012403i,0.00023776-0.00041448i,0.00083806-0.0013004i,0.00013949-0.00058094i,-0.00016043+0.00046635i,0.00067935+0.00092889i,0.0012094+0.00029229i,0.00051115-0.00063176i,-1.4034e-05-0.00037846i,0.00038562+0.00052464i,0.0005858+0.00066995i,0.00030424+0.00053014i,0.00044039+9.6291e-05i,0.00038775-0.00019877i,-9.9701e-05-0.00031628i,6.0098e-05-0.00029387i,-3.6987e-05+4.3113e-05i,-0.00078323+0.00058781i,-0.00081403+0.0013164i,-0.00031687+0.00095458i,-7.7298e-05+0.00026088i,-4.3325e-05+0.00018864i
0.00021547-0.00030047i,0.00044189-0.00029928i,0.0010016-0.00105i,0.00025016-0.00073706i,-0.00088983-0.00011844i,-0.00086777+0.00059112i,-0.00046231+0.0016008i,-0.00022706+0.0027392i,-0.00047905+0.002687i,-5.4408e-05+0.0011458i,0.0003103-3.47e-05i,-0.00051327-3.3499e-05i,-0.00093513+0.00032716i,-0.00014162+0.00043308i,0.0001894+0.00046822i,-3.0787e-05+0.00035888i,0.00039504+9.9867e-05i,0.00083242-0.00018008i,1.5048e-05+0.00036404i,-0.00087766+0.00037209i,-0.00062966+0.0004486i,0.00024731+0.00094154i,0.00093463+0.00018745i
0.0016301-4.1086e-05i,0.0018651-0.0010837i,0.0022457-0.0016491i,0.0019869-0.0013571i,0.00078873-0.0010485i,-0.00063453+0.00011i,-0.00076078+0.00070442i,-0.0002167+0.00055023i,0.00011735-1.5602e-06i,0.00026622+0.0006919i,0.00025575+0.0010308i,0.00029156-0.00022936i,0.00067101-0.00010859i,0.00047747+0.00087332i,0.00056729+0.0009346i,0.00043013-0.00031925i,-3.1623e-05-0.0012436i,0.00023174-0.00099582i,0.00081825-0.00068781i,0.0012194-0.0008332i,0.0006876-0.00037801i,-9.7285e-05+0.00037616i,0.00022315+0.00071747i
0.00022511-0.0004726i,0.0015729-0.0015855i,0.0012229-0.002112i,0.00029211-0.00012333i,0.00031369+0.002086i,0.00023385+0.0020098i,-0.00043461+0.0015937i,-0.00066563+0.0010747i,9.7606e-05+0.00051021i,9.2399e-05+0.00052464i,-0.00049986+0.00033802i,-7.6642e-05-0.00032731i,0.00013644-0.0011112i,0.00044262-0.0011575i,0.00079207-0.00048449i,0.00078563+0.00026766i,0.0010718+0.00044549i,0.0011541+0.00014059i,0.00077647-2.546e-05i,0.00031268-0.00018168i,-0.0001473-0.00021936i,-0.00012207-0.00025183i,0.00011239-4.6148e-05i
0.0017254+0.0005726i,0.0016365-0.00034505i,0.0013465-0.0013408i,0.0010089-0.001246i,0.00036607-0.00069554i,-0.00026313+0.00017551i,-0.00023976+0.0017305i,-0.00022985+0.0017207i,-0.00063081+0.00071333i,-0.00062317-0.0001633i,-0.00048758-0.00058533i,-4.5607e-05-0.00059734i,9.6331e-05-0.00047837i,-0.00090049-0.00015832i,-0.0012493+0.00043024i,-0.00059861+0.00036006i,-0.00046705+0.00062774i,-0.00059826+0.00095229i,-0.0007454+0.001029i,-0.00024192+0.00057648i,9.637e-05+0.00030749i,0.0003124+0.00015712i,0.00021873+0.0002737i
0.00030202+3.8091e-05i,0.00086839+0.00072341i,0.00084806+0.00034449i,0.00054562-0.00042767i,-0.00081373+0.00020569i,-0.0012282+0.0013947i,-0.0002826+0.0021687i,4.6795e-05+0.0017741i,0.00031652+0.00046144i,8.1257e-05+0.00027059i,-0.00022449+0.0008188i,0.00082874+0.00048809i,0.001473+0.00037804i,0.00054166+0.0002438i,-0.00024207-5.1642e-05i,-0.00025291+0.00045669i,0.0004311+0.00040043i,0.00086946-0.00011522i,0.00051358+0.00029941i,5.518e-05+0.00025966i,0.00025626+0.00019684i,0.00028068+0.00048428i,-0.00034242+0.00060075i
0.00051306+0.00012427i,0.0010514-0.0018047i,0.0019187-0.0021611i,0.0016028-0.0010119i,0.00043094-0.0011715i,-9.348e-05-0.00048586i,-2.8526e-06+0.0016249i,0.00068319+0.0019301i,0.00085207+0.00031974i,0.00052261-0.00039761i,4.0658e-05-0.00080642i,-0.00027126-0.00083431i,2.808e-05-0.00046802i,0.00019832-0.00014584i,-0.00088087-0.00013968i,-0.00064566-0.00078626i,0.00024944-0.0008507i,0.00036035-0.0013959i,0.00083945-0.0014706i,0.00061979-9.0905e-05i,-0.00021633+0.00040461i,-0.00072524+0.00037511i,-0.00054455-0.00012594i
-5.1919e-05+0.00083281i,0.00074816-0.00012724i,0.0012237-0.0005423i,0.00084903-0.00078308i,0.00033807-0.00055089i,9.7574e-05+0.00044196i,-0.00085437+0.00051653i,-0.0006674+0.00046395i,0.00058786+0.0007212i,0.00030431+0.0002668i,-0.00026687-0.000219i,-0.00056672+0.00013671i,-0.0005107+0.0008409i,-0.00011273+0.00095785i,-0.00065126-0.00014866i,-0.00068566-0.0012048i,-0.00024631-0.00049916i,-3.5396e-05+0.00062305i,0.00032952+0.00079341i,0.00063574+0.00066963i,0.00056414+0.00099407i,0.00035572-8.4175e-06i,0.00070066-0.0014609i
0.0010847-0.0029205i,0.00055209-0.0023467i,0.00016909-0.0019198i,-0.00010973-0.00083723i,-0.00033435+0.00010293i,2.3898e-05+0.00051473i,0.00018453+0.00040822i,0.0006346-7.0802e-05i,0.00043926-0.00011741i,-0.00018745-0.00060856i,-0.00099379-0.00050983i,-0.0013263+0.00014204i,-0.00050496-0.00019587i,0.00085078-0.00036165i,0.00092943-0.00025992i,1.0824e-05-0.00020014i,-0.00040482+2.7712e-05i,-0.00031264+0.00015656i,0.00019251+0.00028543i,-2.5379e-06+1.0663e-05i,-2.3591e-05+0.00024134i,0.00050364+0.00023654i,-2.2914e-05-0.00049111i
3.8761e-05+0.00048501i,0.00036366-0.00015901i,0.00015904-0.00062162i,-0.00073666-0.00086164i,-0.00073901-0.00025385i,-5.4445e-05+0.00036534i,0.00033606+0.0010566i,0.00021482+0.0013835i,0.00019386+0.00078336i,0.00033401+0.00020591i,0.00078458+4.5955e-05i,0.00039368-4.1359e-05i,-9.7744e-05-1.3913e-05i,0.0001705-0.00033008i,-0.00042978-0.00059804i,-0.00052854+0.0002325i,-0.00063212+0.00071363i,-0.0013381+0.00035605i,-0.00145+0.0001534i,-0.0011195+4.271e-05i,-0.0005453+0.00042635i,-0.00030894+0.00037009i,-0.00028263-0.00037771i
0.0014325-0.00040119i,0.0016181-0.0016851i,0.00078585-0.0016274i,0.00028009-0.0004482i,0.00025286+0.0001142i,4.6611e-05+0.00044223i,6.8367e-06+0.001011i,0.00056558+0.00093391i,-4.4173e-05+0.00061348i,-0.00084565-0.00026923i,0.00027509-0.00048727i,0.00080268-0.00032632i,9.9533e-05+0.00081545i,-0.00016311+0.00073679i,4.7767e-05-0.00018283i,-0.00013336+3.9649e-05i,-0.00011823+0.00064179i,-4.2973e-05+0.0005223i,-9.5988e-05-0.00024618i,-0.00037265+0.00029283i,-0.00056324+0.00059434i,-1.1731e-05+9.9694e-05i,0.00012488-4.807e-05i
4.0467e-05+0.0013316i,0.0010114+0.00082622i,0.0014077-0.00063751i,0.00083805-0.0012368i,-0.00020263-0.00038131i,-0.0010138+0.0013486i,-0.00068634+0.0016278i,-0.00021485+0.00060221i,-0.00037958-0.00013268i,-0.00026013-0.00035267i,-0.00047582-0.00029361i,-0.00076066-0.00027352i,-0.00039406-0.00028098i,-1.6502e-05+0.0001577i,0.00061107+0.00097389i,0.00059554+0.00089729i,0.00010772-0.00046451i,3.1942e-05-0.00057296i,0.00026965+0.00062377i,0.00027526+0.0004575i,0.00011455-6.3125e-05i,0.00013677-0.00073455i,-1.2345e-05-0.00087006i
0.0028931-0.00073884i,0.0020063-0.0019083i,0.0004715-0.0027723i,-0.00014244-0.0021612i,-0.00052321-0.0005988i,-0.00083608+0.00058337i,-8.1935e-05+0.001398i,0.00075489+0.0016443i,0.0011207+0.0012832i,0.00033734+0.00056265i,-2.2982e-05-0.00016869i,0.00048977-0.00066171i,0.00057257-0.00052984i,9.025e-05-1.7792e-05i,-0.00012422+0.00023728i,-5.4961e-06-2.9346e-05i,0.00024021-0.00066222i,0.00018331-0.00048996i,-0.00035606+0.00026119i,-0.00039532+0.0005416i,-0.00035594+0.00018639i,-0.00074478-0.00034892i,-0.00047494-0.00023202i
0.0021072+0.00074952i,0.0019039-0.00010701i,0.00081543-0.0012373i,0.00030233-0.0020244i,-0.00078938-0.0011522i,-0.0015155+0.00053729i,-0.00068081+0.00093571i,7.317e-05+0.0006715i,0.00055023+0.00042581i,0.00070759+0.00062788i,0.00054206+0.00044312i,0.00072399+0.00036479i,0.00077821+0.0010224i,0.00035042+0.0016355i,0.00028958+0.0014478i,2.5717e-05+0.00081913i,-0.0005162-1.9236e-05i,-0.00067211-0.00035408i,-0.00062983+3.9221e-05i,-0.00031601+0.0001825i,9.3042e-05+0.00032367i,0.0001269+0.00030622i,-7.3916e-05+0.00028196i
-0.00016385+0.00034787i,-0.00028272-0.0012739i,0.00045145-0.00076725i,0.0007414+0.0004003i,-1.8911e-05+0.00036459i,-9.4835e-06+0.00023826i,0.00012393-0.00030792i,0.00039439-0.00021991i,-4.1021e-06+0.00018792i,-0.00047186-0.00012435i,0.00012005-0.00059987i,0.00091436-0.00020718i,0.00062807+0.00078274i,0.00017777+0.0006184i,-0.00016827-0.00018293i,-0.00045697-0.00070146i,-0.00013631-0.00063017i,0.00030812+0.00023403i,-0.00034448+0.00093368i,-0.00042846+0.00035409i,0.00050567-0.00048472i,0.00098309-0.00035982i,0.00047041+0.00058826i
0.00066448-0.0001487i,0.0016486-0.0011324i,0.0022473-0.0017271i,0.00099605-0.0019548i,-0.00031001-0.0010385i,-0.00016428+0.00027478i,0.0003428+0.0006069i,0.00085055+0.00027657i,0.00085978+1.7117e-05i,2.6647e-05-5.3384e-06i,-0.00033411+0.00013164i,-0.00019639+0.00021394i,-9.5411e-05-8.0539e-05i,-0.00035966-0.00026446i,-0.00026837-0.00033169i,1.9913e-05+0.00015031i,-0.00049695+0.00068078i,-0.00064907+0.00079366i,-0.00022214+0.00080427i,0.0002036+0.00039344i,0.0007659-0.00023974i,-3.7174e-05-0.00034266i,-0.0010243+0.000133i
0.0019626+0.0013379i,0.0024082-0.00021477i,0.0017536-0.0005449i,0.00083875-0.0008358i,0.0002721-0.0011664i,9.3671e-05-0.00058713i,-0.00041367+0.0006811i,-0.00065473+0.0011016i,-0.00080691+0.00078026i,-0.00067216+0.00053549i,-0.00025961+0.00042277i,-0.00042233-0.00036871i,-0.00068018-0.00043973i,-0.00020146+0.00030015i,4.308e-05-4.1613e-05i,-0.00068004-0.00037578i,-0.0011707+0.00016256i,-0.00032823+0.00017628i,0.00031099+0.00012706i,0.00013245+0.0010716i,7.2094e-05+0.00083994i,0.00019038-0.00015034i,-0.00018576-0.00038548i
0.00063844-0.00084386i,0.00099379-0.00045483i,0.00041173-0.00063548i,-0.0011808-0.00013181i,-0.0010838+0.0014876i,0.00042518+0.00235i,0.00087046+0.0011073i,0.00094584-0.00075734i,0.00057037-0.00044936i,-2.5024e-05+0.00032394i,0.00045906+4.3886e-06i,0.0012597-0.00020221i,0.0010624+4.6324e-06i,0.00040268-0.00017935i,0.00027268-0.0010809i,0.0003125-0.00095825i,4.1309e-05+0.00035666i,2.0618e-05+0.00099575i,0.00054235+0.00047008i,0.00073112-1.7082e-05i,0.00051734-2.0455e-05i,-0.00045376-0.00013592i,-0.0010775-0.0003183i
-0.00026224+0.0026116i,0.001061+0.0022547i,0.001589+0.0010228i,0.001748+2.2813e-05i,0.0012944-6.3284e-05i,0.0001232+0.00023996i,-0.00020762+0.0012253i,-5.6441e-05+0.0013142i,-0.00030517+0.00044847i,-0.00072828+0.00046892i,-0.00010377-6.2554e-05i,0.00048436-0.00055553i,0.00033066-4.7919e-05i,1.956e-05+5.5061e-05i,-0.00029942+0.00029674i,-0.00055859+0.00043793i,-0.00040565-0.00010542i,0.00015628+2.2334e-05i,0.00071682+0.00064211i,0.00068893+0.00051776i,0.00039581+0.00050552i,0.00034312+0.00081677i,-0.0001158+0.00022964i
0.00021702+0.00030808i,0.00088377-0.00047997i,0.0014039-0.0010313i,0.0016469-0.0017987i,0.00052345-0.001522i,-0.0010438+0.00024695i,-0.0012886+0.0010715i,-9.872e-06+0.0013228i,0.00063591+0.00064114i,0.00068168+6.609e-05i,0.00018014-9.4776e-05i,-0.00016766-0.00080243i,-0.0002386-0.00042732i,1.1396e-05-2.6875e-05i,0.0001448-6.8033e-05i,0.00061278+0.00044723i,0.0013632+0.00073112i,0.00084548+0.00087771i,-0.00018935+0.00047091i,-0.00079501+0.00040657i,-0.0006127+0.00076551i,-0.00010861+0.00094889i,-0.00029918+0.00020964i
0.00089083+0.0014916i,0.0012777+0.00095967i,0.001195+0.00020614i,0.0010605-0.00049547i,0.0013387-0.0010292i,0.00085341-0.00080652i,0.00044497+0.00051708i,0.00041452+0.0009274i,0.00037836+0.00052807i,2.8264e-05+0.00037489i,-0.00028363+0.0001916i,-0.00073824+5.3307e-05i,-0.00070674-0.00013136i,-0.00067703-0.00042684i,-0.00073025-0.00037726i,-2.1227e-06+0.00047346i,-4.751e-05+0.0010055i,-0.00059304+0.0010243i,0.00027394+0.0011116i,0.00093042+0.0010936i,0.00030897+0.00086531i,-0.00089516+0.00015117i,-0.00063444-0.00024135i
-0.0010336+0.00017245i,-0.0014737-0.00061903i,-0.001009-0.00057153i,-0.00068418+0.000152i,-0.00061733+0.0010822i,-0.00064969+0.0016617i,-0.00021487+0.0013028i,0.0009377+0.0009311i,0.0013608+0.00088965i,0.00015409+0.00047372i,-0.00054738+0.00060016i,-0.00047299+0.00034375i,-0.0002042-0.00013361i,0.00042376-0.00031854i,0.00088611-0.00021044i,0.00075989+0.00068959i,0.00030732+0.00087836i,0.00049172+0.00016857i,2.8393e-05-0.00023461i,-0.00022591-1.3671e-05i,-0.00036402+0.00038292i,-0.00025688+0.00020051i,-0.00055081+0.00014882i
0.00046467-0.00031617i,0.0011549-0.00066255i,0.00093413-0.00097634i,0.00057848-0.00081923i,0.00025009-7.8905e-05i,-0.000164+0.00062996i,0.00011562+0.00035585i,0.00035208+6.2932e-05i,3.3206e-06-0.00012186i,-0.00030597+0.00016675i,0.00047859+1.2688e-05i,0.00044501-0.0001917i,-0.00020114+6.3726e-05i,4.7881e-05+0.00021212i,0.00014043+7.3262e-05i,-1.3177e-05-0.00035055i,-0.00020823-0.00023854i,-0.00023078-8.1841e-05i,-0.00037496+0.00024433i,-0.00084607+6.4664e-05i,4.0924e-05-0.00028042i,0.001231-4.7553e-05i,0.0010463+0.00031389i
-0.00076429-0.00027347i,-0.00062189+0.0010034i,-0.00054388+0.0016872i,-0.00068169+0.00020738i,-0.00087882-0.00087132i,-0.00091934-0.00016389i,-0.00089074+0.00054295i,-0.00032281+0.00041254i,-5.3442e-05+0.00042434i,2.8284e-05+7.5674e-06i,4.8255e-05+7.9523e-05i,0.00033093+0.00022029i,0.00034797-0.00053231i,-0.00023628-0.0015536i,-0.00013393-0.0011513i,-0.0004163-0.00045048i,-0.00069694-0.00080647i,-0.00043466-0.001049i,-0.00084387+0.0001021i,-0.0009081+0.0009939i,-0.001063+0.00072191i,-0.00089932-0.00022006i,0.00047811-0.00076238i
0.0010236+0.00040933i,0.0026238-0.0001108i,0.001683-0.00032816i,0.00052926+5.9481e-05i,-0.00011002+0.0012041i,-6.0225e-05+0.0015812i,0.00046785+0.0017987i,0.00054929+0.0011312i,0.0006362+0.00033304i,0.00017059+0.00048278i,-0.00031002+0.00069319i,7.7578e-05+0.00099324i,-0.00014318+0.0016036i,-0.00072784+0.0009287i,0.00020496-0.00021393i,0.00016317-0.00046928i,-0.00048679+9.2425e-05i,-0.00068776+0.00050428i,-0.00077245-8.3004e-05i,-0.00061044-0.0004081i,-0.00095008-8.6684e-05i,-0.0010237+3.7877e-06i,-0.00073455-3.5037e-05i
-0.00070216+0.0016955i,-0.00017082+0.0013292i,0.00029923+0.00054246i,0.00077178+0.00013503i,0.00088713-0.00029012i,0.00018976+5.7958e-05i,-0.00019316+0.0010608i,0.00012042+0.00053348i,0.00045684-0.00041469i,0.00067322-0.00058692i,0.00092438-0.00037553i,0.0012152-0.00050198i,0.00072905-0.00057957i,0.00016927-0.0003422i,0.001084+0.00019247i,0.0013451+0.00031182i,-2.3085e-05+0.00057398i,-0.00096628+0.00020631i,-0.0013362+0.00012082i,-0.0013121+0.00039988i,-0.00063881+0.00051168i,-0.00024302+0.00061879i,9.1124e-05+0.00026627i
-1.188e-05+0.00041916i,0.00056072-0.00046578i,0.00011371-0.00075066i,0.00046867-0.00032863i,0.00035084-2.8295e-06i,-0.00085733+0.00069012i,-0.0019178+0.0011841i,-0.001781+0.00046019i,-0.00080676+3.6255e-05i,0.00043996+0.00040421i,0.0012537+0.0002368i,0.0010893+0.0001879i,-7.8605e-05+0.00058419i,-0.00012957+0.0003563i,0.00014136-0.00012932i,-0.00058777-0.00035262i,0.00046838+3.8346e-05i,0.00085539+0.00074268i,0.00024631+0.00062272i,0.00011477+6.1593e-05i,0.00022874+0.00040611i,0.00039002+0.0006682i,-0.00016489+0.00013033i
0.0025155-0.00012081i,0.0019234-0.0010272i,0.001476-0.0012868i,0.00075821-0.001168i,0.00013707-0.00055247i,-0.00051745+0.00012593i,-0.00085172+0.0003719i,7.3147e-05+0.00041837i,0.00045166+0.00031629i,9.1589e-05-0.00026327i,-0.00074566-0.00072228i,-0.0010643-0.0011419i,-0.00057149-0.00057975i,-0.00060741+0.00072415i,-0.00051614+0.0014257i,-0.00030653+0.0010555i,-0.00028331+0.0004902i,-0.0012363+0.00012254i,-0.0021699-0.00035254i,-0.001207-0.00060093i,-0.00033706-0.0005589i,-0.00027052-0.00094567i,-0.00011612-0.00088484i
