-0.0020475-0.00075863i,-0.0022765-0.00055945i,-0.003066+4.7124e-05i,-0.0027509+0.00075671i,-0.0017573+0.0015731i,-0.00048637+0.0022428i,0.00029767+0.0028637i,0.00070615+0.0020332i,0.00074289+0.00088535i,0.00021836+0.00060579i,0.00048588-7.6621e-05i,0.00081817-0.00057425i,0.00041902-0.00079833i,0.0003191-0.00093864i,-3.1434e-05-0.00081091i,-5.9746e-05-0.00045388i,0.00032193-0.00056744i,-0.00010919-0.00038019i,-0.00010782-2.0385e-05i,-0.0003419+1.1847e-05i,-0.00058295+0.00050876i,-0.0013153+0.00067442i,-0.0012086+0.00025782i
-0.00065055-0.00045149i,-0.00031265-0.00071533i,-0.0017855-0.00071173i,-0.002214+0.00074399i,-0.0010899+0.0016656i,-2.2911e-05+0.00076986i,-4.9947e-05+0.00019722i,0.00011785+2.6315e-05i,-0.00011763+8.6858e-05i,-0.00033121+0.00026738i,0.00026041+0.00030185i,0.00031283-0.00018547i,0.00015892-0.00059912i,-2.4742e-05-0.00020329i,0.00011575+0.00010411i,0.00033621-0.00034647i,-0.00012216-0.00017902i,-0.0003864+0.00024137i,-0.00020007+0.00026709i,-0.00033275+0.00050072i,-0.00060211+0.00012141i,-0.00040171+0.00034064i,-4.8074e-05+0.00073474i
0.00038916+0.00049966i,0.00060021+0.00053041i,0.0012981+0.00066497i,0.0015038+0.00063045i,0.0015386+4.4869e-05i,0.001342+0.0012402i,-8.6004e-05+0.0013065i,-0.00035739+0.0002859i,-0.0002211+0.00069797i,-0.00090435+0.00077528i,-0.00022001-3.0117e-05i,0.00023141-0.00077748i,-0.00010333-0.00067422i,-0.00046276-0.00033641i,-0.0011539-0.00038812i,-0.0012826-2.2455e-05i,-0.00068389+0.00081338i,-0.00028592+0.001085i,0.00021027+0.00022254i,0.00060389-0.00027109i,0.00081013-0.00043322i,0.00020005-0.0011588i,5.5596e-05-0.0011965i
0.0014621+0.00056285i,0.0015677+0.0011356i,0.0010946+0.0008362i,0.00034394+0.0013359i,0.00075487+0.0019044i,0.00086043+0.0014263i,0.00012794+0.0009602i,-0.00026543+0.00040778i,-1.3882e-05+0.00034429i,0.0002534+0.0004022i,-0.0004582-0.00021791i,-0.0011312-0.00063964i,-0.0012352-0.0012831i,-0.00089519-0.0011167i,-0.0007485-0.0001177i,-0.00093956+0.00014007i,-0.0010014+0.00068239i,-0.0004525+0.00063833i,0.00079069-0.0001007i,0.00076376-0.00026766i,0.00018155-4.3893e-05i,-0.00012998-0.00013917i,-0.00068474-0.00040862i
3.863e-05-0.00074981i,-0.00063763-0.0020967i,-0.0014728-0.0018157i,-0.00080134-0.00052395i,0.00045206+8.9415e-05i,0.00024114+0.00051327i,-0.00017021+0.00039625i,-0.00035217+0.00029959i,-0.0012845+0.00030959i,-0.0011135-0.00031466i,-0.00070565-0.00072769i,-0.00021713-0.00037901i,-0.00014761+0.00028857i,-0.0012039+0.00033834i,-0.001238-0.00030882i,-0.00037642-0.00021539i,-0.00081052+5.1151e-05i,-0.0011495-0.00016537i,-0.0010751-0.00071862i,-0.0010301-0.0011525i,-0.00051932-0.0011107i,-0.00011075-0.0003304i,0.00024172+0.00097322i
0.00057422-0.0011282i,0.0013211-0.0006202i,0.0010878-0.00032603i,-1.8131e-05-0.00060031i,-0.00026644-0.00034942i,0.00044576+0.00052291i,0.0011387+0.00060726i,0.00056375+0.00067878i,-0.00027859+0.00041122i,-0.00050136-0.00026897i,-0.00057822-0.0006078i,-0.00073602-0.00061311i,-0.00082609-0.00073874i,-0.00066189-0.00093822i,9.0112e-05-0.00049421i,6.763e-05-0.00038831i,-0.00024911-0.00050037i,-4.0731e-05-2.4101e-05i,0.00032311+0.00060949i,0.00020621+0.00073771i,-9.2037e-06+0.00095897i,-7.5082e-05+0.0010969i,-6.4215e-05+0.00067956i
0.0011486+0.00090325i,0.00062212+0.00050233i,0.00032446-0.00090745i,-0.00010865-0.0017587i,-0.00016043-0.0011139i,0.0007688-0.00036516i,0.0012025+9.8907e-05i,0.00097754-0.00035982i,0.00073844-0.00012271i,0.00050145+0.00028575i,0.00022723-0.00036496i,-0.00030247-7.7845e-05i,-0.00030376+0.00035651i,0.00028165+2.99e-05i,1.3548e-05-0.00017133i,-0.0004545-0.00028498i,-0.00043193+0.00013471i,-0.0004958+0.00096985i,-0.0006087+0.00066593i,-0.00044975+0.00014004i,0.00023701+0.00042192i,-0.00015999+5.2655e-05i,-0.0010237+0.00014753i
-0.0011864+0.0013995i,-0.00081358+0.00049394i,0.00029669-0.00077299i,0.0015343-5.491e-05i,0.0015033+0.00098172i,0.00028671+0.0010649i,-0.00030916+0.0010364i,-0.00010562+0.00063839i,0.00049832+0.00029277i,0.00029785+0.00044351i,0.0003617+0.00032751i,7.1412e-05-0.00028933i,-0.00057137-0.0004204i,-0.0010459-0.00069468i,-0.0010773-0.00052619i,-0.00083798-0.00044049i,-0.0010261-0.00043518i,-0.00060962+0.00013306i,-0.00028783+0.00020707i,-0.00016653+0.00013937i,0.00074311-9.645e-05i,0.00099422-0.00050134i,0.00047447-0.00040786i
-0.0014076+0.00059705i,-0.0013984+0.00058163i,-0.00095418+0.001101i,2.8378e-05+0.0012932i,0.00057071+0.0016428i,0.00097055+0.0011169i,0.00086629-0.00026097i,0.00026193-0.0010173i,-0.0002044-0.00089733i,0.00025434-0.00066239i,0.00044401-0.00076159i,1.4965e-05-0.00068827i,0.00040389-0.00025508i,0.00014926-0.00046151i,-0.00026909-0.0012711i,-0.00025847-0.0013709i,-0.00038584-0.00065221i,-0.00042408+7.1324e-05i,-0.00048444+0.000418i,-9.0055e-05+0.00057606i,8.9508e-06+0.00051048i,0.00015412+0.00011019i,4.0615e-05-1.2485e-07i
-0.00075869+0.00029732i,-0.00056899-0.001251i,-0.00074405-0.00039596i,-0.00073498+0.00051508i,-0.00013018+0.00082524i,0.0003004+0.00031319i,0.00054757-0.00021387i,0.00039971-3.2526e-05i,0.0001133-0.00046194i,-0.00045217-0.00053813i,-0.0010432+0.00013918i,-0.00080416+0.00042339i,-0.00099676-0.00017287i,-0.0011429-0.00057786i,-0.00063951-0.00051169i,-0.00019057-1.8564e-05i,5.0989e-05+0.00028537i,-7.399e-05-0.00017434i,-0.00025876-0.0004529i,0.00015253-2.2479e-06i,0.00058332-5.8813e-05i,-0.00012918+1.3938e-05i,-0.00031253+2.2061e-05i
-0.00039234-0.00031851i,-0.00063115-0.00019528i,-0.00085222-0.00020277i,-0.0010404+0.00029202i,-0.00099248+0.00040799i,-0.0010444+0.00013383i,-0.00046403+0.00028595i,-0.00017946+0.00037794i,-0.0007611+0.00054977i,-0.001209+0.00066655i,-0.00055322-4.3716e-05i,0.0001234-0.00048798i,-7.0887e-05-0.00044321i,-0.00050338-0.00040903i,-0.00022485-0.00023951i,0.00035522-0.00039194i,0.00094253-0.00092049i,0.00099292-0.00059444i,0.00029004+5.9699e-05i,-0.00028169+0.00029959i,-0.0003387+0.0007679i,-0.00041419+0.00028297i,-0.00019743-0.0003148i
-0.00060387+0.0025169i,-0.00031218+0.001041i,-8.6118e-05+0.0010643i,0.0004974+0.00047118i,0.00095726-0.00057736i,0.0015437-0.00042686i,0.0014669+0.00044252i,0.00051503+0.00035449i,0.00015183+0.00054317i,0.00026529+0.0005027i,-9.5116e-05-0.00068776i,-0.00017198-0.0011574i,-8.8873e-05-0.0010183i,-0.00045375-0.0012933i,-0.0010568-0.0015385i,-0.00078545-0.0013666i,0.00024235-0.00054949i,0.00041584+0.00010187i,1.759e-05-2.1844e-05i,-0.00025157-0.00068059i,-0.00021978-0.00039394i,-0.00050961-0.00074356i,-0.0005383-0.00099415i
-0.00013927-0.00050786i,-0.00063903-0.00030975i,0.00051333-0.00025518i,0.0012704+4.1695e-06i,5.1571e-05+0.0006527i,-0.00038987+0.00060499i,0.00056919-3.4172e-05i,0.00032133-0.0002289i,-4.1726e-06-4.1783e-05i,-0.0003196-0.00020539i,-0.0011479-0.0010926i,-0.0011249-0.0012373i,-0.0012237-0.00056993i,-0.0010752-0.00066319i,-0.00054289-0.00066669i,-0.00055992-0.00080863i,-0.00017698-0.00028293i,0.00025639+0.0007051i,0.00016482+0.00069795i,-5.4311e-05+0.00035638i,-0.00020314+0.00012399i,-0.00076533+9.0326e-05i,-0.0012647+0.00025791i
0.0012065+0.0033048i,0.001295+0.0030113i,0.0017763+0.0021966i,0.0016617+0.0016691i,0.00096156+0.0010008i,0.00067621+0.00082105i,0.00051464+0.00096965i,7.4903e-05+0.0005993i,-7.1971e-05+0.0003868i,8.0706e-05-0.0001436i,0.00039045-0.0010629i,0.00020402-0.001599i,0.00039317-0.0012466i,4.5472e-05-0.0010927i,-0.00099685-0.00080865i,-0.00092796-0.00062752i,-0.00038239-0.00040636i,0.00019323+0.00037469i,3.346e-05+0.00067322i,0.00025114-0.00034698i,-0.00014606-0.00044742i,-0.00086811-0.00053538i,-0.00062693-0.00043936i
-0.00010615+0.00080306i,0.00035361+0.0012892i,0.0010011+0.00027493i,0.0011535-0.00020201i,0.00052367+2.245e-06i,0.00025107-1.2477e-05i,0.00046796+0.00035693i,0.00036807+0.00013628i,0.00043369+0.0003388i,0.00070464+0.00055915i,0.00020957-0.00043994i,-0.0005404-0.00067139i,-0.00079593-0.00011408i,-0.001218+9.6494e-06i,-0.0012393+0.00016678i,-0.00089932+0.00016545i,-0.00055818-2.0716e-05i,-0.00041523+0.00035487i,0.00014627+0.00070876i,0.00128-8.6232e-05i,0.0011391-0.0006485i,6.7499e-05-0.00059264i,0.00033945-0.00065737i
0.0018902+0.00045255i,0.00037481-0.00047242i,0.0013935-0.0011772i,0.0021458-0.0014037i,0.001544-0.00068674i,0.0011692+0.00093966i,0.0017248+0.0012515i,0.0014214+0.00034027i,0.0005127+7.3493e-05i,-0.00010483-1.8677e-05i,-0.00066127-0.00094765i,-0.00069969-0.0021525i,-0.00070427-0.0013015i,-0.00050837-4.4488e-05i,-0.0010741+7.3481e-05i,-0.0011074+0.00048089i,-6.2796e-05+0.00032166i,0.00010888-0.00018322i,-0.00017447-5.4205e-05i,0.00025556+0.00013108i,0.00030873-0.00013986i,0.00043181-0.00022126i,0.00058997-0.0002202i
0.00040409+0.00087137i,0.0003108+0.00037422i,0.0012132+0.00032176i,0.0019212+0.00084763i,0.0019204+0.0012601i,0.00078806+0.0014326i,-4.873e-05+0.00043657i,-0.00018199-1.9802e-05i,-0.0003588+0.00068781i,-6.4159e-05+0.00026324i,0.00019596+0.00013529i,-0.00020972+0.00090095i,-0.00077317+9.1573e-05i,-0.00088278-0.00078802i,-0.00081254-0.00018352i,-0.00059027+0.00033715i,0.00010328+0.00084776i,0.00038024+0.00072241i,0.00051659+5.0501e-05i,0.00039653+0.00045075i,0.00050435+0.00045366i,0.00044965+0.00014331i,-8.1483e-05+0.00013954i
-0.00071835+0.00014321i,-0.00042434-2.4103e-05i,-0.00087981+0.00019388i,-0.0005781-0.00015977i,0.00050609-0.00014307i,0.0018247+0.00031767i,0.0019147+0.00011136i,0.0013483-0.00010145i,0.00034961-0.00010004i,-0.00044955-0.00020017i,-0.00020815-0.00012835i,0.00018501+0.00010805i,0.00076251-0.00021381i,0.0010013-0.00056975i,-0.00029396-0.00029571i,-0.0010931+0.00018427i,-0.00088378+0.00015293i,-0.00086232+0.00063906i,-0.00089097+0.0013883i,-0.00031648+0.0012363i,-0.00012747+0.00016967i,0.00010011+0.00041917i,0.00032204+0.00082487i
-0.00049882-0.0011189i,-0.001648-0.00091127i,-0.0021864-0.00038076i,-0.0018389-8.3572e-05i,-0.00070705+0.00081611i,-0.00017708+0.00050666i,0.0004643-0.00015937i,0.00038785-0.00072372i,-0.00049603-0.00042974i,-0.0010498+0.00032529i,-0.00098663-0.00025609i,-0.0011-0.00052055i,-0.0012387-0.00054835i,-0.00074079-0.00015164i,0.00013681+0.00060124i,0.00022987+0.00052557i,-0.00035127+0.00026488i,-0.00068708-0.00037159i,-0.00053528-0.0002559i,-0.00011727-9.2607e-05i,-0.00013315-9.0077e-05i,2.0593e-06+0.00033884i,0.0005423+0.00016272i
0.00038581+3.1001e-06i,0.00023383-0.00093625i,-5.9479e-05-0.00089891i,0.00042799-3.3776e-06i,0.0012286+0.00023134i,0.0005219-2.9449e-05i,-0.00013368-1.2625e-05i,0.00038959-0.00021696i,0.00028624-0.00036805i,-1.8945e-05-0.00062065i,-8.2251e-05-0.0010859i,-9.4735e-05-0.00086975i,-0.0005601-0.00083322i,-8.7416e-05-0.00090491i,0.00029865-8.4329e-05i,-0.0004065-8.2074e-05i,-0.00093741-0.00015187i,-0.00092812-0.00013324i,-0.00023059-0.00026147i,0.00010074-0.00032329i,0.0007079+0.00010357i,0.00035734+0.00087076i,-0.00019915+3.2739e-05i
0.001017-0.00072428i,0.0010864-0.00099305i,0.00099679-0.0015682i,-9.1967e-06-0.0017069i,0.00012248-0.00069893i,0.00076574+5.3538e-05i,0.000633+0.00063676i,0.00051062+0.0010906i,0.00023533+0.00087578i,5.2507e-05+8.9594e-05i,0.00039892-0.00080161i,0.00033566-0.00090221i,-7.357e-05-0.00083591i,-2.7614e-06+0.00013248i,-0.00011233+0.00021469i,-0.0003765-0.00051376i,0.00011174-0.00021009i,0.00039395-0.00028753i,5.3857e-06-0.00031066i,-0.00034337-2.5836e-05i,-0.00017983-6.9375e-05i,-0.00026876+1.7798e-05i,-0.00060987+0.00037737i
-0.0016859+0.00045891i,-0.0013563+0.00045808i,-0.0013415+0.00031824i,-0.00019951+0.00058i,0.00099868+0.00077278i,0.0015272+0.00011853i,0.0011713-0.00086188i,0.0004026-0.0011093i,5.0688e-06-0.00020512i,0.00015597-5.6866e-05i,0.00014284-0.00095908i,-0.00067655-0.00065319i,-0.00097878+1.5521e-05i,-0.00038962+6.7185e-05i,-0.00055249+0.00045092i,-0.00081198+0.00038282i,-0.00090387+0.0001274i,-0.00095063-0.00016356i,-0.00025499+0.00013903i,0.00050051+0.00024627i,0.0010981-0.00018823i,0.0005089-9.2541e-05i,-0.0001314+0.0001314i
0.0021876+0.00096933i,0.0023181+0.001478i,0.0017003+0.0011602i,0.00099561+0.0001773i,0.00070678+4.2916e-06i,0.0005902+0.0010448i,0.00037988+0.0021679i,0.00052272+0.0019136i,0.0003146+0.00069815i,0.00010119-7.0467e-05i,-0.00016082-0.00044871i,-0.00010864-0.00119i,-0.0003717-0.0012112i,-0.00035916-0.0005327i,0.00063509+6.5997e-05i,0.00073586+0.00012853i,-0.00020913+0.00028477i,-0.00044886+0.00043559i,-0.00047401-0.00015462i,1.0004e-05-0.00085071i,0.00063705-0.00054432i,0.00037018-5.8251e-05i,5.4551e-05-0.00027635i
-0.00018364-2.2455e-05i,0.00027592+0.00012665i,0.00081928+3.4986e-05i,0.0012675+0.00016989i,0.00088259+0.00072711i,0.00031841+0.0004887i,0.00063745-0.000156i,0.00086175-0.00052386i,0.00062068-0.00014514i,0.00027213-0.00068781i,3.1494e-05-0.0016658i,9.108e-06-0.0014169i,4.9763e-06-0.00074575i,-0.00039872-0.0006642i,-0.0008542-0.00021771i,-0.00017954+0.00034697i,0.00067313+0.00059004i,0.00044281+0.00058974i,-0.00021464-5.7344e-05i,-0.00037252-0.00033634i,0.00042256-0.00033957i,0.00054389-0.00021442i,0.00038591+9.2285e-05i
0.00097497-0.0011324i,0.00024796-0.00099442i,8.5805e-05-0.00054773i,-0.00037077-0.0002725i,-0.00078963+4.7346e-06i,-0.00013798-1.0706e-05i,0.00028904+0.00015821i,-2.6683e-05+0.00069111i,0.00014546+0.001158i,-0.00077558+0.00060137i,-0.00164-0.00023081i,-0.0010073-6.0726e-05i,-0.00033621-0.00024226i,-0.00028568-0.0011399i,0.00011218-0.00069672i,8.3695e-05+1.1919e-05i,0.00011661-0.00036491i,0.00029053+3.2019e-05i,-0.00063183-0.00013034i,-0.00057716-0.00053646i,-0.00025253+0.00019358i,-0.00091795+0.00057791i,-0.00079507-0.00031174i
0.0011921+7.0724e-06i,0.0016112-0.00040299i,0.0017728-0.00037527i,0.0019673-0.00032982i,0.0018579-0.00020143i,0.0014905+0.00068845i,0.0012274+0.00049274i,0.0010344-0.00065964i,0.00024603-0.0010419i,-0.00015426-0.00090769i,0.00022073-0.00097951i,7.2879e-06-0.0012001i,-0.00012924-0.00088791i,-0.00025581-0.00063411i,-0.00020202-0.00023084i,-0.00018037-3.2965e-05i,-0.00072242-8.8355e-05i,-0.00088269+0.00085389i,-0.000296+0.0014333i,0.0001642+0.0010046i,-0.00028164+0.00025317i,-0.00063211-0.00027345i,-0.00048236+5.6305e-05i
-0.00027052-0.0014464i,-0.00026145-0.00098147i,-0.0020941-0.001025i,-0.0023268+0.00044257i,-0.00069318+0.001615i,0.00051996+0.00056332i,0.00054962-0.00032689i,0.00038906-0.00012353i,0.00071481+0.00015396i,0.00056023+0.00017496i,-8.7294e-05-0.00025024i,2.5985e-07-0.00072892i,0.00045531-0.00070416i,0.00040947-0.00048898i,0.0006556+0.00021723i,2.7371e-05+0.00035818i,-0.00070852-1.809e-05i,-0.00064304-0.00012144i,-0.00039367+0.00022417i,-0.00018426+0.0004514i,-1.973e-05+0.00014919i,0.0002676+0.00031084i,-0.00019824+0.00025i
-0.00072187-0.00071253i,-0.00066723-0.0013745i,-0.0018716-0.00033529i,-0.0011357+0.00031401i,0.00086842+0.00035577i,0.0013527+0.00020958i,0.00031487+8.783e-05i,-0.00042884+9.4433e-05i,-0.00062734-0.00038399i,-0.00024905-0.00043542i,0.00025536-0.00020169i,0.00016439-0.00046609i,-0.00024155-0.0006347i,-0.00088642-0.00069491i,-0.00029187-0.00099572i,0.00070088-0.00059791i,0.00061443+0.00035487i,-0.00049253+0.00064902i,-0.00073682+0.00060201i,-0.00043675+0.00068256i,-0.00018557+0.00049238i,-0.00012926+0.00090963i,7.5452e-05+0.00074909i
0.00070785-0.00059241i,-4.0439e-05-0.00059171i,-0.00096817-0.0005636i,-0.00097089-8.5016e-05i,8.3279e-06+0.00069296i,0.00077677+0.00091723i,0.00087283+0.00035948i,0.00021921-0.00023156i,-0.0007037-0.00039398i,-0.00068452-0.00059095i,-0.0006266-0.00019404i,-0.001205+0.00022706i,-0.00085762-0.00040087i,3.1247e-05-0.00043346i,0.00016403+0.00035326i,8.3995e-05+0.00064122i,-0.00017285-0.00052662i,-0.0012906-0.00078386i,-0.0013949+0.00021838i,-0.00041426+0.00031538i,9.5116e-05+1.6881e-05i,-4.0152e-05+0.00013149i,-0.00011699+0.00048544i
0.0013218+0.00034801i,0.0010134+0.00032912i,0.0013834-1.2408e-05i,0.00031363-3.3606e-05i,-0.00018979+3.0748e-05i,-6.0294e-06+0.00087218i,-0.00050352+0.0005185i,-0.0004793-6.8723e-05i,-0.00011183+0.00080902i,3.5085e-05+0.00046386i,0.00030718-0.00043312i,-0.00029263-0.00048966i,-0.00090582-0.00059412i,-0.00048111-0.00014933i,-0.00064768+0.00062101i,-0.00025023+0.00019059i,-4.7792e-05+0.00010791i,-0.00076409+0.00062652i,-0.000404+0.00054921i,-0.00032959+0.00019529i,-0.00074949+0.00015298i,-0.00045997+0.00032952i,0.00015596+0.00030701i
-0.00050719-0.002345i,-0.00062928-0.0019196i,-0.0013604-0.00097525i,-0.0015738-0.00027078i,-0.00041318-6.6975e-05i,0.0010485+0.00050569i,0.0010208+0.00015929i,0.00019345-0.00056357i,-0.00047294-0.0002901i,-0.00068294-0.00034046i,-0.00035972-0.00068259i,-0.00054179-0.00064361i,-0.00094544-0.0011305i,-0.0011594-0.0012632i,-0.0013666-0.00095661i,-0.00045904-0.0010595i,0.00048356-0.0005692i,0.00016726+8.3063e-05i,3.4271e-05+0.00027632i,0.00013776+0.00034827i,0.00019084+0.0011035i,-0.00040646+0.00099508i,-0.00096071+0.00077965i
3.8946e-06+0.00066347i,0.00018352+0.0010621i,0.00018405+0.002221i,0.00082527+0.001681i,0.0013182+0.00074099i,0.0010948+4.3594e-06i,0.0006068-0.00030986i,2.4905e-05-0.00064903i,0.00013747+0.0003342i,0.00025281+0.00019616i,-2.3078e-05-0.0007521i,-0.00031661-0.00091029i,-0.00013721-0.0015048i,0.00019202-0.0018428i,-0.00049474-0.0013576i,-0.00086149-0.00041771i,-0.00078123+8.3646e-05i,-0.00054012+0.0005351i,-0.0002187+0.00063692i,0.0001121+0.00028499i,0.00043683+0.00028402i,0.00051518+0.00020259i,0.00046877+0.00025481i
