-0.0014584+0.00052902i,-0.00073798+0.00045246i,-0.00044193-7.0248e-05i,-0.00090759-0.00062507i,-0.0012776+0.0014984i,-0.00074261+0.0037421i,0.00041688+0.0039283i,0.0013442+0.003524i,0.0010283+0.0023451i,0.0003443+0.0011777i,0.00039145+9.0543e-05i,-5.1009e-05-0.0007197i,-0.00042286-0.0013903i,-0.00053473-0.0016434i,-0.00054163-0.001089i,-0.00039665-0.00052526i,-0.00010111-0.00046354i,0.00030873-3.2924e-05i,0.0005951+0.00037471i,0.00043964+0.0005887i,0.00034474+0.00069612i,0.00043+0.00069736i,0.00028338+0.00064458i
-0.00026639-0.00042042i,-0.00090838-0.0016562i,-0.00088871-0.0023842i,-0.00059533-0.0019025i,0.00052204-0.00096802i,0.00127-0.00022828i,0.00086291+0.00086043i,0.00023922+0.00080989i,0.00015156+0.00065772i,-0.00010541+0.001004i,-0.00051971+0.00047686i,-0.00052516-0.00014634i,4.2919e-05-0.00033473i,0.00018684-0.00022346i,-0.00040491+0.00031516i,-0.00059627+0.00086206i,-0.0003499+0.00071516i,0.00051637+0.00018423i,0.00071334+0.00028409i,0.00027071+0.00031676i,6.4673e-05+0.00031609i,0.00060938+0.00071132i,0.00087793+0.0007812i
0.0014329-0.00049839i,0.00071166+0.00031764i,-0.00069904-0.00034034i,-0.0014059-0.00068751i,-0.00039405+0.00013839i,0.0010225+0.00029585i,0.001195-0.00017987i,-0.00016884+0.00031868i,-0.0013031+0.00041403i,-0.0014206+0.00029423i,-0.00069973+0.00015429i,0.00030047-0.00018726i,1.4793e-05-0.00021755i,-0.00088832+0.00034336i,-0.00049643+0.00043559i,0.000293+0.00017944i,-0.00017576+0.00037674i,-0.00058095+0.00020954i,-0.00040772-0.00010216i,-0.00020418+8.4561e-06i,-0.000608+0.00024434i,-0.00070125-0.00024947i,-0.00068984-0.00054546i
-0.00040437-5.7726e-05i,-0.00015828-0.0012197i,-0.00038226-0.00041502i,-0.00074479+0.00078876i,-0.0006383+0.0014962i,-0.00083698+0.0016562i,-0.0010565+0.0010679i,-0.00087013+0.00079891i,-0.00089372+0.00081628i,6.553e-05+0.00061311i,0.0010151+0.0005105i,0.00082881+0.00031776i,0.00035188+0.00020812i,0.00034925-6.9698e-05i,0.00043133-0.00018442i,-0.00015225-0.00014096i,-0.00038741-0.00049608i,-0.00074307-0.00057218i,-0.0010326+0.00032262i,-0.0012345+0.00066754i,-0.00093319+0.00037756i,-0.00036067+0.00052284i,-0.00049317+0.0010555i
0.001735+0.0016216i,0.0026607+0.00044395i,0.0022145-0.0012905i,0.0012172-0.0020852i,0.00052335-0.001027i,0.00019182-0.00041147i,-0.00024283-0.00017636i,-0.00043466+0.00011356i,0.0001007+9.2084e-05i,-0.00085712+0.00027528i,-0.0014607+2.5875e-05i,-0.00060399-0.00032911i,-0.00046738-0.00022511i,-0.00077922-0.00044817i,-0.00016449+2.0922e-05i,3.9311e-05+0.00053821i,-0.00081054+0.00017376i,-0.00017429-0.00011475i,7.3507e-06+0.00015788i,-0.00020535-9.3971e-05i,0.00027016-2.9572e-05i,0.00017053+0.00022615i,-0.0001644+0.00037514i
0.0010668-0.00030776i,0.0016661-0.00082221i,0.00058263-0.00076661i,-0.00035232-3.3172e-05i,-0.00014351+0.00030788i,-0.00022473+0.00015917i,-0.00024534+0.00010665i,-0.00048974+0.00019155i,-0.00081276+0.00011454i,-0.0010315+0.0008855i,-0.0011944+0.0010593i,-0.00097417+9.4657e-05i,-0.00045503-0.00012204i,-0.00020563+0.00014446i,-0.00026618-0.00020536i,-0.00024184-0.00048789i,2.1908e-05-0.00035459i,0.0006434+0.00014982i,5.2561e-05+0.00024795i,-5.9159e-05+0.00017932i,0.0004595-4.2532e-07i,0.00044807+0.00010935i,0.00049677+0.0005684i
0.0013455-0.001238i,-0.00052247-0.0012222i,-0.001096-0.0013625i,-0.0011308-0.0012779i,-0.0013556-0.00039977i,-0.001582+0.0009153i,-0.0011542+0.0016949i,-0.00086946+0.0011706i,-0.00075941+0.00060515i,-0.00014444+0.00040822i,0.00046137+0.00029208i,0.00083064+0.00015181i,0.0003261+6.8414e-06i,-0.000203+0.00038413i,0.00066045+0.00077855i,0.00109+0.0011551i,0.00084872+0.00066415i,0.00055208+0.00015244i,0.00021654+0.00032551i,0.00034025+0.00019566i,0.00024857-3.2239e-05i,0.00013628-0.00019336i,0.00040084+0.0002879i
0.0010097-0.0021032i,-0.00032403-0.00089364i,-0.0015435-0.00094348i,-0.0025031-0.0011421i,-0.001809+0.00028373i,-0.00023085+0.0016224i,0.00016864+0.00098915i,7.8218e-05+0.00060787i,0.00031241+0.00053278i,0.00058712+2.8195e-05i,-0.00023705-3.1983e-05i,-0.0010398+0.00030173i,-0.0014054+0.00064043i,-0.0010971+0.00023502i,-0.00012238-8.7694e-05i,0.00027719-0.00030544i,0.00075336-0.0004743i,0.00028977+0.00018243i,-0.00076112+2.5755e-05i,-0.00041019-0.00057542i,-4.2044e-05-0.0004041i,-2.4495e-06-0.00065047i,-0.00021742-0.00086258i
0.00067713-0.00023445i,0.00011432-0.0014195i,-0.00052841-0.0022604i,-0.00068617-0.00090394i,-0.00083557+0.00050796i,-0.00028064+0.00046883i,-0.00041461+0.00047936i,-0.00015236+0.00071955i,0.0002031+0.00072134i,-0.00060318+0.0006545i,-0.00015583+0.00039801i,0.00032675-0.00020024i,0.00043688-0.000368i,0.00023132+4.9067e-05i,-7.0393e-05+0.00019549i,-9.8571e-08+7.2686e-05i,-0.00071729-0.00019407i,-0.00091025-0.00024489i,-1.108e-05+0.00016403i,0.00014403+3.8922e-05i,-0.00011942+0.0002541i,-0.0003082+0.00082095i,-0.00067039+0.00096273i
-2.6119e-05-0.0011129i,-0.00051367-0.0019056i,-0.0013686-0.001335i,-0.0015878+0.00065384i,-0.0011416+0.0029042i,-8.0445e-05+0.0033243i,0.0003771+0.0017145i,-0.00031312+0.00011512i,-0.00097675+0.00042934i,-0.0014479+0.0010106i,-0.0013192+0.00089928i,-0.00051537+0.0006493i,-0.00022371-0.0002241i,-0.0003806-0.00088095i,-0.00026637-0.00056697i,0.00049669+5.7951e-05i,0.00056802+8.794e-06i,0.00037805-0.0005772i,0.0009568-0.00044253i,0.0010356-0.00019907i,0.00069401-0.00060102i,0.0010145-0.00010289i,0.0010663+0.00017407i
-0.0019665-0.0009722i,-0.00072092+0.00056279i,0.0002749+0.0004661i,0.00052812+8.1541e-05i,0.0016706+0.00097895i,0.0027978+0.0020947i,0.0024105+0.0019505i,0.0015952+0.00094933i,0.00060419+0.00024025i,-0.0004457+0.00018342i,-0.00094179-0.00011426i,-0.00080015-0.00046796i,-0.00042068+2.3373e-05i,-0.00032831-1.8578e-05i,0.00013325-0.00041095i,0.0010299-0.00057043i,0.001292-0.00019708i,0.00053393+1.3389e-05i,-0.00031469-0.001051i,-0.00019595-0.0015285i,-0.00022938-0.0010513i,-0.00016366-0.00036542i,0.00034215+0.00041519i
0.0015616+0.0015911i,0.00044122+0.00058023i,-0.00019596-0.0017939i,-0.00086315-0.0027383i,-0.00052569-0.00086108i,-0.00077782+0.00058425i,-0.0010148+0.00040691i,-0.00054794+0.00036102i,-0.00032867+0.00026922i,-0.00010436-3.656e-05i,7.0408e-06+7.5366e-05i,-9.6368e-06+0.00058738i,-0.00011444+0.00053013i,-0.00010816+0.0010721i,-0.00016401+0.00086107i,7.9774e-05-0.00028495i,0.00017578-0.00013154i,-0.00011989-7.7837e-05i,-0.00012757-0.00041178i,-0.00031914-0.00060187i,-2.7394e-05-0.000243i,0.00067082+1.9112e-06i,0.00057935-0.00011762i
-2.4376e-05-0.0011931i,1.4615e-05-0.0013999i,-0.0016555-0.0019132i,-0.0028283-0.0009613i,-0.0017786+0.00037409i,-0.00011576+0.00040319i,0.00024924+0.00014728i,-0.00042104+0.00041874i,-0.001269+0.00095839i,-0.0013973+0.00076373i,-0.0004764+0.00027823i,4.9463e-05+0.00012036i,-0.00028446-0.00025939i,-0.0010502-0.00049278i,-0.0012082-0.00047135i,-0.0010278-0.00053599i,-0.00070794-0.00014003i,-0.00024517+0.00019129i,-3.5091e-05+0.00021556i,6.5793e-05-0.00022144i,5.3128e-05-0.00038322i,-0.0007055-1.2919e-05i,-0.00076291+0.00034992i
0.0025142+0.0018566i,0.0018515+2.2858e-06i,0.0016243-0.00047825i,0.00022999+2.4742e-05i,-0.00044767+0.00052462i,-0.00032013+0.0012538i,-0.00018187+0.001916i,-0.00024427+0.0013781i,-0.0004453+0.0009826i,-0.00041604+0.0013004i,-0.00044222+0.00099764i,-0.00042598-4.1482e-05i,-0.00015632-0.00060671i,-0.00026517-0.00012277i,-0.00034743-2.051e-05i,0.0004137+0.00010339i,0.00067699-0.00024138i,-0.00025261-0.00035127i,-0.00036083+0.00023022i,0.00028197+0.00048793i,0.00065637+0.00033327i,0.00058861+0.00049288i,0.0008506+0.00024693i
-0.001142-0.0015133i,-0.0014052-0.00084398i,-0.0017202-0.00058216i,-0.001429+0.00046928i,-0.00033944+0.0024626i,0.0012935+0.0030036i,0.00090758+0.0021069i,-0.001227+0.00068016i,-0.0019511+0.00011618i,-0.0011661+0.00041826i,-0.0005295+0.00040753i,-0.00075944-0.00034391i,-0.00048558-0.00052408i,0.00031737-0.00032775i,0.00021927-0.00047988i,-0.00024377-0.0006592i,-0.00020769-0.0001411i,-0.00060953+0.00057644i,-0.00083821+0.00065044i,-0.00074956+0.00036182i,-0.00074399+2.5706e-05i,-0.00013674+0.0006662i,8.5453e-05+0.001053i
0.00036846+0.00030138i,0.00084377+0.00031852i,0.0012052-0.0013085i,0.00074546-0.00099894i,0.00023072+0.00073285i,0.0011334+0.0011873i,0.0010069+0.00092142i,-0.0002053+0.00095032i,-0.00010044+0.0015453i,0.00010195+0.0011805i,8.0882e-05-8.3126e-05i,-0.00050015+0.00015397i,-0.00099579+0.0010435i,-8.2682e-07+0.00025286i,0.0005905-0.00085943i,0.00051159-0.0013751i,0.0007872-0.0015381i,0.00076686-0.00078682i,0.00049755+0.00077615i,0.00061333+0.00093932i,1.4959e-06+0.00058683i,-0.00066077+0.00059994i,-0.00019078+0.00034026i
-0.002457+0.00075663i,-0.0015449+0.00053037i,-0.0015108-0.00011906i,-0.0015752-0.00029378i,-0.00073493+0.0013054i,-0.00010122+0.0021796i,-0.00056006+0.0013462i,-0.00090749+3.4598e-05i,-0.00085552+0.00011943i,-0.0005045+0.00069674i,0.00036812+0.00067579i,0.00060384+0.00072865i,-0.00024465+0.00029078i,-0.00073097-7.4789e-06i,-0.00081919-0.00036404i,-0.00036117-0.00032011i,0.00027814+3.2199e-05i,0.00048516+0.00049756i,0.00066401+0.00076031i,0.00013396+0.00047625i,-0.00043239+0.00017644i,-5.4966e-05-0.00011002i,0.00025527+0.0003343i
0.0011233-0.00074112i,0.0015933-0.0016194i,0.00067529-0.0020878i,-0.00051902-0.0011702i,-0.0012019+7.3986e-05i,-0.00085247+0.00030866i,0.00033633+0.00059121i,0.00059816+0.0008265i,0.00036312+0.00063422i,0.00059717+0.00025626i,0.00040906-0.00030475i,-0.00063092-0.00067915i,-0.001139-0.0005679i,-0.0014216-0.00019249i,-0.00097955+0.00067981i,-0.00063418+0.00087422i,-0.00080974-1.6877e-05i,-0.00048095-0.00099517i,0.00061326-0.0012812i,0.0012826-0.00098184i,-5.5939e-07-0.000446i,-0.00085829-0.00017975i,-0.00027074-0.00016369i
0.0014939+0.0013086i,0.00087737+0.00044464i,0.0006133-0.0006655i,0.0003272-0.00063362i,0.00063609+0.00042844i,0.00050687+0.0014369i,-0.00021427+0.0023836i,-0.00034208+0.0014225i,-0.00026416+0.00012191i,-0.00062844+0.00057854i,-0.00074952-4.4755e-05i,-0.00016125-0.00044968i,0.00021751-0.00019784i,-4.2609e-05-0.00011634i,-0.00086908-9.6577e-05i,-0.001138-0.0003863i,-0.00073862+4.2004e-05i,-0.00035+0.00020368i,-0.00086048-8.8806e-05i,-0.00092431+8.9634e-06i,-0.00062053-0.00064574i,-9.5739e-05-0.0010825i,0.00028195-0.00040981i
5.1156e-05-9.1326e-05i,0.00035242-0.00061728i,6.641e-06-0.00087332i,-0.00025163-0.00091918i,-5.0873e-05+0.00019648i,0.0012465+0.0016695i,0.0010337+0.0013763i,-0.00038695+0.00061492i,-0.00063572+0.00046167i,-0.0002456+0.00066597i,-0.00049517+0.00038698i,-0.00068543+0.00010703i,-0.00018341-4.679e-05i,0.00043951+5.6072e-05i,0.00064008+0.00083025i,7.4333e-05+0.000433i,-0.0001371-0.00024705i,-0.00025292-0.00029956i,-0.00019922+0.00028694i,-0.00010794-4.4034e-06i,0.00022363-0.0005717i,0.00059637+0.00017342i,0.00077486+0.00043491i
0.0019384-0.0016812i,0.0010706-0.0021267i,-3.2353e-05-0.0018265i,-0.0007449-0.0015187i,3.4855e-05-0.00084418i,0.00023908+0.00062128i,0.00050392+0.0012571i,0.00028386+0.00056183i,-0.00014283-4.7712e-05i,6.8054e-05+0.00017583i,2.5688e-05+0.0003039i,-0.00037939-8.25e-05i,-0.0012218+0.00036191i,-0.0013065+2.4541e-05i,-0.00017744-0.00058926i,0.00049485-0.0001094i,-7.0894e-05+0.00060578i,0.00041317+0.00079569i,0.00067589+0.00028088i,-0.00012799-0.00066101i,-0.00047073-0.00093861i,6.1227e-05-5.0768e-05i,0.00046761+0.00092928i
-0.0010498+0.0023853i,-0.00031875+0.002008i,-0.0011919+0.0006591i,-0.00058412+5.6842e-05i,0.00063564+0.00072606i,0.00052915+0.00067913i,0.00080879-7.4419e-06i,0.00035369+0.00068869i,-0.00062625+0.0015419i,-0.00081012+0.0011626i,-0.00022539+0.00056376i,0.00033636+1.5009e-05i,0.00049068+0.00032203i,6.0154e-05+0.00074508i,-0.00037471+0.00046295i,-0.00016198+0.00048125i,0.00028436+0.00032623i,0.00092802+2.6108e-05i,0.00080813+0.00043371i,-4.9466e-05-6.3936e-05i,-0.00061051-0.00028309i,-0.00025541+0.00051929i,0.00017125+0.00046598i
0.0017235+5.9254e-06i,0.0013031+8.9407e-05i,0.00075455-0.00062078i,-0.00019394-0.0011484i,1.0929e-05+0.00021363i,0.0011266+0.0013411i,0.00088583+0.00064897i,-0.00018715-0.00033812i,-0.00054474-0.00047017i,-0.00055815-0.00054078i,-9.169e-05-0.00050394i,0.00036232-0.00012955i,0.00079416-0.00024713i,0.0004453-0.00032164i,9.9405e-05-4.4356e-05i,0.00058729+0.00039068i,-0.00012464-0.00026431i,-0.0006045+9.5829e-05i,-0.00027538+0.00096899i,-0.00045192+0.00024219i,-2.1586e-05-0.00051462i,0.00037672-0.00036613i,-1.6692e-05-9.6916e-05i
0.00047987-0.00073454i,-2.9894e-05-0.0018769i,8.6463e-05-0.0024818i,-0.00020878-0.001904i,-0.00055141-0.0001533i,0.00014843+0.00062188i,0.0010141+0.0011103i,0.00050224+0.0014442i,-0.00034795+0.00097113i,-0.00059909+0.00027617i,-0.00035065+0.00041672i,-0.00044374+0.0007766i,-0.00019273+0.0006517i,5.0868e-05+0.00095841i,-0.00015871+0.00086979i,0.00035264+0.00061186i,0.00097223+0.00033768i,0.00052979-5.4004e-05i,-0.00041642+0.0004302i,-0.00055438+0.00038464i,-0.00021591+0.00018906i,0.00068793-0.00014588i,0.00063809-0.0003046i
-0.00037942-0.00072809i,-0.00052071-0.00053147i,-0.0011142-0.0014047i,-0.0019218-0.00098256i,-0.0017398+0.00045089i,0.00016276+0.0014133i,0.00061613+0.001642i,-0.00059171+0.0012144i,-0.0006978+0.00055252i,-0.00056544+0.00054611i,-0.00030109+0.00037093i,0.00050522-0.00014929i,0.00073033-0.0006928i,0.00059378-0.0009872i,-9.5926e-05-0.000431i,-0.00012146-0.00015824i,0.00068584+0.00037152i,0.00076985+0.00024516i,0.00035638-0.00031914i,-0.00029634+0.00017415i,-6.1713e-06+0.00022936i,0.00058311+0.00022158i,-0.00024942+0.00078418i
0.0024898-0.0014195i,0.0024752-0.0015253i,0.00074486-0.0025602i,-0.00052272-0.0020781i,-0.00080063+0.00036856i,-6.9615e-05+0.0019856i,0.00083377+0.0019498i,0.00084764+0.00085399i,0.00010983-5.3205e-05i,-0.0001537-0.00033615i,-0.00015516+0.0001238i,-0.0001924+0.00053478i,-0.00030659+0.00035627i,-8.0378e-05+0.00044441i,-6.209e-05+3.9938e-05i,-0.00033777-0.00069356i,-0.00049793-0.00098633i,-0.00023884-0.00034193i,0.00043013+5.161e-05i,0.00065497-0.00015899i,0.00018986+0.0002403i,0.00039506+0.00063942i,0.00042186+0.00061691i
-0.0014062-0.00015i,-0.0010167+0.0011381i,-0.00034737+0.0014935i,-0.00033872+0.0012195i,-0.0004283+0.00056363i,0.00018144+0.00040651i,0.00012119+0.00022987i,-0.00033868-5.8429e-06i,-0.00098252-3.4293e-05i,-0.0013758+8.1107e-05i,-0.00087753+8.8084e-06i,-0.00048875-0.00090121i,0.00017816-0.00089105i,2.3859e-06-0.00013808i,-0.0011241-0.00035392i,-0.0014589-0.00061817i,-0.00077977-0.00027685i,0.00064058+0.00017677i,0.00066649-0.00020853i,-0.0004212-0.00075953i,-0.00050145-0.001108i,-0.00017096-0.00087468i,-0.0001995-0.00074381i
-0.00073682+0.0031521i,0.00099804+0.0024595i,0.0012636+0.00087466i,0.0003474+9.084e-05i,0.00066584+0.00072001i,0.0012172+0.00099438i,3.1433e-06+0.00083375i,-0.001556+0.00074919i,-0.0021959+0.00058903i,-0.0014306+0.00033085i,-0.00014586+0.00063077i,0.00022803+0.0012061i,0.00058848+0.0011407i,0.0004167+0.00085216i,0.00032453+0.00074946i,0.00064186-3.3973e-05i,0.00020001-0.00056475i,-0.00020612-0.00051765i,0.00026751-0.00039981i,-0.00020738-0.00051375i,-0.00049013-0.00070819i,0.00011419-0.00085494i,0.00014287-0.00053952i
-0.00088792-0.00023363i,8.6785e-05-0.00086729i,-6.0491e-05-0.00082981i,-0.0012594-0.00037141i,-0.0010048+0.00093183i,0.0004673+0.0020186i,0.00077031+0.0017521i,0.00046061+0.0010647i,0.00013225+0.0008316i,-0.00074781+0.00038523i,-0.00075696-0.00045553i,-0.00067564-0.00033229i,-0.00087422-0.00026115i,-0.00037824-0.00030041i,0.00014918+0.00060025i,0.00025959+0.0010544i,-0.00033421+0.0003194i,-0.00027579-0.00064457i,-0.00036077-0.00054337i,-0.00056173-0.00054615i,-0.00043498-0.00066271i,-0.00086585+2.3751e-05i,-0.0012757+0.00027103i
0.0017872+0.00088915i,0.0013777-0.00058371i,0.00081961-0.00086858i,0.000319-0.00079885i,0.00025801-0.00088598i,-2.3344e-05+0.00052609i,-0.00064794+0.0013818i,-0.00082352+0.0015425i,-0.00091946+0.0021133i,-0.00061381+0.0013307i,1.3346e-05+0.00016371i,0.00031877-0.00049499i,0.00058986-0.00071978i,0.00039172-0.00082301i,0.00038914-0.00098264i,0.00056192-0.0011357i,0.0010576-0.00056873i,0.00060173-0.00014481i,0.00020661-0.00054563i,0.0001472-0.00097107i,-0.00025287-0.00054722i,-0.0008851+0.0007134i,-0.00051969+0.001157i
-0.0016124-0.0014271i,-0.00080782-0.00054347i,4.0233e-05+0.00056673i,5.2444e-05+0.001628i,0.00022323+0.0026653i,0.00093598+0.0015238i,0.00089256+0.00016542i,-0.00022881+2.5251e-05i,-0.00091227-3.6593e-05i,-0.00097731+0.00026717i,-0.00020201+0.00045703i,7.3412e-05+0.00053672i,-1.7639e-05+0.00075682i,-0.0005711+0.00036495i,-0.00050028-0.00060924i,0.00027426-0.0005118i,0.00062719-0.00054823i,0.0011242-0.0010609i,0.00075421-0.00064875i,0.00084618-0.00050414i,0.00088211-0.00068646i,0.00035824-0.00011466i,0.00013984+0.00031666i
0.00083744+8.6649e-05i,0.00098805-0.00026943i,0.001166-0.00086852i,-0.00016061-0.0011081i,-0.0010969-0.0015226i,-0.00046742-0.0010639i,-0.0002241-0.00031905i,-0.00019179-1.8028e-05i,-0.00057558+0.00031872i,-0.0014459+0.00080406i,-0.0013537+0.00083274i,0.00041659+0.00055237i,0.0015112+0.00023725i,0.00030179-0.0005221i,-0.00017816-0.00066114i,0.00034951-0.00041299i,-0.00022459-0.00061777i,-0.00019018-0.00093291i,0.0008819-0.00066673i,0.0011434-0.00018288i,0.0002769-0.0001504i,0.00027194+0.00013015i,0.00064741+1.0863e-05i
