-0.0013027-2.4773e-06i,-0.00096-9.0109e-06i,-0.00077661+0.00098353i,-0.00067883+0.00045049i,-0.00094356-0.00028351i,-0.0003558-0.0001412i,-0.00026812+0.00046028i,-0.00012209+0.00055513i,0.00059898+0.00068083i,0.0010135+0.00044779i,0.0017876+4.9786e-05i,0.0014928-0.00039723i,-9.7391e-05-0.00055593i,-0.00051719-0.00078758i,-0.0001857-0.00053413i,0.00024286+0.00011845i,0.00012811+0.00048911i,-0.00051622+0.0006037i,5.2617e-05+0.00050425i,0.00087319+0.00022866i,0.0003462-0.00038396i,-0.0007142+3.9839e-05i,-0.0011014+0.00062095i
0.0017718-0.0017521i,0.00014878-0.0018469i,-0.00044796-0.0013432i,-0.00053147-0.00020507i,9.9949e-05-0.0004409i,0.00084783-0.0005686i,0.00091714-0.00029054i,0.00058411-0.00013371i,0.0003387-0.00030556i,-9.6543e-05-0.00054435i,-0.0002938-0.00080408i,-0.00019735-0.000261i,-0.00030576+0.00085983i,-0.0002723+0.0013644i,0.00068041+0.00080709i,0.001227-7.5419e-05i,0.00012996-0.0003385i,-0.00029393-9.6457e-05i,-0.00025521-0.00023766i,-0.000544-0.00055495i,-4.5453e-05-0.0003153i,9.525e-05+0.00076959i,-0.00027772+0.00092995i
-0.0019409-0.0008139i,-0.0014749-0.00030352i,-0.0014966+0.00092213i,-0.0013843+0.0015653i,-7.7475e-05+0.0014777i,0.0013472+0.00046565i,0.00080543-0.0003742i,0.00026877-0.00041895i,0.0003724-0.00016534i,0.00014502+0.00021171i,-0.00057038+0.00047519i,-0.00025263+0.0010883i,0.00017943+0.0013166i,-0.00018565+0.0006754i,6.5778e-05+2.2237e-06i,6.6398e-05+0.0001995i,-0.00019998+0.00075218i,1.755e-05+0.00042101i,0.00028943+0.00021981i,0.00012563+6.6111e-05i,0.00046203-0.0001087i,0.00089268-6.9082e-05i,0.00027406-4.2815e-05i
-0.0024095-0.00050138i,-0.0014099+0.00046699i,-0.0011053+0.0016787i,-0.00076827+0.001557i,-4.0121e-05+1.8639e-07i,0.00045988-0.00043254i,0.00047539+0.00032932i,0.00063382+0.00017184i,0.00017269+0.00037814i,-0.0005062+0.0010509i,-4.9511e-05+0.0010989i,-0.00031369+0.00057863i,-0.00013581-0.00014512i,0.00064629-0.00068271i,0.00049128-0.00061884i,-0.00028178-0.00057959i,-0.0008202-0.00092889i,-0.0008047-0.00033213i,-0.00026476-0.00011307i,-0.00024312+2.5137e-05i,-0.00058737+0.00041992i,-0.00033616+0.00054193i,0.00028299-0.00046634i
0.0013496+0.0024558i,0.00099176+0.0013344i,-0.00039291+0.00079512i,-0.00045687-0.00068415i,0.00058168-0.0014401i,-7.5407e-05-0.0016849i,-0.00090353-0.0013912i,-0.0009973-0.00074739i,-0.00097901-0.00017467i,-0.0011616-0.00026551i,-0.00014776-0.00075229i,0.00069858-0.00090922i,-1.2489e-05-0.0012633i,-0.00012242-0.00091997i,0.00066574-0.00043017i,0.00074574-0.00042048i,-7.1171e-05+4.8841e-06i,-0.00089756+0.00012631i,-0.00019048-0.00076355i,0.0005113-0.00083643i,6.3556e-05-0.00033138i,-0.00050968-0.00021494i,-0.00027775-0.00015891i
0.0001502+0.0020847i,0.0009835+0.0015845i,0.0010592+0.0015974i,0.001059+0.0017173i,0.0014285+0.0002445i,0.0016885-0.00096792i,0.0014873-0.0010292i,-0.00015627-0.00039043i,-0.0010024+0.00044682i,-0.00026572+0.0006008i,0.00037203+0.0010307i,0.0002451+0.00050709i,-0.00022474-0.00064262i,-0.00036706-0.00087936i,0.00021587-0.00025135i,-0.00074157+0.00049116i,-0.00098419-0.00030886i,8.8726e-05-0.00072981i,0.00029892-0.00047807i,-0.00066089-0.00037882i,-0.00079085-3.5884e-05i,-4.1094e-05-0.00020057i,9.541e-05-0.0010393i
-0.00045439+0.0015016i,-0.00034057+0.0012044i,7.6093e-05+0.00091096i,0.0012288-4.6055e-05i,0.0020796-0.001492i,0.0013851-0.0020824i,-0.00019316-0.0014928i,-0.00068149-0.0012978i,-0.00045285-0.00082293i,-0.00039725-0.00018723i,0.0001553-0.00081724i,0.00063101-0.0011375i,4.4836e-05-0.00087645i,-0.00068999-0.00055073i,-0.0006582-0.00038101i,-0.00048304-0.001069i,-0.00014263-0.00059506i,0.00039931+0.00082417i,0.00082852+0.00090778i,0.00062918+0.00068679i,2.6272e-06+0.0015124i,-0.00021467+0.00092597i,-4.145e-05-0.00034235i
0.00027094-0.00048813i,-0.001366-0.00012654i,-0.0028517-0.00035658i,-0.0029717-0.0010554i,-0.0012826-0.0012062i,-0.00054869-0.0012528i,-0.00064093-0.0012569i,-0.00073797-0.0008726i,-0.0011048-0.00016116i,-0.0012746+0.0003586i,-0.0007552+0.00037346i,0.00034988+0.00017352i,0.0010294+0.00011461i,0.00066251-0.00040094i,0.00085138-0.00088866i,0.001038-0.0001997i,0.0008545-9.2108e-05i,0.00022429-9.0785e-05i,-0.0004456+0.0005307i,-0.00046699+0.00057592i,1.112e-05-0.00040388i,0.00051-0.0010142i,0.00053093+0.00030612i
-0.0006186+0.00058817i,0.00043388-7.8773e-05i,-0.00072601+0.00087698i,-0.00075679+0.0013751i,0.00010487+0.00082569i,0.00028509+0.00014669i,5.1925e-05-0.00044676i,0.00020502-0.00011536i,0.00020928+1.7372e-05i,-0.00023005-0.00040144i,-9.3341e-05+0.00084277i,0.00045401+0.00071733i,0.00064351-0.00072666i,6.8223e-06-0.00048811i,-0.00043069+0.00013984i,0.0004289+0.00058434i,0.00066589+0.00090367i,-7.3947e-05+0.00031077i,-0.00013588-4.1214e-05i,-0.0001709+0.00017213i,-0.0004152-0.00020971i,-0.0004445-0.00016536i,-0.00056336-0.00020601i
0.0020278+0.0013043i,0.0022727-0.00028689i,0.0023617-0.00094033i,0.0012181-0.0012581i,0.00054216-0.0017715i,8.1396e-05-0.0020664i,-0.00055073-0.0011447i,-0.00045716-0.00049311i,1.9836e-06-0.00041783i,-0.00034858-0.00088968i,-0.00075947-0.00082958i,-0.0008471-0.0002356i,-0.00044428-0.00012864i,0.00012826+0.00036175i,-4.8655e-05+0.00036655i,9.1065e-05-0.00056982i,0.00039526-0.00094038i,0.00055613-0.00010778i,0.00041032+2.7544e-05i,-0.00020358-0.0003724i,-0.00045445-1.3955e-05i,-0.00057658+0.00080931i,-0.00095227+0.00082658i
0.00087653+0.00018119i,0.00039487+9.8447e-05i,0.00032078-0.0012973i,0.00030257-0.0016472i,-0.00020856-0.00066483i,-0.00099982-0.00020495i,-0.0016326-0.00072946i,-0.0013707-0.00036144i,-0.00083295-0.00018313i,-0.00046616-0.00043752i,-0.00038696-0.00052102i,-4.9281e-05+5.4677e-05i,5.5932e-05+0.00071133i,-0.00018921+0.0011732i,0.0003787+0.0012065i,0.0013914+0.00023298i,0.00078409-4.9681e-05i,-0.00056332+0.00050767i,-0.00080085+0.00012746i,-0.00071595+6.4773e-05i,-0.00020128+5.3034e-05i,0.00062389-0.00069873i,0.00078308-0.00089249i
0.0012608+0.00089779i,0.00064673+0.0005942i,0.00049977-0.00022506i,0.00079228-0.0012201i,0.00031421-0.0017203i,-0.00015036-0.00088661i,-1.5876e-05+0.00038583i,0.00040999+0.0011612i,0.00024679+0.0011334i,-0.00014931-3.7507e-06i,-0.00049503-0.0017177i,-0.00010349-0.0013357i,0.00045481+9.0365e-05i,0.00054609+0.00047094i,0.00042573+0.0005309i,0.00040225-7.1673e-05i,0.00023972-0.00089277i,1.7085e-05-0.00066277i,-4.9974e-05+0.00044714i,-0.0012293+0.0010862i,-0.0010156+0.00061191i,-0.00021037-9.729e-05i,0.0001093-0.00078042i
0.00016517+0.0016554i,7.2644e-06+0.0005101i,0.00046733+0.00024344i,0.0003549+0.00054239i,-0.00039227-0.0010221i,-0.00068171-0.0017895i,-0.00066246-0.0013315i,-0.00060846-0.00097368i,-6.2396e-05-0.00069529i,0.00027584+5.2132e-06i,0.00016495+0.0003915i,0.00026622-3.225e-05i,5.7636e-05+0.00063484i,-0.0010039+0.0011699i,-0.00054536+0.0006973i,9.0753e-05+0.00066287i,-0.00030179+0.00066072i,1.4674e-06-0.00042647i,0.00022703-0.0007768i,-0.00052632-0.00010051i,-0.00075657-0.0002001i,-0.00036425-0.00047771i,-0.0005598-0.00011427i
-0.00033335-7.2676e-05i,-0.0013498-0.0011633i,-0.0023214+0.00012142i,-0.0015689+0.00062848i,-0.00037152+8.0741e-05i,0.00013757-0.00027733i,9.6308e-05-0.0011559i,-0.00024105-0.0015584i,0.00011293-0.00079306i,0.00053159-0.00044317i,0.0003777-0.00021077i,-0.00053465-0.00012431i,-0.00081429-0.00047158i,-0.00051236-0.00028209i,-0.00053053-0.00045162i,0.00016535-0.00068963i,0.00032054-0.00010022i,3.4361e-05+0.00013537i,0.00010525+0.00033655i,0.00056494+0.0002424i,0.0010704+0.00065734i,0.00077188+0.0011026i,0.00038413+0.00060847i
0.00040558-0.00074048i,0.00032564+0.0004252i,7.9367e-05-6.2745e-05i,0.00029216-0.00069383i,-0.00025243-4.7298e-05i,-0.0010653+0.00044776i,-0.0011645+0.00073301i,-0.00048697+0.00019843i,0.00021862-0.00030307i,0.00040209-0.00053237i,0.00044649-0.000691i,0.00091635-0.0012841i,0.00079173-0.00056956i,0.00022634+0.00027587i,-3.2586e-06+0.00024007i,-9.8455e-05+0.00032904i,0.00030799+0.00022316i,0.0005488+0.0002438i,0.00065503+9.8978e-05i,0.00065587-0.0001597i,0.00018659+0.00043743i,-0.00031384+0.00095615i,-0.0003502+0.00046878i
-0.00034223+0.0003229i,-0.0019698-0.00019046i,-0.00087085+9.4537e-05i,0.00035245-0.00010156i,0.00054625-0.00019993i,0.00080784+0.00022353i,0.0011333-0.00032579i,0.00066039-0.00067119i,0.00014834-0.00092845i,-2.1029e-05-0.00077058i,-0.00023504-0.00023721i,0.0004165+0.00012787i,0.00084728+0.00019142i,0.00030034+0.00033134i,1.3686e-05-7.5699e-05i,0.00018287-0.0003119i,-0.00031847+4.3933e-05i,-3.3718e-07+0.00026132i,0.00061956+0.00055266i,0.00021321+0.00064333i,2.2395e-05+0.00050476i,-3.5822e-05-0.0003763i,9.8287e-05-0.00077444i
-0.00033564-0.00044831i,-0.00010964-0.00091633i,-0.0011524-0.0014843i,-0.0012187-0.0015852i,-0.00035834-0.0012794i,-0.00023932-0.001479i,-0.00073064-0.0012891i,-0.00047724-0.00087176i,0.00053175-0.00034562i,0.00025648+0.00032876i,-0.00045029+0.00058439i,-0.00012805+0.00063239i,0.000464+0.00060469i,0.00033427+0.00079453i,-4.4138e-06+0.0012129i,8.5834e-05+0.00029882i,0.00088905-0.00085717i,0.0011068-0.00047309i,0.0011274+0.0004541i,0.00079376-0.00015578i,-2.0784e-05-0.0009893i,-0.0012968+0.00011223i,-0.001529+0.00081712i
-0.0013199-0.00069641i,-0.00094654+0.00022027i,-0.0020963+0.0010626i,-0.0024181+0.0016042i,-0.00073632+0.0019177i,6.9157e-05+0.0012193i,3.5198e-05+0.00013284i,-0.00052646+0.00032339i,-0.00080217+0.00061851i,-0.00076382+8.6883e-05i,-0.00067848-0.0002463i,-8.6132e-05-0.00038665i,0.00012283-0.00054771i,0.00046997-0.00071151i,0.00057562-0.00095583i,0.00018509-0.00037333i,-4.7129e-05-0.00026822i,-0.00024045-0.0003741i,-0.00023134+0.00020451i,-0.00076526+0.00036074i,-0.001161-7.3424e-06i,-0.00059926+0.00042425i,-0.00026268+1.0899e-05i
0.00022785+0.00078839i,-0.00099617+0.00086528i,4.3039e-05+0.0011316i,0.00033573+0.0010641i,-4.0444e-05+0.00057911i,-0.00023269-0.0001149i,-0.00015185-0.00093889i,-0.00070058-0.0004425i,-0.00082661+0.00011527i,7.9637e-05-0.00012544i,0.00078284+0.00031847i,0.0011396+0.00057343i,0.00045274+0.00065809i,-0.00010193+0.00044094i,-0.00052867+0.00032651i,-0.0010981+0.00034438i,-0.00087886+0.00041624i,-0.00051832+8.193e-05i,-8.7486e-05-0.00028578i,-0.00038179-0.00022781i,-0.00083606+7.9145e-05i,-0.0011628+0.00063267i,-0.00068053+0.0002246i
-0.00063761-0.00048696i,-0.0013939-0.00097744i,-0.0011198-0.00092332i,2.5737e-05-0.00065618i,2.4839e-05-0.00045474i,-0.00044583-0.00085529i,0.00018045-0.0015517i,0.00075352-0.0010522i,0.00089011-0.00042389i,0.00043607-0.00050119i,-0.00012947-0.00031217i,-0.00025155-6.7314e-05i,0.00080102-0.00011652i,0.0012263-0.00047024i,0.0007433-0.00036666i,0.00082309-1.3434e-05i,0.0010897+0.00045509i,0.00091895+0.00084636i,0.00074047+0.00058021i,0.00047947+0.00037167i,0.00047169+0.00060301i,0.00089824+0.00060085i,0.00049521+0.00014598i
-0.0011171+0.00047248i,-0.0017712+0.0009459i,-0.0016832+0.0015052i,-0.0015943+0.0013651i,-0.00073465+0.00091106i,0.00034517-0.0006963i,-0.00055499-0.0014178i,-0.0012239-0.00088209i,-0.00084692-0.00024969i,-0.00070245-0.00051024i,-0.0004325-0.00099541i,-0.00031468-0.00060713i,0.00070409-0.00042098i,0.0015949-0.00064679i,0.00094908-0.0011298i,0.00051805-0.00076938i,0.00081105-0.00083983i,0.0011943-0.00043061i,0.00042174+0.00031808i,-0.00059724+8.9698e-06i,-0.0010151+0.00011407i,-0.0011459+0.00021053i,-0.00090608+0.00046004i
0.00045418+0.0016485i,-0.0009055+0.0023842i,-0.0015472+0.002159i,-0.00024269+0.0006747i,0.00057221-0.00097804i,0.00033336-0.0015397i,-0.00066068-0.00070881i,-0.0010032+0.00014467i,-7.6704e-05+0.00045398i,0.00074765+0.00057593i,0.0011564-0.00016166i,0.00048982-0.00055826i,-0.0006604-0.00077276i,-4.2622e-05-0.00068106i,0.0006246-0.00031602i,4.1624e-06-0.0010861i,-0.00017227-0.0011705i,-0.00053852-0.00075939i,-0.00047244-0.00067945i,5.0747e-05-0.00046779i,-9.225e-05-0.00088765i,-0.00024914-0.00061372i,-6.7423e-05+0.00025565i
-0.00066454-0.00069702i,-0.00088905-0.00049969i,-0.0011127-0.00021743i,-0.00030894-0.00028165i,-0.00056781-0.0005416i,-0.0014831-0.00068356i,-0.0012253-0.00063103i,-0.00024333+0.00072115i,3.7839e-05+0.00084516i,7.3751e-05-0.00023309i,0.00015812-0.0008485i,-0.00022379-0.00080527i,-0.0002556-0.00024269i,0.00015803+0.00042572i,0.00010837+0.0005606i,0.00022373+0.00078767i,0.0001819+0.0011785i,-0.00021842+0.0011938i,-0.00038218+0.0012086i,-0.00066362+0.0010274i,-0.00075106-0.00021287i,-0.00055663-0.0012031i,-0.00023051-0.00076202i
-0.00021492-0.00067364i,-0.0019725-0.00081674i,-0.0030093+0.00018247i,-0.0023714+0.00079662i,-0.00072312-2.0871e-05i,-0.00012846-0.00099608i,-0.00057016-0.0014197i,-0.00028886-0.00096005i,0.00044072-0.0003445i,0.00040647-0.00023125i,-0.00024036-0.00053082i,7.4946e-05-0.00022545i,0.00079194-0.00030675i,0.0011258+4.3862e-05i,0.00083483+0.00048813i,0.00067853+9.2892e-05i,0.00099975-0.00068899i,0.0010953-0.0010057i,0.0003243+0.00013318i,-0.00070142+0.00064621i,-0.0012896-1.2751e-05i,-0.00086459-0.00061022i,-0.00012599-0.00033573i
0.0022699+0.0011549i,0.0011631+0.00047307i,0.00058571-0.001084i,0.00079747-0.0019455i,0.000698-0.0025734i,-0.00024883-0.0026257i,-0.0003707-0.0018245i,0.00018778-0.00062424i,0.00064311+0.0001596i,4.844e-05+5.4224e-05i,-0.00016522-0.00021613i,-0.00026298-0.00038612i,-0.00029439-0.00063435i,-7.5089e-05-0.00019903i,-0.00034176-0.00039669i,-1.9104e-05-0.00066476i,-0.00011132-0.0002019i,-0.00042151-0.00023495i,-0.00037496-0.00029475i,-0.00048614+0.00016355i,-0.00093881-0.00011518i,-0.00053219-0.00086756i,0.00039264-0.00010632i
-0.00032202-0.0010758i,0.00037975+5.4946e-05i,0.0001694+0.00034656i,-0.00077856+0.00077978i,-0.00026596+0.00040457i,0.0010636-0.00085648i,0.00051215-0.0013345i,0.00024291-0.00080431i,-0.00011378+0.00019454i,-0.0008025-0.00034168i,-0.00054049-0.0006385i,0.00017903-0.00053435i,0.00097507-0.00080594i,0.0011398-0.0010273i,0.00073385-0.00074806i,0.00021196-0.0004343i,-0.00031681-0.001056i,0.00017597-0.001429i,0.00070633-0.00083616i,0.00053703-6.8633e-05i,0.00038678+0.00014138i,4.0327e-05-4.8459e-06i,-4.1533e-05-0.00011812i
0.00013916+0.00079566i,5.0815e-05+0.00074015i,-0.00066299+0.00074204i,-0.0008544-0.00041673i,0.00024295-0.0016937i,0.0012572-0.0016213i,0.00071567-0.00038436i,-4.6454e-05+0.00052692i,0.00011848+0.00048695i,0.00012881-0.00060148i,0.00017906-0.0006294i,0.00045589-9.9341e-05i,0.0006478+5.1611e-05i,0.00089995-0.00041223i,0.00067483-0.00070603i,-4.1077e-05-0.00032769i,0.00030136-8.0693e-05i,0.0004168+7.2904e-07i,0.00030437-0.00023079i,0.00044465-9.4146e-05i,0.00020064+0.00049783i,0.00020892+0.00016163i,0.00024851-0.00083502i
-0.0013932-0.0013993i,-0.0016563-0.00036963i,-0.0017937+0.0010497i,-0.0015386+0.0018503i,-0.00033235+0.0016243i,0.00042442+0.00040146i,0.00043687-0.00075242i,-0.00022885-0.001325i,-0.00013263-0.00099453i,0.00024161-0.00018372i,-0.00061777-0.00021824i,-0.00045977+0.0001995i,0.0010106+0.00048047i,0.001563-0.00050615i,0.0004468-0.0014911i,-0.00027283-0.0013812i,0.00019941-0.00024835i,0.00066829+4.2e-05i,0.00038388-0.00030905i,-0.00057676-0.00010938i,-0.0004275+0.00030553i,-0.00027566+0.0011145i,-0.00063767+0.0013491i
