0.0034825+9.486e-05i,0.0023943-0.00080115i,0.0013564-0.0030164i,-0.0021127-0.0028664i,-0.0046234-0.0021624i,-0.0042022-0.0004145i,-0.0023957+0.0015901i,-0.00057948+0.0014162i,0.00067768+0.00038407i,0.00077665-0.00070342i,0.00044269-0.00086972i,0.00080683-0.00040681i,0.0003325+0.00045827i,-0.00072686+0.000786i,-0.0016044+0.00028249i,-0.00089289-4.2033e-05i,-0.00010327-5.0105e-05i,0.00023165+0.00050789i,-1.4654e-05+0.00069334i,-0.00074254+0.00039005i,-0.00030684-0.0001476i,-1.3829e-05-0.00013442i,-0.00068967-3.4173e-06i
0.0010242-0.0012295i,0.0011525-0.0010939i,0.00058165-0.00039657i,-0.00076468+0.00014112i,-0.00093502+0.00055003i,-8.9465e-05+0.0004708i,0.00015483+0.0003706i,-2.1681e-05+0.00044148i,-0.00014963+0.00019821i,-0.00022244-0.00065056i,0.00030918-0.00081474i,0.00092283-0.00072367i,0.0015312-0.00083951i,0.0012289-0.00090624i,0.00049594-0.00049201i,-0.00021456-0.00016544i,0.00015862-0.00025631i,0.00036748+0.0001136i,-0.00038277+0.000832i,-0.00037673+0.00056827i,-0.00076586-0.000343i,-0.00014254-0.00096472i,0.0012094-0.00025903i
-2.1787e-05+9.1305e-05i,0.0014833-0.00031867i,0.0025571-0.0015238i,0.0017227-0.0013827i,0.00059323-0.00080642i,-0.00026944-0.0002276i,-0.0009718-0.00014301i,-0.00047644-0.00092075i,0.00083542-0.0014516i,0.0009586-0.0010614i,0.00054785-0.00047074i,0.00050882-0.00040172i,0.00013496-0.00040178i,-0.00022903-0.00060676i,-0.00041532-0.00012127i,-0.00087298-0.00046515i,-0.00073903-0.0015317i,-0.00032542-0.00043444i,-0.00020772+0.00086115i,0.00045758+0.00044956i,0.00085352-0.00037151i,0.00095757-0.00093144i,0.00022157-0.00032541i
0.0026995-0.00048258i,0.0022583-0.00090686i,0.00069988-0.0022254i,-0.00047715-0.002748i,-0.00046011-0.0013245i,-0.00021886-0.00015666i,0.00016393-0.00040524i,0.00013846-0.0005086i,-0.00035558-0.00017889i,-0.00092917-0.00023743i,-0.0011649+0.00027007i,-0.00073266+0.00095544i,-0.00051351+0.001084i,-0.00054835+0.00030091i,-0.00046537-0.00056682i,-0.00051831-0.0012212i,-0.00032497-0.00091771i,0.00032104+8.2459e-06i,0.00038979+0.00011039i,-0.00039902+0.00016286i,-0.00032124+1.6761e-06i,0.0003852-0.00029121i,0.00056317-0.00021384i
-0.00052879+0.00041027i,1.6256e-05-0.00075193i,-6.4423e-05-0.00068297i,0.00028126+0.00062392i,0.0002898+0.0013196i,-0.00027525+0.00066291i,0.00037643-0.00014005i,0.0011984+0.0001933i,0.00037915+0.00079448i,-0.00042233+0.00053829i,-0.00064798-6.8284e-05i,0.00030872-0.00087291i,0.001288-0.00037974i,0.00098343+0.00047956i,0.00030816-0.00010959i,-0.00014585-0.0001614i,-0.00093685-0.00049356i,-0.00068065-0.00076449i,0.00094583-0.00046241i,0.001725-0.00024387i,0.0008633+0.0001481i,-0.00015907+0.00066006i,-0.00076943+0.00090402i
5.705e-05+0.00038683i,0.00022375+0.00031325i,0.0013293+0.0002793i,0.0011591-5.0627e-05i,0.0011068-0.00075474i,0.00052067-0.00095882i,-0.00023139-0.00022808i,0.00061272+0.00047005i,0.00093142-0.00013089i,0.0002255-0.001287i,0.00016813-0.00054105i,0.00010404+0.00024412i,4.6239e-05+8.9938e-05i,0.00068723-0.00040211i,0.0010912-0.00078018i,0.00068009-0.00065849i,0.0001498-0.00031038i,0.00023648-7.7373e-05i,0.00057232-0.00039451i,0.00035513-0.00023827i,0.00047278+0.00049043i,0.00056223+0.0005496i,-4.9258e-06-0.00021298i
-0.00016101-0.0011837i,0.00034659-0.0022005i,2.1081e-05-0.001761i,-0.00037525-0.0020032i,-0.00042847-0.0022026i,-0.00034021-0.0013098i,-0.00031228-0.00086027i,-4.4788e-05-0.0010144i,0.00021588-0.00048373i,0.00020148+0.00034307i,0.00049692+0.00048845i,0.00071637+0.00036914i,0.00060745+0.00043908i,0.00050572-0.00051597i,0.00081972-0.00096061i,0.00060578-0.00061493i,-6.9794e-05-0.00029172i,-0.00021507+0.00059964i,-0.00014151+0.00077414i,0.00012507+1.2854e-05i,0.00018418-2.3557e-05i,-7.9458e-05+0.00017324i,-0.00015411+0.00023139i
0.00020963-0.0023989i,-0.00040561-0.0024555i,-0.00069314-0.0012324i,-0.0011802-0.00074715i,-0.0017312-0.00082408i,-0.0013085-0.00079162i,9.9606e-05-0.00065987i,-0.00011483-0.00055322i,-0.00088999-0.00091499i,-0.00099476-0.0011051i,-0.00078747-0.00029755i,0.00040272+0.0004747i,0.00059692-0.00033691i,-0.00038185-0.00035532i,-0.00084182+5.5852e-05i,-0.00043259+6.3769e-05i,-0.0001346-0.00021785i,-0.00018867-0.00062046i,-0.00040762-0.00099239i,5.7113e-06-0.001292i,0.00061074-0.00044069i,0.001005+0.00014618i,-0.00015577-0.00076591i
0.0018145+0.0012923i,0.0013351+0.00090028i,0.0019822-0.00014522i,0.0014152-0.0017922i,0.00056165-0.0030155i,1.9372e-05-0.0018966i,-5.8046e-05-0.00066187i,0.00048616-0.00067035i,0.00039126-3.7371e-05i,5.3149e-05-0.00033842i,3.3071e-05-0.0010653i,-0.00036562-0.0006891i,-0.00044469-0.00060969i,-8.4827e-05-0.00068369i,-0.00016509-0.00010479i,-0.00028084-0.00030477i,0.00043394-0.0011093i,0.001281-0.0005229i,0.0012984+9.7846e-05i,0.00067373-8.2409e-05i,-0.00078788-0.00025261i,-0.00063625-0.00033922i,0.00064128-9.9143e-05i
-0.0011255-0.0020378i,-0.00082001-0.0015773i,-0.00051372-0.00093055i,-0.00021126-0.00023017i,6.9578e-05+0.0003488i,0.00047318+0.00054611i,0.00045915-9.694e-05i,0.00042305-3.7799e-05i,0.00021454+0.00014076i,-8.6863e-05-9.7551e-05i,-0.00018537+6.6823e-06i,0.00020556+0.00033395i,0.00051499+0.00082804i,0.00038726+0.00079792i,-0.00017161+0.00028603i,-0.00061587-0.00052623i,-0.00063493-0.00088663i,-0.00087485-0.00010244i,-0.0011094-0.00020766i,-0.00071036-0.00033027i,0.00024705+0.00021792i,0.00010457+5.5663e-05i,-0.00064151-0.00014612i
0.00044079+0.0021481i,0.0012414+0.0016692i,0.0011163+0.0014753i,0.00072593+0.0011798i,0.00046874+0.00069979i,0.00041045+0.00028754i,0.00036885-2.7327e-05i,-0.00038279+0.00062255i,-0.00049445+0.00121i,0.00021142+0.00085341i,-0.00034444+0.00041971i,-0.00070821+0.00089642i,0.00027955+0.00078027i,0.00053837+0.00011146i,-0.0001336-0.00022364i,-0.00017796+4.8916e-05i,9.1596e-05+0.00050901i,0.00015713+0.00092293i,0.00056634+0.001393i,0.00076059+0.00099586i,0.00051485+0.00044338i,0.0002247+0.00018754i,0.00040455-0.00042131i
-0.00067196-0.0011484i,-0.00012838-0.001237i,-0.00031341-0.0010779i,0.00040873+6.737e-05i,0.00085788+0.00068593i,0.00072903+0.00028668i,0.0013281+0.00039875i,0.0011533+0.00060561i,0.00073627-0.00028694i,-9.8458e-05-0.00049232i,-0.00013036-0.0002896i,0.00087936-0.00066094i,0.00075109+9.3183e-05i,0.00012723+0.00078542i,0.00017027-2.5815e-05i,0.00019912-0.00066679i,0.00036038-0.00053206i,0.00093572+0.00041914i,0.00063585+0.00052704i,0.00074252+0.0010094i,0.00089867+0.0012857i,0.00021718-2.0038e-05i,0.00015211-0.00051704i
-7.0291e-05-0.00058676i,3.56e-05-0.0011902i,9.5112e-05-0.0015043i,0.00034342-0.00084433i,0.00018191-0.00052208i,-0.00015843-0.00068501i,-5.3815e-05-0.00029475i,0.0002139+0.00015645i,-1.6613e-05+0.00040587i,0.00020162-4.1936e-05i,6.3901e-05-0.0010244i,-0.0006396-0.0016849i,-0.00025724-0.0011516i,-1.4785e-05-0.00015019i,0.00018783-0.00062374i,0.00033501-0.00094627i,0.00027167-0.00053909i,0.00023257-0.00052602i,0.00045691-0.00069628i,0.00074969-0.00032049i,0.00022399+0.00059933i,4.4258e-05+0.0009636i,9.5863e-05+0.00027369i
0.00091527+0.0012577i,0.0005521+0.00027215i,0.0013871-0.00049789i,0.0015003-0.0001342i,0.001137-0.00011684i,0.00062431-0.0014053i,0.00040789-0.0018894i,0.0002085-0.0011215i,8.0953e-05-0.0010191i,0.00042777-0.00044307i,0.00054313+5.8862e-05i,0.00035646-0.00017208i,-0.00036084-0.00018673i,-0.00024505-9.6662e-05i,0.00027029-0.00018361i,-0.00029327-0.0001517i,-0.00040376-0.00019368i,0.00040583+0.000479i,0.0013426+0.00063357i,0.00099538-8.5052e-05i,0.00018768+2.6367e-05i,-0.00040219+0.00063339i,-0.0010226+0.00098435i
-0.00027603+0.00056706i,-2.9285e-05+0.00054491i,-0.00011808-0.0009873i,-0.00043988-0.0012949i,-0.00030644-0.00091105i,0.00022039-0.00085695i,0.00016658-9.7585e-05i,-0.00014437-0.00031511i,0.00013953-0.0004525i,0.00079011-0.00027407i,0.00078906-0.00024353i,0.0005671+0.00036183i,5.3521e-05+0.00039033i,-0.00032494-0.00026341i,-7.0991e-05-0.0010817i,-4.2524e-05-0.001034i,-0.0001802-0.00073997i,-9.4127e-05-0.0008129i,-0.00037814-0.00075568i,-0.00015579-0.00031138i,0.00039197-0.00010865i,0.00022261-0.00051123i,0.00047156-0.00052882i
0.0017943+0.00093343i,0.0015452+0.00021306i,0.001761+0.00043293i,0.0011279-0.00013071i,-0.00030002-0.00098811i,-0.0013524-0.00052733i,-0.00079564-2.8599e-05i,2.9775e-05+0.00032251i,-4.5291e-05+0.00094731i,-0.00046823+0.00052906i,-0.00019234-0.00022392i,9.8775e-05+0.00049721i,0.0002444+0.00090874i,4.5407e-06+0.00056147i,-0.0002085-6.3376e-05i,-0.00057642-0.00015075i,-0.00050579-0.00019143i,-0.00014996+0.00021283i,5.1751e-05+0.00070787i,0.0010073+0.00037279i,0.00094219+0.00082645i,0.00037628+0.00084712i,0.00093735+0.00039484i
0.00032993+0.00023671i,6.4634e-05-0.00033639i,-1.9064e-05-0.0015939i,-0.00049441-0.0013702i,-0.00022128-0.00031805i,0.00032339-0.00040458i,0.00084008-0.00075569i,0.00052684-1.1866e-05i,-0.00021992-1.4182e-05i,3.1561e-05-0.00014748i,0.00023093-0.00033208i,-3.5125e-05-0.00066669i,-0.00044688-0.00059788i,-0.00064189-5.1162e-05i,-0.00033869+0.00013008i,-0.00034275-8.1778e-05i,-0.00084585-1.7812e-06i,-0.00030803-0.00040422i,0.0005476-0.00055628i,0.00024311-0.00062458i,-0.0004743-0.0011035i,-0.00093872-0.0010126i,-0.00070707-1.9475e-05i
0.0011097+0.0010247i,0.00094076+0.00056826i,0.0012543+0.00049076i,0.00074625+0.00066721i,0.00017427-0.0002442i,0.00043638-0.0009762i,0.00052344-0.00073157i,0.00015531-0.0012825i,0.0003904-0.0011136i,0.00011638-0.0006975i,-0.00032547-0.00066776i,-0.00013342-0.00039538i,-9.7426e-05+5.9527e-05i,0.00033739+0.0011271i,0.00016567+0.0012194i,0.00012166+0.00015852i,-1.2414e-05-0.00039928i,-0.00011822-0.00013932i,-7.7217e-06+0.00041068i,-0.00020103+0.00032403i,-0.0005169-0.00058258i,5.9667e-05-0.0007206i,0.00010552-0.00023341i
-0.00010036+0.00093032i,-0.00073908+0.0007398i,0.00059661-2.1675e-06i,0.0022187+0.0001135i,0.0013877-0.00036097i,0.00013338-0.00094323i,-0.0002634-0.00065111i,-0.000538-0.00063187i,0.00010176-0.00027719i,0.0012526+0.00042734i,0.0015478-4.0361e-05i,0.00072261-8.3019e-05i,-0.00027212-0.00028443i,-0.00019939-0.00075017i,5.1557e-05-2.925e-05i,-0.00019819+0.00031613i,-0.00029791-0.00049023i,-0.00019335-0.000875i,0.00031119-0.00056129i,2.4008e-05+0.00024663i,-0.00047817+0.0006572i,0.00014211+0.00015035i,0.0004793-0.00024497i
-0.0010912+0.0022722i,-0.00065473+0.0011507i,-0.00046+0.00079456i,-0.00063237+0.0007563i,-0.00025926-0.00035033i,-0.00021527-0.0013336i,0.00017862-0.0017006i,0.00021646-0.00060037i,-0.00058298-0.00010209i,-0.0011778-0.00029924i,-0.00084215-0.00038033i,0.00053942-0.00067351i,0.0013311-0.0004601i,0.00097991-0.0003111i,0.00042023-0.00056846i,-9.1907e-05-0.00084304i,-0.00035127-0.00048266i,-9.2622e-05-0.00016929i,0.00034775-0.00035133i,0.0010944-0.0006042i,0.0015482+0.00010777i,0.00050072+0.0013334i,1.8038e-05+0.0014558i
-0.00072936-0.0016038i,-0.0010394-0.0018762i,-0.00091584-0.001455i,-0.00072612-0.00054883i,-0.0013196+2.9387e-05i,-0.00058232+1.4626e-05i,0.00040657+0.00013331i,0.00024208-3.5816e-05i,0.0003856+5.4129e-05i,0.00047041+0.00046761i,0.00038084+0.0005449i,0.00040304+0.00043608i,0.00042624+0.00065339i,0.0010072+0.00010113i,0.0014432-0.0004242i,0.00057252-0.0002802i,-0.00018023-0.00070181i,-8.4953e-05-0.00031789i,-0.00046279+0.00046512i,-0.00066752+0.00039177i,-0.00018297+0.00030529i,-7.84e-05+0.00032967i,-0.00075567+1.0165e-05i
2.4775e-05-0.0015078i,0.0006319-0.0014486i,-0.00018316-0.00089933i,-0.0014163-0.00049811i,-0.00099952+0.00049181i,1.6166e-05+0.0012956i,9.6337e-05+0.00034494i,0.00032192-0.00039563i,0.00084647+0.00026502i,0.00051974+0.00038374i,0.00010508-0.00063175i,-0.00042682-0.00056166i,-0.00082346-0.00034868i,-2.058e-05-0.00083224i,0.00035918-8.9747e-05i,0.00013954+0.00042346i,7.1743e-05-0.00018336i,0.00050658-0.00048958i,0.00054791-0.0010067i,9.0022e-05-0.0012131i,0.00014177-0.00083609i,-9.4304e-05-0.00030908i,-0.00031915+0.00021267i
-0.00096212-0.00013715i,-0.00056694-0.00039869i,-0.00074909+0.00082785i,0.00070132+0.00096285i,0.0016785+0.0015145i,0.00045449+0.00034727i,-2.202e-06-0.0010535i,0.00096218-0.00052502i,0.00024643+0.00010644i,-0.00036201+9.0897e-05i,0.00058534-0.00077289i,0.0010906-0.00068079i,0.00050934+0.00012754i,0.00038944+0.00045055i,0.00085627+0.00069911i,0.00030666+0.00043888i,-6.2646e-05-7.4789e-05i,6.2356e-05-9.058e-05i,-0.00035052-0.00010179i,-0.00042161-3.2981e-05i,-0.00014908+3.4823e-05i,0.00013145+0.00022756i,-0.00011133+0.00066058i
-0.0013896-0.0017296i,-0.0014935-0.0019982i,-0.0012922-0.00040305i,-0.0010717+0.0012747i,-0.00036541+0.0019676i,5.3397e-05+0.0012538i,0.00043015+0.00022076i,0.00042499-0.00017032i,-0.00034337-0.00027178i,9.985e-05-0.00014374i,0.0010333-0.00014715i,0.00089666-0.00038555i,0.00018414-9.9544e-06i,0.00017691+0.00029641i,0.00055651-7.9854e-05i,0.00052857-0.00070826i,0.00022481-0.00032225i,-9.7809e-05+0.00028777i,-0.00019434+0.00054964i,4.7031e-05+0.00042778i,0.00049002-0.00034239i,-0.00014805-0.00040314i,-0.00096882+0.00067599i
-0.0010607-0.0015257i,-0.00035116-0.0020142i,-0.00076359-0.00053555i,-0.0011385+0.00064761i,-0.00064571-0.00016225i,0.00041449-0.0015473i,0.00093199-0.00053307i,0.00034621+0.00074146i,0.00022745+2.0852e-05i,0.00043012-1.7796e-05i,-4.5625e-05+0.00028132i,0.00024993-0.00061617i,0.00038343-0.0011435i,-0.00041379-0.0011148i,-0.00078085-0.00065997i,-0.00017338-0.00015446i,0.00039636+0.00011849i,0.00022119-5.327e-05i,-0.000434-0.00015703i,-0.000361-0.0006895i,8.7589e-05-0.00050845i,0.00040007+0.00015823i,0.00013465-0.00021569i
-0.0011785+0.00015989i,-0.00084627+0.0012042i,-0.0012817+0.0012385i,-0.00042416+0.00086384i,0.00047519+0.00012989i,0.0013256-0.00012129i,0.0014976+0.00018565i,0.0013167+5.4967e-05i,0.00076417-0.00029706i,5.8541e-05-0.00029269i,-0.00031171+4.9299e-05i,-0.00021243-0.00052137i,0.00044656-0.00098458i,0.00034668-0.0011975i,-0.00028533-0.0010485i,-0.0002625+1.2646e-05i,-0.00017255+0.00078925i,0.00013246+0.00079843i,0.00024199+0.00024824i,-0.00088109-0.00023116i,-0.0017855-0.00071685i,-0.0010156-0.00086016i,3.3067e-05-0.00059301i
-0.00010709-0.00077004i,-0.00054945-0.0015963i,-0.00041471-0.0018722i,-8.2867e-05-0.00034499i,-0.00027028+0.00023619i,-0.00019765-7.7041e-05i,-0.00013145-0.00069283i,5.756e-05-0.00086613i,0.00051229-0.00033385i,0.00032768-0.00056935i,0.00025447-0.00050021i,-7.6506e-05-0.00016956i,-0.00064722+9.4888e-06i,-0.00074662+0.0007738i,-0.00029003+0.00095647i,-2.344e-05+0.00037239i,-0.00060064-0.00020604i,-0.00043879-0.00044198i,-0.00039695-0.00053688i,-0.00063673-1.8806e-05i,0.00020156+0.00079575i,0.00084387+0.0012756i,0.00073704+0.00087965i
