-0.0015467+0.0022153i,-0.00055436+0.00079707i,-0.0012163+0.00038284i,-0.0014491+0.0020474i,-0.00076455+0.0042593i,-0.00042214+0.0043659i,0.00036545+0.0029868i,0.0014299+0.0018701i,0.0016051+0.00033753i,0.0011691-0.0012605i,0.0012298-0.0018175i,0.0011166-0.0012548i,0.00010379-0.00080189i,-0.00094246-0.0012223i,-0.0015152-0.00094852i,-0.0011126-0.00029155i,-0.0012921+0.00027851i,-0.0011003+0.00020059i,-0.00022622+0.00049i,-0.00036072+0.00024856i,-0.0002288-0.00045367i,0.00078773-0.00079983i,0.00061898-0.00059107i
0.0014272-0.001358i,0.00079214-0.00024322i,0.00054591-0.00027392i,-4.04e-05+0.00075765i,-0.00081018+0.0020581i,-0.00057673+0.00072133i,-0.00052887-0.00054994i,-0.00069187+0.00023241i,0.00011724+0.00078696i,0.0009682+0.00060724i,0.00062032+0.00082064i,-0.00042108+0.00051848i,-0.00012487-0.00012965i,0.00028534+0.00036771i,-0.00016903+0.00041587i,-0.00028699-0.00012178i,-0.00060177-0.0004956i,-0.00019042-0.00098108i,0.00040805-0.00059024i,-0.00011601-0.00029697i,-0.00069196-0.00035794i,-0.00023932-0.0008175i,0.00027538-0.0012518i
0.0013314+0.00076422i,0.0023369+0.00015474i,0.0025071+7.5866e-06i,0.0016747+0.00074269i,0.00059767+0.00089675i,0.00012791+0.0010823i,0.00044029+0.00097613i,0.00096005+0.0003846i,0.00097169-0.0002605i,-0.0003141-0.00039056i,-0.00077983+0.00024732i,0.00054816+0.00033531i,0.0005467-0.00013188i,0.0002484-0.00045712i,-3.5755e-05-0.00045546i,-0.00059069-0.00031751i,-0.00075667+0.00022606i,-0.00082286+0.00030404i,-0.0011148-0.00028443i,-0.0010174-0.0002692i,-8.1509e-05-6.5253e-05i,-0.00016007-6.9862e-05i,-0.00011079-0.00017578i
0.0011599-7.0889e-06i,0.0015674-0.00053079i,0.0021196-0.00039575i,0.00094802+0.000116i,0.00027832+0.00033104i,0.00064869+0.00093551i,0.00097545+0.0011286i,0.0013181+0.00012265i,0.00099515-0.0011654i,0.00044728-0.00087391i,0.00046371-0.00050961i,0.00018473-0.0010327i,0.00035846-0.0007833i,0.00093922+8.0031e-05i,0.00041082+0.00050712i,0.00012949+0.00061625i,-0.00049165+0.00063566i,-0.0009924+0.0007644i,-0.0010638+0.00091715i,-0.00042716+0.00070722i,0.00058944+0.0011096i,0.001063+0.001033i,0.00095497+0.00033396i
0.0017342-0.0011793i,0.0036465-0.00078374i,0.0042778-0.00059589i,0.0016181-6.2984e-05i,-0.00050291-0.00015156i,-0.00053978-1.0022e-05i,-0.00060366-2.5503e-05i,0.00016588+0.00022485i,0.00055423+0.00088347i,-0.0006846+0.00050324i,-0.0012666-0.0008111i,-0.00020838-0.00080573i,-0.00022282+0.00053383i,-0.00027829+0.00099976i,0.00050091+0.00043428i,0.00053741+0.00050571i,0.00066554+0.00058965i,-0.00023096+6.1984e-05i,-0.00089528+0.00042017i,-0.00065992+0.0008806i,-0.00030989+0.00071333i,-9.8491e-05+0.0006789i,0.00010961+0.00043739i
0.00054644+0.0023766i,0.001833+0.0019571i,0.0023772+0.0020672i,0.0017468+0.00118i,0.00077952+0.00039497i,-1.8419e-05-0.00043146i,-0.0006264+1.5944e-05i,-0.00045219+0.00056286i,0.00047676+0.00026665i,0.00077877+0.00020165i,0.00048401+9.7711e-05i,2.1358e-05-0.00072394i,-0.00085016-0.00026771i,-0.0010196+0.00037353i,-0.0010335-0.00024619i,-0.0011485-0.00047556i,-0.0011319-0.00056862i,-0.00052855-0.00047345i,0.0001102+0.00038905i,1.9684e-05+0.0007196i,-0.00026924+0.00083685i,-0.0007899+0.0004727i,-0.0012359+0.0003942i
0.001848-0.000643i,0.001495-0.0010454i,0.00050188-0.0013136i,9.9868e-05-0.0010398i,0.00054372-0.00059529i,0.00018773+0.00043731i,-0.00028448+0.001615i,0.00044223+0.00044173i,0.00089288-0.00071039i,8.7238e-05-0.000407i,-0.00052639-0.00059098i,-9.2605e-05-0.00092787i,-0.00049186-0.00053699i,-0.00094437+6.123e-05i,-0.00087995-0.00021068i,-0.00082952-0.00021098i,-0.00063923+0.00059349i,-0.00095126+4.8803e-05i,-0.00091239-0.0012704i,-0.00065607-0.0011166i,-0.00071106-0.00036562i,-0.00020051+0.0001589i,0.00054953+0.00061491i
-0.0003722+0.0002607i,0.0003208+0.00081907i,0.00048249+0.0011392i,0.00013525+0.002101i,0.00083268+0.0022252i,0.001215+0.0013175i,0.0012389+3.7921e-06i,0.0012358-0.00094499i,0.00044547-0.0014471i,-7.6653e-05-0.0018832i,3.1918e-05-0.0012557i,-0.00012932-0.00023319i,8.5321e-05+0.00018327i,0.00048121-0.00016898i,5.1637e-05-0.00061095i,0.0001139-0.00013023i,0.000444+0.00036159i,7.2092e-05-0.00016857i,-0.00021092-0.00076571i,0.00026909-0.00013509i,0.00034639+0.00029647i,-0.00011146-0.00078387i,-7.8363e-05-0.0011841i
0.00028531-0.00014989i,0.0014232+0.0003788i,0.0012084+9.9519e-05i,6.8416e-05-0.00022297i,-0.0010057+0.001053i,-0.0013737+0.0017204i,-0.0011572+0.00057253i,1.3824e-05+0.00023426i,0.00042621+4.0732e-05i,-0.00057245-0.00071819i,-0.00099783-0.00077125i,-0.00032222-0.00047515i,0.0002758-0.00048199i,0.00026089-0.00044089i,-0.00031481+0.00017617i,-0.00045486+0.00037799i,-0.00025452+0.00035235i,0.00013998-0.00040111i,0.00049519-0.00094504i,-8.1665e-05+7.4573e-05i,-0.0003451+0.00065487i,-0.00042409+1.7994e-05i,-0.00052972+3.8907e-05i
-0.00046959-0.0012947i,-0.0004024-0.0013356i,-0.0016186-0.0009151i,-0.0018851+0.00015591i,-0.00072041+0.0012766i,-0.00018959+0.0017331i,0.00016675+0.00083628i,0.00037035+0.00023874i,0.00036743-0.00053422i,0.00013686-0.0012609i,-0.00024348-0.00073613i,0.0001522-0.00055762i,0.00059091-0.00057138i,8.6225e-05-0.00031162i,0.00010226+0.00021549i,0.00070313+0.00046993i,0.0010761+0.00034283i,0.001211+0.00029443i,0.00087937-0.00015623i,0.00042567-0.00050055i,-0.00014695-8.4147e-05i,-0.00052307-0.00030832i,-0.00012681-0.00059646i
0.0010811+0.0012793i,0.0019802+0.00041884i,0.0029633+0.0010353i,0.0027366+0.0010928i,0.0018816+0.0006034i,0.00094866+0.001409i,0.00065542+0.001456i,0.00081584+5.3275e-05i,0.00061927-0.00071692i,0.00043468-0.00027034i,0.00061322+0.00017916i,0.00025986+5.6222e-05i,-0.00015117+0.00011411i,-0.0008509+0.00066182i,-0.0010091+0.0009704i,-0.00042851+0.00093581i,0.00018982+0.00075835i,-7.2922e-05+0.00063951i,-0.00031406-0.0004223i,3.2868e-05-0.00077925i,0.00025839+0.00029797i,0.0005974+0.00075033i,0.00022422+0.00047704i
0.0025051+0.001318i,0.0032841-0.00053524i,0.0035078-0.0016776i,0.0020668-0.0013748i,-0.00010628+9.555e-05i,-0.00082997-7.4083e-05i,-0.0004834-4.1101e-05i,-0.00017496+0.00060487i,0.00041854-0.00032089i,0.00072167-0.00094259i,0.00023223-0.00049138i,-0.00074926+0.00020314i,-0.001272+0.00037209i,-0.0010014+0.00039321i,-0.00057996+0.00069693i,-9.9901e-05+0.00027965i,6.9676e-05-5.5331e-05i,-0.00061393+0.00032188i,-0.0005062+6.4988e-05i,0.0003719-6.4463e-05i,0.00050473-5.1096e-05i,0.00010929+0.00028829i,-0.00044756+0.00068449i
0.0023458+0.0010624i,0.0018665+0.00085633i,0.0025619+0.00021266i,0.0017148+0.00096926i,-7.5614e-05+0.0014274i,-0.00080516+0.0010953i,0.00061643+0.00090245i,0.0010248+0.00057156i,0.00061648+0.0002071i,0.0011366+3.8509e-05i,0.00014853-0.00043266i,-0.00075346-0.00032245i,-8.916e-05+0.00013942i,-6.0726e-05+0.00028547i,-0.00026759+0.0002265i,0.0002116+0.00069319i,0.0001578+0.00089754i,8.9079e-05+0.00022199i,-0.0002175-0.00010723i,-0.00036716+0.00025067i,0.00019965+0.00043068i,0.00023127+5.3576e-05i,0.00018683-0.00055411i
-9.9625e-05+0.0013024i,0.00012982+0.002113i,0.0013465+0.0015974i,0.0010601+0.00045795i,0.00066199+0.00046085i,0.00095342+0.00061854i,0.00067008+0.00064818i,0.0008165+0.00034424i,0.0016176-0.00071132i,0.0017962-0.00088638i,0.0013585-0.0010126i,0.00098424-0.0011838i,0.00031392-0.00067271i,-0.00094276-0.00070932i,-0.00052684-0.00066975i,0.00061942-0.00062832i,0.00078712-0.0009875i,-4.4607e-05-0.0004039i,-0.00067846-3.3285e-05i,-0.00034745+4.4854e-05i,7.1417e-05+0.00028217i,3.6988e-05-8.739e-05i,-2.4116e-05-0.00037692i
0.00030962-0.00084522i,0.00086666+0.00027425i,0.00084788+0.0003464i,-0.00048298+0.0011404i,-0.0017265+0.0028295i,-0.0013741+0.0027622i,-0.00078664+0.0010562i,-5.6343e-05-9.8381e-05i,0.00048054-0.0006419i,0.00031532-0.00098019i,-0.00013793-0.00035612i,-0.00026846-3.7382e-06i,0.000207+2.03e-06i,7.8717e-05+0.00097337i,-0.00013682+0.00078683i,6.2064e-05+0.0002974i,-0.00020611-4.0937e-05i,8.8563e-06-0.0002559i,-0.00019364-0.0010617i,-0.00064384-0.0007447i,-0.00055629+0.00030569i,-0.00037513+0.00063814i,0.0003335+0.00050969i
0.0018323-0.00032794i,0.0028975-0.0003872i,0.0024907-0.0010329i,0.0009158-0.0020721i,-1.2456e-05-0.0019472i,-0.00038023-0.00046717i,-8.6472e-05+0.00019423i,0.0008274-0.00024335i,0.00085854-0.00077364i,0.00021311-0.00076273i,0.00037738-0.00087344i,0.00039763-0.00030789i,0.00018315-0.00013327i,-0.00027103+0.00017605i,-0.00070514+0.0011232i,-0.00045133+0.0008703i,-0.000228-0.00023844i,9.3942e-06-9.0001e-05i,0.00029761-0.00017465i,0.00020539-0.00050479i,0.0003374+4.2408e-05i,0.00061211+0.000996i,0.00024886+0.0012408i
0.00069029-0.0010029i,-0.0013528-0.0005988i,-0.0017951-0.00031351i,-0.0015147+0.0007051i,-0.001515+0.0019926i,-0.00056732+0.0017529i,0.0010683+0.0011613i,0.0017956+0.00059194i,0.0011012-0.00034484i,0.00021955-0.00040819i,-0.00028138-0.0005178i,-6.417e-05-0.00085932i,0.00059147-0.00034285i,0.00093127-0.00052774i,0.0010718-0.00053083i,0.00072474+0.00027938i,0.0005475+0.00059466i,0.00080143-5.5134e-05i,0.00078858-0.00051767i,0.00087728-0.00062755i,0.00058522+2.444e-05i,-2.2071e-05+0.00059626i,0.0004207-7.8473e-05i
0.0002759+0.0001385i,0.0009809+0.00063569i,0.00055942+0.00093568i,0.00027482+0.0012017i,0.00034859+0.0020638i,0.00045272+0.0019632i,0.0011755+0.00060273i,0.0017887+9.0297e-05i,0.0012566+5.2885e-05i,0.00041018-0.000191i,0.001221-0.00010457i,0.0015603+5.2425e-05i,0.0008443-0.00032346i,0.0004018-0.00045558i,8.9554e-06-0.00012275i,-0.00048131+1.0858e-05i,-0.00054165+0.00027724i,4.1199e-05+0.00023421i,-0.00012273-0.00023446i,-0.00043469+0.00041417i,0.00019211+0.0011048i,0.00061704+0.0010546i,0.00036594+0.00076374i
0.0013866+0.0010959i,0.0021161+0.00047334i,0.0024512+0.00018731i,0.0013224+0.00070837i,0.00034278-0.00012659i,-0.00039706-0.00087728i,-0.0011196-0.00056029i,-0.00058629-0.00019035i,0.00065952-0.00012054i,0.0008016-3.6741e-05i,-0.00059893-0.0004228i,-0.00093468-0.00074989i,-0.00040869-0.00032678i,-0.00099123+0.00041013i,-0.00059347+0.0006961i,-0.000139+0.00059301i,-0.00027374+0.00042682i,-0.0001347+0.0003803i,0.00025707+0.00060934i,0.00044824+0.00063522i,-0.00052651+1.954e-05i,-0.00060516-0.000508i,0.00015987-0.0007549i
-1.8196e-05-0.0034899i,0.00038006-0.0021819i,-0.00026779-0.00093207i,-0.002145+4.9567e-05i,-0.0029679+0.001487i,-0.0021643+0.0026009i,-0.00029938+0.002028i,0.00074277+0.0012497i,0.00031589+0.00045105i,0.00019179-0.0010478i,0.00091186-0.00099852i,0.00067197-0.00039218i,0.00054823+0.00042422i,0.00091197+0.0004353i,0.00059945+0.00046413i,-0.00026988+0.00048559i,-0.0004257-0.00044682i,2.248e-05-0.00088252i,0.0001223-0.00054661i,-7.5911e-05-0.00018527i,0.00030996+0.00013171i,0.00045471+0.00032894i,-6.6416e-05+0.00042887i
-0.00024273+0.00021287i,-0.00037302-4.5045e-05i,-0.00010071+0.0013891i,-0.0013497+0.0026439i,-0.0018733+0.0015511i,-0.00039739+0.0006493i,0.0011012-8.0714e-05i,0.0007376-0.00049175i,0.0010028-0.00046952i,0.0014759-0.00032539i,0.00096896-5.6339e-05i,0.00069818-8.767e-05i,0.00058384+9.9299e-05i,-0.00019822+0.00025815i,-0.0010312-2.844e-05i,-0.0014444-0.00035275i,-0.00095178-0.00073052i,0.00019905-0.00075021i,0.00063051-0.00048246i,0.00014705+4.5965e-05i,-0.00099304+0.0006403i,-0.00066333+0.00077794i,-0.00020413-0.00020675i
-0.00038049+0.0014588i,0.001928+0.00054395i,0.0033101-5.3622e-05i,0.0033649-0.00020834i,0.0026076+0.00011587i,0.0015379-0.00026921i,0.00099984-0.00043228i,0.0003605-3.7568e-05i,-4.7399e-05-0.00026301i,-5.5767e-06-0.00075211i,0.00037669-0.00071138i,0.00022925-0.00027702i,-0.00058767-0.00085491i,-0.001142-0.00065734i,-0.0010264+0.00044365i,-0.00060403+0.00070974i,-0.00047274-0.00011519i,0.00044139-0.00049064i,0.00073993-9.7357e-05i,0.00035578+0.00066578i,0.00022908+0.00094547i,-5.6964e-05+0.00020026i,-0.00045575+0.00035497i
0.0018216+0.0013936i,0.0025278+0.00092071i,0.0025152+0.00122i,0.002106+0.00091786i,0.0011108+0.00034622i,0.0005742+0.00085309i,0.00032672+0.0013063i,5.1547e-05+0.0013522i,-3.176e-05+0.0010624i,0.00012971+6.5768e-05i,-0.00034746+0.00013566i,-0.00084955+0.00072845i,-0.00069746+0.00050207i,-1.7448e-05+0.00076106i,0.00034236+0.00097655i,-0.00031276+0.00089165i,-0.00032323+0.00019859i,0.00034023-0.0005569i,0.00021541-0.0001841i,0.00018361+0.00012403i,0.00054-0.00050272i,-0.00012356-0.00011997i,-0.00094497+0.00058781i
-0.00019731+0.00051012i,0.0010723+0.00077176i,0.001645+0.001661i,0.001289+0.0019938i,0.0012304+0.0023248i,0.0018137+0.0020726i,0.0018767+0.00055902i,0.0015126+4.1399e-05i,0.001154-0.00058389i,0.00037892-0.0013434i,6.9474e-05-0.0011409i,0.00052419-0.00016928i,-7.9894e-05+0.00012209i,-0.0016161-9.916e-05i,-0.0016495+7.2666e-05i,-0.00068754-8.4668e-05i,3.8894e-05-0.00048208i,0.00039254-0.00058762i,0.00023597-0.00019758i,0.00032557+4.4347e-05i,0.001056+0.00084579i,0.0015208+0.0010992i,0.0012077+0.00038519i
0.0006107+0.00030215i,0.0013816-0.00045325i,0.0017282+0.00063323i,0.00080455+0.0012799i,-0.00036733+0.00074201i,-0.0008452-0.00011151i,6.1357e-05-0.00071916i,0.00096089-0.0011037i,0.00053662-0.0007074i,3.0338e-05+0.00036085i,-0.00010414-7.2771e-05i,-0.00015591-0.00047472i,0.00017304-0.00045542i,0.00018222-0.00023552i,0.00010868+0.00011668i,-0.00012996-4.3886e-06i,-8.7997e-07+0.00015398i,0.00038177-5.4283e-05i,0.00062116-0.00058687i,0.00043141+0.00014782i,0.00059333+0.00087839i,6.7818e-05+0.00045858i,-0.00018994-0.00015472i
0.0026+0.0012997i,0.0030777+0.00086583i,0.0035938-0.0001828i,0.0026501-0.00055165i,0.0006715+0.0002897i,-0.001305+0.0010228i,-0.0010818+0.0016928i,0.00023969+0.0022691i,0.00082069+0.0014015i,0.00044908+0.0003936i,-0.00052422+5.4337e-05i,-0.00099461-0.00052361i,-0.0013611-0.00079017i,-0.00099458-0.00079216i,-0.0012834-0.00097342i,-0.0016017-0.00033286i,-0.00098896+0.00018563i,-0.00083662-0.00044112i,-0.00027819+2.9125e-05i,0.00019385+0.00064937i,-0.00014513-0.00015122i,0.00045014-0.00012224i,0.0005892+0.00061305i
0.00053179-0.00053559i,0.000798-0.00014482i,0.00095349-0.00074339i,-0.00065222-5.4406e-05i,-0.0021994+0.0012842i,-0.00088675+0.0014824i,0.00070044+0.00092363i,0.0010508+0.0010188i,0.00090424+0.00074817i,0.00016757-0.0001332i,-0.00035646-0.00056488i,-0.00016574+0.00027806i,-5.1777e-05+0.00038868i,-0.00024051+0.00034058i,-0.00037963+0.00047305i,7.1092e-05+0.00041439i,0.00015907+0.00042754i,-0.00021972-1.7973e-07i,-0.00061867-0.00055514i,-0.00073352-0.00036023i,-0.00040037+0.00067752i,-0.00064333+0.0014251i,-0.00090817+0.0011344i
0.0021837-0.001432i,0.0019988-0.0011864i,0.0011306-0.0012568i,0.00034796-8.1572e-05i,-0.00082537+0.0018244i,-0.0012909+0.0023403i,-0.00048484+0.0014862i,0.00043798+0.00059047i,0.0010604-0.00065914i,0.00071631-0.0010504i,-0.00028568-0.00034431i,-0.00057806-0.00044898i,-0.00053874-0.0010093i,-0.00013168-0.00042211i,-9.9279e-05+7.0259e-05i,-0.00020129+0.00031687i,8.1709e-05+3.3088e-05i,0.00063179-0.00018858i,0.00014352+1.9041e-05i,9.5074e-05-9.7913e-05i,0.00042853-1.6504e-05i,6.5135e-05+0.00019192i,0.00040679+0.00010479i
0.0015264+0.00018354i,0.0021549-2.7273e-05i,0.0019763-0.00075063i,0.0016368-0.0007792i,0.00051909+4.3515e-07i,-0.00031904-0.00016814i,-0.00044027-9.8355e-05i,0.00072001-0.00049267i,0.0017376-0.0012709i,0.0011098-0.0011558i,0.00058969-0.00047789i,3.843e-05-0.00010885i,-0.00043325-0.00087875i,0.00012634-0.00072969i,0.00074298-0.0001173i,0.00031444-0.00047694i,0.00018762-0.00033116i,0.00067827-0.00025277i,0.00048093-0.00045571i,0.00031759-5.304e-06i,-0.00013411+0.00052542i,-0.00036035+0.0011097i,-2.4177e-05+0.0016844i
-0.0003412-0.00048986i,0.00071813-0.0012251i,0.00067792-0.0015701i,-0.00031931+0.00023069i,-0.0007095+0.0010692i,-0.0008888+0.0010455i,-0.00039582+0.0011057i,0.00027951+0.00049843i,-2.2485e-05-0.00044535i,-0.00052816-0.0011808i,5.2294e-05-0.0013568i,0.00019902-0.0013754i,-0.00056864-0.00098939i,-0.00066994-0.00030481i,-0.0001267-3.7118e-05i,-0.00014312-0.00027086i,-0.00024591-0.00060949i,-0.00040969-0.00044715i,-0.00022496-0.00048297i,0.0001637-0.00066897i,0.00019328-0.00066393i,0.00037937-0.0007484i,0.00077756-0.00022215i
-0.0013809+0.00054898i,-0.00015884+0.0007123i,0.00030218+0.0007726i,0.00070318+0.001487i,0.00050787+0.0023634i,0.00057596+0.0017821i,0.0009193+5.4673e-05i,0.0015024-0.00079989i,0.0013698-0.00062846i,0.0003116+7.8123e-06i,0.00039065+0.00022942i,0.00023269-0.0006042i,0.00018286-0.00092631i,0.00041805-0.0003784i,-0.00088962+0.00038511i,-0.0012883+0.00032965i,-0.0002954+0.0002385i,-0.00029386+0.00032401i,-0.0011313+1.0818e-05i,-0.0012744-0.00018669i,-0.00094965-0.00028488i,-0.00072638-0.00012525i,-0.00030884-0.00038744i
0.00059045+0.00306i,0.0014406+0.0024622i,0.002133+0.0028191i,0.002227+0.0025552i,0.0023965+0.0019424i,0.0018626+0.001573i,0.00089989+0.00045797i,0.00012092-3.2583e-05i,-4.4092e-05-0.000272i,0.00073108-3.5509e-05i,0.00060394+0.00043401i,-0.0003916+0.00076837i,-0.00045974+0.00043056i,8.3201e-05-0.00021455i,-9.0667e-05-0.00049551i,0.00016696+7.1946e-05i,0.00016976+0.0012754i,-0.00049268+0.0012929i,-0.00023958+0.00060576i,0.00069546+0.00044287i,0.00061361+0.00013096i,-0.00035234-0.00057896i,-0.00041203-0.0010357i
-0.00066392-0.0016325i,-0.00092256-0.0015625i,-0.0019314-1.8598e-05i,-0.0033269+0.0017632i,-0.0037089+0.0020141i,-0.0021109+0.0018471i,-0.00010674+0.0016694i,0.00066376+0.00083208i,0.00098961-0.00034101i,0.0010011-0.00074916i,0.00073456-9.7577e-05i,0.00064004+0.00078794i,0.0010307+0.0010578i,0.0012342+0.00038131i,2.4796e-05-0.00048052i,-0.00054744-0.00028483i,0.00011159-0.00038528i,-0.00025991-0.00013667i,-0.0010583+0.00067753i,-0.00019869-8.0272e-06i,0.00088103-0.00092612i,0.00062463+4.6489e-05i,-0.00024051+0.00039806i
