-0.0029172+0.00016245i,-0.0026526+0.0007785i,-0.0023427+0.00092084i,-0.0021753+0.00093462i,-0.0022312+0.0019695i,-0.0011609+0.0023728i,0.00031539+0.0016635i,0.00053027+0.0013923i,0.00065091+0.00031596i,0.0010023-0.00079666i,0.00047094-0.0012685i,0.00011551-0.0016768i,0.00061068-0.001127i,0.00093013-0.001189i,0.0012654-0.0012081i,0.0014343-0.00041311i,0.00068724-9.4717e-05i,4.0916e-05+0.00020174i,-0.00031725+0.00016345i,-0.00081473+9.3454e-05i,-0.00099451+0.00031358i,-0.00054829+0.00069289i,-0.00014+0.00041552i
-0.0013746-0.00064648i,-0.0024028+0.00083392i,-0.0018527+0.00075265i,-0.0010516+0.00037576i,-0.00087464+0.00099513i,-0.0013021+0.0017929i,-0.0011386+0.0017362i,-0.00015973+0.00080849i,0.00037777+0.00072528i,0.00010709+0.00065145i,0.00044725+0.00058083i,0.00037757+0.0010777i,-4.5193e-05+0.0012322i,0.00053507+0.001375i,0.00064858+0.00082505i,-0.00011943+0.00053979i,-0.0006438+0.0004204i,-7.9416e-05-5.881e-05i,0.00059879+5.4603e-05i,0.00039795-0.00067784i,0.00043708-0.00078708i,0.00037071+0.00056813i,0.00046083+0.00059856i
0.001752-0.0018068i,0.0009574-0.0022783i,7.2229e-05-0.0017637i,-0.00062128-8.8905e-05i,-0.00057536+0.0010689i,-0.00064736+0.0013154i,-0.00089858+0.0015975i,-0.00065901+0.0011948i,-3.5527e-05+0.0003031i,-0.00051732-0.00067181i,-0.0007181-0.0013366i,-0.00048299-0.00099512i,0.00020511-0.00066461i,0.00011384+0.00079462i,-0.00056252+0.0010903i,-9.4758e-05-0.00039547i,0.00055568-0.00016418i,0.00051744+0.0007296i,0.00087827+0.00074564i,0.0015507+0.00035729i,0.0017343+0.00062431i,0.00080323+0.00052192i,0.00024805+0.00024449i
0.00082645-0.00032146i,0.0013291+0.001228i,0.0021755+0.0019832i,0.0020198+0.0010872i,0.00075499-1.2716e-05i,-0.00047362+0.00049439i,-0.00073738+0.0011078i,-0.00074345+0.00070099i,-0.0012312+0.0005047i,-0.0010007-0.00023676i,-8.7918e-05-0.00046987i,0.00033476-0.0005562i,1.0532e-05-0.0007752i,5.2055e-05+5.1916e-05i,0.00084855+0.00047264i,0.0011746-0.0004098i,0.0014664-0.00084486i,0.001017-0.0005083i,0.0003626-0.00015439i,0.0010144-0.00052391i,0.00062941-0.00034359i,0.00014069+0.00013786i,0.00038779+0.00096364i
0.0027127-0.0018827i,0.001536-0.003419i,8.0793e-05-0.005087i,-0.00035338-0.0032262i,-0.0010293-0.00020232i,-0.00059729+0.0014207i,0.000987+0.00054502i,0.001181-0.00080698i,0.0008261-0.001176i,0.00029902-0.00061591i,-0.00038441+0.00032867i,-1.8208e-05+0.00070939i,0.00016765+0.0010611i,0.00029635+0.0022278i,0.00075125+0.0025706i,0.00095238+0.0012688i,0.00052066+8.6016e-05i,0.00024311+7.7231e-05i,0.00038781+0.00076642i,0.00065804+0.00071658i,0.00030485+0.00038108i,-0.00021471+4.794e-05i,-0.00016142-0.00049876i
-0.00070693+0.0016626i,0.00046533+0.0019795i,0.0010821+0.0022605i,0.0012463+0.001689i,0.00075174+0.00095097i,0.00034726+6.0981e-05i,-0.00041138-0.00034366i,-0.00037359-0.00022831i,-0.00020736+0.00025563i,-0.00010623+0.00041451i,0.00062988-0.00031318i,0.00084819-0.00041238i,6.0149e-05-0.00026418i,-0.00038934-0.00036241i,0.00018058+0.00029656i,0.00021197+9.8901e-05i,-0.00044129-0.00038012i,-0.00061704-0.00026781i,-0.0002842-3.7742e-05i,0.00012351-0.0005473i,0.00021025-0.00060449i,-0.00013366-0.0001987i,-0.00021159-5.4102e-05i
-1.8635e-05+0.0021954i,0.00010527+0.0015804i,0.00055976+0.0015642i,0.00091775+0.0022083i,0.0010301+0.0013849i,0.00076967+0.00068381i,-8.6386e-05+0.0010951i,9.5836e-05+0.0011682i,1.6994e-05+0.0010749i,-0.00022996+0.0011768i,0.00075415+0.00011363i,0.00060095-0.0013611i,-0.00044173-0.0015358i,0.00038161-0.0014532i,0.00034816-0.0010025i,-0.00022028-0.00080027i,0.00035664+0.00012545i,0.00045672+0.00062204i,-0.00012486+0.0002435i,-0.00015691-9.5651e-05i,-0.00017648-0.0002919i,-0.00059442-0.0003473i,-0.00023142-0.00023664i
-0.0036342-7.2761e-05i,-0.0033833+0.00032173i,-0.0018234+0.0021429i,0.00051158+0.0039115i,0.0016472+0.0040253i,0.0013326+0.0023025i,0.0012642+0.00056088i,0.00019763-4.9276e-05i,-0.00088442-6.6888e-05i,-0.00018279+7.6359e-06i,0.00086508-0.00019794i,0.00073601-0.0004012i,0.00035354-0.0011181i,0.00080217-0.0013301i,0.001678-0.00093978i,0.0012653-0.00079701i,8.5664e-05-0.00056893i,-0.00062196-0.00049169i,-0.00033386-0.00013286i,-0.00055705+0.00059097i,-0.00079783+0.0007335i,-0.0001179+3.0989e-05i,0.00052857-0.00022433i
0.0010417-0.00071315i,0.0012669-0.0004388i,0.0010755-0.00064799i,0.0010938+7.2618e-05i,0.00076421+0.00096015i,0.00028477+0.00046737i,0.00020182+0.00012233i,0.00040346+0.00074192i,0.00051431+0.0008437i,6.259e-05+0.00048288i,-3.6096e-05-9.5171e-05i,0.00085682-0.00046424i,0.00095628+0.00068583i,0.00030217+0.0015482i,0.00041315+0.00059658i,0.00066068+0.00034749i,0.00014481+0.00065805i,-0.0005626+0.00035808i,-0.0003599-0.00064946i,-9.1342e-05-0.0012286i,-0.0006073-0.00071238i,-0.00030864-0.00026686i,-0.00067268+0.00074749i
0.0007901-0.00011892i,2.4083e-05+0.00054168i,-0.00012229+0.00064733i,0.00043145-9.1767e-05i,-9.7193e-05+0.0003272i,-0.0001923+0.0015593i,6.868e-05+0.0018837i,-0.00036798+0.0013291i,-0.00051718+0.00063924i,0.00010235+0.00045885i,0.0011121+0.00024339i,0.0006005+0.00016055i,0.0003675+9.9019e-05i,0.00067741-0.00015841i,-0.00017594-0.00028895i,-0.00031924-0.00016897i,0.0002279-0.00016561i,0.00066048-0.00020933i,0.00032181+0.00024651i,0.00023761-4.1388e-05i,0.00021808-0.00075913i,-0.0012343-0.00060657i,-0.0014894-1.8105e-05i
0.00088074+0.00031837i,0.00070027+0.00019543i,0.0006344+0.00030504i,0.00060486+0.0012076i,0.00051529+0.0012614i,-0.00085803+0.0005081i,-0.0014733-9.4579e-05i,-0.00055238+0.0005515i,-0.00036775+0.00084029i,4.7992e-05+0.00015373i,0.00049651-0.00038096i,7.6544e-06-0.00075651i,0.00022011-0.00095101i,0.00066277-0.00070847i,0.00053957-0.00046792i,0.00036922-0.00033211i,0.00081086+0.00030101i,0.00076475+0.00010199i,0.00040224-0.00047307i,-2.4416e-06+0.00010157i,0.00035131+0.00079127i,0.00033175+0.00075302i,0.00028017+0.0003676i
0.0018027-0.00076657i,0.00044197-0.00040935i,-0.00067129-0.00029125i,-0.0005211+0.0018383i,-0.00058691+0.0023976i,-0.00014174+0.0013095i,-1.9406e-05+0.00050039i,0.00020352-2.0201e-05i,0.00029186-0.00021511i,-0.00070706-0.00086108i,-0.00081529-0.0011985i,4.4274e-05-0.00086882i,0.0012121-0.00010976i,0.0018842+0.0015092i,0.0014657+0.0020206i,0.00044166+0.00097008i,-0.00014856+4.2873e-05i,2.5057e-06+1.0176e-05i,-6.5274e-05-0.00014915i,0.000249-0.00024457i,0.00054143+8.5493e-06i,0.00013555-0.00035809i,-0.00013441-0.00025226i
0.00044935+6.7583e-05i,0.00033501-1.5014e-05i,0.001657-0.00034904i,0.0016693+9.9997e-05i,0.0008854+0.0010121i,0.00071836+0.001813i,2.1011e-05+0.0012062i,-0.00062987+0.00095444i,-0.00053997+0.00075678i,7.8129e-05+0.000514i,-1.3322e-05+0.00066647i,-0.00052793+0.00075327i,-0.00042932+0.00039683i,-0.00087207-3.3732e-05i,-0.0013855-0.00043752i,-0.00065402-0.00058243i,0.00029262-0.00044473i,0.00047526-0.00032179i,-0.00050519-0.00010333i,-0.00087118+0.0003925i,-0.00053481+0.00016669i,4.1149e-05-4.8813e-06i,0.0008448+0.00022297i
-0.0021849+0.0014222i,-0.00076311+0.0020604i,-0.00035935+0.002204i,-0.00074727+0.0018751i,-0.00074395+0.0011851i,-0.00035426+0.000892i,-0.00010669+0.0010334i,-1.4084e-06+0.0011952i,-0.00061319+0.0017343i,-0.00086956+0.0017502i,-0.00027649+0.00060595i,0.00047321+0.00032128i,0.00035857+0.00042478i,-0.00045959-0.00027821i,-0.00052061-0.000966i,-3.4019e-05-0.0015023i,0.00031594-0.00090442i,0.00037882-0.00044397i,0.00038635-0.00041141i,0.00010899+2.8358e-05i,4.4261e-06+3.8021e-05i,0.00019859-5.5888e-05i,0.00094322+0.00029169i
-0.0010198+0.00022207i,-0.0008042+0.001136i,0.00040878+0.0013047i,0.0014899+0.0019282i,0.0018443+0.0025268i,0.0016143+0.0016373i,0.00065821+0.00016416i,0.00023784+0.00047137i,0.0009523+0.00091559i,0.0012904+0.00031804i,0.00099182-0.00023126i,0.00085523-0.0008549i,0.0012097-0.00069015i,0.0012989-0.00068915i,0.0010071-0.0013232i,0.00053982-0.00081457i,-0.00011112-0.0001444i,-0.00039684+0.00013457i,-0.0011369-0.00037413i,-0.0012977-0.00034743i,-3.0286e-05+0.00042051i,0.00067511+0.0010979i,0.00049959+0.001091i
0.0028649+0.0013338i,0.0026448+0.00014735i,0.0022176-0.00010503i,0.00064894+2.9179e-05i,-0.00096585+6.2298e-05i,-0.0015564+0.00071769i,-0.00090285+0.00055526i,0.00015199+0.00035912i,-5.8204e-05+0.00049256i,-0.00060727-0.00048401i,-0.00066671-0.00075243i,-0.00084808-0.00036616i,-0.00062318-1.9155e-05i,-0.00073342+0.00087906i,-0.0014176+0.0011161i,-0.00099018+0.00095925i,-0.00046755+0.00048885i,-0.00041542-0.00059655i,8.7339e-05-0.00038017i,0.00056172+1.4244e-05i,0.0004187-0.00026523i,-0.0002095-0.00063585i,-0.00077048-0.00064558i
-0.00045254+0.001052i,-0.00024049+0.00039264i,7.4659e-05-0.00040149i,0.0012337+0.0015316i,0.0016883+0.0029952i,0.00013785+0.0015846i,-0.00062517+4.0269e-05i,-0.00018942-0.00060596i,0.00025209-0.00029752i,-0.00033282+5.2522e-05i,-0.0010867-0.00013145i,-0.0014368-4.3304e-05i,-0.0012002+0.0005171i,-0.00051642+0.0011618i,-5.451e-05+0.0007813i,-5.771e-05+9.1712e-05i,-0.00051268+0.00010059i,-0.00023745-0.00018735i,0.00038872-0.00042592i,0.00073914-8.0585e-05i,0.00084607-0.00015851i,-0.00026818-9.661e-05i,-0.00078575+0.00053204i
-2.5176e-05-0.00064601i,0.00037586-0.00067803i,0.00069226+0.0010139i,0.0013544+0.0011126i,0.0019496+0.00074514i,0.00096511+0.00024533i,-0.00039797-0.00015612i,-0.00055328+0.00049843i,-0.00063307+0.00057006i,-0.00057065+0.00020815i,-0.00015374+6.9081e-05i,0.00063285-0.00033368i,0.0010031-0.0011732i,0.00026716-0.0013905i,0.00044569-0.0018463i,0.00099192-0.0020793i,0.00065612-0.0011775i,0.00026281-0.00087572i,0.00027291-0.00098784i,-0.00010317+4.2671e-05i,-0.00072955+0.00069892i,-0.00027139-0.00023315i,-6.9578e-05-0.00054394i
-0.0012637+0.00067318i,0.00033564+0.00062576i,0.00034699+0.0016871i,-0.00054058+0.0024422i,-0.00011372+0.0022424i,0.00086703+0.0012193i,0.0003074+0.0016462i,-7.7965e-06+0.0015568i,0.0010335+0.00076656i,0.0013142+0.00020158i,0.00044555-0.00033478i,-7.3521e-05-0.00024961i,0.00038109-0.00018199i,0.0008616-0.00045403i,0.0012257-0.00053838i,0.00079535-0.000184i,2.2684e-05-5.8143e-05i,-0.00038294+1.216e-05i,-0.00048459-0.00030316i,-0.00066517-0.00027863i,-0.00078784-0.00024363i,-0.00069417-0.00057048i,-0.00041924-0.00089436i
-0.00080827+0.00052656i,0.00016529+0.0012964i,0.00056623+0.0014623i,0.00060053+0.0014993i,0.001487+0.0015486i,0.0011068+0.0010566i,0.00029676+0.0004313i,-0.00041778-1.3834e-05i,-0.00040346-0.00091332i,2.146e-05-0.00083681i,0.0006848-0.0003914i,0.001065-0.00021913i,0.00036889-6.8346e-05i,0.00018861-9.6462e-05i,0.00048102+0.00026975i,0.00042002+7.4304e-05i,0.00020492-2.0064e-05i,0.00014593-0.00027429i,0.00027833-0.00044611i,3.6315e-05+8.5392e-05i,-6.0164e-05+0.0006679i,0.00050716+0.00048031i,0.00084585-0.00042692i
0.0017923-0.00029665i,0.0016844-0.00087266i,0.00095793-0.00089944i,0.00092757+0.00039098i,0.00087781+0.0010677i,0.00025086+0.00087385i,-0.00039405+0.00062952i,-0.00052688-0.0007001i,0.00024719-0.001663i,0.00056021-0.0013141i,0.00017738-0.00080987i,-0.00047088-0.00066054i,-0.0010732-0.00031931i,-0.0012481-2.2847e-05i,-0.0011135-0.00014399i,-0.00062928-0.00032658i,3.4361e-05-0.00017046i,0.00036606+0.0002941i,0.00050663+0.00050393i,0.00070369+0.00038136i,0.00098248+0.00049495i,0.00068379+0.00092126i,0.00018961+0.00086287i
-0.00033336+0.0012892i,0.00085629+0.001785i,0.0011402+0.0020711i,0.00084293+0.00092i,0.00084832+0.00075855i,0.00032027+0.0012765i,-0.00010583+0.0007408i,-0.00085568-9.9257e-05i,-0.0013756+0.00011453i,-0.0010076+0.00038386i,-0.0010083-7.5298e-05i,-0.00021811-0.00063461i,0.00048826-0.00069936i,0.00084694-0.0013672i,0.0010984-0.0015763i,0.00077836-0.00030869i,0.00076151+0.00045175i,0.0009468+3.7714e-05i,0.00055595-0.00060728i,-2.2131e-05-0.0010973i,3.0805e-05-0.0004529i,0.00043152+0.00064917i,0.00039375+0.000952i
-0.002867-0.0037903i,-0.0031963-0.0017577i,-0.003485-0.0007331i,-0.0021233+0.00024316i,-0.0013227+0.0017353i,-0.00080621+0.0018031i,0.00038506+0.0013919i,0.0006892+0.0015586i,-0.00011376+0.0013698i,0.00016261+0.00075487i,0.00047244+0.00096311i,0.00050623+0.0011796i,0.0014978+0.00054847i,0.001877+0.00018086i,0.0014486+0.00015322i,0.0006437+0.00015137i,-0.00026108-0.00051679i,-0.00033273-0.00082198i,-9.365e-05-0.00033439i,-6.3747e-07+0.00041185i,0.00033236+0.00069058i,0.00022697+0.0003462i,-0.0002326+0.00043481i
-0.0012-0.00071629i,-0.001331-0.0001994i,-0.0017487+0.0010389i,-0.00066145+0.0027711i,0.00049293+0.0035383i,0.00086714+0.0026544i,0.00092615+0.0014354i,0.0015223+0.00089411i,0.002209+0.00075147i,0.0023362+0.00043727i,0.001569+0.00022915i,0.00050514-5.0301e-05i,0.0002477-0.00010731i,-9.8134e-05+0.00068862i,-0.0004447+0.00019991i,-0.00016146-0.00075389i,0.00065533-5.7711e-05i,0.0011544-0.00034799i,0.0011389-0.00066864i,0.00047225-0.00015259i,-6.8161e-05+0.0011346i,-0.00025872+0.0015759i,-0.00014495+0.0011464i
-0.00072892+0.0016384i,0.00051459+0.00052532i,0.00089044+0.00015749i,-7.1442e-05+0.0010285i,-0.00071941+0.0020846i,-0.00081233+0.0018932i,-0.0011698+0.0015923i,-0.00072288+0.00024624i,-0.00042071-0.0015623i,-0.00028007-0.0015097i,0.00029564-0.00044053i,1.1668e-05-0.00015845i,-0.00073343-0.0003515i,-0.00055439-0.00022339i,0.0009657+0.00024346i,0.0015186+0.00043548i,0.00036819+0.0004809i,0.00026626+0.0010836i,0.00085152+0.0015692i,6.0712e-05+0.0013526i,-4.3206e-06+0.00081494i,0.0002482+0.00047156i,-0.00015887+1.8015e-05i
-0.00040005-0.0015617i,-0.00037905-0.0010296i,-0.00010416-0.00035472i,0.001207+0.00019787i,0.001528+0.00069509i,0.00039517+0.00086824i,-7.1982e-05+0.00089049i,-0.00012825+0.00063096i,-0.00035788-0.00027304i,-0.00057775-0.00077055i,-0.00041452-0.00027331i,8.8081e-06-0.00022609i,0.00051478-0.00059979i,0.0013507-0.000586i,0.002205-0.0001362i,0.001607+0.00069052i,0.00050276+0.00103i,0.00027855+0.00082814i,0.00022433+0.00020358i,-1.1001e-05-0.00027885i,-0.00037132-0.00019732i,-0.00046923+0.00010682i,-0.00018783+0.00022164i
-0.00089861+0.0014237i,-0.00085722+0.00052434i,-0.00011831-0.00051042i,0.00055788-0.00067548i,0.0012579+0.00033824i,0.0013165+0.0017193i,-0.00034601+0.0021411i,-0.0010586+0.0016912i,0.00011444+0.0012739i,0.00032299+0.00090474i,0.00023344+0.00031505i,0.00066526-0.00012657i,0.00011743-0.00034478i,0.00029034-0.00041344i,0.0002108+5.0451e-05i,-1.2439e-05-0.00036521i,0.00050307-0.0010646i,0.00056109-0.00067572i,0.0003068-0.00030388i,0.00035366-0.00041506i,0.00035978-0.00068638i,0.0001661-0.00091798i,-0.00015733-0.00096185i
-0.00014807+0.00021228i,0.00020198+0.00041547i,0.00010794+0.0007769i,-0.00016805+0.0015617i,-0.00026305+0.0016926i,-0.00055397+0.0012252i,-0.00048779+0.00069502i,0.00042552+0.00096995i,0.0010689+0.00063519i,0.00052104-0.00039679i,8.8766e-05-0.00035509i,0.00052428-2.0065e-05i,0.00036626+0.00035207i,-0.00052356+0.00020333i,-0.00045486+4.2763e-05i,-0.00046682+0.00028275i,-0.00040743+0.00018726i,-0.00031142+1.1486e-05i,-9.8531e-05-0.00011396i,-3.0329e-05+0.00033161i,0.00025481+0.00058181i,0.00061825-0.00016422i,0.00030637-0.00057969i
0.0014407-0.001507i,0.0010178-0.00091222i,0.001683+0.00046774i,0.0018047+0.0019922i,0.00098637+0.0025042i,0.00039913+0.0022268i,2.4523e-05+0.0018915i,0.00068554+0.00070417i,0.00080546-0.0013306i,0.00044092-0.0015225i,0.00079216-0.00061934i,0.00029227-0.00031434i,-0.00055049+3.4158e-07i,-2.3463e-05-4.5409e-06i,0.00053621-0.00058437i,-0.00013983-0.00081628i,-0.0005305+0.00016183i,0.00029647+0.0011477i,0.00095908+0.00069614i,0.00049241+0.00026948i,0.00035665+0.00023978i,0.00074719+0.00018244i,0.00033307+0.00029866i
-0.0027485+0.0019635i,-0.0013216+0.00099521i,0.00075261+0.0010845i,0.002497+0.0017716i,0.0023083+0.0013479i,0.0011749+0.00067319i,0.0006522+0.00019071i,0.00067266-0.00058794i,0.00038375-0.00053655i,-3.0559e-05-0.00024764i,8.6041e-05-0.00053827i,0.00028403-0.00016521i,0.00089657-0.00028336i,0.0010348-0.00088136i,0.00063867-0.0006959i,0.00093359+2.5668e-05i,0.00095985+0.00075239i,0.00032262+0.00081607i,-0.00029061+7.0986e-05i,-0.00031904-0.0009957i,-4.9318e-05-0.00090913i,0.00011209-0.00020445i,-0.00031205+0.00085531i
-0.00025368+0.00065614i,-0.00063322+0.00048737i,5.184e-05+9.4347e-05i,-8.7703e-05+0.00044977i,-0.0010301+0.0015513i,-0.001575+0.0019919i,-0.0009509+0.0015672i,-0.00048275+0.00069887i,-0.00074807-0.00033348i,-0.0013127-0.00029665i,-0.0012966+0.00032436i,-0.0005541+0.00055654i,-0.00048693+0.00030127i,-0.00065193+0.00044648i,-0.00024915+0.00088429i,0.00063587+0.00062583i,0.00048284+0.00027015i,-0.00059338+6.2802e-05i,-0.00082288+0.00019989i,-1.7306e-05+0.00018958i,0.00019278-2.7164e-05i,-0.00028428+0.00015724i,-6.9978e-05+7.495e-05i
-0.0004451+0.0010653i,0.00089568+0.0011129i,0.0016577+0.0010507i,0.0015001+0.0011051i,0.00057712+0.0011479i,-6.7191e-05+0.00072393i,-0.00014944+0.00035294i,-2.8074e-05-2.1266e-05i,0.00023405+0.00017866i,-8.3474e-05+0.0011123i,-0.00079614+0.00095114i,-0.00062422-0.00010475i,-0.00036367-0.00048788i,-0.00078168-0.00076098i,-0.00078712-0.00080849i,-0.00077091-0.00062076i,-7.5398e-05-0.0010338i,0.00066526-0.00089407i,0.00084796-0.00032779i,-0.00026234-0.00026346i,-0.0010569+1.842e-05i,-1.4405e-05+0.00043116i,0.00060531+0.00060371i
8.6101e-05+0.00019367i,0.00045264+0.00091776i,0.00012064+0.0022105i,0.00022004+0.0027873i,0.00090229+0.0031994i,0.0018013+0.0032056i,0.0013697+0.0020783i,0.00083378+0.00084968i,0.0013366+0.0003326i,0.00099871+0.0011178i,0.00054386+0.0011241i,0.0001604+0.00053325i,-0.00013504+7.2179e-05i,-7.5304e-05-0.00062642i,0.0002366-0.0012061i,0.00046189-0.0012267i,0.00089441-0.00039412i,0.0013875-0.0004206i,0.00047922-0.00064955i,-0.00070201-0.00068456i,-0.0012111-0.00075565i,-0.0015553-0.00087965i,-0.00032993-0.00067713i
0.00019795-0.0010975i,0.0007461-0.001981i,0.0013543-0.00079169i,0.0013709+0.00081424i,0.00045062+0.0012665i,-9.5495e-05+0.00089968i,-0.00041872+0.00054155i,-0.00037485-0.00013862i,0.00044493-0.0012316i,0.00087136-0.0014366i,0.001214-0.0014174i,0.0003342-0.00064371i,0.0002828+0.0016039i,0.00067766+0.002236i,0.000321+0.0015792i,0.0001037+0.0012886i,-2.8846e-05+0.00058021i,-0.00075765+0.0002188i,-0.00063628+0.00028692i,0.00027865+0.00047801i,0.0005605+0.00035018i,0.00048055+0.00028665i,3.106e-05+0.0004205i
-0.0011771-0.0022099i,-0.0010079-0.00063674i,-0.00037898+1.1842e-05i,-7.7006e-05+0.001215i,0.00018747+0.0033874i,0.00090096+0.0031895i,0.00075255+0.0012226i,-0.00067826+0.00036032i,-0.0016438-0.0010494i,-0.0012143-0.0016215i,-0.00088857-0.00094113i,4.7916e-05-0.00029537i,0.00061652-0.00025183i,0.00046731-0.00021694i,0.00098697+0.00019419i,0.00035719+0.00025367i,-0.00024139-0.00056203i,0.00076815-0.00041023i,0.00027252+0.00042659i,-0.00013993+0.00053089i,-0.00025153+0.00021636i,-0.00066778+0.00022278i,-0.0001052+7.0722e-05i
0.0010436-0.00023954i,-0.0005541+0.00038174i,-0.00069208+0.00066131i,0.00031413+0.00038859i,0.0006815+0.00061432i,6.1906e-05+0.0012673i,-0.00042731+0.0015983i,-0.00027228+0.0016961i,-0.00065039+0.0010396i,-0.00096937+0.00062999i,-0.0013457+0.00055359i,-0.0017045+7.0184e-05i,-0.0012233-9.4093e-05i,-0.00061614-0.0001307i,-0.00037424-0.00045273i,0.00020411-0.00033696i,2.6918e-05-0.00021167i,-0.00060512-0.00021946i,-0.00022789+0.0002887i,0.00036347-0.00013702i,0.00030452-0.00088026i,-0.00021591-0.00022585i,-0.00011179-0.00033048i
0.0018272+0.0010292i,0.0020263+0.00030076i,0.001359-3.3767e-05i,0.00099828+0.0005996i,0.00061104+0.0010386i,0.00059932+0.00084043i,0.0010573+0.0001597i,0.0013384-5.9823e-05i,0.0010513+0.00010653i,0.00087297+0.00062565i,0.0011377+0.0010218i,0.00066038-0.00017494i,2.1253e-05-0.00052935i,9.9847e-05+0.00073441i,3.1515e-05+0.0006218i,-1.3842e-05+9.3746e-05i,-1.7043e-05-1.2988e-05i,0.0006682-8.9918e-05i,0.00083683+9.856e-05i,6.8319e-05-0.00046699i,-0.0001097-0.00038222i,-0.00020658+0.00019204i,-0.00032418+0.00098778i
-0.00042369+0.00043982i,-0.00033037-0.00038139i,0.00023914-0.00058695i,0.00073768+1.0422e-05i,0.00038453+0.00059592i,-0.0008505+0.00069952i,-0.00096829+0.00037247i,-0.00024319+0.00068459i,0.00056391+0.00015306i,0.0010986-0.00016677i,0.0010829+8.6139e-05i,0.00052324-0.00011142i,0.00063138+0.00025293i,0.00050346+0.0010831i,-0.00084649+0.001145i,-0.0011745+0.00046692i,-0.0006496-6.8446e-05i,-0.0014812+0.0002731i,-0.0014866+0.00056038i,-2.6897e-05-0.00038433i,0.00073738-0.00050066i,0.00063161-0.00019199i,0.0012204-0.00050751i
0.0011589-0.0011877i,0.001549-0.0013009i,0.0010117-0.00073969i,-0.00020044+0.00080523i,-0.0010912+0.0020483i,-0.0010621+0.002418i,-0.00031736+0.0021128i,0.00041432+0.00087433i,-0.00012702-0.00043354i,-0.00053363-0.00079584i,-0.00023004-0.00072427i,-0.00033043-0.00029068i,-0.00049937+0.0011294i,-0.00067666+0.0019678i,-0.00041973+0.00096827i,2.9564e-05-0.00028243i,-0.00024612-8.2645e-05i,0.00022486+0.00031149i,0.00096147+4.9478e-05i,0.00065392-0.00067218i,-2.3619e-05-0.00078491i,-0.00018244-0.00039668i,-0.00071789+0.00061567i
-0.0010866+0.0014653i,-0.00085005+0.0015616i,-0.00088204+0.0018388i,0.0004797+0.0021672i,0.0015516+0.0014511i,0.0014332+7.5342e-05i,0.00049672-4.9334e-09i,-0.00045626+0.00027132i,-0.00096925+0.00024575i,-0.00082324+0.00097342i,-0.00014301+0.00058237i,0.00081274-0.00035397i,0.0013237-0.00079982i,0.0013055-0.0012384i,0.0014365-0.001455i,0.001224-0.0009888i,0.0010103+0.00021579i,0.00042694-0.0002933i,0.00057228-0.00091034i,0.0010534-0.00022315i,0.00060355+0.000303i,-1.1482e-05+0.00077411i,7.6466e-05+0.00086708i
0.0011942+0.002313i,0.0017069+0.0016922i,0.0021312+0.00097763i,0.001705+0.00076162i,0.00031799+0.0008846i,-0.00027774+0.00064533i,-0.00022637+0.00089899i,-3.2504e-05+0.0013597i,-3.5882e-05+0.00093442i,-0.0001374-4.3772e-06i,0.00035732-0.00063587i,0.00042892-0.0013135i,-0.0002795-0.00092774i,-0.000259-5.6735e-05i,-0.00019357+0.00067052i,-0.00029012+0.00096945i,0.00049085+0.0006868i,0.00059204+0.00012741i,0.00017784-0.00015655i,-1.6535e-05+0.00014252i,-0.00012831+0.00070257i,0.00027678+0.0006352i,0.00053538-0.00028505i
0.00080581+0.00071156i,0.00065837+0.00049497i,0.00125+0.0011318i,0.0015461+0.0015214i,0.0017661+0.0015238i,0.00087033+0.0017248i,3.4572e-05+0.0015637i,0.00079841+0.0015013i,0.00095983+0.001488i,0.0008857+0.00098445i,0.00074697+0.00044551i,-0.00024698-0.00039234i,-0.0010213+0.00040188i,-0.0008542+0.0012318i,-0.0010404+0.00088813i,-0.0012218+0.00090085i,-0.0012807+0.0011124i,-0.00091993+0.00053274i,-0.0003462-0.00046414i,3.4038e-05-0.00020518i,-0.00044933+0.000482i,-0.00031359+0.00053086i,5.6741e-05+0.00047697i
-0.00077703-0.00064555i,-0.00038344-0.00067415i,0.00029828-0.0004134i,0.00049998+0.001709i,0.00011139+0.002894i,0.00011474+0.0020445i,-0.000336+0.0011239i,6.0263e-05+0.00047216i,0.00020924-0.00012493i,-0.00028836-0.00070366i,-3.7708e-05-0.00098841i,0.00036807-0.00081304i,0.00048462-8.2386e-05i,0.00038527-1.918e-05i,0.0008813-0.00040098i,0.001175-9.5337e-05i,0.00079223+0.00043838i,0.00044652-0.00015514i,-0.00033727-0.00041413i,-0.0011786+0.00012212i,-0.00099239+7.7333e-05i,-0.0011227-0.00059042i,-0.0010654-0.0005002i
4.7208e-05-0.001843i,0.00013361-0.0017106i,-0.0009854-0.00075108i,-0.00058925+0.0008395i,0.00037419+0.0019724i,3.0471e-05+0.0022364i,0.00018242+0.0015154i,0.00084443+0.00048407i,-0.00045147-0.00045896i,-0.0012894-0.0010901i,-0.00015385-0.0012777i,0.00098901-0.00066724i,0.0015553-0.00048954i,0.0017798-0.00046053i,0.0020345+0.00051344i,0.0022346+0.00068049i,0.00072572-0.00021939i,-0.00031714-2.6228e-05i,0.00012396+0.00011761i,0.00017778-7.8717e-05i,0.00023875+0.00028154i,0.00023092+4.103e-05i,-0.00020773-0.00044166i
